'Time and date','II ','V ','PLETH ','RESP '
'[09:47:46.726 24/01/1995]',-0.068,0.003,-0.172,-0.378
'[09:47:46.728 24/01/1995]',-0.068,0.035,-0.194,-0.357
'[09:47:46.730 24/01/1995]',-0.068,0.170,-0.194,-0.357
'[09:47:46.732 24/01/1995]',-0.068,0.339,-0.194,-0.357
'[09:47:46.734 24/01/1995]',-0.032,0.474,-0.194,-0.357
'[09:47:46.736 24/01/1995]',0.003,0.506,-0.227,-0.337
'[09:47:46.738 24/01/1995]',0.108,0.506,-0.227,-0.337
'[09:47:46.740 24/01/1995]',0.179,0.506,-0.227,-0.337
'[09:47:46.742 24/01/1995]',0.321,0.440,-0.227,-0.337
'[09:47:46.744 24/01/1995]',0.464,0.339,-0.248,-0.317
'[09:47:46.746 24/01/1995]',0.569,0.271,-0.248,-0.317
'[09:47:46.748 24/01/1995]',0.640,0.103,-0.248,-0.317
'[09:47:46.750 24/01/1995]',0.569,-0.098,-0.248,-0.317
'[09:47:46.752 24/01/1995]',0.428,-0.233,-0.286,-0.297
'[09:47:46.754 24/01/1995]',0.286,-0.166,-0.286,-0.297
'[09:47:46.756 24/01/1995]',0.144,-0.166,-0.286,-0.297
'[09:47:46.758 24/01/1995]',0.037,-0.199,-0.286,-0.297
'[09:47:46.760 24/01/1995]',0.003,-0.267,-0.313,-0.278
'[09:47:46.762 24/01/1995]',-0.032,-0.334,-0.313,-0.278
'[09:47:46.764 24/01/1995]',-0.068,-0.368,-0.313,-0.278
'[09:47:46.766 24/01/1995]',-0.068,-0.368,-0.313,-0.278
'[09:47:46.768 24/01/1995]',-0.139,-0.402,-0.340,-0.259
'[09:47:46.770 24/01/1995]',-0.210,-0.334,-0.340,-0.259
'[09:47:46.772 24/01/1995]',-0.246,-0.301,-0.340,-0.259
'[09:47:46.774 24/01/1995]',-0.281,-0.267,-0.340,-0.259
'[09:47:46.776 24/01/1995]',-0.317,-0.233,-0.366,-0.239
'[09:47:46.778 24/01/1995]',-0.281,-0.098,-0.366,-0.239
'[09:47:46.780 24/01/1995]',-0.246,-0.031,-0.366,-0.239
'[09:47:46.782 24/01/1995]',-0.246,-0.064,-0.366,-0.239
'[09:47:46.784 24/01/1995]',-0.210,-0.064,-0.394,-0.220
'[09:47:46.786 24/01/1995]',-0.174,-0.031,-0.394,-0.220
'[09:47:46.788 24/01/1995]',-0.139,0.035,-0.394,-0.220
'[09:47:46.790 24/01/1995]',-0.103,0.003,-0.394,-0.220
'[09:47:46.792 24/01/1995]',-0.103,-0.031,-0.415,-0.200
'[09:47:46.794 24/01/1995]',-0.103,0.103,-0.415,-0.200
'[09:47:46.796 24/01/1995]',-0.103,0.204,-0.415,-0.200
'[09:47:46.798 24/01/1995]',-0.139,0.271,-0.415,-0.200
'[09:47:46.800 24/01/1995]',-0.139,0.305,-0.420,-0.180
'[09:47:46.802 24/01/1995]',-0.174,0.339,-0.420,-0.180
'[09:47:46.804 24/01/1995]',-0.174,0.339,-0.420,-0.180
'[09:47:46.806 24/01/1995]',-0.174,0.373,-0.420,-0.180
'[09:47:46.808 24/01/1995]',-0.174,0.373,-0.442,-0.160
'[09:47:46.810 24/01/1995]',-0.174,0.339,-0.442,-0.160
'[09:47:46.812 24/01/1995]',-0.174,0.238,-0.442,-0.160
'[09:47:46.814 24/01/1995]',-0.174,0.069,-0.442,-0.160
'[09:47:46.816 24/01/1995]',-0.174,0.003,-0.453,-0.138
'[09:47:46.818 24/01/1995]',-0.139,-0.031,-0.453,-0.138
'[09:47:46.820 24/01/1995]',-0.139,-0.064,-0.453,-0.138
'[09:47:46.822 24/01/1995]',-0.139,-0.098,-0.453,-0.138
'[09:47:46.824 24/01/1995]',-0.103,-0.098,-0.453,-0.116
'[09:47:46.826 24/01/1995]',-0.103,-0.098,-0.453,-0.116
'[09:47:46.828 24/01/1995]',-0.103,-0.132,-0.453,-0.116
'[09:47:46.830 24/01/1995]',-0.068,-0.132,-0.453,-0.116
'[09:47:46.832 24/01/1995]',-0.068,-0.132,-0.464,-0.093
'[09:47:46.834 24/01/1995]',-0.068,-0.098,-0.464,-0.093
'[09:47:46.836 24/01/1995]',-0.103,-0.098,-0.464,-0.093
'[09:47:46.838 24/01/1995]',-0.103,-0.098,-0.464,-0.093
'[09:47:46.840 24/01/1995]',-0.103,-0.098,-0.469,-0.070
'[09:47:46.842 24/01/1995]',-0.103,-0.098,-0.469,-0.070
'[09:47:46.844 24/01/1995]',-0.103,-0.098,-0.469,-0.070
'[09:47:46.846 24/01/1995]',-0.068,-0.098,-0.469,-0.070
'[09:47:46.848 24/01/1995]',-0.068,-0.098,-0.469,-0.045
'[09:47:46.850 24/01/1995]',-0.032,-0.098,-0.469,-0.045
'[09:47:46.852 24/01/1995]',-0.032,-0.098,-0.469,-0.045
'[09:47:46.854 24/01/1995]',0.003,-0.098,-0.469,-0.045
'[09:47:46.856 24/01/1995]',0.003,-0.098,-0.469,-0.019
'[09:47:46.858 24/01/1995]',-0.032,-0.098,-0.469,-0.019
'[09:47:46.860 24/01/1995]',-0.032,-0.132,-0.469,-0.019
'[09:47:46.862 24/01/1995]',-0.032,-0.166,-0.469,-0.019
'[09:47:46.864 24/01/1995]',0.003,-0.166,-0.469,0.006
'[09:47:46.866 24/01/1995]',0.003,-0.166,-0.469,0.006
'[09:47:46.868 24/01/1995]',0.003,-0.166,-0.469,0.006
'[09:47:46.870 24/01/1995]',0.003,-0.132,-0.469,0.006
'[09:47:46.872 24/01/1995]',-0.032,-0.132,-0.469,0.034
'[09:47:46.874 24/01/1995]',-0.032,-0.132,-0.469,0.034
'[09:47:46.876 24/01/1995]',-0.068,-0.098,-0.469,0.034
'[09:47:46.878 24/01/1995]',-0.068,-0.064,-0.469,0.034
'[09:47:46.880 24/01/1995]',-0.032,-0.064,-0.469,0.061
'[09:47:46.882 24/01/1995]',-0.032,-0.064,-0.469,0.061
'[09:47:46.884 24/01/1995]',-0.032,-0.098,-0.469,0.061
'[09:47:46.886 24/01/1995]',-0.032,-0.098,-0.469,0.061
'[09:47:46.888 24/01/1995]',-0.032,-0.098,-0.464,0.088
'[09:47:46.890 24/01/1995]',-0.032,-0.098,-0.464,0.088
'[09:47:46.892 24/01/1995]',-0.032,-0.098,-0.464,0.088
'[09:47:46.894 24/01/1995]',-0.032,-0.098,-0.464,0.088
'[09:47:46.896 24/01/1995]',-0.032,-0.098,-0.459,0.117
'[09:47:46.898 24/01/1995]',-0.032,-0.098,-0.459,0.117
'[09:47:46.900 24/01/1995]',0.003,0.003,-0.459,0.117
'[09:47:46.902 24/01/1995]',0.003,-0.031,-0.459,0.117
'[09:47:46.904 24/01/1995]',0.003,-0.031,-0.453,0.144
'[09:47:46.906 24/01/1995]',0.003,-0.064,-0.453,0.144
'[09:47:46.908 24/01/1995]',0.003,-0.064,-0.453,0.144
'[09:47:46.910 24/01/1995]',0.003,-0.064,-0.453,0.144
'[09:47:46.912 24/01/1995]',0.003,-0.064,-0.459,0.171
'[09:47:46.914 24/01/1995]',0.003,-0.064,-0.459,0.171
'[09:47:46.916 24/01/1995]',0.037,-0.064,-0.459,0.171
'[09:47:46.918 24/01/1995]',0.037,-0.064,-0.459,0.171
'[09:47:46.920 24/01/1995]',0.037,-0.064,-0.453,0.196
'[09:47:46.922 24/01/1995]',0.037,-0.064,-0.453,0.196
'[09:47:46.924 24/01/1995]',0.037,-0.064,-0.453,0.196
'[09:47:46.926 24/01/1995]',0.037,-0.031,-0.453,0.196
'[09:47:46.928 24/01/1995]',0.073,0.035,-0.453,0.221
'[09:47:46.930 24/01/1995]',0.073,0.103,-0.453,0.221
'[09:47:46.932 24/01/1995]',0.073,0.137,-0.453,0.221
'[09:47:46.934 24/01/1995]',0.073,0.170,-0.453,0.221
'[09:47:46.936 24/01/1995]',0.108,0.170,-0.453,0.244
'[09:47:46.938 24/01/1995]',0.108,0.170,-0.453,0.244
'[09:47:46.940 24/01/1995]',0.108,0.170,-0.453,0.244
'[09:47:46.942 24/01/1995]',0.108,0.170,-0.453,0.244
'[09:47:46.944 24/01/1995]',0.144,0.137,-0.448,0.266
'[09:47:46.946 24/01/1995]',0.179,0.103,-0.448,0.266
'[09:47:46.948 24/01/1995]',0.179,0.103,-0.448,0.266
'[09:47:46.950 24/01/1995]',0.179,0.103,-0.448,0.266
'[09:47:46.952 24/01/1995]',0.179,0.103,-0.448,0.287
'[09:47:46.954 24/01/1995]',0.179,0.103,-0.448,0.287
'[09:47:46.956 24/01/1995]',0.215,0.103,-0.448,0.287
'[09:47:46.958 24/01/1995]',0.215,0.103,-0.448,0.287
'[09:47:46.960 24/01/1995]',0.250,0.103,-0.448,0.307
'[09:47:46.962 24/01/1995]',0.215,0.069,-0.448,0.307
'[09:47:46.964 24/01/1995]',0.215,0.069,-0.448,0.307
'[09:47:46.966 24/01/1995]',0.215,0.069,-0.448,0.307
'[09:47:46.968 24/01/1995]',0.215,0.069,-0.442,0.326
'[09:47:46.970 24/01/1995]',0.215,0.069,-0.442,0.326
'[09:47:46.972 24/01/1995]',0.215,0.035,-0.442,0.326
'[09:47:46.974 24/01/1995]',0.179,0.035,-0.442,0.326
'[09:47:46.976 24/01/1995]',0.179,0.035,-0.437,0.344
'[09:47:46.978 24/01/1995]',0.179,0.035,-0.437,0.344
'[09:47:46.980 24/01/1995]',0.144,0.035,-0.437,0.344
'[09:47:46.982 24/01/1995]',0.108,0.035,-0.437,0.344
'[09:47:46.984 24/01/1995]',0.108,0.035,-0.415,0.362
'[09:47:46.986 24/01/1995]',0.108,0.035,-0.415,0.362
'[09:47:46.988 24/01/1995]',0.073,0.035,-0.415,0.362
'[09:47:46.990 24/01/1995]',0.108,0.003,-0.415,0.362
'[09:47:46.992 24/01/1995]',0.108,0.003,-0.394,0.380
'[09:47:46.994 24/01/1995]',0.108,0.035,-0.394,0.380
'[09:47:46.996 24/01/1995]',0.108,0.035,-0.394,0.380
'[09:47:46.998 24/01/1995]',0.108,0.035,-0.394,0.380
'[09:47:47.000 24/01/1995]',0.108,0.035,-0.356,0.397
'[09:47:47.002 24/01/1995]',0.073,0.035,-0.356,0.397
'[09:47:47.004 24/01/1995]',0.073,0.003,-0.356,0.397
'[09:47:47.006 24/01/1995]',0.073,-0.031,-0.356,0.397
'[09:47:47.008 24/01/1995]',0.073,-0.064,-0.313,0.412
'[09:47:47.010 24/01/1995]',0.073,-0.098,-0.313,0.412
'[09:47:47.012 24/01/1995]',0.073,-0.098,-0.313,0.412
'[09:47:47.014 24/01/1995]',0.037,-0.098,-0.313,0.412
'[09:47:47.016 24/01/1995]',0.073,-0.098,-0.265,0.426
'[09:47:47.018 24/01/1995]',0.073,-0.098,-0.265,0.426
'[09:47:47.020 24/01/1995]',0.073,-0.098,-0.265,0.426
'[09:47:47.022 24/01/1995]',0.073,-0.098,-0.265,0.426
'[09:47:47.024 24/01/1995]',0.073,-0.098,-0.205,0.441
'[09:47:47.026 24/01/1995]',0.073,-0.098,-0.205,0.441
'[09:47:47.028 24/01/1995]',0.073,-0.098,-0.205,0.441
'[09:47:47.030 24/01/1995]',0.108,-0.132,-0.205,0.441
'[09:47:47.032 24/01/1995]',0.073,-0.132,-0.145,0.453
'[09:47:47.034 24/01/1995]',0.073,-0.166,-0.145,0.453
'[09:47:47.036 24/01/1995]',0.073,-0.166,-0.145,0.453
'[09:47:47.038 24/01/1995]',0.073,-0.166,-0.145,0.453
'[09:47:47.040 24/01/1995]',0.037,-0.166,-0.081,0.464
'[09:47:47.042 24/01/1995]',0.037,-0.166,-0.081,0.464
'[09:47:47.044 24/01/1995]',0.037,-0.166,-0.081,0.464
'[09:47:47.046 24/01/1995]',0.037,-0.166,-0.081,0.464
'[09:47:47.048 24/01/1995]',0.003,-0.166,-0.017,0.473
'[09:47:47.050 24/01/1995]',0.037,-0.132,-0.017,0.473
'[09:47:47.052 24/01/1995]',0.037,-0.132,-0.017,0.473
'[09:47:47.054 24/01/1995]',0.003,-0.132,-0.017,0.473
'[09:47:47.056 24/01/1995]',0.003,-0.132,0.043,0.482
'[09:47:47.058 24/01/1995]',0.003,-0.132,0.043,0.482
'[09:47:47.060 24/01/1995]',0.003,-0.098,0.043,0.482
'[09:47:47.062 24/01/1995]',0.003,-0.098,0.043,0.482
'[09:47:47.064 24/01/1995]',0.003,-0.132,0.091,0.490
'[09:47:47.066 24/01/1995]',0.003,-0.132,0.091,0.490
'[09:47:47.068 24/01/1995]',0.003,-0.098,0.091,0.490
'[09:47:47.070 24/01/1995]',0.003,-0.098,0.091,0.490
'[09:47:47.072 24/01/1995]',0.003,-0.098,0.129,0.499
'[09:47:47.074 24/01/1995]',0.003,-0.132,0.129,0.499
'[09:47:47.076 24/01/1995]',0.003,-0.098,0.129,0.499
'[09:47:47.078 24/01/1995]',0.003,-0.098,0.129,0.499
'[09:47:47.080 24/01/1995]',0.003,-0.098,0.162,0.508
'[09:47:47.082 24/01/1995]',0.003,-0.098,0.162,0.508
'[09:47:47.084 24/01/1995]',0.003,-0.098,0.162,0.508
'[09:47:47.086 24/01/1995]',0.003,-0.098,0.162,0.508
'[09:47:47.088 24/01/1995]',0.003,-0.098,0.183,0.518
'[09:47:47.090 24/01/1995]',-0.032,-0.098,0.183,0.518
'[09:47:47.092 24/01/1995]',-0.032,-0.098,0.183,0.518
'[09:47:47.094 24/01/1995]',-0.032,-0.098,0.183,0.518
'[09:47:47.096 24/01/1995]',-0.032,-0.098,0.194,0.529
'[09:47:47.098 24/01/1995]',-0.032,-0.098,0.194,0.529
'[09:47:47.100 24/01/1995]',0.003,-0.098,0.194,0.529
'[09:47:47.102 24/01/1995]',0.003,-0.098,0.194,0.529
'[09:47:47.104 24/01/1995]',0.003,-0.098,0.194,0.539
'[09:47:47.106 24/01/1995]',0.003,-0.098,0.194,0.539
'[09:47:47.108 24/01/1995]',0.003,-0.098,0.194,0.539
'[09:47:47.110 24/01/1995]',0.003,-0.098,0.194,0.539
'[09:47:47.112 24/01/1995]',0.003,-0.098,0.194,0.548
'[09:47:47.114 24/01/1995]',0.003,-0.098,0.194,0.548
'[09:47:47.116 24/01/1995]',0.003,-0.098,0.194,0.548
'[09:47:47.118 24/01/1995]',-0.032,-0.098,0.194,0.548
'[09:47:47.120 24/01/1995]',-0.032,-0.098,0.189,0.558
'[09:47:47.122 24/01/1995]',-0.032,-0.098,0.189,0.558
'[09:47:47.124 24/01/1995]',-0.032,-0.064,0.189,0.558
'[09:47:47.126 24/01/1995]',-0.032,-0.064,0.189,0.558
'[09:47:47.128 24/01/1995]',-0.032,-0.064,0.167,0.568
'[09:47:47.130 24/01/1995]',-0.032,-0.064,0.167,0.568
'[09:47:47.132 24/01/1995]',-0.032,-0.064,0.167,0.568
'[09:47:47.134 24/01/1995]',-0.032,-0.064,0.167,0.568
'[09:47:47.136 24/01/1995]',-0.032,-0.064,0.145,0.578
'[09:47:47.138 24/01/1995]',0.003,-0.064,0.145,0.578
'[09:47:47.140 24/01/1995]',0.003,-0.064,0.145,0.578
'[09:47:47.142 24/01/1995]',0.003,-0.064,0.145,0.578
'[09:47:47.144 24/01/1995]',0.003,-0.064,0.124,0.588
'[09:47:47.146 24/01/1995]',0.003,0.003,0.124,0.588
'[09:47:47.148 24/01/1995]',0.003,0.035,0.124,0.588
'[09:47:47.150 24/01/1995]',0.003,0.069,0.124,0.588
'[09:47:47.152 24/01/1995]',0.003,0.069,0.086,0.598
'[09:47:47.154 24/01/1995]',0.003,0.069,0.086,0.598
'[09:47:47.156 24/01/1995]',0.003,0.137,0.086,0.598
'[09:47:47.158 24/01/1995]',0.003,0.204,0.086,0.598
'[09:47:47.160 24/01/1995]',0.003,0.271,0.054,0.609
'[09:47:47.162 24/01/1995]',0.003,0.305,0.054,0.609
'[09:47:47.164 24/01/1995]',0.003,0.305,0.054,0.609
'[09:47:47.166 24/01/1995]',0.003,0.238,0.054,0.609
'[09:47:47.168 24/01/1995]',0.003,0.103,0.016,0.619
'[09:47:47.170 24/01/1995]',0.003,0.035,0.016,0.619
'[09:47:47.172 24/01/1995]',0.003,0.003,0.016,0.619
'[09:47:47.174 24/01/1995]',0.003,-0.031,0.016,0.619
'[09:47:47.176 24/01/1995]',0.003,-0.031,-0.017,0.628
'[09:47:47.178 24/01/1995]',0.003,-0.064,-0.017,0.628
'[09:47:47.180 24/01/1995]',0.003,-0.064,-0.017,0.628
'[09:47:47.182 24/01/1995]',0.003,0.069,-0.017,0.628
'[09:47:47.184 24/01/1995]',0.003,0.204,-0.054,0.638
'[09:47:47.186 24/01/1995]',0.003,0.271,-0.054,0.638
'[09:47:47.188 24/01/1995]',0.003,0.339,-0.054,0.638
'[09:47:47.190 24/01/1995]',0.003,0.339,-0.054,0.638
'[09:47:47.192 24/01/1995]',0.003,0.373,-0.092,0.648
'[09:47:47.194 24/01/1995]',-0.032,0.373,-0.092,0.648
'[09:47:47.196 24/01/1995]',0.003,0.373,-0.092,0.648
'[09:47:47.198 24/01/1995]',0.003,0.373,-0.092,0.648
'[09:47:47.200 24/01/1995]',0.003,0.373,-0.130,0.656
'[09:47:47.202 24/01/1995]',0.003,0.373,-0.130,0.656
'[09:47:47.204 24/01/1995]',0.003,0.339,-0.130,0.656
'[09:47:47.206 24/01/1995]',0.003,0.305,-0.130,0.656
'[09:47:47.208 24/01/1995]',0.003,0.305,-0.172,0.664
'[09:47:47.210 24/01/1995]',0.003,0.271,-0.172,0.664
'[09:47:47.212 24/01/1995]',0.037,0.238,-0.172,0.664
'[09:47:47.214 24/01/1995]',0.037,0.170,-0.172,0.664
'[09:47:47.216 24/01/1995]',0.037,0.103,-0.200,0.671
'[09:47:47.218 24/01/1995]',0.073,0.103,-0.200,0.671
'[09:47:47.220 24/01/1995]',0.073,0.137,-0.200,0.671
'[09:47:47.222 24/01/1995]',0.073,0.204,-0.200,0.671
'[09:47:47.224 24/01/1995]',0.073,0.170,-0.221,0.678
'[09:47:47.226 24/01/1995]',0.108,0.103,-0.221,0.678
'[09:47:47.228 24/01/1995]',0.144,0.035,-0.221,0.678
'[09:47:47.230 24/01/1995]',0.179,0.035,-0.221,0.678
'[09:47:47.232 24/01/1995]',0.250,0.035,-0.237,0.683
'[09:47:47.234 24/01/1995]',0.321,0.003,-0.237,0.683
'[09:47:47.236 24/01/1995]',0.428,-0.031,-0.237,0.683
'[09:47:47.238 24/01/1995]',0.533,-0.064,-0.237,0.683
'[09:47:47.240 24/01/1995]',0.640,-0.132,-0.259,0.689
'[09:47:47.242 24/01/1995]',0.746,-0.199,-0.259,0.689
'[09:47:47.244 24/01/1995]',0.853,-0.267,-0.259,0.689
'[09:47:47.246 24/01/1995]',0.924,-0.334,-0.259,0.689
'[09:47:47.248 24/01/1995]',0.924,-0.436,-0.265,0.693
'[09:47:47.250 24/01/1995]',0.817,-0.502,-0.265,0.693
'[09:47:47.252 24/01/1995]',0.640,-0.535,-0.265,0.693
'[09:47:47.254 24/01/1995]',0.499,-0.569,-0.265,0.693
'[09:47:47.256 24/01/1995]',0.357,-0.569,-0.270,0.697
'[09:47:47.258 24/01/1995]',0.250,-0.603,-0.270,0.697
'[09:47:47.260 24/01/1995]',0.215,-0.603,-0.270,0.697
'[09:47:47.262 24/01/1995]',0.144,-0.603,-0.270,0.697
'[09:47:47.264 24/01/1995]',0.073,-0.535,-0.275,0.701
'[09:47:47.266 24/01/1995]',0.003,-0.502,-0.275,0.701
'[09:47:47.268 24/01/1995]',-0.068,-0.436,-0.275,0.701
'[09:47:47.270 24/01/1995]',-0.139,-0.334,-0.275,0.701
'[09:47:47.272 24/01/1995]',-0.210,-0.301,-0.275,0.703
'[09:47:47.274 24/01/1995]',-0.281,-0.233,-0.275,0.703
'[09:47:47.276 24/01/1995]',-0.281,-0.166,-0.275,0.703
'[09:47:47.278 24/01/1995]',-0.281,-0.132,-0.275,0.703
'[09:47:47.280 24/01/1995]',-0.246,-0.098,-0.281,0.705
'[09:47:47.282 24/01/1995]',-0.210,-0.098,-0.281,0.705
'[09:47:47.284 24/01/1995]',-0.174,-0.064,-0.281,0.705
'[09:47:47.286 24/01/1995]',-0.174,-0.064,-0.281,0.705
'[09:47:47.288 24/01/1995]',-0.139,-0.064,-0.275,0.706
'[09:47:47.290 24/01/1995]',-0.139,-0.064,-0.275,0.706
'[09:47:47.292 24/01/1995]',-0.139,-0.098,-0.275,0.706
'[09:47:47.294 24/01/1995]',-0.139,-0.098,-0.275,0.706
'[09:47:47.296 24/01/1995]',-0.103,-0.098,-0.281,0.707
'[09:47:47.298 24/01/1995]',-0.103,-0.098,-0.281,0.707
'[09:47:47.300 24/01/1995]',-0.103,-0.098,-0.281,0.707
'[09:47:47.302 24/01/1995]',-0.103,-0.098,-0.281,0.707
'[09:47:47.304 24/01/1995]',-0.174,-0.098,-0.275,0.707
'[09:47:47.306 24/01/1995]',-0.174,-0.064,-0.275,0.707
'[09:47:47.308 24/01/1995]',-0.174,-0.064,-0.275,0.707
'[09:47:47.310 24/01/1995]',-0.174,-0.064,-0.275,0.707
'[09:47:47.312 24/01/1995]',-0.139,-0.064,-0.281,0.706
'[09:47:47.314 24/01/1995]',-0.139,-0.064,-0.281,0.706
'[09:47:47.316 24/01/1995]',-0.139,-0.064,-0.281,0.706
'[09:47:47.318 24/01/1995]',-0.103,-0.098,-0.281,0.706
'[09:47:47.320 24/01/1995]',-0.103,-0.064,-0.275,0.705
'[09:47:47.322 24/01/1995]',-0.103,-0.064,-0.275,0.705
'[09:47:47.324 24/01/1995]',-0.103,-0.064,-0.275,0.705
'[09:47:47.326 24/01/1995]',-0.139,-0.064,-0.275,0.705
'[09:47:47.328 24/01/1995]',-0.139,-0.064,-0.286,0.704
'[09:47:47.330 24/01/1995]',-0.139,-0.064,-0.286,0.704
'[09:47:47.332 24/01/1995]',-0.139,-0.064,-0.286,0.704
'[09:47:47.334 24/01/1995]',-0.103,-0.064,-0.286,0.704
'[09:47:47.336 24/01/1995]',-0.103,-0.064,-0.291,0.702
'[09:47:47.338 24/01/1995]',-0.103,-0.064,-0.291,0.702
'[09:47:47.340 24/01/1995]',-0.103,-0.064,-0.291,0.702
'[09:47:47.342 24/01/1995]',-0.103,-0.064,-0.291,0.702
'[09:47:47.344 24/01/1995]',-0.103,-0.064,-0.296,0.700
'[09:47:47.346 24/01/1995]',-0.103,-0.064,-0.296,0.700
'[09:47:47.348 24/01/1995]',-0.103,-0.064,-0.296,0.700
'[09:47:47.350 24/01/1995]',-0.103,-0.064,-0.296,0.700
'[09:47:47.352 24/01/1995]',-0.139,-0.064,-0.302,0.698
'[09:47:47.354 24/01/1995]',-0.103,-0.031,-0.302,0.698
'[09:47:47.356 24/01/1995]',-0.103,-0.031,-0.302,0.698
'[09:47:47.358 24/01/1995]',-0.103,-0.031,-0.302,0.698
'[09:47:47.360 24/01/1995]',-0.103,-0.031,-0.302,0.696
'[09:47:47.362 24/01/1995]',-0.103,-0.031,-0.302,0.696
'[09:47:47.364 24/01/1995]',-0.103,-0.031,-0.302,0.696
'[09:47:47.366 24/01/1995]',-0.103,-0.031,-0.302,0.696
'[09:47:47.368 24/01/1995]',-0.103,-0.031,-0.313,0.695
'[09:47:47.370 24/01/1995]',-0.068,-0.031,-0.313,0.695
'[09:47:47.372 24/01/1995]',-0.068,-0.031,-0.313,0.695
'[09:47:47.374 24/01/1995]',-0.068,-0.031,-0.313,0.695
'[09:47:47.376 24/01/1995]',-0.068,-0.031,-0.324,0.694
'[09:47:47.378 24/01/1995]',-0.068,-0.031,-0.324,0.694
'[09:47:47.380 24/01/1995]',-0.032,-0.031,-0.324,0.694
'[09:47:47.382 24/01/1995]',-0.032,-0.031,-0.324,0.694
'[09:47:47.384 24/01/1995]',-0.032,-0.031,-0.329,0.693
'[09:47:47.386 24/01/1995]',-0.032,-0.031,-0.329,0.693
'[09:47:47.388 24/01/1995]',-0.032,-0.031,-0.329,0.693
'[09:47:47.390 24/01/1995]',-0.032,-0.031,-0.329,0.693
'[09:47:47.392 24/01/1995]',-0.032,0.003,-0.340,0.691
'[09:47:47.394 24/01/1995]',-0.032,0.003,-0.340,0.691
'[09:47:47.396 24/01/1995]',-0.032,0.003,-0.340,0.691
'[09:47:47.398 24/01/1995]',-0.032,-0.031,-0.340,0.691
'[09:47:47.400 24/01/1995]',-0.032,0.003,-0.350,0.688
'[09:47:47.402 24/01/1995]',-0.032,0.003,-0.350,0.688
'[09:47:47.404 24/01/1995]',0.003,0.003,-0.350,0.688
'[09:47:47.406 24/01/1995]',0.003,0.003,-0.350,0.688
'[09:47:47.408 24/01/1995]',0.003,0.003,-0.356,0.684
'[09:47:47.410 24/01/1995]',0.037,0.003,-0.356,0.684
'[09:47:47.412 24/01/1995]',0.037,0.003,-0.356,0.684
'[09:47:47.414 24/01/1995]',0.073,0.003,-0.356,0.684
'[09:47:47.416 24/01/1995]',0.073,0.003,-0.366,0.679
'[09:47:47.418 24/01/1995]',0.073,0.003,-0.366,0.679
'[09:47:47.420 24/01/1995]',0.108,0.003,-0.366,0.679
'[09:47:47.422 24/01/1995]',0.108,0.003,-0.366,0.679
'[09:47:47.424 24/01/1995]',0.108,-0.031,-0.378,0.673
'[09:47:47.426 24/01/1995]',0.144,-0.031,-0.378,0.673
'[09:47:47.428 24/01/1995]',0.144,-0.031,-0.378,0.673
'[09:47:47.430 24/01/1995]',0.144,-0.031,-0.378,0.673
'[09:47:47.432 24/01/1995]',0.179,-0.031,-0.378,0.666
'[09:47:47.434 24/01/1995]',0.179,-0.064,-0.378,0.666
'[09:47:47.436 24/01/1995]',0.179,-0.064,-0.378,0.666
'[09:47:47.438 24/01/1995]',0.144,-0.064,-0.378,0.666
'[09:47:47.440 24/01/1995]',0.144,-0.031,-0.389,0.658
'[09:47:47.442 24/01/1995]',0.144,-0.031,-0.389,0.658
'[09:47:47.444 24/01/1995]',0.144,-0.031,-0.389,0.658
'[09:47:47.446 24/01/1995]',0.144,-0.031,-0.389,0.658
'[09:47:47.448 24/01/1995]',0.179,-0.031,-0.383,0.649
'[09:47:47.450 24/01/1995]',0.179,-0.031,-0.383,0.649
'[09:47:47.452 24/01/1995]',0.179,-0.031,-0.383,0.649
'[09:47:47.454 24/01/1995]',0.179,-0.031,-0.383,0.649
'[09:47:47.456 24/01/1995]',0.179,-0.031,-0.383,0.638
'[09:47:47.458 24/01/1995]',0.144,-0.031,-0.383,0.638
'[09:47:47.460 24/01/1995]',0.144,-0.031,-0.383,0.638
'[09:47:47.462 24/01/1995]',0.144,-0.031,-0.383,0.638
'[09:47:47.464 24/01/1995]',0.144,-0.031,-0.366,0.625
'[09:47:47.466 24/01/1995]',0.144,-0.031,-0.366,0.625
'[09:47:47.468 24/01/1995]',0.144,-0.031,-0.366,0.625
'[09:47:47.470 24/01/1995]',0.144,-0.064,-0.366,0.625
'[09:47:47.472 24/01/1995]',0.144,-0.031,-0.356,0.611
'[09:47:47.474 24/01/1995]',0.144,-0.064,-0.356,0.611
'[09:47:47.476 24/01/1995]',0.144,-0.064,-0.356,0.611
'[09:47:47.478 24/01/1995]',0.144,-0.064,-0.356,0.611
'[09:47:47.480 24/01/1995]',0.144,-0.064,-0.324,0.595
'[09:47:47.482 24/01/1995]',0.108,-0.064,-0.324,0.595
'[09:47:47.484 24/01/1995]',0.108,-0.064,-0.324,0.595
'[09:47:47.486 24/01/1995]',0.108,-0.064,-0.324,0.595
'[09:47:47.488 24/01/1995]',0.108,-0.064,-0.270,0.579
'[09:47:47.490 24/01/1995]',0.073,-0.064,-0.270,0.579
'[09:47:47.492 24/01/1995]',0.073,-0.031,-0.270,0.579
'[09:47:47.494 24/01/1995]',0.037,-0.031,-0.270,0.579
'[09:47:47.496 24/01/1995]',0.037,-0.031,-0.210,0.562
'[09:47:47.498 24/01/1995]',0.003,-0.031,-0.210,0.562
