'Time and date','III ','I ','V ','ABP ','PAP ','PLETH ','RESP '
'[08:16:17.812 26/10/1994]',0.021,0.001,0.067,52.100,24.550,-0.278,-0.680
'[08:16:17.814 26/10/1994]',0.023,0.044,0.067,52.100,24.550,-0.278,-0.680
'[08:16:17.816 26/10/1994]',0.025,0.067,0.077,52.950,24.950,-0.282,-0.691
'[08:16:17.818 26/10/1994]',0.027,0.044,0.067,52.950,24.950,-0.282,-0.691
'[08:16:17.820 26/10/1994]',0.030,-0.010,0.067,52.950,24.950,-0.282,-0.691
'[08:16:17.822 26/10/1994]',0.034,-0.065,0.056,52.950,24.950,-0.282,-0.691
'[08:16:17.824 26/10/1994]',0.037,-0.087,0.056,55.100,25.250,-0.286,-0.701
'[08:16:17.826 26/10/1994]',0.041,-0.065,0.056,55.100,25.250,-0.286,-0.701
'[08:16:17.828 26/10/1994]',0.043,-0.021,0.067,55.100,25.250,-0.286,-0.701
'[08:16:17.830 26/10/1994]',0.046,0.022,0.077,55.100,25.250,-0.286,-0.701
'[08:16:17.832 26/10/1994]',0.049,0.056,0.077,58.900,25.425,-0.289,-0.709
'[08:16:17.834 26/10/1994]',0.052,0.056,0.077,58.900,25.425,-0.289,-0.709
'[08:16:17.836 26/10/1994]',0.056,0.011,0.067,58.900,25.425,-0.289,-0.709
'[08:16:17.838 26/10/1994]',0.060,-0.043,0.056,58.900,25.425,-0.289,-0.709
'[08:16:17.840 26/10/1994]',0.064,-0.076,0.056,63.650,25.600,-0.292,-0.716
'[08:16:17.842 26/10/1994]',0.067,-0.065,0.056,63.650,25.600,-0.292,-0.716
'[08:16:17.844 26/10/1994]',0.071,-0.032,0.056,63.650,25.600,-0.292,-0.716
'[08:16:17.846 26/10/1994]',0.075,0.011,0.067,63.650,25.600,-0.292,-0.716
'[08:16:17.848 26/10/1994]',0.079,0.044,0.067,68.550,25.775,-0.295,-0.721
'[08:16:17.850 26/10/1994]',0.082,0.067,0.077,68.550,25.775,-0.295,-0.721
'[08:16:17.852 26/10/1994]',0.085,0.034,0.067,68.550,25.775,-0.295,-0.721
'[08:16:17.854 26/10/1994]',0.088,-0.010,0.056,68.550,25.775,-0.295,-0.721
'[08:16:17.856 26/10/1994]',0.090,-0.054,0.056,73.150,25.950,-0.295,-0.726
'[08:16:17.858 26/10/1994]',0.093,-0.065,0.056,73.150,25.950,-0.295,-0.726
'[08:16:17.860 26/10/1994]',0.096,-0.054,0.056,73.150,25.950,-0.295,-0.726
'[08:16:17.862 26/10/1994]',0.098,0.001,0.056,73.150,25.950,-0.295,-0.726
'[08:16:17.864 26/10/1994]',0.099,0.034,0.056,77.550,26.062,-0.294,-0.731
'[08:16:17.866 26/10/1994]',0.100,0.056,0.067,77.550,26.062,-0.294,-0.731
'[08:16:17.868 26/10/1994]',0.101,0.034,0.056,77.550,26.062,-0.294,-0.731
'[08:16:17.870 26/10/1994]',0.101,-0.010,0.056,77.550,26.062,-0.294,-0.731
'[08:16:17.872 26/10/1994]',0.102,-0.065,0.044,82.000,26.188,-0.288,-0.736
'[08:16:17.874 26/10/1994]',0.104,-0.076,0.034,82.000,26.188,-0.288,-0.736
'[08:16:17.876 26/10/1994]',0.104,-0.065,0.044,82.000,26.188,-0.288,-0.736
'[08:16:17.878 26/10/1994]',0.104,-0.021,0.044,82.000,26.188,-0.288,-0.736
'[08:16:17.880 26/10/1994]',0.103,0.034,0.056,86.650,26.300,-0.277,-0.740
'[08:16:17.882 26/10/1994]',0.103,0.067,0.056,86.650,26.300,-0.277,-0.740
'[08:16:17.884 26/10/1994]',0.102,0.067,0.056,86.650,26.300,-0.277,-0.740
'[08:16:17.886 26/10/1994]',0.100,0.034,0.044,86.650,26.300,-0.277,-0.740
'[08:16:17.888 26/10/1994]',0.098,-0.021,0.034,91.450,26.425,-0.257,-0.745
'[08:16:17.890 26/10/1994]',0.095,-0.032,0.034,91.450,26.425,-0.257,-0.745
'[08:16:17.892 26/10/1994]',0.092,-0.032,0.034,91.450,26.425,-0.257,-0.745
'[08:16:17.894 26/10/1994]',0.089,0.001,0.034,91.450,26.425,-0.257,-0.745
'[08:16:17.896 26/10/1994]',0.086,0.044,0.044,96.050,26.538,-0.230,-0.750
'[08:16:17.898 26/10/1994]',0.083,0.100,0.044,96.050,26.538,-0.230,-0.750
'[08:16:17.900 26/10/1994]',0.079,0.100,0.044,96.050,26.538,-0.230,-0.750
'[08:16:17.902 26/10/1994]',0.074,0.044,0.034,96.050,26.538,-0.230,-0.750
'[08:16:17.904 26/10/1994]',0.069,0.001,0.022,100.100,26.650,-0.194,-0.755
'[08:16:17.906 26/10/1994]',0.064,-0.010,0.022,100.100,26.650,-0.194,-0.755
'[08:16:17.908 26/10/1994]',0.060,-0.043,0.011,100.100,26.650,-0.194,-0.755
'[08:16:17.910 26/10/1994]',0.056,-0.021,0.022,100.100,26.650,-0.194,-0.755
'[08:16:17.912 26/10/1994]',0.052,0.034,0.022,102.850,26.712,-0.149,-0.760
'[08:16:17.914 26/10/1994]',0.049,0.088,0.034,102.850,26.712,-0.149,-0.760
'[08:16:17.916 26/10/1994]',0.045,0.100,0.034,102.850,26.712,-0.149,-0.760
'[08:16:17.918 26/10/1994]',0.041,0.077,0.022,102.850,26.712,-0.149,-0.760
'[08:16:17.920 26/10/1994]',0.036,0.011,0.011,104.000,26.825,-0.099,-0.766
'[08:16:17.922 26/10/1994]',0.031,-0.032,0.001,104.000,26.825,-0.099,-0.766
'[08:16:17.924 26/10/1994]',0.027,-0.065,0.001,104.000,26.825,-0.099,-0.766
'[08:16:17.926 26/10/1994]',0.023,-0.065,0.001,104.000,26.825,-0.099,-0.766
'[08:16:17.928 26/10/1994]',0.019,-0.021,0.001,103.450,26.950,-0.043,-0.771
'[08:16:17.930 26/10/1994]',0.016,0.022,0.011,103.450,26.950,-0.043,-0.771
'[08:16:17.932 26/10/1994]',0.013,0.044,0.011,103.450,26.950,-0.043,-0.771
'[08:16:17.934 26/10/1994]',0.009,0.034,0.001,103.450,26.950,-0.043,-0.771
'[08:16:17.936 26/10/1994]',0.006,-0.010,0.001,101.700,27.062,0.013,-0.775
'[08:16:17.938 26/10/1994]',0.003,-0.054,0.001,101.700,27.062,0.013,-0.775
'[08:16:17.940 26/10/1994]',-0.001,-0.087,-0.010,101.700,27.062,0.013,-0.775
'[08:16:17.942 26/10/1994]',-0.004,-0.076,-0.010,101.700,27.062,0.013,-0.775
'[08:16:17.944 26/10/1994]',-0.007,-0.054,0.001,99.050,27.125,0.068,-0.779
'[08:16:17.946 26/10/1994]',-0.011,0.001,0.001,99.050,27.125,0.068,-0.779
'[08:16:17.948 26/10/1994]',-0.014,0.044,0.001,99.050,27.125,0.068,-0.779
'[08:16:17.950 26/10/1994]',-0.017,0.034,0.001,99.050,27.125,0.068,-0.779
'[08:16:17.952 26/10/1994]',-0.021,0.001,0.001,96.000,27.188,0.117,-0.783
'[08:16:17.954 26/10/1994]',-0.024,-0.043,-0.010,96.000,27.188,0.117,-0.783
'[08:16:17.956 26/10/1994]',-0.027,-0.087,-0.010,96.000,27.188,0.117,-0.783
'[08:16:17.958 26/10/1994]',-0.030,-0.098,-0.010,96.000,27.188,0.117,-0.783
'[08:16:17.960 26/10/1994]',-0.032,-0.076,-0.010,92.750,27.188,0.161,-0.785
'[08:16:17.962 26/10/1994]',-0.034,-0.010,0.001,92.750,27.188,0.161,-0.785
'[08:16:17.964 26/10/1994]',-0.036,0.022,0.001,92.750,27.188,0.161,-0.785
'[08:16:17.966 26/10/1994]',-0.038,0.034,0.001,92.750,27.188,0.161,-0.785
'[08:16:17.968 26/10/1994]',-0.039,0.001,0.001,89.450,27.062,0.196,-0.787
'[08:16:17.970 26/10/1994]',-0.040,-0.043,-0.010,89.450,27.062,0.196,-0.787
'[08:16:17.972 26/10/1994]',-0.041,-0.087,-0.010,89.450,27.062,0.196,-0.787
'[08:16:17.974 26/10/1994]',-0.042,-0.109,-0.010,89.450,27.062,0.196,-0.787
'[08:16:17.976 26/10/1994]',-0.042,-0.087,-0.010,86.150,26.950,0.223,-0.789
'[08:16:17.978 26/10/1994]',-0.042,-0.043,0.001,86.150,26.950,0.223,-0.789
'[08:16:17.980 26/10/1994]',-0.042,0.011,0.001,86.150,26.950,0.223,-0.789
'[08:16:17.982 26/10/1994]',-0.042,0.034,0.001,86.150,26.950,0.223,-0.789
'[08:16:17.984 26/10/1994]',-0.043,0.022,0.001,83.100,26.712,0.240,-0.789
'[08:16:17.986 26/10/1994]',-0.043,-0.010,0.001,83.100,26.712,0.240,-0.789
'[08:16:17.988 26/10/1994]',-0.043,-0.065,-0.010,83.100,26.712,0.240,-0.789
'[08:16:17.990 26/10/1994]',-0.044,-0.087,-0.010,83.100,26.712,0.240,-0.789
'[08:16:17.992 26/10/1994]',-0.044,-0.076,-0.010,80.200,26.363,0.251,-0.788
'[08:16:17.994 26/10/1994]',-0.045,-0.043,0.001,80.200,26.363,0.251,-0.788
'[08:16:17.996 26/10/1994]',-0.044,0.011,0.001,80.200,26.363,0.251,-0.788
'[08:16:17.998 26/10/1994]',-0.044,0.056,0.011,80.200,26.363,0.251,-0.788
'[08:16:18.000 26/10/1994]',-0.044,0.056,0.011,77.450,25.887,0.256,-0.786
'[08:16:18.002 26/10/1994]',-0.044,0.022,0.001,77.450,25.887,0.256,-0.786
'[08:16:18.004 26/10/1994]',-0.044,-0.032,0.001,77.450,25.887,0.256,-0.786
'[08:16:18.006 26/10/1994]',-0.044,-0.076,-0.010,77.450,25.887,0.256,-0.786
'[08:16:18.008 26/10/1994]',-0.044,-0.076,0.001,74.850,25.250,0.255,-0.783
'[08:16:18.010 26/10/1994]',-0.044,-0.054,0.001,74.850,25.250,0.255,-0.783
'[08:16:18.012 26/10/1994]',-0.044,0.001,0.001,74.850,25.250,0.255,-0.783
'[08:16:18.014 26/10/1994]',-0.044,0.044,0.011,74.850,25.250,0.255,-0.783
'[08:16:18.016 26/10/1994]',-0.044,0.056,0.011,72.400,24.425,0.248,-0.780
'[08:16:18.018 26/10/1994]',-0.044,0.034,0.011,72.400,24.425,0.248,-0.780
'[08:16:18.020 26/10/1994]',-0.044,-0.021,0.001,72.400,24.425,0.248,-0.780
'[08:16:18.022 26/10/1994]',-0.044,-0.076,0.001,72.400,24.425,0.248,-0.780
'[08:16:18.024 26/10/1994]',-0.044,-0.087,0.001,70.050,23.488,0.238,-0.776
'[08:16:18.026 26/10/1994]',-0.044,-0.065,0.001,70.050,23.488,0.238,-0.776
'[08:16:18.028 26/10/1994]',-0.044,-0.032,0.001,70.050,23.488,0.238,-0.776
'[08:16:18.030 26/10/1994]',-0.044,0.011,0.001,70.050,23.488,0.238,-0.776
'[08:16:18.032 26/10/1994]',-0.044,0.044,0.011,67.750,22.550,0.224,-0.773
'[08:16:18.034 26/10/1994]',-0.044,0.034,0.001,67.750,22.550,0.224,-0.773
'[08:16:18.036 26/10/1994]',-0.043,0.001,0.001,67.750,22.550,0.224,-0.773
'[08:16:18.038 26/10/1994]',-0.043,-0.054,0.001,67.750,22.550,0.224,-0.773
'[08:16:18.040 26/10/1994]',-0.042,-0.076,0.001,65.550,21.850,0.206,-0.769
'[08:16:18.042 26/10/1994]',-0.041,-0.065,0.001,65.550,21.850,0.206,-0.769
'[08:16:18.044 26/10/1994]',-0.041,-0.032,0.001,65.550,21.850,0.206,-0.769
'[08:16:18.046 26/10/1994]',-0.040,0.022,0.001,65.550,21.850,0.206,-0.769
'[08:16:18.048 26/10/1994]',-0.040,0.056,0.011,63.500,21.375,0.211,-0.765
'[08:16:18.050 26/10/1994]',-0.040,0.056,0.001,63.500,21.375,0.211,-0.765
'[08:16:18.052 26/10/1994]',-0.040,0.001,0.001,63.500,21.375,0.211,-0.765
'[08:16:18.054 26/10/1994]',-0.040,-0.054,0.001,63.500,21.375,0.211,-0.765
'[08:16:18.056 26/10/1994]',-0.040,-0.087,-0.010,61.600,21.262,0.190,-0.760
'[08:16:18.058 26/10/1994]',-0.040,-0.087,-0.010,61.600,21.262,0.190,-0.760
'[08:16:18.060 26/10/1994]',-0.040,-0.065,-0.010,61.600,21.262,0.190,-0.760
'[08:16:18.062 26/10/1994]',-0.040,-0.010,0.001,61.600,21.262,0.190,-0.760
'[08:16:18.064 26/10/1994]',-0.040,0.044,0.001,59.850,21.500,0.165,-0.756
'[08:16:18.066 26/10/1994]',-0.040,0.088,0.011,59.850,21.500,0.165,-0.756
'[08:16:18.068 26/10/1994]',-0.040,0.067,0.001,59.850,21.500,0.165,-0.756
'[08:16:18.070 26/10/1994]',-0.039,0.011,0.001,59.850,21.500,0.165,-0.756
'[08:16:18.072 26/10/1994]',-0.037,-0.032,0.001,58.200,21.913,0.139,-0.751
'[08:16:18.074 26/10/1994]',-0.036,-0.043,-0.010,58.200,21.913,0.139,-0.751
'[08:16:18.076 26/10/1994]',-0.035,-0.021,0.001,58.200,21.913,0.139,-0.751
'[08:16:18.078 26/10/1994]',-0.033,0.001,0.001,58.200,21.913,0.139,-0.751
'[08:16:18.080 26/10/1994]',-0.032,0.022,0.001,56.700,22.262,0.112,-0.746
'[08:16:18.082 26/10/1994]',-0.030,0.034,0.001,56.700,22.262,0.112,-0.746
'[08:16:18.084 26/10/1994]',-0.029,-0.021,0.001,56.700,22.262,0.112,-0.746
'[08:16:18.086 26/10/1994]',-0.029,-0.087,-0.010,56.700,22.262,0.112,-0.746
'[08:16:18.088 26/10/1994]',-0.030,-0.153,-0.021,55.300,22.550,0.083,-0.742
'[08:16:18.090 26/10/1994]',-0.031,-0.174,-0.021,55.300,22.550,0.083,-0.742
'[08:16:18.092 26/10/1994]',-0.032,-0.164,-0.021,55.300,22.550,0.083,-0.742
'[08:16:18.094 26/10/1994]',-0.033,-0.120,-0.010,55.300,22.550,0.083,-0.742
'[08:16:18.096 26/10/1994]',-0.034,-0.065,-0.010,54.000,22.725,0.053,-0.738
'[08:16:18.098 26/10/1994]',-0.034,-0.010,0.001,54.000,22.725,0.053,-0.738
'[08:16:18.100 26/10/1994]',-0.034,0.001,0.001,54.000,22.725,0.053,-0.738
'[08:16:18.102 26/10/1994]',-0.033,-0.032,-0.010,54.000,22.725,0.053,-0.738
'[08:16:18.104 26/10/1994]',-0.033,-0.087,-0.021,52.900,22.850,0.025,-0.734
'[08:16:18.106 26/10/1994]',-0.033,-0.120,-0.021,52.900,22.850,0.025,-0.734
'[08:16:18.108 26/10/1994]',-0.033,-0.131,-0.021,52.900,22.850,0.025,-0.734
'[08:16:18.110 26/10/1994]',-0.033,-0.109,-0.021,52.900,22.850,0.025,-0.734
'[08:16:18.112 26/10/1994]',-0.033,-0.054,-0.010,51.950,22.850,-0.004,-0.730
'[08:16:18.114 26/10/1994]',-0.033,0.001,0.001,51.950,22.850,-0.004,-0.730
'[08:16:18.116 26/10/1994]',-0.033,0.022,0.001,51.950,22.850,-0.004,-0.730
'[08:16:18.118 26/10/1994]',-0.033,0.001,0.001,51.950,22.850,-0.004,-0.730
'[08:16:18.120 26/10/1994]',-0.033,-0.054,-0.010,51.150,22.725,-0.034,-0.727
'[08:16:18.122 26/10/1994]',-0.032,-0.087,-0.021,51.150,22.725,-0.034,-0.727
'[08:16:18.124 26/10/1994]',-0.030,-0.098,-0.021,51.150,22.725,-0.034,-0.727
'[08:16:18.126 26/10/1994]',-0.029,-0.076,-0.010,51.150,22.725,-0.034,-0.727
'[08:16:18.128 26/10/1994]',-0.027,-0.032,-0.010,50.500,22.613,-0.064,-0.724
'[08:16:18.130 26/10/1994]',-0.025,0.022,0.001,50.500,22.613,-0.064,-0.724
'[08:16:18.132 26/10/1994]',-0.023,0.056,0.001,50.500,22.613,-0.064,-0.724
'[08:16:18.134 26/10/1994]',-0.021,0.044,0.001,50.500,22.613,-0.064,-0.724
'[08:16:18.136 26/10/1994]',-0.019,0.001,0.001,49.950,22.375,-0.092,-0.722
'[08:16:18.138 26/10/1994]',-0.018,-0.065,-0.010,49.950,22.375,-0.092,-0.722
'[08:16:18.140 26/10/1994]',-0.017,-0.109,-0.021,49.950,22.375,-0.092,-0.722
'[08:16:18.142 26/10/1994]',-0.015,-0.120,-0.021,49.950,22.375,-0.092,-0.722
'[08:16:18.144 26/10/1994]',-0.015,-0.076,-0.010,49.550,22.137,-0.119,-0.719
'[08:16:18.146 26/10/1994]',-0.014,-0.021,0.001,49.550,22.137,-0.119,-0.719
'[08:16:18.148 26/10/1994]',-0.014,0.011,0.001,49.550,22.137,-0.119,-0.719
'[08:16:18.150 26/10/1994]',-0.014,0.011,0.001,49.550,22.137,-0.119,-0.719
'[08:16:18.152 26/10/1994]',-0.013,-0.021,0.001,49.350,21.850,-0.147,-0.717
'[08:16:18.154 26/10/1994]',-0.012,-0.065,-0.010,49.350,21.850,-0.147,-0.717
'[08:16:18.156 26/10/1994]',-0.011,-0.098,-0.010,49.350,21.850,-0.147,-0.717
'[08:16:18.158 26/10/1994]',-0.011,-0.109,-0.010,49.350,21.850,-0.147,-0.717
'[08:16:18.160 26/10/1994]',-0.011,-0.076,-0.010,49.300,21.500,-0.174,-0.716
'[08:16:18.162 26/10/1994]',-0.011,-0.010,0.001,49.300,21.500,-0.174,-0.716
'[08:16:18.164 26/10/1994]',-0.011,0.034,0.001,49.300,21.500,-0.174,-0.716
'[08:16:18.166 26/10/1994]',-0.012,0.056,0.001,49.300,21.500,-0.174,-0.716
'[08:16:18.168 26/10/1994]',-0.013,0.034,0.001,49.450,21.150,-0.199,-0.714
'[08:16:18.170 26/10/1994]',-0.015,-0.010,-0.010,49.450,21.150,-0.199,-0.714
'[08:16:18.172 26/10/1994]',-0.015,-0.076,-0.010,49.450,21.150,-0.199,-0.714
'[08:16:18.174 26/10/1994]',-0.016,-0.098,-0.021,49.450,21.150,-0.199,-0.714
'[08:16:18.176 26/10/1994]',-0.018,-0.087,-0.021,49.700,20.738,-0.223,-0.713
'[08:16:18.178 26/10/1994]',-0.019,-0.032,-0.010,49.700,20.738,-0.223,-0.713
'[08:16:18.180 26/10/1994]',-0.021,0.022,0.001,49.700,20.738,-0.223,-0.713
'[08:16:18.182 26/10/1994]',-0.022,0.044,0.001,49.700,20.738,-0.223,-0.713
'[08:16:18.184 26/10/1994]',-0.022,0.022,0.001,50.150,20.387,-0.246,-0.712
'[08:16:18.186 26/10/1994]',-0.023,0.001,-0.010,50.150,20.387,-0.246,-0.712
'[08:16:18.188 26/10/1994]',-0.022,-0.065,-0.010,50.150,20.387,-0.246,-0.712
'[08:16:18.190 26/10/1994]',-0.021,-0.087,-0.021,50.150,20.387,-0.246,-0.712
'[08:16:18.192 26/10/1994]',-0.020,-0.076,-0.021,50.650,19.975,-0.267,-0.711
'[08:16:18.194 26/10/1994]',-0.019,-0.043,-0.010,50.650,19.975,-0.267,-0.711
'[08:16:18.196 26/10/1994]',-0.018,0.011,0.001,50.650,19.975,-0.267,-0.711
'[08:16:18.198 26/10/1994]',-0.018,0.044,0.001,50.650,19.975,-0.267,-0.711
'[08:16:18.200 26/10/1994]',-0.019,0.044,0.001,51.350,19.562,-0.286,-0.710
'[08:16:18.202 26/10/1994]',-0.020,0.011,-0.010,51.350,19.562,-0.286,-0.710
'[08:16:18.204 26/10/1994]',-0.021,-0.054,-0.010,51.350,19.562,-0.286,-0.710
'[08:16:18.206 26/10/1994]',-0.022,-0.098,-0.021,51.350,19.562,-0.286,-0.710
'[08:16:18.208 26/10/1994]',-0.022,-0.109,-0.021,52.000,19.150,-0.303,-0.708
'[08:16:18.210 26/10/1994]',-0.023,-0.076,-0.010,52.000,19.150,-0.303,-0.708
'[08:16:18.212 26/10/1994]',-0.024,-0.032,-0.010,52.000,19.150,-0.303,-0.708
'[08:16:18.214 26/10/1994]',-0.025,0.011,0.001,52.000,19.150,-0.303,-0.708
'[08:16:18.216 26/10/1994]',-0.026,0.034,0.001,52.700,18.800,-0.319,-0.706
'[08:16:18.218 26/10/1994]',-0.028,0.001,0.001,52.700,18.800,-0.319,-0.706
'[08:16:18.220 26/10/1994]',-0.028,-0.043,-0.010,52.700,18.800,-0.319,-0.706
'[08:16:18.222 26/10/1994]',-0.028,-0.098,-0.021,52.700,18.800,-0.319,-0.706
'[08:16:18.224 26/10/1994]',-0.028,-0.120,-0.021,53.350,18.450,-0.331,-0.704
'[08:16:18.226 26/10/1994]',-0.027,-0.087,-0.021,53.350,18.450,-0.331,-0.704
'[08:16:18.228 26/10/1994]',-0.025,-0.043,-0.010,53.350,18.450,-0.331,-0.704
'[08:16:18.230 26/10/1994]',-0.024,0.001,0.001,53.350,18.450,-0.331,-0.704
'[08:16:18.232 26/10/1994]',-0.024,0.034,0.001,54.000,18.212,-0.339,-0.702
'[08:16:18.234 26/10/1994]',-0.023,0.022,0.001,54.000,18.212,-0.339,-0.702
'[08:16:18.236 26/10/1994]',-0.023,-0.021,-0.010,54.000,18.212,-0.339,-0.702
'[08:16:18.238 26/10/1994]',-0.023,-0.076,-0.021,54.000,18.212,-0.339,-0.702
'[08:16:18.240 26/10/1994]',-0.025,-0.109,-0.021,54.700,17.988,-0.345,-0.699
'[08:16:18.242 26/10/1994]',-0.026,-0.098,-0.021,54.700,17.988,-0.345,-0.699
'[08:16:18.244 26/10/1994]',-0.029,-0.065,-0.010,54.700,17.988,-0.345,-0.699
'[08:16:18.246 26/10/1994]',-0.031,0.001,0.001,54.700,17.988,-0.345,-0.699
'[08:16:18.248 26/10/1994]',-0.032,0.044,0.001,55.400,17.812,-0.347,-0.697
'[08:16:18.250 26/10/1994]',-0.032,0.067,0.001,55.400,17.812,-0.347,-0.697
'[08:16:18.252 26/10/1994]',-0.029,0.034,0.001,55.400,17.812,-0.347,-0.697
'[08:16:18.254 26/10/1994]',-0.025,-0.032,0.001,55.400,17.812,-0.347,-0.697
'[08:16:18.256 26/10/1994]',-0.011,-0.076,-0.010,56.100,17.750,-0.346,-0.695
'[08:16:18.258 26/10/1994]',0.004,-0.076,-0.010,56.100,17.750,-0.346,-0.695
'[08:16:18.260 26/10/1994]',0.036,-0.043,-0.010,56.100,17.750,-0.346,-0.695
'[08:16:18.262 26/10/1994]',0.069,0.011,-0.021,56.100,17.750,-0.346,-0.695
'[08:16:18.264 26/10/1994]',0.126,0.077,-0.054,56.750,17.688,-0.342,-0.693
'[08:16:18.266 26/10/1994]',0.182,0.088,-0.098,56.750,17.688,-0.342,-0.693
'[08:16:18.268 26/10/1994]',0.259,0.056,-0.153,56.750,17.688,-0.342,-0.693
'[08:16:18.270 26/10/1994]',0.336,-0.010,-0.218,56.750,17.688,-0.342,-0.693
'[08:16:18.272 26/10/1994]',0.418,-0.087,-0.284,57.400,17.625,-0.335,-0.691
'[08:16:18.274 26/10/1994]',0.501,-0.164,-0.350,57.400,17.625,-0.335,-0.691
'[08:16:18.276 26/10/1994]',0.566,-0.207,-0.405,57.400,17.625,-0.335,-0.691
'[08:16:18.278 26/10/1994]',0.630,-0.218,-0.449,57.400,17.625,-0.335,-0.691
'[08:16:18.280 26/10/1994]',0.654,-0.252,-0.492,58.000,17.625,-0.326,-0.689
'[08:16:18.282 26/10/1994]',0.679,-0.295,-0.525,58.000,17.625,-0.326,-0.689
'[08:16:18.284 26/10/1994]',0.656,-0.361,-0.547,58.000,17.625,-0.326,-0.689
'[08:16:18.286 26/10/1994]',0.634,-0.449,-0.558,58.000,17.625,-0.326,-0.689
'[08:16:18.288 26/10/1994]',0.575,-0.514,-0.547,58.450,17.575,-0.314,-0.686
'[08:16:18.290 26/10/1994]',0.516,-0.525,-0.514,58.450,17.575,-0.314,-0.686
'[08:16:18.292 26/10/1994]',0.442,-0.514,-0.470,58.450,17.575,-0.314,-0.686
'[08:16:18.294 26/10/1994]',0.368,-0.449,-0.427,58.450,17.575,-0.314,-0.686
'[08:16:18.296 26/10/1994]',0.297,-0.350,-0.361,58.850,17.450,-0.300,-0.684
'[08:16:18.298 26/10/1994]',0.226,-0.263,-0.306,58.850,17.450,-0.300,-0.684
'[08:16:18.300 26/10/1994]',0.171,-0.218,-0.240,58.850,17.450,-0.300,-0.684
'[08:16:18.302 26/10/1994]',0.115,-0.218,-0.197,58.850,17.450,-0.300,-0.684
'[08:16:18.304 26/10/1994]',0.077,-0.240,-0.164,59.100,17.337,-0.286,-0.682
'[08:16:18.306 26/10/1994]',0.040,-0.252,-0.131,59.100,17.337,-0.286,-0.682
'[08:16:18.308 26/10/1994]',0.018,-0.240,-0.098,59.100,17.337,-0.286,-0.682
'[08:16:18.310 26/10/1994]',-0.003,-0.174,-0.065,59.100,17.337,-0.286,-0.682
'[08:16:18.312 26/10/1994]',-0.015,-0.098,-0.032,59.250,17.225,-0.272,-0.681
'[08:16:18.314 26/10/1994]',-0.026,-0.032,0.001,59.250,17.225,-0.272,-0.681
'[08:16:18.316 26/10/1994]',-0.033,0.001,0.011,59.250,17.225,-0.272,-0.681
'[08:16:18.318 26/10/1994]',-0.040,-0.010,0.011,59.250,17.225,-0.272,-0.681
'[08:16:18.320 26/10/1994]',-0.043,-0.065,0.011,59.350,17.100,-0.258,-0.679
'[08:16:18.322 26/10/1994]',-0.047,-0.087,0.011,59.350,17.100,-0.258,-0.679
'[08:16:18.324 26/10/1994]',-0.049,-0.109,0.011,59.350,17.100,-0.258,-0.679
'[08:16:18.326 26/10/1994]',-0.051,-0.076,0.022,59.350,17.100,-0.258,-0.679
'[08:16:18.328 26/10/1994]',-0.051,-0.032,0.034,59.250,16.988,-0.244,-0.678
'[08:16:18.330 26/10/1994]',-0.052,0.022,0.044,59.250,16.988,-0.244,-0.678
'[08:16:18.332 26/10/1994]',-0.052,0.056,0.044,59.250,16.988,-0.244,-0.678
'[08:16:18.334 26/10/1994]',-0.052,0.044,0.044,59.250,16.988,-0.244,-0.678
'[08:16:18.336 26/10/1994]',-0.051,-0.010,0.044,59.050,16.812,-0.232,-0.677
'[08:16:18.338 26/10/1994]',-0.051,-0.065,0.034,59.050,16.812,-0.232,-0.677
'[08:16:18.340 26/10/1994]',-0.051,-0.087,0.022,59.050,16.812,-0.232,-0.677
'[08:16:18.342 26/10/1994]',-0.051,-0.087,0.022,59.050,16.812,-0.232,-0.677
'[08:16:18.344 26/10/1994]',-0.051,-0.043,0.034,58.800,16.688,-0.220,-0.675
'[08:16:18.346 26/10/1994]',-0.052,0.011,0.044,58.800,16.688,-0.220,-0.675
'[08:16:18.348 26/10/1994]',-0.051,0.056,0.056,58.800,16.688,-0.220,-0.675
'[08:16:18.350 26/10/1994]',-0.051,0.056,0.056,58.800,16.688,-0.220,-0.675
'[08:16:18.352 26/10/1994]',-0.050,0.011,0.044,58.450,16.462,-0.210,-0.672
'[08:16:18.354 26/10/1994]',-0.048,-0.032,0.034,58.450,16.462,-0.210,-0.672
'[08:16:18.356 26/10/1994]',-0.048,-0.076,0.034,58.450,16.462,-0.210,-0.672
'[08:16:18.358 26/10/1994]',-0.048,-0.076,0.034,58.450,16.462,-0.210,-0.672
'[08:16:18.360 26/10/1994]',-0.048,-0.054,0.034,58.050,16.225,-0.201,-0.668
'[08:16:18.362 26/10/1994]',-0.047,0.011,0.044,58.050,16.225,-0.201,-0.668
'[08:16:18.364 26/10/1994]',-0.045,0.056,0.056,58.050,16.225,-0.201,-0.668
'[08:16:18.366 26/10/1994]',-0.044,0.067,0.056,58.050,16.225,-0.201,-0.668
'[08:16:18.368 26/10/1994]',-0.043,0.034,0.044,57.700,15.988,-0.194,-0.664
'[08:16:18.370 26/10/1994]',-0.043,-0.010,0.044,57.700,15.988,-0.194,-0.664
'[08:16:18.372 26/10/1994]',-0.043,-0.065,0.034,57.700,15.988,-0.194,-0.664
'[08:16:18.374 26/10/1994]',-0.042,-0.087,0.034,57.700,15.988,-0.194,-0.664
'[08:16:18.376 26/10/1994]',-0.042,-0.065,0.034,57.300,15.750,-0.189,-0.661
