'Time and date','V','aVL','V','ABP','PAP','CVP','PLETH'
'[10:01:55.070 29/12/1995]',-0.051,-0.021,-0.098,69.750,28.274,14.963,-0.189
'[10:01:55.072 29/12/1995]',-0.051,-0.010,-0.087,69.600,27.848,15.312,-0.213
'[10:01:55.074 29/12/1995]',-0.051,-0.021,-0.098,69.600,27.848,15.312,-0.213
'[10:01:55.076 29/12/1995]',-0.051,-0.010,-0.087,69.600,27.848,15.312,-0.213
'[10:01:55.078 29/12/1995]',-0.051,-0.010,-0.098,69.600,27.848,15.312,-0.213
'[10:01:55.080 29/12/1995]',-0.051,-0.010,-0.087,69.400,27.673,15.600,-0.235
'[10:01:55.082 29/12/1995]',-0.106,-0.043,-0.153,69.400,27.673,15.600,-0.235
'[10:01:55.084 29/12/1995]',-0.106,-0.043,-0.153,69.400,27.673,15.600,-0.235
'[10:01:55.086 29/12/1995]',-0.051,-0.054,-0.142,69.400,27.673,15.600,-0.235
'[10:01:55.088 29/12/1995]',-0.051,-0.043,-0.120,69.250,27.673,15.900,-0.254
'[10:01:55.090 29/12/1995]',-0.051,-0.043,-0.109,69.250,27.673,15.900,-0.254
'[10:01:55.092 29/12/1995]',-0.051,-0.032,-0.109,69.250,27.673,15.900,-0.254
'[10:01:55.094 29/12/1995]',-0.051,-0.032,-0.098,69.250,27.673,15.900,-0.254
'[10:01:55.096 29/12/1995]',-0.051,-0.010,-0.098,69.050,27.748,16.188,-0.272
'[10:01:55.098 29/12/1995]',-0.051,-0.021,-0.109,69.050,27.748,16.188,-0.272
'[10:01:55.100 29/12/1995]',-0.051,-0.032,-0.098,69.050,27.748,16.188,-0.272
'[10:01:55.102 29/12/1995]',-0.051,-0.043,-0.109,69.050,27.748,16.188,-0.272
'[10:01:55.104 29/12/1995]',-0.051,-0.054,-0.109,68.900,27.848,16.363,-0.286
'[10:01:55.106 29/12/1995]',-0.051,-0.054,-0.098,68.900,27.848,16.363,-0.286
'[10:01:55.108 29/12/1995]',-0.051,-0.043,-0.098,68.900,27.848,16.363,-0.286
'[10:01:55.110 29/12/1995]',-0.051,-0.032,-0.098,68.900,27.848,16.363,-0.286
'[10:01:55.112 29/12/1995]',-0.051,-0.043,-0.098,68.700,27.973,16.538,-0.298
'[10:01:55.114 29/12/1995]',-0.051,-0.032,-0.098,68.700,27.973,16.538,-0.298
'[10:01:55.116 29/12/1995]',-0.051,-0.032,-0.098,68.700,27.973,16.538,-0.298
'[10:01:55.118 29/12/1995]',-0.051,-0.043,-0.109,68.700,27.973,16.538,-0.298
'[10:01:55.120 29/12/1995]',-0.051,-0.043,-0.109,68.600,28.148,16.650,-0.309
'[10:01:55.122 29/12/1995]',-0.051,-0.043,-0.109,68.600,28.148,16.650,-0.309
'[10:01:55.124 29/12/1995]',-0.051,-0.043,-0.109,68.600,28.148,16.650,-0.309
'[10:01:55.126 29/12/1995]',-0.051,-0.043,-0.120,68.600,28.148,16.650,-0.309
'[10:01:55.128 29/12/1995]',-0.051,-0.021,-0.098,68.450,28.274,16.775,-0.317
'[10:01:55.130 29/12/1995]',-0.051,-0.043,-0.109,68.450,28.274,16.775,-0.317
'[10:01:55.132 29/12/1995]',-0.051,-0.043,-0.098,68.450,28.274,16.775,-0.317
'[10:01:55.134 29/12/1995]',-0.051,-0.043,-0.098,68.450,28.274,16.775,-0.317
'[10:01:55.136 29/12/1995]',-0.051,-0.054,-0.098,68.250,28.449,16.887,-0.324
'[10:01:55.138 29/12/1995]',-0.051,-0.043,-0.109,68.250,28.449,16.887,-0.324
'[10:01:55.140 29/12/1995]',-0.051,-0.032,-0.098,68.250,28.449,16.887,-0.324
'[10:01:55.142 29/12/1995]',-0.051,-0.032,-0.109,68.250,28.449,16.887,-0.324
'[10:01:55.144 29/12/1995]',-0.051,-0.032,-0.109,67.950,28.624,16.950,-0.329
'[10:01:55.146 29/12/1995]',-0.051,-0.032,-0.109,67.950,28.624,16.950,-0.329
'[10:01:55.148 29/12/1995]',-0.051,-0.043,-0.109,67.950,28.624,16.950,-0.329
'[10:01:55.150 29/12/1995]',-0.051,-0.043,-0.131,67.950,28.624,16.950,-0.329
'[10:01:55.152 29/12/1995]',-0.106,-0.043,-0.153,67.650,28.749,16.950,-0.335
'[10:01:55.154 29/12/1995]',-0.106,-0.043,-0.185,67.650,28.749,16.950,-0.335
'[10:01:55.156 29/12/1995]',-0.162,-0.054,-0.252,67.650,28.749,16.950,-0.335
'[10:01:55.158 29/12/1995]',-0.218,-0.054,-0.350,67.650,28.749,16.950,-0.335
'[10:01:55.160 29/12/1995]',-0.329,-0.043,-0.481,67.350,28.849,16.950,-0.339
'[10:01:55.162 29/12/1995]',-0.441,-0.043,-0.635,67.350,28.849,16.950,-0.339
'[10:01:55.164 29/12/1995]',-0.608,-0.043,-0.788,67.350,28.849,16.950,-0.339
'[10:01:55.166 29/12/1995]',-0.719,-0.043,-0.986,67.350,28.849,16.950,-0.339
'[10:01:55.168 29/12/1995]',-0.884,-0.065,-,67.000,28.849,16.887,-0.343
'[10:01:55.170 29/12/1995]',-1.051,-0.076,-,67.000,28.849,16.887,-0.343
'[10:01:55.172 29/12/1995]',-1.218,-0.076,-,67.000,28.849,16.887,-0.343
'[10:01:55.174 29/12/1995]',-1.385,-0.076,-,67.000,28.849,16.887,-0.343
'[10:01:55.176 29/12/1995]',-1.552,-0.098,-,66.600,28.849,16.837,-0.347
'[10:01:55.178 29/12/1995]',-1.661,-0.098,-,66.600,28.849,16.837,-0.347
'[10:01:55.180 29/12/1995]',-1.772,-0.076,-,66.600,28.849,16.837,-0.347
'[10:01:55.182 29/12/1995]',-1.884,-0.065,-,66.600,28.849,16.837,-0.347
'[10:01:55.184 29/12/1995]',-1.995,-0.054,-,66.150,28.849,16.712,-0.351
'[10:01:55.186 29/12/1995]',-2.106,-0.032,-,66.150,28.849,16.712,-0.351
'[10:01:55.188 29/12/1995]',-2.218,-0.010,-,66.150,28.849,16.712,-0.351
'[10:01:55.190 29/12/1995]',-2.273,0.022,-,66.150,28.849,16.712,-0.351
'[10:01:55.192 29/12/1995]',-2.382,0.056,-,65.600,28.849,16.600,-0.355
'[10:01:55.194 29/12/1995]',-2.438,0.077,-,65.600,28.849,16.600,-0.355
'[10:01:55.196 29/12/1995]',-2.494,0.111,-,65.600,28.849,16.600,-0.355
'[10:01:55.198 29/12/1995]',-2.494,0.111,-,65.600,28.849,16.600,-0.355
'[10:01:55.200 29/12/1995]',-2.549,0.111,-,65.150,28.974,16.538,-0.360
'[10:01:55.202 29/12/1995]',-2.549,0.111,-,65.150,28.974,16.538,-0.360
'[10:01:55.204 29/12/1995]',-2.605,0.111,-,65.150,28.974,16.538,-0.360
'[10:01:55.206 29/12/1995]',-2.605,0.100,-,65.150,28.974,16.538,-0.360
'[10:01:55.208 29/12/1995]',-2.549,0.111,-,64.700,29.324,16.425,-0.365
'[10:01:55.210 29/12/1995]',-2.494,0.077,-,64.700,29.324,16.425,-0.365
'[10:01:55.212 29/12/1995]',-2.438,0.067,-,64.700,29.324,16.425,-0.365
'[10:01:55.214 29/12/1995]',-2.382,0.067,-,64.700,29.324,16.425,-0.365
'[10:01:55.216 29/12/1995]',-2.273,0.067,-,64.300,30.025,16.363,-0.369
'[10:01:55.218 29/12/1995]',-2.162,0.111,-,64.300,30.025,16.363,-0.369
'[10:01:55.220 29/12/1995]',-2.106,0.133,-,64.300,30.025,16.363,-0.369
'[10:01:55.222 29/12/1995]',-1.939,0.176,-,64.300,30.025,16.363,-0.369
'[10:01:55.224 29/12/1995]',-1.828,0.231,-,63.850,31.076,16.363,-0.375
'[10:01:55.226 29/12/1995]',-1.716,0.253,-,63.850,31.076,16.363,-0.375
'[10:01:55.228 29/12/1995]',-1.605,0.308,-,63.850,31.076,16.363,-0.375
'[10:01:55.230 29/12/1995]',-1.496,0.330,-,63.850,31.076,16.363,-0.375
'[10:01:55.232 29/12/1995]',-1.385,0.341,-,63.350,32.202,16.425,-0.381
'[10:01:55.234 29/12/1995]',-1.329,0.362,-,63.350,32.202,16.425,-0.381
'[10:01:55.236 29/12/1995]',-1.218,0.396,-,63.350,32.202,16.425,-0.381
'[10:01:55.238 29/12/1995]',-1.106,0.406,-,63.350,32.202,16.425,-0.381
'[10:01:55.240 29/12/1995]',-1.051,0.417,-,62.900,33.027,16.600,-0.388
'[10:01:55.242 29/12/1995]',-0.939,0.440,-,62.900,33.027,16.600,-0.388
'[10:01:55.244 29/12/1995]',-0.828,0.462,-,62.900,33.027,16.600,-0.388
'[10:01:55.246 29/12/1995]',-0.719,0.494,-0.975,62.900,33.027,16.600,-0.388
'[10:01:55.248 29/12/1995]',-0.663,0.494,-0.844,62.400,33.428,16.887,-0.394
'[10:01:55.250 29/12/1995]',-0.552,0.505,-0.723,62.400,33.428,16.887,-0.394
'[10:01:55.252 29/12/1995]',-0.496,0.494,-0.624,62.400,33.428,16.887,-0.394
'[10:01:55.254 29/12/1995]',-0.385,0.494,-0.525,62.400,33.428,16.887,-0.394
'[10:01:55.256 29/12/1995]',-0.273,0.505,-0.405,61.800,33.603,17.238,-0.400
'[10:01:55.258 29/12/1995]',-0.218,0.472,-0.317,61.800,33.603,17.238,-0.400
'[10:01:55.260 29/12/1995]',-0.162,0.494,-0.230,61.800,33.603,17.238,-0.400
'[10:01:55.262 29/12/1995]',-0.106,0.451,-0.153,61.800,33.603,17.238,-0.400
'[10:01:55.264 29/12/1995]',-0.051,0.417,-0.109,61.200,34.128,17.712,-0.406
'[10:01:55.266 29/12/1995]',-0.051,0.373,-0.076,61.200,34.128,17.712,-0.406
'[10:01:55.268 29/12/1995]',0.005,0.319,-0.043,61.200,34.128,17.712,-0.406
'[10:01:55.270 29/12/1995]',0.005,0.264,-0.010,61.200,34.128,17.712,-0.406
'[10:01:55.272 29/12/1995]',0.005,0.220,0.011,60.700,35.079,18.175,-0.414
'[10:01:55.274 29/12/1995]',0.005,0.176,0.044,60.700,35.079,18.175,-0.414
'[10:01:55.276 29/12/1995]',0.005,0.154,0.077,60.700,35.079,18.175,-0.414
'[10:01:55.278 29/12/1995]',0.058,0.133,0.121,60.700,35.079,18.175,-0.414
'[10:01:55.280 29/12/1995]',0.058,0.100,0.154,60.250,36.130,18.712,-0.421
'[10:01:55.282 29/12/1995]',0.114,0.056,0.176,60.250,36.130,18.712,-0.421
'[10:01:55.284 29/12/1995]',0.114,0.022,0.198,60.250,36.130,18.712,-0.421
'[10:01:55.286 29/12/1995]',0.114,0.001,0.220,60.250,36.130,18.712,-0.421
'[10:01:55.288 29/12/1995]',0.170,-0.010,0.253,59.800,37.006,19.175,-0.430
'[10:01:55.290 29/12/1995]',0.170,-0.032,0.275,59.800,37.006,19.175,-0.430
'[10:01:55.292 29/12/1995]',0.225,-0.032,0.308,59.800,37.006,19.175,-0.430
'[10:01:55.294 29/12/1995]',0.225,-0.043,0.319,59.800,37.006,19.175,-0.430
'[10:01:55.296 29/12/1995]',0.225,-0.043,0.341,59.400,37.481,19.700,-0.438
'[10:01:55.298 29/12/1995]',0.225,-0.054,0.351,59.400,37.481,19.700,-0.438
'[10:01:55.300 29/12/1995]',0.225,-0.065,0.351,59.400,37.481,19.700,-0.438
'[10:01:55.302 29/12/1995]',0.225,-0.065,0.362,59.400,37.481,19.700,-0.438
'[10:01:55.304 29/12/1995]',0.225,-0.076,0.362,59.100,37.656,20.175,-0.447
'[10:01:55.306 29/12/1995]',0.281,-0.065,0.373,59.100,37.656,20.175,-0.447
'[10:01:55.308 29/12/1995]',0.281,-0.065,0.385,59.100,37.656,20.175,-0.447
'[10:01:55.310 29/12/1995]',0.281,-0.054,0.385,59.100,37.656,20.175,-0.447
'[10:01:55.312 29/12/1995]',0.281,-0.065,0.396,58.850,37.481,20.587,-0.455
'[10:01:55.314 29/12/1995]',0.281,-0.065,0.406,58.850,37.481,20.587,-0.455
'[10:01:55.316 29/12/1995]',0.281,-0.076,0.406,58.850,37.481,20.587,-0.455
'[10:01:55.318 29/12/1995]',0.281,-0.098,0.417,58.850,37.481,20.587,-0.455
'[10:01:55.320 29/12/1995]',0.281,-0.076,0.428,58.800,37.056,20.938,-0.462
'[10:01:55.322 29/12/1995]',0.281,-0.098,0.428,58.800,37.056,20.938,-0.462
'[10:01:55.324 29/12/1995]',0.337,-0.076,0.462,58.800,37.056,20.938,-0.462
'[10:01:55.326 29/12/1995]',0.337,-0.065,0.462,58.800,37.056,20.938,-0.462
'[10:01:55.328 29/12/1995]',0.337,-0.065,0.483,58.800,36.656,21.225,-0.475
'[10:01:55.330 29/12/1995]',0.337,-0.076,0.494,58.800,36.656,21.225,-0.475
'[10:01:55.332 29/12/1995]',0.337,-0.076,0.505,58.800,36.656,21.225,-0.475
'[10:01:55.334 29/12/1995]',0.392,-0.076,0.516,58.800,36.656,21.225,-0.475
'[10:01:55.336 29/12/1995]',0.392,-0.098,0.527,58.900,36.530,21.337,-0.482
'[10:01:55.338 29/12/1995]',0.392,-0.076,0.538,58.900,36.530,21.337,-0.482
'[10:01:55.340 29/12/1995]',0.392,-0.065,0.560,58.900,36.530,21.337,-0.482
'[10:01:55.342 29/12/1995]',0.392,-0.065,0.582,58.900,36.530,21.337,-0.482
'[10:01:55.344 29/12/1995]',0.448,-0.065,0.604,59.150,36.881,21.400,-0.490
'[10:01:55.346 29/12/1995]',0.448,-0.065,0.615,59.150,36.881,21.400,-0.490
'[10:01:55.348 29/12/1995]',0.448,-0.098,0.625,59.150,36.881,21.400,-0.490
'[10:01:55.350 29/12/1995]',0.504,-0.098,0.647,59.150,36.881,21.400,-0.490
'[10:01:55.352 29/12/1995]',0.504,-0.098,0.669,59.750,37.406,21.288,-0.495
'[10:01:55.354 29/12/1995]',0.504,-0.109,0.692,59.750,37.406,21.288,-0.495
'[10:01:55.356 29/12/1995]',0.504,-0.098,0.714,59.750,37.406,21.288,-0.495
'[10:01:55.358 29/12/1995]',0.559,-0.076,0.747,59.750,37.406,21.288,-0.495
'[10:01:55.360 29/12/1995]',0.559,-0.065,0.768,60.900,38.132,21.225,-0.501
'[10:01:55.362 29/12/1995]',0.615,-0.065,0.801,60.900,38.132,21.225,-0.501
'[10:01:55.364 29/12/1995]',0.615,-0.076,0.823,60.900,38.132,21.225,-0.501
'[10:01:55.366 29/12/1995]',0.615,-0.076,0.845,60.900,38.132,21.225,-0.501
'[10:01:55.368 29/12/1995]',0.671,-0.098,0.867,63.000,39.058,21.050,-0.504
'[10:01:55.370 29/12/1995]',0.671,-0.098,0.900,63.000,39.058,21.050,-0.504
'[10:01:55.372 29/12/1995]',0.671,-0.076,0.922,63.000,39.058,21.050,-0.504
'[10:01:55.374 29/12/1995]',0.727,-0.076,0.955,63.000,39.058,21.050,-0.504
'[10:01:55.376 29/12/1995]',0.727,-0.065,0.988,66.050,40.534,20.875,-0.505
'[10:01:55.378 29/12/1995]',0.782,-0.065,1.020,66.050,40.534,20.875,-0.505
'[10:01:55.380 29/12/1995]',0.782,-0.076,1.024,66.050,40.534,20.875,-0.505
'[10:01:55.382 29/12/1995]',0.782,-0.076,1.024,66.050,40.534,20.875,-0.505
'[10:01:55.384 29/12/1995]',0.835,-0.098,1.024,69.800,42.410,20.700,-0.503
'[10:01:55.386 29/12/1995]',0.835,-0.109,1.024,69.800,42.410,20.700,-0.503
'[10:01:55.388 29/12/1995]',0.891,-0.109,1.024,69.800,42.410,20.700,-0.503
'[10:01:55.390 29/12/1995]',0.891,-0.098,1.024,69.800,42.410,20.700,-0.503
'[10:01:55.392 29/12/1995]',0.891,-0.098,1.024,73.900,44.562,20.462,-0.498
'[10:01:55.394 29/12/1995]',0.947,-0.076,1.024,73.900,44.562,20.462,-0.498
'[10:01:55.396 29/12/1995]',0.947,-0.076,1.024,73.900,44.562,20.462,-0.498
'[10:01:55.398 29/12/1995]',0.947,-0.098,1.024,73.900,44.562,20.462,-0.498
'[10:01:55.400 29/12/1995]',0.947,-0.109,1.024,78.100,46.689,20.175,-0.486
'[10:01:55.402 29/12/1995]',0.947,-0.109,1.024,78.100,46.689,20.175,-0.486
'[10:01:55.404 29/12/1995]',1.003,-0.109,1.024,78.100,46.689,20.175,-0.486
'[10:01:55.406 29/12/1995]',1.003,-0.109,1.024,78.100,46.689,20.175,-0.486
'[10:01:55.408 29/12/1995]',1.003,-0.098,1.024,82.200,48.615,20.000,-0.468
'[10:01:55.410 29/12/1995]',1.003,-0.098,1.024,82.200,48.615,20.000,-0.468
'[10:01:55.412 29/12/1995]',1.003,-0.098,1.024,82.200,48.615,20.000,-0.468
'[10:01:55.414 29/12/1995]',1.003,-0.109,1.024,82.200,48.615,20.000,-0.468
'[10:01:55.416 29/12/1995]',1.003,-0.109,1.024,85.850,50.192,19.762,-0.441
'[10:01:55.418 29/12/1995]',1.003,-0.131,1.024,85.850,50.192,19.762,-0.441
'[10:01:55.420 29/12/1995]',0.947,-0.120,1.024,85.850,50.192,19.762,-0.441
'[10:01:55.422 29/12/1995]',0.947,-0.131,1.024,85.850,50.192,19.762,-0.441
'[10:01:55.424 29/12/1995]',0.947,-0.120,1.024,89.100,51.318,19.587,-0.404
'[10:01:55.426 29/12/1995]',0.947,-0.120,1.024,89.100,51.318,19.587,-0.404
'[10:01:55.428 29/12/1995]',0.947,-0.109,1.024,89.100,51.318,19.587,-0.404
'[10:01:55.430 29/12/1995]',0.891,-0.120,1.024,89.100,51.318,19.587,-0.404
'[10:01:55.432 29/12/1995]',0.835,-0.131,1.024,91.800,51.843,19.350,-0.358
'[10:01:55.434 29/12/1995]',0.835,-0.142,1.024,91.800,51.843,19.350,-0.358
'[10:01:55.436 29/12/1995]',0.835,-0.142,1.024,91.800,51.843,19.350,-0.358
'[10:01:55.438 29/12/1995]',0.782,-0.142,1.020,91.800,51.843,19.350,-0.358
'[10:01:55.440 29/12/1995]',0.727,-0.131,0.999,94.000,51.668,19.175,-0.302
'[10:01:55.442 29/12/1995]',0.727,-0.131,0.944,94.000,51.668,19.175,-0.302
'[10:01:55.444 29/12/1995]',0.671,-0.131,0.922,94.000,51.668,19.175,-0.302
'[10:01:55.446 29/12/1995]',0.671,-0.131,0.878,94.000,51.668,19.175,-0.302
'[10:01:55.448 29/12/1995]',0.615,-0.131,0.834,96.050,50.742,18.938,-0.240
'[10:01:55.450 29/12/1995]',0.615,-0.153,0.779,96.050,50.742,18.938,-0.240
'[10:01:55.452 29/12/1995]',0.559,-0.153,0.736,96.050,50.742,18.938,-0.240
'[10:01:55.454 29/12/1995]',0.504,-0.142,0.692,96.050,50.742,18.938,-0.240
'[10:01:55.456 29/12/1995]',0.504,-0.142,0.658,98.000,49.091,18.762,-0.169
'[10:01:55.458 29/12/1995]',0.448,-0.142,0.615,98.000,49.091,18.762,-0.169
'[10:01:55.460 29/12/1995]',0.448,-0.131,0.571,98.000,49.091,18.762,-0.169
'[10:01:55.462 29/12/1995]',0.392,-0.120,0.538,98.000,49.091,18.762,-0.169
'[10:01:55.464 29/12/1995]',0.392,-0.131,0.494,100.000,46.789,18.650,-0.097
'[10:01:55.466 29/12/1995]',0.337,-0.131,0.462,100.000,46.789,18.650,-0.097
'[10:01:55.468 29/12/1995]',0.281,-0.131,0.406,100.000,46.789,18.650,-0.097
'[10:01:55.470 29/12/1995]',0.281,-0.142,0.385,100.000,46.789,18.650,-0.097
'[10:01:55.472 29/12/1995]',0.225,-0.131,0.351,102.050,44.037,18.525,-0.024
'[10:01:55.474 29/12/1995]',0.225,-0.120,0.319,102.050,44.037,18.525,-0.024
'[10:01:55.476 29/12/1995]',0.225,-0.120,0.297,102.050,44.037,18.525,-0.024
'[10:01:55.478 29/12/1995]',0.170,-0.109,0.264,102.050,44.037,18.525,-0.024
'[10:01:55.480 29/12/1995]',0.170,-0.098,0.242,104.100,40.934,18.413,0.046
'[10:01:55.482 29/12/1995]',0.170,-0.120,0.220,104.100,40.934,18.413,0.046
'[10:01:55.484 29/12/1995]',0.114,-0.109,0.198,104.100,40.934,18.413,0.046
'[10:01:55.486 29/12/1995]',0.114,-0.109,0.176,104.100,40.934,18.413,0.046
'[10:01:55.488 29/12/1995]',0.114,-0.109,0.154,105.750,37.831,18.238,0.114
'[10:01:55.490 29/12/1995]',0.114,-0.076,0.143,105.750,37.831,18.238,0.114
'[10:01:55.492 29/12/1995]',0.058,-0.065,0.133,105.750,37.831,18.238,0.114
'[10:01:55.494 29/12/1995]',0.058,-0.065,0.121,105.750,37.831,18.238,0.114
'[10:01:55.496 29/12/1995]',0.058,-0.054,0.100,106.900,34.654,18.000,0.172
'[10:01:55.498 29/12/1995]',0.058,-0.054,0.088,106.900,34.654,18.000,0.172
'[10:01:55.500 29/12/1995]',0.058,-0.054,0.077,106.900,34.654,18.000,0.172
'[10:01:55.502 29/12/1995]',0.005,-0.065,0.067,106.900,34.654,18.000,0.172
'[10:01:55.504 29/12/1995]',0.005,-0.054,0.044,107.500,31.551,17.712,0.225
'[10:01:55.506 29/12/1995]',0.005,-0.054,0.034,107.500,31.551,17.712,0.225
'[10:01:55.508 29/12/1995]',0.005,-0.043,0.022,107.500,31.551,17.712,0.225
'[10:01:55.510 29/12/1995]',0.005,-0.043,0.022,107.500,31.551,17.712,0.225
'[10:01:55.512 29/12/1995]',0.005,-0.032,0.034,107.450,28.574,17.413,0.270
'[10:01:55.514 29/12/1995]',0.005,-0.043,0.011,107.450,28.574,17.413,0.270
'[10:01:55.516 29/12/1995]',0.005,-0.032,0.011,107.450,28.574,17.413,0.270
'[10:01:55.518 29/12/1995]',0.005,-0.043,0.001,107.450,28.574,17.413,0.270
'[10:01:55.520 29/12/1995]',0.005,-0.043,0.001,106.650,25.922,17.062,0.308
'[10:01:55.522 29/12/1995]',0.005,-0.043,0.001,106.650,25.922,17.062,0.308
'[10:01:55.524 29/12/1995]',0.005,-0.032,0.001,106.650,25.922,17.062,0.308
'[10:01:55.526 29/12/1995]',0.005,-0.032,0.001,106.650,25.922,17.062,0.308
'[10:01:55.528 29/12/1995]',0.005,-0.021,0.001,105.150,23.920,16.650,0.341
'[10:01:55.530 29/12/1995]',0.005,-0.032,0.001,105.150,23.920,16.650,0.341
'[10:01:55.532 29/12/1995]',0.005,-0.032,0.001,105.150,23.920,16.650,0.341
'[10:01:55.534 29/12/1995]',0.005,-0.043,0.001,105.150,23.920,16.650,0.341
'[10:01:55.536 29/12/1995]',0.005,-0.043,0.001,102.850,22.769,16.188,0.368
'[10:01:55.538 29/12/1995]',0.005,-0.043,-0.010,102.850,22.769,16.188,0.368
'[10:01:55.540 29/12/1995]',0.005,-0.043,-0.010,102.850,22.769,16.188,0.368
'[10:01:55.542 29/12/1995]',0.005,-0.043,-0.010,102.850,22.769,16.188,0.368
'[10:01:55.544 29/12/1995]',0.005,-0.032,0.001,99.950,22.519,15.713,0.392
'[10:01:55.546 29/12/1995]',0.005,-0.043,0.001,99.950,22.519,15.713,0.392
'[10:01:55.548 29/12/1995]',0.005,-0.032,0.001,99.950,22.519,15.713,0.392
'[10:01:55.550 29/12/1995]',0.005,-0.032,0.001,99.950,22.519,15.713,0.392
'[10:01:55.552 29/12/1995]',0.005,-0.043,0.001,96.700,23.119,15.188,0.410
'[10:01:55.554 29/12/1995]',0.005,-0.043,-0.010,96.700,23.119,15.188,0.410
'[10:01:55.556 29/12/1995]',0.005,-0.043,0.001,96.700,23.119,15.188,0.410
'[10:01:55.558 29/12/1995]',0.005,-0.032,-0.010,96.700,23.119,15.188,0.410
'[10:01:55.560 29/12/1995]',0.005,-0.032,0.001,93.600,24.270,14.725,0.422
'[10:01:55.562 29/12/1995]',0.005,-0.032,0.001,93.600,24.270,14.725,0.422
'[10:01:55.564 29/12/1995]',0.005,-0.032,0.001,93.600,24.270,14.725,0.422
'[10:01:55.566 29/12/1995]',0.005,-0.043,0.001,93.600,24.270,14.725,0.422
'[10:01:55.568 29/12/1995]',0.005,-0.043,-0.010,90.800,25.922,14.250,0.429
'[10:01:55.570 29/12/1995]',0.005,-0.043,-0.010,90.800,25.922,14.250,0.429
'[10:01:55.572 29/12/1995]',0.005,-0.054,-0.021,90.800,25.922,14.250,0.429
'[10:01:55.574 29/12/1995]',0.005,-0.054,-0.021,90.800,25.922,14.250,0.429
'[10:01:55.576 29/12/1995]',0.005,-0.043,-0.010,88.350,28.023,13.838,0.429
'[10:01:55.578 29/12/1995]',0.005,-0.043,-0.021,88.350,28.023,13.838,0.429
'[10:01:55.580 29/12/1995]',0.005,-0.043,-0.010,88.350,28.023,13.838,0.429
'[10:01:55.582 29/12/1995]',0.005,-0.043,-0.010,88.350,28.023,13.838,0.429
'[10:01:55.584 29/12/1995]',0.005,-0.054,-0.021,86.150,30.801,13.438,0.421
'[10:01:55.586 29/12/1995]',0.005,-0.054,-0.032,86.150,30.801,13.438,0.421
'[10:01:55.588 29/12/1995]',0.005,-0.054,-0.032,86.150,30.801,13.438,0.421
'[10:01:55.590 29/12/1995]',0.005,-0.054,-0.032,86.150,30.801,13.438,0.421
'[10:01:55.592 29/12/1995]',0.005,-0.032,0.001,84.300,34.429,13.088,0.406
'[10:01:55.594 29/12/1995]',0.504,1.024,0.692,84.300,34.429,13.088,0.406
'[10:01:55.596 29/12/1995]',0.281,0.790,0.396,84.300,34.429,13.088,0.406
'[10:01:55.598 29/12/1995]',0.170,0.417,0.209,84.300,34.429,13.088,0.406
'[10:01:55.600 29/12/1995]',0.058,0.198,0.077,82.700,38.707,12.725,0.384
'[10:01:55.602 29/12/1995]',0.005,0.034,0.001,82.700,38.707,12.725,0.384
'[10:01:55.604 29/12/1995]',0.005,-0.065,-0.054,82.700,38.707,12.725,0.384
'[10:01:55.606 29/12/1995]',-0.051,-0.142,-0.098,82.700,38.707,12.725,0.384
'[10:01:55.608 29/12/1995]',-0.051,-0.197,-0.131,81.250,42.761,12.500,0.356
'[10:01:55.610 29/12/1995]',-0.106,-0.274,-0.164,81.250,42.761,12.500,0.356
'[10:01:55.612 29/12/1995]',-0.106,-0.328,-0.197,81.250,42.761,12.500,0.356
'[10:01:55.614 29/12/1995]',-0.162,-0.394,-0.218,81.250,42.761,12.500,0.356
'[10:01:55.616 29/12/1995]',-0.162,-0.427,-0.230,79.850,45.463,12.262,0.324
'[10:01:55.618 29/12/1995]',-0.162,-0.449,-0.240,79.850,45.463,12.262,0.324
'[10:01:55.620 29/12/1995]',-0.162,-0.438,-0.240,79.850,45.463,12.262,0.324
'[10:01:55.622 29/12/1995]',-0.162,-0.416,-0.230,79.850,45.463,12.262,0.324
'[10:01:55.624 29/12/1995]',-0.162,-0.361,-0.218,78.550,46.389,12.088,0.288
'[10:01:55.626 29/12/1995]',-0.106,-0.328,-0.185,78.550,46.389,12.088,0.288
'[10:01:55.628 29/12/1995]',-0.106,-0.295,-0.153,78.550,46.389,12.088,0.288
'[10:01:55.630 29/12/1995]',-0.106,-0.263,-0.142,78.550,46.389,12.088,0.288
'[10:01:55.632 29/12/1995]',-0.051,-0.240,-0.131,77.400,45.738,11.963,0.250
'[10:01:55.634 29/12/1995]',-0.051,-0.218,-0.120,77.400,45.738,11.963,0.250
'[10:01:55.636 29/12/1995]',-0.051,-0.197,-0.131,77.400,45.738,11.963,0.250
'[10:01:55.638 29/12/1995]',-0.051,-0.174,-0.131,77.400,45.738,11.963,0.250
'[10:01:55.640 29/12/1995]',-0.051,-0.142,-0.120,76.300,44.387,11.787,0.211
'[10:01:55.642 29/12/1995]',-0.051,-0.142,-0.120,76.300,44.387,11.787,0.211
'[10:01:55.644 29/12/1995]',-0.051,-0.109,-0.098,76.300,44.387,11.787,0.211
'[10:01:55.646 29/12/1995]',-0.051,-0.098,-0.098,76.300,44.387,11.787,0.211
'[10:01:55.648 29/12/1995]',-0.051,-0.098,-0.098,75.250,42.811,11.738,0.174
