'Time and date','aVL','III','V','ABP','PLETH','RESP'
'[13:11:55.870 13/07/1995]',0.113,-0.307,0.697,64.286,0.000,-0.254
'[13:11:55.872 13/07/1995]',0.073,-0.236,0.511,64.060,0.000,-0.258
'[13:11:55.874 13/07/1995]',0.033,-0.164,0.326,64.060,0.000,-0.258
'[13:11:55.876 13/07/1995]',0.006,-0.108,0.191,64.060,0.000,-0.258
'[13:11:55.878 13/07/1995]',-0.021,-0.052,0.055,64.060,0.000,-0.258
'[13:11:55.880 13/07/1995]',-0.040,-0.012,-0.017,63.759,0.000,-0.262
'[13:11:55.882 13/07/1995]',-0.059,0.028,-0.090,63.759,0.000,-0.262
'[13:11:55.884 13/07/1995]',-0.072,0.061,-0.118,63.759,0.000,-0.262
'[13:11:55.886 13/07/1995]',-0.085,0.094,-0.146,63.759,0.000,-0.262
'[13:11:55.888 13/07/1995]',-0.096,0.127,-0.158,63.383,0.000,-0.267
'[13:11:55.890 13/07/1995]',-0.108,0.161,-0.170,63.383,0.000,-0.267
'[13:11:55.892 13/07/1995]',-0.116,0.190,-0.179,63.383,0.000,-0.267
'[13:11:55.894 13/07/1995]',-0.124,0.220,-0.187,63.383,0.000,-0.267
'[13:11:55.896 13/07/1995]',-0.133,0.244,-0.198,63.083,0.000,-0.273
'[13:11:55.898 13/07/1995]',-0.141,0.269,-0.208,63.083,0.000,-0.273
'[13:11:55.900 13/07/1995]',-0.146,0.286,-0.222,63.083,0.000,-0.273
'[13:11:55.902 13/07/1995]',-0.150,0.304,-0.236,63.083,0.000,-0.273
'[13:11:55.904 13/07/1995]',-0.154,0.312,-0.248,62.782,0.000,-0.281
'[13:11:55.906 13/07/1995]',-0.157,0.321,-0.260,62.782,0.000,-0.281
'[13:11:55.908 13/07/1995]',-0.160,0.328,-0.272,62.782,0.000,-0.281
'[13:11:55.910 13/07/1995]',-0.162,0.335,-0.284,62.782,0.000,-0.281
'[13:11:55.912 13/07/1995]',-0.164,0.339,-0.298,62.406,0.000,-0.293
'[13:11:55.914 13/07/1995]',-0.167,0.342,-0.312,62.406,0.000,-0.293
'[13:11:55.916 13/07/1995]',-0.169,0.346,-0.324,62.406,0.000,-0.293
'[13:11:55.918 13/07/1995]',-0.171,0.349,-0.336,62.406,0.000,-0.293
'[13:11:55.920 13/07/1995]',-0.173,0.351,-0.347,62.180,0.000,-0.307
'[13:11:55.922 13/07/1995]',-0.174,0.353,-0.357,62.180,0.000,-0.307
'[13:11:55.924 13/07/1995]',-0.173,0.356,-0.366,62.180,0.000,-0.307
'[13:11:55.926 13/07/1995]',-0.171,0.360,-0.374,62.180,0.000,-0.307
'[13:11:55.928 13/07/1995]',-0.173,0.360,-0.386,61.880,0.000,-0.323
'[13:11:55.930 13/07/1995]',-0.174,0.360,-0.399,61.880,0.000,-0.323
'[13:11:55.932 13/07/1995]',-0.178,0.365,-0.411,61.880,0.000,-0.323
'[13:11:55.934 13/07/1995]',-0.183,0.370,-0.423,61.880,0.000,-0.323
'[13:11:55.936 13/07/1995]',-0.192,0.377,-0.437,61.579,0.000,-0.339
'[13:11:55.938 13/07/1995]',-0.202,0.384,-0.451,61.579,0.000,-0.339
'[13:11:55.940 13/07/1995]',-0.210,0.393,-0.463,61.579,0.000,-0.339
'[13:11:55.942 13/07/1995]',-0.218,0.401,-0.475,61.579,0.000,-0.339
'[13:11:55.944 13/07/1995]',-0.222,0.410,-0.487,61.203,0.000,-0.354
'[13:11:55.946 13/07/1995]',-0.225,0.419,-0.499,61.203,0.000,-0.354
'[13:11:55.948 13/07/1995]',-0.225,0.422,-0.508,61.203,0.000,-0.354
'[13:11:55.950 13/07/1995]',-0.225,0.426,-0.516,61.203,0.000,-0.354
'[13:11:55.952 13/07/1995]',-0.225,0.431,-0.527,60.902,0.000,-0.371
'[13:11:55.954 13/07/1995]',-0.225,0.436,-0.537,60.902,0.000,-0.371
'[13:11:55.956 13/07/1995]',-0.228,0.440,-0.549,60.902,0.000,-0.371
'[13:11:55.958 13/07/1995]',-0.230,0.443,-0.562,60.902,0.000,-0.371
'[13:11:55.960 13/07/1995]',-0.232,0.447,-0.570,60.602,0.000,-0.387
'[13:11:55.962 13/07/1995]',-0.235,0.450,-0.579,60.602,0.000,-0.387
'[13:11:55.964 13/07/1995]',-0.237,0.455,-0.588,60.602,0.000,-0.387
'[13:11:55.966 13/07/1995]',-0.239,0.461,-0.596,60.602,0.000,-0.387
'[13:11:55.968 13/07/1995]',-0.242,0.466,-0.607,60.602,0.000,-0.402
'[13:11:55.970 13/07/1995]',-0.244,0.471,-0.617,60.602,0.000,-0.402
'[13:11:55.972 13/07/1995]',-0.246,0.480,-0.626,60.602,0.000,-0.402
'[13:11:55.974 13/07/1995]',-0.249,0.489,-0.634,60.602,0.000,-0.402
'[13:11:55.976 13/07/1995]',-0.250,0.494,-0.645,61.278,0.000,-0.416
'[13:11:55.978 13/07/1995]',-0.251,0.499,-0.655,61.278,0.000,-0.416
'[13:11:55.980 13/07/1995]',-0.255,0.508,-0.666,61.278,0.000,-0.416
'[13:11:55.982 13/07/1995]',-0.258,0.517,-0.676,61.278,0.000,-0.416
'[13:11:55.984 13/07/1995]',-0.265,0.529,-0.685,63.534,0.000,-0.429
'[13:11:55.986 13/07/1995]',-0.272,0.541,-0.693,63.534,0.000,-0.429
'[13:11:55.988 13/07/1995]',-0.281,0.553,-0.704,63.534,0.000,-0.429
'[13:11:55.990 13/07/1995]',-0.289,0.565,-0.714,63.534,0.000,-0.429
'[13:11:55.992 13/07/1995]',-0.297,0.578,-0.723,68.571,0.000,-0.441
'[13:11:55.994 13/07/1995]',-0.305,0.590,-0.731,68.571,0.000,-0.441
'[13:11:55.996 13/07/1995]',-0.313,0.599,-0.740,68.571,0.000,-0.441
'[13:11:55.998 13/07/1995]',-0.322,0.607,-0.749,68.571,0.000,-0.441
'[13:11:56.000 13/07/1995]',-0.330,0.618,-0.759,77.218,0.000,-0.451
'[13:11:56.002 13/07/1995]',-0.338,0.628,-0.769,77.218,0.000,-0.451
'[13:11:56.004 13/07/1995]',-0.343,0.644,-0.780,77.218,0.000,-0.451
'[13:11:56.006 13/07/1995]',-0.347,0.660,-0.790,77.218,0.000,-0.451
'[13:11:56.008 13/07/1995]',-0.352,0.675,-0.804,89.023,0.000,-0.460
'[13:11:56.010 13/07/1995]',-0.357,0.691,-0.818,89.023,0.000,-0.460
'[13:11:56.012 13/07/1995]',-0.364,0.700,-0.830,89.023,0.000,-0.460
'[13:11:56.014 13/07/1995]',-0.371,0.709,-0.842,89.023,0.000,-0.460
'[13:11:56.016 13/07/1995]',-0.376,0.717,-0.854,102.256,0.000,-0.468
'[13:11:56.018 13/07/1995]',-0.380,0.726,-0.867,102.256,0.000,-0.468
'[13:11:56.020 13/07/1995]',-0.384,0.733,-0.880,102.256,0.000,-0.468
'[13:11:56.022 13/07/1995]',-0.387,0.740,-0.894,102.256,0.000,-0.468
'[13:11:56.024 13/07/1995]',-0.386,0.742,-0.905,115.414,0.000,-0.474
'[13:11:56.026 13/07/1995]',-0.385,0.743,-0.915,115.414,0.000,-0.474
'[13:11:56.028 13/07/1995]',-0.383,0.742,-0.922,115.414,0.000,-0.474
'[13:11:56.030 13/07/1995]',-0.380,0.740,-0.929,115.414,0.000,-0.474
'[13:11:56.032 13/07/1995]',-0.377,0.736,-0.925,127.669,0.000,-0.479
'[13:11:56.034 13/07/1995]',-0.373,0.733,-0.922,127.669,0.000,-0.479
'[13:11:56.036 13/07/1995]',-0.365,0.728,-0.910,127.669,0.000,-0.479
'[13:11:56.038 13/07/1995]',-0.357,0.723,-0.898,127.669,0.000,-0.479
'[13:11:56.040 13/07/1995]',-0.344,0.707,-0.882,138.421,0.000,-0.482
'[13:11:56.042 13/07/1995]',-0.331,0.691,-0.867,138.421,0.000,-0.482
'[13:11:56.044 13/07/1995]',-0.316,0.667,-0.846,138.421,0.000,-0.482
'[13:11:56.046 13/07/1995]',-0.300,0.642,-0.825,138.421,0.000,-0.482
'[13:11:56.048 13/07/1995]',-0.283,0.614,-0.794,147.368,0.000,-0.485
'[13:11:56.050 13/07/1995]',-0.265,0.586,-0.763,147.368,0.000,-0.485
'[13:11:56.052 13/07/1995]',-0.244,0.560,-0.728,147.368,0.000,-0.485
'[13:11:56.054 13/07/1995]',-0.223,0.534,-0.693,147.368,0.000,-0.485
'[13:11:56.056 13/07/1995]',-0.202,0.503,-0.653,153.609,0.000,-0.487
'[13:11:56.058 13/07/1995]',-0.181,0.471,-0.614,153.609,0.000,-0.487
'[13:11:56.060 13/07/1995]',-0.164,0.440,-0.570,153.609,0.000,-0.487
'[13:11:56.062 13/07/1995]',-0.148,0.408,-0.527,153.609,0.000,-0.487
'[13:11:56.064 13/07/1995]',-0.131,0.382,-0.480,156.917,0.000,-0.489
'[13:11:56.066 13/07/1995]',-0.115,0.356,-0.433,156.917,0.000,-0.489
'[13:11:56.068 13/07/1995]',-0.101,0.332,-0.385,156.917,0.000,-0.489
'[13:11:56.070 13/07/1995]',-0.087,0.307,-0.336,156.917,0.000,-0.489
'[13:11:56.072 13/07/1995]',-0.072,0.283,-0.291,157.669,0.000,-0.491
'[13:11:56.074 13/07/1995]',-0.056,0.258,-0.246,157.669,0.000,-0.491
'[13:11:56.076 13/07/1995]',-0.042,0.239,-0.201,157.669,0.000,-0.491
'[13:11:56.078 13/07/1995]',-0.028,0.220,-0.156,157.669,0.000,-0.491
'[13:11:56.080 13/07/1995]',-0.016,0.202,-0.114,156.241,0.000,-0.493
'[13:11:56.082 13/07/1995]',-0.005,0.185,-0.073,156.241,0.000,-0.493
'[13:11:56.084 13/07/1995]',0.004,0.169,-0.036,156.241,0.000,-0.493
'[13:11:56.086 13/07/1995]',0.012,0.154,0.000,156.241,0.000,-0.493
'[13:11:56.088 13/07/1995]',0.015,0.138,0.029,153.233,0.000,-0.495
'[13:11:56.090 13/07/1995]',0.019,0.122,0.059,153.233,0.000,-0.495
'[13:11:56.092 13/07/1995]',0.022,0.108,0.081,153.233,0.000,-0.495
'[13:11:56.094 13/07/1995]',0.026,0.094,0.104,153.233,0.000,-0.495
'[13:11:56.096 13/07/1995]',0.031,0.084,0.123,149.248,0.000,-0.497
'[13:11:56.098 13/07/1995]',0.035,0.073,0.142,149.248,0.000,-0.497
'[13:11:56.100 13/07/1995]',0.040,0.066,0.156,149.248,0.000,-0.497
'[13:11:56.102 13/07/1995]',0.045,0.059,0.170,149.248,0.000,-0.497
'[13:11:56.104 13/07/1995]',0.049,0.054,0.175,144.586,0.000,-0.499
'[13:11:56.106 13/07/1995]',0.054,0.049,0.180,144.586,0.000,-0.499
'[13:11:56.108 13/07/1995]',0.058,0.047,0.185,144.586,0.000,-0.499
'[13:11:56.110 13/07/1995]',0.061,0.045,0.191,144.586,0.000,-0.499
'[13:11:56.112 13/07/1995]',0.065,0.040,0.198,139.774,0.000,-0.500
'[13:11:56.114 13/07/1995]',0.068,0.035,0.205,139.774,0.000,-0.500
'[13:11:56.116 13/07/1995]',0.069,0.028,0.211,139.774,0.000,-0.500
'[13:11:56.118 13/07/1995]',0.070,0.021,0.218,139.774,0.000,-0.500
'[13:11:56.120 13/07/1995]',0.073,0.014,0.224,134.812,0.000,-0.502
'[13:11:56.122 13/07/1995]',0.075,0.007,0.229,134.812,0.000,-0.502
'[13:11:56.124 13/07/1995]',0.077,0.002,0.234,134.812,0.000,-0.502
'[13:11:56.126 13/07/1995]',0.080,-0.003,0.239,134.812,0.000,-0.502
'[13:11:56.128 13/07/1995]',0.082,-0.010,0.241,130.000,0.000,-0.503
'[13:11:56.130 13/07/1995]',0.085,-0.017,0.243,130.000,0.000,-0.503
'[13:11:56.132 13/07/1995]',0.086,-0.021,0.239,130.000,0.000,-0.503
'[13:11:56.134 13/07/1995]',0.087,-0.024,0.236,130.000,0.000,-0.503
'[13:11:56.136 13/07/1995]',0.089,-0.026,0.234,125.338,0.000,-0.505
'[13:11:56.138 13/07/1995]',0.092,-0.028,0.232,125.338,0.000,-0.505
'[13:11:56.140 13/07/1995]',0.089,-0.028,0.234,125.338,0.000,-0.505
'[13:11:56.142 13/07/1995]',0.087,-0.028,0.236,125.338,0.000,-0.505
'[13:11:56.144 13/07/1995]',0.086,-0.026,0.237,120.827,0.000,-0.507
'[13:11:56.146 13/07/1995]',0.085,-0.024,0.239,120.827,0.000,-0.507
'[13:11:56.148 13/07/1995]',0.085,-0.024,0.239,120.827,0.000,-0.507
'[13:11:56.150 13/07/1995]',0.085,-0.024,0.239,120.827,0.000,-0.507
'[13:11:56.152 13/07/1995]',0.085,-0.026,0.234,116.391,0.000,-0.509
'[13:11:56.154 13/07/1995]',0.085,-0.028,0.229,116.391,0.000,-0.509
'[13:11:56.156 13/07/1995]',0.085,-0.028,0.225,116.391,0.000,-0.509
'[13:11:56.158 13/07/1995]',0.085,-0.028,0.222,116.391,0.000,-0.509
'[13:11:56.160 13/07/1995]',0.085,-0.026,0.217,112.105,0.000,-0.510
'[13:11:56.162 13/07/1995]',0.085,-0.024,0.211,112.105,0.000,-0.510
'[13:11:56.164 13/07/1995]',0.085,-0.024,0.208,112.105,0.000,-0.510
'[13:11:56.166 13/07/1995]',0.085,-0.024,0.205,112.105,0.000,-0.510
'[13:11:56.168 13/07/1995]',0.085,-0.026,0.203,107.895,0.000,-0.511
'[13:11:56.170 13/07/1995]',0.085,-0.028,0.201,107.895,0.000,-0.511
'[13:11:56.172 13/07/1995]',0.085,-0.028,0.201,107.895,0.000,-0.511
'[13:11:56.174 13/07/1995]',0.085,-0.028,0.201,107.895,0.000,-0.511
'[13:11:56.176 13/07/1995]',0.085,-0.026,0.201,103.759,0.000,-0.511
'[13:11:56.178 13/07/1995]',0.085,-0.024,0.201,103.759,0.000,-0.511
'[13:11:56.180 13/07/1995]',0.085,-0.024,0.201,103.759,0.000,-0.511
'[13:11:56.182 13/07/1995]',0.085,-0.024,0.201,103.759,0.000,-0.511
'[13:11:56.184 13/07/1995]',0.083,-0.024,0.201,100.000,0.000,-0.511
'[13:11:56.186 13/07/1995]',0.082,-0.024,0.201,100.000,0.000,-0.511
'[13:11:56.188 13/07/1995]',0.080,-0.019,0.201,100.000,0.000,-0.511
'[13:11:56.190 13/07/1995]',0.077,-0.014,0.201,100.000,0.000,-0.511
'[13:11:56.192 13/07/1995]',0.075,-0.009,0.203,96.692,0.000,-0.510
'[13:11:56.194 13/07/1995]',0.073,-0.003,0.205,96.692,0.000,-0.510
'[13:11:56.196 13/07/1995]',0.069,0.000,0.208,96.692,0.000,-0.510
'[13:11:56.198 13/07/1995]',0.066,0.003,0.211,96.692,0.000,-0.510
'[13:11:56.200 13/07/1995]',0.063,0.009,0.215,93.985,0.000,-0.509
'[13:11:56.202 13/07/1995]',0.061,0.014,0.218,93.985,0.000,-0.509
'[13:11:56.204 13/07/1995]',0.060,0.019,0.224,93.985,0.000,-0.509
'[13:11:56.206 13/07/1995]',0.059,0.024,0.229,93.985,0.000,-0.509
'[13:11:56.208 13/07/1995]',0.059,0.031,0.234,91.955,0.000,-0.508
'[13:11:56.210 13/07/1995]',0.059,0.038,0.239,91.955,0.000,-0.508
'[13:11:56.212 13/07/1995]',0.059,0.040,0.239,91.955,0.000,-0.508
'[13:11:56.214 13/07/1995]',0.059,0.042,0.239,91.955,0.000,-0.508
'[13:11:56.216 13/07/1995]',0.059,0.045,0.234,90.602,0.000,-0.507
'[13:11:56.218 13/07/1995]',0.059,0.049,0.229,90.602,0.000,-0.507
'[13:11:56.220 13/07/1995]',0.059,0.051,0.225,90.602,0.000,-0.507
'[13:11:56.222 13/07/1995]',0.059,0.052,0.222,90.602,0.000,-0.507
'[13:11:56.224 13/07/1995]',0.059,0.051,0.217,89.850,0.000,-0.505
'[13:11:56.226 13/07/1995]',0.059,0.049,0.211,89.850,0.000,-0.505
'[13:11:56.228 13/07/1995]',0.059,0.049,0.206,89.850,0.000,-0.505
'[13:11:56.230 13/07/1995]',0.059,0.049,0.201,89.850,0.000,-0.505
'[13:11:56.232 13/07/1995]',0.059,0.049,0.194,89.474,0.000,-0.504
'[13:11:56.234 13/07/1995]',0.059,0.049,0.187,89.474,0.000,-0.504
'[13:11:56.236 13/07/1995]',0.059,0.049,0.182,89.474,0.000,-0.504
'[13:11:56.238 13/07/1995]',0.059,0.049,0.177,89.474,0.000,-0.504
'[13:11:56.240 13/07/1995]',0.059,0.047,0.173,89.323,0.000,-0.502
'[13:11:56.242 13/07/1995]',0.059,0.045,0.170,89.323,0.000,-0.502
'[13:11:56.244 13/07/1995]',0.059,0.042,0.166,89.323,0.000,-0.502
'[13:11:56.246 13/07/1995]',0.059,0.038,0.163,89.323,0.000,-0.502
'[13:11:56.248 13/07/1995]',0.059,0.035,0.156,89.398,0.000,-0.500
'[13:11:56.250 13/07/1995]',0.059,0.031,0.149,89.398,0.000,-0.500
'[13:11:56.252 13/07/1995]',0.059,0.028,0.144,89.398,0.000,-0.500
'[13:11:56.254 13/07/1995]',0.059,0.024,0.139,89.398,0.000,-0.500
'[13:11:56.256 13/07/1995]',0.060,0.017,0.135,89.474,0.000,-0.498
'[13:11:56.258 13/07/1995]',0.061,0.010,0.132,89.474,0.000,-0.498
'[13:11:56.260 13/07/1995]',0.063,0.010,0.130,89.474,0.000,-0.498
'[13:11:56.262 13/07/1995]',0.066,0.010,0.128,89.474,0.000,-0.498
'[13:11:56.264 13/07/1995]',0.068,0.010,0.127,89.398,0.000,-0.495
'[13:11:56.266 13/07/1995]',0.070,0.010,0.125,89.398,0.000,-0.495
'[13:11:56.268 13/07/1995]',0.073,0.010,0.125,89.398,0.000,-0.495
'[13:11:56.270 13/07/1995]',0.075,0.010,0.125,89.398,0.000,-0.495
'[13:11:56.272 13/07/1995]',0.076,0.010,0.125,89.248,0.000,-0.493
'[13:11:56.274 13/07/1995]',0.077,0.010,0.125,89.248,0.000,-0.493
'[13:11:56.276 13/07/1995]',0.079,0.009,0.125,89.248,0.000,-0.493
'[13:11:56.278 13/07/1995]',0.080,0.007,0.125,89.248,0.000,-0.493
'[13:11:56.280 13/07/1995]',0.081,0.002,0.125,89.023,0.000,-0.490
'[13:11:56.282 13/07/1995]',0.082,-0.003,0.125,89.023,0.000,-0.490
'[13:11:56.284 13/07/1995]',0.083,-0.010,0.125,89.023,0.000,-0.490
'[13:11:56.286 13/07/1995]',0.085,-0.017,0.125,89.023,0.000,-0.490
'[13:11:56.288 13/07/1995]',0.085,-0.021,0.123,88.421,0.000,-0.488
'[13:11:56.290 13/07/1995]',0.085,-0.024,0.121,88.421,0.000,-0.488
'[13:11:56.292 13/07/1995]',0.085,-0.026,0.118,88.421,0.000,-0.488
'[13:11:56.294 13/07/1995]',0.085,-0.028,0.114,88.421,0.000,-0.488
'[13:11:56.296 13/07/1995]',0.085,-0.028,0.113,87.669,0.000,-0.485
'[13:11:56.298 13/07/1995]',0.085,-0.028,0.111,87.669,0.000,-0.485
'[13:11:56.300 13/07/1995]',0.085,-0.026,0.111,87.669,0.000,-0.485
'[13:11:56.302 13/07/1995]',0.085,-0.024,0.111,87.669,0.000,-0.485
'[13:11:56.304 13/07/1995]',0.085,-0.024,0.114,86.842,0.000,-0.483
'[13:11:56.306 13/07/1995]',0.085,-0.024,0.118,86.842,0.000,-0.483
'[13:11:56.308 13/07/1995]',0.083,-0.024,0.121,86.842,0.000,-0.483
'[13:11:56.310 13/07/1995]',0.082,-0.024,0.125,86.842,0.000,-0.483
'[13:11:56.312 13/07/1995]',0.080,-0.019,0.125,85.789,0.000,-0.480
'[13:11:56.314 13/07/1995]',0.077,-0.014,0.125,85.789,0.000,-0.480
'[13:11:56.316 13/07/1995]',0.075,-0.009,0.125,85.789,0.000,-0.480
'[13:11:56.318 13/07/1995]',0.073,-0.003,0.125,85.789,0.000,-0.480
'[13:11:56.320 13/07/1995]',0.070,0.000,0.125,84.737,0.000,-0.478
'[13:11:56.322 13/07/1995]',0.068,0.003,0.125,84.737,0.000,-0.478
'[13:11:56.324 13/07/1995]',0.067,0.007,0.125,84.737,0.000,-0.478
'[13:11:56.326 13/07/1995]',0.066,0.010,0.125,84.737,0.000,-0.478
'[13:11:56.328 13/07/1995]',0.063,0.010,0.125,83.459,0.000,-0.475
'[13:11:56.330 13/07/1995]',0.061,0.010,0.125,83.459,0.000,-0.475
'[13:11:56.332 13/07/1995]',0.060,0.010,0.125,83.459,0.000,-0.475
'[13:11:56.334 13/07/1995]',0.059,0.010,0.125,83.459,0.000,-0.475
'[13:11:56.336 13/07/1995]',0.058,0.012,0.125,82.256,0.000,-0.472
'[13:11:56.338 13/07/1995]',0.056,0.014,0.125,82.256,0.000,-0.472
'[13:11:56.340 13/07/1995]',0.053,0.021,0.125,82.256,0.000,-0.472
'[13:11:56.342 13/07/1995]',0.049,0.028,0.125,82.256,0.000,-0.472
'[13:11:56.344 13/07/1995]',0.043,0.044,0.125,80.977,0.000,-0.470
'[13:11:56.346 13/07/1995]',0.038,0.059,0.125,80.977,0.000,-0.470
'[13:11:56.348 13/07/1995]',0.023,0.082,0.125,80.977,0.000,-0.470
'[13:11:56.350 13/07/1995]',0.009,0.105,0.125,80.977,0.000,-0.470
'[13:11:56.352 13/07/1995]',-0.007,0.133,0.128,79.624,0.000,-0.469
'[13:11:56.354 13/07/1995]',-0.023,0.161,0.132,79.624,0.000,-0.469
'[13:11:56.356 13/07/1995]',-0.036,0.185,0.146,79.624,0.000,-0.469
'[13:11:56.358 13/07/1995]',-0.049,0.209,0.159,79.624,0.000,-0.469
'[13:11:56.360 13/07/1995]',-0.049,0.216,0.182,78.346,0.000,-0.469
'[13:11:56.362 13/07/1995]',-0.049,0.223,0.205,78.346,0.000,-0.469
'[13:11:56.364 13/07/1995]',-0.031,0.206,0.236,78.346,0.000,-0.469
'[13:11:56.366 13/07/1995]',-0.012,0.188,0.267,78.346,0.000,-0.469
'[13:11:56.368 13/07/1995]',0.029,0.140,0.310,77.143,0.000,-0.469
'[13:11:56.370 13/07/1995]',0.070,0.091,0.354,77.143,0.000,-0.469
'[13:11:56.372 13/07/1995]',0.140,-0.002,0.414,77.143,0.000,-0.469
'[13:11:56.374 13/07/1995]',0.209,-0.094,0.475,77.143,0.000,-0.469
'[13:11:56.376 13/07/1995]',0.311,-0.239,0.558,75.865,0.000,-0.470
'[13:11:56.378 13/07/1995]',0.413,-0.384,0.641,75.865,0.000,-0.470
'[13:11:56.380 13/07/1995]',0.540,-0.576,0.749,75.865,0.000,-0.470
'[13:11:56.382 13/07/1995]',0.667,-0.768,0.856,75.865,0.000,-0.470
'[13:11:56.384 13/07/1995]',0.810,-0.988,0.965,74.737,0.000,-0.471
'[13:11:56.386 13/07/1995]',0.953,-1.208,1.075,74.737,0.000,-0.471
'[13:11:56.388 13/07/1995]',1.090,-1.422,1.158,74.737,0.000,-0.471
'[13:11:56.390 13/07/1995]',1.228,-1.637,1.241,74.737,0.000,-0.471
'[13:11:56.392 13/07/1995]',1.337,-1.813,1.276,73.684,0.000,-0.472
'[13:11:56.394 13/07/1995]',1.446,-1.990,1.310,73.684,0.000,-0.472
'[13:11:56.396 13/07/1995]',1.512,-2.098,1.296,73.684,0.000,-0.472
'[13:11:56.398 13/07/1995]',1.577,-2.206,1.282,73.684,0.000,-0.472
'[13:11:56.400 13/07/1995]',1.596,-2.243,1.248,72.632,0.000,-0.473
'[13:11:56.402 13/07/1995]',1.615,-2.279,1.213,72.632,0.000,-0.473
'[13:11:56.404 13/07/1995]',1.586,-2.250,1.189,72.632,0.000,-0.473
'[13:11:56.406 13/07/1995]',1.556,-2.220,1.165,72.632,0.000,-0.473
'[13:11:56.408 13/07/1995]',1.488,-2.138,1.173,71.654,0.000,-0.474
'[13:11:56.410 13/07/1995]',1.420,-2.056,1.182,71.654,0.000,-0.474
'[13:11:56.412 13/07/1995]',1.327,-1.941,1.229,71.654,0.000,-0.474
'[13:11:56.414 13/07/1995]',1.235,-1.825,1.276,71.654,0.000,-0.474
'[13:11:56.416 13/07/1995]',1.130,-1.693,1.336,70.752,0.000,-0.476
'[13:11:56.418 13/07/1995]',1.026,-1.560,1.397,70.752,0.000,-0.476
'[13:11:56.420 13/07/1995]',0.919,-1.421,1.444,70.752,0.000,-0.476
'[13:11:56.422 13/07/1995]',0.812,-1.281,1.490,70.752,0.000,-0.476
'[13:11:56.424 13/07/1995]',0.709,-1.141,1.487,69.925,0.000,-0.479
'[13:11:56.426 13/07/1995]',0.606,-1.002,1.484,69.925,0.000,-0.479
'[13:11:56.428 13/07/1995]',0.511,-0.867,1.404,69.925,0.000,-0.479
'[13:11:56.430 13/07/1995]',0.415,-0.733,1.324,69.925,0.000,-0.479
'[13:11:56.432 13/07/1995]',0.333,-0.614,1.172,69.173,0.000,-0.483
'[13:11:56.434 13/07/1995]',0.251,-0.496,1.019,69.173,0.000,-0.483
'[13:11:56.436 13/07/1995]',0.189,-0.400,0.825,69.173,0.000,-0.483
'[13:11:56.438 13/07/1995]',0.127,-0.304,0.631,69.173,0.000,-0.483
'[13:11:56.440 13/07/1995]',0.085,-0.234,0.449,68.571,0.000,-0.488
'[13:11:56.442 13/07/1995]',0.042,-0.164,0.267,68.571,0.000,-0.488
'[13:11:56.444 13/07/1995]',0.014,-0.110,0.135,68.571,0.000,-0.488
'[13:11:56.446 13/07/1995]',-0.014,-0.056,0.003,68.571,0.000,-0.488
'[13:11:56.448 13/07/1995]',-0.033,-0.014,-0.068,67.970,0.000,-0.494
'[13:11:56.450 13/07/1995]',-0.052,0.028,-0.139,67.970,0.000,-0.494
'[13:11:56.452 13/07/1995]',-0.065,0.063,-0.166,67.970,0.000,-0.494
'[13:11:56.454 13/07/1995]',-0.077,0.098,-0.194,67.970,0.000,-0.494
'[13:11:56.456 13/07/1995]',-0.089,0.129,-0.201,67.368,0.000,-0.500
'[13:11:56.458 13/07/1995]',-0.101,0.161,-0.208,67.368,0.000,-0.500
'[13:11:56.460 13/07/1995]',-0.113,0.190,-0.213,67.368,0.000,-0.500
'[13:11:56.462 13/07/1995]',-0.124,0.220,-0.218,67.368,0.000,-0.500
'[13:11:56.464 13/07/1995]',-0.133,0.246,-0.227,66.842,0.000,-0.507
'[13:11:56.466 13/07/1995]',-0.141,0.272,-0.236,66.842,0.000,-0.507
'[13:11:56.468 13/07/1995]',-0.146,0.293,-0.248,66.842,0.000,-0.507
'[13:11:56.470 13/07/1995]',-0.150,0.314,-0.260,66.842,0.000,-0.507
'[13:11:56.472 13/07/1995]',-0.154,0.325,-0.272,66.316,0.000,-0.515
'[13:11:56.474 13/07/1995]',-0.157,0.335,-0.284,66.316,0.000,-0.515
'[13:11:56.476 13/07/1995]',-0.160,0.340,-0.298,66.316,0.000,-0.515
'[13:11:56.478 13/07/1995]',-0.162,0.346,-0.312,66.316,0.000,-0.515
'[13:11:56.480 13/07/1995]',-0.164,0.353,-0.324,65.865,0.000,-0.524
'[13:11:56.482 13/07/1995]',-0.167,0.360,-0.336,65.865,0.000,-0.524
'[13:11:56.484 13/07/1995]',-0.170,0.366,-0.347,65.865,0.000,-0.524
'[13:11:56.486 13/07/1995]',-0.174,0.373,-0.357,65.865,0.000,-0.524
'[13:11:56.488 13/07/1995]',-0.177,0.377,-0.366,65.414,0.000,-0.535
'[13:11:56.490 13/07/1995]',-0.181,0.380,-0.374,65.414,0.000,-0.535
'[13:11:56.492 13/07/1995]',-0.183,0.384,-0.386,65.414,0.000,-0.535
'[13:11:56.494 13/07/1995]',-0.185,0.387,-0.399,65.414,0.000,-0.535
'[13:11:56.496 13/07/1995]',-0.189,0.391,-0.411,65.038,0.000,-0.546
'[13:11:56.498 13/07/1995]',-0.192,0.394,-0.423,65.038,0.000,-0.546
'[13:11:56.500 13/07/1995]',-0.200,0.403,-0.438,65.038,0.000,-0.546
