'Time and date','MCL1','II','V','ABP','PLETH','RESP'
'[19:40:52.746 19/11/1995]',0.086,-0.069,0.046,62.874,-0.434,-0.224
'[19:40:52.748 19/11/1995]',0.081,-0.069,0.089,62.874,-0.434,-0.224
'[19:40:52.750 19/11/1995]',0.075,-0.069,0.089,62.874,-0.434,-0.224
'[19:40:52.752 19/11/1995]',0.070,-0.068,0.046,63.177,-0.434,-0.238
'[19:40:52.754 19/11/1995]',0.064,-0.067,0.046,63.177,-0.434,-0.238
'[19:40:52.756 19/11/1995]',0.060,-0.065,0.046,63.177,-0.434,-0.238
'[19:40:52.758 19/11/1995]',0.056,-0.063,0.046,63.177,-0.434,-0.238
'[19:40:52.760 19/11/1995]',0.056,-0.063,0.046,64.185,-0.434,-0.253
'[19:40:52.762 19/11/1995]',0.056,-0.062,0.046,64.185,-0.434,-0.253
'[19:40:52.764 19/11/1995]',0.059,-0.062,0.089,64.185,-0.434,-0.253
'[19:40:52.766 19/11/1995]',0.061,-0.062,0.089,64.185,-0.434,-0.253
'[19:40:52.768 19/11/1995]',0.064,-0.061,0.089,66.151,-0.433,-0.268
'[19:40:52.770 19/11/1995]',0.067,-0.060,0.046,66.151,-0.433,-0.268
'[19:40:52.772 19/11/1995]',0.069,-0.057,0.046,66.151,-0.433,-0.268
'[19:40:52.774 19/11/1995]',0.072,-0.054,0.046,66.151,-0.433,-0.268
'[19:40:52.776 19/11/1995]',0.076,-0.050,0.046,69.227,-0.432,-0.282
'[19:40:52.778 19/11/1995]',0.081,-0.047,0.046,69.227,-0.432,-0.282
'[19:40:52.780 19/11/1995]',0.087,-0.044,0.089,69.227,-0.432,-0.282
'[19:40:52.782 19/11/1995]',0.093,-0.041,0.089,69.227,-0.432,-0.282
'[19:40:52.784 19/11/1995]',0.098,-0.040,0.089,73.361,-0.430,-0.296
'[19:40:52.786 19/11/1995]',0.103,-0.039,0.089,73.361,-0.430,-0.296
'[19:40:52.788 19/11/1995]',0.106,-0.037,0.046,73.361,-0.430,-0.296
'[19:40:52.790 19/11/1995]',0.109,-0.035,0.046,73.361,-0.430,-0.296
'[19:40:52.792 19/11/1995]',0.109,-0.035,0.046,78.252,-0.424,-0.310
'[19:40:52.794 19/11/1995]',0.109,-0.034,0.089,78.252,-0.424,-0.310
'[19:40:52.796 19/11/1995]',0.106,-0.035,0.089,78.252,-0.424,-0.310
'[19:40:52.798 19/11/1995]',0.103,-0.035,0.089,78.252,-0.424,-0.310
'[19:40:52.800 19/11/1995]',0.099,-0.035,0.089,83.597,-0.413,-0.324
'[19:40:52.802 19/11/1995]',0.096,-0.035,0.089,83.597,-0.413,-0.324
'[19:40:52.804 19/11/1995]',0.093,-0.035,0.046,83.597,-0.413,-0.324
'[19:40:52.806 19/11/1995]',0.090,-0.034,0.046,83.597,-0.413,-0.324
'[19:40:52.808 19/11/1995]',0.089,-0.031,0.046,89.294,-0.399,-0.337
'[19:40:52.810 19/11/1995]',0.088,-0.028,0.046,89.294,-0.399,-0.337
'[19:40:52.812 19/11/1995]',0.091,-0.023,0.089,89.294,-0.399,-0.337
'[19:40:52.814 19/11/1995]',0.093,-0.019,0.089,89.294,-0.399,-0.337
'[19:40:52.816 19/11/1995]',0.097,-0.017,0.089,95.143,-0.379,-0.349
'[19:40:52.818 19/11/1995]',0.100,-0.015,0.089,95.143,-0.379,-0.349
'[19:40:52.820 19/11/1995]',0.103,-0.013,0.089,95.143,-0.379,-0.349
'[19:40:52.822 19/11/1995]',0.106,-0.011,0.089,95.143,-0.379,-0.349
'[19:40:52.824 19/11/1995]',0.108,-0.009,0.089,100.941,-0.351,-0.362
'[19:40:52.826 19/11/1995]',0.110,-0.007,0.089,100.941,-0.351,-0.362
'[19:40:52.828 19/11/1995]',0.111,-0.007,0.089,100.941,-0.351,-0.362
'[19:40:52.830 19/11/1995]',0.112,-0.006,0.089,100.941,-0.351,-0.362
'[19:40:52.832 19/11/1995]',0.113,-0.004,0.089,106.336,-0.318,-0.374
'[19:40:52.834 19/11/1995]',0.113,-0.002,0.089,106.336,-0.318,-0.374
'[19:40:52.836 19/11/1995]',0.114,0.001,0.089,106.336,-0.318,-0.374
'[19:40:52.838 19/11/1995]',0.115,0.004,0.046,106.336,-0.318,-0.374
'[19:40:52.840 19/11/1995]',0.117,0.008,0.046,111.076,-0.276,-0.385
'[19:40:52.842 19/11/1995]',0.119,0.013,0.046,111.076,-0.276,-0.385
'[19:40:52.844 19/11/1995]',0.124,0.018,0.089,111.076,-0.276,-0.385
'[19:40:52.846 19/11/1995]',0.129,0.022,0.089,111.076,-0.276,-0.385
'[19:40:52.848 19/11/1995]',0.134,0.025,0.089,114.908,-0.226,-0.394
'[19:40:52.850 19/11/1995]',0.140,0.028,0.089,114.908,-0.226,-0.394
'[19:40:52.852 19/11/1995]',0.143,0.031,0.089,114.908,-0.226,-0.394
'[19:40:52.854 19/11/1995]',0.146,0.034,0.089,114.908,-0.226,-0.394
'[19:40:52.856 19/11/1995]',0.147,0.035,0.046,117.832,-0.173,-0.403
'[19:40:52.858 19/11/1995]',0.148,0.037,0.046,117.832,-0.173,-0.403
'[19:40:52.860 19/11/1995]',0.149,0.038,0.089,117.832,-0.173,-0.403
'[19:40:52.862 19/11/1995]',0.149,0.039,0.089,117.832,-0.173,-0.403
'[19:40:52.864 19/11/1995]',0.150,0.041,0.089,119.748,-0.115,-0.410
'[19:40:52.866 19/11/1995]',0.152,0.043,0.089,119.748,-0.115,-0.410
'[19:40:52.868 19/11/1995]',0.152,0.045,0.089,119.748,-0.115,-0.410
'[19:40:52.870 19/11/1995]',0.152,0.047,0.089,119.748,-0.115,-0.410
'[19:40:52.872 19/11/1995]',0.149,0.049,0.046,120.908,-0.054,-0.419
'[19:40:52.874 19/11/1995]',0.147,0.050,0.046,120.908,-0.054,-0.419
'[19:40:52.876 19/11/1995]',0.141,0.052,0.046,120.908,-0.054,-0.419
'[19:40:52.878 19/11/1995]',0.136,0.054,0.089,120.908,-0.054,-0.419
'[19:40:52.880 19/11/1995]',0.129,0.058,0.089,121.412,0.006,-0.429
'[19:40:52.882 19/11/1995]',0.122,0.062,0.089,121.412,0.006,-0.429
'[19:40:52.884 19/11/1995]',0.116,0.066,0.089,121.412,0.006,-0.429
'[19:40:52.886 19/11/1995]',0.111,0.071,0.046,121.412,0.006,-0.429
'[19:40:52.888 19/11/1995]',0.109,0.077,0.046,121.462,0.065,-0.440
'[19:40:52.890 19/11/1995]',0.107,0.082,0.046,121.462,0.065,-0.440
'[19:40:52.892 19/11/1995]',0.106,0.086,0.046,121.462,0.065,-0.440
'[19:40:52.894 19/11/1995]',0.104,0.090,0.046,121.462,0.065,-0.440
'[19:40:52.896 19/11/1995]',0.101,0.093,0.046,121.261,0.121,-0.451
'[19:40:52.898 19/11/1995]',0.099,0.097,0.046,121.261,0.121,-0.451
'[19:40:52.900 19/11/1995]',0.097,0.101,0.046,121.261,0.121,-0.451
'[19:40:52.902 19/11/1995]',0.094,0.105,0.046,121.261,0.121,-0.451
'[19:40:52.904 19/11/1995]',0.093,0.106,0.046,120.807,0.176,-0.460
'[19:40:52.906 19/11/1995]',0.092,0.108,0.046,120.807,0.176,-0.460
'[19:40:52.908 19/11/1995]',0.093,0.110,0.046,120.807,0.176,-0.460
'[19:40:52.910 19/11/1995]',0.093,0.112,0.046,120.807,0.176,-0.460
'[19:40:52.912 19/11/1995]',0.097,0.113,0.089,120.303,0.225,-0.469
'[19:40:52.914 19/11/1995]',0.100,0.114,0.089,120.303,0.225,-0.469
'[19:40:52.916 19/11/1995]',0.106,0.115,0.089,120.303,0.225,-0.469
'[19:40:52.918 19/11/1995]',0.111,0.116,0.089,120.303,0.225,-0.469
'[19:40:52.920 19/11/1995]',0.115,0.116,0.046,119.748,0.269,-0.477
'[19:40:52.922 19/11/1995]',0.119,0.116,0.046,119.748,0.269,-0.477
'[19:40:52.924 19/11/1995]',0.121,0.118,0.046,119.748,0.269,-0.477
'[19:40:52.926 19/11/1995]',0.122,0.120,0.046,119.748,0.269,-0.477
'[19:40:52.928 19/11/1995]',0.122,0.124,0.046,119.244,0.234,-0.485
'[19:40:52.930 19/11/1995]',0.123,0.129,0.089,119.244,0.234,-0.485
'[19:40:52.932 19/11/1995]',0.122,0.134,0.089,119.244,0.234,-0.485
'[19:40:52.934 19/11/1995]',0.122,0.138,0.089,119.244,0.234,-0.485
'[19:40:52.936 19/11/1995]',0.122,0.141,0.046,118.740,0.269,-0.493
'[19:40:52.938 19/11/1995]',0.122,0.144,0.046,118.740,0.269,-0.493
'[19:40:52.940 19/11/1995]',0.122,0.146,0.046,118.740,0.269,-0.493
'[19:40:52.942 19/11/1995]',0.123,0.148,0.046,118.740,0.269,-0.493
'[19:40:52.944 19/11/1995]',0.124,0.144,0.046,118.286,0.299,-0.500
'[19:40:52.946 19/11/1995]',0.125,0.140,0.046,118.286,0.299,-0.500
'[19:40:52.948 19/11/1995]',0.125,0.134,0.089,118.286,0.299,-0.500
'[19:40:52.950 19/11/1995]',0.124,0.127,0.089,118.286,0.299,-0.500
'[19:40:52.952 19/11/1995]',0.120,0.120,0.046,117.832,0.327,-0.507
'[19:40:52.954 19/11/1995]',0.116,0.114,0.046,117.832,0.327,-0.507
'[19:40:52.956 19/11/1995]',0.111,0.111,0.046,117.832,0.327,-0.507
'[19:40:52.958 19/11/1995]',0.106,0.108,0.004,117.832,0.327,-0.507
'[19:40:52.960 19/11/1995]',0.100,0.109,0.046,117.328,0.350,-0.514
'[19:40:52.962 19/11/1995]',0.094,0.110,0.046,117.328,0.350,-0.514
'[19:40:52.964 19/11/1995]',0.090,0.112,0.046,117.328,0.350,-0.514
'[19:40:52.966 19/11/1995]',0.085,0.114,0.046,117.328,0.350,-0.514
'[19:40:52.968 19/11/1995]',0.083,0.115,0.046,116.773,0.370,-0.522
'[19:40:52.970 19/11/1995]',0.081,0.116,0.046,116.773,0.370,-0.522
'[19:40:52.972 19/11/1995]',0.080,0.114,0.004,116.773,0.370,-0.522
'[19:40:52.974 19/11/1995]',0.079,0.112,0.004,116.773,0.370,-0.522
'[19:40:52.976 19/11/1995]',0.078,0.106,0.046,116.168,0.384,-0.530
'[19:40:52.978 19/11/1995]',0.078,0.099,0.046,116.168,0.384,-0.530
'[19:40:52.980 19/11/1995]',0.077,0.090,0.046,116.168,0.384,-0.530
'[19:40:52.982 19/11/1995]',0.076,0.080,0.046,116.168,0.384,-0.530
'[19:40:52.984 19/11/1995]',0.075,0.073,0.046,115.462,0.398,-0.539
'[19:40:52.986 19/11/1995]',0.074,0.065,0.046,115.462,0.398,-0.539
'[19:40:52.988 19/11/1995]',0.074,0.062,0.004,115.462,0.398,-0.539
'[19:40:52.990 19/11/1995]',0.074,0.058,0.004,115.462,0.398,-0.539
'[19:40:52.992 19/11/1995]',0.074,0.054,0.004,114.504,0.407,-0.548
'[19:40:52.994 19/11/1995]',0.074,0.050,0.004,114.504,0.407,-0.548
'[19:40:52.996 19/11/1995]',0.073,0.046,0.046,114.504,0.407,-0.548
'[19:40:52.998 19/11/1995]',0.072,0.041,0.046,114.504,0.407,-0.548
'[19:40:53.000 19/11/1995]',0.068,0.036,0.046,113.395,0.413,-0.556
'[19:40:53.002 19/11/1995]',0.064,0.032,0.046,113.395,0.413,-0.556
'[19:40:53.004 19/11/1995]',0.059,0.028,0.004,113.395,0.413,-0.556
'[19:40:53.006 19/11/1995]',0.053,0.024,0.004,113.395,0.413,-0.556
'[19:40:53.008 19/11/1995]',0.045,0.022,0.004,111.933,0.416,-0.562
'[19:40:53.010 19/11/1995]',0.037,0.021,0.004,111.933,0.416,-0.562
'[19:40:53.012 19/11/1995]',0.031,0.020,0.004,111.933,0.416,-0.562
'[19:40:53.014 19/11/1995]',0.025,0.019,0.004,111.933,0.416,-0.562
'[19:40:53.016 19/11/1995]',0.023,0.019,0.046,110.118,0.416,-0.568
'[19:40:53.018 19/11/1995]',0.020,0.019,0.004,110.118,0.416,-0.568
'[19:40:53.020 19/11/1995]',0.020,0.017,0.004,110.118,0.416,-0.568
'[19:40:53.022 19/11/1995]',0.020,0.015,0.004,110.118,0.416,-0.568
'[19:40:53.024 19/11/1995]',0.020,0.013,0.004,107.899,0.414,-0.573
'[19:40:53.026 19/11/1995]',0.020,0.011,0.004,107.899,0.414,-0.573
'[19:40:53.028 19/11/1995]',0.019,0.013,0.004,107.899,0.414,-0.573
'[19:40:53.030 19/11/1995]',0.018,0.015,0.004,107.899,0.414,-0.573
'[19:40:53.032 19/11/1995]',0.017,0.017,0.004,105.227,0.408,-0.579
'[19:40:53.034 19/11/1995]',0.016,0.019,0.004,105.227,0.408,-0.579
'[19:40:53.036 19/11/1995]',0.015,0.020,0.004,105.227,0.408,-0.579
'[19:40:53.038 19/11/1995]',0.014,0.021,0.004,105.227,0.408,-0.579
'[19:40:53.040 19/11/1995]',0.015,0.020,0.004,102.202,0.402,-0.584
'[19:40:53.042 19/11/1995]',0.016,0.019,0.004,102.202,0.402,-0.584
'[19:40:53.044 19/11/1995]',0.018,0.016,0.004,102.202,0.402,-0.584
'[19:40:53.046 19/11/1995]',0.020,0.013,0.004,102.202,0.402,-0.584
'[19:40:53.048 19/11/1995]',0.023,0.008,0.004,98.975,0.389,-0.590
'[19:40:53.050 19/11/1995]',0.026,0.004,0.004,98.975,0.389,-0.590
'[19:40:53.052 19/11/1995]',0.029,0.002,0.004,98.975,0.389,-0.590
'[19:40:53.054 19/11/1995]',0.031,0.000,0.004,98.975,0.389,-0.590
'[19:40:53.056 19/11/1995]',0.033,-0.001,0.004,95.899,0.376,-0.596
'[19:40:53.058 19/11/1995]',0.036,-0.002,0.004,95.899,0.376,-0.596
'[19:40:53.060 19/11/1995]',0.036,-0.001,0.004,95.899,0.376,-0.596
'[19:40:53.062 19/11/1995]',0.037,0.000,0.004,95.899,0.376,-0.596
'[19:40:53.064 19/11/1995]',0.036,0.000,0.004,93.076,0.354,-0.600
'[19:40:53.066 19/11/1995]',0.035,0.000,0.046,93.076,0.354,-0.600
'[19:40:53.068 19/11/1995]',0.032,0.001,0.004,93.076,0.354,-0.600
'[19:40:53.070 19/11/1995]',0.030,0.002,0.004,93.076,0.354,-0.600
'[19:40:53.072 19/11/1995]',0.028,0.003,0.004,90.756,0.334,-0.604
'[19:40:53.074 19/11/1995]',0.026,0.004,0.004,90.756,0.334,-0.604
'[19:40:53.076 19/11/1995]',0.026,0.002,0.004,90.756,0.334,-0.604
'[19:40:53.078 19/11/1995]',0.025,0.000,0.004,90.756,0.334,-0.604
'[19:40:53.080 19/11/1995]',0.026,-0.002,0.046,88.941,0.307,-0.607
'[19:40:53.082 19/11/1995]',0.026,-0.004,0.046,88.941,0.307,-0.607
'[19:40:53.084 19/11/1995]',0.026,-0.005,0.004,88.941,0.307,-0.607
'[19:40:53.086 19/11/1995]',0.025,-0.006,0.004,88.941,0.307,-0.607
'[19:40:53.088 19/11/1995]',0.024,-0.006,0.004,87.630,0.280,-0.610
'[19:40:53.090 19/11/1995]',0.023,-0.006,0.004,87.630,0.280,-0.610
'[19:40:53.092 19/11/1995]',0.021,-0.004,0.004,87.630,0.280,-0.610
'[19:40:53.094 19/11/1995]',0.019,-0.002,0.004,87.630,0.280,-0.610
'[19:40:53.096 19/11/1995]',0.019,-0.001,0.004,86.773,0.247,-0.612
'[19:40:53.098 19/11/1995]',0.018,0.000,0.004,86.773,0.247,-0.612
'[19:40:53.100 19/11/1995]',0.019,0.000,0.004,86.773,0.247,-0.612
'[19:40:53.102 19/11/1995]',0.019,0.000,0.004,86.773,0.247,-0.612
'[19:40:53.104 19/11/1995]',0.021,0.000,0.004,86.319,0.214,-0.613
'[19:40:53.106 19/11/1995]',0.024,0.000,0.004,86.319,0.214,-0.613
'[19:40:53.108 19/11/1995]',0.026,-0.001,0.004,86.319,0.214,-0.613
'[19:40:53.110 19/11/1995]',0.029,-0.002,0.004,86.319,0.214,-0.613
'[19:40:53.112 19/11/1995]',0.029,-0.004,0.004,86.219,0.181,-0.614
'[19:40:53.114 19/11/1995]',0.030,-0.006,0.046,86.219,0.181,-0.614
'[19:40:53.116 19/11/1995]',0.029,-0.007,0.004,86.219,0.181,-0.614
'[19:40:53.118 19/11/1995]',0.029,-0.009,0.004,86.219,0.181,-0.614
'[19:40:53.120 19/11/1995]',0.025,-0.012,0.004,86.269,0.147,-0.616
'[19:40:53.122 19/11/1995]',0.021,-0.015,0.004,86.269,0.147,-0.616
'[19:40:53.124 19/11/1995]',0.018,-0.019,0.004,86.269,0.147,-0.616
'[19:40:53.126 19/11/1995]',0.014,-0.022,0.004,86.269,0.147,-0.616
'[19:40:53.128 19/11/1995]',0.011,-0.025,0.004,86.420,0.114,-0.618
'[19:40:53.130 19/11/1995]',0.008,-0.028,0.004,86.420,0.114,-0.618
'[19:40:53.132 19/11/1995]',0.008,-0.028,0.004,86.420,0.114,-0.618
'[19:40:53.134 19/11/1995]',0.008,-0.028,0.004,86.420,0.114,-0.618
'[19:40:53.136 19/11/1995]',0.011,-0.026,0.004,86.622,0.082,-0.621
'[19:40:53.138 19/11/1995]',0.013,-0.024,0.004,86.622,0.082,-0.621
'[19:40:53.140 19/11/1995]',0.014,-0.020,0.004,86.622,0.082,-0.621
'[19:40:53.142 19/11/1995]',0.016,-0.015,0.004,86.622,0.082,-0.621
'[19:40:53.144 19/11/1995]',0.015,-0.011,0.004,86.874,0.051,-0.624
'[19:40:53.146 19/11/1995]',0.014,-0.007,0.004,86.874,0.051,-0.624
'[19:40:53.148 19/11/1995]',0.013,-0.007,0.004,86.874,0.051,-0.624
'[19:40:53.150 19/11/1995]',0.011,-0.006,0.004,86.874,0.051,-0.624
'[19:40:53.152 19/11/1995]',0.010,-0.008,0.004,87.025,0.021,-0.627
'[19:40:53.154 19/11/1995]',0.008,-0.011,0.004,87.025,0.021,-0.627
'[19:40:53.156 19/11/1995]',0.005,-0.015,0.004,87.025,0.021,-0.627
'[19:40:53.158 19/11/1995]',0.002,-0.019,0.004,87.025,0.021,-0.627
'[19:40:53.160 19/11/1995]',0.002,-0.021,0.004,87.076,-0.007,-0.630
'[19:40:53.162 19/11/1995]',0.001,-0.024,0.004,87.076,-0.007,-0.630
'[19:40:53.164 19/11/1995]',0.002,-0.025,0.004,87.076,-0.007,-0.630
'[19:40:53.166 19/11/1995]',0.004,-0.026,0.004,87.076,-0.007,-0.630
'[19:40:53.168 19/11/1995]',0.006,-0.024,0.004,87.076,-0.030,-0.632
'[19:40:53.170 19/11/1995]',0.008,-0.022,0.004,87.076,-0.030,-0.632
'[19:40:53.172 19/11/1995]',0.011,-0.021,0.004,87.076,-0.030,-0.632
'[19:40:53.174 19/11/1995]',0.013,-0.021,0.004,87.076,-0.030,-0.632
'[19:40:53.176 19/11/1995]',0.014,-0.020,0.004,86.975,-0.053,-0.633
'[19:40:53.178 19/11/1995]',0.014,-0.019,0.004,86.975,-0.053,-0.633
'[19:40:53.180 19/11/1995]',0.015,-0.018,0.004,86.975,-0.053,-0.633
'[19:40:53.182 19/11/1995]',0.016,-0.017,0.004,86.975,-0.053,-0.633
'[19:40:53.184 19/11/1995]',0.015,-0.018,0.004,86.672,-0.074,-0.635
'[19:40:53.186 19/11/1995]',0.014,-0.019,0.004,86.672,-0.074,-0.635
'[19:40:53.188 19/11/1995]',0.013,-0.021,0.004,86.672,-0.074,-0.635
'[19:40:53.190 19/11/1995]',0.012,-0.022,0.004,86.672,-0.074,-0.635
'[19:40:53.192 19/11/1995]',0.013,-0.026,0.004,86.319,-0.094,-0.637
'[19:40:53.194 19/11/1995]',0.013,-0.030,0.004,86.319,-0.094,-0.637
'[19:40:53.196 19/11/1995]',0.013,-0.033,0.004,86.319,-0.094,-0.637
'[19:40:53.198 19/11/1995]',0.013,-0.035,0.004,86.319,-0.094,-0.637
'[19:40:53.200 19/11/1995]',0.014,-0.039,0.046,85.866,-0.110,-0.640
'[19:40:53.202 19/11/1995]',0.014,-0.043,0.004,85.866,-0.110,-0.640
'[19:40:53.204 19/11/1995]',0.016,-0.048,0.004,85.866,-0.110,-0.640
'[19:40:53.206 19/11/1995]',0.018,-0.052,0.004,85.866,-0.110,-0.640
'[19:40:53.208 19/11/1995]',0.020,-0.056,0.004,85.261,-0.127,-0.644
'[19:40:53.210 19/11/1995]',0.021,-0.060,0.004,85.261,-0.127,-0.644
'[19:40:53.212 19/11/1995]',0.021,-0.058,0.004,85.261,-0.127,-0.644
'[19:40:53.214 19/11/1995]',0.021,-0.056,0.046,85.261,-0.127,-0.644
'[19:40:53.216 19/11/1995]',0.019,-0.050,0.004,84.605,-0.142,-0.647
'[19:40:53.218 19/11/1995]',0.016,-0.045,0.004,84.605,-0.142,-0.647
'[19:40:53.220 19/11/1995]',0.011,-0.040,0.004,84.605,-0.142,-0.647
'[19:40:53.222 19/11/1995]',0.007,-0.035,0.004,84.605,-0.142,-0.647
'[19:40:53.224 19/11/1995]',0.003,-0.034,0.004,83.950,-0.157,-0.651
'[19:40:53.226 19/11/1995]',-0.001,-0.032,0.004,83.950,-0.157,-0.651
'[19:40:53.228 19/11/1995]',-0.002,-0.035,0.004,83.950,-0.157,-0.651
'[19:40:53.230 19/11/1995]',-0.004,-0.037,0.004,83.950,-0.157,-0.651
'[19:40:53.232 19/11/1995]',-0.002,-0.040,0.004,83.294,-0.171,-0.654
'[19:40:53.234 19/11/1995]',0.000,-0.043,0.004,83.294,-0.171,-0.654
'[19:40:53.236 19/11/1995]',0.002,-0.045,0.004,83.294,-0.171,-0.654
'[19:40:53.238 19/11/1995]',0.005,-0.047,0.004,83.294,-0.171,-0.654
'[19:40:53.240 19/11/1995]',0.007,-0.048,0.004,82.639,-0.185,-0.657
'[19:40:53.242 19/11/1995]',0.010,-0.049,0.004,82.639,-0.185,-0.657
'[19:40:53.244 19/11/1995]',0.011,-0.046,0.004,82.639,-0.185,-0.657
'[19:40:53.246 19/11/1995]',0.013,-0.043,0.004,82.639,-0.185,-0.657
'[19:40:53.248 19/11/1995]',0.014,-0.042,0.004,81.933,-0.200,-0.660
'[19:40:53.250 19/11/1995]',0.014,-0.041,0.004,81.933,-0.200,-0.660
'[19:40:53.252 19/11/1995]',0.015,-0.040,0.004,81.933,-0.200,-0.660
'[19:40:53.254 19/11/1995]',0.016,-0.039,0.004,81.933,-0.200,-0.660
'[19:40:53.256 19/11/1995]',0.016,-0.037,0.004,81.277,-0.211,-0.662
'[19:40:53.258 19/11/1995]',0.016,-0.035,0.004,81.277,-0.211,-0.662
'[19:40:53.260 19/11/1995]',0.016,-0.035,0.004,81.277,-0.211,-0.662
'[19:40:53.262 19/11/1995]',0.016,-0.034,0.004,81.277,-0.211,-0.662
'[19:40:53.264 19/11/1995]',0.017,-0.035,0.004,80.572,-0.226,-0.664
'[19:40:53.266 19/11/1995]',0.018,-0.037,0.004,80.572,-0.226,-0.664
'[19:40:53.268 19/11/1995]',0.019,-0.039,0.004,80.572,-0.226,-0.664
'[19:40:53.270 19/11/1995]',0.019,-0.041,0.004,80.572,-0.226,-0.664
'[19:40:53.272 19/11/1995]',0.018,-0.041,0.004,79.967,-0.238,-0.665
'[19:40:53.274 19/11/1995]',0.017,-0.041,0.004,79.967,-0.238,-0.665
'[19:40:53.276 19/11/1995]',0.014,-0.040,0.004,79.967,-0.238,-0.665
'[19:40:53.278 19/11/1995]',0.011,-0.039,0.004,79.967,-0.238,-0.665
'[19:40:53.280 19/11/1995]',0.006,-0.037,0.004,79.311,-0.252,-0.666
'[19:40:53.282 19/11/1995]',0.001,-0.035,0.004,79.311,-0.252,-0.666
'[19:40:53.284 19/11/1995]',-0.004,-0.035,0.004,79.311,-0.252,-0.666
'[19:40:53.286 19/11/1995]',-0.010,-0.034,0.004,79.311,-0.252,-0.666
'[19:40:53.288 19/11/1995]',-0.012,-0.035,0.004,78.656,-0.265,-0.667
'[19:40:53.290 19/11/1995]',-0.014,-0.037,0.004,78.656,-0.265,-0.667
'[19:40:53.292 19/11/1995]',-0.013,-0.039,0.004,78.656,-0.265,-0.667
'[19:40:53.294 19/11/1995]',-0.012,-0.041,0.004,78.656,-0.265,-0.667
'[19:40:53.296 19/11/1995]',-0.008,-0.041,0.004,78.051,-0.278,-0.668
'[19:40:53.298 19/11/1995]',-0.004,-0.041,0.004,78.051,-0.278,-0.668
'[19:40:53.300 19/11/1995]',0.001,-0.040,0.004,78.051,-0.278,-0.668
'[19:40:53.302 19/11/1995]',0.006,-0.039,0.004,78.051,-0.278,-0.668
'[19:40:53.304 19/11/1995]',0.010,-0.037,0.004,77.496,-0.289,-0.669
'[19:40:53.306 19/11/1995]',0.013,-0.035,0.004,77.496,-0.289,-0.669
'[19:40:53.308 19/11/1995]',0.016,-0.034,0.004,77.496,-0.289,-0.669
'[19:40:53.310 19/11/1995]',0.018,-0.032,0.004,77.496,-0.289,-0.669
'[19:40:53.312 19/11/1995]',0.019,-0.033,0.004,76.992,-0.302,-0.670
'[19:40:53.314 19/11/1995]',0.020,-0.034,0.004,76.992,-0.302,-0.670
'[19:40:53.316 19/11/1995]',0.020,-0.037,0.004,76.992,-0.302,-0.670
'[19:40:53.318 19/11/1995]',0.019,-0.041,0.004,76.992,-0.302,-0.670
'[19:40:53.320 19/11/1995]',0.017,-0.046,0.004,76.437,-0.314,-0.670
'[19:40:53.322 19/11/1995]',0.016,-0.050,0.004,76.437,-0.314,-0.670
'[19:40:53.324 19/11/1995]',0.014,-0.054,0.004,76.437,-0.314,-0.670
'[19:40:53.326 19/11/1995]',0.012,-0.058,0.004,76.437,-0.314,-0.670
'[19:40:53.328 19/11/1995]',0.011,-0.059,0.004,75.983,-0.327,-0.669
'[19:40:53.330 19/11/1995]',0.010,-0.060,0.004,75.983,-0.327,-0.669
'[19:40:53.332 19/11/1995]',0.010,-0.057,0.046,75.983,-0.327,-0.669
'[19:40:53.334 19/11/1995]',0.010,-0.054,0.004,75.983,-0.327,-0.669
'[19:40:53.336 19/11/1995]',0.010,-0.047,0.004,75.530,-0.340,-0.667
'[19:40:53.338 19/11/1995]',0.010,-0.039,0.004,75.530,-0.340,-0.667
'[19:40:53.340 19/11/1995]',0.008,-0.034,0.004,75.530,-0.340,-0.667
'[19:40:53.342 19/11/1995]',0.006,-0.028,0.004,75.530,-0.340,-0.667
'[19:40:53.344 19/11/1995]',0.003,-0.028,0.004,75.025,-0.351,-0.665
'[19:40:53.346 19/11/1995]',0.000,-0.028,0.004,75.025,-0.351,-0.665
'[19:40:53.348 19/11/1995]',-0.003,-0.031,0.004,75.025,-0.351,-0.665
'[19:40:53.350 19/11/1995]',-0.006,-0.034,0.004,75.025,-0.351,-0.665
'[19:40:53.352 19/11/1995]',-0.006,-0.035,0.004,74.572,-0.361,-0.665
'[19:40:53.354 19/11/1995]',-0.006,-0.037,0.004,74.572,-0.361,-0.665
'[19:40:53.356 19/11/1995]',-0.003,-0.039,0.004,74.572,-0.361,-0.665
'[19:40:53.358 19/11/1995]',0.000,-0.041,0.004,74.572,-0.361,-0.665
'[19:40:53.360 19/11/1995]',0.004,-0.041,0.004,74.168,-0.373,-0.665
'[19:40:53.362 19/11/1995]',0.008,-0.041,0.004,74.168,-0.373,-0.665
'[19:40:53.364 19/11/1995]',0.011,-0.041,0.004,74.168,-0.373,-0.665
'[19:40:53.366 19/11/1995]',0.014,-0.041,0.004,74.168,-0.373,-0.665
'[19:40:53.368 19/11/1995]',0.016,-0.041,0.004,73.714,-0.384,-0.667
'[19:40:53.370 19/11/1995]',0.017,-0.041,0.004,73.714,-0.384,-0.667
'[19:40:53.372 19/11/1995]',0.016,-0.041,0.004,73.714,-0.384,-0.667
'[19:40:53.374 19/11/1995]',0.016,-0.041,0.004,73.714,-0.384,-0.667
