'Time and date','II ','I ','V ','ABP ','PLETH ','RESP '
'[13:21:59.046 30/01/1995]',-0.546,-0.193,0.225,68.854,0.000,0.052
'[13:21:59.048 30/01/1995]',-0.546,-0.193,0.225,72.253,0.000,-0.004
'[13:21:59.050 30/01/1995]',-0.546,-0.193,0.225,72.253,0.000,-0.004
'[13:21:59.052 30/01/1995]',-0.528,-0.160,0.225,72.253,0.000,-0.004
'[13:21:59.054 30/01/1995]',-0.509,-0.160,0.225,72.253,0.000,-0.004
'[13:21:59.056 30/01/1995]',-0.490,-0.128,0.288,76.920,0.000,-0.070
'[13:21:59.058 30/01/1995]',-0.471,-0.128,0.288,76.920,0.000,-0.070
'[13:21:59.060 30/01/1995]',-0.471,-0.095,0.225,76.920,0.000,-0.070
'[13:21:59.062 30/01/1995]',-0.471,-0.095,0.225,76.920,0.000,-0.070
'[13:21:59.064 30/01/1995]',-0.471,-0.095,0.225,82.682,0.000,-0.136
'[13:21:59.066 30/01/1995]',-0.490,-0.095,0.225,82.682,0.000,-0.136
'[13:21:59.068 30/01/1995]',-0.509,-0.095,0.193,82.682,0.000,-0.136
'[13:21:59.070 30/01/1995]',-0.528,-0.128,0.193,82.682,0.000,-0.136
'[13:21:59.072 30/01/1995]',-0.565,-0.160,0.193,89.078,0.000,-0.201
'[13:21:59.074 30/01/1995]',-0.583,-0.160,0.193,89.078,0.000,-0.201
'[13:21:59.076 30/01/1995]',-0.602,-0.193,0.161,89.078,0.000,-0.201
'[13:21:59.078 30/01/1995]',-0.621,-0.193,0.161,89.078,0.000,-0.201
'[13:21:59.080 30/01/1995]',-0.621,-0.193,0.161,95.589,0.000,-0.259
'[13:21:59.082 30/01/1995]',-0.602,-0.160,0.129,95.589,0.000,-0.259
'[13:21:59.084 30/01/1995]',-0.583,-0.128,0.161,95.589,0.000,-0.259
'[13:21:59.086 30/01/1995]',-0.528,-0.095,0.161,95.589,0.000,-0.259
'[13:21:59.088 30/01/1995]',-0.528,-0.062,0.161,101.639,0.000,-0.324
'[13:21:59.090 30/01/1995]',-0.509,-0.062,0.161,101.639,0.000,-0.324
'[13:21:59.092 30/01/1995]',-0.509,-0.030,0.193,101.639,0.000,-0.324
'[13:21:59.094 30/01/1995]',-0.490,-0.030,0.161,101.639,0.000,-0.324
'[13:21:59.096 30/01/1995]',-0.471,0.003,0.161,106.767,0.000,-0.390
'[13:21:59.098 30/01/1995]',-0.452,0.003,0.161,106.767,0.000,-0.390
'[13:21:59.100 30/01/1995]',-0.414,0.034,0.161,106.767,0.000,-0.390
'[13:21:59.102 30/01/1995]',-0.414,0.034,0.161,106.767,0.000,-0.390
'[13:21:59.104 30/01/1995]',-0.433,0.003,0.161,110.800,0.000,-0.447
'[13:21:59.106 30/01/1995]',-0.490,0.003,0.129,110.800,0.000,-0.447
'[13:21:59.108 30/01/1995]',-0.528,-0.030,0.097,110.800,0.000,-0.447
'[13:21:59.110 30/01/1995]',-0.583,-0.062,0.065,110.800,0.000,-0.447
'[13:21:59.112 30/01/1995]',-0.602,-0.095,0.065,113.508,0.000,-0.512
'[13:21:59.114 30/01/1995]',-0.602,-0.095,0.065,113.508,0.000,-0.512
'[13:21:59.116 30/01/1995]',-0.621,-0.128,0.033,113.508,0.000,-0.512
'[13:21:59.118 30/01/1995]',-0.602,-0.128,0.065,113.508,0.000,-0.512
'[13:21:59.120 30/01/1995]',-0.602,-0.128,0.033,114.948,0.000,-0.512
'[13:21:59.122 30/01/1995]',-0.621,-0.128,0.033,114.948,0.000,-0.512
'[13:21:59.124 30/01/1995]',-0.602,-0.128,0.033,114.948,0.000,-0.512
'[13:21:59.126 30/01/1995]',-0.583,-0.095,0.033,114.948,0.000,-0.512
'[13:21:59.128 30/01/1995]',-0.583,-0.095,0.033,115.352,0.000,-0.512
'[13:21:59.130 30/01/1995]',-0.565,-0.095,0.065,115.352,0.000,-0.512
'[13:21:59.132 30/01/1995]',-0.546,-0.128,0.033,115.352,0.000,-0.512
'[13:21:59.134 30/01/1995]',-0.546,-0.128,0.033,115.352,0.000,-0.512
'[13:21:59.136 30/01/1995]',-0.546,-0.128,0.033,114.718,0.000,-0.512
'[13:21:59.138 30/01/1995]',-0.528,-0.128,0.033,114.718,0.000,-0.512
'[13:21:59.140 30/01/1995]',-0.528,-0.128,0.033,114.718,0.000,-0.512
'[13:21:59.142 30/01/1995]',-0.528,-0.128,0.033,114.718,0.000,-0.512
'[13:21:59.144 30/01/1995]',-0.546,-0.160,0.033,113.278,0.000,-0.512
'[13:21:59.146 30/01/1995]',-0.546,-0.160,0.033,113.278,0.000,-0.512
'[13:21:59.148 30/01/1995]',-0.546,-0.193,0.033,113.278,0.000,-0.512
'[13:21:59.150 30/01/1995]',-0.546,-0.193,0.033,113.278,0.000,-0.512
'[13:21:59.152 30/01/1995]',-0.528,-0.193,0.033,111.319,0.000,-0.512
'[13:21:59.154 30/01/1995]',-0.509,-0.193,0.033,111.319,0.000,-0.512
'[13:21:59.156 30/01/1995]',-0.509,-0.193,0.065,111.319,0.000,-0.512
'[13:21:59.158 30/01/1995]',-0.490,-0.193,0.065,111.319,0.000,-0.512
'[13:21:59.160 30/01/1995]',-0.490,-0.193,0.065,108.956,0.000,-0.512
'[13:21:59.162 30/01/1995]',-0.490,-0.193,0.065,108.956,0.000,-0.512
'[13:21:59.164 30/01/1995]',-0.471,-0.226,0.065,108.956,0.000,-0.512
'[13:21:59.166 30/01/1995]',-0.471,-0.226,0.065,108.956,0.000,-0.512
'[13:21:59.168 30/01/1995]',-0.471,-0.226,0.097,106.421,0.000,-0.512
'[13:21:59.170 30/01/1995]',-0.471,-0.226,0.065,106.421,0.000,-0.512
'[13:21:59.172 30/01/1995]',-0.509,-0.258,0.065,106.421,0.000,-0.512
'[13:21:59.174 30/01/1995]',-0.528,-0.291,0.065,106.421,0.000,-0.512
'[13:21:59.176 30/01/1995]',-0.546,-0.323,0.065,103.828,0.000,-0.512
'[13:21:59.178 30/01/1995]',-0.546,-0.323,0.065,103.828,0.000,-0.512
'[13:21:59.180 30/01/1995]',-0.546,-0.323,0.033,103.828,0.000,-0.512
'[13:21:59.182 30/01/1995]',-0.546,-0.323,0.065,103.828,0.000,-0.512
'[13:21:59.184 30/01/1995]',-0.546,-0.323,0.065,101.178,0.000,-0.512
'[13:21:59.186 30/01/1995]',-0.546,-0.323,0.065,101.178,0.000,-0.512
'[13:21:59.188 30/01/1995]',-0.528,-0.323,0.065,101.178,0.000,-0.512
'[13:21:59.190 30/01/1995]',-0.528,-0.291,0.065,101.178,0.000,-0.512
'[13:21:59.192 30/01/1995]',-0.528,-0.291,0.065,98.585,0.000,-0.512
'[13:21:59.194 30/01/1995]',-0.509,-0.291,0.065,98.585,0.000,-0.512
'[13:21:59.196 30/01/1995]',-0.528,-0.323,0.065,98.585,0.000,-0.512
'[13:21:59.198 30/01/1995]',-0.528,-0.323,0.065,98.585,0.000,-0.512
'[13:21:59.200 30/01/1995]',-0.528,-0.323,0.065,96.165,0.000,-0.512
'[13:21:59.202 30/01/1995]',-0.528,-0.323,0.065,96.165,0.000,-0.512
'[13:21:59.204 30/01/1995]',-0.509,-0.323,0.065,96.165,0.000,-0.512
'[13:21:59.206 30/01/1995]',-0.528,-0.323,0.065,96.165,0.000,-0.512
'[13:21:59.208 30/01/1995]',-0.509,-0.323,0.065,93.803,0.000,-0.512
'[13:21:59.210 30/01/1995]',-0.528,-0.323,0.065,93.803,0.000,-0.512
'[13:21:59.212 30/01/1995]',-0.528,-0.323,0.065,93.803,0.000,-0.512
'[13:21:59.214 30/01/1995]',-0.528,-0.323,0.065,93.803,0.000,-0.512
'[13:21:59.216 30/01/1995]',-0.528,-0.323,0.065,91.613,0.000,-0.512
'[13:21:59.218 30/01/1995]',-0.528,-0.356,0.033,91.613,0.000,-0.512
'[13:21:59.220 30/01/1995]',-0.528,-0.323,0.065,91.613,0.000,-0.512
'[13:21:59.222 30/01/1995]',-0.528,-0.323,0.065,91.613,0.000,-0.512
'[13:21:59.224 30/01/1995]',-0.509,-0.323,0.065,89.539,0.000,-0.512
'[13:21:59.226 30/01/1995]',-0.509,-0.323,0.065,89.539,0.000,-0.512
'[13:21:59.228 30/01/1995]',-0.509,-0.323,0.065,89.539,0.000,-0.512
'[13:21:59.230 30/01/1995]',-0.490,-0.323,0.065,89.539,0.000,-0.512
'[13:21:59.232 30/01/1995]',-0.490,-0.291,0.065,87.580,0.000,-0.512
'[13:21:59.234 30/01/1995]',-0.490,-0.323,0.065,87.580,0.000,-0.512
'[13:21:59.236 30/01/1995]',-0.490,-0.323,0.065,87.580,0.000,-0.512
'[13:21:59.238 30/01/1995]',-0.490,-0.323,0.065,87.580,0.000,-0.512
'[13:21:59.240 30/01/1995]',-0.490,-0.323,0.065,85.794,0.000,-0.512
'[13:21:59.242 30/01/1995]',-0.490,-0.291,0.065,85.794,0.000,-0.512
'[13:21:59.244 30/01/1995]',-0.490,-0.291,0.065,85.794,0.000,-0.512
'[13:21:59.246 30/01/1995]',-0.490,-0.291,0.065,85.794,0.000,-0.512
'[13:21:59.248 30/01/1995]',-0.471,-0.291,0.065,84.065,0.000,-0.512
'[13:21:59.250 30/01/1995]',-0.471,-0.291,0.065,84.065,0.000,-0.512
'[13:21:59.252 30/01/1995]',-0.471,-0.291,0.065,84.065,0.000,-0.512
'[13:21:59.254 30/01/1995]',-0.471,-0.291,0.065,84.065,0.000,-0.512
'[13:21:59.256 30/01/1995]',-0.471,-0.291,0.065,82.509,0.000,-0.512
'[13:21:59.258 30/01/1995]',-0.471,-0.291,0.065,82.509,0.000,-0.512
'[13:21:59.260 30/01/1995]',-0.471,-0.291,0.065,82.509,0.000,-0.512
'[13:21:59.262 30/01/1995]',-0.452,-0.291,0.065,82.509,0.000,-0.512
'[13:21:59.264 30/01/1995]',-0.452,-0.258,0.065,81.011,0.000,-0.512
'[13:21:59.266 30/01/1995]',-0.433,-0.258,0.065,81.011,0.000,-0.512
'[13:21:59.268 30/01/1995]',-0.433,-0.258,0.065,81.011,0.000,-0.512
'[13:21:59.270 30/01/1995]',-0.433,-0.258,0.097,81.011,0.000,-0.512
'[13:21:59.272 30/01/1995]',-0.433,-0.258,0.065,79.628,0.000,-0.512
'[13:21:59.274 30/01/1995]',-0.452,-0.258,0.065,79.628,0.000,-0.512
'[13:21:59.276 30/01/1995]',-0.433,-0.258,0.065,79.628,0.000,-0.512
'[13:21:59.278 30/01/1995]',-0.433,-0.258,0.065,79.628,0.000,-0.512
'[13:21:59.280 30/01/1995]',-0.414,-0.226,0.065,78.534,0.000,-0.512
'[13:21:59.282 30/01/1995]',-0.414,-0.226,0.065,78.534,0.000,-0.512
'[13:21:59.284 30/01/1995]',-0.395,-0.226,0.065,78.534,0.000,-0.512
'[13:21:59.286 30/01/1995]',-0.414,-0.226,0.065,78.534,0.000,-0.512
'[13:21:59.288 30/01/1995]',-0.414,-0.226,0.065,77.669,0.000,-0.512
'[13:21:59.290 30/01/1995]',-0.414,-0.258,0.065,77.669,0.000,-0.512
'[13:21:59.292 30/01/1995]',-0.414,-0.258,0.065,77.669,0.000,-0.512
'[13:21:59.294 30/01/1995]',-0.414,-0.258,0.065,77.669,0.000,-0.512
'[13:21:59.296 30/01/1995]',-0.414,-0.258,0.065,77.266,0.000,-0.512
'[13:21:59.298 30/01/1995]',-0.414,-0.226,0.065,77.266,0.000,-0.512
'[13:21:59.300 30/01/1995]',-0.395,-0.226,0.065,77.266,0.000,-0.512
'[13:21:59.302 30/01/1995]',-0.395,-0.226,0.065,77.266,0.000,-0.512
'[13:21:59.304 30/01/1995]',-0.395,-0.226,0.065,77.093,0.000,-0.512
'[13:21:59.306 30/01/1995]',-0.395,-0.226,0.065,77.093,0.000,-0.512
'[13:21:59.308 30/01/1995]',-0.395,-0.226,0.065,77.093,0.000,-0.512
'[13:21:59.310 30/01/1995]',-0.395,-0.226,0.065,77.093,0.000,-0.512
'[13:21:59.312 30/01/1995]',-0.395,-0.226,0.065,77.151,0.000,-0.512
'[13:21:59.314 30/01/1995]',-0.395,-0.226,0.065,77.151,0.000,-0.512
'[13:21:59.316 30/01/1995]',-0.376,-0.226,0.065,77.151,0.000,-0.512
'[13:21:59.318 30/01/1995]',-0.376,-0.226,0.065,77.151,0.000,-0.512
'[13:21:59.320 30/01/1995]',-0.376,-0.226,0.065,77.497,0.000,-0.512
'[13:21:59.322 30/01/1995]',-0.357,-0.226,0.065,77.497,0.000,-0.512
'[13:21:59.324 30/01/1995]',-0.376,-0.226,0.065,77.497,0.000,-0.512
'[13:21:59.326 30/01/1995]',-0.376,-0.226,0.065,77.497,0.000,-0.512
'[13:21:59.328 30/01/1995]',-0.376,-0.226,0.065,77.900,0.000,-0.512
'[13:21:59.330 30/01/1995]',-0.376,-0.226,0.065,77.900,0.000,-0.512
'[13:21:59.332 30/01/1995]',-0.357,-0.226,0.065,77.900,0.000,-0.512
'[13:21:59.334 30/01/1995]',-0.338,-0.226,0.065,77.900,0.000,-0.512
'[13:21:59.336 30/01/1995]',-0.338,-0.226,0.065,78.361,0.000,-0.512
'[13:21:59.338 30/01/1995]',-0.357,-0.226,0.033,78.361,0.000,-0.512
'[13:21:59.340 30/01/1995]',-0.357,-0.226,0.065,78.361,0.000,-0.512
'[13:21:59.342 30/01/1995]',-0.357,-0.226,0.033,78.361,0.000,-0.512
'[13:21:59.344 30/01/1995]',-0.357,-0.226,0.033,78.764,0.000,-0.512
'[13:21:59.346 30/01/1995]',-0.357,-0.226,0.033,78.764,0.000,-0.512
'[13:21:59.348 30/01/1995]',-0.357,-0.226,0.033,78.764,0.000,-0.512
'[13:21:59.350 30/01/1995]',-0.338,-0.226,0.033,78.764,0.000,-0.512
'[13:21:59.352 30/01/1995]',-0.338,-0.193,0.065,79.110,0.000,-0.512
'[13:21:59.354 30/01/1995]',-0.338,-0.226,0.033,79.110,0.000,-0.512
'[13:21:59.356 30/01/1995]',-0.338,-0.193,0.033,79.110,0.000,-0.512
'[13:21:59.358 30/01/1995]',-0.338,-0.226,0.033,79.110,0.000,-0.512
'[13:21:59.360 30/01/1995]',-0.357,-0.226,0.033,79.340,0.000,-0.512
'[13:21:59.362 30/01/1995]',-0.357,-0.226,0.033,79.340,0.000,-0.512
'[13:21:59.364 30/01/1995]',-0.357,-0.226,0.033,79.340,0.000,-0.512
'[13:21:59.366 30/01/1995]',-0.357,-0.226,0.033,79.340,0.000,-0.512
'[13:21:59.368 30/01/1995]',-0.357,-0.226,0.033,79.456,0.000,-0.512
'[13:21:59.370 30/01/1995]',-0.338,-0.226,0.033,79.456,0.000,-0.512
'[13:21:59.372 30/01/1995]',-0.338,-0.226,0.033,79.456,0.000,-0.512
'[13:21:59.374 30/01/1995]',-0.338,-0.226,0.033,79.456,0.000,-0.512
'[13:21:59.376 30/01/1995]',-0.338,-0.226,0.033,79.340,0.000,-0.512
'[13:21:59.378 30/01/1995]',-0.338,-0.226,0.033,79.340,0.000,-0.512
'[13:21:59.380 30/01/1995]',-0.338,-0.226,0.033,79.340,0.000,-0.512
'[13:21:59.382 30/01/1995]',-0.338,-0.226,0.033,79.340,0.000,-0.512
'[13:21:59.384 30/01/1995]',-0.319,-0.226,0.033,79.168,0.000,-0.512
'[13:21:59.386 30/01/1995]',-0.319,-0.193,0.033,79.168,0.000,-0.512
'[13:21:59.388 30/01/1995]',-0.319,-0.193,0.033,79.168,0.000,-0.512
'[13:21:59.390 30/01/1995]',-0.319,-0.193,0.033,79.168,0.000,-0.512
'[13:21:59.392 30/01/1995]',-0.319,-0.193,0.033,78.879,0.000,-0.512
'[13:21:59.394 30/01/1995]',-0.319,-0.193,0.033,78.879,0.000,-0.512
'[13:21:59.396 30/01/1995]',-0.300,-0.193,0.033,78.879,0.000,-0.512
'[13:21:59.398 30/01/1995]',-0.300,-0.193,0.065,78.879,0.000,-0.512
'[13:21:59.400 30/01/1995]',-0.300,-0.193,0.033,78.418,0.000,-0.512
'[13:21:59.402 30/01/1995]',-0.300,-0.226,0.033,78.418,0.000,-0.512
'[13:21:59.404 30/01/1995]',-0.281,-0.226,0.065,78.418,0.000,-0.512
'[13:21:59.406 30/01/1995]',-0.281,-0.226,0.065,78.418,0.000,-0.512
'[13:21:59.408 30/01/1995]',-0.263,-0.193,0.065,77.958,0.000,-0.512
'[13:21:59.410 30/01/1995]',-0.263,-0.193,0.065,77.958,0.000,-0.512
'[13:21:59.412 30/01/1995]',-0.244,-0.193,0.065,77.958,0.000,-0.512
'[13:21:59.414 30/01/1995]',-0.244,-0.193,0.065,77.958,0.000,-0.512
'[13:21:59.416 30/01/1995]',-0.244,-0.193,0.065,77.381,0.000,-0.512
'[13:21:59.418 30/01/1995]',-0.263,-0.193,0.065,77.381,0.000,-0.512
'[13:21:59.420 30/01/1995]',-0.263,-0.193,0.065,77.381,0.000,-0.512
'[13:21:59.422 30/01/1995]',-0.263,-0.193,0.065,77.381,0.000,-0.512
'[13:21:59.424 30/01/1995]',-0.244,-0.193,0.065,76.748,0.000,-0.512
'[13:21:59.426 30/01/1995]',-0.244,-0.160,0.065,76.748,0.000,-0.512
'[13:21:59.428 30/01/1995]',-0.225,-0.160,0.065,76.748,0.000,-0.512
'[13:21:59.430 30/01/1995]',-0.225,-0.160,0.065,76.748,0.000,-0.512
'[13:21:59.432 30/01/1995]',-0.188,-0.160,0.065,76.114,0.000,-0.512
'[13:21:59.434 30/01/1995]',-0.169,-0.128,0.097,76.114,0.000,-0.512
'[13:21:59.436 30/01/1995]',-0.131,-0.062,0.065,76.114,0.000,-0.512
'[13:21:59.438 30/01/1995]',-0.093,-0.030,0.097,76.114,0.000,-0.512
'[13:21:59.440 30/01/1995]',-0.074,0.003,0.097,75.538,0.000,-0.512
'[13:21:59.442 30/01/1995]',-0.074,0.003,0.097,75.538,0.000,-0.512
'[13:21:59.444 30/01/1995]',-0.055,0.003,0.097,75.538,0.000,-0.512
'[13:21:59.446 30/01/1995]',-0.036,0.034,0.097,75.538,0.000,-0.512
'[13:21:59.448 30/01/1995]',-0.036,0.034,0.097,74.904,0.000,-0.512
'[13:21:59.450 30/01/1995]',-0.074,0.034,0.065,74.904,0.000,-0.512
'[13:21:59.452 30/01/1995]',-0.112,0.003,0.065,74.904,0.000,-0.512
'[13:21:59.454 30/01/1995]',-0.112,0.003,0.065,74.904,0.000,-0.512
'[13:21:59.456 30/01/1995]',-0.131,0.003,0.033,74.270,0.000,-0.512
'[13:21:59.458 30/01/1995]',-0.150,0.003,0.033,74.270,0.000,-0.512
'[13:21:59.460 30/01/1995]',-0.188,-0.030,0.033,74.270,0.000,-0.512
'[13:21:59.462 30/01/1995]',-0.263,-0.062,0.003,74.270,0.000,-0.512
'[13:21:59.464 30/01/1995]',-0.319,-0.160,0.003,73.694,0.000,-0.512
'[13:21:59.466 30/01/1995]',-0.376,-0.226,0.003,73.694,0.000,-0.512
'[13:21:59.468 30/01/1995]',-0.433,-0.291,0.003,73.694,0.000,-0.512
'[13:21:59.470 30/01/1995]',-0.471,-0.323,-0.029,73.694,0.000,-0.512
'[13:21:59.472 30/01/1995]',-0.490,-0.356,-0.029,73.118,0.000,-0.512
'[13:21:59.474 30/01/1995]',-0.509,-0.389,-0.029,73.118,0.000,-0.512
'[13:21:59.476 30/01/1995]',-0.509,-0.356,-0.029,73.118,0.000,-0.512
'[13:21:59.478 30/01/1995]',-0.490,-0.356,-0.029,73.118,0.000,-0.512
'[13:21:59.480 30/01/1995]',-0.471,-0.323,-0.029,72.541,0.000,-0.512
'[13:21:59.482 30/01/1995]',-0.452,-0.323,0.003,72.541,0.000,-0.512
'[13:21:59.484 30/01/1995]',-0.433,-0.291,-0.029,72.541,0.000,-0.512
'[13:21:59.486 30/01/1995]',-0.433,-0.291,-0.029,72.541,0.000,-0.512
'[13:21:59.488 30/01/1995]',-0.433,-0.291,-0.029,72.080,0.000,-0.512
'[13:21:59.490 30/01/1995]',-0.414,-0.291,-0.029,72.080,0.000,-0.512
'[13:21:59.492 30/01/1995]',-0.414,-0.291,-0.029,72.080,0.000,-0.512
'[13:21:59.494 30/01/1995]',-0.414,-0.258,-0.029,72.080,0.000,-0.512
'[13:21:59.496 30/01/1995]',-0.395,-0.258,-0.029,71.620,0.000,-0.512
'[13:21:59.498 30/01/1995]',-0.376,-0.258,-0.029,71.620,0.000,-0.512
'[13:21:59.500 30/01/1995]',-0.357,-0.226,-0.029,71.620,0.000,-0.512
'[13:21:59.502 30/01/1995]',-0.357,-0.226,0.003,71.620,0.000,-0.512
'[13:21:59.504 30/01/1995]',-0.357,-0.226,0.003,71.159,0.000,-0.512
'[13:21:59.506 30/01/1995]',-0.357,-0.226,0.003,71.159,0.000,-0.512
'[13:21:59.508 30/01/1995]',-0.357,-0.226,0.003,71.159,0.000,-0.512
'[13:21:59.510 30/01/1995]',-0.357,-0.226,0.003,71.159,0.000,-0.512
'[13:21:59.512 30/01/1995]',-0.357,-0.226,-0.029,70.813,0.000,-0.512
'[13:21:59.514 30/01/1995]',-0.338,-0.193,0.003,70.813,0.000,-0.512
'[13:21:59.516 30/01/1995]',-0.319,-0.193,0.003,70.813,0.000,-0.512
'[13:21:59.518 30/01/1995]',-0.300,-0.160,0.003,70.813,0.000,-0.512
'[13:21:59.520 30/01/1995]',-0.300,-0.160,0.065,70.467,0.000,-0.512
'[13:21:59.522 30/01/1995]',-0.300,-0.128,0.097,70.467,0.000,-0.512
'[13:21:59.524 30/01/1995]',-0.281,-0.128,0.161,70.467,0.000,-0.512
'[13:21:59.526 30/01/1995]',-0.281,-0.095,0.288,70.467,0.000,-0.512
'[13:21:59.528 30/01/1995]',-0.263,-0.128,0.225,70.121,0.000,-0.512
'[13:21:59.530 30/01/1995]',-0.263,-0.128,0.161,70.121,0.000,-0.512
'[13:21:59.532 30/01/1995]',-0.244,-0.128,0.097,70.121,0.000,-0.512
'[13:21:59.534 30/01/1995]',-0.244,-0.128,0.003,70.121,0.000,-0.512
'[13:21:59.536 30/01/1995]',-0.281,-0.095,-0.093,69.891,0.000,-0.512
'[13:21:59.538 30/01/1995]',-0.319,-0.062,-0.348,69.891,0.000,-0.512
'[13:21:59.540 30/01/1995]',-0.414,-0.030,-0.570,69.891,0.000,-0.512
'[13:21:59.542 30/01/1995]',-0.509,-0.030,-0.825,69.891,0.000,-0.512
'[13:21:59.544 30/01/1995]',-0.565,0.003,-1.014,69.661,0.000,-0.512
'[13:21:59.546 30/01/1995]',-0.659,0.067,-1.206,69.661,0.000,-0.512
'[13:21:59.548 30/01/1995]',-0.754,0.132,-1.364,69.661,0.000,-0.512
'[13:21:59.550 30/01/1995]',-0.848,0.230,-1.491,69.661,0.000,-0.512
'[13:21:59.552 30/01/1995]',-0.942,0.295,-1.587,69.488,0.000,-0.512
'[13:21:59.554 30/01/1995]',-1.018,0.328,-1.683,69.488,0.000,-0.512
'[13:21:59.556 30/01/1995]',-1.093,0.361,-1.809,69.488,0.000,-0.512
'[13:21:59.558 30/01/1995]',-1.169,0.426,-1.904,69.488,0.000,-0.512
'[13:21:59.560 30/01/1995]',-1.188,0.458,-1.936,69.430,0.000,-0.512
'[13:21:59.562 30/01/1995]',-1.207,0.522,-1.968,69.430,0.000,-0.512
'[13:21:59.564 30/01/1995]',-1.169,0.555,-1.936,69.430,0.000,-0.512
'[13:21:59.566 30/01/1995]',-1.093,0.588,-1.809,69.430,0.000,-0.512
'[13:21:59.568 30/01/1995]',-1.018,0.555,-1.746,69.430,0.000,-0.512
'[13:21:59.570 30/01/1995]',-0.904,0.555,-1.587,69.430,0.000,-0.512
'[13:21:59.572 30/01/1995]',-0.810,0.458,-1.459,69.430,0.000,-0.512
'[13:21:59.574 30/01/1995]',-0.716,0.361,-1.270,69.430,0.000,-0.512
'[13:21:59.576 30/01/1995]',-0.640,0.263,-1.110,69.488,0.000,-0.512
'[13:21:59.578 30/01/1995]',-0.583,0.165,-0.951,69.488,0.000,-0.512
'[13:21:59.580 30/01/1995]',-0.509,0.132,-0.825,69.488,0.000,-0.512
'[13:21:59.582 30/01/1995]',-0.452,0.067,-0.665,69.488,0.000,-0.512
'[13:21:59.584 30/01/1995]',-0.395,0.067,-0.538,69.661,0.000,-0.512
'[13:21:59.586 30/01/1995]',-0.338,0.034,-0.412,69.661,0.000,-0.512
'[13:21:59.588 30/01/1995]',-0.300,0.003,-0.284,69.661,0.000,-0.512
'[13:21:59.590 30/01/1995]',-0.281,0.003,-0.188,69.661,0.000,-0.512
'[13:21:59.592 30/01/1995]',-0.281,-0.062,-0.093,69.891,0.000,-0.512
'[13:21:59.594 30/01/1995]',-0.263,-0.062,-0.061,69.891,0.000,-0.512
'[13:21:59.596 30/01/1995]',-0.244,-0.095,0.003,69.891,0.000,-0.512
'[13:21:59.598 30/01/1995]',-0.225,-0.095,0.033,69.891,0.000,-0.512
'[13:21:59.600 30/01/1995]',-0.207,-0.128,0.065,70.064,0.000,-0.512
'[13:21:59.602 30/01/1995]',-0.188,-0.128,0.097,70.064,0.000,-0.512
'[13:21:59.604 30/01/1995]',-0.188,-0.128,0.161,70.064,0.000,-0.512
'[13:21:59.606 30/01/1995]',-0.169,-0.128,0.161,70.064,0.000,-0.512
'[13:21:59.608 30/01/1995]',-0.169,-0.128,0.193,70.294,0.000,-0.512
'[13:21:59.610 30/01/1995]',-0.169,-0.160,0.193,70.294,0.000,-0.512
'[13:21:59.612 30/01/1995]',-0.169,-0.160,0.225,70.294,0.000,-0.512
'[13:21:59.614 30/01/1995]',-0.150,-0.160,0.193,70.294,0.000,-0.512
'[13:21:59.616 30/01/1995]',-0.150,-0.160,0.225,70.410,0.000,-0.512
'[13:21:59.618 30/01/1995]',-0.150,-0.160,0.225,70.410,0.000,-0.512
'[13:21:59.620 30/01/1995]',-0.150,-0.160,0.225,70.410,0.000,-0.512
'[13:21:59.622 30/01/1995]',-0.150,-0.160,0.225,70.410,0.000,-0.512
'[13:21:59.624 30/01/1995]',-0.150,-0.160,0.288,70.467,0.000,-0.512
'[13:21:59.626 30/01/1995]',-0.150,-0.160,0.288,70.467,0.000,-0.512
'[13:21:59.628 30/01/1995]',-0.150,-0.160,0.288,70.467,0.000,-0.512
'[13:21:59.630 30/01/1995]',-0.131,-0.160,0.288,70.467,0.000,-0.512
'[13:21:59.632 30/01/1995]',-0.131,-0.160,0.288,70.467,0.000,-0.512
'[13:21:59.634 30/01/1995]',-0.131,-0.160,0.288,70.467,0.000,-0.512
'[13:21:59.636 30/01/1995]',-0.131,-0.160,0.288,70.467,0.000,-0.512
'[13:21:59.638 30/01/1995]',-0.131,-0.160,0.288,70.467,0.000,-0.512
'[13:21:59.640 30/01/1995]',-0.150,-0.160,0.288,70.294,0.000,-0.512
'[13:21:59.642 30/01/1995]',-0.150,-0.160,0.288,70.294,0.000,-0.512
'[13:21:59.644 30/01/1995]',-0.150,-0.160,0.288,70.294,0.000,-0.512
'[13:21:59.646 30/01/1995]',-0.131,-0.160,0.288,70.294,0.000,-0.512
'[13:21:59.648 30/01/1995]',-0.131,-0.160,0.288,70.064,0.000,-0.512
'[13:21:59.650 30/01/1995]',-0.131,-0.160,0.288,70.064,0.000,-0.512
'[13:21:59.652 30/01/1995]',-0.112,-0.160,0.288,70.064,0.000,-0.512
'[13:21:59.654 30/01/1995]',-0.112,-0.160,0.288,70.064,0.000,-0.512
'[13:21:59.656 30/01/1995]',-0.112,-0.160,0.288,69.718,0.000,-0.512
'[13:21:59.658 30/01/1995]',-0.131,-0.160,0.320,69.718,0.000,-0.512
'[13:21:59.660 30/01/1995]',-0.131,-0.160,0.288,69.718,0.000,-0.512
'[13:21:59.662 30/01/1995]',-0.131,-0.160,0.288,69.718,0.000,-0.512
'[13:21:59.664 30/01/1995]',-0.112,-0.160,0.288,69.315,0.000,-0.512
