'Time and date','aVL','II','ABP','PAP','PLETH','RESP'
'[08:33:29.516 11/03/1996]',-0.012,0.043,32.354,24.256,-0.490,-0.668
'[08:33:29.518 11/03/1996]',-0.013,0.043,32.354,24.256,-0.490,-0.668
'[08:33:29.520 11/03/1996]',-0.013,0.045,32.304,24.005,-0.490,-0.667
'[08:33:29.522 11/03/1996]',-0.013,0.046,32.304,24.005,-0.490,-0.667
'[08:33:29.524 11/03/1996]',-0.013,0.051,32.304,24.005,-0.490,-0.667
'[08:33:29.526 11/03/1996]',-0.012,0.055,32.304,24.005,-0.490,-0.667
'[08:33:29.528 11/03/1996]',-0.010,0.063,32.204,23.829,-0.490,-0.667
'[08:33:29.530 11/03/1996]',-0.007,0.071,32.204,23.829,-0.490,-0.667
'[08:33:29.532 11/03/1996]',-0.002,0.077,32.204,23.829,-0.490,-0.667
'[08:33:29.534 11/03/1996]',0.004,0.083,32.204,23.829,-0.490,-0.667
'[08:33:29.536 11/03/1996]',0.012,0.094,32.103,23.654,-0.494,-0.666
'[08:33:29.538 11/03/1996]',0.020,0.104,32.103,23.654,-0.494,-0.666
'[08:33:29.540 11/03/1996]',0.027,0.115,32.103,23.654,-0.494,-0.666
'[08:33:29.542 11/03/1996]',0.035,0.126,32.103,23.654,-0.494,-0.666
'[08:33:29.544 11/03/1996]',0.035,0.129,32.053,23.553,-0.492,-0.666
'[08:33:29.546 11/03/1996]',0.035,0.132,32.053,23.553,-0.492,-0.666
'[08:33:29.548 11/03/1996]',0.020,0.124,32.053,23.553,-0.492,-0.666
'[08:33:29.550 11/03/1996]',0.005,0.117,32.053,23.553,-0.492,-0.666
'[08:33:29.552 11/03/1996]',-0.029,0.101,31.903,23.428,-0.495,-0.666
'[08:33:29.554 11/03/1996]',-0.063,0.086,31.903,23.428,-0.495,-0.666
'[08:33:29.556 11/03/1996]',-0.116,0.071,31.903,23.428,-0.495,-0.666
'[08:33:29.558 11/03/1996]',-0.168,0.055,31.903,23.428,-0.495,-0.666
'[08:33:29.560 11/03/1996]',-0.237,0.041,31.853,23.378,-0.495,-0.666
'[08:33:29.562 11/03/1996]',-0.305,0.028,31.853,23.378,-0.495,-0.666
'[08:33:29.564 11/03/1996]',-0.380,0.009,31.853,23.378,-0.495,-0.666
'[08:33:29.566 11/03/1996]',-0.454,-0.009,31.853,23.378,-0.495,-0.666
'[08:33:29.568 11/03/1996]',-0.524,-0.026,31.753,23.303,-0.495,-0.666
'[08:33:29.570 11/03/1996]',-0.594,-0.043,31.753,23.303,-0.495,-0.666
'[08:33:29.572 11/03/1996]',-0.649,-0.058,31.753,23.303,-0.495,-0.666
'[08:33:29.574 11/03/1996]',-0.704,-0.074,31.753,23.303,-0.495,-0.666
'[08:33:29.576 11/03/1996]',-0.740,-0.084,31.653,23.303,-0.497,-0.667
'[08:33:29.578 11/03/1996]',-0.776,-0.095,31.653,23.303,-0.497,-0.667
'[08:33:29.580 11/03/1996]',-0.794,-0.095,31.653,23.303,-0.497,-0.667
'[08:33:29.582 11/03/1996]',-0.812,-0.095,31.653,23.303,-0.497,-0.667
'[08:33:29.584 11/03/1996]',-0.815,-0.084,31.553,23.252,-0.497,-0.669
'[08:33:29.586 11/03/1996]',-0.818,-0.074,31.553,23.252,-0.497,-0.669
'[08:33:29.588 11/03/1996]',-0.813,-0.049,31.553,23.252,-0.497,-0.669
'[08:33:29.590 11/03/1996]',-0.809,-0.025,31.553,23.252,-0.497,-0.669
'[08:33:29.592 11/03/1996]',-0.800,0.000,31.502,23.252,-0.497,-0.671
'[08:33:29.594 11/03/1996]',-0.791,0.025,31.502,23.252,-0.497,-0.671
'[08:33:29.596 11/03/1996]',-0.774,0.038,31.502,23.252,-0.497,-0.671
'[08:33:29.598 11/03/1996]',-0.757,0.052,31.502,23.252,-0.497,-0.671
'[08:33:29.600 11/03/1996]',-0.728,0.055,31.452,23.202,-0.497,-0.673
'[08:33:29.602 11/03/1996]',-0.698,0.058,31.452,23.202,-0.497,-0.673
'[08:33:29.604 11/03/1996]',-0.657,0.055,31.452,23.202,-0.497,-0.673
'[08:33:29.606 11/03/1996]',-0.616,0.052,31.452,23.202,-0.497,-0.673
'[08:33:29.608 11/03/1996]',-0.566,0.046,31.352,23.378,-0.497,-0.676
'[08:33:29.610 11/03/1996]',-0.515,0.040,31.352,23.378,-0.497,-0.676
'[08:33:29.612 11/03/1996]',-0.464,0.032,31.352,23.378,-0.497,-0.676
'[08:33:29.614 11/03/1996]',-0.412,0.025,31.352,23.378,-0.497,-0.676
'[08:33:29.616 11/03/1996]',-0.366,0.023,31.302,23.829,-0.499,-0.679
'[08:33:29.618 11/03/1996]',-0.319,0.022,31.302,23.829,-0.499,-0.679
'[08:33:29.620 11/03/1996]',-0.281,0.026,31.302,23.829,-0.499,-0.679
'[08:33:29.622 11/03/1996]',-0.243,0.031,31.302,23.829,-0.499,-0.679
'[08:33:29.624 11/03/1996]',-0.213,0.034,31.202,24.783,-0.499,-0.682
'[08:33:29.626 11/03/1996]',-0.182,0.037,31.202,24.783,-0.499,-0.682
'[08:33:29.628 11/03/1996]',-0.157,0.040,31.202,24.783,-0.499,-0.682
'[08:33:29.630 11/03/1996]',-0.131,0.043,31.202,24.783,-0.499,-0.682
'[08:33:29.632 11/03/1996]',-0.106,0.043,31.152,25.962,-0.497,-0.685
'[08:33:29.634 11/03/1996]',-0.081,0.043,31.152,25.962,-0.497,-0.685
'[08:33:29.636 11/03/1996]',-0.057,0.037,31.152,25.962,-0.497,-0.685
'[08:33:29.638 11/03/1996]',-0.032,0.031,31.152,25.962,-0.497,-0.685
'[08:33:29.640 11/03/1996]',-0.007,0.025,31.102,27.191,-0.499,-0.689
'[08:33:29.642 11/03/1996]',0.019,0.018,31.102,27.191,-0.499,-0.689
'[08:33:29.644 11/03/1996]',0.044,0.012,31.102,27.191,-0.499,-0.689
'[08:33:29.646 11/03/1996]',0.069,0.006,31.102,27.191,-0.499,-0.689
'[08:33:29.648 11/03/1996]',0.093,0.003,31.002,28.370,-0.499,-0.693
'[08:33:29.650 11/03/1996]',0.117,0.000,31.002,28.370,-0.499,-0.693
'[08:33:29.652 11/03/1996]',0.137,-0.002,31.002,28.370,-0.499,-0.693
'[08:33:29.654 11/03/1996]',0.157,-0.003,31.002,28.370,-0.499,-0.693
'[08:33:29.656 11/03/1996]',0.172,0.000,31.002,29.373,-0.555,-0.697
'[08:33:29.658 11/03/1996]',0.187,0.003,31.002,29.373,-0.555,-0.697
'[08:33:29.660 11/03/1996]',0.198,0.008,31.002,29.373,-0.555,-0.697
'[08:33:29.662 11/03/1996]',0.209,0.012,31.002,29.373,-0.555,-0.697
'[08:33:29.664 11/03/1996]',0.215,0.015,30.952,29.900,-0.555,-0.701
'[08:33:29.666 11/03/1996]',0.221,0.018,30.952,29.900,-0.555,-0.701
'[08:33:29.668 11/03/1996]',0.223,0.023,30.952,29.900,-0.555,-0.701
'[08:33:29.670 11/03/1996]',0.226,0.028,30.952,29.900,-0.555,-0.701
'[08:33:29.672 11/03/1996]',0.228,0.031,30.851,29.900,-0.555,-0.705
'[08:33:29.674 11/03/1996]',0.229,0.034,30.851,29.900,-0.555,-0.705
'[08:33:29.676 11/03/1996]',0.232,0.038,30.851,29.900,-0.555,-0.705
'[08:33:29.678 11/03/1996]',0.235,0.043,30.851,29.900,-0.555,-0.705
'[08:33:29.680 11/03/1996]',0.238,0.045,30.851,29.548,-0.553,-0.709
'[08:33:29.682 11/03/1996]',0.241,0.046,30.851,29.548,-0.553,-0.709
'[08:33:29.684 11/03/1996]',0.243,0.045,30.851,29.548,-0.553,-0.709
'[08:33:29.686 11/03/1996]',0.244,0.043,30.851,29.548,-0.553,-0.709
'[08:33:29.688 11/03/1996]',0.247,0.043,30.801,29.298,-0.553,-0.713
'[08:33:29.690 11/03/1996]',0.250,0.043,30.801,29.298,-0.553,-0.713
'[08:33:29.692 11/03/1996]',0.254,0.043,30.801,29.298,-0.553,-0.713
'[08:33:29.694 11/03/1996]',0.257,0.043,30.801,29.298,-0.553,-0.713
'[08:33:29.696 11/03/1996]',0.260,0.043,30.801,29.548,-0.553,-0.716
'[08:33:29.698 11/03/1996]',0.262,0.043,30.801,29.548,-0.553,-0.716
'[08:33:29.700 11/03/1996]',0.265,0.043,30.801,29.548,-0.553,-0.716
'[08:33:29.702 11/03/1996]',0.268,0.043,30.801,29.548,-0.553,-0.716
'[08:33:29.704 11/03/1996]',0.272,0.043,30.751,30.376,-0.552,-0.717
'[08:33:29.706 11/03/1996]',0.277,0.043,30.751,30.376,-0.552,-0.717
'[08:33:29.708 11/03/1996]',0.281,0.043,30.751,30.376,-0.552,-0.717
'[08:33:29.710 11/03/1996]',0.285,0.043,30.751,30.376,-0.552,-0.717
'[08:33:29.712 11/03/1996]',0.290,0.043,30.751,31.731,-0.550,-0.716
'[08:33:29.714 11/03/1996]',0.294,0.043,30.751,31.731,-0.550,-0.716
'[08:33:29.716 11/03/1996]',0.299,0.043,30.751,31.731,-0.550,-0.716
'[08:33:29.718 11/03/1996]',0.303,0.043,30.751,31.731,-0.550,-0.716
'[08:33:29.720 11/03/1996]',0.307,0.043,30.751,33.537,-0.550,-0.715
'[08:33:29.722 11/03/1996]',0.311,0.043,30.751,33.537,-0.550,-0.715
'[08:33:29.724 11/03/1996]',0.315,0.043,30.751,33.537,-0.550,-0.715
'[08:33:29.726 11/03/1996]',0.319,0.043,30.751,33.537,-0.550,-0.715
'[08:33:29.728 11/03/1996]',0.324,0.043,31.002,35.669,-0.550,-0.712
'[08:33:29.730 11/03/1996]',0.328,0.043,31.002,35.669,-0.550,-0.712
'[08:33:29.732 11/03/1996]',0.332,0.043,31.002,35.669,-0.550,-0.712
'[08:33:29.734 11/03/1996]',0.336,0.043,31.002,35.669,-0.550,-0.712
'[08:33:29.736 11/03/1996]',0.338,0.043,31.502,37.951,-0.548,-0.709
'[08:33:29.738 11/03/1996]',0.341,0.043,31.502,37.951,-0.548,-0.709
'[08:33:29.740 11/03/1996]',0.343,0.043,31.502,37.951,-0.548,-0.709
'[08:33:29.742 11/03/1996]',0.346,0.043,31.502,37.951,-0.548,-0.709
'[08:33:29.744 11/03/1996]',0.349,0.043,32.704,40.234,-0.548,-0.706
'[08:33:29.746 11/03/1996]',0.353,0.043,32.704,40.234,-0.548,-0.706
'[08:33:29.748 11/03/1996]',0.356,0.043,32.704,40.234,-0.548,-0.706
'[08:33:29.750 11/03/1996]',0.359,0.043,32.704,40.234,-0.548,-0.706
'[08:33:29.752 11/03/1996]',0.361,0.043,34.958,42.542,-0.547,-0.702
'[08:33:29.754 11/03/1996]',0.364,0.043,34.958,42.542,-0.547,-0.702
'[08:33:29.756 11/03/1996]',0.365,0.043,34.958,42.542,-0.547,-0.702
'[08:33:29.758 11/03/1996]',0.366,0.043,34.958,42.542,-0.547,-0.702
'[08:33:29.760 11/03/1996]',0.365,0.043,38.264,44.699,-0.541,-0.697
'[08:33:29.762 11/03/1996]',0.365,0.043,38.264,44.699,-0.541,-0.697
'[08:33:29.764 11/03/1996]',0.363,0.043,38.264,44.699,-0.541,-0.697
'[08:33:29.766 11/03/1996]',0.361,0.043,38.264,44.699,-0.541,-0.697
'[08:33:29.768 11/03/1996]',0.359,0.043,42.220,46.655,-0.535,-0.693
'[08:33:29.770 11/03/1996]',0.356,0.043,42.220,46.655,-0.535,-0.693
'[08:33:29.772 11/03/1996]',0.353,0.043,42.220,46.655,-0.535,-0.693
'[08:33:29.774 11/03/1996]',0.349,0.043,42.220,46.655,-0.535,-0.693
'[08:33:29.776 11/03/1996]',0.343,0.043,45.977,48.286,-0.523,-0.688
'[08:33:29.778 11/03/1996]',0.337,0.043,45.977,48.286,-0.523,-0.688
'[08:33:29.780 11/03/1996]',0.330,0.043,45.977,48.286,-0.523,-0.688
'[08:33:29.782 11/03/1996]',0.322,0.043,45.977,48.286,-0.523,-0.688
'[08:33:29.784 11/03/1996]',0.313,0.043,49.082,49.540,-0.501,-0.683
'[08:33:29.786 11/03/1996]',0.305,0.043,49.082,49.540,-0.501,-0.683
'[08:33:29.788 11/03/1996]',0.296,0.043,49.082,49.540,-0.501,-0.683
'[08:33:29.790 11/03/1996]',0.286,0.043,49.082,49.540,-0.501,-0.683
'[08:33:29.792 11/03/1996]',0.276,0.043,51.486,50.167,-0.469,-0.678
'[08:33:29.794 11/03/1996]',0.266,0.043,51.486,50.167,-0.469,-0.678
'[08:33:29.796 11/03/1996]',0.254,0.043,51.486,50.167,-0.469,-0.678
'[08:33:29.798 11/03/1996]',0.242,0.043,51.486,50.167,-0.469,-0.678
'[08:33:29.800 11/03/1996]',0.230,0.043,53.289,50.293,-0.424,-0.673
'[08:33:29.802 11/03/1996]',0.218,0.043,53.289,50.293,-0.424,-0.673
'[08:33:29.804 11/03/1996]',0.206,0.043,53.289,50.293,-0.424,-0.673
'[08:33:29.806 11/03/1996]',0.194,0.043,53.289,50.293,-0.424,-0.673
'[08:33:29.808 11/03/1996]',0.184,0.043,54.641,49.941,-0.364,-0.667
'[08:33:29.810 11/03/1996]',0.173,0.043,54.641,49.941,-0.364,-0.667
'[08:33:29.812 11/03/1996]',0.162,0.043,54.641,49.941,-0.364,-0.667
'[08:33:29.814 11/03/1996]',0.151,0.043,54.641,49.941,-0.364,-0.667
'[08:33:29.816 11/03/1996]',0.141,0.043,55.542,49.239,-0.293,-0.662
'[08:33:29.818 11/03/1996]',0.130,0.043,55.542,49.239,-0.293,-0.662
'[08:33:29.820 11/03/1996]',0.120,0.043,55.542,49.239,-0.293,-0.662
'[08:33:29.822 11/03/1996]',0.110,0.043,55.542,49.239,-0.293,-0.662
'[08:33:29.824 11/03/1996]',0.100,0.043,55.993,48.286,-0.204,-0.657
'[08:33:29.826 11/03/1996]',0.091,0.043,55.993,48.286,-0.204,-0.657
'[08:33:29.828 11/03/1996]',0.083,0.043,55.993,48.286,-0.204,-0.657
'[08:33:29.830 11/03/1996]',0.075,0.043,55.993,48.286,-0.204,-0.657
'[08:33:29.832 11/03/1996]',0.069,0.043,55.943,47.182,-0.105,-0.654
'[08:33:29.834 11/03/1996]',0.062,0.043,55.943,47.182,-0.105,-0.654
'[08:33:29.836 11/03/1996]',0.055,0.043,55.943,47.182,-0.105,-0.654
'[08:33:29.838 11/03/1996]',0.049,0.043,55.943,47.182,-0.105,-0.654
'[08:33:29.840 11/03/1996]',0.044,0.043,55.392,45.878,0.005,-0.652
'[08:33:29.842 11/03/1996]',0.038,0.043,55.392,45.878,0.005,-0.652
'[08:33:29.844 11/03/1996]',0.035,0.043,55.392,45.878,0.005,-0.652
'[08:33:29.846 11/03/1996]',0.031,0.043,55.392,45.878,0.005,-0.652
'[08:33:29.848 11/03/1996]',0.029,0.043,54.591,44.473,0.116,-0.651
'[08:33:29.850 11/03/1996]',0.026,0.043,54.591,44.473,0.116,-0.651
'[08:33:29.852 11/03/1996]',0.023,0.043,54.591,44.473,0.116,-0.651
'[08:33:29.854 11/03/1996]',0.020,0.043,54.591,44.473,0.116,-0.651
'[08:33:29.856 11/03/1996]',0.018,0.043,53.489,43.018,0.230,-0.650
'[08:33:29.858 11/03/1996]',0.017,0.043,53.489,43.018,0.230,-0.650
'[08:33:29.860 11/03/1996]',0.017,0.043,53.489,43.018,0.230,-0.650
'[08:33:29.862 11/03/1996]',0.017,0.043,53.489,43.018,0.230,-0.650
'[08:33:29.864 11/03/1996]',0.016,0.043,52.237,41.538,0.337,-0.651
'[08:33:29.866 11/03/1996]',0.015,0.043,52.237,41.538,0.337,-0.651
'[08:33:29.868 11/03/1996]',0.014,0.043,52.237,41.538,0.337,-0.651
'[08:33:29.870 11/03/1996]',0.013,0.043,52.237,41.538,0.337,-0.651
'[08:33:29.872 11/03/1996]',0.013,0.045,50.835,40.359,0.434,-0.652
'[08:33:29.874 11/03/1996]',0.012,0.046,50.835,40.359,0.434,-0.652
'[08:33:29.876 11/03/1996]',0.013,0.049,50.835,40.359,0.434,-0.652
'[08:33:29.878 11/03/1996]',0.013,0.052,50.835,40.359,0.434,-0.652
'[08:33:29.880 11/03/1996]',0.013,0.055,49.382,39.607,0.521,-0.653
'[08:33:29.882 11/03/1996]',0.013,0.058,49.382,39.607,0.521,-0.653
'[08:33:29.884 11/03/1996]',0.013,0.058,49.382,39.607,0.521,-0.653
'[08:33:29.886 11/03/1996]',0.013,0.058,49.382,39.607,0.521,-0.653
'[08:33:29.888 11/03/1996]',0.013,0.061,47.880,39.356,0.596,-0.655
'[08:33:29.890 11/03/1996]',0.012,0.065,47.880,39.356,0.596,-0.655
'[08:33:29.892 11/03/1996]',0.011,0.065,47.880,39.356,0.596,-0.655
'[08:33:29.894 11/03/1996]',0.010,0.065,47.880,39.356,0.596,-0.655
'[08:33:29.896 11/03/1996]',0.008,0.061,46.477,39.482,0.652,-0.658
'[08:33:29.898 11/03/1996]',0.007,0.058,46.477,39.482,0.652,-0.658
'[08:33:29.900 11/03/1996]',0.008,0.055,46.477,39.482,0.652,-0.658
'[08:33:29.902 11/03/1996]',0.010,0.052,46.477,39.482,0.652,-0.658
'[08:33:29.904 11/03/1996]',0.011,0.054,45.325,39.657,0.697,-0.661
'[08:33:29.906 11/03/1996]',0.012,0.055,45.325,39.657,0.697,-0.661
'[08:33:29.908 11/03/1996]',0.013,0.054,45.325,39.657,0.697,-0.661
'[08:33:29.910 11/03/1996]',0.013,0.052,45.325,39.657,0.697,-0.661
'[08:33:29.912 11/03/1996]',0.013,0.049,44.274,39.657,0.724,-0.664
'[08:33:29.914 11/03/1996]',0.013,0.046,44.274,39.657,0.724,-0.664
'[08:33:29.916 11/03/1996]',0.013,0.045,44.274,39.657,0.724,-0.664
'[08:33:29.918 11/03/1996]',0.013,0.043,44.274,39.657,0.724,-0.664
'[08:33:29.920 11/03/1996]',0.013,0.043,43.372,39.482,0.738,-0.667
'[08:33:29.922 11/03/1996]',0.013,0.043,43.372,39.482,0.738,-0.667
'[08:33:29.924 11/03/1996]',0.013,0.043,43.372,39.482,0.738,-0.667
'[08:33:29.926 11/03/1996]',0.013,0.043,43.372,39.482,0.738,-0.667
'[08:33:29.928 11/03/1996]',0.013,0.043,42.571,39.055,0.738,-0.669
'[08:33:29.930 11/03/1996]',0.013,0.043,42.571,39.055,0.738,-0.669
'[08:33:29.932 11/03/1996]',0.013,0.043,42.571,39.055,0.738,-0.669
'[08:33:29.934 11/03/1996]',0.013,0.043,42.571,39.055,0.738,-0.669
'[08:33:29.936 11/03/1996]',0.013,0.043,41.770,38.654,0.724,-0.670
'[08:33:29.938 11/03/1996]',0.013,0.043,41.770,38.654,0.724,-0.670
'[08:33:29.940 11/03/1996]',0.013,0.043,41.770,38.654,0.724,-0.670
'[08:33:29.942 11/03/1996]',0.013,0.043,41.770,38.654,0.724,-0.670
'[08:33:29.944 11/03/1996]',0.013,0.043,41.068,38.177,0.702,-0.671
'[08:33:29.946 11/03/1996]',0.013,0.043,41.068,38.177,0.702,-0.671
'[08:33:29.948 11/03/1996]',0.013,0.043,41.068,38.177,0.702,-0.671
'[08:33:29.950 11/03/1996]',0.013,0.043,41.068,38.177,0.702,-0.671
'[08:33:29.952 11/03/1996]',0.013,0.043,40.417,37.726,0.669,-0.672
'[08:33:29.954 11/03/1996]',0.013,0.043,40.417,37.726,0.669,-0.672
'[08:33:29.956 11/03/1996]',0.013,0.043,40.417,37.726,0.669,-0.672
'[08:33:29.958 11/03/1996]',0.012,0.043,40.417,37.726,0.669,-0.672
'[08:33:29.960 11/03/1996]',0.011,0.043,39.816,37.124,0.633,-0.674
'[08:33:29.962 11/03/1996]',0.010,0.043,39.816,37.124,0.633,-0.674
'[08:33:29.964 11/03/1996]',0.008,0.043,39.816,37.124,0.633,-0.674
'[08:33:29.966 11/03/1996]',0.006,0.043,39.816,37.124,0.633,-0.674
'[08:33:29.968 11/03/1996]',0.005,0.043,39.215,36.547,0.589,-0.677
'[08:33:29.970 11/03/1996]',0.005,0.043,39.215,36.547,0.589,-0.677
'[08:33:29.972 11/03/1996]',0.004,0.043,39.215,36.547,0.589,-0.677
'[08:33:29.974 11/03/1996]',0.004,0.043,39.215,36.547,0.589,-0.677
'[08:33:29.976 11/03/1996]',0.004,0.043,38.664,35.895,0.543,-0.681
'[08:33:29.978 11/03/1996]',0.004,0.043,38.664,35.895,0.543,-0.681
'[08:33:29.980 11/03/1996]',0.004,0.043,38.664,35.895,0.543,-0.681
'[08:33:29.982 11/03/1996]',0.004,0.043,38.664,35.895,0.543,-0.681
'[08:33:29.984 11/03/1996]',0.004,0.043,38.264,35.242,0.492,-0.684
'[08:33:29.986 11/03/1996]',0.005,0.043,38.264,35.242,0.492,-0.684
'[08:33:29.988 11/03/1996]',0.005,0.043,38.264,35.242,0.492,-0.684
'[08:33:29.990 11/03/1996]',0.006,0.043,38.264,35.242,0.492,-0.684
'[08:33:29.992 11/03/1996]',0.007,0.043,37.913,34.666,0.440,-0.686
'[08:33:29.994 11/03/1996]',0.007,0.043,37.913,34.666,0.440,-0.686
'[08:33:29.996 11/03/1996]',0.007,0.043,37.913,34.666,0.440,-0.686
'[08:33:29.998 11/03/1996]',0.006,0.043,37.913,34.666,0.440,-0.686
'[08:33:30.000 11/03/1996]',0.005,0.043,37.563,34.139,0.387,-0.686
'[08:33:30.002 11/03/1996]',0.005,0.043,37.563,34.139,0.387,-0.686
'[08:33:30.004 11/03/1996]',0.004,0.043,37.563,34.139,0.387,-0.686
'[08:33:30.006 11/03/1996]',0.002,0.043,37.563,34.139,0.387,-0.686
'[08:33:30.008 11/03/1996]',0.001,0.043,37.312,33.612,0.332,-0.684
'[08:33:30.010 11/03/1996]',0.000,0.043,37.312,33.612,0.332,-0.684
'[08:33:30.012 11/03/1996]',-0.001,0.043,37.312,33.612,0.332,-0.684
'[08:33:30.014 11/03/1996]',-0.001,0.043,37.312,33.612,0.332,-0.684
'[08:33:30.016 11/03/1996]',-0.001,0.043,37.012,33.186,0.278,-0.682
'[08:33:30.018 11/03/1996]',0.000,0.043,37.012,33.186,0.278,-0.682
'[08:33:30.020 11/03/1996]',0.001,0.043,37.012,33.186,0.278,-0.682
'[08:33:30.022 11/03/1996]',0.001,0.043,37.012,33.186,0.278,-0.682
'[08:33:30.024 11/03/1996]',0.002,0.043,36.861,32.709,0.225,-0.679
'[08:33:30.026 11/03/1996]',0.004,0.043,36.861,32.709,0.225,-0.679
'[08:33:30.028 11/03/1996]',0.004,0.043,36.861,32.709,0.225,-0.679
'[08:33:30.030 11/03/1996]',0.004,0.043,36.861,32.709,0.225,-0.679
'[08:33:30.032 11/03/1996]',0.003,0.043,36.611,32.308,0.172,-0.676
'[08:33:30.034 11/03/1996]',0.002,0.043,36.611,32.308,0.172,-0.676
'[08:33:30.036 11/03/1996]',0.001,0.043,36.611,32.308,0.172,-0.676
'[08:33:30.038 11/03/1996]',0.000,0.043,36.611,32.308,0.172,-0.676
'[08:33:30.040 11/03/1996]',-0.001,0.043,36.461,31.906,0.119,-0.672
'[08:33:30.042 11/03/1996]',-0.002,0.043,36.461,31.906,0.119,-0.672
'[08:33:30.044 11/03/1996]',-0.003,0.043,36.461,31.906,0.119,-0.672
'[08:33:30.046 11/03/1996]',-0.004,0.043,36.461,31.906,0.119,-0.672
'[08:33:30.048 11/03/1996]',-0.004,0.043,36.210,31.530,0.071,-0.668
'[08:33:30.050 11/03/1996]',-0.005,0.043,36.210,31.530,0.071,-0.668
'[08:33:30.052 11/03/1996]',-0.005,0.043,36.210,31.530,0.071,-0.668
'[08:33:30.054 11/03/1996]',-0.005,0.043,36.210,31.530,0.071,-0.668
'[08:33:30.056 11/03/1996]',-0.005,0.043,36.060,31.129,0.024,-0.662
'[08:33:30.058 11/03/1996]',-0.006,0.043,36.060,31.129,0.024,-0.662
'[08:33:30.060 11/03/1996]',-0.007,0.043,36.060,31.129,0.024,-0.662
'[08:33:30.062 11/03/1996]',-0.007,0.043,36.060,31.129,0.024,-0.662
'[08:33:30.064 11/03/1996]',-0.007,0.043,35.860,30.828,-0.022,-0.654
'[08:33:30.066 11/03/1996]',-0.006,0.043,35.860,30.828,-0.022,-0.654
'[08:33:30.068 11/03/1996]',-0.005,0.043,35.860,30.828,-0.022,-0.654
'[08:33:30.070 11/03/1996]',-0.004,0.043,35.860,30.828,-0.022,-0.654
'[08:33:30.072 11/03/1996]',-0.002,0.043,35.760,30.552,-0.067,-0.645
'[08:33:30.074 11/03/1996]',-0.001,0.043,35.760,30.552,-0.067,-0.645
'[08:33:30.076 11/03/1996]',0.000,0.043,35.760,30.552,-0.067,-0.645
'[08:33:30.078 11/03/1996]',0.001,0.043,35.760,30.552,-0.067,-0.645
'[08:33:30.080 11/03/1996]',0.002,0.043,35.559,30.301,-0.104,-0.635
'[08:33:30.082 11/03/1996]',0.004,0.043,35.559,30.301,-0.104,-0.635
'[08:33:30.084 11/03/1996]',0.004,0.043,35.559,30.301,-0.104,-0.635
'[08:33:30.086 11/03/1996]',0.005,0.043,35.559,30.301,-0.104,-0.635
'[08:33:30.088 11/03/1996]',0.006,0.043,35.459,30.201,-0.141,-0.623
'[08:33:30.090 11/03/1996]',0.007,0.043,35.459,30.201,-0.141,-0.623
'[08:33:30.092 11/03/1996]',0.008,0.043,35.459,30.201,-0.141,-0.623
'[08:33:30.094 11/03/1996]',0.010,0.043,35.459,30.201,-0.141,-0.623
'[08:33:30.096 11/03/1996]',0.009,0.043,35.309,30.075,-0.175,-0.610
'[08:33:30.098 11/03/1996]',0.008,0.043,35.309,30.075,-0.175,-0.610
'[08:33:30.100 11/03/1996]',0.008,0.043,35.309,30.075,-0.175,-0.610
'[08:33:30.102 11/03/1996]',0.008,0.043,35.309,30.075,-0.175,-0.610
'[08:33:30.104 11/03/1996]',0.008,0.043,35.209,30.025,-0.208,-0.595
'[08:33:30.106 11/03/1996]',0.008,0.043,35.209,30.025,-0.208,-0.595
'[08:33:30.108 11/03/1996]',0.008,0.043,35.209,30.025,-0.208,-0.595
'[08:33:30.110 11/03/1996]',0.008,0.043,35.209,30.025,-0.208,-0.595
'[08:33:30.112 11/03/1996]',0.008,0.043,35.108,29.950,-0.235,-0.579
'[08:33:30.114 11/03/1996]',0.008,0.043,35.108,29.950,-0.235,-0.579
'[08:33:30.116 11/03/1996]',0.008,0.045,35.108,29.950,-0.235,-0.579
'[08:33:30.118 11/03/1996]',0.008,0.046,35.108,29.950,-0.235,-0.579
'[08:33:30.120 11/03/1996]',0.009,0.051,34.958,29.900,-0.263,-0.564
'[08:33:30.122 11/03/1996]',0.010,0.055,34.958,29.900,-0.263,-0.564
'[08:33:30.124 11/03/1996]',0.013,0.063,34.958,29.900,-0.263,-0.564
'[08:33:30.126 11/03/1996]',0.015,0.071,34.958,29.900,-0.263,-0.564
'[08:33:30.128 11/03/1996]',0.022,0.077,34.858,29.900,-0.288,-0.548
'[08:33:30.130 11/03/1996]',0.029,0.083,34.858,29.900,-0.288,-0.548
'[08:33:30.132 11/03/1996]',0.036,0.092,34.858,29.900,-0.288,-0.548
'[08:33:30.134 11/03/1996]',0.043,0.101,34.858,29.900,-0.288,-0.548
'[08:33:30.136 11/03/1996]',0.049,0.108,34.858,29.849,-0.310,-0.532
'[08:33:30.138 11/03/1996]',0.056,0.114,34.858,29.849,-0.310,-0.532
'[08:33:30.140 11/03/1996]',0.055,0.111,34.858,29.849,-0.310,-0.532
'[08:33:30.142 11/03/1996]',0.055,0.108,34.858,29.849,-0.310,-0.532
'[08:33:30.144 11/03/1996]',0.038,0.097,34.808,29.724,-0.331,-0.516
'[08:33:30.146 11/03/1996]',0.021,0.086,34.808,29.724,-0.331,-0.516
'[08:33:30.148 11/03/1996]',-0.015,0.072,34.808,29.724,-0.331,-0.516
