'Time and date','II','aVR','V','ABP','PAP','PLETH','RESP'
'[14:07:06.798 26/10/1995]',0.005,0.007,-0.495,57.744,24.300,-0.424,-0.528
'[14:07:06.800 26/10/1995]',-0.025,0.070,-0.495,57.519,23.775,-0.432,-0.531
'[14:07:06.802 26/10/1995]',-0.056,0.097,-0.495,57.519,23.775,-0.432,-0.531
'[14:07:06.804 26/10/1995]',-0.069,0.125,-0.486,57.519,23.775,-0.432,-0.531
'[14:07:06.806 26/10/1995]',-0.082,0.125,-0.468,57.519,23.775,-0.432,-0.531
'[14:07:06.808 26/10/1995]',-0.085,0.104,-0.449,57.293,23.175,-0.442,-0.535
'[14:07:06.810 26/10/1995]',-0.088,0.090,-0.422,57.293,23.175,-0.442,-0.535
'[14:07:06.812 26/10/1995]',-0.087,0.070,-0.394,57.293,23.175,-0.442,-0.535
'[14:07:06.814 26/10/1995]',-0.085,0.077,-0.339,57.293,23.175,-0.442,-0.535
'[14:07:06.816 26/10/1995]',-0.083,0.083,-0.293,57.068,22.650,-0.447,-0.538
'[14:07:06.818 26/10/1995]',-0.080,0.090,-0.238,57.068,22.650,-0.447,-0.538
'[14:07:06.820 26/10/1995]',-0.078,0.090,-0.183,57.068,22.650,-0.447,-0.538
'[14:07:06.822 26/10/1995]',-0.075,0.077,-0.128,57.068,22.650,-0.447,-0.538
'[14:07:06.824 26/10/1995]',-0.073,0.063,-0.073,56.767,22.300,-0.457,-0.542
'[14:07:06.826 26/10/1995]',-0.072,0.042,-0.045,56.767,22.300,-0.457,-0.542
'[14:07:06.828 26/10/1995]',-0.071,0.028,-0.008,56.767,22.300,-0.457,-0.542
'[14:07:06.830 26/10/1995]',-0.071,0.028,0.010,56.767,22.300,-0.457,-0.542
'[14:07:06.832 26/10/1995]',-0.071,0.028,0.028,56.541,22.125,-0.462,-0.545
'[14:07:06.834 26/10/1995]',-0.071,0.049,0.037,56.541,22.125,-0.462,-0.545
'[14:07:06.836 26/10/1995]',-0.071,0.063,0.056,56.541,22.125,-0.462,-0.545
'[14:07:06.838 26/10/1995]',-0.071,0.063,0.065,56.541,22.125,-0.462,-0.545
'[14:07:06.840 26/10/1995]',-0.070,0.049,0.074,56.241,22.250,-0.469,-0.548
'[14:07:06.842 26/10/1995]',-0.070,0.028,0.083,56.241,22.250,-0.469,-0.548
'[14:07:06.844 26/10/1995]',-0.069,0.021,0.083,56.241,22.250,-0.469,-0.548
'[14:07:06.846 26/10/1995]',-0.068,0.021,0.083,56.241,22.250,-0.469,-0.548
'[14:07:06.848 26/10/1995]',-0.067,0.021,0.083,55.865,22.425,-0.474,-0.550
'[14:07:06.850 26/10/1995]',-0.066,0.028,0.074,55.865,22.425,-0.474,-0.550
'[14:07:06.852 26/10/1995]',-0.064,0.042,0.074,55.865,22.425,-0.474,-0.550
'[14:07:06.854 26/10/1995]',-0.062,0.063,0.083,55.865,22.425,-0.474,-0.550
'[14:07:06.856 26/10/1995]',-0.060,0.049,0.083,55.564,22.650,-0.479,-0.553
'[14:07:06.858 26/10/1995]',-0.058,0.035,0.093,55.564,22.650,-0.479,-0.553
'[14:07:06.860 26/10/1995]',-0.057,0.021,0.093,55.564,22.650,-0.479,-0.553
'[14:07:06.862 26/10/1995]',-0.056,0.014,0.083,55.564,22.650,-0.479,-0.553
'[14:07:06.864 26/10/1995]',-0.054,0.014,0.083,55.338,22.825,-0.487,-0.557
'[14:07:06.866 26/10/1995]',-0.052,0.028,0.083,55.338,22.825,-0.487,-0.557
'[14:07:06.868 26/10/1995]',-0.050,0.035,0.074,55.338,22.825,-0.487,-0.557
'[14:07:06.870 26/10/1995]',-0.049,0.049,0.074,55.338,22.825,-0.487,-0.557
'[14:07:06.872 26/10/1995]',-0.047,0.049,0.074,55.038,23.075,-0.492,-0.562
'[14:07:06.874 26/10/1995]',-0.044,0.035,0.083,55.038,23.075,-0.492,-0.562
'[14:07:06.876 26/10/1995]',-0.043,0.014,0.083,55.038,23.075,-0.492,-0.562
'[14:07:06.878 26/10/1995]',-0.041,0.007,0.074,55.038,23.075,-0.492,-0.562
'[14:07:06.880 26/10/1995]',-0.039,0.007,0.074,54.812,23.525,-0.497,-0.568
'[14:07:06.882 26/10/1995]',-0.037,0.014,0.065,54.812,23.525,-0.497,-0.568
'[14:07:06.884 26/10/1995]',-0.035,0.028,0.065,54.812,23.525,-0.497,-0.568
'[14:07:06.886 26/10/1995]',-0.032,0.028,0.065,54.812,23.525,-0.497,-0.568
'[14:07:06.888 26/10/1995]',-0.030,0.035,0.065,54.586,24.525,-0.500,-0.574
'[14:07:06.890 26/10/1995]',-0.028,0.028,0.065,54.586,24.525,-0.500,-0.574
'[14:07:06.892 26/10/1995]',-0.026,0.007,0.074,54.586,24.525,-0.500,-0.574
'[14:07:06.894 26/10/1995]',-0.024,0.001,0.065,54.586,24.525,-0.500,-0.574
'[14:07:06.896 26/10/1995]',-0.022,-0.006,0.065,54.286,25.925,-0.505,-0.580
'[14:07:06.898 26/10/1995]',-0.019,0.001,0.065,54.286,25.925,-0.505,-0.580
'[14:07:06.900 26/10/1995]',-0.017,0.014,0.056,54.286,25.925,-0.505,-0.580
'[14:07:06.902 26/10/1995]',-0.015,0.021,0.056,54.286,25.925,-0.505,-0.580
'[14:07:06.904 26/10/1995]',-0.013,0.028,0.056,54.060,27.800,-0.505,-0.587
'[14:07:06.906 26/10/1995]',-0.011,0.021,0.056,54.060,27.800,-0.505,-0.587
'[14:07:06.908 26/10/1995]',-0.008,0.007,0.056,54.060,27.800,-0.505,-0.587
'[14:07:06.910 26/10/1995]',-0.005,-0.006,0.056,54.060,27.800,-0.505,-0.587
'[14:07:06.912 26/10/1995]',-0.002,-0.006,0.065,53.759,29.850,-0.510,-0.593
'[14:07:06.914 26/10/1995]',0.001,-0.006,0.056,53.759,29.850,-0.510,-0.593
'[14:07:06.916 26/10/1995]',0.003,0.001,0.046,53.759,29.850,-0.510,-0.593
'[14:07:06.918 26/10/1995]',0.005,0.014,0.037,53.759,29.850,-0.510,-0.593
'[14:07:06.920 26/10/1995]',0.007,0.021,0.037,53.534,31.850,-0.510,-0.600
'[14:07:06.922 26/10/1995]',0.009,0.014,0.037,53.534,31.850,-0.510,-0.600
'[14:07:06.924 26/10/1995]',0.011,0.001,0.046,53.534,31.850,-0.510,-0.600
'[14:07:06.926 26/10/1995]',0.013,-0.013,0.046,53.534,31.850,-0.510,-0.600
'[14:07:06.928 26/10/1995]',0.016,-0.020,0.037,53.233,33.725,-0.515,-0.606
'[14:07:06.930 26/10/1995]',0.019,-0.020,0.037,53.233,33.725,-0.515,-0.606
'[14:07:06.932 26/10/1995]',0.021,-0.013,0.028,53.233,33.725,-0.515,-0.606
'[14:07:06.934 26/10/1995]',0.024,-0.006,0.019,53.233,33.725,-0.515,-0.606
'[14:07:06.936 26/10/1995]',0.026,0.001,0.019,53.008,35.300,-0.517,-0.612
'[14:07:06.938 26/10/1995]',0.029,0.007,0.019,53.008,35.300,-0.517,-0.612
'[14:07:06.940 26/10/1995]',0.030,-0.006,0.019,53.008,35.300,-0.517,-0.612
'[14:07:06.942 26/10/1995]',0.032,-0.027,0.019,53.008,35.300,-0.517,-0.612
'[14:07:06.944 26/10/1995]',0.034,-0.034,0.028,52.932,36.650,-0.520,-0.617
'[14:07:06.946 26/10/1995]',0.037,-0.034,0.010,52.932,36.650,-0.520,-0.617
'[14:07:06.948 26/10/1995]',0.041,-0.034,0.010,52.932,36.650,-0.520,-0.617
'[14:07:06.950 26/10/1995]',0.045,-0.027,0.001,52.932,36.650,-0.520,-0.617
'[14:07:06.952 26/10/1995]',0.050,-0.020,0.001,53.008,37.950,-0.521,-0.622
'[14:07:06.954 26/10/1995]',0.055,-0.006,0.001,53.008,37.950,-0.521,-0.622
'[14:07:06.956 26/10/1995]',0.060,-0.020,0.001,53.008,37.950,-0.521,-0.622
'[14:07:06.958 26/10/1995]',0.064,-0.041,0.001,53.008,37.950,-0.521,-0.622
'[14:07:06.960 26/10/1995]',0.070,-0.062,0.001,53.684,39.350,-0.521,-0.626
'[14:07:06.962 26/10/1995]',0.075,-0.069,-0.008,53.684,39.350,-0.521,-0.626
'[14:07:06.964 26/10/1995]',0.080,-0.062,-0.018,53.684,39.350,-0.521,-0.626
'[14:07:06.966 26/10/1995]',0.085,-0.048,-0.018,53.684,39.350,-0.521,-0.626
'[14:07:06.968 26/10/1995]',0.090,-0.041,-0.027,55.188,41.050,-0.521,-0.630
'[14:07:06.970 26/10/1995]',0.095,-0.041,-0.036,55.188,41.050,-0.521,-0.630
'[14:07:06.972 26/10/1995]',0.100,-0.041,-0.036,55.188,41.050,-0.521,-0.630
'[14:07:06.974 26/10/1995]',0.105,-0.062,-0.036,55.188,41.050,-0.521,-0.630
'[14:07:06.976 26/10/1995]',0.110,-0.076,-0.036,57.820,42.975,-0.526,-0.634
'[14:07:06.978 26/10/1995]',0.114,-0.089,-0.045,57.820,42.975,-0.526,-0.634
'[14:07:06.980 26/10/1995]',0.118,-0.089,-0.045,57.820,42.975,-0.526,-0.634
'[14:07:06.982 26/10/1995]',0.122,-0.083,-0.054,57.820,42.975,-0.526,-0.634
'[14:07:06.984 26/10/1995]',0.125,-0.076,-0.064,61.429,45.025,-0.521,-0.637
'[14:07:06.986 26/10/1995]',0.128,-0.069,-0.064,61.429,45.025,-0.521,-0.637
'[14:07:06.988 26/10/1995]',0.129,-0.069,-0.064,61.429,45.025,-0.521,-0.637
'[14:07:06.990 26/10/1995]',0.130,-0.076,-0.064,61.429,45.025,-0.521,-0.637
'[14:07:06.992 26/10/1995]',0.130,-0.089,-0.064,65.564,47.075,-0.521,-0.640
'[14:07:06.994 26/10/1995]',0.130,-0.096,-0.064,65.564,47.075,-0.521,-0.640
'[14:07:06.996 26/10/1995]',0.130,-0.096,-0.064,65.564,47.075,-0.521,-0.640
'[14:07:06.998 26/10/1995]',0.130,-0.089,-0.064,65.564,47.075,-0.521,-0.640
'[14:07:07.000 26/10/1995]',0.129,-0.083,-0.073,69.398,48.850,-0.513,-0.643
'[14:07:07.002 26/10/1995]',0.129,-0.069,-0.073,69.398,48.850,-0.513,-0.643
'[14:07:07.004 26/10/1995]',0.128,-0.062,-0.073,69.398,48.850,-0.513,-0.643
'[14:07:07.006 26/10/1995]',0.126,-0.076,-0.073,69.398,48.850,-0.513,-0.643
'[14:07:07.008 26/10/1995]',0.124,-0.083,-0.064,72.782,50.125,-0.506,-0.646
'[14:07:07.010 26/10/1995]',0.122,-0.096,-0.064,72.782,50.125,-0.506,-0.646
'[14:07:07.012 26/10/1995]',0.119,-0.096,-0.064,72.782,50.125,-0.506,-0.646
'[14:07:07.014 26/10/1995]',0.116,-0.096,-0.064,72.782,50.125,-0.506,-0.646
'[14:07:07.016 26/10/1995]',0.113,-0.083,-0.073,75.714,50.950,-0.491,-0.649
'[14:07:07.018 26/10/1995]',0.109,-0.069,-0.073,75.714,50.950,-0.491,-0.649
'[14:07:07.020 26/10/1995]',0.105,-0.048,-0.064,75.714,50.950,-0.491,-0.649
'[14:07:07.022 26/10/1995]',0.101,-0.048,-0.064,75.714,50.950,-0.491,-0.649
'[14:07:07.024 26/10/1995]',0.096,-0.069,-0.064,78.496,51.250,-0.473,-0.652
'[14:07:07.026 26/10/1995]',0.091,-0.076,-0.054,78.496,51.250,-0.473,-0.652
'[14:07:07.028 26/10/1995]',0.087,-0.083,-0.054,78.496,51.250,-0.473,-0.652
'[14:07:07.030 26/10/1995]',0.082,-0.076,-0.054,78.496,51.250,-0.473,-0.652
'[14:07:07.032 26/10/1995]',0.077,-0.062,-0.064,81.203,51.300,-0.446,-0.655
'[14:07:07.034 26/10/1995]',0.073,-0.048,-0.054,81.203,51.300,-0.446,-0.655
'[14:07:07.036 26/10/1995]',0.068,-0.034,-0.064,81.203,51.300,-0.446,-0.655
'[14:07:07.038 26/10/1995]',0.064,-0.027,-0.054,81.203,51.300,-0.446,-0.655
'[14:07:07.040 26/10/1995]',0.060,-0.027,-0.045,83.383,51.250,-0.410,-0.657
'[14:07:07.042 26/10/1995]',0.056,-0.041,-0.036,83.383,51.250,-0.410,-0.657
'[14:07:07.044 26/10/1995]',0.051,-0.048,-0.036,83.383,51.250,-0.410,-0.657
'[14:07:07.046 26/10/1995]',0.047,-0.048,-0.027,83.383,51.250,-0.410,-0.657
'[14:07:07.048 26/10/1995]',0.042,-0.041,-0.027,85.263,50.950,-0.367,-0.660
'[14:07:07.050 26/10/1995]',0.038,-0.027,-0.027,85.263,50.950,-0.367,-0.660
'[14:07:07.052 26/10/1995]',0.034,-0.013,-0.027,85.263,50.950,-0.367,-0.660
'[14:07:07.054 26/10/1995]',0.029,-0.006,-0.027,85.263,50.950,-0.367,-0.660
'[14:07:07.056 26/10/1995]',0.025,-0.006,-0.018,86.541,50.550,-0.320,-0.662
'[14:07:07.058 26/10/1995]',0.020,-0.020,0.001,86.541,50.550,-0.320,-0.662
'[14:07:07.060 26/10/1995]',0.017,-0.027,0.001,86.541,50.550,-0.320,-0.662
'[14:07:07.062 26/10/1995]',0.013,-0.027,0.001,86.541,50.550,-0.320,-0.662
'[14:07:07.064 26/10/1995]',0.010,-0.020,0.001,87.519,50.075,-0.270,-0.664
'[14:07:07.066 26/10/1995]',0.007,-0.006,0.001,87.519,50.075,-0.270,-0.664
'[14:07:07.068 26/10/1995]',0.004,0.007,0.001,87.519,50.075,-0.270,-0.664
'[14:07:07.070 26/10/1995]',0.001,0.014,0.001,87.519,50.075,-0.270,-0.664
'[14:07:07.072 26/10/1995]',-0.001,0.014,0.001,88.195,49.500,-0.206,-0.666
'[14:07:07.074 26/10/1995]',-0.004,0.007,0.001,88.195,49.500,-0.206,-0.666
'[14:07:07.076 26/10/1995]',-0.005,-0.013,0.010,88.195,49.500,-0.206,-0.666
'[14:07:07.078 26/10/1995]',-0.007,-0.006,0.010,88.195,49.500,-0.206,-0.666
'[14:07:07.080 26/10/1995]',-0.008,-0.006,0.010,88.496,48.850,-0.143,-0.667
'[14:07:07.082 26/10/1995]',-0.010,0.007,0.010,88.496,48.850,-0.143,-0.667
'[14:07:07.084 26/10/1995]',-0.011,0.021,0.010,88.496,48.850,-0.143,-0.667
'[14:07:07.086 26/10/1995]',-0.013,0.028,0.019,88.496,48.850,-0.143,-0.667
'[14:07:07.088 26/10/1995]',-0.014,0.028,0.019,88.496,48.150,-0.084,-0.668
'[14:07:07.090 26/10/1995]',-0.016,0.021,0.028,88.496,48.150,-0.084,-0.668
'[14:07:07.092 26/10/1995]',-0.017,0.007,0.028,88.496,48.150,-0.084,-0.668
'[14:07:07.094 26/10/1995]',-0.018,-0.006,0.037,88.496,48.150,-0.084,-0.668
'[14:07:07.096 26/10/1995]',-0.019,0.001,0.028,88.421,47.325,-0.021,-0.669
'[14:07:07.098 26/10/1995]',-0.020,0.007,0.028,88.421,47.325,-0.021,-0.669
'[14:07:07.100 26/10/1995]',-0.021,0.021,0.019,88.421,47.325,-0.021,-0.669
'[14:07:07.102 26/10/1995]',-0.022,0.028,0.019,88.421,47.325,-0.021,-0.669
'[14:07:07.104 26/10/1995]',-0.022,0.035,0.028,88.045,46.375,0.040,-0.669
'[14:07:07.106 26/10/1995]',-0.022,0.028,0.037,88.045,46.375,0.040,-0.669
'[14:07:07.108 26/10/1995]',-0.021,0.014,0.037,88.045,46.375,0.040,-0.669
'[14:07:07.110 26/10/1995]',-0.021,0.007,0.046,88.045,46.375,0.040,-0.669
'[14:07:07.112 26/10/1995]',-0.020,0.001,0.037,87.594,45.325,0.096,-0.669
'[14:07:07.114 26/10/1995]',-0.020,0.007,0.037,87.594,45.325,0.096,-0.669
'[14:07:07.116 26/10/1995]',-0.019,0.014,0.028,87.594,45.325,0.096,-0.669
'[14:07:07.118 26/10/1995]',-0.019,0.028,0.037,87.594,45.325,0.096,-0.669
'[14:07:07.120 26/10/1995]',-0.018,0.035,0.028,86.842,44.050,0.150,-0.669
'[14:07:07.122 26/10/1995]',-0.018,0.035,0.037,86.842,44.050,0.150,-0.669
'[14:07:07.124 26/10/1995]',-0.017,0.021,0.037,86.842,44.050,0.150,-0.669
'[14:07:07.126 26/10/1995]',-0.016,0.007,0.046,86.842,44.050,0.150,-0.669
'[14:07:07.128 26/10/1995]',-0.016,0.001,0.046,85.865,42.525,0.191,-0.669
'[14:07:07.130 26/10/1995]',-0.016,0.007,0.037,85.865,42.525,0.191,-0.669
'[14:07:07.132 26/10/1995]',-0.015,0.007,0.037,85.865,42.525,0.191,-0.669
'[14:07:07.134 26/10/1995]',-0.014,0.021,0.028,85.865,42.525,0.191,-0.669
'[14:07:07.136 26/10/1995]',-0.013,0.028,0.028,84.662,40.750,0.231,-0.669
'[14:07:07.138 26/10/1995]',-0.013,0.035,0.028,84.662,40.750,0.231,-0.669
'[14:07:07.140 26/10/1995]',-0.012,0.028,0.037,84.662,40.750,0.231,-0.669
'[14:07:07.142 26/10/1995]',-0.011,0.014,0.046,84.662,40.750,0.231,-0.669
'[14:07:07.144 26/10/1995]',-0.010,0.001,0.037,83.083,38.775,0.264,-0.669
'[14:07:07.146 26/10/1995]',-0.009,0.001,0.037,83.083,38.775,0.264,-0.669
'[14:07:07.148 26/10/1995]',-0.008,0.001,0.028,83.083,38.775,0.264,-0.669
'[14:07:07.150 26/10/1995]',-0.008,0.014,0.019,83.083,38.775,0.264,-0.669
'[14:07:07.152 26/10/1995]',-0.007,0.021,0.019,81.504,36.550,0.284,-0.668
'[14:07:07.154 26/10/1995]',-0.007,0.028,0.019,81.504,36.550,0.284,-0.668
'[14:07:07.156 26/10/1995]',-0.006,0.028,0.028,81.504,36.550,0.284,-0.668
'[14:07:07.158 26/10/1995]',-0.006,0.014,0.037,81.504,36.550,0.284,-0.668
'[14:07:07.160 26/10/1995]',-0.005,0.001,0.037,79.699,34.075,0.304,-0.668
'[14:07:07.162 26/10/1995]',-0.005,-0.006,0.037,79.699,34.075,0.304,-0.668
'[14:07:07.164 26/10/1995]',-0.004,-0.006,0.028,79.699,34.075,0.304,-0.668
'[14:07:07.166 26/10/1995]',-0.004,0.007,0.019,79.699,34.075,0.304,-0.668
'[14:07:07.168 26/10/1995]',-0.003,0.014,0.019,77.970,31.625,0.317,-0.667
'[14:07:07.170 26/10/1995]',-0.002,0.021,0.019,77.970,31.625,0.317,-0.667
'[14:07:07.172 26/10/1995]',-0.001,0.021,0.019,77.970,31.625,0.317,-0.667
'[14:07:07.174 26/10/1995]',-0.001,0.014,0.028,77.970,31.625,0.317,-0.667
'[14:07:07.176 26/10/1995]',0.000,0.001,0.028,76.391,29.675,0.317,-0.667
'[14:07:07.178 26/10/1995]',0.001,-0.006,0.028,76.391,29.675,0.317,-0.667
'[14:07:07.180 26/10/1995]',0.001,-0.006,0.019,76.391,29.675,0.317,-0.667
'[14:07:07.182 26/10/1995]',0.002,0.001,0.019,76.391,29.675,0.317,-0.667
'[14:07:07.184 26/10/1995]',0.002,0.007,0.010,74.737,28.575,0.317,-0.666
'[14:07:07.186 26/10/1995]',0.002,0.021,0.010,74.737,28.575,0.317,-0.666
'[14:07:07.188 26/10/1995]',0.003,0.028,0.010,74.737,28.575,0.317,-0.666
'[14:07:07.190 26/10/1995]',0.004,0.007,0.019,74.737,28.575,0.317,-0.666
'[14:07:07.192 26/10/1995]',0.004,-0.006,0.019,73.308,28.100,0.311,-0.665
'[14:07:07.194 26/10/1995]',0.005,-0.013,0.019,73.308,28.100,0.311,-0.665
'[14:07:07.196 26/10/1995]',0.004,-0.013,0.019,73.308,28.100,0.311,-0.665
'[14:07:07.198 26/10/1995]',0.004,-0.013,0.010,73.308,28.100,0.311,-0.665
'[14:07:07.200 26/10/1995]',0.003,0.001,0.010,71.880,27.975,0.299,-0.664
'[14:07:07.202 26/10/1995]',0.002,0.014,0.010,71.880,27.975,0.299,-0.664
'[14:07:07.204 26/10/1995]',0.002,0.021,0.010,71.880,27.975,0.299,-0.664
'[14:07:07.206 26/10/1995]',0.001,0.021,0.019,71.880,27.975,0.299,-0.664
'[14:07:07.208 26/10/1995]',0.001,0.001,0.019,70.677,28.100,0.281,-0.663
'[14:07:07.210 26/10/1995]',0.001,-0.013,0.019,70.677,28.100,0.281,-0.663
'[14:07:07.212 26/10/1995]',0.000,-0.013,0.019,70.677,28.100,0.281,-0.663
'[14:07:07.214 26/10/1995]',0.000,-0.006,0.019,70.677,28.100,0.281,-0.663
'[14:07:07.216 26/10/1995]',-0.001,0.001,0.010,69.624,28.575,0.264,-0.661
'[14:07:07.218 26/10/1995]',-0.002,0.014,0.010,69.624,28.575,0.264,-0.661
'[14:07:07.220 26/10/1995]',-0.002,0.021,0.010,69.624,28.575,0.264,-0.661
'[14:07:07.222 26/10/1995]',-0.003,0.021,0.019,69.624,28.575,0.264,-0.661
'[14:07:07.224 26/10/1995]',-0.004,0.007,0.019,68.797,29.400,0.238,-0.660
'[14:07:07.226 26/10/1995]',-0.005,-0.006,0.019,68.797,29.400,0.238,-0.660
'[14:07:07.228 26/10/1995]',-0.006,-0.006,0.019,68.797,29.400,0.238,-0.660
'[14:07:07.230 26/10/1995]',-0.006,0.001,0.019,68.797,29.400,0.238,-0.660
'[14:07:07.232 26/10/1995]',-0.006,0.007,0.010,68.045,30.150,0.216,-0.658
'[14:07:07.234 26/10/1995]',-0.006,0.014,0.010,68.045,30.150,0.216,-0.658
'[14:07:07.236 26/10/1995]',-0.006,0.021,0.010,68.045,30.150,0.216,-0.658
'[14:07:07.238 26/10/1995]',-0.006,0.021,0.019,68.045,30.150,0.216,-0.658
'[14:07:07.240 26/10/1995]',-0.006,0.021,0.019,67.444,30.625,0.191,-0.657
'[14:07:07.242 26/10/1995]',-0.006,0.001,0.028,67.444,30.625,0.191,-0.657
'[14:07:07.244 26/10/1995]',-0.007,-0.006,0.028,67.444,30.625,0.191,-0.657
'[14:07:07.246 26/10/1995]',-0.007,-0.006,0.019,67.444,30.625,0.191,-0.657
'[14:07:07.248 26/10/1995]',-0.008,0.001,0.019,66.842,30.575,0.158,-0.655
'[14:07:07.250 26/10/1995]',-0.009,0.014,0.010,66.842,30.575,0.158,-0.655
'[14:07:07.252 26/10/1995]',-0.009,0.028,0.019,66.842,30.575,0.158,-0.655
'[14:07:07.254 26/10/1995]',-0.009,0.028,0.019,66.842,30.575,0.158,-0.655
'[14:07:07.256 26/10/1995]',-0.010,0.021,0.028,66.391,30.275,0.133,-0.653
'[14:07:07.258 26/10/1995]',-0.011,0.014,0.028,66.391,30.275,0.133,-0.653
'[14:07:07.260 26/10/1995]',-0.012,0.001,0.028,66.391,30.275,0.133,-0.653
'[14:07:07.262 26/10/1995]',-0.013,-0.006,0.019,66.391,30.275,0.133,-0.653
'[14:07:07.264 26/10/1995]',-0.013,0.001,0.019,65.940,29.800,0.103,-0.651
'[14:07:07.266 26/10/1995]',-0.013,0.014,0.019,65.940,29.800,0.103,-0.651
'[14:07:07.268 26/10/1995]',-0.012,0.021,0.019,65.940,29.800,0.103,-0.651
'[14:07:07.270 26/10/1995]',-0.011,0.035,0.019,65.940,29.800,0.103,-0.651
'[14:07:07.272 26/10/1995]',-0.011,0.028,0.019,65.489,29.275,0.075,-0.649
'[14:07:07.274 26/10/1995]',-0.011,0.014,0.028,65.489,29.275,0.075,-0.649
'[14:07:07.276 26/10/1995]',-0.011,0.007,0.028,65.489,29.275,0.075,-0.649
'[14:07:07.278 26/10/1995]',-0.012,-0.006,0.028,65.489,29.275,0.075,-0.649
'[14:07:07.280 26/10/1995]',-0.013,0.001,0.028,65.113,28.625,0.043,-0.647
'[14:07:07.282 26/10/1995]',-0.013,0.007,0.019,65.113,28.625,0.043,-0.647
'[14:07:07.284 26/10/1995]',-0.014,0.021,0.019,65.113,28.625,0.043,-0.647
'[14:07:07.286 26/10/1995]',-0.015,0.028,0.019,65.113,28.625,0.043,-0.647
'[14:07:07.288 26/10/1995]',-0.015,0.021,0.019,64.662,27.975,0.018,-0.645
'[14:07:07.290 26/10/1995]',-0.016,0.021,0.028,64.662,27.975,0.018,-0.645
'[14:07:07.292 26/10/1995]',-0.015,0.007,0.037,64.662,27.975,0.018,-0.645
'[14:07:07.294 26/10/1995]',-0.014,0.001,0.037,64.662,27.975,0.018,-0.645
'[14:07:07.296 26/10/1995]',-0.013,0.001,0.037,64.286,27.350,-0.008,-0.643
'[14:07:07.298 26/10/1995]',-0.011,0.007,0.028,64.286,27.350,-0.008,-0.643
'[14:07:07.300 26/10/1995]',-0.008,0.014,0.028,64.286,27.350,-0.008,-0.643
'[14:07:07.302 26/10/1995]',-0.005,0.021,0.028,64.286,27.350,-0.008,-0.643
'[14:07:07.304 26/10/1995]',-0.001,0.028,0.028,63.835,26.750,-0.035,-0.641
'[14:07:07.306 26/10/1995]',0.002,0.021,0.037,63.835,26.750,-0.035,-0.641
'[14:07:07.308 26/10/1995]',0.006,0.001,0.056,63.835,26.750,-0.035,-0.641
'[14:07:07.310 26/10/1995]',0.010,-0.013,0.056,63.835,26.750,-0.035,-0.641
'[14:07:07.312 26/10/1995]',0.013,-0.020,0.056,63.459,26.175,-0.058,-0.640
'[14:07:07.314 26/10/1995]',0.016,-0.013,0.056,63.459,26.175,-0.058,-0.640
'[14:07:07.316 26/10/1995]',0.018,-0.006,0.056,63.459,26.175,-0.058,-0.640
'[14:07:07.318 26/10/1995]',0.020,0.001,0.056,63.459,26.175,-0.058,-0.640
'[14:07:07.320 26/10/1995]',0.022,0.007,0.056,62.932,25.650,-0.081,-0.638
'[14:07:07.322 26/10/1995]',0.025,0.007,0.065,62.932,25.650,-0.081,-0.638
'[14:07:07.324 26/10/1995]',0.027,0.001,0.065,62.932,25.650,-0.081,-0.638
'[14:07:07.326 26/10/1995]',0.030,-0.013,0.074,62.932,25.650,-0.081,-0.638
'[14:07:07.328 26/10/1995]',0.034,-0.020,0.065,62.556,25.175,-0.103,-0.636
'[14:07:07.330 26/10/1995]',0.038,-0.027,0.065,62.556,25.175,-0.103,-0.636
'[14:07:07.332 26/10/1995]',0.044,-0.020,0.065,62.556,25.175,-0.103,-0.636
'[14:07:07.334 26/10/1995]',0.049,-0.013,0.056,62.556,25.175,-0.103,-0.636
'[14:07:07.336 26/10/1995]',0.054,-0.006,0.046,62.180,24.775,-0.121,-0.634
'[14:07:07.338 26/10/1995]',0.058,-0.006,0.037,62.180,24.775,-0.121,-0.634
'[14:07:07.340 26/10/1995]',0.062,-0.020,0.046,62.180,24.775,-0.121,-0.634
'[14:07:07.342 26/10/1995]',0.066,-0.034,0.037,62.180,24.775,-0.121,-0.634
'[14:07:07.344 26/10/1995]',0.066,-0.048,0.037,61.729,24.475,-0.141,-0.633
'[14:07:07.346 26/10/1995]',0.067,-0.062,0.028,61.729,24.475,-0.141,-0.633
'[14:07:07.348 26/10/1995]',0.065,-0.048,0.019,61.729,24.475,-0.141,-0.633
'[14:07:07.350 26/10/1995]',0.063,-0.034,0.010,61.729,24.475,-0.141,-0.633
'[14:07:07.352 26/10/1995]',0.058,-0.027,0.010,61.353,24.300,-0.161,-0.631
'[14:07:07.354 26/10/1995]',0.053,-0.020,0.010,61.353,24.300,-0.161,-0.631
'[14:07:07.356 26/10/1995]',0.048,-0.027,0.010,61.353,24.300,-0.161,-0.631
'[14:07:07.358 26/10/1995]',0.042,-0.034,0.019,61.353,24.300,-0.161,-0.631
'[14:07:07.360 26/10/1995]',0.036,-0.041,0.010,61.053,24.125,-0.179,-0.630
'[14:07:07.362 26/10/1995]',0.029,-0.041,0.001,61.053,24.125,-0.179,-0.630
'[14:07:07.364 26/10/1995]',0.023,-0.034,0.001,61.053,24.125,-0.179,-0.630
'[14:07:07.366 26/10/1995]',0.017,-0.020,0.001,61.053,24.125,-0.179,-0.630
