'Time and date','MCL1','I','V','ABP','PAP','PLETH','RESP'
'[10:55:51.820 10/11/1995]',0.139,-0.045,0.001,65.350,24.325,-0.427,0.873
'[10:55:51.822 10/11/1995]',0.119,-0.033,-0.007,65.350,24.325,-0.427,0.873
'[10:55:51.824 10/11/1995]',0.099,-0.033,-0.007,66.700,24.325,-0.419,0.875
'[10:55:51.826 10/11/1995]',0.080,-0.022,-0.007,66.700,24.325,-0.419,0.875
'[10:55:51.828 10/11/1995]',0.060,0.001,-0.014,66.700,24.325,-0.419,0.875
'[10:55:51.830 10/11/1995]',0.060,0.001,-0.014,66.700,24.325,-0.419,0.875
'[10:55:51.832 10/11/1995]',0.040,0.001,-0.007,68.300,24.250,-0.419,0.879
'[10:55:51.834 10/11/1995]',0.040,0.012,-0.014,68.300,24.250,-0.419,0.879
'[10:55:51.836 10/11/1995]',0.021,0.024,-0.007,68.300,24.250,-0.419,0.879
'[10:55:51.838 10/11/1995]',0.021,0.012,-0.014,68.300,24.250,-0.419,0.879
'[10:55:51.840 10/11/1995]',0.002,0.024,-0.014,69.800,24.075,-0.416,0.884
'[10:55:51.842 10/11/1995]',0.002,0.012,-0.014,69.800,24.075,-0.416,0.884
'[10:55:51.844 10/11/1995]',0.002,0.012,-0.014,69.800,24.075,-0.416,0.884
'[10:55:51.846 10/11/1995]',0.002,0.001,-0.014,69.800,24.075,-0.416,0.884
'[10:55:51.848 10/11/1995]',0.021,0.001,-0.014,71.150,23.675,-0.419,0.890
'[10:55:51.850 10/11/1995]',0.002,0.001,-0.014,71.150,23.675,-0.419,0.890
'[10:55:51.852 10/11/1995]',0.002,0.001,-0.014,71.150,23.675,-0.419,0.890
'[10:55:51.854 10/11/1995]',0.002,0.001,-0.007,71.150,23.675,-0.419,0.890
'[10:55:51.856 10/11/1995]',0.002,0.001,-0.007,72.150,23.200,-0.419,0.897
'[10:55:51.858 10/11/1995]',0.002,0.001,-0.014,72.150,23.200,-0.419,0.897
'[10:55:51.860 10/11/1995]',0.002,0.001,-0.007,72.150,23.200,-0.419,0.897
'[10:55:51.862 10/11/1995]',0.002,0.001,-0.007,72.150,23.200,-0.419,0.897
'[10:55:51.864 10/11/1995]',0.002,0.001,-0.007,72.800,23.025,-0.412,0.905
'[10:55:51.866 10/11/1995]',0.002,0.001,-0.014,72.800,23.025,-0.412,0.905
'[10:55:51.868 10/11/1995]',0.002,0.001,-0.014,72.800,23.025,-0.412,0.905
'[10:55:51.870 10/11/1995]',0.002,0.012,-0.007,72.800,23.025,-0.412,0.905
'[10:55:51.872 10/11/1995]',0.002,0.012,-0.014,73.050,23.375,-0.412,0.912
'[10:55:51.874 10/11/1995]',0.002,0.012,-0.014,73.050,23.375,-0.412,0.912
'[10:55:51.876 10/11/1995]',0.002,0.012,-0.014,73.050,23.375,-0.412,0.912
'[10:55:51.878 10/11/1995]',0.002,0.001,-0.014,73.050,23.375,-0.412,0.912
'[10:55:51.880 10/11/1995]',0.002,0.001,-0.014,73.000,24.150,-0.405,0.920
'[10:55:51.882 10/11/1995]',0.002,0.001,-0.007,73.000,24.150,-0.405,0.920
'[10:55:51.884 10/11/1995]',0.002,0.001,-0.007,73.000,24.150,-0.405,0.920
'[10:55:51.886 10/11/1995]',0.002,0.001,-0.007,73.000,24.150,-0.405,0.920
'[10:55:51.888 10/11/1995]',0.002,0.012,-0.007,72.450,24.900,-0.390,0.929
'[10:55:51.890 10/11/1995]',-0.018,0.012,0.001,72.450,24.900,-0.390,0.929
'[10:55:51.892 10/11/1995]',0.002,0.012,0.001,72.450,24.900,-0.390,0.929
'[10:55:51.894 10/11/1995]',0.002,0.012,0.001,72.450,24.900,-0.390,0.929
'[10:55:51.896 10/11/1995]',0.002,0.024,0.001,71.500,25.375,-0.371,0.936
'[10:55:51.898 10/11/1995]',0.002,0.012,0.001,71.500,25.375,-0.371,0.936
'[10:55:51.900 10/11/1995]',-0.018,0.024,-0.007,71.500,25.375,-0.371,0.936
'[10:55:51.902 10/11/1995]',0.002,0.024,-0.007,71.500,25.375,-0.371,0.936
'[10:55:51.904 10/11/1995]',0.002,0.024,0.001,70.150,25.425,-0.349,0.943
'[10:55:51.906 10/11/1995]',0.002,0.024,0.001,70.150,25.425,-0.349,0.943
'[10:55:51.908 10/11/1995]',-0.018,0.024,0.001,70.150,25.425,-0.349,0.943
'[10:55:51.910 10/11/1995]',0.002,0.035,0.008,70.150,25.425,-0.349,0.943
'[10:55:51.912 10/11/1995]',0.002,0.035,0.001,68.600,25.200,-0.331,0.948
'[10:55:51.914 10/11/1995]',-0.018,0.035,0.001,68.600,25.200,-0.331,0.948
'[10:55:51.916 10/11/1995]',-0.018,0.024,0.001,68.600,25.200,-0.331,0.948
'[10:55:51.918 10/11/1995]',-0.018,0.024,0.001,68.600,25.200,-0.331,0.948
'[10:55:51.920 10/11/1995]',-0.018,0.035,0.001,66.900,24.775,-0.305,0.952
'[10:55:51.922 10/11/1995]',-0.018,0.035,-0.007,66.900,24.775,-0.305,0.952
'[10:55:51.924 10/11/1995]',-0.018,0.024,0.001,66.900,24.775,-0.305,0.952
'[10:55:51.926 10/11/1995]',0.002,0.024,0.001,66.900,24.775,-0.305,0.952
'[10:55:51.928 10/11/1995]',0.002,0.024,0.008,65.250,24.375,-0.287,0.955
'[10:55:51.930 10/11/1995]',0.002,0.024,0.015,65.250,24.375,-0.287,0.955
'[10:55:51.932 10/11/1995]',0.002,0.024,0.008,65.250,24.375,-0.287,0.955
'[10:55:51.934 10/11/1995]',-0.018,0.035,0.008,65.250,24.375,-0.287,0.955
'[10:55:51.936 10/11/1995]',-0.018,0.035,0.008,63.650,24.025,-0.273,0.956
'[10:55:51.938 10/11/1995]',-0.018,0.035,0.008,63.650,24.025,-0.273,0.956
'[10:55:51.940 10/11/1995]',-0.018,0.035,0.001,63.650,24.025,-0.273,0.956
'[10:55:51.942 10/11/1995]',-0.018,0.035,0.008,63.650,24.025,-0.273,0.956
'[10:55:51.944 10/11/1995]',-0.018,0.035,0.008,62.250,23.800,-0.262,0.957
'[10:55:51.946 10/11/1995]',-0.018,0.035,0.008,62.250,23.800,-0.262,0.957
'[10:55:51.948 10/11/1995]',0.002,0.024,0.015,62.250,23.800,-0.262,0.957
'[10:55:51.950 10/11/1995]',0.002,0.024,0.008,62.250,23.800,-0.262,0.957
'[10:55:51.952 10/11/1995]',-0.018,0.024,0.008,60.850,23.625,-0.265,0.957
'[10:55:51.954 10/11/1995]',-0.018,0.035,0.008,60.850,23.625,-0.265,0.957
'[10:55:51.956 10/11/1995]',-0.018,0.047,0.008,60.850,23.625,-0.265,0.957
'[10:55:51.958 10/11/1995]',-0.038,0.047,0.001,60.850,23.625,-0.265,0.957
'[10:55:51.960 10/11/1995]',-0.038,0.047,0.008,59.550,23.725,-0.280,0.956
'[10:55:51.962 10/11/1995]',-0.018,0.047,0.015,59.550,23.725,-0.280,0.956
'[10:55:51.964 10/11/1995]',-0.018,0.047,0.015,59.550,23.725,-0.280,0.956
'[10:55:51.966 10/11/1995]',0.002,0.047,0.029,59.550,23.725,-0.280,0.956
'[10:55:51.968 10/11/1995]',0.002,0.035,0.029,58.350,24.150,-0.305,0.955
'[10:55:51.970 10/11/1995]',0.002,0.035,0.029,58.350,24.150,-0.305,0.955
'[10:55:51.972 10/11/1995]',0.002,0.035,0.015,58.350,24.150,-0.305,0.955
'[10:55:51.974 10/11/1995]',-0.018,0.047,0.015,58.350,24.150,-0.305,0.955
'[10:55:51.976 10/11/1995]',-0.018,0.070,0.008,57.200,24.775,-0.346,0.953
'[10:55:51.978 10/11/1995]',0.002,0.058,0.015,57.200,24.775,-0.346,0.953
'[10:55:51.980 10/11/1995]',0.002,0.058,0.029,57.200,24.775,-0.346,0.953
'[10:55:51.982 10/11/1995]',0.002,0.035,0.029,57.200,24.775,-0.346,0.953
'[10:55:51.984 10/11/1995]',0.002,0.035,0.036,56.300,25.375,-0.408,0.950
'[10:55:51.986 10/11/1995]',0.002,0.035,0.029,56.300,25.375,-0.408,0.950
'[10:55:51.988 10/11/1995]',0.002,0.035,0.036,56.300,25.375,-0.408,0.950
'[10:55:51.990 10/11/1995]',0.002,0.012,0.029,56.300,25.375,-0.408,0.950
'[10:55:51.992 10/11/1995]',0.002,0.001,0.022,55.500,25.600,-0.486,0.948
'[10:55:51.994 10/11/1995]',0.002,0.001,0.015,55.500,25.600,-0.486,0.948
'[10:55:51.996 10/11/1995]',0.002,0.001,0.001,55.500,25.600,-0.486,0.948
'[10:55:51.998 10/11/1995]',0.002,0.001,0.001,55.500,25.600,-0.486,0.948
'[10:55:52.000 10/11/1995]',0.002,0.001,0.001,54.900,25.250,-0.571,0.945
'[10:55:52.002 10/11/1995]',0.002,0.012,-0.014,54.900,25.250,-0.571,0.945
'[10:55:52.004 10/11/1995]',0.002,0.035,-0.014,54.900,25.250,-0.571,0.945
'[10:55:52.006 10/11/1995]',-0.018,0.035,-0.021,54.900,25.250,-0.571,0.945
'[10:55:52.008 10/11/1995]',0.002,0.035,-0.014,54.400,24.250,-0.673,0.943
'[10:55:52.010 10/11/1995]',-0.018,0.035,-0.014,54.400,24.250,-0.673,0.943
'[10:55:52.012 10/11/1995]',0.002,0.035,-0.014,54.400,24.250,-0.673,0.943
'[10:55:52.014 10/11/1995]',-0.018,0.035,-0.021,54.400,24.250,-0.673,0.943
'[10:55:52.016 10/11/1995]',-0.018,0.035,-0.014,53.950,22.850,-0.780,0.940
'[10:55:52.018 10/11/1995]',-0.018,0.035,-0.021,53.950,22.850,-0.780,0.940
'[10:55:52.020 10/11/1995]',-0.018,0.035,-0.014,53.950,22.850,-0.780,0.940
'[10:55:52.022 10/11/1995]',-0.018,0.024,-0.014,53.950,22.850,-0.780,0.940
'[10:55:52.024 10/11/1995]',-0.018,0.024,-0.014,53.550,21.625,-0.887,0.938
'[10:55:52.026 10/11/1995]',-0.018,0.024,-0.014,53.550,21.625,-0.887,0.938
'[10:55:52.028 10/11/1995]',-0.018,0.035,-0.021,53.550,21.625,-0.887,0.938
'[10:55:52.030 10/11/1995]',-0.018,0.035,-0.021,53.550,21.625,-0.887,0.938
'[10:55:52.032 10/11/1995]',-0.018,0.035,-0.021,53.250,20.675,-0.983,0.937
'[10:55:52.034 10/11/1995]',-0.018,0.035,-0.021,53.250,20.675,-0.983,0.937
'[10:55:52.036 10/11/1995]',-0.018,0.024,-0.014,53.250,20.675,-0.983,0.937
'[10:55:52.038 10/11/1995]',-0.018,0.024,-0.014,53.250,20.675,-0.983,0.937
'[10:55:52.040 10/11/1995]',0.002,0.024,-0.007,53.000,20.275,-,0.936
'[10:55:52.042 10/11/1995]',-0.018,0.035,-0.014,53.000,20.275,-,0.936
'[10:55:52.044 10/11/1995]',-0.018,0.035,-0.014,53.000,20.275,-,0.936
'[10:55:52.046 10/11/1995]',-0.018,0.035,-0.014,53.000,20.275,-,0.936
'[10:55:52.048 10/11/1995]',-0.018,0.024,-0.014,52.750,20.400,-,0.936
'[10:55:52.050 10/11/1995]',-0.038,0.035,-0.014,52.750,20.400,-,0.936
'[10:55:52.052 10/11/1995]',-0.038,0.035,-0.021,52.750,20.400,-,0.936
'[10:55:52.054 10/11/1995]',-0.018,0.035,-0.014,52.750,20.400,-,0.936
'[10:55:52.056 10/11/1995]',-0.018,0.012,-0.014,52.600,20.925,-,0.936
'[10:55:52.058 10/11/1995]',-0.018,0.024,-0.014,52.600,20.925,-,0.936
'[10:55:52.060 10/11/1995]',-0.018,0.012,-0.014,52.600,20.925,-,0.936
'[10:55:52.062 10/11/1995]',-0.018,0.012,-0.007,52.600,20.925,-,0.936
'[10:55:52.064 10/11/1995]',-0.018,0.012,-0.007,52.400,21.575,-,0.936
'[10:55:52.066 10/11/1995]',-0.038,0.035,-0.014,52.400,21.575,-,0.936
'[10:55:52.068 10/11/1995]',-0.038,0.035,-0.014,52.400,21.575,-,0.936
'[10:55:52.070 10/11/1995]',-0.038,0.035,-0.014,52.400,21.575,-,0.936
'[10:55:52.072 10/11/1995]',-0.038,0.035,-0.007,52.300,22.100,-,0.934
'[10:55:52.074 10/11/1995]',-0.038,0.035,-0.014,52.300,22.100,-,0.934
'[10:55:52.076 10/11/1995]',-0.038,0.035,-0.007,52.300,22.100,-,0.934
'[10:55:52.078 10/11/1995]',-0.018,0.035,-0.007,52.300,22.100,-,0.934
'[10:55:52.080 10/11/1995]',-0.018,0.035,0.001,52.250,22.450,-,0.932
'[10:55:52.082 10/11/1995]',-0.018,0.035,-0.007,52.250,22.450,-,0.932
'[10:55:52.084 10/11/1995]',-0.018,0.035,-0.007,52.250,22.450,-,0.932
'[10:55:52.086 10/11/1995]',-0.038,0.035,0.001,52.250,22.450,-,0.932
'[10:55:52.088 10/11/1995]',-0.038,0.035,-0.007,52.200,22.725,-,0.930
'[10:55:52.090 10/11/1995]',-0.038,0.035,-0.007,52.200,22.725,-,0.930
'[10:55:52.092 10/11/1995]',-0.038,0.035,-0.007,52.200,22.725,-,0.930
'[10:55:52.094 10/11/1995]',-0.038,0.035,-0.007,52.200,22.725,-,0.930
'[10:55:52.096 10/11/1995]',-0.018,0.035,0.001,52.200,23.025,-,0.926
'[10:55:52.098 10/11/1995]',0.002,0.024,0.008,52.200,23.025,-,0.926
'[10:55:52.100 10/11/1995]',0.002,0.024,0.001,52.200,23.025,-,0.926
'[10:55:52.102 10/11/1995]',0.002,0.035,-0.007,52.200,23.025,-,0.926
'[10:55:52.104 10/11/1995]',0.002,0.035,-0.007,52.200,23.450,-,0.922
'[10:55:52.106 10/11/1995]',0.002,0.035,-0.014,52.200,23.450,-,0.922
'[10:55:52.108 10/11/1995]',0.002,0.035,-0.021,52.200,23.450,-,0.922
'[10:55:52.110 10/11/1995]',0.002,0.012,-0.021,52.200,23.450,-,0.922
'[10:55:52.112 10/11/1995]',0.002,0.001,-0.021,52.200,23.800,-,0.917
'[10:55:52.114 10/11/1995]',0.002,0.001,-0.021,52.200,23.800,-,0.917
'[10:55:52.116 10/11/1995]',0.002,0.001,-0.028,52.200,23.800,-,0.917
'[10:55:52.118 10/11/1995]',0.021,-0.022,-0.035,52.200,23.800,-,0.917
'[10:55:52.120 10/11/1995]',0.021,-0.022,-0.043,52.250,23.975,-,0.912
'[10:55:52.122 10/11/1995]',0.002,-0.033,-0.064,52.250,23.975,-,0.912
'[10:55:52.124 10/11/1995]',0.002,-0.033,-0.086,52.250,23.975,-,0.912
'[10:55:52.126 10/11/1995]',-0.057,0.001,-0.107,52.250,23.975,-,0.912
'[10:55:52.128 10/11/1995]',-0.136,0.035,-0.143,52.250,23.900,-,0.905
'[10:55:52.130 10/11/1995]',-0.215,0.093,-0.172,52.250,23.900,-,0.905
'[10:55:52.132 10/11/1995]',-0.312,0.162,-0.201,52.250,23.900,-,0.905
'[10:55:52.134 10/11/1995]',-0.430,0.253,-0.222,52.250,23.900,-,0.905
'[10:55:52.136 10/11/1995]',-0.529,0.333,-0.237,52.250,23.625,-,0.898
'[10:55:52.138 10/11/1995]',-0.626,0.402,-0.237,52.250,23.625,-,0.898
'[10:55:52.140 10/11/1995]',-0.705,0.448,-0.244,52.250,23.625,-,0.898
'[10:55:52.142 10/11/1995]',-0.744,0.483,-0.244,52.250,23.625,-,0.898
'[10:55:52.144 10/11/1995]',-0.744,0.494,-0.230,52.300,23.075,-,0.889
'[10:55:52.146 10/11/1995]',-0.744,0.483,-0.230,52.300,23.075,-,0.889
'[10:55:52.148 10/11/1995]',-0.705,0.483,-0.208,52.300,23.075,-,0.889
'[10:55:52.150 10/11/1995]',-0.646,0.448,-0.194,52.300,23.075,-,0.889
'[10:55:52.152 10/11/1995]',-0.587,0.414,-0.165,52.300,22.625,-,0.881
'[10:55:52.154 10/11/1995]',-0.529,0.379,-0.143,52.300,22.625,-,0.881
'[10:55:52.156 10/11/1995]',-0.470,0.345,-0.107,52.300,22.625,-,0.881
'[10:55:52.158 10/11/1995]',-0.450,0.311,-0.086,52.300,22.625,-,0.881
'[10:55:52.160 10/11/1995]',-0.391,0.276,-0.050,52.300,22.200,-,0.873
'[10:55:52.162 10/11/1995]',-0.332,0.242,-0.035,52.300,22.200,-,0.873
'[10:55:52.164 10/11/1995]',-0.292,0.207,-0.021,52.300,22.200,-,0.873
'[10:55:52.166 10/11/1995]',-0.274,0.184,-0.007,52.300,22.200,-,0.873
'[10:55:52.168 10/11/1995]',-0.254,0.173,0.001,52.300,21.925,-,0.865
'[10:55:52.170 10/11/1995]',-0.234,0.162,0.001,52.300,21.925,-,0.865
'[10:55:52.172 10/11/1995]',-0.195,0.139,0.001,52.300,21.925,-,0.865
'[10:55:52.174 10/11/1995]',-0.195,0.127,0.008,52.300,21.925,-,0.865
'[10:55:52.176 10/11/1995]',-0.156,0.104,0.001,52.250,21.800,-,0.857
'[10:55:52.178 10/11/1995]',-0.136,0.081,0.001,52.250,21.800,-,0.857
'[10:55:52.180 10/11/1995]',-0.097,0.058,0.008,52.250,21.800,-,0.857
'[10:55:52.182 10/11/1995]',-0.038,0.012,0.015,52.250,21.800,-,0.857
'[10:55:52.184 10/11/1995]',0.002,0.001,0.029,52.200,21.675,-,0.848
'[10:55:52.186 10/11/1995]',0.002,-0.022,0.036,52.200,21.675,-,0.848
'[10:55:52.188 10/11/1995]',0.021,-0.022,0.036,52.200,21.675,-,0.848
'[10:55:52.190 10/11/1995]',0.040,-0.033,0.044,52.200,21.675,-,0.848
'[10:55:52.192 10/11/1995]',0.040,-0.033,0.036,52.100,21.575,-,0.839
'[10:55:52.194 10/11/1995]',0.040,-0.033,0.044,52.100,21.575,-,0.839
'[10:55:52.196 10/11/1995]',0.040,-0.033,0.044,52.100,21.575,-,0.839
'[10:55:52.198 10/11/1995]',0.040,-0.033,0.044,52.100,21.575,-,0.839
'[10:55:52.200 10/11/1995]',0.060,-0.033,0.044,52.000,21.325,-,0.830
'[10:55:52.202 10/11/1995]',0.060,-0.033,0.044,52.000,21.325,-,0.830
'[10:55:52.204 10/11/1995]',0.060,-0.045,0.044,52.000,21.325,-,0.830
'[10:55:52.206 10/11/1995]',0.060,-0.056,0.051,52.000,21.325,-,0.830
'[10:55:52.208 10/11/1995]',0.060,-0.056,0.051,51.850,20.925,-,0.820
'[10:55:52.210 10/11/1995]',0.060,-0.068,0.051,51.850,20.925,-,0.820
'[10:55:52.212 10/11/1995]',0.060,-0.056,0.051,51.850,20.925,-,0.820
'[10:55:52.214 10/11/1995]',0.060,-0.056,0.044,51.850,20.925,-,0.820
'[10:55:52.216 10/11/1995]',0.060,-0.056,0.044,51.650,20.675,-,0.808
'[10:55:52.218 10/11/1995]',0.060,-0.045,0.051,51.650,20.675,-,0.808
'[10:55:52.220 10/11/1995]',0.060,-0.068,0.044,51.650,20.675,-,0.808
'[10:55:52.222 10/11/1995]',0.060,-0.056,0.051,51.650,20.675,-,0.808
'[10:55:52.224 10/11/1995]',0.060,-0.045,0.044,51.400,21.325,-,0.795
'[10:55:52.226 10/11/1995]',0.060,-0.045,0.044,51.400,21.325,-,0.795
'[10:55:52.228 10/11/1995]',0.060,-0.045,0.044,51.400,21.325,-,0.795
'[10:55:52.230 10/11/1995]',0.060,-0.056,0.044,51.400,21.325,-,0.795
'[10:55:52.232 10/11/1995]',0.060,-0.045,0.051,51.200,23.375,-,0.780
'[10:55:52.234 10/11/1995]',0.060,-0.056,0.044,51.200,23.375,-,0.780
'[10:55:52.236 10/11/1995]',0.060,-0.056,0.051,51.200,23.375,-,0.780
'[10:55:52.238 10/11/1995]',0.080,-0.068,0.051,51.200,23.375,-,0.780
'[10:55:52.240 10/11/1995]',0.080,-0.068,0.051,50.950,26.550,-,0.764
'[10:55:52.242 10/11/1995]',0.080,-0.068,0.044,50.950,26.550,-,0.764
'[10:55:52.244 10/11/1995]',0.080,-0.068,0.044,50.950,26.550,-,0.764
'[10:55:52.246 10/11/1995]',0.080,-0.068,0.044,50.950,26.550,-,0.764
'[10:55:52.248 10/11/1995]',0.060,-0.068,0.044,50.700,29.700,-,0.747
'[10:55:52.250 10/11/1995]',0.060,-0.056,0.044,50.700,29.700,-,0.747
'[10:55:52.252 10/11/1995]',0.080,-0.045,0.051,50.700,29.700,-,0.747
'[10:55:52.254 10/11/1995]',0.080,-0.056,0.051,50.700,29.700,-,0.747
'[10:55:52.256 10/11/1995]',0.080,-0.056,0.065,50.550,31.825,-,0.728
'[10:55:52.258 10/11/1995]',0.080,-0.068,0.065,50.550,31.825,-,0.728
'[10:55:52.260 10/11/1995]',0.080,-0.068,0.051,50.550,31.825,-,0.728
'[10:55:52.262 10/11/1995]',0.080,-0.068,0.051,50.550,31.825,-,0.728
'[10:55:52.264 10/11/1995]',0.080,-0.068,0.051,50.300,32.400,-,0.709
'[10:55:52.266 10/11/1995]',0.080,-0.068,0.051,50.300,32.400,-,0.709
'[10:55:52.268 10/11/1995]',0.080,-0.068,0.051,50.300,32.400,-,0.709
'[10:55:52.270 10/11/1995]',0.060,-0.068,0.051,50.300,32.400,-,0.709
'[10:55:52.272 10/11/1995]',0.060,-0.056,0.051,50.150,32.000,-,0.689
'[10:55:52.274 10/11/1995]',0.060,-0.056,0.044,50.150,32.000,-,0.689
'[10:55:52.276 10/11/1995]',0.060,-0.068,0.051,50.150,32.000,-,0.689
'[10:55:52.278 10/11/1995]',0.080,-0.068,0.065,50.150,32.000,-,0.689
'[10:55:52.280 10/11/1995]',0.080,-0.079,0.065,49.900,31.475,-,0.668
'[10:55:52.282 10/11/1995]',0.080,-0.068,0.065,49.900,31.475,-,0.668
'[10:55:52.284 10/11/1995]',0.099,-0.079,0.065,49.900,31.475,-,0.668
'[10:55:52.286 10/11/1995]',0.099,-0.091,0.065,49.900,31.475,-,0.668
'[10:55:52.288 10/11/1995]',0.099,-0.079,0.065,49.650,31.475,-,0.649
'[10:55:52.290 10/11/1995]',0.099,-0.079,0.051,49.650,31.475,-,0.649
'[10:55:52.292 10/11/1995]',0.099,-0.068,0.065,49.650,31.475,-,0.649
'[10:55:52.294 10/11/1995]',0.099,-0.079,0.051,49.650,31.475,-,0.649
'[10:55:52.296 10/11/1995]',0.099,-0.079,0.051,49.450,31.825,-,0.631
'[10:55:52.298 10/11/1995]',0.099,-0.068,0.065,49.450,31.825,-,0.631
'[10:55:52.300 10/11/1995]',0.099,-0.068,0.065,49.450,31.825,-,0.631
'[10:55:52.302 10/11/1995]',0.099,-0.068,0.051,49.450,31.825,-,0.631
'[10:55:52.304 10/11/1995]',0.080,-0.068,0.051,49.350,32.000,-,0.613
'[10:55:52.306 10/11/1995]',0.080,-0.056,0.044,49.350,32.000,-,0.613
'[10:55:52.308 10/11/1995]',0.080,-0.056,0.044,49.350,32.000,-,0.613
'[10:55:52.310 10/11/1995]',0.080,-0.045,0.051,49.350,32.000,-,0.613
'[10:55:52.312 10/11/1995]',0.080,-0.045,0.044,49.850,31.700,-,0.596
'[10:55:52.314 10/11/1995]',0.080,-0.045,0.044,49.850,31.700,-,0.596
'[10:55:52.316 10/11/1995]',0.080,-0.045,0.044,49.850,31.700,-,0.596
'[10:55:52.318 10/11/1995]',0.060,-0.045,0.036,49.850,31.700,-,0.596
'[10:55:52.320 10/11/1995]',0.060,-0.033,0.029,51.600,31.175,-1.012,0.581
'[10:55:52.322 10/11/1995]',0.060,-0.022,0.036,51.600,31.175,-1.012,0.581
'[10:55:52.324 10/11/1995]',0.060,-0.022,0.036,51.600,31.175,-1.012,0.581
'[10:55:52.326 10/11/1995]',0.060,-0.033,0.036,51.600,31.175,-1.012,0.581
'[10:55:52.328 10/11/1995]',0.060,-0.022,0.029,55.800,30.475,-0.997,0.568
'[10:55:52.330 10/11/1995]',0.040,-0.010,0.022,55.800,30.475,-0.997,0.568
'[10:55:52.332 10/11/1995]',0.040,-0.010,0.022,55.800,30.475,-0.997,0.568
'[10:55:52.334 10/11/1995]',0.021,0.001,0.008,55.800,30.475,-0.997,0.568
'[10:55:52.336 10/11/1995]',0.021,0.001,0.008,63.100,30.050,-0.975,0.555
'[10:55:52.338 10/11/1995]',0.021,0.001,0.001,63.100,30.050,-0.975,0.555
'[10:55:52.340 10/11/1995]',0.021,0.001,0.001,63.100,30.050,-0.975,0.555
'[10:55:52.342 10/11/1995]',0.040,0.001,0.008,63.100,30.050,-0.975,0.555
'[10:55:52.344 10/11/1995]',0.060,-0.010,0.008,72.900,30.575,-0.953,0.545
'[10:55:52.346 10/11/1995]',0.060,-0.022,0.015,72.900,30.575,-0.953,0.545
'[10:55:52.348 10/11/1995]',0.060,0.001,0.015,72.900,30.575,-0.953,0.545
'[10:55:52.350 10/11/1995]',0.040,0.001,0.008,72.900,30.575,-0.953,0.545
'[10:55:52.352 10/11/1995]',0.040,0.001,0.008,84.100,32.175,-0.923,0.535
'[10:55:52.354 10/11/1995]',0.040,0.001,0.001,84.100,32.175,-0.923,0.535
'[10:55:52.356 10/11/1995]',0.040,0.001,0.001,84.100,32.175,-0.923,0.535
'[10:55:52.358 10/11/1995]',0.040,0.001,0.001,84.100,32.175,-0.923,0.535
'[10:55:52.360 10/11/1995]',0.040,0.001,-0.007,95.550,34.225,-0.886,0.526
'[10:55:52.362 10/11/1995]',0.040,0.001,-0.014,95.550,34.225,-0.886,0.526
'[10:55:52.364 10/11/1995]',0.040,0.001,-0.014,95.550,34.225,-0.886,0.526
'[10:55:52.366 10/11/1995]',0.040,0.001,-0.014,95.550,34.225,-0.886,0.526
'[10:55:52.368 10/11/1995]',0.021,0.012,-0.014,106.800,36.100,-0.835,0.517
'[10:55:52.370 10/11/1995]',0.002,0.012,-0.021,106.800,36.100,-0.835,0.517
'[10:55:52.372 10/11/1995]',0.021,0.012,-0.021,106.800,36.100,-0.835,0.517
'[10:55:52.374 10/11/1995]',0.021,0.001,-0.021,106.800,36.100,-0.835,0.517
'[10:55:52.376 10/11/1995]',0.021,0.001,-0.014,117.500,37.625,-0.758,0.510
'[10:55:52.378 10/11/1995]',0.040,0.001,-0.014,117.500,37.625,-0.758,0.510
'[10:55:52.380 10/11/1995]',0.040,0.001,-0.014,117.500,37.625,-0.758,0.510
'[10:55:52.382 10/11/1995]',0.040,0.001,-0.014,117.500,37.625,-0.758,0.510
'[10:55:52.384 10/11/1995]',0.040,0.001,-0.021,127.100,38.550,-0.669,0.503
'[10:55:52.386 10/11/1995]',0.021,0.012,-0.021,127.100,38.550,-0.669,0.503
'[10:55:52.388 10/11/1995]',0.021,0.024,-0.028,127.100,38.550,-0.669,0.503
'[10:55:52.390 10/11/1995]',0.002,0.024,-0.028,127.100,38.550,-0.669,0.503
'[10:55:52.392 10/11/1995]',0.002,0.035,-0.021,134.850,38.900,-0.559,0.497
'[10:55:52.394 10/11/1995]',0.021,0.012,-0.021,134.850,38.900,-0.559,0.497
'[10:55:52.396 10/11/1995]',0.021,0.012,-0.028,134.850,38.900,-0.559,0.497
'[10:55:52.398 10/11/1995]',0.002,0.012,-0.021,134.850,38.900,-0.559,0.497
'[10:55:52.400 10/11/1995]',0.021,0.012,-0.021,140.200,38.800,-0.423,0.492
'[10:55:52.402 10/11/1995]',0.021,0.001,-0.021,140.200,38.800,-0.423,0.492
'[10:55:52.404 10/11/1995]',0.021,0.012,-0.014,140.200,38.800,-0.423,0.492
'[10:55:52.406 10/11/1995]',0.021,0.012,-0.014,140.200,38.800,-0.423,0.492
'[10:55:52.408 10/11/1995]',0.021,0.012,-0.014,142.900,38.200,-0.269,0.488
'[10:55:52.410 10/11/1995]',0.021,0.001,-0.014,142.900,38.200,-0.269,0.488
'[10:55:52.412 10/11/1995]',0.021,0.001,-0.014,142.900,38.200,-0.269,0.488
'[10:55:52.414 10/11/1995]',0.021,0.001,-0.014,142.900,38.200,-0.269,0.488
'[10:55:52.416 10/11/1995]',0.021,0.001,-0.014,143.250,37.200,-0.099,0.484
