'Time and date','MCL1','V','ABP','PLETH','RESP'
'[11:08:44.966 07/11/1995]',-0.010,0.014,50.150,0.000,-0.624
'[11:08:44.968 07/11/1995]',-0.010,0.014,50.526,0.000,-0.615
'[11:08:44.970 07/11/1995]',0.001,0.014,50.526,0.000,-0.615
'[11:08:44.972 07/11/1995]',0.001,0.014,50.526,0.000,-0.615
'[11:08:44.974 07/11/1995]',0.001,0.014,50.526,0.000,-0.615
'[11:08:44.976 07/11/1995]',0.001,0.014,50.902,0.000,-0.606
'[11:08:44.978 07/11/1995]',0.001,0.014,50.902,0.000,-0.606
'[11:08:44.980 07/11/1995]',-0.010,0.014,50.902,0.000,-0.606
'[11:08:44.982 07/11/1995]',0.001,0.014,50.902,0.000,-0.606
'[11:08:44.984 07/11/1995]',0.001,0.014,51.203,0.000,-0.596
'[11:08:44.986 07/11/1995]',0.001,0.014,51.203,0.000,-0.596
'[11:08:44.988 07/11/1995]',0.001,0.014,51.203,0.000,-0.596
'[11:08:44.990 07/11/1995]',0.001,0.014,51.203,0.000,-0.596
'[11:08:44.992 07/11/1995]',0.001,0.014,51.579,0.000,-0.587
'[11:08:44.994 07/11/1995]',-0.010,0.014,51.579,0.000,-0.587
'[11:08:44.996 07/11/1995]',-0.010,0.014,51.579,0.000,-0.587
'[11:08:44.998 07/11/1995]',-0.010,0.014,51.579,0.000,-0.587
'[11:08:45.000 07/11/1995]',-0.010,0.014,51.880,0.000,-0.577
'[11:08:45.002 07/11/1995]',0.001,0.014,51.880,0.000,-0.577
'[11:08:45.004 07/11/1995]',0.001,0.014,51.880,0.000,-0.577
'[11:08:45.006 07/11/1995]',0.001,0.014,51.880,0.000,-0.577
'[11:08:45.008 07/11/1995]',0.001,0.014,52.180,0.000,-0.568
'[11:08:45.010 07/11/1995]',0.001,0.014,52.180,0.000,-0.568
'[11:08:45.012 07/11/1995]',-0.010,0.014,52.180,0.000,-0.568
'[11:08:45.014 07/11/1995]',-0.010,0.014,52.180,0.000,-0.568
'[11:08:45.016 07/11/1995]',-0.010,0.014,52.406,0.000,-0.557
'[11:08:45.018 07/11/1995]',-0.010,0.014,52.406,0.000,-0.557
'[11:08:45.020 07/11/1995]',0.001,0.014,52.406,0.000,-0.557
'[11:08:45.022 07/11/1995]',0.001,0.014,52.406,0.000,-0.557
'[11:08:45.024 07/11/1995]',0.001,0.014,52.632,0.000,-0.547
'[11:08:45.026 07/11/1995]',0.001,0.014,52.632,0.000,-0.547
'[11:08:45.028 07/11/1995]',0.001,0.014,52.632,0.000,-0.547
'[11:08:45.030 07/11/1995]',-0.010,0.014,52.632,0.000,-0.547
'[11:08:45.032 07/11/1995]',-0.010,0.014,52.857,0.000,-0.537
'[11:08:45.034 07/11/1995]',-0.010,0.014,52.857,0.000,-0.537
'[11:08:45.036 07/11/1995]',0.001,0.014,52.857,0.000,-0.537
'[11:08:45.038 07/11/1995]',0.001,0.014,52.857,0.000,-0.537
'[11:08:45.040 07/11/1995]',0.001,0.014,53.008,0.000,-0.527
'[11:08:45.042 07/11/1995]',0.001,0.014,53.008,0.000,-0.527
'[11:08:45.044 07/11/1995]',0.001,0.014,53.008,0.000,-0.527
'[11:08:45.046 07/11/1995]',0.001,0.014,53.008,0.000,-0.527
'[11:08:45.048 07/11/1995]',-0.010,0.014,53.158,0.000,-0.517
'[11:08:45.050 07/11/1995]',-0.010,0.014,53.158,0.000,-0.517
'[11:08:45.052 07/11/1995]',-0.010,0.014,53.158,0.000,-0.517
'[11:08:45.054 07/11/1995]',0.001,0.014,53.158,0.000,-0.517
'[11:08:45.056 07/11/1995]',0.001,0.014,53.308,0.000,-0.506
'[11:08:45.058 07/11/1995]',0.001,0.014,53.308,0.000,-0.506
'[11:08:45.060 07/11/1995]',0.001,0.014,53.308,0.000,-0.506
'[11:08:45.062 07/11/1995]',-0.010,0.014,53.308,0.000,-0.506
'[11:08:45.064 07/11/1995]',-0.010,0.014,53.308,0.000,-0.496
'[11:08:45.066 07/11/1995]',-0.010,0.014,53.308,0.000,-0.496
'[11:08:45.068 07/11/1995]',-0.010,0.014,53.308,0.000,-0.496
'[11:08:45.070 07/11/1995]',0.001,0.014,53.308,0.000,-0.496
'[11:08:45.072 07/11/1995]',0.001,0.014,53.308,0.000,-0.485
'[11:08:45.074 07/11/1995]',0.001,0.014,53.308,0.000,-0.485
'[11:08:45.076 07/11/1995]',0.001,0.014,53.308,0.000,-0.485
'[11:08:45.078 07/11/1995]',0.001,0.014,53.308,0.000,-0.485
'[11:08:45.080 07/11/1995]',-0.010,0.014,53.308,0.000,-0.474
'[11:08:45.082 07/11/1995]',-0.010,0.014,53.308,0.000,-0.474
'[11:08:45.084 07/11/1995]',-0.010,0.014,53.308,0.000,-0.474
'[11:08:45.086 07/11/1995]',-0.010,0.014,53.308,0.000,-0.474
'[11:08:45.088 07/11/1995]',0.001,0.014,53.233,0.000,-0.464
'[11:08:45.090 07/11/1995]',0.001,0.014,53.233,0.000,-0.464
'[11:08:45.092 07/11/1995]',0.001,0.014,53.233,0.000,-0.464
'[11:08:45.094 07/11/1995]',0.001,0.014,53.233,0.000,-0.464
'[11:08:45.096 07/11/1995]',-0.010,0.014,53.083,0.000,-0.453
'[11:08:45.098 07/11/1995]',-0.010,0.014,53.083,0.000,-0.453
'[11:08:45.100 07/11/1995]',-0.010,0.014,53.083,0.000,-0.453
'[11:08:45.102 07/11/1995]',-0.010,0.014,53.083,0.000,-0.453
'[11:08:45.104 07/11/1995]',0.001,0.014,53.008,0.000,-0.442
'[11:08:45.106 07/11/1995]',0.001,0.014,53.008,0.000,-0.442
'[11:08:45.108 07/11/1995]',0.001,0.014,53.008,0.000,-0.442
'[11:08:45.110 07/11/1995]',0.001,0.014,53.008,0.000,-0.442
'[11:08:45.112 07/11/1995]',-0.010,0.014,53.008,0.000,-0.430
'[11:08:45.114 07/11/1995]',-0.010,0.014,53.008,0.000,-0.430
'[11:08:45.116 07/11/1995]',-0.010,0.014,53.008,0.000,-0.430
'[11:08:45.118 07/11/1995]',-0.010,0.014,53.008,0.000,-0.430
'[11:08:45.120 07/11/1995]',0.001,0.014,52.932,0.000,-0.418
'[11:08:45.122 07/11/1995]',0.001,0.014,52.932,0.000,-0.418
'[11:08:45.124 07/11/1995]',0.001,0.014,52.932,0.000,-0.418
'[11:08:45.126 07/11/1995]',0.001,0.014,52.932,0.000,-0.418
'[11:08:45.128 07/11/1995]',0.001,0.014,52.782,0.000,-0.406
'[11:08:45.130 07/11/1995]',0.001,0.014,52.782,0.000,-0.406
'[11:08:45.132 07/11/1995]',-0.010,0.014,52.782,0.000,-0.406
'[11:08:45.134 07/11/1995]',-0.010,0.014,52.782,0.000,-0.406
'[11:08:45.136 07/11/1995]',0.001,0.014,52.707,0.000,-0.394
'[11:08:45.138 07/11/1995]',0.001,0.014,52.707,0.000,-0.394
'[11:08:45.140 07/11/1995]',0.001,0.013,52.707,0.000,-0.394
'[11:08:45.142 07/11/1995]',0.001,0.013,52.707,0.000,-0.394
'[11:08:45.144 07/11/1995]',0.001,0.012,52.556,0.000,-0.380
'[11:08:45.146 07/11/1995]',-0.010,0.011,52.556,0.000,-0.380
'[11:08:45.148 07/11/1995]',-0.010,0.011,52.556,0.000,-0.380
'[11:08:45.150 07/11/1995]',-0.010,0.010,52.556,0.000,-0.380
'[11:08:45.152 07/11/1995]',-0.010,0.011,52.481,0.000,-0.365
'[11:08:45.154 07/11/1995]',0.001,0.011,52.481,0.000,-0.365
'[11:08:45.156 07/11/1995]',0.001,0.011,52.481,0.000,-0.365
'[11:08:45.158 07/11/1995]',0.001,0.011,52.481,0.000,-0.365
'[11:08:45.160 07/11/1995]',0.001,0.011,52.331,0.000,-0.350
'[11:08:45.162 07/11/1995]',-0.010,0.012,52.331,0.000,-0.350
'[11:08:45.164 07/11/1995]',-0.010,0.013,52.331,0.000,-0.350
'[11:08:45.166 07/11/1995]',-0.010,0.013,52.331,0.000,-0.350
'[11:08:45.168 07/11/1995]',-0.010,0.013,52.180,0.000,-0.334
'[11:08:45.170 07/11/1995]',0.001,0.013,52.180,0.000,-0.334
'[11:08:45.172 07/11/1995]',0.001,0.013,52.180,0.000,-0.334
'[11:08:45.174 07/11/1995]',0.001,0.012,52.180,0.000,-0.334
'[11:08:45.176 07/11/1995]',0.001,0.012,52.105,0.000,-0.318
'[11:08:45.178 07/11/1995]',0.001,0.012,52.105,0.000,-0.318
'[11:08:45.180 07/11/1995]',-0.010,0.013,52.105,0.000,-0.318
'[11:08:45.182 07/11/1995]',-0.010,0.013,52.105,0.000,-0.318
'[11:08:45.184 07/11/1995]',0.001,0.013,52.105,0.000,-0.300
'[11:08:45.186 07/11/1995]',0.001,0.013,52.105,0.000,-0.300
'[11:08:45.188 07/11/1995]',0.001,0.013,52.105,0.000,-0.300
'[11:08:45.190 07/11/1995]',0.001,0.013,52.105,0.000,-0.300
'[11:08:45.192 07/11/1995]',0.001,0.013,52.030,0.000,-0.283
'[11:08:45.194 07/11/1995]',0.001,0.014,52.030,0.000,-0.283
'[11:08:45.196 07/11/1995]',0.001,0.014,52.030,0.000,-0.283
'[11:08:45.198 07/11/1995]',0.001,0.014,52.030,0.000,-0.283
'[11:08:45.200 07/11/1995]',0.001,0.014,52.030,0.000,-0.267
'[11:08:45.202 07/11/1995]',0.001,0.014,52.030,0.000,-0.267
'[11:08:45.204 07/11/1995]',0.001,0.014,52.030,0.000,-0.267
'[11:08:45.206 07/11/1995]',0.001,0.014,52.030,0.000,-0.267
'[11:08:45.208 07/11/1995]',0.001,0.015,51.955,0.000,-0.249
'[11:08:45.210 07/11/1995]',0.001,0.015,51.955,0.000,-0.249
'[11:08:45.212 07/11/1995]',0.001,0.016,51.955,0.000,-0.249
'[11:08:45.214 07/11/1995]',0.001,0.017,51.955,0.000,-0.249
'[11:08:45.216 07/11/1995]',0.001,0.018,51.880,0.000,-0.233
'[11:08:45.218 07/11/1995]',0.001,0.019,51.880,0.000,-0.233
'[11:08:45.220 07/11/1995]',0.001,0.018,51.880,0.000,-0.233
'[11:08:45.222 07/11/1995]',0.001,0.018,51.880,0.000,-0.233
'[11:08:45.224 07/11/1995]',0.011,0.018,51.880,0.000,-0.216
'[11:08:45.226 07/11/1995]',0.001,0.017,51.880,0.000,-0.216
'[11:08:45.228 07/11/1995]',0.001,0.016,51.880,0.000,-0.216
'[11:08:45.230 07/11/1995]',0.001,0.015,51.880,0.000,-0.216
'[11:08:45.232 07/11/1995]',0.001,0.015,51.880,0.000,-0.201
'[11:08:45.234 07/11/1995]',0.001,0.014,51.880,0.000,-0.201
'[11:08:45.236 07/11/1995]',0.001,0.014,51.880,0.000,-0.201
'[11:08:45.238 07/11/1995]',0.001,0.014,51.880,0.000,-0.201
'[11:08:45.240 07/11/1995]',0.001,0.014,51.805,0.000,-0.186
'[11:08:45.242 07/11/1995]',0.001,0.014,51.805,0.000,-0.186
'[11:08:45.244 07/11/1995]',-0.010,0.014,51.805,0.000,-0.186
'[11:08:45.246 07/11/1995]',-0.010,0.014,51.805,0.000,-0.186
'[11:08:45.248 07/11/1995]',-0.010,0.013,51.805,0.000,-0.172
'[11:08:45.250 07/11/1995]',-0.010,0.013,51.805,0.000,-0.172
'[11:08:45.252 07/11/1995]',-0.010,0.012,51.805,0.000,-0.172
'[11:08:45.254 07/11/1995]',-0.010,0.011,51.805,0.000,-0.172
'[11:08:45.256 07/11/1995]',0.001,0.011,51.729,0.000,-0.158
'[11:08:45.258 07/11/1995]',0.001,0.010,51.729,0.000,-0.158
'[11:08:45.260 07/11/1995]',-0.010,0.011,51.729,0.000,-0.158
'[11:08:45.262 07/11/1995]',-0.010,0.012,51.729,0.000,-0.158
'[11:08:45.264 07/11/1995]',-0.010,0.013,51.654,0.000,-0.146
'[11:08:45.266 07/11/1995]',-0.010,0.013,51.654,0.000,-0.146
'[11:08:45.268 07/11/1995]',-0.010,0.013,51.654,0.000,-0.146
'[11:08:45.270 07/11/1995]',-0.010,0.013,51.654,0.000,-0.146
'[11:08:45.272 07/11/1995]',-0.010,0.013,51.654,0.000,-0.135
'[11:08:45.274 07/11/1995]',-0.010,0.012,51.654,0.000,-0.135
'[11:08:45.276 07/11/1995]',-0.010,0.012,51.654,0.000,-0.135
'[11:08:45.278 07/11/1995]',-0.010,0.012,51.654,0.000,-0.135
'[11:08:45.280 07/11/1995]',-0.010,0.013,51.504,0.000,-0.124
'[11:08:45.282 07/11/1995]',-0.010,0.014,51.504,0.000,-0.124
'[11:08:45.284 07/11/1995]',-0.010,0.015,51.504,0.000,-0.124
'[11:08:45.286 07/11/1995]',0.001,0.015,51.504,0.000,-0.124
'[11:08:45.288 07/11/1995]',0.001,0.015,51.429,0.000,-0.115
'[11:08:45.290 07/11/1995]',0.001,0.014,51.429,0.000,-0.115
'[11:08:45.292 07/11/1995]',0.001,0.014,51.429,0.000,-0.115
'[11:08:45.294 07/11/1995]',0.001,0.014,51.429,0.000,-0.115
'[11:08:45.296 07/11/1995]',0.001,0.015,51.203,0.000,-0.107
'[11:08:45.298 07/11/1995]',0.001,0.016,51.203,0.000,-0.107
'[11:08:45.300 07/11/1995]',0.001,0.022,51.203,0.000,-0.107
'[11:08:45.302 07/11/1995]',0.001,0.028,51.203,0.000,-0.107
'[11:08:45.304 07/11/1995]',0.011,0.046,51.128,0.000,-0.102
'[11:08:45.306 07/11/1995]',0.022,0.065,51.128,0.000,-0.102
'[11:08:45.308 07/11/1995]',0.022,0.103,51.128,0.000,-0.102
'[11:08:45.310 07/11/1995]',0.022,0.141,51.128,0.000,-0.102
'[11:08:45.312 07/11/1995]',0.044,0.200,50.902,0.000,-0.097
'[11:08:45.314 07/11/1995]',0.077,0.258,50.902,0.000,-0.097
'[11:08:45.316 07/11/1995]',0.143,0.329,50.902,0.000,-0.097
'[11:08:45.318 07/11/1995]',0.209,0.400,50.902,0.000,-0.097
'[11:08:45.320 07/11/1995]',0.297,0.464,50.677,0.000,-0.093
'[11:08:45.322 07/11/1995]',0.385,0.528,50.677,0.000,-0.093
'[11:08:45.324 07/11/1995]',0.451,0.567,50.677,0.000,-0.093
'[11:08:45.326 07/11/1995]',0.505,0.605,50.677,0.000,-0.093
'[11:08:45.328 07/11/1995]',0.538,0.608,50.451,0.000,-0.090
'[11:08:45.330 07/11/1995]',0.549,0.610,50.451,0.000,-0.090
'[11:08:45.332 07/11/1995]',0.538,0.579,50.451,0.000,-0.090
'[11:08:45.334 07/11/1995]',0.516,0.548,50.451,0.000,-0.090
'[11:08:45.336 07/11/1995]',0.483,0.494,50.301,0.000,-0.088
'[11:08:45.338 07/11/1995]',0.440,0.440,50.301,0.000,-0.088
'[11:08:45.340 07/11/1995]',0.362,0.378,50.301,0.000,-0.088
'[11:08:45.342 07/11/1995]',0.275,0.315,50.301,0.000,-0.088
'[11:08:45.344 07/11/1995]',0.176,0.256,50.075,0.000,-0.087
'[11:08:45.346 07/11/1995]',0.100,0.197,50.075,0.000,-0.087
'[11:08:45.348 07/11/1995]',0.034,0.149,50.075,0.000,-0.087
'[11:08:45.350 07/11/1995]',-0.010,0.102,50.075,0.000,-0.087
'[11:08:45.352 07/11/1995]',-0.054,0.068,49.850,0.000,-0.086
'[11:08:45.354 07/11/1995]',-0.087,0.034,49.850,0.000,-0.086
'[11:08:45.356 07/11/1995]',-0.098,0.013,49.850,0.000,-0.086
'[11:08:45.358 07/11/1995]',-0.098,-0.009,49.850,0.000,-0.086
'[11:08:45.360 07/11/1995]',-0.098,-0.021,49.624,0.000,-0.086
'[11:08:45.362 07/11/1995]',-0.087,-0.034,49.624,0.000,-0.086
'[11:08:45.364 07/11/1995]',-0.087,-0.041,49.624,0.000,-0.086
'[11:08:45.366 07/11/1995]',-0.087,-0.048,49.624,0.000,-0.086
'[11:08:45.368 07/11/1995]',-0.087,-0.051,49.398,0.000,-0.086
'[11:08:45.370 07/11/1995]',-0.076,-0.055,49.398,0.000,-0.086
'[11:08:45.372 07/11/1995]',-0.065,-0.056,49.398,0.000,-0.086
'[11:08:45.374 07/11/1995]',-0.065,-0.056,49.398,0.000,-0.086
'[11:08:45.376 07/11/1995]',-0.054,-0.056,49.248,0.000,-0.088
'[11:08:45.378 07/11/1995]',-0.054,-0.055,49.248,0.000,-0.088
'[11:08:45.380 07/11/1995]',-0.054,-0.053,49.248,0.000,-0.088
'[11:08:45.382 07/11/1995]',-0.054,-0.052,49.248,0.000,-0.088
'[11:08:45.384 07/11/1995]',-0.054,-0.051,49.023,0.000,-0.089
'[11:08:45.386 07/11/1995]',-0.054,-0.051,49.023,0.000,-0.089
'[11:08:45.388 07/11/1995]',-0.043,-0.051,49.023,0.000,-0.089
'[11:08:45.390 07/11/1995]',-0.043,-0.051,49.023,0.000,-0.089
'[11:08:45.392 07/11/1995]',-0.043,-0.051,48.722,0.000,-0.091
'[11:08:45.394 07/11/1995]',-0.043,-0.052,48.722,0.000,-0.091
'[11:08:45.396 07/11/1995]',-0.054,-0.052,48.722,0.000,-0.091
'[11:08:45.398 07/11/1995]',-0.054,-0.052,48.722,0.000,-0.091
'[11:08:45.400 07/11/1995]',-0.054,-0.051,48.571,0.000,-0.094
'[11:08:45.402 07/11/1995]',-0.054,-0.051,48.571,0.000,-0.094
'[11:08:45.404 07/11/1995]',-0.043,-0.051,48.571,0.000,-0.094
'[11:08:45.406 07/11/1995]',-0.043,-0.051,48.571,0.000,-0.094
'[11:08:45.408 07/11/1995]',-0.043,-0.051,48.421,0.000,-0.097
'[11:08:45.410 07/11/1995]',-0.043,-0.052,48.421,0.000,-0.097
'[11:08:45.412 07/11/1995]',-0.054,-0.052,48.421,0.000,-0.097
'[11:08:45.414 07/11/1995]',-0.054,-0.052,48.421,0.000,-0.097
'[11:08:45.416 07/11/1995]',-0.054,-0.051,48.195,0.000,-0.099
'[11:08:45.418 07/11/1995]',-0.054,-0.051,48.195,0.000,-0.099
'[11:08:45.420 07/11/1995]',-0.054,-0.051,48.195,0.000,-0.099
'[11:08:45.422 07/11/1995]',-0.043,-0.051,48.195,0.000,-0.099
'[11:08:45.424 07/11/1995]',-0.043,-0.052,48.120,0.000,-0.102
'[11:08:45.426 07/11/1995]',-0.043,-0.053,48.120,0.000,-0.102
'[11:08:45.428 07/11/1995]',-0.054,-0.054,48.120,0.000,-0.102
'[11:08:45.430 07/11/1995]',-0.054,-0.055,48.120,0.000,-0.102
'[11:08:45.432 07/11/1995]',-0.054,-0.055,47.970,0.000,-0.104
'[11:08:45.434 07/11/1995]',-0.054,-0.055,47.970,0.000,-0.104
'[11:08:45.436 07/11/1995]',-0.054,-0.055,47.970,0.000,-0.104
'[11:08:45.438 07/11/1995]',-0.043,-0.055,47.970,0.000,-0.104
'[11:08:45.440 07/11/1995]',-0.043,-0.055,47.895,0.000,-0.106
'[11:08:45.442 07/11/1995]',-0.054,-0.055,47.895,0.000,-0.106
'[11:08:45.444 07/11/1995]',-0.054,-0.055,47.895,0.000,-0.106
'[11:08:45.446 07/11/1995]',-0.054,-0.055,47.895,0.000,-0.106
'[11:08:45.448 07/11/1995]',-0.054,-0.055,47.744,0.000,-0.109
'[11:08:45.450 07/11/1995]',-0.054,-0.055,47.744,0.000,-0.109
'[11:08:45.452 07/11/1995]',-0.054,-0.055,47.744,0.000,-0.109
'[11:08:45.454 07/11/1995]',-0.043,-0.055,47.744,0.000,-0.109
'[11:08:45.456 07/11/1995]',-0.043,-0.056,47.669,0.000,-0.111
'[11:08:45.458 07/11/1995]',-0.043,-0.056,47.669,0.000,-0.111
'[11:08:45.460 07/11/1995]',-0.054,-0.058,47.669,0.000,-0.111
'[11:08:45.462 07/11/1995]',-0.054,-0.059,47.669,0.000,-0.111
'[11:08:45.464 07/11/1995]',-0.054,-0.059,47.519,0.000,-0.113
'[11:08:45.466 07/11/1995]',-0.054,-0.059,47.519,0.000,-0.113
'[11:08:45.468 07/11/1995]',-0.054,-0.059,47.519,0.000,-0.113
'[11:08:45.470 07/11/1995]',-0.054,-0.059,47.519,0.000,-0.113
'[11:08:45.472 07/11/1995]',-0.043,-0.059,47.444,0.000,-0.114
'[11:08:45.474 07/11/1995]',-0.043,-0.059,47.444,0.000,-0.114
'[11:08:45.476 07/11/1995]',-0.043,-0.059,47.444,0.000,-0.114
'[11:08:45.478 07/11/1995]',-0.054,-0.059,47.444,0.000,-0.114
'[11:08:45.480 07/11/1995]',-0.054,-0.059,47.368,0.000,-0.116
'[11:08:45.482 07/11/1995]',-0.054,-0.059,47.368,0.000,-0.116
'[11:08:45.484 07/11/1995]',-0.054,-0.059,47.368,0.000,-0.116
'[11:08:45.486 07/11/1995]',-0.054,-0.059,47.368,0.000,-0.116
'[11:08:45.488 07/11/1995]',-0.043,-0.059,47.368,0.000,-0.117
'[11:08:45.490 07/11/1995]',-0.043,-0.059,47.368,0.000,-0.117
'[11:08:45.492 07/11/1995]',-0.043,-0.059,47.368,0.000,-0.117
'[11:08:45.494 07/11/1995]',-0.043,-0.059,47.368,0.000,-0.117
'[11:08:45.496 07/11/1995]',-0.054,-0.059,47.669,0.000,-0.119
'[11:08:45.498 07/11/1995]',-0.054,-0.059,47.669,0.000,-0.119
'[11:08:45.500 07/11/1995]',-0.054,-0.059,47.669,0.000,-0.119
'[11:08:45.502 07/11/1995]',-0.043,-0.059,47.669,0.000,-0.119
'[11:08:45.504 07/11/1995]',-0.043,-0.059,48.647,0.000,-0.121
'[11:08:45.506 07/11/1995]',-0.032,-0.059,48.647,0.000,-0.121
'[11:08:45.508 07/11/1995]',-0.032,-0.059,48.647,0.000,-0.121
'[11:08:45.510 07/11/1995]',-0.032,-0.059,48.647,0.000,-0.121
'[11:08:45.512 07/11/1995]',-0.043,-0.059,51.128,0.000,-0.124
'[11:08:45.514 07/11/1995]',-0.043,-0.059,51.128,0.000,-0.124
'[11:08:45.516 07/11/1995]',-0.043,-0.059,51.128,0.000,-0.124
'[11:08:45.518 07/11/1995]',-0.043,-0.059,51.128,0.000,-0.124
'[11:08:45.520 07/11/1995]',-0.032,-0.059,55.714,0.000,-0.127
'[11:08:45.522 07/11/1995]',-0.032,-0.059,55.714,0.000,-0.127
'[11:08:45.524 07/11/1995]',-0.032,-0.059,55.714,0.000,-0.127
'[11:08:45.526 07/11/1995]',-0.032,-0.059,55.714,0.000,-0.127
'[11:08:45.528 07/11/1995]',-0.043,-0.059,61.880,0.000,-0.131
'[11:08:45.530 07/11/1995]',-0.043,-0.059,61.880,0.000,-0.131
'[11:08:45.532 07/11/1995]',-0.043,-0.059,61.880,0.000,-0.131
'[11:08:45.534 07/11/1995]',-0.043,-0.059,61.880,0.000,-0.131
'[11:08:45.536 07/11/1995]',-0.032,-0.059,68.947,0.000,-0.134
'[11:08:45.538 07/11/1995]',-0.032,-0.059,68.947,0.000,-0.134
'[11:08:45.540 07/11/1995]',-0.032,-0.059,68.947,0.000,-0.134
'[11:08:45.542 07/11/1995]',-0.032,-0.059,68.947,0.000,-0.134
'[11:08:45.544 07/11/1995]',-0.032,-0.059,76.316,0.000,-0.137
'[11:08:45.546 07/11/1995]',-0.032,-0.060,76.316,0.000,-0.137
'[11:08:45.548 07/11/1995]',-0.032,-0.061,76.316,0.000,-0.137
'[11:08:45.550 07/11/1995]',-0.032,-0.062,76.316,0.000,-0.137
'[11:08:45.552 07/11/1995]',-0.032,-0.062,83.684,0.000,-0.140
'[11:08:45.554 07/11/1995]',-0.032,-0.063,83.684,0.000,-0.140
'[11:08:45.556 07/11/1995]',-0.021,-0.064,83.684,0.000,-0.140
'[11:08:45.558 07/11/1995]',-0.021,-0.064,83.684,0.000,-0.140
'[11:08:45.560 07/11/1995]',-0.032,-0.065,91.128,0.000,-0.141
'[11:08:45.562 07/11/1995]',-0.032,-0.066,91.128,0.000,-0.141
'[11:08:45.564 07/11/1995]',-0.032,-0.067,91.128,0.000,-0.141
'[11:08:45.566 07/11/1995]',-0.032,-0.067,91.128,0.000,-0.141
'[11:08:45.568 07/11/1995]',-0.032,-0.068,98.271,0.000,-0.142
'[11:08:45.570 07/11/1995]',-0.032,-0.069,98.271,0.000,-0.142
'[11:08:45.572 07/11/1995]',-0.021,-0.070,98.271,0.000,-0.142
'[11:08:45.574 07/11/1995]',-0.021,-0.070,98.271,0.000,-0.142
'[11:08:45.576 07/11/1995]',-0.032,-0.070,104.887,0.000,-0.142
'[11:08:45.578 07/11/1995]',-0.032,-0.070,104.887,0.000,-0.142
'[11:08:45.580 07/11/1995]',-0.032,-0.070,104.887,0.000,-0.142
'[11:08:45.582 07/11/1995]',-0.032,-0.070,104.887,0.000,-0.142
'[11:08:45.584 07/11/1995]',-0.032,-0.070,110.827,0.000,-0.143
'[11:08:45.586 07/11/1995]',-0.032,-0.070,110.827,0.000,-0.143
'[11:08:45.588 07/11/1995]',-0.032,-0.070,110.827,0.000,-0.143
'[11:08:45.590 07/11/1995]',-0.032,-0.070,110.827,0.000,-0.143
'[11:08:45.592 07/11/1995]',-0.032,-0.070,115.789,0.000,-0.143
'[11:08:45.594 07/11/1995]',-0.032,-0.070,115.789,0.000,-0.143
'[11:08:45.596 07/11/1995]',-0.032,-0.070,115.789,0.000,-0.143
'[11:08:45.598 07/11/1995]',-0.043,-0.070,115.789,0.000,-0.143
'[11:08:45.600 07/11/1995]',-0.043,-0.070,119.549,0.000,-0.144
'[11:08:45.602 07/11/1995]',-0.032,-0.069,119.549,0.000,-0.144
'[11:08:45.604 07/11/1995]',-0.032,-0.068,119.549,0.000,-0.144
'[11:08:45.606 07/11/1995]',-0.021,-0.067,119.549,0.000,-0.144
'[11:08:45.608 07/11/1995]',-0.032,-0.067,122.105,0.000,-0.144
'[11:08:45.610 07/11/1995]',-0.032,-0.066,122.105,0.000,-0.144
'[11:08:45.612 07/11/1995]',-0.032,-0.066,122.105,0.000,-0.144
'[11:08:45.614 07/11/1995]',-0.032,-0.066,122.105,0.000,-0.144
'[11:08:45.616 07/11/1995]',-0.043,-0.066,123.609,0.000,-0.145
'[11:08:45.618 07/11/1995]',-0.032,-0.066,123.609,0.000,-0.145
'[11:08:45.620 07/11/1995]',-0.032,-0.066,123.609,0.000,-0.145
'[11:08:45.622 07/11/1995]',-0.021,-0.065,123.609,0.000,-0.145
'[11:08:45.624 07/11/1995]',-0.021,-0.064,124.211,0.000,-0.146
'[11:08:45.626 07/11/1995]',-0.032,-0.063,124.211,0.000,-0.146
'[11:08:45.628 07/11/1995]',-0.032,-0.062,124.211,0.000,-0.146
'[11:08:45.630 07/11/1995]',-0.032,-0.061,124.211,0.000,-0.146
'[11:08:45.632 07/11/1995]',-0.032,-0.060,124.135,0.000,-0.148
'[11:08:45.634 07/11/1995]',-0.032,-0.059,124.135,0.000,-0.148
'[11:08:45.636 07/11/1995]',-0.032,-0.057,124.135,0.000,-0.148
'[11:08:45.638 07/11/1995]',-0.021,-0.054,124.135,0.000,-0.148
'[11:08:45.640 07/11/1995]',-0.021,-0.052,123.383,0.000,-0.150
'[11:08:45.642 07/11/1995]',-0.021,-0.051,123.383,0.000,-0.150
'[11:08:45.644 07/11/1995]',-0.021,-0.049,123.383,0.000,-0.150
'[11:08:45.646 07/11/1995]',-0.032,-0.047,123.383,0.000,-0.150
'[11:08:45.648 07/11/1995]',-0.032,-0.044,122.331,0.000,-0.153
'[11:08:45.650 07/11/1995]',-0.032,-0.042,122.331,0.000,-0.153
'[11:08:45.652 07/11/1995]',-0.021,-0.039,122.331,0.000,-0.153
'[11:08:45.654 07/11/1995]',-0.021,-0.036,122.331,0.000,-0.153
'[11:08:45.656 07/11/1995]',-0.010,-0.032,121.053,0.000,-0.157
'[11:08:45.658 07/11/1995]',-0.010,-0.028,121.053,0.000,-0.157
'[11:08:45.660 07/11/1995]',-0.010,-0.024,121.053,0.000,-0.157
