'Time and date','MCL1 ','III ','V ','ABP ','PAP ','PLETH ','RESP '
'[15:36:36.978 02/03/1995]',0.084,0.074,0.103,86.050,24.950,-0.452,-0.689
'[15:36:36.980 02/03/1995]',0.085,0.075,0.105,86.050,24.950,-0.452,-0.689
'[15:36:36.982 02/03/1995]',0.085,0.076,0.107,86.050,24.950,-0.452,-0.689
'[15:36:36.984 02/03/1995]',0.086,0.076,0.108,89.250,26.650,-0.441,-0.689
'[15:36:36.986 02/03/1995]',0.088,0.077,0.109,89.250,26.650,-0.441,-0.689
'[15:36:36.988 02/03/1995]',0.089,0.076,0.110,89.250,26.650,-0.441,-0.689
'[15:36:36.990 02/03/1995]',0.091,0.076,0.111,89.250,26.650,-0.441,-0.689
'[15:36:36.992 02/03/1995]',0.091,0.074,0.112,92.800,28.350,-0.422,-0.688
'[15:36:36.994 02/03/1995]',0.092,0.073,0.112,92.800,28.350,-0.422,-0.688
'[15:36:36.996 02/03/1995]',0.091,0.072,0.112,92.800,28.350,-0.422,-0.688
'[15:36:36.998 02/03/1995]',0.091,0.072,0.112,92.800,28.350,-0.422,-0.688
'[15:36:37.000 02/03/1995]',0.090,0.070,0.111,96.400,29.875,-0.402,-0.686
'[15:36:37.002 02/03/1995]',0.090,0.069,0.109,96.400,29.875,-0.402,-0.686
'[15:36:37.004 02/03/1995]',0.089,0.069,0.107,96.400,29.875,-0.402,-0.686
'[15:36:37.006 02/03/1995]',0.088,0.069,0.105,96.400,29.875,-0.402,-0.686
'[15:36:37.008 02/03/1995]',0.087,0.069,0.102,100.000,31.100,-0.372,-0.684
'[15:36:37.010 02/03/1995]',0.086,0.069,0.100,100.000,31.100,-0.372,-0.684
'[15:36:37.012 02/03/1995]',0.085,0.069,0.097,100.000,31.100,-0.372,-0.684
'[15:36:37.014 02/03/1995]',0.084,0.069,0.094,100.000,31.100,-0.372,-0.684
'[15:36:37.016 02/03/1995]',0.082,0.069,0.091,103.400,31.975,-0.337,-0.682
'[15:36:37.018 02/03/1995]',0.079,0.069,0.089,103.400,31.975,-0.337,-0.682
'[15:36:37.020 02/03/1995]',0.077,0.069,0.086,103.400,31.975,-0.337,-0.682
'[15:36:37.022 02/03/1995]',0.075,0.068,0.083,103.400,31.975,-0.337,-0.682
'[15:36:37.024 02/03/1995]',0.072,0.067,0.079,106.500,32.450,-0.290,-0.681
'[15:36:37.026 02/03/1995]',0.069,0.066,0.074,106.500,32.450,-0.290,-0.681
'[15:36:37.028 02/03/1995]',0.066,0.066,0.069,106.500,32.450,-0.290,-0.681
'[15:36:37.030 02/03/1995]',0.063,0.065,0.064,106.500,32.450,-0.290,-0.681
'[15:36:37.032 02/03/1995]',0.060,0.065,0.060,109.100,32.500,-0.236,-0.681
'[15:36:37.034 02/03/1995]',0.058,0.064,0.057,109.100,32.500,-0.236,-0.681
'[15:36:37.036 02/03/1995]',0.056,0.062,0.055,109.100,32.500,-0.236,-0.681
'[15:36:37.038 02/03/1995]',0.053,0.060,0.053,109.100,32.500,-0.236,-0.681
'[15:36:37.040 02/03/1995]',0.050,0.058,0.049,111.150,32.225,-0.171,-0.680
'[15:36:37.042 02/03/1995]',0.046,0.055,0.045,111.150,32.225,-0.171,-0.680
'[15:36:37.044 02/03/1995]',0.042,0.052,0.040,111.150,32.225,-0.171,-0.680
'[15:36:37.046 02/03/1995]',0.038,0.049,0.034,111.150,32.225,-0.171,-0.680
'[15:36:37.048 02/03/1995]',0.035,0.045,0.029,112.500,31.625,-0.097,-0.679
'[15:36:37.050 02/03/1995]',0.031,0.042,0.025,112.500,31.625,-0.097,-0.679
'[15:36:37.052 02/03/1995]',0.028,0.038,0.022,112.500,31.625,-0.097,-0.679
'[15:36:37.054 02/03/1995]',0.025,0.034,0.020,112.500,31.625,-0.097,-0.679
'[15:36:37.056 02/03/1995]',0.023,0.031,0.018,113.100,30.975,-0.018,-0.678
'[15:36:37.058 02/03/1995]',0.021,0.028,0.017,113.100,30.975,-0.018,-0.678
'[15:36:37.060 02/03/1995]',0.019,0.026,0.015,113.100,30.975,-0.018,-0.678
'[15:36:37.062 02/03/1995]',0.017,0.024,0.014,113.100,30.975,-0.018,-0.678
'[15:36:37.064 02/03/1995]',0.015,0.023,0.012,113.100,30.225,0.065,-0.677
'[15:36:37.066 02/03/1995]',0.013,0.022,0.010,113.100,30.225,0.065,-0.677
'[15:36:37.068 02/03/1995]',0.011,0.022,0.007,113.100,30.225,0.065,-0.677
'[15:36:37.070 02/03/1995]',0.009,0.022,0.005,113.100,30.225,0.065,-0.677
'[15:36:37.072 02/03/1995]',0.006,0.022,0.002,112.400,29.400,0.152,-0.675
'[15:36:37.074 02/03/1995]',0.003,0.022,-0.002,112.400,29.400,0.152,-0.675
'[15:36:37.076 02/03/1995]',0.001,0.021,-0.005,112.400,29.400,0.152,-0.675
'[15:36:37.078 02/03/1995]',-0.002,0.021,-0.009,112.400,29.400,0.152,-0.675
'[15:36:37.080 02/03/1995]',-0.004,0.020,-0.013,111.150,28.400,0.234,-0.674
'[15:36:37.082 02/03/1995]',-0.005,0.019,-0.016,111.150,28.400,0.234,-0.674
'[15:36:37.084 02/03/1995]',-0.006,0.018,-0.018,111.150,28.400,0.234,-0.674
'[15:36:37.086 02/03/1995]',-0.007,0.017,-0.019,111.150,28.400,0.234,-0.674
'[15:36:37.088 02/03/1995]',-0.007,0.017,-0.019,109.450,27.225,0.312,-0.672
'[15:36:37.090 02/03/1995]',-0.008,0.017,-0.019,109.450,27.225,0.312,-0.672
'[15:36:37.092 02/03/1995]',-0.008,0.016,-0.019,109.450,27.225,0.312,-0.672
'[15:36:37.094 02/03/1995]',-0.008,0.015,-0.019,109.450,27.225,0.312,-0.672
'[15:36:37.096 02/03/1995]',-0.007,0.015,-0.019,107.200,25.950,0.383,-0.670
'[15:36:37.098 02/03/1995]',-0.007,0.014,-0.019,107.200,25.950,0.383,-0.670
'[15:36:37.100 02/03/1995]',-0.007,0.014,-0.019,107.200,25.950,0.383,-0.670
'[15:36:37.102 02/03/1995]',-0.007,0.014,-0.019,107.200,25.950,0.383,-0.670
'[15:36:37.104 02/03/1995]',-0.007,0.014,-0.018,104.550,24.475,0.441,-0.668
'[15:36:37.106 02/03/1995]',-0.008,0.014,-0.018,104.550,24.475,0.441,-0.668
'[15:36:37.108 02/03/1995]',-0.008,0.014,-0.017,104.550,24.475,0.441,-0.668
'[15:36:37.110 02/03/1995]',-0.008,0.014,-0.016,104.550,24.475,0.441,-0.668
'[15:36:37.112 02/03/1995]',-0.007,0.014,-0.015,101.450,22.850,0.487,-0.664
'[15:36:37.114 02/03/1995]',-0.006,0.014,-0.014,101.450,22.850,0.487,-0.664
'[15:36:37.116 02/03/1995]',-0.004,0.014,-0.012,101.450,22.850,0.487,-0.664
'[15:36:37.118 02/03/1995]',-0.003,0.014,-0.010,101.450,22.850,0.487,-0.664
'[15:36:37.120 02/03/1995]',-0.002,0.014,-0.009,98.050,21.325,0.520,-0.660
'[15:36:37.122 02/03/1995]',-0.001,0.014,-0.007,98.050,21.325,0.520,-0.660
'[15:36:37.124 02/03/1995]',0.000,0.015,-0.005,98.050,21.325,0.520,-0.660
'[15:36:37.126 02/03/1995]',0.001,0.015,-0.003,98.050,21.325,0.520,-0.660
'[15:36:37.128 02/03/1995]',0.003,0.016,-0.002,94.550,20.075,0.537,-0.654
'[15:36:37.130 02/03/1995]',0.004,0.017,0.000,94.550,20.075,0.537,-0.654
'[15:36:37.132 02/03/1995]',0.005,0.018,0.002,94.550,20.075,0.537,-0.654
'[15:36:37.134 02/03/1995]',0.007,0.020,0.004,94.550,20.075,0.537,-0.654
'[15:36:37.136 02/03/1995]',0.009,0.021,0.005,91.150,19.450,0.541,-0.647
'[15:36:37.138 02/03/1995]',0.011,0.021,0.007,91.150,19.450,0.541,-0.647
'[15:36:37.140 02/03/1995]',0.011,0.021,0.008,91.150,19.450,0.541,-0.647
'[15:36:37.142 02/03/1995]',0.011,0.022,0.009,91.150,19.450,0.541,-0.647
'[15:36:37.144 02/03/1995]',0.011,0.022,0.009,88.150,19.800,0.530,-0.638
'[15:36:37.146 02/03/1995]',0.011,0.022,0.009,88.150,19.800,0.530,-0.638
'[15:36:37.148 02/03/1995]',0.011,0.022,0.009,88.150,19.800,0.530,-0.638
'[15:36:37.150 02/03/1995]',0.012,0.022,0.009,88.150,19.800,0.530,-0.638
'[15:36:37.152 02/03/1995]',0.013,0.022,0.009,85.700,21.500,0.504,-0.626
'[15:36:37.154 02/03/1995]',0.014,0.023,0.010,85.700,21.500,0.504,-0.626
'[15:36:37.156 02/03/1995]',0.015,0.025,0.011,85.700,21.500,0.504,-0.626
'[15:36:37.158 02/03/1995]',0.015,0.027,0.011,85.700,21.500,0.504,-0.626
'[15:36:37.160 02/03/1995]',0.015,0.031,0.011,83.750,24.000,0.469,-0.614
'[15:36:37.162 02/03/1995]',0.015,0.035,0.012,83.750,24.000,0.469,-0.614
'[15:36:37.164 02/03/1995]',0.016,0.041,0.013,83.750,24.000,0.469,-0.614
'[15:36:37.166 02/03/1995]',0.017,0.046,0.014,83.750,24.000,0.469,-0.614
'[15:36:37.168 02/03/1995]',0.018,0.051,0.015,82.350,26.700,0.420,-0.600
'[15:36:37.170 02/03/1995]',0.020,0.057,0.015,82.350,26.700,0.420,-0.600
'[15:36:37.172 02/03/1995]',0.021,0.063,0.015,82.350,26.700,0.420,-0.600
'[15:36:37.174 02/03/1995]',0.022,0.069,0.014,82.350,26.700,0.420,-0.600
'[15:36:37.176 02/03/1995]',0.024,0.075,0.014,81.350,28.925,0.366,-0.586
'[15:36:37.178 02/03/1995]',0.026,0.082,0.014,81.350,28.925,0.366,-0.586
'[15:36:37.180 02/03/1995]',0.029,0.088,0.015,81.350,28.925,0.366,-0.586
'[15:36:37.182 02/03/1995]',0.031,0.094,0.015,81.350,28.925,0.366,-0.586
'[15:36:37.184 02/03/1995]',0.034,0.100,0.017,80.900,30.525,0.297,-0.571
'[15:36:37.186 02/03/1995]',0.036,0.106,0.018,80.900,30.525,0.297,-0.571
'[15:36:37.188 02/03/1995]',0.039,0.113,0.021,80.900,30.525,0.297,-0.571
'[15:36:37.190 02/03/1995]',0.042,0.120,0.024,80.900,30.525,0.297,-0.571
'[15:36:37.192 02/03/1995]',0.045,0.127,0.026,80.900,31.400,0.229,-0.556
'[15:36:37.194 02/03/1995]',0.048,0.133,0.029,80.900,31.400,0.229,-0.556
'[15:36:37.196 02/03/1995]',0.050,0.139,0.032,80.900,31.400,0.229,-0.556
'[15:36:37.198 02/03/1995]',0.052,0.144,0.035,80.900,31.400,0.229,-0.556
'[15:36:37.200 02/03/1995]',0.053,0.145,0.037,81.300,31.400,0.156,-0.542
'[15:36:37.202 02/03/1995]',0.055,0.147,0.040,81.300,31.400,0.156,-0.542
'[15:36:37.204 02/03/1995]',0.055,0.146,0.042,81.300,31.400,0.156,-0.542
'[15:36:37.206 02/03/1995]',0.055,0.145,0.043,81.300,31.400,0.156,-0.542
'[15:36:37.208 02/03/1995]',0.054,0.141,0.042,81.950,30.800,0.082,-0.527
'[15:36:37.210 02/03/1995]',0.054,0.138,0.040,81.950,30.800,0.082,-0.527
'[15:36:37.212 02/03/1995]',0.052,0.133,0.037,81.950,30.800,0.082,-0.527
'[15:36:37.214 02/03/1995]',0.051,0.127,0.034,81.950,30.800,0.082,-0.527
'[15:36:37.216 02/03/1995]',0.049,0.121,0.032,82.850,29.750,0.015,-0.513
'[15:36:37.218 02/03/1995]',0.046,0.115,0.029,82.850,29.750,0.015,-0.513
'[15:36:37.220 02/03/1995]',0.044,0.108,0.026,82.850,29.750,0.015,-0.513
'[15:36:37.222 02/03/1995]',0.043,0.102,0.024,82.850,29.750,0.015,-0.513
'[15:36:37.224 02/03/1995]',0.041,0.096,0.022,83.750,28.400,-0.052,-0.498
'[15:36:37.226 02/03/1995]',0.038,0.089,0.020,83.750,28.400,-0.052,-0.498
'[15:36:37.228 02/03/1995]',0.035,0.083,0.018,83.750,28.400,-0.052,-0.498
'[15:36:37.230 02/03/1995]',0.031,0.076,0.017,83.750,28.400,-0.052,-0.498
'[15:36:37.232 02/03/1995]',0.028,0.070,0.016,84.750,26.700,-0.106,-0.484
'[15:36:37.234 02/03/1995]',0.025,0.063,0.015,84.750,26.700,-0.106,-0.484
'[15:36:37.236 02/03/1995]',0.023,0.058,0.015,84.750,26.700,-0.106,-0.484
'[15:36:37.238 02/03/1995]',0.021,0.052,0.014,84.750,26.700,-0.106,-0.484
'[15:36:37.240 02/03/1995]',0.019,0.047,0.013,85.750,25.000,-0.152,-0.471
'[15:36:37.242 02/03/1995]',0.017,0.042,0.013,85.750,25.000,-0.152,-0.471
'[15:36:37.244 02/03/1995]',0.015,0.038,0.011,85.750,25.000,-0.152,-0.471
'[15:36:37.246 02/03/1995]',0.013,0.034,0.010,85.750,25.000,-0.152,-0.471
'[15:36:37.248 02/03/1995]',0.012,0.031,0.009,86.600,23.475,-0.190,-0.460
'[15:36:37.250 02/03/1995]',0.011,0.028,0.007,86.600,23.475,-0.190,-0.460
'[15:36:37.252 02/03/1995]',0.010,0.026,0.006,86.600,23.475,-0.190,-0.460
'[15:36:37.254 02/03/1995]',0.009,0.024,0.005,86.600,23.475,-0.190,-0.460
'[15:36:37.256 02/03/1995]',0.008,0.022,0.004,87.350,22.125,-0.212,-0.449
'[15:36:37.258 02/03/1995]',0.007,0.021,0.004,87.350,22.125,-0.212,-0.449
'[15:36:37.260 02/03/1995]',0.005,0.020,0.004,87.350,22.125,-0.212,-0.449
'[15:36:37.262 02/03/1995]',0.003,0.019,0.003,87.350,22.125,-0.212,-0.449
'[15:36:37.264 02/03/1995]',0.003,0.018,0.003,87.850,21.025,-0.227,-0.437
'[15:36:37.266 02/03/1995]',0.003,0.017,0.003,87.850,21.025,-0.227,-0.437
'[15:36:37.268 02/03/1995]',0.003,0.017,0.003,87.850,21.025,-0.227,-0.437
'[15:36:37.270 02/03/1995]',0.003,0.017,0.003,87.850,21.025,-0.227,-0.437
'[15:36:37.272 02/03/1995]',0.003,0.015,0.003,88.300,20.250,-0.229,-0.424
'[15:36:37.274 02/03/1995]',0.003,0.014,0.003,88.300,20.250,-0.229,-0.424
'[15:36:37.276 02/03/1995]',0.003,0.013,0.004,88.300,20.250,-0.229,-0.424
'[15:36:37.278 02/03/1995]',0.003,0.011,0.004,88.300,20.250,-0.229,-0.424
'[15:36:37.280 02/03/1995]',0.003,0.011,0.005,88.550,19.900,-0.223,-0.409
'[15:36:37.282 02/03/1995]',0.003,0.010,0.007,88.550,19.900,-0.223,-0.409
'[15:36:37.284 02/03/1995]',0.004,0.011,0.009,88.550,19.900,-0.223,-0.409
'[15:36:37.286 02/03/1995]',0.004,0.011,0.011,88.550,19.900,-0.223,-0.409
'[15:36:37.288 02/03/1995]',0.005,0.011,0.011,88.750,19.800,-0.212,-0.394
'[15:36:37.290 02/03/1995]',0.006,0.012,0.012,88.750,19.800,-0.212,-0.394
'[15:36:37.292 02/03/1995]',0.007,0.013,0.013,88.750,19.800,-0.212,-0.394
'[15:36:37.294 02/03/1995]',0.009,0.014,0.014,88.750,19.800,-0.212,-0.394
'[15:36:37.296 02/03/1995]',0.009,0.015,0.015,88.700,19.975,-0.199,-0.377
'[15:36:37.298 02/03/1995]',0.010,0.015,0.015,88.700,19.975,-0.199,-0.377
'[15:36:37.300 02/03/1995]',0.011,0.015,0.015,88.700,19.975,-0.199,-0.377
'[15:36:37.302 02/03/1995]',0.012,0.014,0.014,88.700,19.975,-0.199,-0.377
'[15:36:37.304 02/03/1995]',0.013,0.014,0.014,88.450,20.200,-0.182,-0.360
'[15:36:37.306 02/03/1995]',0.014,0.014,0.014,88.450,20.200,-0.182,-0.360
'[15:36:37.308 02/03/1995]',0.015,0.014,0.014,88.450,20.200,-0.182,-0.360
'[15:36:37.310 02/03/1995]',0.015,0.014,0.014,88.450,20.200,-0.182,-0.360
'[15:36:37.312 02/03/1995]',0.015,0.014,0.014,88.050,20.500,-0.166,-0.343
'[15:36:37.314 02/03/1995]',0.014,0.014,0.014,88.050,20.500,-0.166,-0.343
'[15:36:37.316 02/03/1995]',0.014,0.014,0.014,88.050,20.500,-0.166,-0.343
'[15:36:37.318 02/03/1995]',0.014,0.014,0.014,88.050,20.500,-0.166,-0.343
'[15:36:37.320 02/03/1995]',0.014,0.015,0.014,87.550,20.800,-0.150,-0.325
'[15:36:37.322 02/03/1995]',0.014,0.015,0.014,87.550,20.800,-0.150,-0.325
'[15:36:37.324 02/03/1995]',0.015,0.017,0.015,87.550,20.800,-0.150,-0.325
'[15:36:37.326 02/03/1995]',0.015,0.018,0.015,87.550,20.800,-0.150,-0.325
'[15:36:37.328 02/03/1995]',0.017,0.021,0.017,87.000,21.150,-0.140,-0.307
'[15:36:37.330 02/03/1995]',0.019,0.024,0.019,87.000,21.150,-0.140,-0.307
'[15:36:37.332 02/03/1995]',0.024,0.028,0.025,87.000,21.150,-0.140,-0.307
'[15:36:37.334 02/03/1995]',0.029,0.031,0.032,87.000,21.150,-0.140,-0.307
'[15:36:37.336 02/03/1995]',0.037,0.035,0.045,86.350,21.500,-0.132,-0.288
'[15:36:37.338 02/03/1995]',0.046,0.040,0.059,86.350,21.500,-0.132,-0.288
'[15:36:37.340 02/03/1995]',0.059,0.041,0.081,86.350,21.500,-0.132,-0.288
'[15:36:37.342 02/03/1995]',0.073,0.042,0.102,86.350,21.500,-0.132,-0.288
'[15:36:37.344 02/03/1995]',0.091,0.038,0.129,85.650,21.775,-0.130,-0.268
'[15:36:37.346 02/03/1995]',0.109,0.034,0.155,85.650,21.775,-0.130,-0.268
'[15:36:37.348 02/03/1995]',0.128,0.025,0.183,85.650,21.775,-0.130,-0.268
'[15:36:37.350 02/03/1995]',0.146,0.015,0.211,85.650,21.775,-0.130,-0.268
'[15:36:37.352 02/03/1995]',0.161,0.001,0.236,84.950,22.025,-0.130,-0.247
'[15:36:37.354 02/03/1995]',0.176,-0.013,0.261,84.950,22.025,-0.130,-0.247
'[15:36:37.356 02/03/1995]',0.185,-0.028,0.279,84.950,22.025,-0.130,-0.247
'[15:36:37.358 02/03/1995]',0.195,-0.043,0.297,84.950,22.025,-0.130,-0.247
'[15:36:37.360 02/03/1995]',0.200,-0.058,0.308,84.250,22.250,-0.134,-0.227
'[15:36:37.362 02/03/1995]',0.204,-0.073,0.320,84.250,22.250,-0.134,-0.227
'[15:36:37.364 02/03/1995]',0.202,-0.087,0.325,84.250,22.250,-0.134,-0.227
'[15:36:37.366 02/03/1995]',0.200,-0.102,0.329,84.250,22.250,-0.134,-0.227
'[15:36:37.368 02/03/1995]',0.191,-0.117,0.323,83.650,22.500,-0.143,-0.204
'[15:36:37.370 02/03/1995]',0.181,-0.132,0.317,83.650,22.500,-0.143,-0.204
'[15:36:37.372 02/03/1995]',0.160,-0.147,0.291,83.650,22.500,-0.143,-0.204
'[15:36:37.374 02/03/1995]',0.139,-0.162,0.265,83.650,22.500,-0.143,-0.204
'[15:36:37.376 02/03/1995]',0.100,-0.173,0.211,83.050,22.775,-0.154,-0.181
'[15:36:37.378 02/03/1995]',0.060,-0.185,0.157,83.050,22.775,-0.154,-0.181
'[15:36:37.380 02/03/1995]',0.003,-0.193,0.073,83.050,22.775,-0.154,-0.181
'[15:36:37.382 02/03/1995]',-0.055,-0.201,-0.010,83.050,22.775,-0.154,-0.181
'[15:36:37.384 02/03/1995]',-0.120,-0.206,-0.107,82.550,23.075,-0.171,-0.158
'[15:36:37.386 02/03/1995]',-0.185,-0.211,-0.205,82.550,23.075,-0.171,-0.158
'[15:36:37.388 02/03/1995]',-0.239,-0.213,-0.288,82.550,23.075,-0.171,-0.158
'[15:36:37.390 02/03/1995]',-0.294,-0.216,-0.371,82.550,23.075,-0.171,-0.158
'[15:36:37.392 02/03/1995]',-0.322,-0.216,-0.415,82.000,23.425,-0.186,-0.133
'[15:36:37.394 02/03/1995]',-0.350,-0.216,-0.459,82.000,23.425,-0.186,-0.133
'[15:36:37.396 02/03/1995]',-0.347,-0.211,-0.459,82.000,23.425,-0.186,-0.133
'[15:36:37.398 02/03/1995]',-0.345,-0.207,-0.459,82.000,23.425,-0.186,-0.133
'[15:36:37.400 02/03/1995]',-0.320,-0.196,-0.426,81.550,24.000,-0.204,-0.108
'[15:36:37.402 02/03/1995]',-0.294,-0.184,-0.394,81.550,24.000,-0.204,-0.108
'[15:36:37.404 02/03/1995]',-0.259,-0.167,-0.349,81.550,24.000,-0.204,-0.108
'[15:36:37.406 02/03/1995]',-0.224,-0.150,-0.304,81.550,24.000,-0.204,-0.108
'[15:36:37.408 02/03/1995]',-0.191,-0.129,-0.261,81.000,24.950,-0.227,-0.085
'[15:36:37.410 02/03/1995]',-0.157,-0.108,-0.218,81.000,24.950,-0.227,-0.085
'[15:36:37.412 02/03/1995]',-0.129,-0.086,-0.182,81.000,24.950,-0.227,-0.085
'[15:36:37.414 02/03/1995]',-0.101,-0.065,-0.146,81.000,24.950,-0.227,-0.085
'[15:36:37.416 02/03/1995]',-0.080,-0.044,-0.118,80.550,26.175,-0.245,-0.060
'[15:36:37.418 02/03/1995]',-0.058,-0.024,-0.091,80.550,26.175,-0.245,-0.060
'[15:36:37.420 02/03/1995]',-0.042,-0.007,-0.070,80.550,26.175,-0.245,-0.060
'[15:36:37.422 02/03/1995]',-0.026,0.009,-0.050,80.550,26.175,-0.245,-0.060
'[15:36:37.424 02/03/1995]',-0.015,0.022,-0.035,80.150,27.350,-0.268,-0.037
'[15:36:37.426 02/03/1995]',-0.004,0.035,-0.020,80.150,27.350,-0.268,-0.037
'[15:36:37.428 02/03/1995]',0.003,0.044,-0.010,80.150,27.350,-0.268,-0.037
'[15:36:37.430 02/03/1995]',0.010,0.053,0.000,80.150,27.350,-0.268,-0.037
'[15:36:37.432 02/03/1995]',0.015,0.059,0.006,79.700,28.050,-0.288,-0.017
'[15:36:37.434 02/03/1995]',0.020,0.065,0.013,79.700,28.050,-0.288,-0.017
'[15:36:37.436 02/03/1995]',0.023,0.068,0.017,79.700,28.050,-0.288,-0.017
'[15:36:37.438 02/03/1995]',0.026,0.070,0.020,79.700,28.050,-0.288,-0.017
'[15:36:37.440 02/03/1995]',0.028,0.072,0.021,79.450,27.925,-0.307,0.002
'[15:36:37.442 02/03/1995]',0.030,0.074,0.023,79.450,27.925,-0.307,0.002
'[15:36:37.444 02/03/1995]',0.032,0.075,0.025,79.450,27.925,-0.307,0.002
'[15:36:37.446 02/03/1995]',0.034,0.077,0.026,79.450,27.925,-0.307,0.002
'[15:36:37.448 02/03/1995]',0.037,0.080,0.029,79.100,27.300,-0.329,0.018
'[15:36:37.450 02/03/1995]',0.040,0.082,0.031,79.100,27.300,-0.329,0.018
'[15:36:37.452 02/03/1995]',0.043,0.085,0.034,79.100,27.300,-0.329,0.018
'[15:36:37.454 02/03/1995]',0.045,0.088,0.036,79.100,27.300,-0.329,0.018
'[15:36:37.456 02/03/1995]',0.046,0.090,0.038,78.800,26.425,-0.346,0.034
'[15:36:37.458 02/03/1995]',0.048,0.092,0.040,78.800,26.425,-0.346,0.034
'[15:36:37.460 02/03/1995]',0.048,0.093,0.041,78.800,26.425,-0.346,0.034
'[15:36:37.462 02/03/1995]',0.047,0.094,0.042,78.800,26.425,-0.346,0.034
'[15:36:37.464 02/03/1995]',0.047,0.093,0.043,78.550,25.825,-0.362,0.048
'[15:36:37.466 02/03/1995]',0.047,0.093,0.043,78.550,25.825,-0.362,0.048
'[15:36:37.468 02/03/1995]',0.047,0.093,0.043,78.550,25.825,-0.362,0.048
'[15:36:37.470 02/03/1995]',0.047,0.094,0.044,78.550,25.825,-0.362,0.048
'[15:36:37.472 02/03/1995]',0.047,0.095,0.044,78.350,25.775,-0.380,0.061
'[15:36:37.474 02/03/1995]',0.047,0.096,0.045,78.350,25.775,-0.380,0.061
'[15:36:37.476 02/03/1995]',0.048,0.097,0.046,78.350,25.775,-0.380,0.061
'[15:36:37.478 02/03/1995]',0.048,0.098,0.048,78.350,25.775,-0.380,0.061
'[15:36:37.480 02/03/1995]',0.049,0.099,0.049,78.300,26.250,-0.393,0.074
'[15:36:37.482 02/03/1995]',0.050,0.100,0.050,78.300,26.250,-0.393,0.074
'[15:36:37.484 02/03/1995]',0.051,0.101,0.051,78.300,26.250,-0.393,0.074
'[15:36:37.486 02/03/1995]',0.053,0.101,0.053,78.300,26.250,-0.393,0.074
'[15:36:37.488 02/03/1995]',0.053,0.102,0.053,78.300,26.650,-0.406,0.087
'[15:36:37.490 02/03/1995]',0.054,0.103,0.054,78.300,26.650,-0.406,0.087
'[15:36:37.492 02/03/1995]',0.055,0.102,0.055,78.300,26.650,-0.406,0.087
'[15:36:37.494 02/03/1995]',0.056,0.102,0.056,78.300,26.650,-0.406,0.087
'[15:36:37.496 02/03/1995]',0.057,0.102,0.057,78.350,26.600,-0.416,0.102
'[15:36:37.498 02/03/1995]',0.058,0.102,0.058,78.350,26.600,-0.416,0.102
'[15:36:37.500 02/03/1995]',0.059,0.102,0.059,78.350,26.600,-0.416,0.102
'[15:36:37.502 02/03/1995]',0.060,0.102,0.060,78.350,26.600,-0.416,0.102
'[15:36:37.504 02/03/1995]',0.060,0.102,0.061,78.350,26.175,-0.424,0.116
'[15:36:37.506 02/03/1995]',0.061,0.101,0.062,78.350,26.175,-0.424,0.116
'[15:36:37.508 02/03/1995]',0.062,0.100,0.064,78.350,26.175,-0.424,0.116
'[15:36:37.510 02/03/1995]',0.063,0.099,0.066,78.350,26.175,-0.424,0.116
'[15:36:37.512 02/03/1995]',0.065,0.098,0.068,78.450,26.050,-0.429,0.131
'[15:36:37.514 02/03/1995]',0.066,0.097,0.070,78.450,26.050,-0.429,0.131
'[15:36:37.516 02/03/1995]',0.068,0.096,0.072,78.450,26.050,-0.429,0.131
'[15:36:37.518 02/03/1995]',0.069,0.095,0.075,78.450,26.050,-0.429,0.131
'[15:36:37.520 02/03/1995]',0.070,0.095,0.078,78.550,26.175,-0.430,0.146
'[15:36:37.522 02/03/1995]',0.071,0.094,0.081,78.550,26.175,-0.430,0.146
'[15:36:37.524 02/03/1995]',0.072,0.095,0.085,78.550,26.175,-0.430,0.146
'[15:36:37.526 02/03/1995]',0.073,0.095,0.088,78.550,26.175,-0.430,0.146
'[15:36:37.528 02/03/1995]',0.075,0.096,0.090,78.850,26.250,-0.432,0.163
'[15:36:37.530 02/03/1995]',0.077,0.096,0.093,78.850,26.250,-0.432,0.163
'[15:36:37.532 02/03/1995]',0.079,0.097,0.096,78.850,26.250,-0.432,0.163
'[15:36:37.534 02/03/1995]',0.081,0.098,0.099,78.850,26.250,-0.432,0.163
'[15:36:37.536 02/03/1995]',0.083,0.099,0.101,79.500,26.050,-0.435,0.179
'[15:36:37.538 02/03/1995]',0.085,0.099,0.103,79.500,26.050,-0.435,0.179
'[15:36:37.540 02/03/1995]',0.086,0.099,0.105,79.500,26.050,-0.435,0.179
'[15:36:37.542 02/03/1995]',0.088,0.099,0.108,79.500,26.050,-0.435,0.179
'[15:36:37.544 02/03/1995]',0.090,0.100,0.111,80.500,25.775,-0.432,0.196
'[15:36:37.546 02/03/1995]',0.092,0.101,0.114,80.500,25.775,-0.432,0.196
'[15:36:37.548 02/03/1995]',0.094,0.102,0.118,80.500,25.775,-0.432,0.196
'[15:36:37.550 02/03/1995]',0.096,0.103,0.122,80.500,25.775,-0.432,0.196
'[15:36:37.552 02/03/1995]',0.098,0.102,0.125,82.050,25.775,-0.430,0.212
'[15:36:37.554 02/03/1995]',0.100,0.102,0.128,82.050,25.775,-0.430,0.212
'[15:36:37.556 02/03/1995]',0.103,0.102,0.131,82.050,25.775,-0.430,0.212
'[15:36:37.558 02/03/1995]',0.106,0.102,0.133,82.050,25.775,-0.430,0.212
