'Time and date','V','II','V','ABP','PAP','PLETH','RESP'
'[07:23:54.126 15/12/1995]',0.002,0.024,0.001,46.887,38.400,0.000,-0.594
'[07:23:54.128 15/12/1995]',0.003,0.025,0.001,47.187,38.550,0.000,-0.593
'[07:23:54.130 15/12/1995]',0.003,0.025,0.001,47.187,38.550,0.000,-0.593
'[07:23:54.132 15/12/1995]',0.004,0.027,-0.005,47.187,38.550,0.000,-0.593
'[07:23:54.134 15/12/1995]',0.004,0.028,-0.005,47.187,38.550,0.000,-0.593
'[07:23:54.136 15/12/1995]',0.004,0.029,-0.023,47.562,38.650,0.000,-0.590
'[07:23:54.138 15/12/1995]',0.004,0.031,-0.005,47.562,38.650,0.000,-0.590
'[07:23:54.140 15/12/1995]',0.004,0.030,-0.005,47.562,38.650,0.000,-0.590
'[07:23:54.142 15/12/1995]',0.004,0.030,0.001,47.562,38.650,0.000,-0.590
'[07:23:54.144 15/12/1995]',0.004,0.029,0.001,47.787,38.550,0.000,-0.587
'[07:23:54.146 15/12/1995]',0.004,0.027,0.001,47.787,38.550,0.000,-0.587
'[07:23:54.148 15/12/1995]',0.004,0.026,-0.005,47.787,38.550,0.000,-0.587
'[07:23:54.150 15/12/1995]',0.004,0.025,-0.005,47.787,38.550,0.000,-0.587
'[07:23:54.152 15/12/1995]',0.004,0.025,-0.011,48.087,38.450,0.000,-0.582
'[07:23:54.154 15/12/1995]',0.004,0.025,-0.011,48.087,38.450,0.000,-0.582
'[07:23:54.156 15/12/1995]',0.004,0.027,-0.005,48.087,38.450,0.000,-0.582
'[07:23:54.158 15/12/1995]',0.004,0.028,-0.005,48.087,38.450,0.000,-0.582
'[07:23:54.160 15/12/1995]',0.004,0.032,0.001,48.237,38.150,0.000,-0.578
'[07:23:54.162 15/12/1995]',0.004,0.036,0.001,48.237,38.150,0.000,-0.578
'[07:23:54.164 15/12/1995]',0.003,0.041,-0.005,48.237,38.150,0.000,-0.578
'[07:23:54.166 15/12/1995]',0.003,0.047,-0.011,48.237,38.150,0.000,-0.578
'[07:23:54.168 15/12/1995]',0.003,0.052,-0.011,48.237,37.750,0.000,-0.574
'[07:23:54.170 15/12/1995]',0.002,0.058,-0.011,48.237,37.750,0.000,-0.574
'[07:23:54.172 15/12/1995]',0.002,0.063,-0.005,48.237,37.750,0.000,-0.574
'[07:23:54.174 15/12/1995]',0.002,0.069,-0.005,48.237,37.750,0.000,-0.574
'[07:23:54.176 15/12/1995]',0.002,0.073,-0.005,48.087,37.200,0.000,-0.570
'[07:23:54.178 15/12/1995]',0.002,0.077,-0.005,48.087,37.200,0.000,-0.570
'[07:23:54.180 15/12/1995]',0.002,0.080,-0.005,48.087,37.200,0.000,-0.570
'[07:23:54.182 15/12/1995]',0.002,0.082,-0.005,48.087,37.200,0.000,-0.570
'[07:23:54.184 15/12/1995]',0.001,0.085,-0.005,47.787,36.500,0.000,-0.567
'[07:23:54.186 15/12/1995]',0.001,0.087,-0.011,47.787,36.500,0.000,-0.567
'[07:23:54.188 15/12/1995]',0.000,0.090,-0.011,47.787,36.500,0.000,-0.567
'[07:23:54.190 15/12/1995]',-0.001,0.093,-0.011,47.787,36.500,0.000,-0.567
'[07:23:54.192 15/12/1995]',-0.003,0.096,-0.011,47.562,35.800,0.000,-0.564
'[07:23:54.194 15/12/1995]',-0.006,0.099,-0.023,47.562,35.800,0.000,-0.564
'[07:23:54.196 15/12/1995]',-0.009,0.103,-0.023,47.562,35.800,0.000,-0.564
'[07:23:54.198 15/12/1995]',-0.012,0.106,-0.028,47.562,35.800,0.000,-0.564
'[07:23:54.200 15/12/1995]',-0.015,0.107,-0.028,47.187,35.000,0.000,-0.560
'[07:23:54.202 15/12/1995]',-0.018,0.108,-0.046,47.187,35.000,0.000,-0.560
'[07:23:54.204 15/12/1995]',-0.020,0.107,-0.046,47.187,35.000,0.000,-0.560
'[07:23:54.206 15/12/1995]',-0.022,0.105,-0.028,47.187,35.000,0.000,-0.560
'[07:23:54.208 15/12/1995]',-0.023,0.102,-0.028,46.737,34.050,0.000,-0.557
'[07:23:54.210 15/12/1995]',-0.025,0.099,-0.023,46.737,34.050,0.000,-0.557
'[07:23:54.212 15/12/1995]',-0.025,0.096,-0.028,46.737,34.050,0.000,-0.557
'[07:23:54.214 15/12/1995]',-0.026,0.094,-0.028,46.737,34.050,0.000,-0.557
'[07:23:54.216 15/12/1995]',-0.026,0.093,-0.034,46.212,33.200,0.000,-0.553
'[07:23:54.218 15/12/1995]',-0.027,0.092,-0.052,46.212,33.200,0.000,-0.553
'[07:23:54.220 15/12/1995]',-0.028,0.092,-0.046,46.212,33.200,0.000,-0.553
'[07:23:54.222 15/12/1995]',-0.029,0.092,-0.046,46.212,33.200,0.000,-0.553
'[07:23:54.224 15/12/1995]',-0.030,0.092,-0.034,45.686,32.400,0.000,-0.548
'[07:23:54.226 15/12/1995]',-0.030,0.093,-0.034,45.686,32.400,0.000,-0.548
'[07:23:54.228 15/12/1995]',-0.029,0.093,-0.028,45.686,32.400,0.000,-0.548
'[07:23:54.230 15/12/1995]',-0.029,0.094,-0.034,45.686,32.400,0.000,-0.548
'[07:23:54.232 15/12/1995]',-0.027,0.092,-0.046,45.161,31.750,0.000,-0.543
'[07:23:54.234 15/12/1995]',-0.026,0.090,-0.034,45.161,31.750,0.000,-0.543
'[07:23:54.236 15/12/1995]',-0.024,0.086,-0.046,45.161,31.750,0.000,-0.543
'[07:23:54.238 15/12/1995]',-0.022,0.082,-0.028,45.161,31.750,0.000,-0.543
'[07:23:54.240 15/12/1995]',-0.019,0.077,-0.023,44.561,31.250,0.000,-0.538
'[07:23:54.242 15/12/1995]',-0.016,0.072,-0.011,44.561,31.250,0.000,-0.538
'[07:23:54.244 15/12/1995]',-0.013,0.067,-0.005,44.561,31.250,0.000,-0.538
'[07:23:54.246 15/12/1995]',-0.010,0.061,-0.005,44.561,31.250,0.000,-0.538
'[07:23:54.248 15/12/1995]',-0.007,0.055,-0.005,44.036,30.850,0.000,-0.532
'[07:23:54.250 15/12/1995]',-0.004,0.049,-0.011,44.036,30.850,0.000,-0.532
'[07:23:54.252 15/12/1995]',-0.001,0.043,-0.005,44.036,30.850,0.000,-0.532
'[07:23:54.254 15/12/1995]',0.001,0.038,-0.005,44.036,30.850,0.000,-0.532
'[07:23:54.256 15/12/1995]',0.003,0.033,-0.005,43.511,30.600,0.000,-0.525
'[07:23:54.258 15/12/1995]',0.004,0.027,0.001,43.511,30.600,0.000,-0.525
'[07:23:54.260 15/12/1995]',0.005,0.021,0.001,43.511,30.600,0.000,-0.525
'[07:23:54.262 15/12/1995]',0.006,0.014,0.001,43.511,30.600,0.000,-0.525
'[07:23:54.264 15/12/1995]',0.007,0.007,0.001,42.911,30.450,0.000,-0.517
'[07:23:54.266 15/12/1995]',0.007,0.000,0.001,42.911,30.450,0.000,-0.517
'[07:23:54.268 15/12/1995]',0.008,-0.006,-0.005,42.911,30.450,0.000,-0.517
'[07:23:54.270 15/12/1995]',0.008,-0.011,0.001,42.911,30.450,0.000,-0.517
'[07:23:54.272 15/12/1995]',0.009,-0.016,0.001,42.311,30.250,0.000,-0.508
'[07:23:54.274 15/12/1995]',0.009,-0.021,0.006,42.311,30.250,0.000,-0.508
'[07:23:54.276 15/12/1995]',0.011,-0.025,0.012,42.311,30.250,0.000,-0.508
'[07:23:54.278 15/12/1995]',0.012,-0.029,0.012,42.311,30.250,0.000,-0.508
'[07:23:54.280 15/12/1995]',0.013,-0.031,0.012,41.785,30.100,0.000,-0.499
'[07:23:54.282 15/12/1995]',0.013,-0.032,0.006,41.785,30.100,0.000,-0.499
'[07:23:54.284 15/12/1995]',0.014,-0.032,0.006,41.785,30.100,0.000,-0.499
'[07:23:54.286 15/12/1995]',0.015,-0.033,0.006,41.785,30.100,0.000,-0.499
'[07:23:54.288 15/12/1995]',0.015,-0.032,0.006,41.260,29.900,0.000,-0.488
'[07:23:54.290 15/12/1995]',0.015,-0.031,0.006,41.260,29.900,0.000,-0.488
'[07:23:54.292 15/12/1995]',0.015,-0.031,0.012,41.260,29.900,0.000,-0.488
'[07:23:54.294 15/12/1995]',0.015,-0.030,0.012,41.260,29.900,0.000,-0.488
'[07:23:54.296 15/12/1995]',0.014,-0.029,0.012,40.810,29.700,0.000,-0.477
'[07:23:54.298 15/12/1995]',0.013,-0.028,0.006,40.810,29.700,0.000,-0.477
'[07:23:54.300 15/12/1995]',0.013,-0.029,0.001,40.810,29.700,0.000,-0.477
'[07:23:54.302 15/12/1995]',0.013,-0.029,0.001,40.810,29.700,0.000,-0.477
'[07:23:54.304 15/12/1995]',0.013,-0.030,0.006,40.285,29.650,0.000,-0.464
'[07:23:54.306 15/12/1995]',0.013,-0.031,0.006,40.285,29.650,0.000,-0.464
'[07:23:54.308 15/12/1995]',0.013,-0.033,0.012,40.285,29.650,0.000,-0.464
'[07:23:54.310 15/12/1995]',0.013,-0.034,0.012,40.285,29.650,0.000,-0.464
'[07:23:54.312 15/12/1995]',0.014,-0.035,0.012,39.835,29.700,0.000,-0.451
'[07:23:54.314 15/12/1995]',0.015,-0.037,0.012,39.835,29.700,0.000,-0.451
'[07:23:54.316 15/12/1995]',0.015,-0.035,0.006,39.835,29.700,0.000,-0.451
'[07:23:54.318 15/12/1995]',0.016,-0.034,0.006,39.835,29.700,0.000,-0.451
'[07:23:54.320 15/12/1995]',0.017,-0.031,0.006,39.460,29.900,0.000,-0.436
'[07:23:54.322 15/12/1995]',0.018,-0.027,0.012,39.460,29.900,0.000,-0.436
'[07:23:54.324 15/12/1995]',0.019,-0.021,0.023,39.460,29.900,0.000,-0.436
'[07:23:54.326 15/12/1995]',0.020,-0.016,0.029,39.460,29.900,0.000,-0.436
'[07:23:54.328 15/12/1995]',0.019,-0.008,0.029,39.160,30.100,0.000,-0.423
'[07:23:54.330 15/12/1995]',0.019,-0.001,0.023,39.160,30.100,0.000,-0.423
'[07:23:54.332 15/12/1995]',0.013,0.012,0.006,39.160,30.100,0.000,-0.423
'[07:23:54.334 15/12/1995]',0.007,0.024,-0.011,39.160,30.100,0.000,-0.423
'[07:23:54.336 15/12/1995]',-0.005,0.044,-0.046,38.935,30.200,0.000,-0.410
'[07:23:54.338 15/12/1995]',-0.018,0.064,-0.063,38.935,30.200,0.000,-0.410
'[07:23:54.340 15/12/1995]',-0.039,0.092,-0.092,38.935,30.200,0.000,-0.410
'[07:23:54.342 15/12/1995]',-0.060,0.119,-0.115,38.935,30.200,0.000,-0.410
'[07:23:54.344 15/12/1995]',-0.086,0.151,-0.138,38.785,30.200,0.000,-0.398
'[07:23:54.346 15/12/1995]',-0.112,0.184,-0.178,38.785,30.200,0.000,-0.398
'[07:23:54.348 15/12/1995]',-0.139,0.217,-0.213,38.785,30.200,0.000,-0.398
'[07:23:54.350 15/12/1995]',-0.166,0.251,-0.242,38.785,30.200,0.000,-0.398
'[07:23:54.352 15/12/1995]',-0.189,0.278,-0.259,38.635,30.200,0.000,-0.386
'[07:23:54.354 15/12/1995]',-0.213,0.306,-0.276,38.635,30.200,0.000,-0.386
'[07:23:54.356 15/12/1995]',-0.229,0.321,-0.276,38.635,30.200,0.000,-0.386
'[07:23:54.358 15/12/1995]',-0.246,0.336,-0.282,38.635,30.200,0.000,-0.386
'[07:23:54.360 15/12/1995]',-0.254,0.334,-0.276,38.560,30.100,0.000,-0.374
'[07:23:54.362 15/12/1995]',-0.263,0.332,-0.276,38.560,30.100,0.000,-0.374
'[07:23:54.364 15/12/1995]',-0.261,0.312,-0.276,38.560,30.100,0.000,-0.374
'[07:23:54.366 15/12/1995]',-0.260,0.291,-0.276,38.560,30.100,0.000,-0.374
'[07:23:54.368 15/12/1995]',-0.249,0.257,-0.253,38.485,29.800,0.000,-0.363
'[07:23:54.370 15/12/1995]',-0.239,0.222,-0.213,38.485,29.800,0.000,-0.363
'[07:23:54.372 15/12/1995]',-0.221,0.180,-0.190,38.485,29.800,0.000,-0.363
'[07:23:54.374 15/12/1995]',-0.202,0.138,-0.155,38.485,29.800,0.000,-0.363
'[07:23:54.376 15/12/1995]',-0.180,0.098,-0.126,38.410,29.450,0.000,-0.351
'[07:23:54.378 15/12/1995]',-0.157,0.058,-0.098,38.410,29.450,0.000,-0.351
'[07:23:54.380 15/12/1995]',-0.133,0.024,-0.075,38.410,29.450,0.000,-0.351
'[07:23:54.382 15/12/1995]',-0.109,-0.009,-0.069,38.410,29.450,0.000,-0.351
'[07:23:54.384 15/12/1995]',-0.088,-0.036,-0.052,38.335,29.150,0.000,-0.342
'[07:23:54.386 15/12/1995]',-0.066,-0.063,-0.034,38.335,29.150,0.000,-0.342
'[07:23:54.388 15/12/1995]',-0.049,-0.085,-0.023,38.335,29.150,0.000,-0.342
'[07:23:54.390 15/12/1995]',-0.032,-0.108,-0.005,38.335,29.150,0.000,-0.342
'[07:23:54.392 15/12/1995]',-0.018,-0.127,0.006,38.260,28.900,0.000,-0.336
'[07:23:54.394 15/12/1995]',-0.004,-0.147,0.023,38.260,28.900,0.000,-0.336
'[07:23:54.396 15/12/1995]',0.006,-0.162,0.029,38.260,28.900,0.000,-0.336
'[07:23:54.398 15/12/1995]',0.016,-0.178,0.029,38.260,28.900,0.000,-0.336
'[07:23:54.400 15/12/1995]',0.023,-0.186,0.023,38.185,28.950,0.000,-0.332
'[07:23:54.402 15/12/1995]',0.030,-0.195,0.029,38.185,28.950,0.000,-0.332
'[07:23:54.404 15/12/1995]',0.035,-0.197,0.029,38.185,28.950,0.000,-0.332
'[07:23:54.406 15/12/1995]',0.039,-0.198,0.047,38.185,28.950,0.000,-0.332
'[07:23:54.408 15/12/1995]',0.042,-0.194,0.047,37.959,29.500,0.000,-0.331
'[07:23:54.410 15/12/1995]',0.044,-0.189,0.047,37.959,29.500,0.000,-0.331
'[07:23:54.412 15/12/1995]',0.045,-0.181,0.047,37.959,29.500,0.000,-0.331
'[07:23:54.414 15/12/1995]',0.046,-0.172,0.047,37.959,29.500,0.000,-0.331
'[07:23:54.416 15/12/1995]',0.047,-0.161,0.035,37.734,30.600,0.000,-0.333
'[07:23:54.418 15/12/1995]',0.047,-0.150,0.035,37.734,30.600,0.000,-0.333
'[07:23:54.420 15/12/1995]',0.048,-0.138,0.035,37.734,30.600,0.000,-0.333
'[07:23:54.422 15/12/1995]',0.048,-0.127,0.035,37.734,30.600,0.000,-0.333
'[07:23:54.424 15/12/1995]',0.049,-0.115,0.047,37.434,32.200,0.000,-0.340
'[07:23:54.426 15/12/1995]',0.049,-0.104,0.052,37.434,32.200,0.000,-0.340
'[07:23:54.428 15/12/1995]',0.050,-0.094,0.052,37.434,32.200,0.000,-0.340
'[07:23:54.430 15/12/1995]',0.051,-0.084,0.052,37.434,32.200,0.000,-0.340
'[07:23:54.432 15/12/1995]',0.052,-0.077,0.047,37.134,33.900,0.000,-0.349
'[07:23:54.434 15/12/1995]',0.053,-0.069,0.047,37.134,33.900,0.000,-0.349
'[07:23:54.436 15/12/1995]',0.054,-0.065,0.035,37.134,33.900,0.000,-0.349
'[07:23:54.438 15/12/1995]',0.055,-0.060,0.035,37.134,33.900,0.000,-0.349
'[07:23:54.440 15/12/1995]',0.055,-0.058,0.035,36.834,35.450,0.000,-0.363
'[07:23:54.442 15/12/1995]',0.054,-0.055,0.035,36.834,35.450,0.000,-0.363
'[07:23:54.444 15/12/1995]',0.052,-0.054,0.047,36.834,35.450,0.000,-0.363
'[07:23:54.446 15/12/1995]',0.051,-0.053,0.047,36.834,35.450,0.000,-0.363
'[07:23:54.448 15/12/1995]',0.050,-0.051,0.035,36.534,36.700,0.000,-0.380
'[07:23:54.450 15/12/1995]',0.048,-0.050,0.029,36.534,36.700,0.000,-0.380
'[07:23:54.452 15/12/1995]',0.047,-0.050,0.035,36.534,36.700,0.000,-0.380
'[07:23:54.454 15/12/1995]',0.046,-0.050,0.035,36.534,36.700,0.000,-0.380
'[07:23:54.456 15/12/1995]',0.045,-0.050,0.035,36.234,37.200,0.000,-0.399
'[07:23:54.458 15/12/1995]',0.044,-0.050,0.047,36.234,37.200,0.000,-0.399
'[07:23:54.460 15/12/1995]',0.044,-0.048,0.035,36.234,37.200,0.000,-0.399
'[07:23:54.462 15/12/1995]',0.044,-0.047,0.035,36.234,37.200,0.000,-0.399
'[07:23:54.464 15/12/1995]',0.044,-0.046,0.035,35.934,37.150,0.000,-0.421
'[07:23:54.466 15/12/1995]',0.044,-0.044,0.035,35.934,37.150,0.000,-0.421
'[07:23:54.468 15/12/1995]',0.043,-0.042,0.029,35.934,37.150,0.000,-0.421
'[07:23:54.470 15/12/1995]',0.043,-0.040,0.035,35.934,37.150,0.000,-0.421
'[07:23:54.472 15/12/1995]',0.043,-0.038,0.047,35.559,37.000,0.000,-0.446
'[07:23:54.474 15/12/1995]',0.044,-0.036,0.047,35.559,37.000,0.000,-0.446
'[07:23:54.476 15/12/1995]',0.043,-0.033,0.047,35.559,37.000,0.000,-0.446
'[07:23:54.478 15/12/1995]',0.043,-0.031,0.035,35.559,37.000,0.000,-0.446
'[07:23:54.480 15/12/1995]',0.042,-0.029,0.035,35.259,37.050,0.000,-0.471
'[07:23:54.482 15/12/1995]',0.042,-0.027,0.029,35.259,37.050,0.000,-0.471
'[07:23:54.484 15/12/1995]',0.040,-0.026,0.023,35.259,37.050,0.000,-0.471
'[07:23:54.486 15/12/1995]',0.039,-0.024,0.023,35.259,37.050,0.000,-0.471
'[07:23:54.488 15/12/1995]',0.038,-0.024,0.023,34.959,37.100,0.000,-0.498
'[07:23:54.490 15/12/1995]',0.037,-0.023,0.029,34.959,37.100,0.000,-0.498
'[07:23:54.492 15/12/1995]',0.037,-0.023,0.035,34.959,37.100,0.000,-0.498
'[07:23:54.494 15/12/1995]',0.036,-0.022,0.035,34.959,37.100,0.000,-0.498
'[07:23:54.496 15/12/1995]',0.036,-0.023,0.035,34.959,37.200,0.000,-0.525
'[07:23:54.498 15/12/1995]',0.036,-0.023,0.029,34.959,37.200,0.000,-0.525
'[07:23:54.500 15/12/1995]',0.037,-0.023,0.029,34.959,37.200,0.000,-0.525
'[07:23:54.502 15/12/1995]',0.038,-0.023,0.029,34.959,37.200,0.000,-0.525
'[07:23:54.504 15/12/1995]',0.040,-0.023,0.035,35.484,37.600,0.000,-0.552
'[07:23:54.506 15/12/1995]',0.042,-0.023,0.035,35.484,37.600,0.000,-0.552
'[07:23:54.508 15/12/1995]',0.043,-0.022,0.047,35.484,37.600,0.000,-0.552
'[07:23:54.510 15/12/1995]',0.044,-0.021,0.047,35.484,37.600,0.000,-0.552
'[07:23:54.512 15/12/1995]',0.044,-0.019,0.047,37.659,38.150,0.000,-0.580
'[07:23:54.514 15/12/1995]',0.044,-0.016,0.035,37.659,38.150,0.000,-0.580
'[07:23:54.516 15/12/1995]',0.042,-0.012,0.029,37.659,38.150,0.000,-0.580
'[07:23:54.518 15/12/1995]',0.041,-0.008,0.023,37.659,38.150,0.000,-0.580
'[07:23:54.520 15/12/1995]',0.039,-0.005,0.023,42.986,39.050,0.000,-0.604
'[07:23:54.522 15/12/1995]',0.037,-0.002,0.023,42.986,39.050,0.000,-0.604
'[07:23:54.524 15/12/1995]',0.036,-0.001,0.023,42.986,39.050,0.000,-0.604
'[07:23:54.526 15/12/1995]',0.034,0.001,0.023,42.986,39.050,0.000,-0.604
'[07:23:54.528 15/12/1995]',0.033,0.002,0.029,53.188,39.900,0.000,-0.627
'[07:23:54.530 15/12/1995]',0.032,0.003,0.029,53.188,39.900,0.000,-0.627
'[07:23:54.532 15/12/1995]',0.031,0.004,0.023,53.188,39.900,0.000,-0.627
'[07:23:54.534 15/12/1995]',0.030,0.005,0.012,53.188,39.900,0.000,-0.627
'[07:23:54.536 15/12/1995]',0.029,0.008,0.012,68.492,40.900,0.000,-0.648
'[07:23:54.538 15/12/1995]',0.028,0.010,0.012,68.492,40.900,0.000,-0.648
'[07:23:54.540 15/12/1995]',0.027,0.012,0.023,68.492,40.900,0.000,-0.648
'[07:23:54.542 15/12/1995]',0.026,0.014,0.023,68.492,40.900,0.000,-0.648
'[07:23:54.544 15/12/1995]',0.026,0.016,0.023,86.947,42.050,0.000,-0.668
'[07:23:54.546 15/12/1995]',0.026,0.018,0.023,86.947,42.050,0.000,-0.668
'[07:23:54.548 15/12/1995]',0.026,0.018,0.023,86.947,42.050,0.000,-0.668
'[07:23:54.550 15/12/1995]',0.026,0.019,0.012,86.947,42.050,0.000,-0.668
'[07:23:54.552 15/12/1995]',0.027,0.019,0.006,105.026,43.250,0.000,-0.685
'[07:23:54.554 15/12/1995]',0.027,0.020,0.006,105.026,43.250,0.000,-0.685
'[07:23:54.556 15/12/1995]',0.028,0.019,0.012,105.026,43.250,0.000,-0.685
'[07:23:54.558 15/12/1995]',0.028,0.019,0.023,105.026,43.250,0.000,-0.685
'[07:23:54.560 15/12/1995]',0.028,0.019,0.023,118.680,44.700,0.000,-0.700
'[07:23:54.562 15/12/1995]',0.029,0.020,0.029,118.680,44.700,0.000,-0.700
'[07:23:54.564 15/12/1995]',0.029,0.021,0.023,118.680,44.700,0.000,-0.700
'[07:23:54.566 15/12/1995]',0.029,0.021,0.012,118.680,44.700,0.000,-0.700
'[07:23:54.568 15/12/1995]',0.029,0.022,0.012,125.806,46.250,0.000,-0.713
'[07:23:54.570 15/12/1995]',0.029,0.022,0.006,125.806,46.250,0.000,-0.713
'[07:23:54.572 15/12/1995]',0.030,0.022,0.012,125.806,46.250,0.000,-0.713
'[07:23:54.574 15/12/1995]',0.030,0.022,0.023,125.806,46.250,0.000,-0.713
'[07:23:54.576 15/12/1995]',0.030,0.022,0.029,126.332,47.750,0.000,-0.724
'[07:23:54.578 15/12/1995]',0.030,0.022,0.029,126.332,47.750,0.000,-0.724
'[07:23:54.580 15/12/1995]',0.029,0.022,0.023,126.332,47.750,0.000,-0.724
'[07:23:54.582 15/12/1995]',0.028,0.022,0.012,126.332,47.750,0.000,-0.724
'[07:23:54.584 15/12/1995]',0.027,0.023,0.012,122.581,49.100,0.000,-0.731
'[07:23:54.586 15/12/1995]',0.025,0.023,0.012,122.581,49.100,0.000,-0.731
'[07:23:54.588 15/12/1995]',0.024,0.024,0.006,122.581,49.100,0.000,-0.731
'[07:23:54.590 15/12/1995]',0.022,0.024,0.006,122.581,49.100,0.000,-0.731
'[07:23:54.592 15/12/1995]',0.020,0.025,0.012,116.729,50.250,0.000,-0.736
'[07:23:54.594 15/12/1995]',0.018,0.025,0.012,116.729,50.250,0.000,-0.736
'[07:23:54.596 15/12/1995]',0.016,0.025,0.012,116.729,50.250,0.000,-0.736
'[07:23:54.598 15/12/1995]',0.015,0.025,0.006,116.729,50.250,0.000,-0.736
'[07:23:54.600 15/12/1995]',0.015,0.025,0.006,110.878,50.950,0.000,-0.739
'[07:23:54.602 15/12/1995]',0.014,0.025,0.001,110.878,50.950,0.000,-0.739
'[07:23:54.604 15/12/1995]',0.014,0.026,0.001,110.878,50.950,0.000,-0.739
'[07:23:54.606 15/12/1995]',0.013,0.027,0.006,110.878,50.950,0.000,-0.739
'[07:23:54.608 15/12/1995]',0.013,0.028,0.006,105.701,51.300,0.000,-0.739
'[07:23:54.610 15/12/1995]',0.013,0.029,0.023,105.701,51.300,0.000,-0.739
'[07:23:54.612 15/12/1995]',0.014,0.029,0.012,105.701,51.300,0.000,-0.739
'[07:23:54.614 15/12/1995]',0.015,0.028,0.012,105.701,51.300,0.000,-0.739
'[07:23:54.616 15/12/1995]',0.015,0.026,0.006,101.125,51.350,0.000,-0.738
'[07:23:54.618 15/12/1995]',0.015,0.024,0.001,101.125,51.350,0.000,-0.738
'[07:23:54.620 15/12/1995]',0.014,0.023,0.001,101.125,51.350,0.000,-0.738
'[07:23:54.622 15/12/1995]',0.013,0.021,0.006,101.125,51.350,0.000,-0.738
'[07:23:54.624 15/12/1995]',0.013,0.019,0.006,97.074,51.150,0.000,-0.735
'[07:23:54.626 15/12/1995]',0.012,0.017,0.006,97.074,51.150,0.000,-0.735
'[07:23:54.628 15/12/1995]',0.012,0.015,0.012,97.074,51.150,0.000,-0.735
'[07:23:54.630 15/12/1995]',0.011,0.013,0.006,97.074,51.150,0.000,-0.735
'[07:23:54.632 15/12/1995]',0.012,0.011,0.006,93.398,50.800,0.000,-0.731
'[07:23:54.634 15/12/1995]',0.012,0.009,0.006,93.398,50.800,0.000,-0.731
'[07:23:54.636 15/12/1995]',0.014,0.007,0.006,93.398,50.800,0.000,-0.731
'[07:23:54.638 15/12/1995]',0.015,0.005,0.006,93.398,50.800,0.000,-0.731
'[07:23:54.640 15/12/1995]',0.016,0.003,0.012,90.248,50.300,0.000,-0.726
'[07:23:54.642 15/12/1995]',0.018,0.001,0.012,90.248,50.300,0.000,-0.726
'[07:23:54.644 15/12/1995]',0.018,-0.001,0.023,90.248,50.300,0.000,-0.726
'[07:23:54.646 15/12/1995]',0.019,-0.003,0.012,90.248,50.300,0.000,-0.726
'[07:23:54.648 15/12/1995]',0.020,-0.005,0.012,87.622,49.650,0.000,-0.723
'[07:23:54.650 15/12/1995]',0.021,-0.006,0.006,87.622,49.650,0.000,-0.723
'[07:23:54.652 15/12/1995]',0.021,-0.006,0.012,87.622,49.650,0.000,-0.723
'[07:23:54.654 15/12/1995]',0.021,-0.006,0.012,87.622,49.650,0.000,-0.723
'[07:23:54.656 15/12/1995]',0.021,-0.006,0.012,85.371,48.850,0.000,-0.720
'[07:23:54.658 15/12/1995]',0.021,-0.005,0.023,85.371,48.850,0.000,-0.720
'[07:23:54.660 15/12/1995]',0.021,-0.005,0.023,85.371,48.850,0.000,-0.720
'[07:23:54.662 15/12/1995]',0.021,-0.005,0.023,85.371,48.850,0.000,-0.720
'[07:23:54.664 15/12/1995]',0.021,-0.005,0.012,83.646,47.900,0.000,-0.717
'[07:23:54.666 15/12/1995]',0.021,-0.005,0.012,83.646,47.900,0.000,-0.717
'[07:23:54.668 15/12/1995]',0.021,-0.004,0.006,83.646,47.900,0.000,-0.717
'[07:23:54.670 15/12/1995]',0.021,-0.003,0.012,83.646,47.900,0.000,-0.717
'[07:23:54.672 15/12/1995]',0.021,-0.002,0.012,82.071,46.750,0.000,-0.715
'[07:23:54.674 15/12/1995]',0.021,0.000,0.023,82.071,46.750,0.000,-0.715
'[07:23:54.676 15/12/1995]',0.021,0.002,0.023,82.071,46.750,0.000,-0.715
'[07:23:54.678 15/12/1995]',0.021,0.003,0.012,82.071,46.750,0.000,-0.715
'[07:23:54.680 15/12/1995]',0.021,0.005,0.012,80.570,45.550,0.000,-0.714
'[07:23:54.682 15/12/1995]',0.020,0.006,0.006,80.570,45.550,0.000,-0.714
'[07:23:54.684 15/12/1995]',0.019,0.007,0.006,80.570,45.550,0.000,-0.714
'[07:23:54.686 15/12/1995]',0.019,0.008,0.006,80.570,45.550,0.000,-0.714
'[07:23:54.688 15/12/1995]',0.018,0.009,0.006,78.995,44.250,0.000,-0.713
'[07:23:54.690 15/12/1995]',0.017,0.009,0.012,78.995,44.250,0.000,-0.713
'[07:23:54.692 15/12/1995]',0.017,0.010,0.012,78.995,44.250,0.000,-0.713
'[07:23:54.694 15/12/1995]',0.017,0.011,0.012,78.995,44.250,0.000,-0.713
'[07:23:54.696 15/12/1995]',0.016,0.013,0.012,77.269,42.900,0.000,-0.712
'[07:23:54.698 15/12/1995]',0.016,0.014,0.006,77.269,42.900,0.000,-0.712
'[07:23:54.700 15/12/1995]',0.016,0.016,0.001,77.269,42.900,0.000,-0.712
'[07:23:54.702 15/12/1995]',0.015,0.017,0.001,77.269,42.900,0.000,-0.712
'[07:23:54.704 15/12/1995]',0.014,0.017,0.006,75.244,41.550,0.000,-0.712
'[07:23:54.706 15/12/1995]',0.013,0.018,0.001,75.244,41.550,0.000,-0.712
