'Time and date','I','MCL1','V','ABP','PAP','RESP'
'[12:45:38.284 22/05/1995]',-0.123,0.132,0.054,102.394,36.241,-0.751
'[12:45:38.286 22/05/1995]',-0.123,0.132,0.054,102.394,36.241,-0.751
'[12:45:38.288 22/05/1995]',-0.123,0.113,0.054,106.593,36.717,-0.752
'[12:45:38.290 22/05/1995]',-0.105,0.113,0.054,106.593,36.717,-0.752
'[12:45:38.292 22/05/1995]',-0.105,0.095,0.036,106.593,36.717,-0.752
'[12:45:38.294 22/05/1995]',-0.105,0.095,0.036,106.593,36.717,-0.752
'[12:45:38.296 22/05/1995]',-0.088,0.076,0.036,110.337,36.541,-0.752
'[12:45:38.298 22/05/1995]',-0.088,0.057,0.018,110.337,36.541,-0.752
'[12:45:38.300 22/05/1995]',-0.070,0.057,0.018,110.337,36.541,-0.752
'[12:45:38.302 22/05/1995]',-0.070,0.038,0.018,110.337,36.541,-0.752
'[12:45:38.304 22/05/1995]',-0.070,0.038,0.018,113.727,36.065,-0.753
'[12:45:38.306 22/05/1995]',-0.052,0.020,0.002,113.727,36.065,-0.753
'[12:45:38.308 22/05/1995]',-0.052,0.020,0.002,113.727,36.065,-0.753
'[12:45:38.310 22/05/1995]',-0.034,0.020,0.002,113.727,36.065,-0.753
'[12:45:38.312 22/05/1995]',-0.034,0.002,0.002,116.610,35.489,-0.753
'[12:45:38.314 22/05/1995]',-0.034,0.002,0.002,116.610,35.489,-0.753
'[12:45:38.316 22/05/1995]',-0.016,0.002,0.002,116.610,35.489,-0.753
'[12:45:38.318 22/05/1995]',-0.016,0.002,0.002,116.610,35.489,-0.753
'[12:45:38.320 22/05/1995]',-0.016,0.002,0.002,118.988,35.238,-0.752
'[12:45:38.322 22/05/1995]',0.002,0.002,0.002,118.988,35.238,-0.752
'[12:45:38.324 22/05/1995]',0.002,0.002,0.002,118.988,35.238,-0.752
'[12:45:38.326 22/05/1995]',0.002,-0.017,0.002,118.988,35.238,-0.752
'[12:45:38.328 22/05/1995]',0.002,-0.017,0.002,120.910,35.363,-0.750
'[12:45:38.330 22/05/1995]',0.002,-0.017,0.002,120.910,35.363,-0.750
'[12:45:38.332 22/05/1995]',0.002,-0.017,0.002,120.910,35.363,-0.750
'[12:45:38.334 22/05/1995]',0.002,-0.017,0.002,120.910,35.363,-0.750
'[12:45:38.336 22/05/1995]',0.002,-0.017,0.002,122.175,35.539,-0.749
'[12:45:38.338 22/05/1995]',0.002,-0.017,0.002,122.175,35.539,-0.749
'[12:45:38.340 22/05/1995]',0.002,-0.017,0.002,122.175,35.539,-0.749
'[12:45:38.342 22/05/1995]',0.002,-0.017,0.002,122.175,35.539,-0.749
'[12:45:38.344 22/05/1995]',0.002,-0.017,0.002,123.035,35.489,-0.746
'[12:45:38.346 22/05/1995]',0.002,-0.017,0.002,123.035,35.489,-0.746
'[12:45:38.348 22/05/1995]',0.002,-0.017,0.002,123.035,35.489,-0.746
'[12:45:38.350 22/05/1995]',0.002,-0.017,0.002,123.035,35.489,-0.746
'[12:45:38.352 22/05/1995]',0.002,-0.017,0.002,123.339,35.188,-0.744
'[12:45:38.354 22/05/1995]',0.002,-0.017,0.002,123.339,35.188,-0.744
'[12:45:38.356 22/05/1995]',0.019,-0.017,0.002,123.339,35.188,-0.744
'[12:45:38.358 22/05/1995]',0.019,-0.017,-0.016,123.339,35.188,-0.744
'[12:45:38.360 22/05/1995]',0.019,-0.017,-0.016,123.136,34.662,-0.741
'[12:45:38.362 22/05/1995]',0.019,-0.017,-0.016,123.136,34.662,-0.741
'[12:45:38.364 22/05/1995]',0.019,-0.017,-0.016,123.136,34.662,-0.741
'[12:45:38.366 22/05/1995]',0.019,-0.017,-0.016,123.136,34.662,-0.741
'[12:45:38.368 22/05/1995]',0.019,-0.017,-0.016,122.428,34.135,-0.739
'[12:45:38.370 22/05/1995]',0.019,-0.017,-0.016,122.428,34.135,-0.739
'[12:45:38.372 22/05/1995]',0.019,-0.017,-0.016,122.428,34.135,-0.739
'[12:45:38.374 22/05/1995]',0.019,-0.017,-0.016,122.428,34.135,-0.739
'[12:45:38.376 22/05/1995]',0.019,-0.017,-0.016,121.315,33.659,-0.736
'[12:45:38.378 22/05/1995]',0.019,-0.017,0.002,121.315,33.659,-0.736
'[12:45:38.380 22/05/1995]',0.019,0.002,-0.016,121.315,33.659,-0.736
'[12:45:38.382 22/05/1995]',0.019,-0.017,-0.016,121.315,33.659,-0.736
'[12:45:38.384 22/05/1995]',0.019,-0.017,-0.016,119.646,33.133,-0.732
'[12:45:38.386 22/05/1995]',0.019,-0.017,-0.016,119.646,33.133,-0.732
'[12:45:38.388 22/05/1995]',0.019,-0.017,-0.016,119.646,33.133,-0.732
'[12:45:38.390 22/05/1995]',0.019,-0.017,-0.016,119.646,33.133,-0.732
'[12:45:38.392 22/05/1995]',0.019,-0.017,-0.016,117.571,32.431,-0.728
'[12:45:38.394 22/05/1995]',0.019,-0.017,-0.016,117.571,32.431,-0.728
'[12:45:38.396 22/05/1995]',0.019,-0.017,-0.016,117.571,32.431,-0.728
'[12:45:38.398 22/05/1995]',0.019,-0.017,-0.016,117.571,32.431,-0.728
'[12:45:38.400 22/05/1995]',0.019,-0.017,-0.016,114.991,31.429,-0.724
'[12:45:38.402 22/05/1995]',0.019,-0.017,-0.016,114.991,31.429,-0.724
'[12:45:38.404 22/05/1995]',0.019,-0.017,-0.016,114.991,31.429,-0.724
'[12:45:38.406 22/05/1995]',0.002,0.002,-0.016,114.991,31.429,-0.724
'[12:45:38.408 22/05/1995]',0.019,0.002,-0.016,112.158,30.376,-0.719
'[12:45:38.410 22/05/1995]',0.002,0.002,-0.016,112.158,30.376,-0.719
'[12:45:38.412 22/05/1995]',0.002,0.002,-0.016,112.158,30.376,-0.719
'[12:45:38.414 22/05/1995]',0.002,0.002,-0.016,112.158,30.376,-0.719
'[12:45:38.416 22/05/1995]',0.002,0.002,-0.016,109.022,29.373,-0.715
'[12:45:38.418 22/05/1995]',0.019,0.002,-0.016,109.022,29.373,-0.715
'[12:45:38.420 22/05/1995]',0.019,0.002,-0.016,109.022,29.373,-0.715
'[12:45:38.422 22/05/1995]',0.002,0.002,0.002,109.022,29.373,-0.715
'[12:45:38.424 22/05/1995]',0.002,0.002,-0.016,105.885,28.672,-0.711
'[12:45:38.426 22/05/1995]',0.002,0.002,-0.016,105.885,28.672,-0.711
'[12:45:38.428 22/05/1995]',0.002,0.002,-0.016,105.885,28.672,-0.711
'[12:45:38.430 22/05/1995]',0.002,0.002,-0.016,105.885,28.672,-0.711
'[12:45:38.432 22/05/1995]',0.002,0.002,0.002,102.749,27.845,-0.707
'[12:45:38.434 22/05/1995]',0.002,0.002,-0.016,102.749,27.845,-0.707
'[12:45:38.436 22/05/1995]',0.002,0.002,-0.016,102.749,27.845,-0.707
'[12:45:38.438 22/05/1995]',0.002,0.002,-0.016,102.749,27.845,-0.707
'[12:45:38.440 22/05/1995]',0.002,0.002,0.002,99.916,26.792,-0.704
'[12:45:38.442 22/05/1995]',0.002,0.002,0.002,99.916,26.792,-0.704
'[12:45:38.444 22/05/1995]',0.002,0.002,0.002,99.916,26.792,-0.704
'[12:45:38.446 22/05/1995]',0.002,0.002,0.002,99.916,26.792,-0.704
'[12:45:38.448 22/05/1995]',0.002,0.002,0.002,97.285,26.441,-0.700
'[12:45:38.450 22/05/1995]',0.002,0.002,0.002,97.285,26.441,-0.700
'[12:45:38.452 22/05/1995]',0.002,0.002,0.002,97.285,26.441,-0.700
'[12:45:38.454 22/05/1995]',0.002,0.002,0.002,97.285,26.441,-0.700
'[12:45:38.456 22/05/1995]',0.002,0.002,0.002,95.059,27.669,-0.697
'[12:45:38.458 22/05/1995]',0.002,0.002,0.002,95.059,27.669,-0.697
'[12:45:38.460 22/05/1995]',0.002,0.002,0.002,95.059,27.669,-0.697
'[12:45:38.462 22/05/1995]',0.002,0.002,0.002,95.059,27.669,-0.697
'[12:45:38.464 22/05/1995]',0.002,0.002,0.002,93.086,29.248,-0.693
'[12:45:38.466 22/05/1995]',0.002,0.002,-0.016,93.086,29.248,-0.693
'[12:45:38.468 22/05/1995]',0.002,0.002,0.002,93.086,29.248,-0.693
'[12:45:38.470 22/05/1995]',0.002,0.002,0.002,93.086,29.248,-0.693
'[12:45:38.472 22/05/1995]',0.002,0.002,0.002,91.467,29.499,-0.690
'[12:45:38.474 22/05/1995]',0.002,0.002,0.002,91.467,29.499,-0.690
'[12:45:38.476 22/05/1995]',0.002,0.002,0.002,91.467,29.499,-0.690
'[12:45:38.478 22/05/1995]',0.002,0.002,-0.016,91.467,29.499,-0.690
'[12:45:38.480 22/05/1995]',0.002,0.002,-0.016,90.253,28.246,-0.685
'[12:45:38.482 22/05/1995]',0.002,0.002,0.002,90.253,28.246,-0.685
'[12:45:38.484 22/05/1995]',0.002,0.002,-0.016,90.253,28.246,-0.685
'[12:45:38.486 22/05/1995]',0.002,0.002,-0.016,90.253,28.246,-0.685
'[12:45:38.488 22/05/1995]',0.002,0.002,-0.016,89.443,26.491,-0.681
'[12:45:38.490 22/05/1995]',0.002,0.002,-0.016,89.443,26.491,-0.681
'[12:45:38.492 22/05/1995]',0.002,0.002,-0.016,89.443,26.491,-0.681
'[12:45:38.494 22/05/1995]',0.002,0.002,-0.016,89.443,26.491,-0.681
'[12:45:38.496 22/05/1995]',0.002,0.002,-0.016,89.241,25.088,-0.677
'[12:45:38.498 22/05/1995]',0.002,0.002,-0.016,89.241,25.088,-0.677
'[12:45:38.500 22/05/1995]',0.002,0.002,-0.016,89.241,25.088,-0.677
'[12:45:38.502 22/05/1995]',0.019,0.002,-0.016,89.241,25.088,-0.677
'[12:45:38.504 22/05/1995]',0.002,0.002,-0.016,89.595,24.662,-0.672
'[12:45:38.506 22/05/1995]',0.002,0.002,0.002,89.595,24.662,-0.672
'[12:45:38.508 22/05/1995]',0.002,0.002,-0.016,89.595,24.662,-0.672
'[12:45:38.510 22/05/1995]',0.002,0.002,-0.016,89.595,24.662,-0.672
'[12:45:38.512 22/05/1995]',0.019,0.002,0.002,90.405,25.439,-0.666
'[12:45:38.514 22/05/1995]',0.019,0.002,-0.016,90.405,25.439,-0.666
'[12:45:38.516 22/05/1995]',0.019,-0.017,-0.016,90.405,25.439,-0.666
'[12:45:38.518 22/05/1995]',0.019,-0.017,-0.016,90.405,25.439,-0.666
'[12:45:38.520 22/05/1995]',0.019,-0.017,-0.016,91.821,26.842,-0.659
'[12:45:38.522 22/05/1995]',0.019,-0.017,-0.016,91.821,26.842,-0.659
'[12:45:38.524 22/05/1995]',0.019,0.002,-0.016,91.821,26.842,-0.659
'[12:45:38.526 22/05/1995]',0.019,-0.017,-0.016,91.821,26.842,-0.659
'[12:45:38.528 22/05/1995]',0.019,-0.017,-0.016,93.895,27.970,-0.651
'[12:45:38.530 22/05/1995]',0.019,0.002,-0.016,93.895,27.970,-0.651
'[12:45:38.532 22/05/1995]',0.019,-0.017,-0.016,93.895,27.970,-0.651
'[12:45:38.534 22/05/1995]',0.019,-0.017,-0.016,93.895,27.970,-0.651
'[12:45:38.536 22/05/1995]',0.019,0.002,-0.016,96.577,27.895,-0.642
'[12:45:38.538 22/05/1995]',0.019,0.002,-0.016,96.577,27.895,-0.642
'[12:45:38.540 22/05/1995]',0.019,0.002,-0.016,96.577,27.895,-0.642
'[12:45:38.542 22/05/1995]',0.019,0.002,-0.016,96.577,27.895,-0.642
'[12:45:38.544 22/05/1995]',0.019,0.002,-0.016,99.764,26.541,-0.631
'[12:45:38.546 22/05/1995]',0.019,0.002,-0.016,99.764,26.541,-0.631
'[12:45:38.548 22/05/1995]',0.019,0.002,0.002,99.764,26.541,-0.631
'[12:45:38.550 22/05/1995]',0.019,0.002,0.002,99.764,26.541,-0.631
'[12:45:38.552 22/05/1995]',0.019,0.002,0.002,103.507,25.038,-0.620
'[12:45:38.554 22/05/1995]',0.019,0.002,0.002,103.507,25.038,-0.620
'[12:45:38.556 22/05/1995]',0.019,0.002,0.002,103.507,25.038,-0.620
'[12:45:38.558 22/05/1995]',0.019,0.002,0.002,103.507,25.038,-0.620
'[12:45:38.560 22/05/1995]',0.019,0.002,0.002,107.808,24.436,-0.606
'[12:45:38.562 22/05/1995]',0.019,0.002,0.002,107.808,24.436,-0.606
'[12:45:38.564 22/05/1995]',0.019,0.002,0.002,107.808,24.436,-0.606
'[12:45:38.566 22/05/1995]',0.019,0.002,0.002,107.808,24.436,-0.606
'[12:45:38.568 22/05/1995]',0.036,0.002,0.002,112.411,24.912,-0.592
'[12:45:38.570 22/05/1995]',0.036,0.002,0.002,112.411,24.912,-0.592
'[12:45:38.572 22/05/1995]',0.054,0.002,0.002,112.411,24.912,-0.592
'[12:45:38.574 22/05/1995]',0.054,-0.017,-0.016,112.411,24.912,-0.592
'[12:45:38.576 22/05/1995]',0.072,-0.036,-0.016,117.217,25.664,-0.576
'[12:45:38.578 22/05/1995]',0.072,-0.036,-0.034,117.217,25.664,-0.576
'[12:45:38.580 22/05/1995]',0.090,-0.055,-0.034,117.217,25.664,-0.576
'[12:45:38.582 22/05/1995]',0.090,-0.055,-0.034,117.217,25.664,-0.576
'[12:45:38.584 22/05/1995]',0.090,-0.073,-0.034,122.074,26.090,-0.559
'[12:45:38.586 22/05/1995]',0.090,-0.073,-0.051,122.074,26.090,-0.559
'[12:45:38.588 22/05/1995]',0.090,-0.092,-0.051,122.074,26.090,-0.559
'[12:45:38.590 22/05/1995]',0.090,-0.092,-0.051,122.074,26.090,-0.559
'[12:45:38.592 22/05/1995]',0.090,-0.092,-0.051,126.981,25.840,-0.542
'[12:45:38.594 22/05/1995]',0.090,-0.092,-0.051,126.981,25.840,-0.542
'[12:45:38.596 22/05/1995]',0.090,-0.092,-0.051,126.981,25.840,-0.542
'[12:45:38.598 22/05/1995]',0.090,-0.092,-0.034,126.981,25.840,-0.542
'[12:45:38.600 22/05/1995]',0.072,-0.073,-0.034,131.787,24.912,-0.524
'[12:45:38.602 22/05/1995]',0.072,-0.073,-0.034,131.787,24.912,-0.524
'[12:45:38.604 22/05/1995]',0.072,-0.073,-0.034,131.787,24.912,-0.524
'[12:45:38.606 22/05/1995]',0.072,-0.055,-0.034,131.787,24.912,-0.524
'[12:45:38.608 22/05/1995]',0.072,-0.073,-0.034,136.340,23.609,-0.504
'[12:45:38.610 22/05/1995]',0.072,-0.055,-0.034,136.340,23.609,-0.504
'[12:45:38.612 22/05/1995]',0.054,-0.073,-0.034,136.340,23.609,-0.504
'[12:45:38.614 22/05/1995]',0.054,-0.055,-0.016,136.340,23.609,-0.504
'[12:45:38.616 22/05/1995]',0.036,-0.036,-0.016,140.489,22.682,-0.483
'[12:45:38.618 22/05/1995]',0.036,-0.036,-0.016,140.489,22.682,-0.483
'[12:45:38.620 22/05/1995]',0.019,-0.036,-0.016,140.489,22.682,-0.483
'[12:45:38.622 22/05/1995]',0.019,-0.036,-0.016,140.489,22.682,-0.483
'[12:45:38.624 22/05/1995]',0.019,-0.036,-0.016,144.131,22.506,-0.462
'[12:45:38.626 22/05/1995]',0.019,-0.017,-0.016,144.131,22.506,-0.462
'[12:45:38.628 22/05/1995]',0.019,-0.017,-0.016,144.131,22.506,-0.462
'[12:45:38.630 22/05/1995]',0.019,-0.017,-0.016,144.131,22.506,-0.462
'[12:45:38.632 22/05/1995]',0.019,-0.017,-0.016,147.167,22.782,-0.439
'[12:45:38.634 22/05/1995]',0.019,-0.017,-0.016,147.167,22.782,-0.439
'[12:45:38.636 22/05/1995]',0.002,-0.017,-0.016,147.167,22.782,-0.439
'[12:45:38.638 22/05/1995]',0.019,-0.017,0.002,147.167,22.782,-0.439
'[12:45:38.640 22/05/1995]',0.002,-0.017,0.002,149.595,23.033,-0.415
'[12:45:38.642 22/05/1995]',0.002,-0.017,0.002,149.595,23.033,-0.415
'[12:45:38.644 22/05/1995]',0.002,-0.017,0.002,149.595,23.033,-0.415
'[12:45:38.646 22/05/1995]',0.002,-0.017,0.002,149.595,23.033,-0.415
'[12:45:38.648 22/05/1995]',0.002,-0.017,0.002,151.366,22.957,-0.392
'[12:45:38.650 22/05/1995]',0.002,-0.017,0.002,151.366,22.957,-0.392
'[12:45:38.652 22/05/1995]',0.002,-0.017,0.002,151.366,22.957,-0.392
'[12:45:38.654 22/05/1995]',0.002,-0.017,0.002,151.366,22.957,-0.392
'[12:45:38.656 22/05/1995]',0.002,-0.017,0.002,152.479,22.506,-0.368
'[12:45:38.658 22/05/1995]',0.002,-0.017,0.002,152.479,22.506,-0.368
'[12:45:38.660 22/05/1995]',0.002,-0.017,0.002,152.479,22.506,-0.368
'[12:45:38.662 22/05/1995]',0.002,-0.017,0.002,152.479,22.506,-0.368
'[12:45:38.664 22/05/1995]',0.002,-0.017,0.002,152.934,21.679,-0.344
'[12:45:38.666 22/05/1995]',0.002,-0.017,0.002,152.934,21.679,-0.344
'[12:45:38.668 22/05/1995]',0.002,-0.036,0.002,152.934,21.679,-0.344
'[12:45:38.670 22/05/1995]',0.002,-0.017,-0.016,152.934,21.679,-0.344
'[12:45:38.672 22/05/1995]',0.002,-0.017,0.002,152.833,20.802,-0.320
'[12:45:38.674 22/05/1995]',0.002,-0.017,0.002,152.833,20.802,-0.320
'[12:45:38.676 22/05/1995]',0.002,-0.017,0.002,152.833,20.802,-0.320
'[12:45:38.678 22/05/1995]',0.002,0.002,0.002,152.833,20.802,-0.320
'[12:45:38.680 22/05/1995]',-0.016,0.020,0.002,152.023,20.551,-0.294
'[12:45:38.682 22/05/1995]',-0.052,0.057,0.018,152.023,20.551,-0.294
'[12:45:38.684 22/05/1995]',-0.105,0.113,0.054,152.023,20.551,-0.294
'[12:45:38.686 22/05/1995]',-0.141,0.151,0.071,152.023,20.551,-0.294
'[12:45:38.688 22/05/1995]',-0.159,0.170,0.089,150.455,21.378,-0.269
'[12:45:38.690 22/05/1995]',-0.159,0.170,0.071,150.455,21.378,-0.269
'[12:45:38.692 22/05/1995]',-0.141,0.132,0.054,150.455,21.378,-0.269
'[12:45:38.694 22/05/1995]',-0.105,0.095,0.036,150.455,21.378,-0.269
'[12:45:38.696 22/05/1995]',-0.052,0.020,0.002,148.027,22.957,-0.244
'[12:45:38.698 22/05/1995]',0.002,-0.017,0.002,148.027,22.957,-0.244
'[12:45:38.700 22/05/1995]',0.054,-0.111,-0.051,148.027,22.957,-0.244
'[12:45:38.702 22/05/1995]',0.179,-0.242,-0.122,148.027,22.957,-0.244
'[12:45:38.704 22/05/1995]',0.303,-0.391,-0.192,144.738,23.910,-0.220
'[12:45:38.706 22/05/1995]',0.446,-0.559,-0.245,144.738,23.910,-0.220
'[12:45:38.708 22/05/1995]',0.606,-0.728,-0.297,144.738,23.910,-0.220
'[12:45:38.710 22/05/1995]',0.801,-0.952,-0.402,144.738,23.910,-0.220
'[12:45:38.712 22/05/1995]',1.032,-1.233,-0.507,140.438,22.907,-0.196
'[12:45:38.714 22/05/1995]',1.247,-1.494,-0.648,140.438,22.907,-0.196
'[12:45:38.716 22/05/1995]',1.353,-1.644,-0.718,140.438,22.907,-0.196
'[12:45:38.718 22/05/1995]',1.317,-1.644,-0.718,140.438,22.907,-0.196
'[12:45:38.720 22/05/1995]',1.211,-1.532,-0.683,135.177,20.100,-0.172
'[12:45:38.722 22/05/1995]',1.015,-1.327,-0.648,135.177,20.100,-0.172
'[12:45:38.724 22/05/1995]',0.766,-1.046,-0.560,135.177,20.100,-0.172
'[12:45:38.726 22/05/1995]',0.570,-0.784,-0.507,135.177,20.100,-0.172
'[12:45:38.728 22/05/1995]',0.410,-0.597,-0.455,128.954,17.444,-0.149
'[12:45:38.730 22/05/1995]',0.303,-0.485,-0.402,128.954,17.444,-0.149
'[12:45:38.732 22/05/1995]',0.233,-0.410,-0.350,128.954,17.444,-0.149
'[12:45:38.734 22/05/1995]',0.179,-0.354,-0.297,128.954,17.444,-0.149
'[12:45:38.736 22/05/1995]',0.161,-0.316,-0.262,122.175,16.917,-0.129
'[12:45:38.738 22/05/1995]',0.126,-0.279,-0.227,122.175,16.917,-0.129
'[12:45:38.740 22/05/1995]',0.090,-0.223,-0.174,122.175,16.917,-0.129
'[12:45:38.742 22/05/1995]',0.054,-0.167,-0.139,122.175,16.917,-0.129
'[12:45:38.744 22/05/1995]',0.019,-0.130,-0.086,115.093,18.622,-0.108
'[12:45:38.746 22/05/1995]',0.002,-0.073,-0.051,115.093,18.622,-0.108
'[12:45:38.748 22/05/1995]',0.002,-0.036,-0.016,115.093,18.622,-0.108
'[12:45:38.750 22/05/1995]',-0.034,0.002,0.002,115.093,18.622,-0.108
'[12:45:38.752 22/05/1995]',-0.052,0.020,0.002,107.909,21.153,-0.089
'[12:45:38.754 22/05/1995]',-0.070,0.057,0.018,107.909,21.153,-0.089
'[12:45:38.756 22/05/1995]',-0.070,0.076,0.018,107.909,21.153,-0.089
'[12:45:38.758 22/05/1995]',-0.088,0.095,0.036,107.909,21.153,-0.089
'[12:45:38.760 22/05/1995]',-0.105,0.113,0.054,100.927,23.033,-0.070
'[12:45:38.762 22/05/1995]',-0.105,0.132,0.054,100.927,23.033,-0.070
'[12:45:38.764 22/05/1995]',-0.105,0.132,0.054,100.927,23.033,-0.070
'[12:45:38.766 22/05/1995]',-0.105,0.132,0.071,100.927,23.033,-0.070
'[12:45:38.768 22/05/1995]',-0.105,0.132,0.071,94.148,23.559,-0.051
'[12:45:38.770 22/05/1995]',-0.105,0.132,0.071,94.148,23.559,-0.051
'[12:45:38.772 22/05/1995]',-0.105,0.151,0.071,94.148,23.559,-0.051
'[12:45:38.774 22/05/1995]',-0.105,0.151,0.071,94.148,23.559,-0.051
'[12:45:38.776 22/05/1995]',-0.123,0.151,0.071,87.824,22.957,-0.032
'[12:45:38.778 22/05/1995]',-0.123,0.151,0.071,87.824,22.957,-0.032
'[12:45:38.780 22/05/1995]',-0.123,0.151,0.071,87.824,22.957,-0.032
'[12:45:38.782 22/05/1995]',-0.123,0.151,0.071,87.824,22.957,-0.032
'[12:45:38.784 22/05/1995]',-0.123,0.151,0.071,81.855,22.080,-0.013
'[12:45:38.786 22/05/1995]',-0.123,0.151,0.071,81.855,22.080,-0.013
'[12:45:38.788 22/05/1995]',-0.123,0.151,0.089,81.855,22.080,-0.013
'[12:45:38.790 22/05/1995]',-0.123,0.151,0.071,81.855,22.080,-0.013
'[12:45:38.792 22/05/1995]',-0.123,0.170,0.089,76.442,21.328,0.005
'[12:45:38.794 22/05/1995]',-0.123,0.151,0.089,76.442,21.328,0.005
'[12:45:38.796 22/05/1995]',-0.123,0.151,0.089,76.442,21.328,0.005
'[12:45:38.798 22/05/1995]',-0.123,0.151,0.089,76.442,21.328,0.005
'[12:45:38.800 22/05/1995]',-0.123,0.170,0.089,71.383,20.551,0.021
'[12:45:38.802 22/05/1995]',-0.123,0.170,0.089,71.383,20.551,0.021
'[12:45:38.804 22/05/1995]',-0.123,0.151,0.089,71.383,20.551,0.021
'[12:45:38.806 22/05/1995]',-0.123,0.151,0.089,71.383,20.551,0.021
'[12:45:38.808 22/05/1995]',-0.123,0.151,0.089,66.931,20.025,0.037
'[12:45:38.810 22/05/1995]',-0.123,0.151,0.089,66.931,20.025,0.037
'[12:45:38.812 22/05/1995]',-0.123,0.151,0.089,66.931,20.025,0.037
'[12:45:38.814 22/05/1995]',-0.123,0.151,0.089,66.931,20.025,0.037
'[12:45:38.816 22/05/1995]',-0.123,0.151,0.089,63.035,20.802,0.051
'[12:45:38.818 22/05/1995]',-0.123,0.151,0.089,63.035,20.802,0.051
'[12:45:38.820 22/05/1995]',-0.123,0.151,0.089,63.035,20.802,0.051
'[12:45:38.822 22/05/1995]',-0.123,0.151,0.089,63.035,20.802,0.051
'[12:45:38.824 22/05/1995]',-0.123,0.151,0.089,59.443,23.208,0.065
'[12:45:38.826 22/05/1995]',-0.123,0.151,0.089,59.443,23.208,0.065
'[12:45:38.828 22/05/1995]',-0.123,0.151,0.089,59.443,23.208,0.065
'[12:45:38.830 22/05/1995]',-0.105,0.151,0.089,59.443,23.208,0.065
'[12:45:38.832 22/05/1995]',-0.105,0.151,0.089,56.509,25.614,0.076
'[12:45:38.834 22/05/1995]',-0.123,0.151,0.089,56.509,25.614,0.076
'[12:45:38.836 22/05/1995]',-0.123,0.151,0.089,56.509,25.614,0.076
'[12:45:38.838 22/05/1995]',-0.123,0.151,0.089,56.509,25.614,0.076
'[12:45:38.840 22/05/1995]',-0.123,0.151,0.089,54.283,25.739,0.087
'[12:45:38.842 22/05/1995]',-0.105,0.151,0.089,54.283,25.739,0.087
'[12:45:38.844 22/05/1995]',-0.123,0.151,0.089,54.283,25.739,0.087
'[12:45:38.846 22/05/1995]',-0.123,0.151,0.089,54.283,25.739,0.087
'[12:45:38.848 22/05/1995]',-0.105,0.151,0.089,52.816,23.684,0.097
'[12:45:38.850 22/05/1995]',-0.105,0.151,0.089,52.816,23.684,0.097
'[12:45:38.852 22/05/1995]',-0.105,0.151,0.089,52.816,23.684,0.097
'[12:45:38.854 22/05/1995]',-0.123,0.151,0.089,52.816,23.684,0.097
'[12:45:38.856 22/05/1995]',-0.123,0.151,0.089,52.158,22.256,0.105
'[12:45:38.858 22/05/1995]',-0.123,0.151,0.089,52.158,22.256,0.105
'[12:45:38.860 22/05/1995]',-0.123,0.151,0.089,52.158,22.256,0.105
'[12:45:38.862 22/05/1995]',-0.123,0.151,0.089,52.158,22.256,0.105
'[12:45:38.864 22/05/1995]',-0.123,0.151,0.071,52.766,23.434,0.115
'[12:45:38.866 22/05/1995]',-0.123,0.151,0.089,52.766,23.434,0.115
'[12:45:38.868 22/05/1995]',-0.123,0.151,0.089,52.766,23.434,0.115
'[12:45:38.870 22/05/1995]',-0.123,0.151,0.089,52.766,23.434,0.115
'[12:45:38.872 22/05/1995]',-0.123,0.170,0.089,54.739,26.316,0.123
'[12:45:38.874 22/05/1995]',-0.123,0.151,0.089,54.739,26.316,0.123
'[12:45:38.876 22/05/1995]',-0.123,0.151,0.089,54.739,26.316,0.123
'[12:45:38.878 22/05/1995]',-0.123,0.151,0.089,54.739,26.316,0.123
'[12:45:38.880 22/05/1995]',-0.123,0.151,0.089,57.622,29.073,0.132
'[12:45:38.882 22/05/1995]',-0.123,0.170,0.089,57.622,29.073,0.132
'[12:45:38.884 22/05/1995]',-0.123,0.170,0.089,57.622,29.073,0.132
'[12:45:38.886 22/05/1995]',-0.123,0.170,0.089,57.622,29.073,0.132
'[12:45:38.888 22/05/1995]',-0.123,0.170,0.106,61.012,30.952,0.140
'[12:45:38.890 22/05/1995]',-0.123,0.170,0.089,61.012,30.952,0.140
'[12:45:38.892 22/05/1995]',-0.123,0.170,0.089,61.012,30.952,0.140
'[12:45:38.894 22/05/1995]',-0.123,0.170,0.106,61.012,30.952,0.140
'[12:45:38.896 22/05/1995]',-0.141,0.170,0.106,64.907,32.256,0.147
'[12:45:38.898 22/05/1995]',-0.141,0.170,0.106,64.907,32.256,0.147
'[12:45:38.900 22/05/1995]',-0.123,0.188,0.106,64.907,32.256,0.147
'[12:45:38.902 22/05/1995]',-0.141,0.170,0.106,64.907,32.256,0.147
'[12:45:38.904 22/05/1995]',-0.141,0.188,0.106,69.207,32.732,0.154
'[12:45:38.906 22/05/1995]',-0.141,0.188,0.106,69.207,32.732,0.154
'[12:45:38.908 22/05/1995]',-0.141,0.188,0.106,69.207,32.732,0.154
'[12:45:38.910 22/05/1995]',-0.141,0.188,0.106,69.207,32.732,0.154
'[12:45:38.912 22/05/1995]',-0.159,0.188,0.106,73.710,32.306,0.161
'[12:45:38.914 22/05/1995]',-0.159,0.188,0.106,73.710,32.306,0.161
'[12:45:38.916 22/05/1995]',-0.159,0.188,0.106,73.710,32.306,0.161
