'Time and date','MCL1 ','II ','V ','ABP ','PAP ','PLETH ','RESP '
'[14:00:13.210 04/04/1995]',-0.056,0.045,-0.018,94.050,24.372,0.000,-0.556
'[14:00:13.212 04/04/1995]',-0.043,0.054,-0.012,94.050,24.372,0.000,-0.556
'[14:00:13.214 04/04/1995]',-0.043,0.054,-0.012,94.050,24.372,0.000,-0.556
'[14:00:13.216 04/04/1995]',-0.056,0.045,-0.012,94.700,24.849,0.000,-0.557
'[14:00:13.218 04/04/1995]',-0.043,0.045,-0.006,94.700,24.849,0.000,-0.557
'[14:00:13.220 04/04/1995]',-0.043,0.045,-0.012,94.700,24.849,0.000,-0.557
'[14:00:13.222 04/04/1995]',-0.043,0.045,-0.012,94.700,24.849,0.000,-0.557
'[14:00:13.224 04/04/1995]',-0.043,0.045,-0.012,94.850,25.151,0.000,-0.558
'[14:00:13.226 04/04/1995]',-0.043,0.045,-0.012,94.850,25.151,0.000,-0.558
'[14:00:13.228 04/04/1995]',-0.043,0.036,-0.012,94.850,25.151,0.000,-0.558
'[14:00:13.230 04/04/1995]',-0.043,0.036,-0.012,94.850,25.151,0.000,-0.558
'[14:00:13.232 04/04/1995]',-0.037,0.036,-0.006,94.700,25.251,0.000,-0.558
'[14:00:13.234 04/04/1995]',-0.043,0.036,-0.012,94.700,25.251,0.000,-0.558
'[14:00:13.236 04/04/1995]',-0.043,0.027,-0.012,94.700,25.251,0.000,-0.558
'[14:00:13.238 04/04/1995]',-0.043,0.018,-0.012,94.700,25.251,0.000,-0.558
'[14:00:13.240 04/04/1995]',-0.043,0.027,-0.012,94.300,25.151,0.000,-0.558
'[14:00:13.242 04/04/1995]',-0.043,0.027,-0.012,94.300,25.151,0.000,-0.558
'[14:00:13.244 04/04/1995]',-0.043,0.027,-0.012,94.300,25.151,0.000,-0.558
'[14:00:13.246 04/04/1995]',-0.043,0.027,-0.012,94.300,25.151,0.000,-0.558
'[14:00:13.248 04/04/1995]',-0.043,0.027,-0.012,93.600,24.899,0.000,-0.558
'[14:00:13.250 04/04/1995]',-0.037,0.027,-0.012,93.600,24.899,0.000,-0.558
'[14:00:13.252 04/04/1995]',-0.037,0.027,-0.012,93.600,24.899,0.000,-0.558
'[14:00:13.254 04/04/1995]',-0.037,0.027,-0.012,93.600,24.899,0.000,-0.558
'[14:00:13.256 04/04/1995]',-0.037,0.027,-0.006,92.550,24.548,0.000,-0.558
'[14:00:13.258 04/04/1995]',-0.037,0.027,-0.012,92.550,24.548,0.000,-0.558
'[14:00:13.260 04/04/1995]',-0.037,0.027,-0.006,92.550,24.548,0.000,-0.558
'[14:00:13.262 04/04/1995]',-0.037,0.018,-0.012,92.550,24.548,0.000,-0.558
'[14:00:13.264 04/04/1995]',-0.037,0.018,-0.012,91.250,24.020,0.000,-0.558
'[14:00:13.266 04/04/1995]',-0.037,0.018,-0.006,91.250,24.020,0.000,-0.558
'[14:00:13.268 04/04/1995]',-0.037,0.018,-0.006,91.250,24.020,0.000,-0.558
'[14:00:13.270 04/04/1995]',-0.037,0.018,-0.012,91.250,24.020,0.000,-0.558
'[14:00:13.272 04/04/1995]',-0.037,0.018,-0.012,89.600,23.442,0.000,-0.558
'[14:00:13.274 04/04/1995]',-0.031,0.018,-0.012,89.600,23.442,0.000,-0.558
'[14:00:13.276 04/04/1995]',-0.037,0.018,-0.006,89.600,23.442,0.000,-0.558
'[14:00:13.278 04/04/1995]',-0.031,0.018,-0.006,89.600,23.442,0.000,-0.558
'[14:00:13.280 04/04/1995]',-0.037,0.018,-0.006,87.650,22.915,0.000,-0.558
'[14:00:13.282 04/04/1995]',-0.037,0.009,-0.006,87.650,22.915,0.000,-0.558
'[14:00:13.284 04/04/1995]',-0.037,0.009,-0.006,87.650,22.915,0.000,-0.558
'[14:00:13.286 04/04/1995]',-0.037,0.001,-0.012,87.650,22.915,0.000,-0.558
'[14:00:13.288 04/04/1995]',-0.031,0.009,-0.006,85.450,22.487,0.000,-0.557
'[14:00:13.290 04/04/1995]',-0.018,0.009,-0.006,85.450,22.487,0.000,-0.557
'[14:00:13.292 04/04/1995]',-0.031,0.009,-0.006,85.450,22.487,0.000,-0.557
'[14:00:13.294 04/04/1995]',-0.037,0.018,-0.006,85.450,22.487,0.000,-0.557
'[14:00:13.296 04/04/1995]',-0.031,0.009,-0.012,83.000,22.312,0.000,-0.557
'[14:00:13.298 04/04/1995]',-0.031,0.009,-0.006,83.000,22.312,0.000,-0.557
'[14:00:13.300 04/04/1995]',-0.031,0.009,-0.006,83.000,22.312,0.000,-0.557
'[14:00:13.302 04/04/1995]',-0.031,0.009,-0.006,83.000,22.312,0.000,-0.557
'[14:00:13.304 04/04/1995]',-0.037,0.009,-0.006,80.400,22.261,0.000,-0.556
'[14:00:13.306 04/04/1995]',-0.031,0.009,-0.006,80.400,22.261,0.000,-0.556
'[14:00:13.308 04/04/1995]',-0.037,0.018,-0.006,80.400,22.261,0.000,-0.556
'[14:00:13.310 04/04/1995]',-0.037,0.009,-0.006,80.400,22.261,0.000,-0.556
'[14:00:13.312 04/04/1995]',-0.031,0.009,-0.006,77.650,22.261,0.000,-0.556
'[14:00:13.314 04/04/1995]',-0.031,0.009,-0.006,77.650,22.261,0.000,-0.556
'[14:00:13.316 04/04/1995]',-0.031,0.009,-0.006,77.650,22.261,0.000,-0.556
'[14:00:13.318 04/04/1995]',-0.037,0.009,-0.006,77.650,22.261,0.000,-0.556
'[14:00:13.320 04/04/1995]',-0.031,0.009,-0.006,74.750,22.362,0.000,-0.555
'[14:00:13.322 04/04/1995]',-0.037,0.001,-0.006,74.750,22.362,0.000,-0.555
'[14:00:13.324 04/04/1995]',-0.037,0.009,-0.006,74.750,22.362,0.000,-0.555
'[14:00:13.326 04/04/1995]',-0.037,0.009,-0.006,74.750,22.362,0.000,-0.555
'[14:00:13.328 04/04/1995]',-0.031,0.009,-0.006,71.850,22.613,0.000,-0.555
'[14:00:13.330 04/04/1995]',-0.031,0.009,-0.006,71.850,22.613,0.000,-0.555
'[14:00:13.332 04/04/1995]',-0.037,0.001,-0.006,71.850,22.613,0.000,-0.555
'[14:00:13.334 04/04/1995]',-0.037,0.001,-0.006,71.850,22.613,0.000,-0.555
'[14:00:13.336 04/04/1995]',-0.037,0.001,-0.006,68.850,22.915,0.000,-0.554
'[14:00:13.338 04/04/1995]',-0.037,0.001,-0.012,68.850,22.915,0.000,-0.554
'[14:00:13.340 04/04/1995]',-0.037,0.009,-0.006,68.850,22.915,0.000,-0.554
'[14:00:13.342 04/04/1995]',-0.031,0.009,-0.006,68.850,22.915,0.000,-0.554
'[14:00:13.344 04/04/1995]',-0.037,0.009,-0.006,66.050,23.090,0.000,-0.554
'[14:00:13.346 04/04/1995]',-0.037,0.009,-0.006,66.050,23.090,0.000,-0.554
'[14:00:13.348 04/04/1995]',-0.031,0.001,-0.006,66.050,23.090,0.000,-0.554
'[14:00:13.350 04/04/1995]',-0.031,0.001,-0.006,66.050,23.090,0.000,-0.554
'[14:00:13.352 04/04/1995]',-0.037,0.001,-0.006,63.500,23.015,0.000,-0.553
'[14:00:13.354 04/04/1995]',-0.031,0.001,0.001,63.500,23.015,0.000,-0.553
'[14:00:13.356 04/04/1995]',-0.037,0.001,0.001,63.500,23.015,0.000,-0.553
'[14:00:13.358 04/04/1995]',-0.031,0.001,-0.006,63.500,23.015,0.000,-0.553
'[14:00:13.360 04/04/1995]',-0.037,0.001,-0.006,61.550,22.839,0.000,-0.553
'[14:00:13.362 04/04/1995]',-0.031,0.001,-0.006,61.550,22.839,0.000,-0.553
'[14:00:13.364 04/04/1995]',-0.037,0.001,-0.006,61.550,22.839,0.000,-0.553
'[14:00:13.366 04/04/1995]',-0.031,0.001,-0.006,61.550,22.839,0.000,-0.553
'[14:00:13.368 04/04/1995]',-0.031,0.001,0.001,60.050,22.663,0.000,-0.552
'[14:00:13.370 04/04/1995]',-0.037,0.001,-0.006,60.050,22.663,0.000,-0.552
'[14:00:13.372 04/04/1995]',-0.037,0.001,0.001,60.050,22.663,0.000,-0.552
'[14:00:13.374 04/04/1995]',-0.037,0.001,-0.006,60.050,22.663,0.000,-0.552
'[14:00:13.376 04/04/1995]',-0.037,0.001,-0.006,59.050,22.437,0.000,-0.552
'[14:00:13.378 04/04/1995]',-0.031,0.001,0.001,59.050,22.437,0.000,-0.552
'[14:00:13.380 04/04/1995]',-0.031,0.001,-0.006,59.050,22.437,0.000,-0.552
'[14:00:13.382 04/04/1995]',-0.031,0.001,-0.006,59.050,22.437,0.000,-0.552
'[14:00:13.384 04/04/1995]',-0.031,0.001,0.001,58.500,22.186,0.000,-0.551
'[14:00:13.386 04/04/1995]',-0.031,0.001,0.001,58.500,22.186,0.000,-0.551
'[14:00:13.388 04/04/1995]',-0.031,0.001,0.001,58.500,22.186,0.000,-0.551
'[14:00:13.390 04/04/1995]',-0.031,0.001,0.001,58.500,22.186,0.000,-0.551
'[14:00:13.392 04/04/1995]',-0.031,0.001,-0.006,58.150,21.910,0.000,-0.551
'[14:00:13.394 04/04/1995]',-0.031,0.001,0.001,58.150,21.910,0.000,-0.551
'[14:00:13.396 04/04/1995]',-0.031,0.001,0.001,58.150,21.910,0.000,-0.551
'[14:00:13.398 04/04/1995]',-0.031,0.001,-0.006,58.150,21.910,0.000,-0.551
'[14:00:13.400 04/04/1995]',-0.031,0.001,0.001,57.950,21.608,0.000,-0.550
'[14:00:13.402 04/04/1995]',-0.031,0.001,-0.006,57.950,21.608,0.000,-0.550
'[14:00:13.404 04/04/1995]',-0.031,0.001,0.001,57.950,21.608,0.000,-0.550
'[14:00:13.406 04/04/1995]',-0.031,0.001,0.001,57.950,21.608,0.000,-0.550
'[14:00:13.408 04/04/1995]',-0.031,0.001,-0.006,57.850,21.382,0.000,-0.550
'[14:00:13.410 04/04/1995]',-0.031,0.001,-0.006,57.850,21.382,0.000,-0.550
'[14:00:13.412 04/04/1995]',-0.018,0.001,-0.006,57.850,21.382,0.000,-0.550
'[14:00:13.414 04/04/1995]',-0.031,0.001,0.001,57.850,21.382,0.000,-0.550
'[14:00:13.416 04/04/1995]',-0.018,0.001,0.001,57.850,21.080,0.000,-0.549
'[14:00:13.418 04/04/1995]',-0.031,0.001,0.001,57.850,21.080,0.000,-0.549
'[14:00:13.420 04/04/1995]',-0.031,0.001,0.001,57.850,21.080,0.000,-0.549
'[14:00:13.422 04/04/1995]',-0.031,0.001,-0.006,57.850,21.080,0.000,-0.549
'[14:00:13.424 04/04/1995]',-0.031,0.001,-0.006,57.850,20.553,0.000,-0.549
'[14:00:13.426 04/04/1995]',-0.031,0.001,-0.006,57.850,20.553,0.000,-0.549
'[14:00:13.428 04/04/1995]',-0.031,0.001,-0.012,57.850,20.553,0.000,-0.549
'[14:00:13.430 04/04/1995]',-0.037,0.001,-0.006,57.850,20.553,0.000,-0.549
'[14:00:13.432 04/04/1995]',-0.031,0.001,-0.006,57.800,19.548,0.000,-0.548
'[14:00:13.434 04/04/1995]',-0.037,0.001,-0.006,57.800,19.548,0.000,-0.548
'[14:00:13.436 04/04/1995]',-0.037,0.009,-0.012,57.800,19.548,0.000,-0.548
'[14:00:13.438 04/04/1995]',-0.037,0.009,-0.012,57.800,19.548,0.000,-0.548
'[14:00:13.440 04/04/1995]',-0.037,0.018,-0.012,57.800,17.965,0.000,-0.548
'[14:00:13.442 04/04/1995]',-0.037,0.018,-0.012,57.800,17.965,0.000,-0.548
'[14:00:13.444 04/04/1995]',-0.043,0.018,0.001,57.800,17.965,0.000,-0.548
'[14:00:13.446 04/04/1995]',-0.037,0.018,-0.006,57.800,17.965,0.000,-0.548
'[14:00:13.448 04/04/1995]',-0.043,0.009,-0.006,57.800,16.080,0.000,-0.547
'[14:00:13.450 04/04/1995]',-0.037,0.009,-0.006,57.800,16.080,0.000,-0.547
'[14:00:13.452 04/04/1995]',-0.037,0.009,-0.006,57.800,16.080,0.000,-0.547
'[14:00:13.454 04/04/1995]',-0.037,0.009,-0.006,57.800,16.080,0.000,-0.547
'[14:00:13.456 04/04/1995]',-0.037,0.009,-0.006,57.650,14.121,0.000,-0.546
'[14:00:13.458 04/04/1995]',-0.037,0.018,-0.012,57.650,14.121,0.000,-0.546
'[14:00:13.460 04/04/1995]',-0.037,0.018,-0.012,57.650,14.121,0.000,-0.546
'[14:00:13.462 04/04/1995]',-0.037,0.009,-0.012,57.650,14.121,0.000,-0.546
'[14:00:13.464 04/04/1995]',-0.031,0.009,-0.012,57.500,12.362,0.000,-0.544
'[14:00:13.466 04/04/1995]',-0.031,0.009,-0.012,57.500,12.362,0.000,-0.544
'[14:00:13.468 04/04/1995]',-0.031,0.001,-0.012,57.500,12.362,0.000,-0.544
'[14:00:13.470 04/04/1995]',-0.031,0.009,-0.018,57.500,12.362,0.000,-0.544
'[14:00:13.472 04/04/1995]',-0.018,0.001,-0.018,57.300,10.829,0.000,-0.543
'[14:00:13.474 04/04/1995]',-0.018,0.001,-0.018,57.300,10.829,0.000,-0.543
'[14:00:13.476 04/04/1995]',-0.018,0.009,-0.018,57.300,10.829,0.000,-0.543
'[14:00:13.478 04/04/1995]',-0.012,0.001,-0.018,57.300,10.829,0.000,-0.543
'[14:00:13.480 04/04/1995]',-0.018,0.001,-0.018,57.100,9.472,0.000,-0.542
'[14:00:13.482 04/04/1995]',-0.012,0.001,-0.018,57.100,9.472,0.000,-0.542
'[14:00:13.484 04/04/1995]',-0.012,0.001,-0.012,57.100,9.472,0.000,-0.542
'[14:00:13.486 04/04/1995]',-0.012,0.001,-0.012,57.100,9.472,0.000,-0.542
'[14:00:13.488 04/04/1995]',-0.012,0.001,-0.012,56.850,8.367,0.000,-0.541
'[14:00:13.490 04/04/1995]',-0.012,0.001,-0.012,56.850,8.367,0.000,-0.541
'[14:00:13.492 04/04/1995]',-0.012,0.001,-0.018,56.850,8.367,0.000,-0.541
'[14:00:13.494 04/04/1995]',-0.012,0.001,-0.012,56.850,8.367,0.000,-0.541
'[14:00:13.496 04/04/1995]',-0.012,0.001,-0.012,56.600,7.538,0.000,-0.540
'[14:00:13.498 04/04/1995]',-0.012,0.001,-0.012,56.600,7.538,0.000,-0.540
'[14:00:13.500 04/04/1995]',-0.012,0.001,-0.012,56.600,7.538,0.000,-0.540
'[14:00:13.502 04/04/1995]',-0.018,0.001,-0.012,56.600,7.538,0.000,-0.540
'[14:00:13.504 04/04/1995]',-0.012,0.001,-0.012,56.300,7.010,0.000,-0.539
'[14:00:13.506 04/04/1995]',-0.012,0.001,-0.012,56.300,7.010,0.000,-0.539
'[14:00:13.508 04/04/1995]',-0.018,0.009,-0.018,56.300,7.010,0.000,-0.539
'[14:00:13.510 04/04/1995]',-0.018,0.009,-0.018,56.300,7.010,0.000,-0.539
'[14:00:13.512 04/04/1995]',-0.018,0.009,-0.018,56.000,6.759,0.000,-0.537
'[14:00:13.514 04/04/1995]',-0.012,0.009,-0.018,56.000,6.759,0.000,-0.537
'[14:00:13.516 04/04/1995]',-0.012,0.009,-0.018,56.000,6.759,0.000,-0.537
'[14:00:13.518 04/04/1995]',-0.012,0.001,-0.018,56.000,6.759,0.000,-0.537
'[14:00:13.520 04/04/1995]',-0.012,0.001,-0.018,55.750,6.658,0.000,-0.535
'[14:00:13.522 04/04/1995]',-0.012,0.001,-0.018,55.750,6.658,0.000,-0.535
'[14:00:13.524 04/04/1995]',-0.018,0.001,-0.018,55.750,6.658,0.000,-0.535
'[14:00:13.526 04/04/1995]',-0.012,0.001,-0.018,55.750,6.658,0.000,-0.535
'[14:00:13.528 04/04/1995]',-0.012,0.001,-0.018,55.400,6.709,0.000,-0.533
'[14:00:13.530 04/04/1995]',-0.012,0.001,-0.018,55.400,6.709,0.000,-0.533
'[14:00:13.532 04/04/1995]',-0.012,0.001,-0.012,55.400,6.709,0.000,-0.533
'[14:00:13.534 04/04/1995]',-0.012,0.001,-0.012,55.400,6.709,0.000,-0.533
'[14:00:13.536 04/04/1995]',-0.012,0.001,-0.012,55.050,6.834,0.000,-0.531
'[14:00:13.538 04/04/1995]',-0.012,0.001,-0.012,55.050,6.834,0.000,-0.531
'[14:00:13.540 04/04/1995]',-0.012,0.001,-0.012,55.050,6.834,0.000,-0.531
'[14:00:13.542 04/04/1995]',-0.018,0.001,-0.012,55.050,6.834,0.000,-0.531
'[14:00:13.544 04/04/1995]',-0.018,0.001,-0.012,54.650,7.060,0.000,-0.529
'[14:00:13.546 04/04/1995]',-0.012,0.001,-0.012,54.650,7.060,0.000,-0.529
'[14:00:13.548 04/04/1995]',-0.012,0.001,-0.012,54.650,7.060,0.000,-0.529
'[14:00:13.550 04/04/1995]',-0.012,0.001,-0.006,54.650,7.060,0.000,-0.529
'[14:00:13.552 04/04/1995]',-0.012,0.001,-0.006,54.300,7.286,0.000,-0.527
'[14:00:13.554 04/04/1995]',-0.012,0.001,-0.006,54.300,7.286,0.000,-0.527
'[14:00:13.556 04/04/1995]',-0.018,0.001,-0.012,54.300,7.286,0.000,-0.527
'[14:00:13.558 04/04/1995]',-0.018,0.001,-0.012,54.300,7.286,0.000,-0.527
'[14:00:13.560 04/04/1995]',-0.012,0.001,-0.006,53.950,7.538,0.000,-0.525
'[14:00:13.562 04/04/1995]',-0.012,0.001,-0.006,53.950,7.538,0.000,-0.525
'[14:00:13.564 04/04/1995]',-0.012,0.001,-0.006,53.950,7.538,0.000,-0.525
'[14:00:13.566 04/04/1995]',-0.018,0.001,-0.006,53.950,7.538,0.000,-0.525
'[14:00:13.568 04/04/1995]',-0.018,0.001,-0.006,53.550,7.714,0.000,-0.523
'[14:00:13.570 04/04/1995]',-0.018,0.001,-0.006,53.550,7.714,0.000,-0.523
'[14:00:13.572 04/04/1995]',-0.012,0.001,-0.006,53.550,7.714,0.000,-0.523
'[14:00:13.574 04/04/1995]',-0.018,0.001,-0.006,53.550,7.714,0.000,-0.523
'[14:00:13.576 04/04/1995]',-0.018,0.001,-0.012,53.200,7.889,0.000,-0.522
'[14:00:13.578 04/04/1995]',-0.012,0.001,-0.006,53.200,7.889,0.000,-0.522
'[14:00:13.580 04/04/1995]',-0.012,0.001,-0.006,53.200,7.889,0.000,-0.522
'[14:00:13.582 04/04/1995]',-0.012,0.001,-0.006,53.200,7.889,0.000,-0.522
'[14:00:13.584 04/04/1995]',-0.018,0.001,-0.006,52.850,8.065,0.000,-0.522
'[14:00:13.586 04/04/1995]',-0.012,0.001,-0.012,52.850,8.065,0.000,-0.522
'[14:00:13.588 04/04/1995]',-0.018,0.001,-0.012,52.850,8.065,0.000,-0.522
'[14:00:13.590 04/04/1995]',-0.018,0.001,-0.006,52.850,8.065,0.000,-0.522
'[14:00:13.592 04/04/1995]',-0.018,0.001,-0.012,52.500,8.241,0.000,-0.522
'[14:00:13.594 04/04/1995]',-0.018,0.001,-0.012,52.500,8.241,0.000,-0.522
'[14:00:13.596 04/04/1995]',-0.018,0.001,-0.006,52.500,8.241,0.000,-0.522
'[14:00:13.598 04/04/1995]',-0.018,0.001,-0.006,52.500,8.241,0.000,-0.522
'[14:00:13.600 04/04/1995]',-0.012,0.001,-0.006,52.150,8.543,0.000,-0.522
'[14:00:13.602 04/04/1995]',-0.018,0.001,-0.006,52.150,8.543,0.000,-0.522
'[14:00:13.604 04/04/1995]',-0.018,0.001,-0.012,52.150,8.543,0.000,-0.522
'[14:00:13.606 04/04/1995]',-0.018,0.001,-0.012,52.150,8.543,0.000,-0.522
'[14:00:13.608 04/04/1995]',-0.018,0.001,-0.012,51.800,9.070,0.000,-0.522
'[14:00:13.610 04/04/1995]',-0.018,0.001,-0.012,51.800,9.070,0.000,-0.522
'[14:00:13.612 04/04/1995]',-0.018,0.001,-0.012,51.800,9.070,0.000,-0.522
'[14:00:13.614 04/04/1995]',-0.018,0.001,-0.012,51.800,9.070,0.000,-0.522
'[14:00:13.616 04/04/1995]',-0.012,0.001,-0.012,51.450,9.774,0.000,-0.522
'[14:00:13.618 04/04/1995]',-0.012,0.001,-0.012,51.450,9.774,0.000,-0.522
'[14:00:13.620 04/04/1995]',-0.018,0.001,-0.012,51.450,9.774,0.000,-0.522
'[14:00:13.622 04/04/1995]',-0.018,0.001,-0.012,51.450,9.774,0.000,-0.522
'[14:00:13.624 04/04/1995]',-0.018,0.009,-0.012,51.100,10.477,0.000,-0.522
'[14:00:13.626 04/04/1995]',-0.018,0.009,-0.012,51.100,10.477,0.000,-0.522
'[14:00:13.628 04/04/1995]',-0.018,0.009,-0.012,51.100,10.477,0.000,-0.522
'[14:00:13.630 04/04/1995]',-0.018,0.001,-0.012,51.100,10.477,0.000,-0.522
'[14:00:13.632 04/04/1995]',-0.018,0.001,-0.012,50.750,10.955,0.000,-0.522
'[14:00:13.634 04/04/1995]',-0.012,0.001,-0.006,50.750,10.955,0.000,-0.522
'[14:00:13.636 04/04/1995]',-0.018,0.001,-0.006,50.750,10.955,0.000,-0.522
'[14:00:13.638 04/04/1995]',-0.018,0.001,-0.006,50.750,10.955,0.000,-0.522
'[14:00:13.640 04/04/1995]',-0.018,0.001,-0.006,50.400,11.181,0.000,-0.522
'[14:00:13.642 04/04/1995]',-0.031,0.001,-0.006,50.400,11.181,0.000,-0.522
'[14:00:13.644 04/04/1995]',-0.031,0.001,0.001,50.400,11.181,0.000,-0.522
'[14:00:13.646 04/04/1995]',-0.037,0.001,0.001,50.400,11.181,0.000,-0.522
'[14:00:13.648 04/04/1995]',-0.043,0.001,0.001,50.100,11.231,0.000,-0.522
'[14:00:13.650 04/04/1995]',-0.056,0.001,0.001,50.100,11.231,0.000,-0.522
'[14:00:13.652 04/04/1995]',-0.068,0.001,0.001,50.100,11.231,0.000,-0.522
'[14:00:13.654 04/04/1995]',-0.081,0.001,0.001,50.100,11.231,0.000,-0.522
'[14:00:13.656 04/04/1995]',-0.068,0.018,-0.006,49.800,11.231,0.000,-0.522
'[14:00:13.658 04/04/1995]',-0.056,0.036,-0.012,49.800,11.231,0.000,-0.522
'[14:00:13.660 04/04/1995]',-0.031,0.045,-0.018,49.800,11.231,0.000,-0.522
'[14:00:13.662 04/04/1995]',-0.006,0.072,-0.036,49.800,11.231,0.000,-0.522
'[14:00:13.664 04/04/1995]',0.019,0.099,-0.055,49.500,11.231,0.000,-0.522
'[14:00:13.666 04/04/1995]',0.038,0.117,-0.080,49.500,11.231,0.000,-0.522
'[14:00:13.668 04/04/1995]',0.069,0.153,-0.104,49.500,11.231,0.000,-0.522
'[14:00:13.670 04/04/1995]',0.094,0.180,-0.129,49.500,11.231,0.000,-0.522
'[14:00:13.672 04/04/1995]',0.131,0.207,-0.141,49.250,11.055,0.000,-0.522
'[14:00:13.674 04/04/1995]',0.163,0.224,-0.166,49.250,11.055,0.000,-0.522
'[14:00:13.676 04/04/1995]',0.193,0.251,-0.190,49.250,11.055,0.000,-0.522
'[14:00:13.678 04/04/1995]',0.225,0.278,-0.215,49.250,11.055,0.000,-0.522
'[14:00:13.680 04/04/1995]',0.243,0.287,-0.221,49.000,10.704,0.000,-0.521
'[14:00:13.682 04/04/1995]',0.262,0.296,-0.233,49.000,10.704,0.000,-0.521
'[14:00:13.684 04/04/1995]',0.274,0.305,-0.239,49.000,10.704,0.000,-0.521
'[14:00:13.686 04/04/1995]',0.274,0.323,-0.258,49.000,10.704,0.000,-0.521
'[14:00:13.688 04/04/1995]',0.281,0.359,-0.264,48.700,10.352,0.000,-0.519
'[14:00:13.690 04/04/1995]',0.281,0.394,-0.288,48.700,10.352,0.000,-0.519
'[14:00:13.692 04/04/1995]',0.293,0.448,-0.301,48.700,10.352,0.000,-0.519
'[14:00:13.694 04/04/1995]',0.281,0.511,-0.338,48.700,10.352,0.000,-0.519
'[14:00:13.696 04/04/1995]',0.274,0.556,-0.350,48.500,10.075,0.000,-0.518
'[14:00:13.698 04/04/1995]',0.262,0.564,-0.350,48.500,10.075,0.000,-0.518
'[14:00:13.700 04/04/1995]',0.237,0.564,-0.350,48.500,10.075,0.000,-0.518
'[14:00:13.702 04/04/1995]',0.212,0.556,-0.344,48.500,10.075,0.000,-0.518
'[14:00:13.704 04/04/1995]',0.187,0.529,-0.325,48.300,9.824,0.000,-0.516
'[14:00:13.706 04/04/1995]',0.163,0.484,-0.301,48.300,9.824,0.000,-0.516
'[14:00:13.708 04/04/1995]',0.144,0.439,-0.276,48.300,9.824,0.000,-0.516
'[14:00:13.710 04/04/1995]',0.113,0.368,-0.246,48.300,9.824,0.000,-0.516
'[14:00:13.712 04/04/1995]',0.094,0.314,-0.215,48.050,9.598,0.000,-0.515
'[14:00:13.714 04/04/1995]',0.069,0.251,-0.172,48.050,9.598,0.000,-0.515
'[14:00:13.716 04/04/1995]',0.044,0.171,-0.141,48.050,9.598,0.000,-0.515
'[14:00:13.718 04/04/1995]',0.032,0.099,-0.104,48.050,9.598,0.000,-0.515
'[14:00:13.720 04/04/1995]',0.013,0.027,-0.061,47.800,9.422,0.000,-0.514
'[14:00:13.722 04/04/1995]',0.001,-0.026,-0.030,47.800,9.422,0.000,-0.514
'[14:00:13.724 04/04/1995]',-0.006,-0.071,-0.006,47.800,9.422,0.000,-0.514
'[14:00:13.726 04/04/1995]',-0.018,-0.107,0.006,47.800,9.422,0.000,-0.514
'[14:00:13.728 04/04/1995]',-0.018,-0.142,0.019,47.650,9.422,0.000,-0.514
'[14:00:13.730 04/04/1995]',-0.031,-0.160,0.037,47.650,9.422,0.000,-0.514
'[14:00:13.732 04/04/1995]',-0.037,-0.160,0.037,47.650,9.422,0.000,-0.514
'[14:00:13.734 04/04/1995]',-0.037,-0.169,0.043,47.650,9.422,0.000,-0.514
'[14:00:13.736 04/04/1995]',-0.043,-0.160,0.043,47.400,9.472,0.000,-0.514
'[14:00:13.738 04/04/1995]',-0.043,-0.142,0.043,47.400,9.472,0.000,-0.514
'[14:00:13.740 04/04/1995]',-0.056,-0.133,0.043,47.400,9.472,0.000,-0.514
'[14:00:13.742 04/04/1995]',-0.056,-0.116,0.043,47.400,9.472,0.000,-0.514
'[14:00:13.744 04/04/1995]',-0.056,-0.107,0.043,47.150,9.824,0.000,-0.514
'[14:00:13.746 04/04/1995]',-0.062,-0.098,0.037,47.150,9.824,0.000,-0.514
'[14:00:13.748 04/04/1995]',-0.068,-0.089,0.037,47.150,9.824,0.000,-0.514
'[14:00:13.750 04/04/1995]',-0.062,-0.089,0.043,47.150,9.824,0.000,-0.514
'[14:00:13.752 04/04/1995]',-0.062,-0.080,0.037,46.950,10.477,0.000,-0.515
'[14:00:13.754 04/04/1995]',-0.062,-0.080,0.043,46.950,10.477,0.000,-0.515
'[14:00:13.756 04/04/1995]',-0.062,-0.080,0.037,46.950,10.477,0.000,-0.515
'[14:00:13.758 04/04/1995]',-0.068,-0.080,0.043,46.950,10.477,0.000,-0.515
'[14:00:13.760 04/04/1995]',-0.068,-0.071,0.043,46.750,11.608,0.000,-0.516
'[14:00:13.762 04/04/1995]',-0.062,-0.080,0.043,46.750,11.608,0.000,-0.516
'[14:00:13.764 04/04/1995]',-0.062,-0.080,0.043,46.750,11.608,0.000,-0.516
'[14:00:13.766 04/04/1995]',-0.068,-0.080,0.043,46.750,11.608,0.000,-0.516
'[14:00:13.768 04/04/1995]',-0.068,-0.080,0.043,46.600,12.940,0.000,-0.517
'[14:00:13.770 04/04/1995]',-0.062,-0.080,0.043,46.600,12.940,0.000,-0.517
'[14:00:13.772 04/04/1995]',-0.062,-0.080,0.043,46.600,12.940,0.000,-0.517
'[14:00:13.774 04/04/1995]',-0.068,-0.080,0.043,46.600,12.940,0.000,-0.517
'[14:00:13.776 04/04/1995]',-0.068,-0.080,0.043,46.350,14.548,0.000,-0.518
'[14:00:13.778 04/04/1995]',-0.062,-0.080,0.043,46.350,14.548,0.000,-0.518
