'Time and date','II','aVL','V','ABP','PAP','CVP','PLETH'
'[15:13:57.146 01/01/1996]',0.179,0.101,-0.388,95.879,34.829,31.950,-0.022
'[15:13:57.148 01/01/1996]',0.179,0.101,-0.371,95.879,34.829,31.950,-0.022
'[15:13:57.150 01/01/1996]',0.179,0.093,-0.355,95.879,34.829,31.950,-0.022
'[15:13:57.152 01/01/1996]',0.177,0.085,-0.339,96.281,32.952,31.425,-0.009
'[15:13:57.154 01/01/1996]',0.176,0.078,-0.323,96.281,32.952,31.425,-0.009
'[15:13:57.156 01/01/1996]',0.175,0.078,-0.306,96.281,32.952,31.425,-0.009
'[15:13:57.158 01/01/1996]',0.173,0.078,-0.290,96.281,32.952,31.425,-0.009
'[15:13:57.160 01/01/1996]',0.172,0.070,-0.290,97.337,32.127,30.550,0.003
'[15:13:57.162 01/01/1996]',0.170,0.062,-0.274,97.337,32.127,30.550,0.003
'[15:13:57.164 01/01/1996]',0.168,0.054,-0.242,97.337,32.127,30.550,0.003
'[15:13:57.166 01/01/1996]',0.165,0.039,-0.242,97.337,32.127,30.550,0.003
'[15:13:57.168 01/01/1996]',0.164,0.039,-0.210,98.945,32.727,29.375,0.018
'[15:13:57.170 01/01/1996]',0.162,0.031,-0.194,98.945,32.727,29.375,0.018
'[15:13:57.172 01/01/1996]',0.161,0.024,-0.194,98.945,32.727,29.375,0.018
'[15:13:57.174 01/01/1996]',0.160,0.024,-0.177,98.945,32.727,29.375,0.018
'[15:13:57.176 01/01/1996]',0.158,0.024,-0.161,100.503,34.254,27.900,0.030
'[15:13:57.178 01/01/1996]',0.157,0.016,-0.145,100.503,34.254,27.900,0.030
'[15:13:57.180 01/01/1996]',0.156,0.008,-0.129,100.503,34.254,27.900,0.030
'[15:13:57.182 01/01/1996]',0.154,0.001,-0.112,100.503,34.254,27.900,0.030
'[15:13:57.184 01/01/1996]',0.151,0.001,-0.096,101.206,35.955,26.275,0.042
'[15:13:57.186 01/01/1996]',0.148,-0.007,-0.064,101.206,35.955,26.275,0.042
'[15:13:57.188 01/01/1996]',0.144,-0.007,-0.064,101.206,35.955,26.275,0.042
'[15:13:57.190 01/01/1996]',0.140,-0.007,-0.047,101.206,35.955,26.275,0.042
'[15:13:57.192 01/01/1996]',0.136,-0.007,-0.047,100.905,37.306,24.450,0.054
'[15:13:57.194 01/01/1996]',0.132,-0.007,-0.031,100.905,37.306,24.450,0.054
'[15:13:57.196 01/01/1996]',0.128,-0.015,-0.015,100.905,37.306,24.450,0.054
'[15:13:57.198 01/01/1996]',0.124,-0.022,0.001,100.905,37.306,24.450,0.054
'[15:13:57.200 01/01/1996]',0.120,-0.022,0.001,99.598,38.357,22.575,0.064
'[15:13:57.202 01/01/1996]',0.116,-0.030,0.033,99.598,38.357,22.575,0.064
'[15:13:57.204 01/01/1996]',0.113,-0.030,0.033,99.598,38.357,22.575,0.064
'[15:13:57.206 01/01/1996]',0.111,-0.030,0.049,99.598,38.357,22.575,0.064
'[15:13:57.208 01/01/1996]',0.108,-0.022,0.066,97.638,39.007,20.775,0.074
'[15:13:57.210 01/01/1996]',0.105,-0.030,0.066,97.638,39.007,20.775,0.074
'[15:13:57.212 01/01/1996]',0.103,-0.030,0.098,97.638,39.007,20.775,0.074
'[15:13:57.214 01/01/1996]',0.100,-0.038,0.114,97.638,39.007,20.775,0.074
'[15:13:57.216 01/01/1996]',0.097,-0.038,0.114,95.176,39.058,18.950,0.083
'[15:13:57.218 01/01/1996]',0.094,-0.038,0.131,95.176,39.058,18.950,0.083
'[15:13:57.220 01/01/1996]',0.091,-0.038,0.147,95.176,39.058,18.950,0.083
'[15:13:57.222 01/01/1996]',0.087,-0.038,0.147,95.176,39.058,18.950,0.083
'[15:13:57.224 01/01/1996]',0.084,-0.030,0.147,92.111,38.657,17.300,0.091
'[15:13:57.226 01/01/1996]',0.080,-0.030,0.147,92.111,38.657,17.300,0.091
'[15:13:57.228 01/01/1996]',0.078,-0.038,0.147,92.111,38.657,17.300,0.091
'[15:13:57.230 01/01/1996]',0.075,-0.038,0.163,92.111,38.657,17.300,0.091
'[15:13:57.232 01/01/1996]',0.073,-0.038,0.163,88.442,37.882,15.775,0.097
'[15:13:57.234 01/01/1996]',0.071,-0.046,0.179,88.442,37.882,15.775,0.097
'[15:13:57.236 01/01/1996]',0.070,-0.046,0.179,88.442,37.882,15.775,0.097
'[15:13:57.238 01/01/1996]',0.069,-0.046,0.179,88.442,37.882,15.775,0.097
'[15:13:57.240 01/01/1996]',0.067,-0.038,0.179,84.523,36.881,14.550,0.102
'[15:13:57.242 01/01/1996]',0.066,-0.038,0.179,84.523,36.881,14.550,0.102
'[15:13:57.244 01/01/1996]',0.065,-0.038,0.179,84.523,36.881,14.550,0.102
'[15:13:57.246 01/01/1996]',0.064,-0.038,0.179,84.523,36.881,14.550,0.102
'[15:13:57.248 01/01/1996]',0.064,-0.038,0.179,80.653,35.780,13.550,0.107
'[15:13:57.250 01/01/1996]',0.063,-0.046,0.179,80.653,35.780,13.550,0.107
'[15:13:57.252 01/01/1996]',0.062,-0.046,0.179,80.653,35.780,13.550,0.107
'[15:13:57.254 01/01/1996]',0.061,-0.038,0.163,80.653,35.780,13.550,0.107
'[15:13:57.256 01/01/1996]',0.060,-0.038,0.163,77.437,34.729,12.850,0.110
'[15:13:57.258 01/01/1996]',0.058,-0.038,0.147,77.437,34.729,12.850,0.110
'[15:13:57.260 01/01/1996]',0.056,-0.038,0.131,77.437,34.729,12.850,0.110
'[15:13:57.262 01/01/1996]',0.055,-0.030,0.131,77.437,34.729,12.850,0.110
'[15:13:57.264 01/01/1996]',0.053,-0.038,0.131,75.528,33.828,12.450,0.110
'[15:13:57.266 01/01/1996]',0.051,-0.038,0.131,75.528,33.828,12.450,0.110
'[15:13:57.268 01/01/1996]',0.050,-0.046,0.131,75.528,33.828,12.450,0.110
'[15:13:57.270 01/01/1996]',0.049,-0.038,0.114,75.528,33.828,12.450,0.110
'[15:13:57.272 01/01/1996]',0.049,-0.030,0.114,74.925,32.952,12.150,0.110
'[15:13:57.274 01/01/1996]',0.048,-0.038,0.114,74.925,32.952,12.150,0.110
'[15:13:57.276 01/01/1996]',0.048,-0.030,0.114,74.925,32.952,12.150,0.110
'[15:13:57.278 01/01/1996]',0.047,-0.030,0.098,74.925,32.952,12.150,0.110
'[15:13:57.280 01/01/1996]',0.046,-0.038,0.098,75.477,32.077,11.975,0.105
'[15:13:57.282 01/01/1996]',0.045,-0.038,0.098,75.477,32.077,11.975,0.105
'[15:13:57.284 01/01/1996]',0.044,-0.038,0.098,75.477,32.077,11.975,0.105
'[15:13:57.286 01/01/1996]',0.042,-0.038,0.098,75.477,32.077,11.975,0.105
'[15:13:57.288 01/01/1996]',0.041,-0.030,0.082,76.432,31.326,11.850,0.103
'[15:13:57.290 01/01/1996]',0.040,-0.030,0.066,76.432,31.326,11.850,0.103
'[15:13:57.292 01/01/1996]',0.038,-0.022,0.049,76.432,31.326,11.850,0.103
'[15:13:57.294 01/01/1996]',0.037,-0.022,0.049,76.432,31.326,11.850,0.103
'[15:13:57.296 01/01/1996]',0.035,-0.022,0.049,77.387,30.625,11.850,0.096
'[15:13:57.298 01/01/1996]',0.034,-0.022,0.033,77.387,30.625,11.850,0.096
'[15:13:57.300 01/01/1996]',0.034,-0.038,0.033,77.387,30.625,11.850,0.096
'[15:13:57.302 01/01/1996]',0.033,-0.038,0.033,77.387,30.625,11.850,0.096
'[15:13:57.304 01/01/1996]',0.031,-0.030,0.033,77.990,29.900,11.850,0.090
'[15:13:57.306 01/01/1996]',0.030,-0.030,0.017,77.990,29.900,11.850,0.090
'[15:13:57.308 01/01/1996]',0.029,-0.022,0.017,77.990,29.900,11.850,0.090
'[15:13:57.310 01/01/1996]',0.028,-0.022,0.001,77.990,29.900,11.850,0.090
'[15:13:57.312 01/01/1996]',0.027,-0.022,0.001,78.090,29.274,11.925,0.084
'[15:13:57.314 01/01/1996]',0.027,-0.022,0.001,78.090,29.274,11.925,0.084
'[15:13:57.316 01/01/1996]',0.028,-0.022,0.001,78.090,29.274,11.925,0.084
'[15:13:57.318 01/01/1996]',0.029,-0.022,0.001,78.090,29.274,11.925,0.084
'[15:13:57.320 01/01/1996]',0.030,-0.022,0.001,77.889,28.749,12.100,0.075
'[15:13:57.322 01/01/1996]',0.031,-0.015,0.001,77.889,28.749,12.100,0.075
'[15:13:57.324 01/01/1996]',0.033,-0.015,-0.015,77.889,28.749,12.100,0.075
'[15:13:57.326 01/01/1996]',0.034,-0.015,-0.015,77.889,28.749,12.100,0.075
'[15:13:57.328 01/01/1996]',0.036,-0.015,-0.015,77.286,28.624,12.200,0.068
'[15:13:57.330 01/01/1996]',0.038,-0.022,-0.031,77.286,28.624,12.200,0.068
'[15:13:57.332 01/01/1996]',0.040,-0.030,-0.031,77.286,28.624,12.200,0.068
'[15:13:57.334 01/01/1996]',0.041,-0.038,-0.031,77.286,28.624,12.200,0.068
'[15:13:57.336 01/01/1996]',0.042,-0.030,-0.031,76.533,28.749,12.375,0.060
'[15:13:57.338 01/01/1996]',0.044,-0.030,-0.047,76.533,28.749,12.375,0.060
'[15:13:57.340 01/01/1996]',0.046,-0.030,-0.047,76.533,28.749,12.375,0.060
'[15:13:57.342 01/01/1996]',0.048,-0.030,-0.047,76.533,28.749,12.375,0.060
'[15:13:57.344 01/01/1996]',0.050,-0.030,-0.064,75.578,28.924,12.550,0.053
'[15:13:57.346 01/01/1996]',0.051,-0.030,-0.064,75.578,28.924,12.550,0.053
'[15:13:57.348 01/01/1996]',0.052,-0.038,-0.080,75.578,28.924,12.550,0.053
'[15:13:57.350 01/01/1996]',0.052,-0.038,-0.064,75.578,28.924,12.550,0.053
'[15:13:57.352 01/01/1996]',0.052,-0.046,-0.080,74.673,29.099,12.675,0.046
'[15:13:57.354 01/01/1996]',0.053,-0.046,-0.080,74.673,29.099,12.675,0.046
'[15:13:57.356 01/01/1996]',0.053,-0.046,-0.096,74.673,29.099,12.675,0.046
'[15:13:57.358 01/01/1996]',0.053,-0.053,-0.112,74.673,29.099,12.675,0.046
'[15:13:57.360 01/01/1996]',0.054,-0.053,-0.112,73.769,29.374,12.850,0.041
'[15:13:57.362 01/01/1996]',0.054,-0.061,-0.129,73.769,29.374,12.850,0.041
'[15:13:57.364 01/01/1996]',0.055,-0.069,-0.145,73.769,29.374,12.850,0.041
'[15:13:57.366 01/01/1996]',0.056,-0.077,-0.145,73.769,29.374,12.850,0.041
'[15:13:57.368 01/01/1996]',0.056,-0.069,-0.129,72.915,29.800,13.100,0.035
'[15:13:57.370 01/01/1996]',0.056,-0.077,-0.145,72.915,29.800,13.100,0.035
'[15:13:57.372 01/01/1996]',0.054,-0.077,-0.145,72.915,29.800,13.100,0.035
'[15:13:57.374 01/01/1996]',0.053,-0.069,-0.145,72.915,29.800,13.100,0.035
'[15:13:57.376 01/01/1996]',0.050,-0.061,-0.145,72.161,30.450,13.375,0.029
'[15:13:57.378 01/01/1996]',0.048,-0.061,-0.145,72.161,30.450,13.375,0.029
'[15:13:57.380 01/01/1996]',0.046,-0.061,-0.129,72.161,30.450,13.375,0.029
'[15:13:57.382 01/01/1996]',0.044,-0.061,-0.112,72.161,30.450,13.375,0.029
'[15:13:57.384 01/01/1996]',0.042,-0.053,-0.112,71.558,31.151,13.725,0.024
'[15:13:57.386 01/01/1996]',0.040,-0.053,-0.096,71.558,31.151,13.725,0.024
'[15:13:57.388 01/01/1996]',0.037,-0.046,-0.096,71.558,31.151,13.725,0.024
'[15:13:57.390 01/01/1996]',0.035,-0.038,-0.080,71.558,31.151,13.725,0.024
'[15:13:57.392 01/01/1996]',0.031,-0.030,-0.047,71.106,31.852,14.150,0.018
'[15:13:57.394 01/01/1996]',0.028,-0.022,-0.031,71.106,31.852,14.150,0.018
'[15:13:57.396 01/01/1996]',0.023,-0.015,-0.015,71.106,31.852,14.150,0.018
'[15:13:57.398 01/01/1996]',0.018,-0.007,0.001,71.106,31.852,14.150,0.018
'[15:13:57.400 01/01/1996]',0.008,0.008,0.001,70.704,32.552,14.600,0.013
'[15:13:57.402 01/01/1996]',-0.001,0.024,0.001,70.704,32.552,14.600,0.013
'[15:13:57.404 01/01/1996]',-0.017,0.031,0.001,70.704,32.552,14.600,0.013
'[15:13:57.406 01/01/1996]',-0.033,0.062,0.001,70.704,32.552,14.600,0.013
'[15:13:57.408 01/01/1996]',-0.056,0.085,-0.015,70.251,33.078,15.150,0.009
'[15:13:57.410 01/01/1996]',-0.080,0.116,-0.031,70.251,33.078,15.150,0.009
'[15:13:57.412 01/01/1996]',-0.111,0.147,-0.047,70.251,33.078,15.150,0.009
'[15:13:57.414 01/01/1996]',-0.142,0.186,-0.064,70.251,33.078,15.150,0.009
'[15:13:57.416 01/01/1996]',-0.181,0.217,-0.096,69.899,33.128,15.725,0.004
'[15:13:57.418 01/01/1996]',-0.220,0.270,-0.129,69.899,33.128,15.725,0.004
'[15:13:57.420 01/01/1996]',-0.268,0.340,-0.210,69.899,33.128,15.725,0.004
'[15:13:57.422 01/01/1996]',-0.315,0.409,-0.274,69.899,33.128,15.725,0.004
'[15:13:57.424 01/01/1996]',-0.372,0.478,-0.371,69.548,32.852,16.250,-0.001
'[15:13:57.426 01/01/1996]',-0.430,0.555,-0.468,69.548,32.852,16.250,-0.001
'[15:13:57.428 01/01/1996]',-0.501,0.617,-0.566,69.548,32.852,16.250,-0.001
'[15:13:57.430 01/01/1996]',-0.573,0.679,-0.647,69.548,32.852,16.250,-0.001
'[15:13:57.432 01/01/1996]',-0.660,0.720,-0.744,69.246,32.202,16.850,-0.005
'[15:13:57.434 01/01/1996]',-0.748,0.720,-0.906,69.246,32.202,16.850,-0.005
'[15:13:57.436 01/01/1996]',-,0.720,-1.133,69.246,32.202,16.850,-0.005
'[15:13:57.438 01/01/1996]',-,0.720,-1.376,69.246,32.202,16.850,-0.005
'[15:13:57.440 01/01/1996]',-,0.720,-,69.045,31.376,17.425,-0.009
'[15:13:57.442 01/01/1996]',-,0.720,-,69.045,31.376,17.425,-0.009
'[15:13:57.444 01/01/1996]',-,0.720,-,69.045,31.376,17.425,-0.009
'[15:13:57.446 01/01/1996]',-,0.720,-,69.045,31.376,17.425,-0.009
'[15:13:57.448 01/01/1996]',-,0.720,-,68.744,30.450,18.000,-0.013
'[15:13:57.450 01/01/1996]',-,0.720,-,68.744,30.450,18.000,-0.013
'[15:13:57.452 01/01/1996]',-,0.720,-,68.744,30.450,18.000,-0.013
'[15:13:57.454 01/01/1996]',-,0.720,-,68.744,30.450,18.000,-0.013
'[15:13:57.456 01/01/1996]',-,0.720,-,68.492,29.450,18.600,-0.018
'[15:13:57.458 01/01/1996]',-,0.720,-,68.492,29.450,18.600,-0.018
'[15:13:57.460 01/01/1996]',-,0.720,-,68.492,29.450,18.600,-0.018
'[15:13:57.462 01/01/1996]',-,0.720,-,68.492,29.450,18.600,-0.018
'[15:13:57.464 01/01/1996]',-,0.720,-,68.191,28.449,19.175,-0.023
'[15:13:57.466 01/01/1996]',-,0.720,-,68.191,28.449,19.175,-0.023
'[15:13:57.468 01/01/1996]',-,0.720,-,68.191,28.449,19.175,-0.023
'[15:13:57.470 01/01/1996]',-,0.720,-,68.191,28.449,19.175,-0.023
'[15:13:57.472 01/01/1996]',-,0.720,-,67.839,27.448,19.775,-0.027
'[15:13:57.474 01/01/1996]',-,0.720,-,67.839,27.448,19.775,-0.027
'[15:13:57.476 01/01/1996]',-,0.720,-,67.839,27.448,19.775,-0.027
'[15:13:57.478 01/01/1996]',-,0.720,-,67.839,27.448,19.775,-0.027
'[15:13:57.480 01/01/1996]',-,0.720,-,67.487,26.622,20.400,-0.032
'[15:13:57.482 01/01/1996]',-,0.720,-,67.487,26.622,20.400,-0.032
'[15:13:57.484 01/01/1996]',-,0.720,-1.456,67.487,26.622,20.400,-0.032
'[15:13:57.486 01/01/1996]',-,0.720,-1.360,67.487,26.622,20.400,-0.032
'[15:13:57.488 01/01/1996]',-0.745,0.720,-1.278,67.286,25.972,21.125,-0.035
'[15:13:57.490 01/01/1996]',-0.704,0.720,-1.213,67.286,25.972,21.125,-0.035
'[15:13:57.492 01/01/1996]',-0.662,0.720,-1.149,67.286,25.972,21.125,-0.035
'[15:13:57.494 01/01/1996]',-0.621,0.720,-1.068,67.286,25.972,21.125,-0.035
'[15:13:57.496 01/01/1996]',-0.578,0.720,-0.970,67.085,25.521,21.925,-0.041
'[15:13:57.498 01/01/1996]',-0.535,0.679,-0.890,67.085,25.521,21.925,-0.041
'[15:13:57.500 01/01/1996]',-0.491,0.609,-0.809,67.085,25.521,21.925,-0.041
'[15:13:57.502 01/01/1996]',-0.448,0.548,-0.727,67.085,25.521,21.925,-0.041
'[15:13:57.504 01/01/1996]',-0.405,0.486,-0.663,66.834,25.271,22.825,-0.045
'[15:13:57.506 01/01/1996]',-0.362,0.440,-0.598,66.834,25.271,22.825,-0.045
'[15:13:57.508 01/01/1996]',-0.319,0.386,-0.533,66.834,25.271,22.825,-0.045
'[15:13:57.510 01/01/1996]',-0.277,0.347,-0.484,66.834,25.271,22.825,-0.045
'[15:13:57.512 01/01/1996]',-0.238,0.301,-0.436,66.633,25.521,23.575,-0.050
'[15:13:57.514 01/01/1996]',-0.199,0.263,-0.371,66.633,25.521,23.575,-0.050
'[15:13:57.516 01/01/1996]',-0.162,0.224,-0.323,66.633,25.521,23.575,-0.050
'[15:13:57.518 01/01/1996]',-0.125,0.178,-0.258,66.633,25.521,23.575,-0.050
'[15:13:57.520 01/01/1996]',-0.089,0.139,-0.210,66.382,26.447,24.275,-0.054
'[15:13:57.522 01/01/1996]',-0.052,0.101,-0.145,66.382,26.447,24.275,-0.054
'[15:13:57.524 01/01/1996]',-0.015,0.054,-0.112,66.382,26.447,24.275,-0.054
'[15:13:57.526 01/01/1996]',0.021,0.008,-0.064,66.382,26.447,24.275,-0.054
'[15:13:57.528 01/01/1996]',0.057,-0.030,-0.015,66.131,28.274,24.875,-0.057
'[15:13:57.530 01/01/1996]',0.094,-0.077,0.001,66.131,28.274,24.875,-0.057
'[15:13:57.532 01/01/1996]',0.128,-0.108,0.066,66.131,28.274,24.875,-0.057
'[15:13:57.534 01/01/1996]',0.162,-0.138,0.098,66.131,28.274,24.875,-0.057
'[15:13:57.536 01/01/1996]',0.191,-0.177,0.131,65.980,30.726,25.400,-0.061
'[15:13:57.538 01/01/1996]',0.220,-0.200,0.179,65.980,30.726,25.400,-0.061
'[15:13:57.540 01/01/1996]',0.241,-0.231,0.196,65.980,30.726,25.400,-0.061
'[15:13:57.542 01/01/1996]',0.263,-0.254,0.228,65.980,30.726,25.400,-0.061
'[15:13:57.544 01/01/1996]',0.278,-0.285,0.244,65.729,33.303,25.800,-0.064
'[15:13:57.546 01/01/1996]',0.293,-0.308,0.260,65.729,33.303,25.800,-0.064
'[15:13:57.548 01/01/1996]',0.305,-0.331,0.292,65.729,33.303,25.800,-0.064
'[15:13:57.550 01/01/1996]',0.317,-0.362,0.325,65.729,33.303,25.800,-0.064
'[15:13:57.552 01/01/1996]',0.325,-0.385,0.357,65.427,35.429,26.150,-0.068
'[15:13:57.554 01/01/1996]',0.334,-0.416,0.374,65.427,35.429,26.150,-0.068
'[15:13:57.556 01/01/1996]',0.340,-0.439,0.390,65.427,35.429,26.150,-0.068
'[15:13:57.558 01/01/1996]',0.347,-0.454,0.406,65.427,35.429,26.150,-0.068
'[15:13:57.560 01/01/1996]',0.353,-0.470,0.422,65.075,36.530,26.325,-0.070
'[15:13:57.562 01/01/1996]',0.359,-0.493,0.439,65.075,36.530,26.325,-0.070
'[15:13:57.564 01/01/1996]',0.363,-0.501,0.470,65.075,36.530,26.325,-0.070
'[15:13:57.566 01/01/1996]',0.367,-0.516,0.487,65.075,36.530,26.325,-0.070
'[15:13:57.568 01/01/1996]',0.370,-0.524,0.487,64.623,36.706,26.400,-0.073
'[15:13:57.570 01/01/1996]',0.373,-0.524,0.503,64.623,36.706,26.400,-0.073
'[15:13:57.572 01/01/1996]',0.376,-0.531,0.519,64.623,36.706,26.400,-0.073
'[15:13:57.574 01/01/1996]',0.378,-0.531,0.519,64.623,36.706,26.400,-0.073
'[15:13:57.576 01/01/1996]',0.381,-0.531,0.535,64.020,36.530,26.325,-0.076
'[15:13:57.578 01/01/1996]',0.383,-0.539,0.535,64.020,36.530,26.325,-0.076
'[15:13:57.580 01/01/1996]',0.385,-0.547,0.552,64.020,36.530,26.325,-0.076
'[15:13:57.582 01/01/1996]',0.386,-0.554,0.568,64.020,36.530,26.325,-0.076
'[15:13:57.584 01/01/1996]',0.389,-0.562,0.568,63.518,36.781,26.150,-0.081
'[15:13:57.586 01/01/1996]',0.392,-0.562,0.568,63.518,36.781,26.150,-0.081
'[15:13:57.588 01/01/1996]',0.395,-0.570,0.552,63.518,36.781,26.150,-0.081
'[15:13:57.590 01/01/1996]',0.398,-0.570,0.552,63.518,36.781,26.150,-0.081
'[15:13:57.592 01/01/1996]',0.402,-0.570,0.552,62.965,37.581,25.925,-0.083
'[15:13:57.594 01/01/1996]',0.406,-0.578,0.535,62.965,37.581,25.925,-0.083
'[15:13:57.596 01/01/1996]',0.412,-0.578,0.552,62.965,37.581,25.925,-0.083
'[15:13:57.598 01/01/1996]',0.417,-0.585,0.552,62.965,37.581,25.925,-0.083
'[15:13:57.600 01/01/1996]',0.422,-0.593,0.568,62.462,38.882,25.625,-0.086
'[15:13:57.602 01/01/1996]',0.427,-0.601,0.584,62.462,38.882,25.625,-0.086
'[15:13:57.604 01/01/1996]',0.431,-0.601,0.600,62.462,38.882,25.625,-0.086
'[15:13:57.606 01/01/1996]',0.435,-0.608,0.600,62.462,38.882,25.625,-0.086
'[15:13:57.608 01/01/1996]',0.439,-0.608,0.600,62.010,40.534,25.275,-0.089
'[15:13:57.610 01/01/1996]',0.443,-0.616,0.600,62.010,40.534,25.275,-0.089
'[15:13:57.612 01/01/1996]',0.448,-0.624,0.617,62.010,40.534,25.275,-0.089
'[15:13:57.614 01/01/1996]',0.452,-0.632,0.633,62.010,40.534,25.275,-0.089
'[15:13:57.616 01/01/1996]',0.457,-0.647,0.649,61.709,42.510,24.800,-0.092
'[15:13:57.618 01/01/1996]',0.462,-0.655,0.665,61.709,42.510,24.800,-0.092
'[15:13:57.620 01/01/1996]',0.468,-0.662,0.665,61.709,42.510,24.800,-0.092
'[15:13:57.622 01/01/1996]',0.473,-0.662,0.665,61.709,42.510,24.800,-0.092
'[15:13:57.624 01/01/1996]',0.479,-0.670,0.682,61.558,44.737,24.275,-0.095
'[15:13:57.626 01/01/1996]',0.484,-0.678,0.697,61.558,44.737,24.275,-0.095
'[15:13:57.628 01/01/1996]',0.490,-0.685,0.713,61.558,44.737,24.275,-0.095
'[15:13:57.630 01/01/1996]',0.495,-0.693,0.730,61.558,44.737,24.275,-0.095
'[15:13:57.632 01/01/1996]',0.500,-0.709,0.746,61.508,47.039,23.750,-0.098
'[15:13:57.634 01/01/1996]',0.505,-0.716,0.762,61.508,47.039,23.750,-0.098
'[15:13:57.636 01/01/1996]',0.510,-,0.795,61.508,47.039,23.750,-0.098
'[15:13:57.638 01/01/1996]',0.516,-,0.811,61.508,47.039,23.750,-0.098
'[15:13:57.640 01/01/1996]',0.522,-,0.811,61.558,49.391,23.225,-0.100
'[15:13:57.642 01/01/1996]',0.528,-,0.827,61.558,49.391,23.225,-0.100
'[15:13:57.644 01/01/1996]',0.533,-,0.843,61.558,49.391,23.225,-0.100
'[15:13:57.646 01/01/1996]',0.539,-,0.860,61.558,49.391,23.225,-0.100
'[15:13:57.648 01/01/1996]',0.546,-,0.876,61.960,51.618,22.750,-0.102
'[15:13:57.650 01/01/1996]',0.552,-,0.892,61.960,51.618,22.750,-0.102
'[15:13:57.652 01/01/1996]',0.558,-,0.908,61.960,51.618,22.750,-0.102
'[15:13:57.654 01/01/1996]',0.564,-,0.924,61.960,51.618,22.750,-0.102
'[15:13:57.656 01/01/1996]',0.571,-,0.940,63.015,53.369,22.400,-0.104
'[15:13:57.658 01/01/1996]',0.577,-,0.956,63.015,53.369,22.400,-0.104
'[15:13:57.660 01/01/1996]',0.583,-,0.973,63.015,53.369,22.400,-0.104
'[15:13:57.662 01/01/1996]',0.588,-,0.989,63.015,53.369,22.400,-0.104
'[15:13:57.664 01/01/1996]',0.592,-,1.005,64.874,54.370,22.275,-0.107
'[15:13:57.666 01/01/1996]',0.596,-,1.021,64.874,54.370,22.275,-0.107
'[15:13:57.668 01/01/1996]',0.599,-,1.038,64.874,54.370,22.275,-0.107
'[15:13:57.670 01/01/1996]',0.603,-,1.054,64.874,54.370,22.275,-0.107
'[15:13:57.672 01/01/1996]',0.606,-,1.070,67.387,54.420,22.275,-0.108
'[15:13:57.674 01/01/1996]',0.608,-,1.070,67.387,54.420,22.275,-0.108
'[15:13:57.676 01/01/1996]',0.610,-,1.070,67.387,54.420,22.275,-0.108
'[15:13:57.678 01/01/1996]',0.612,-,1.086,67.387,54.420,22.275,-0.108
'[15:13:57.680 01/01/1996]',0.613,-,1.086,70.251,53.770,22.400,-0.112
'[15:13:57.682 01/01/1996]',0.615,-,1.103,70.251,53.770,22.400,-0.112
'[15:13:57.684 01/01/1996]',0.615,-,1.103,70.251,53.770,22.400,-0.112
'[15:13:57.686 01/01/1996]',0.616,-,1.103,70.251,53.770,22.400,-0.112
'[15:13:57.688 01/01/1996]',0.616,-,1.103,73.116,52.494,22.700,-0.112
'[15:13:57.690 01/01/1996]',0.615,-,1.103,73.116,52.494,22.700,-0.112
'[15:13:57.692 01/01/1996]',0.615,-,1.103,73.116,52.494,22.700,-0.112
'[15:13:57.694 01/01/1996]',0.615,-,1.103,73.116,52.494,22.700,-0.112
'[15:13:57.696 01/01/1996]',0.613,-,1.103,75.226,50.842,23.100,-0.112
'[15:13:57.698 01/01/1996]',0.610,-,1.103,75.226,50.842,23.100,-0.112
'[15:13:57.700 01/01/1996]',0.607,-,1.103,75.226,50.842,23.100,-0.112
'[15:13:57.702 01/01/1996]',0.604,-,1.086,75.226,50.842,23.100,-0.112
'[15:13:57.704 01/01/1996]',0.599,-,1.086,76.382,48.916,23.700,-0.112
'[15:13:57.706 01/01/1996]',0.595,-,1.070,76.382,48.916,23.700,-0.112
'[15:13:57.708 01/01/1996]',0.590,-,1.054,76.382,48.916,23.700,-0.112
'[15:13:57.710 01/01/1996]',0.585,-,1.054,76.382,48.916,23.700,-0.112
'[15:13:57.712 01/01/1996]',0.578,-,1.038,76.683,46.914,24.350,-0.111
'[15:13:57.714 01/01/1996]',0.572,-,1.021,76.683,46.914,24.350,-0.111
'[15:13:57.716 01/01/1996]',0.564,-,1.005,76.683,46.914,24.350,-0.111
'[15:13:57.718 01/01/1996]',0.556,-,0.989,76.683,46.914,24.350,-0.111
'[15:13:57.720 01/01/1996]',0.548,-,0.989,76.181,44.862,25.050,-0.108
'[15:13:57.722 01/01/1996]',0.539,-,0.956,76.181,44.862,25.050,-0.108
'[15:13:57.724 01/01/1996]',0.531,-,0.940,76.181,44.862,25.050,-0.108
'[15:13:57.726 01/01/1996]',0.523,-,0.924,76.181,44.862,25.050,-0.108
'[15:13:57.728 01/01/1996]',0.513,-,0.908,75.226,42.811,25.750,-0.104
'[15:13:57.730 01/01/1996]',0.504,-,0.892,75.226,42.811,25.750,-0.104
'[15:13:57.732 01/01/1996]',0.495,-,0.876,75.226,42.811,25.750,-0.104
'[15:13:57.734 01/01/1996]',0.485,-,0.860,75.226,42.811,25.750,-0.104
'[15:13:57.736 01/01/1996]',0.475,-,0.843,73.869,40.634,26.400,-0.101
'[15:13:57.738 01/01/1996]',0.465,-,0.827,73.869,40.634,26.400,-0.101
