'Time and date','MCL1 ','ABP ','RESP '
'[11:28:02.558 14/08/1994]',-,62.072,-0.877
'[11:28:02.560 14/08/1994]',-,61.760,-0.881
'[11:28:02.562 14/08/1994]',-0.629,61.760,-0.881
'[11:28:02.564 14/08/1994]',-0.547,61.760,-0.881
'[11:28:02.566 14/08/1994]',-0.473,61.760,-0.881
'[11:28:02.568 14/08/1994]',-0.407,61.371,-0.883
'[11:28:02.570 14/08/1994]',-0.340,61.371,-0.883
'[11:28:02.572 14/08/1994]',-0.281,61.371,-0.883
'[11:28:02.574 14/08/1994]',-0.236,61.371,-0.883
'[11:28:02.576 14/08/1994]',-0.207,60.981,-0.885
'[11:28:02.578 14/08/1994]',-0.177,60.981,-0.885
'[11:28:02.580 14/08/1994]',-0.162,60.981,-0.885
'[11:28:02.582 14/08/1994]',-0.133,60.981,-0.885
'[11:28:02.584 14/08/1994]',-0.103,60.514,-0.885
'[11:28:02.586 14/08/1994]',-0.081,60.514,-0.885
'[11:28:02.588 14/08/1994]',-0.066,60.514,-0.885
'[11:28:02.590 14/08/1994]',-0.036,60.514,-0.885
'[11:28:02.592 14/08/1994]',-0.022,60.125,-0.885
'[11:28:02.594 14/08/1994]',-0.014,60.125,-0.885
'[11:28:02.596 14/08/1994]',0.008,60.125,-0.885
'[11:28:02.598 14/08/1994]',0.023,60.125,-0.885
'[11:28:02.600 14/08/1994]',0.037,59.813,-0.884
'[11:28:02.602 14/08/1994]',0.045,59.813,-0.884
'[11:28:02.604 14/08/1994]',0.052,59.813,-0.884
'[11:28:02.606 14/08/1994]',0.067,59.813,-0.884
'[11:28:02.608 14/08/1994]',0.067,59.424,-0.881
'[11:28:02.610 14/08/1994]',0.082,59.424,-0.881
'[11:28:02.612 14/08/1994]',0.082,59.424,-0.881
'[11:28:02.614 14/08/1994]',0.097,59.424,-0.881
'[11:28:02.616 14/08/1994]',0.097,59.034,-0.876
'[11:28:02.618 14/08/1994]',0.097,59.034,-0.876
'[11:28:02.620 14/08/1994]',0.097,59.034,-0.876
'[11:28:02.622 14/08/1994]',0.104,59.034,-0.876
'[11:28:02.624 14/08/1994]',0.104,58.567,-0.870
'[11:28:02.626 14/08/1994]',0.104,58.567,-0.870
'[11:28:02.628 14/08/1994]',0.111,58.567,-0.870
'[11:28:02.630 14/08/1994]',0.111,58.567,-0.870
'[11:28:02.632 14/08/1994]',0.119,58.100,-0.864
'[11:28:02.634 14/08/1994]',0.119,58.100,-0.864
'[11:28:02.636 14/08/1994]',0.119,58.100,-0.864
'[11:28:02.638 14/08/1994]',0.134,58.100,-0.864
'[11:28:02.640 14/08/1994]',0.134,57.632,-0.857
'[11:28:02.642 14/08/1994]',0.134,57.632,-0.857
'[11:28:02.644 14/08/1994]',0.134,57.632,-0.857
'[11:28:02.646 14/08/1994]',0.134,57.632,-0.857
'[11:28:02.648 14/08/1994]',0.134,57.165,-0.851
'[11:28:02.650 14/08/1994]',0.134,57.165,-0.851
'[11:28:02.652 14/08/1994]',0.134,57.165,-0.851
'[11:28:02.654 14/08/1994]',0.134,57.165,-0.851
'[11:28:02.656 14/08/1994]',0.134,56.776,-0.845
'[11:28:02.658 14/08/1994]',0.134,56.776,-0.845
'[11:28:02.660 14/08/1994]',0.134,56.776,-0.845
'[11:28:02.662 14/08/1994]',0.134,56.776,-0.845
'[11:28:02.664 14/08/1994]',0.134,56.308,-0.839
'[11:28:02.666 14/08/1994]',0.119,56.308,-0.839
'[11:28:02.668 14/08/1994]',0.119,56.308,-0.839
'[11:28:02.670 14/08/1994]',0.119,56.308,-0.839
'[11:28:02.672 14/08/1994]',0.119,55.919,-0.833
'[11:28:02.674 14/08/1994]',0.119,55.919,-0.833
'[11:28:02.676 14/08/1994]',0.134,55.919,-0.833
'[11:28:02.678 14/08/1994]',0.134,55.919,-0.833
'[11:28:02.680 14/08/1994]',0.148,55.452,-0.826
'[11:28:02.682 14/08/1994]',0.148,55.452,-0.826
'[11:28:02.684 14/08/1994]',0.156,55.452,-0.826
'[11:28:02.686 14/08/1994]',0.156,55.452,-0.826
'[11:28:02.688 14/08/1994]',0.163,55.218,-0.819
'[11:28:02.690 14/08/1994]',0.163,55.218,-0.819
'[11:28:02.692 14/08/1994]',0.171,55.218,-0.819
'[11:28:02.694 14/08/1994]',0.171,55.218,-0.819
'[11:28:02.696 14/08/1994]',0.171,55.140,-0.811
'[11:28:02.698 14/08/1994]',0.178,55.140,-0.811
'[11:28:02.700 14/08/1994]',0.171,55.140,-0.811
'[11:28:02.702 14/08/1994]',0.178,55.140,-0.811
'[11:28:02.704 14/08/1994]',0.171,55.685,-0.802
'[11:28:02.706 14/08/1994]',0.178,55.685,-0.802
'[11:28:02.708 14/08/1994]',0.178,55.685,-0.802
'[11:28:02.710 14/08/1994]',0.178,55.685,-0.802
'[11:28:02.712 14/08/1994]',0.186,57.477,-0.793
'[11:28:02.714 14/08/1994]',0.178,57.477,-0.793
'[11:28:02.716 14/08/1994]',0.186,57.477,-0.793
'[11:28:02.718 14/08/1994]',0.200,57.477,-0.793
'[11:28:02.720 14/08/1994]',0.200,61.293,-0.784
'[11:28:02.722 14/08/1994]',0.208,61.293,-0.784
'[11:28:02.724 14/08/1994]',0.208,61.293,-0.784
'[11:28:02.726 14/08/1994]',0.215,61.293,-0.784
'[11:28:02.728 14/08/1994]',0.222,67.212,-0.773
'[11:28:02.730 14/08/1994]',0.222,67.212,-0.773
'[11:28:02.732 14/08/1994]',0.230,67.212,-0.773
'[11:28:02.734 14/08/1994]',0.237,67.212,-0.773
'[11:28:02.736 14/08/1994]',0.245,74.065,-0.760
'[11:28:02.738 14/08/1994]',0.245,74.065,-0.760
'[11:28:02.740 14/08/1994]',0.252,74.065,-0.760
'[11:28:02.742 14/08/1994]',0.267,74.065,-0.760
'[11:28:02.744 14/08/1994]',0.274,80.062,-0.745
'[11:28:02.746 14/08/1994]',0.282,80.062,-0.745
'[11:28:02.748 14/08/1994]',0.289,80.062,-0.745
'[11:28:02.750 14/08/1994]',0.297,80.062,-0.745
'[11:28:02.752 14/08/1994]',0.304,84.112,-0.729
'[11:28:02.754 14/08/1994]',0.304,84.112,-0.729
'[11:28:02.756 14/08/1994]',0.311,84.112,-0.729
'[11:28:02.758 14/08/1994]',0.311,84.112,-0.729
'[11:28:02.760 14/08/1994]',0.311,86.371,-0.712
'[11:28:02.762 14/08/1994]',0.319,86.371,-0.712
'[11:28:02.764 14/08/1994]',0.319,86.371,-0.712
'[11:28:02.766 14/08/1994]',0.319,86.371,-0.712
'[11:28:02.768 14/08/1994]',0.311,87.461,-0.696
'[11:28:02.770 14/08/1994]',0.319,87.461,-0.696
'[11:28:02.772 14/08/1994]',0.311,87.461,-0.696
'[11:28:02.774 14/08/1994]',0.311,87.461,-0.696
'[11:28:02.776 14/08/1994]',0.311,88.006,-0.681
'[11:28:02.778 14/08/1994]',0.304,88.006,-0.681
'[11:28:02.780 14/08/1994]',0.304,88.006,-0.681
'[11:28:02.782 14/08/1994]',0.304,88.006,-0.681
'[11:28:02.784 14/08/1994]',0.297,88.240,-0.666
'[11:28:02.786 14/08/1994]',0.297,88.240,-0.666
'[11:28:02.788 14/08/1994]',0.289,88.240,-0.666
'[11:28:02.790 14/08/1994]',0.282,88.240,-0.666
'[11:28:02.792 14/08/1994]',0.282,88.240,-0.653
'[11:28:02.794 14/08/1994]',0.267,88.240,-0.653
'[11:28:02.796 14/08/1994]',0.245,88.240,-0.653
'[11:28:02.798 14/08/1994]',0.230,88.240,-0.653
'[11:28:02.800 14/08/1994]',0.222,88.084,-0.642
'[11:28:02.802 14/08/1994]',0.200,88.084,-0.642
'[11:28:02.804 14/08/1994]',0.178,88.084,-0.642
'[11:28:02.806 14/08/1994]',0.163,88.084,-0.642
'[11:28:02.808 14/08/1994]',0.148,87.695,-0.632
'[11:28:02.810 14/08/1994]',0.134,87.695,-0.632
'[11:28:02.812 14/08/1994]',0.111,87.695,-0.632
'[11:28:02.814 14/08/1994]',0.097,87.695,-0.632
'[11:28:02.816 14/08/1994]',0.089,87.150,-0.625
'[11:28:02.818 14/08/1994]',0.075,87.150,-0.625
'[11:28:02.820 14/08/1994]',0.067,87.150,-0.625
'[11:28:02.822 14/08/1994]',0.052,87.150,-0.625
'[11:28:02.824 14/08/1994]',0.037,86.215,-0.619
'[11:28:02.826 14/08/1994]',0.037,86.215,-0.619
'[11:28:02.828 14/08/1994]',0.030,86.215,-0.619
'[11:28:02.830 14/08/1994]',0.030,86.215,-0.619
'[11:28:02.832 14/08/1994]',0.023,84.969,-0.614
'[11:28:02.834 14/08/1994]',0.015,84.969,-0.614
'[11:28:02.836 14/08/1994]',0.015,84.969,-0.614
'[11:28:02.838 14/08/1994]',0.015,84.969,-0.614
'[11:28:02.840 14/08/1994]',0.008,83.489,-0.610
'[11:28:02.842 14/08/1994]',0.001,83.489,-0.610
'[11:28:02.844 14/08/1994]',-0.007,83.489,-0.610
'[11:28:02.846 14/08/1994]',-0.014,83.489,-0.610
'[11:28:02.848 14/08/1994]',-0.022,81.698,-0.607
'[11:28:02.850 14/08/1994]',-0.029,81.698,-0.607
'[11:28:02.852 14/08/1994]',-0.029,81.698,-0.607
'[11:28:02.854 14/08/1994]',-0.036,81.698,-0.607
'[11:28:02.856 14/08/1994]',-0.036,79.595,-0.605
'[11:28:02.858 14/08/1994]',-0.029,79.595,-0.605
'[11:28:02.860 14/08/1994]',-0.029,79.595,-0.605
'[11:28:02.862 14/08/1994]',-0.029,79.595,-0.605
'[11:28:02.864 14/08/1994]',-0.029,77.414,-0.605
'[11:28:02.866 14/08/1994]',-0.029,77.414,-0.605
'[11:28:02.868 14/08/1994]',-0.029,77.414,-0.605
'[11:28:02.870 14/08/1994]',-0.036,77.414,-0.605
'[11:28:02.872 14/08/1994]',-0.036,75.234,-0.605
'[11:28:02.874 14/08/1994]',-0.044,75.234,-0.605
'[11:28:02.876 14/08/1994]',-0.044,75.234,-0.605
'[11:28:02.878 14/08/1994]',-0.051,75.234,-0.605
'[11:28:02.880 14/08/1994]',-0.051,72.975,-0.607
'[11:28:02.882 14/08/1994]',-0.051,72.975,-0.607
'[11:28:02.884 14/08/1994]',-0.044,72.975,-0.607
'[11:28:02.886 14/08/1994]',-0.051,72.975,-0.607
'[11:28:02.888 14/08/1994]',-0.051,70.561,-0.608
'[11:28:02.890 14/08/1994]',-0.051,70.561,-0.608
'[11:28:02.892 14/08/1994]',-0.051,70.561,-0.608
'[11:28:02.894 14/08/1994]',-0.044,70.561,-0.608
'[11:28:02.896 14/08/1994]',-0.044,68.224,-0.607
'[11:28:02.898 14/08/1994]',-0.029,68.224,-0.607
'[11:28:02.900 14/08/1994]',-0.029,68.224,-0.607
'[11:28:02.902 14/08/1994]',-0.036,68.224,-0.607
'[11:28:02.904 14/08/1994]',-0.036,65.966,-0.604
'[11:28:02.906 14/08/1994]',-0.036,65.966,-0.604
'[11:28:02.908 14/08/1994]',-0.044,65.966,-0.604
'[11:28:02.910 14/08/1994]',-0.044,65.966,-0.604
'[11:28:02.912 14/08/1994]',-0.029,63.941,-0.599
'[11:28:02.914 14/08/1994]',-0.036,63.941,-0.599
'[11:28:02.916 14/08/1994]',-0.029,63.941,-0.599
'[11:28:02.918 14/08/1994]',-0.029,63.941,-0.599
'[11:28:02.920 14/08/1994]',-0.029,62.305,-0.594
'[11:28:02.922 14/08/1994]',-0.036,62.305,-0.594
'[11:28:02.924 14/08/1994]',-0.044,62.305,-0.594
'[11:28:02.926 14/08/1994]',-0.044,62.305,-0.594
'[11:28:02.928 14/08/1994]',-0.044,61.215,-0.588
'[11:28:02.930 14/08/1994]',-0.044,61.215,-0.588
'[11:28:02.932 14/08/1994]',-0.044,61.215,-0.588
'[11:28:02.934 14/08/1994]',-0.044,61.215,-0.588
'[11:28:02.936 14/08/1994]',-0.036,60.514,-0.583
'[11:28:02.938 14/08/1994]',-0.044,60.514,-0.583
'[11:28:02.940 14/08/1994]',-0.036,60.514,-0.583
'[11:28:02.942 14/08/1994]',-0.036,60.514,-0.583
'[11:28:02.944 14/08/1994]',-0.029,60.358,-0.577
'[11:28:02.946 14/08/1994]',-0.029,60.358,-0.577
'[11:28:02.948 14/08/1994]',-0.029,60.358,-0.577
'[11:28:02.950 14/08/1994]',-0.029,60.358,-0.577
'[11:28:02.952 14/08/1994]',-0.029,60.436,-0.571
'[11:28:02.954 14/08/1994]',-0.022,60.436,-0.571
'[11:28:02.956 14/08/1994]',-0.036,60.436,-0.571
'[11:28:02.958 14/08/1994]',-0.029,60.436,-0.571
'[11:28:02.960 14/08/1994]',-0.029,60.514,-0.562
'[11:28:02.962 14/08/1994]',-0.029,60.514,-0.562
'[11:28:02.964 14/08/1994]',-0.036,60.514,-0.562
'[11:28:02.966 14/08/1994]',-0.044,60.514,-0.562
'[11:28:02.968 14/08/1994]',-0.044,60.592,-0.553
'[11:28:02.970 14/08/1994]',-0.036,60.592,-0.553
'[11:28:02.972 14/08/1994]',-0.044,60.592,-0.553
'[11:28:02.974 14/08/1994]',-0.036,60.592,-0.553
'[11:28:02.976 14/08/1994]',-0.036,60.514,-0.542
'[11:28:02.978 14/08/1994]',-0.036,60.514,-0.542
'[11:28:02.980 14/08/1994]',-0.029,60.514,-0.542
'[11:28:02.982 14/08/1994]',-0.029,60.514,-0.542
'[11:28:02.984 14/08/1994]',-0.029,60.436,-0.531
'[11:28:02.986 14/08/1994]',-0.029,60.436,-0.531
'[11:28:02.988 14/08/1994]',-0.029,60.436,-0.531
'[11:28:02.990 14/08/1994]',-0.029,60.436,-0.531
'[11:28:02.992 14/08/1994]',-0.029,60.280,-0.520
'[11:28:02.994 14/08/1994]',-0.022,60.280,-0.520
'[11:28:02.996 14/08/1994]',-0.014,60.280,-0.520
'[11:28:02.998 14/08/1994]',-0.014,60.280,-0.520
'[11:28:03.000 14/08/1994]',-0.007,60.125,-0.509
'[11:28:03.002 14/08/1994]',-0.014,60.125,-0.509
'[11:28:03.004 14/08/1994]',-0.029,60.125,-0.509
'[11:28:03.006 14/08/1994]',-0.044,60.125,-0.509
'[11:28:03.008 14/08/1994]',-0.074,59.969,-0.499
'[11:28:03.010 14/08/1994]',-0.110,59.969,-0.499
'[11:28:03.012 14/08/1994]',-0.170,59.969,-0.499
'[11:28:03.014 14/08/1994]',-0.221,59.969,-0.499
'[11:28:03.016 14/08/1994]',-0.296,59.813,-0.489
'[11:28:03.018 14/08/1994]',-0.377,59.813,-0.489
'[11:28:03.020 14/08/1994]',-0.466,59.813,-0.489
'[11:28:03.022 14/08/1994]',-0.540,59.813,-0.489
'[11:28:03.024 14/08/1994]',-0.614,59.579,-0.481
'[11:28:03.026 14/08/1994]',-,59.579,-0.481
'[11:28:03.028 14/08/1994]',-,59.579,-0.481
'[11:28:03.030 14/08/1994]',-,59.579,-0.481
'[11:28:03.032 14/08/1994]',-,59.346,-0.475
'[11:28:03.034 14/08/1994]',-,59.346,-0.475
'[11:28:03.036 14/08/1994]',-,59.346,-0.475
'[11:28:03.038 14/08/1994]',-,59.346,-0.475
'[11:28:03.040 14/08/1994]',-,59.034,-0.471
'[11:28:03.042 14/08/1994]',-,59.034,-0.471
'[11:28:03.044 14/08/1994]',-,59.034,-0.471
'[11:28:03.046 14/08/1994]',-,59.034,-0.471
'[11:28:03.048 14/08/1994]',-,58.567,-0.466
'[11:28:03.050 14/08/1994]',-,58.567,-0.466
'[11:28:03.052 14/08/1994]',-,58.567,-0.466
'[11:28:03.054 14/08/1994]',-0.621,58.567,-0.466
'[11:28:03.056 14/08/1994]',-0.540,58.100,-0.459
'[11:28:03.058 14/08/1994]',-0.466,58.100,-0.459
'[11:28:03.060 14/08/1994]',-0.399,58.100,-0.459
'[11:28:03.062 14/08/1994]',-0.332,58.100,-0.459
'[11:28:03.064 14/08/1994]',-0.281,57.632,-0.451
'[11:28:03.066 14/08/1994]',-0.229,57.632,-0.451
'[11:28:03.068 14/08/1994]',-0.199,57.632,-0.451
'[11:28:03.070 14/08/1994]',-0.170,57.632,-0.451
'[11:28:03.072 14/08/1994]',-0.147,57.087,-0.441
'[11:28:03.074 14/08/1994]',-0.118,57.087,-0.441
'[11:28:03.076 14/08/1994]',-0.088,57.087,-0.441
'[11:28:03.078 14/08/1994]',-0.066,57.087,-0.441
'[11:28:03.080 14/08/1994]',-0.044,56.698,-0.429
'[11:28:03.082 14/08/1994]',-0.022,56.698,-0.429
'[11:28:03.084 14/08/1994]',-0.014,56.698,-0.429
'[11:28:03.086 14/08/1994]',0.001,56.698,-0.429
'[11:28:03.088 14/08/1994]',0.023,56.308,-0.418
'[11:28:03.090 14/08/1994]',0.030,56.308,-0.418
'[11:28:03.092 14/08/1994]',0.037,56.308,-0.418
'[11:28:03.094 14/08/1994]',0.045,56.308,-0.418
'[11:28:03.096 14/08/1994]',0.052,55.997,-0.406
'[11:28:03.098 14/08/1994]',0.067,55.997,-0.406
'[11:28:03.100 14/08/1994]',0.075,55.997,-0.406
'[11:28:03.102 14/08/1994]',0.089,55.997,-0.406
'[11:28:03.104 14/08/1994]',0.104,55.607,-0.394
'[11:28:03.106 14/08/1994]',0.119,55.607,-0.394
'[11:28:03.108 14/08/1994]',0.134,55.607,-0.394
'[11:28:03.110 14/08/1994]',0.134,55.607,-0.394
'[11:28:03.112 14/08/1994]',0.134,55.140,-0.381
'[11:28:03.114 14/08/1994]',0.134,55.140,-0.381
'[11:28:03.116 14/08/1994]',0.141,55.140,-0.381
'[11:28:03.118 14/08/1994]',0.141,55.140,-0.381
'[11:28:03.120 14/08/1994]',0.141,54.751,-0.367
'[11:28:03.122 14/08/1994]',0.134,54.751,-0.367
'[11:28:03.124 14/08/1994]',0.134,54.751,-0.367
'[11:28:03.126 14/08/1994]',0.134,54.751,-0.367
'[11:28:03.128 14/08/1994]',0.134,54.283,-0.353
'[11:28:03.130 14/08/1994]',0.134,54.283,-0.353
'[11:28:03.132 14/08/1994]',0.134,54.283,-0.353
'[11:28:03.134 14/08/1994]',0.134,54.283,-0.353
'[11:28:03.136 14/08/1994]',0.141,53.816,-0.338
'[11:28:03.138 14/08/1994]',0.141,53.816,-0.338
'[11:28:03.140 14/08/1994]',0.148,53.816,-0.338
'[11:28:03.142 14/08/1994]',0.156,53.816,-0.338
'[11:28:03.144 14/08/1994]',0.156,53.427,-0.322
'[11:28:03.146 14/08/1994]',0.156,53.427,-0.322
'[11:28:03.148 14/08/1994]',0.148,53.427,-0.322
'[11:28:03.150 14/08/1994]',0.156,53.427,-0.322
'[11:28:03.152 14/08/1994]',0.156,52.960,-0.303
'[11:28:03.154 14/08/1994]',0.163,52.960,-0.303
'[11:28:03.156 14/08/1994]',0.163,52.960,-0.303
'[11:28:03.158 14/08/1994]',0.156,52.960,-0.303
'[11:28:03.160 14/08/1994]',0.156,52.570,-0.284
'[11:28:03.162 14/08/1994]',0.156,52.570,-0.284
'[11:28:03.164 14/08/1994]',0.156,52.570,-0.284
'[11:28:03.166 14/08/1994]',0.156,52.570,-0.284
'[11:28:03.168 14/08/1994]',0.156,52.103,-0.264
'[11:28:03.170 14/08/1994]',0.163,52.103,-0.264
'[11:28:03.172 14/08/1994]',0.171,52.103,-0.264
'[11:28:03.174 14/08/1994]',0.163,52.103,-0.264
'[11:28:03.176 14/08/1994]',0.163,51.791,-0.241
'[11:28:03.178 14/08/1994]',0.156,51.791,-0.241
'[11:28:03.180 14/08/1994]',0.163,51.791,-0.241
'[11:28:03.182 14/08/1994]',0.163,51.791,-0.241
'[11:28:03.184 14/08/1994]',0.163,51.480,-0.218
'[11:28:03.186 14/08/1994]',0.163,51.480,-0.218
'[11:28:03.188 14/08/1994]',0.163,51.480,-0.218
'[11:28:03.190 14/08/1994]',0.178,51.480,-0.218
'[11:28:03.192 14/08/1994]',0.186,51.402,-0.193
'[11:28:03.194 14/08/1994]',0.200,51.402,-0.193
'[11:28:03.196 14/08/1994]',0.200,51.402,-0.193
'[11:28:03.198 14/08/1994]',0.200,51.402,-0.193
'[11:28:03.200 14/08/1994]',0.200,51.947,-0.167
'[11:28:03.202 14/08/1994]',0.200,51.947,-0.167
'[11:28:03.204 14/08/1994]',0.200,51.947,-0.167
'[11:28:03.206 14/08/1994]',0.200,51.947,-0.167
'[11:28:03.208 14/08/1994]',0.208,53.738,-0.139
'[11:28:03.210 14/08/1994]',0.215,53.738,-0.139
'[11:28:03.212 14/08/1994]',0.222,53.738,-0.139
'[11:28:03.214 14/08/1994]',0.230,53.738,-0.139
'[11:28:03.216 14/08/1994]',0.230,57.399,-0.108
'[11:28:03.218 14/08/1994]',0.245,57.399,-0.108
'[11:28:03.220 14/08/1994]',0.252,57.399,-0.108
'[11:28:03.222 14/08/1994]',0.274,57.399,-0.108
'[11:28:03.224 14/08/1994]',0.282,62.928,-0.076
'[11:28:03.226 14/08/1994]',0.282,62.928,-0.076
'[11:28:03.228 14/08/1994]',0.289,62.928,-0.076
'[11:28:03.230 14/08/1994]',0.289,62.928,-0.076
'[11:28:03.232 14/08/1994]',0.297,69.237,-0.043
'[11:28:03.234 14/08/1994]',0.297,69.237,-0.043
'[11:28:03.236 14/08/1994]',0.304,69.237,-0.043
'[11:28:03.238 14/08/1994]',0.319,69.237,-0.043
'[11:28:03.240 14/08/1994]',0.333,74.922,-0.008
'[11:28:03.242 14/08/1994]',0.341,74.922,-0.008
'[11:28:03.244 14/08/1994]',0.341,74.922,-0.008
'[11:28:03.246 14/08/1994]',0.348,74.922,-0.008
'[11:28:03.248 14/08/1994]',0.348,78.972,0.029
'[11:28:03.250 14/08/1994]',0.348,78.972,0.029
'[11:28:03.252 14/08/1994]',0.356,78.972,0.029
'[11:28:03.254 14/08/1994]',0.348,78.972,0.029
'[11:28:03.256 14/08/1994]',0.356,81.542,0.068
'[11:28:03.258 14/08/1994]',0.356,81.542,0.068
'[11:28:03.260 14/08/1994]',0.348,81.542,0.068
'[11:28:03.262 14/08/1994]',0.348,81.542,0.068
'[11:28:03.264 14/08/1994]',0.348,82.944,0.107
'[11:28:03.266 14/08/1994]',0.348,82.944,0.107
'[11:28:03.268 14/08/1994]',0.356,82.944,0.107
'[11:28:03.270 14/08/1994]',0.356,82.944,0.107
'[11:28:03.272 14/08/1994]',0.356,83.645,0.148
'[11:28:03.274 14/08/1994]',0.348,83.645,0.148
'[11:28:03.276 14/08/1994]',0.348,83.645,0.148
'[11:28:03.278 14/08/1994]',0.333,83.645,0.148
'[11:28:03.280 14/08/1994]',0.311,83.801,0.191
'[11:28:03.282 14/08/1994]',0.304,83.801,0.191
'[11:28:03.284 14/08/1994]',0.304,83.801,0.191
'[11:28:03.286 14/08/1994]',0.297,83.801,0.191
'[11:28:03.288 14/08/1994]',0.289,83.645,0.233
'[11:28:03.290 14/08/1994]',0.282,83.645,0.233
'[11:28:03.292 14/08/1994]',0.267,83.645,0.233
'[11:28:03.294 14/08/1994]',0.245,83.645,0.233
'[11:28:03.296 14/08/1994]',0.222,83.333,0.277
'[11:28:03.298 14/08/1994]',0.200,83.333,0.277
'[11:28:03.300 14/08/1994]',0.200,83.333,0.277
'[11:28:03.302 14/08/1994]',0.171,83.333,0.277
'[11:28:03.304 14/08/1994]',0.163,82.866,0.320
'[11:28:03.306 14/08/1994]',0.141,82.866,0.320
'[11:28:03.308 14/08/1994]',0.134,82.866,0.320
'[11:28:03.310 14/08/1994]',0.119,82.866,0.320
'[11:28:03.312 14/08/1994]',0.104,82.165,0.363
'[11:28:03.314 14/08/1994]',0.089,82.165,0.363
'[11:28:03.316 14/08/1994]',0.082,82.165,0.363
'[11:28:03.318 14/08/1994]',0.067,82.165,0.363
'[11:28:03.320 14/08/1994]',0.052,81.231,0.406
'[11:28:03.322 14/08/1994]',0.052,81.231,0.406
'[11:28:03.324 14/08/1994]',0.045,81.231,0.406
'[11:28:03.326 14/08/1994]',0.045,81.231,0.406
'[11:28:03.328 14/08/1994]',0.045,80.062,0.448
'[11:28:03.330 14/08/1994]',0.037,80.062,0.448
'[11:28:03.332 14/08/1994]',0.030,80.062,0.448
'[11:28:03.334 14/08/1994]',0.023,80.062,0.448
'[11:28:03.336 14/08/1994]',0.008,78.583,0.488
'[11:28:03.338 14/08/1994]',0.001,78.583,0.488
'[11:28:03.340 14/08/1994]',0.001,78.583,0.488
'[11:28:03.342 14/08/1994]',0.001,78.583,0.488
'[11:28:03.344 14/08/1994]',-0.007,76.869,0.526
'[11:28:03.346 14/08/1994]',-0.014,76.869,0.526
'[11:28:03.348 14/08/1994]',-0.007,76.869,0.526
'[11:28:03.350 14/08/1994]',0.001,76.869,0.526
'[11:28:03.352 14/08/1994]',0.001,75.078,0.562
'[11:28:03.354 14/08/1994]',-0.007,75.078,0.562
'[11:28:03.356 14/08/1994]',-0.014,75.078,0.562
'[11:28:03.358 14/08/1994]',-0.014,75.078,0.562
'[11:28:03.360 14/08/1994]',-0.014,72.975,0.597
'[11:28:03.362 14/08/1994]',-0.022,72.975,0.597
'[11:28:03.364 14/08/1994]',-0.022,72.975,0.597
'[11:28:03.366 14/08/1994]',-0.029,72.975,0.597
'[11:28:03.368 14/08/1994]',-0.036,70.794,0.629
'[11:28:03.370 14/08/1994]',-0.036,70.794,0.629
'[11:28:03.372 14/08/1994]',-0.036,70.794,0.629
'[11:28:03.374 14/08/1994]',-0.044,70.794,0.629
'[11:28:03.376 14/08/1994]',-0.029,68.536,0.661
'[11:28:03.378 14/08/1994]',-0.022,68.536,0.661
'[11:28:03.380 14/08/1994]',-0.029,68.536,0.661
'[11:28:03.382 14/08/1994]',-0.029,68.536,0.661
'[11:28:03.384 14/08/1994]',-0.029,66.199,0.692
'[11:28:03.386 14/08/1994]',-0.029,66.199,0.692
'[11:28:03.388 14/08/1994]',-0.036,66.199,0.692
'[11:28:03.390 14/08/1994]',-0.029,66.199,0.692
'[11:28:03.392 14/08/1994]',-0.029,64.019,0.721
'[11:28:03.394 14/08/1994]',-0.029,64.019,0.721
'[11:28:03.396 14/08/1994]',-0.029,64.019,0.721
'[11:28:03.398 14/08/1994]',-0.022,64.019,0.721
'[11:28:03.400 14/08/1994]',-0.022,61.838,0.749
'[11:28:03.402 14/08/1994]',-0.029,61.838,0.749
'[11:28:03.404 14/08/1994]',-0.022,61.838,0.749
'[11:28:03.406 14/08/1994]',-0.014,61.838,0.749
'[11:28:03.408 14/08/1994]',-0.014,60.047,0.775
'[11:28:03.410 14/08/1994]',-0.014,60.047,0.775
'[11:28:03.412 14/08/1994]',-0.014,60.047,0.775
'[11:28:03.414 14/08/1994]',-0.014,60.047,0.775
'[11:28:03.416 14/08/1994]',-0.014,58.645,0.799
'[11:28:03.418 14/08/1994]',-0.022,58.645,0.799
'[11:28:03.420 14/08/1994]',-0.029,58.645,0.799
'[11:28:03.422 14/08/1994]',-0.029,58.645,0.799
'[11:28:03.424 14/08/1994]',-0.022,57.788,0.823
'[11:28:03.426 14/08/1994]',-0.022,57.788,0.823
'[11:28:03.428 14/08/1994]',-0.022,57.788,0.823
'[11:28:03.430 14/08/1994]',-0.022,57.788,0.823
'[11:28:03.432 14/08/1994]',-0.007,57.555,0.843
'[11:28:03.434 14/08/1994]',-0.014,57.555,0.843
'[11:28:03.436 14/08/1994]',-0.014,57.555,0.843
'[11:28:03.438 14/08/1994]',-0.022,57.555,0.843
'[11:28:03.440 14/08/1994]',-0.014,57.710,0.859
'[11:28:03.442 14/08/1994]',-0.022,57.710,0.859
'[11:28:03.444 14/08/1994]',-0.022,57.710,0.859
'[11:28:03.446 14/08/1994]',-0.022,57.710,0.859
'[11:28:03.448 14/08/1994]',-0.029,58.178,0.871
'[11:28:03.450 14/08/1994]',-0.022,58.178,0.871
'[11:28:03.452 14/08/1994]',-0.022,58.178,0.871
'[11:28:03.454 14/08/1994]',-0.022,58.178,0.871
