'Time and date','V','II','ABP','RESP'
'[10:40:52.258 04/04/1996]',0.058,-0.052,70.413,1.024
'[10:40:52.260 04/04/1996]',0.058,-0.052,70.413,1.024
'[10:40:52.262 04/04/1996]',0.058,-0.052,70.413,1.024
'[10:40:52.264 04/04/1996]',0.058,-0.025,70.312,1.024
'[10:40:52.266 04/04/1996]',0.047,-0.025,70.312,1.024
'[10:40:52.268 04/04/1996]',0.047,-0.025,70.312,1.024
'[10:40:52.270 04/04/1996]',0.047,-0.025,70.312,1.024
'[10:40:52.272 04/04/1996]',0.047,0.002,70.111,1.024
'[10:40:52.274 04/04/1996]',0.047,0.002,70.111,1.024
'[10:40:52.276 04/04/1996]',0.047,0.002,70.111,1.024
'[10:40:52.278 04/04/1996]',0.035,0.002,70.111,1.024
'[10:40:52.280 04/04/1996]',0.035,0.002,69.808,1.024
'[10:40:52.282 04/04/1996]',0.035,0.002,69.808,1.024
'[10:40:52.284 04/04/1996]',0.035,0.002,69.808,1.024
'[10:40:52.286 04/04/1996]',0.024,0.028,69.808,1.024
'[10:40:52.288 04/04/1996]',0.024,0.028,69.405,1.024
'[10:40:52.290 04/04/1996]',0.024,0.028,69.405,1.024
'[10:40:52.292 04/04/1996]',0.024,0.055,69.405,1.024
'[10:40:52.294 04/04/1996]',0.024,0.055,69.405,1.024
'[10:40:52.296 04/04/1996]',0.024,0.083,69.002,1.024
'[10:40:52.298 04/04/1996]',0.024,0.083,69.002,1.024
'[10:40:52.300 04/04/1996]',0.024,0.083,69.002,1.024
'[10:40:52.302 04/04/1996]',0.024,0.110,69.002,1.024
'[10:40:52.304 04/04/1996]',0.024,0.110,68.548,1.024
'[10:40:52.306 04/04/1996]',0.024,0.110,68.548,1.024
'[10:40:52.308 04/04/1996]',0.012,0.137,68.548,1.024
'[10:40:52.310 04/04/1996]',0.012,0.110,68.548,1.024
'[10:40:52.312 04/04/1996]',0.012,0.137,67.994,1.024
'[10:40:52.314 04/04/1996]',0.012,0.137,67.994,1.024
'[10:40:52.316 04/04/1996]',0.012,0.137,67.994,1.024
'[10:40:52.318 04/04/1996]',0.012,0.137,67.994,1.024
'[10:40:52.320 04/04/1996]',0.012,0.137,67.641,1.024
'[10:40:52.322 04/04/1996]',0.012,0.137,67.641,1.024
'[10:40:52.324 04/04/1996]',0.012,0.137,67.641,1.024
'[10:40:52.326 04/04/1996]',0.012,0.137,67.641,1.024
'[10:40:52.328 04/04/1996]',0.012,0.110,67.742,1.024
'[10:40:52.330 04/04/1996]',0.012,0.110,67.742,1.024
'[10:40:52.332 04/04/1996]',0.012,0.110,67.742,1.024
'[10:40:52.334 04/04/1996]',0.012,0.110,67.742,1.024
'[10:40:52.336 04/04/1996]',0.024,0.110,68.750,1.024
'[10:40:52.338 04/04/1996]',0.024,0.083,68.750,1.024
'[10:40:52.340 04/04/1996]',0.024,0.083,68.750,1.024
'[10:40:52.342 04/04/1996]',0.024,0.055,68.750,1.024
'[10:40:52.344 04/04/1996]',0.024,0.055,71.018,1.024
'[10:40:52.346 04/04/1996]',0.024,0.055,71.018,1.024
'[10:40:52.348 04/04/1996]',0.024,0.028,71.018,1.024
'[10:40:52.350 04/04/1996]',0.024,0.028,71.018,1.024
'[10:40:52.352 04/04/1996]',0.024,0.028,74.446,1.024
'[10:40:52.354 04/04/1996]',0.024,0.002,74.446,1.024
'[10:40:52.356 04/04/1996]',0.024,0.002,74.446,1.024
'[10:40:52.358 04/04/1996]',0.024,0.002,74.446,1.024
'[10:40:52.360 04/04/1996]',0.035,0.002,78.931,1.024
'[10:40:52.362 04/04/1996]',0.024,0.002,78.931,1.024
'[10:40:52.364 04/04/1996]',0.024,0.002,78.931,1.024
'[10:40:52.366 04/04/1996]',0.024,0.002,78.931,1.024
'[10:40:52.368 04/04/1996]',0.024,0.002,84.073,1.024
'[10:40:52.370 04/04/1996]',0.024,-0.025,84.073,1.024
'[10:40:52.372 04/04/1996]',0.024,-0.025,84.073,1.024
'[10:40:52.374 04/04/1996]',0.024,-0.025,84.073,1.024
'[10:40:52.376 04/04/1996]',0.024,-0.025,89.415,1.024
'[10:40:52.378 04/04/1996]',0.024,-0.025,89.415,1.024
'[10:40:52.380 04/04/1996]',0.024,-0.052,89.415,1.024
'[10:40:52.382 04/04/1996]',0.024,-0.052,89.415,1.024
'[10:40:52.384 04/04/1996]',0.024,-0.052,94.708,1.024
'[10:40:52.386 04/04/1996]',0.024,-0.052,94.708,1.024
'[10:40:52.388 04/04/1996]',0.024,-0.052,94.708,1.024
'[10:40:52.390 04/04/1996]',0.024,-0.052,94.708,1.024
'[10:40:52.392 04/04/1996]',0.024,-0.079,99.496,1.024
'[10:40:52.394 04/04/1996]',0.024,-0.079,99.496,1.024
'[10:40:52.396 04/04/1996]',0.024,-0.079,99.496,1.024
'[10:40:52.398 04/04/1996]',0.024,-0.079,99.496,1.024
'[10:40:52.400 04/04/1996]',0.024,-0.079,103.427,1.024
'[10:40:52.402 04/04/1996]',0.024,-0.079,103.427,1.024
'[10:40:52.404 04/04/1996]',0.024,-0.106,103.427,1.024
'[10:40:52.406 04/04/1996]',0.024,-0.106,103.427,1.024
'[10:40:52.408 04/04/1996]',0.024,-0.106,106.250,1.024
'[10:40:52.410 04/04/1996]',0.024,-0.106,106.250,1.024
'[10:40:52.412 04/04/1996]',0.035,-0.106,106.250,1.024
'[10:40:52.414 04/04/1996]',0.024,-0.106,106.250,1.024
'[10:40:52.416 04/04/1996]',0.024,-0.106,107.863,1.024
'[10:40:52.418 04/04/1996]',0.024,-0.106,107.863,1.024
'[10:40:52.420 04/04/1996]',0.024,-0.106,107.863,1.024
'[10:40:52.422 04/04/1996]',0.024,-0.106,107.863,1.024
'[10:40:52.424 04/04/1996]',0.024,-0.106,108.165,1.024
'[10:40:52.426 04/04/1996]',0.024,-0.106,108.165,1.024
'[10:40:52.428 04/04/1996]',0.024,-0.106,108.165,1.024
'[10:40:52.430 04/04/1996]',0.024,-0.106,108.165,1.024
'[10:40:52.432 04/04/1996]',0.024,-0.106,107.258,1.024
'[10:40:52.434 04/04/1996]',0.024,-0.106,107.258,1.024
'[10:40:52.436 04/04/1996]',0.024,-0.079,107.258,1.024
'[10:40:52.438 04/04/1996]',0.024,-0.079,107.258,1.024
'[10:40:52.440 04/04/1996]',0.024,-0.079,105.494,1.024
'[10:40:52.442 04/04/1996]',0.024,-0.079,105.494,1.024
'[10:40:52.444 04/04/1996]',0.024,-0.079,105.494,1.024
'[10:40:52.446 04/04/1996]',0.024,-0.079,105.494,1.024
'[10:40:52.448 04/04/1996]',0.024,-0.079,103.075,1.024
'[10:40:52.450 04/04/1996]',0.024,-0.079,103.075,1.024
'[10:40:52.452 04/04/1996]',0.024,-0.079,103.075,1.024
'[10:40:52.454 04/04/1996]',0.024,-0.079,103.075,1.024
'[10:40:52.456 04/04/1996]',0.024,-0.079,100.302,1.024
'[10:40:52.458 04/04/1996]',0.024,-0.079,100.302,1.024
'[10:40:52.460 04/04/1996]',0.024,-0.079,100.302,1.024
'[10:40:52.462 04/04/1996]',0.024,-0.079,100.302,1.024
'[10:40:52.464 04/04/1996]',0.024,-0.079,97.329,1.024
'[10:40:52.466 04/04/1996]',0.024,-0.079,97.329,1.024
'[10:40:52.468 04/04/1996]',0.024,-0.079,97.329,1.024
'[10:40:52.470 04/04/1996]',0.024,-0.106,97.329,1.024
'[10:40:52.472 04/04/1996]',0.024,-0.079,94.355,1.024
'[10:40:52.474 04/04/1996]',0.024,-0.079,94.355,1.024
'[10:40:52.476 04/04/1996]',0.024,-0.079,94.355,1.024
'[10:40:52.478 04/04/1996]',0.024,-0.079,94.355,1.024
'[10:40:52.480 04/04/1996]',0.024,-0.052,91.331,1.024
'[10:40:52.482 04/04/1996]',0.024,-0.052,91.331,1.024
'[10:40:52.484 04/04/1996]',0.024,-0.052,91.331,1.024
'[10:40:52.486 04/04/1996]',0.024,-0.025,91.331,1.024
'[10:40:52.488 04/04/1996]',0.024,-0.052,88.357,1.024
'[10:40:52.490 04/04/1996]',0.024,-0.052,88.357,1.024
'[10:40:52.492 04/04/1996]',0.024,-0.052,88.357,1.024
'[10:40:52.494 04/04/1996]',0.024,-0.052,88.357,1.024
'[10:40:52.496 04/04/1996]',0.024,-0.025,85.484,1.024
'[10:40:52.498 04/04/1996]',0.024,-0.025,85.484,1.024
'[10:40:52.500 04/04/1996]',0.012,-0.025,85.484,1.024
'[10:40:52.502 04/04/1996]',0.012,-0.025,85.484,1.024
'[10:40:52.504 04/04/1996]',0.012,-0.025,82.560,1.024
'[10:40:52.506 04/04/1996]',0.012,-0.025,82.560,1.024
'[10:40:52.508 04/04/1996]',0.012,-0.025,82.560,1.024
'[10:40:52.510 04/04/1996]',0.012,-0.025,82.560,1.024
'[10:40:52.512 04/04/1996]',0.001,-0.025,79.738,1.024
'[10:40:52.514 04/04/1996]',0.001,-0.025,79.738,1.024
'[10:40:52.516 04/04/1996]',0.001,-0.025,79.738,1.024
'[10:40:52.518 04/04/1996]',0.001,-0.025,79.738,1.024
'[10:40:52.520 04/04/1996]',0.001,-0.025,77.016,1.024
'[10:40:52.522 04/04/1996]',0.001,-0.025,77.016,1.024
'[10:40:52.524 04/04/1996]',0.001,-0.052,77.016,1.024
'[10:40:52.526 04/04/1996]',0.001,-0.052,77.016,1.024
'[10:40:52.528 04/04/1996]',0.001,-0.079,74.597,1.024
'[10:40:52.530 04/04/1996]',0.012,-0.079,74.597,1.024
'[10:40:52.532 04/04/1996]',0.012,-0.106,74.597,1.024
'[10:40:52.534 04/04/1996]',0.024,-0.106,74.597,1.024
'[10:40:52.536 04/04/1996]',0.024,-0.106,72.429,1.024
'[10:40:52.538 04/04/1996]',0.024,-0.106,72.429,1.024
'[10:40:52.540 04/04/1996]',0.024,-0.133,72.429,1.024
'[10:40:52.542 04/04/1996]',0.035,-0.133,72.429,1.024
'[10:40:52.544 04/04/1996]',0.035,-0.133,70.665,1.024
'[10:40:52.546 04/04/1996]',0.035,-0.133,70.665,1.024
'[10:40:52.548 04/04/1996]',0.047,-0.133,70.665,1.024
'[10:40:52.550 04/04/1996]',0.024,-0.133,70.665,1.024
'[10:40:52.552 04/04/1996]',0.047,-0.133,69.254,1.024
'[10:40:52.554 04/04/1996]',0.047,-0.160,69.254,1.024
'[10:40:52.556 04/04/1996]',0.047,-0.160,69.254,1.024
'[10:40:52.558 04/04/1996]',0.047,-0.160,69.254,1.024
'[10:40:52.560 04/04/1996]',0.047,-0.160,68.044,1.024
'[10:40:52.562 04/04/1996]',0.047,-0.160,68.044,1.024
'[10:40:52.564 04/04/1996]',0.047,-0.160,68.044,1.024
'[10:40:52.566 04/04/1996]',0.058,-0.187,68.044,1.024
'[10:40:52.568 04/04/1996]',0.058,-0.187,67.288,1.024
'[10:40:52.570 04/04/1996]',0.070,-0.215,67.288,1.024
'[10:40:52.572 04/04/1996]',0.070,-0.242,67.288,1.024
'[10:40:52.574 04/04/1996]',0.081,-0.215,67.288,1.024
'[10:40:52.576 04/04/1996]',0.081,-0.215,66.835,1.024
'[10:40:52.578 04/04/1996]',0.058,-0.160,66.835,1.024
'[10:40:52.580 04/04/1996]',0.024,-0.052,66.835,1.024
'[10:40:52.582 04/04/1996]',0.001,0.028,66.835,1.024
'[10:40:52.584 04/04/1996]',-0.057,0.191,66.633,1.024
'[10:40:52.586 04/04/1996]',-0.138,0.407,66.633,1.024
'[10:40:52.588 04/04/1996]',-0.230,0.624,66.633,1.024
'[10:40:52.590 04/04/1996]',-0.322,0.813,66.633,1.024
'[10:40:52.592 04/04/1996]',-0.403,1.002,66.734,1.024
'[10:40:52.594 04/04/1996]',-0.461,1.138,66.734,1.024
'[10:40:52.596 04/04/1996]',-0.529,1.218,66.734,1.024
'[10:40:52.598 04/04/1996]',-0.553,1.245,66.734,1.024
'[10:40:52.600 04/04/1996]',-0.553,1.245,67.087,1.024
'[10:40:52.602 04/04/1996]',-0.529,1.164,67.087,1.024
'[10:40:52.604 04/04/1996]',-0.461,0.975,67.087,1.024
'[10:40:52.606 04/04/1996]',-0.380,0.678,67.087,1.024
'[10:40:52.608 04/04/1996]',-0.264,0.327,67.641,1.024
'[10:40:52.610 04/04/1996]',-0.149,0.002,67.641,1.024
'[10:40:52.612 04/04/1996]',-0.068,-0.187,67.641,1.024
'[10:40:52.614 04/04/1996]',-0.022,-0.296,67.641,1.024
'[10:40:52.616 04/04/1996]',0.001,-0.323,68.296,1.024
'[10:40:52.618 04/04/1996]',0.012,-0.323,68.296,1.024
'[10:40:52.620 04/04/1996]',0.024,-0.323,68.296,1.024
'[10:40:52.622 04/04/1996]',0.035,-0.296,68.296,1.024
'[10:40:52.624 04/04/1996]',0.047,-0.269,68.952,1.024
'[10:40:52.626 04/04/1996]',0.058,-0.242,68.952,1.024
'[10:40:52.628 04/04/1996]',0.058,-0.215,68.952,1.024
'[10:40:52.630 04/04/1996]',0.058,-0.215,68.952,1.024
'[10:40:52.632 04/04/1996]',0.058,-0.187,69.506,1.024
'[10:40:52.634 04/04/1996]',0.058,-0.160,69.506,1.024
'[10:40:52.636 04/04/1996]',0.058,-0.187,69.506,1.024
'[10:40:52.638 04/04/1996]',0.058,-0.160,69.506,1.024
'[10:40:52.640 04/04/1996]',0.070,-0.160,70.060,1.024
'[10:40:52.642 04/04/1996]',0.058,-0.160,70.060,1.024
'[10:40:52.644 04/04/1996]',0.058,-0.160,70.060,1.024
'[10:40:52.646 04/04/1996]',0.070,-0.160,70.060,1.024
'[10:40:52.648 04/04/1996]',0.070,-0.160,70.464,1.024
'[10:40:52.650 04/04/1996]',0.070,-0.133,70.464,1.024
'[10:40:52.652 04/04/1996]',0.070,-0.133,70.464,1.024
'[10:40:52.654 04/04/1996]',0.070,-0.133,70.464,1.024
'[10:40:52.656 04/04/1996]',0.058,-0.133,70.766,1.024
'[10:40:52.658 04/04/1996]',0.070,-0.133,70.766,1.024
'[10:40:52.660 04/04/1996]',0.058,-0.106,70.766,1.024
'[10:40:52.662 04/04/1996]',0.058,-0.106,70.766,1.024
'[10:40:52.664 04/04/1996]',0.058,-0.106,70.968,1.024
'[10:40:52.666 04/04/1996]',0.058,-0.106,70.968,1.024
'[10:40:52.668 04/04/1996]',0.058,-0.106,70.968,1.024
'[10:40:52.670 04/04/1996]',0.058,-0.106,70.968,1.024
'[10:40:52.672 04/04/1996]',0.058,-0.079,71.018,1.024
'[10:40:52.674 04/04/1996]',0.058,-0.079,71.018,1.024
'[10:40:52.676 04/04/1996]',0.058,-0.079,71.018,1.024
'[10:40:52.678 04/04/1996]',0.047,-0.079,71.018,1.024
'[10:40:52.680 04/04/1996]',0.047,-0.052,70.867,1.024
'[10:40:52.682 04/04/1996]',0.047,-0.052,70.867,1.024
'[10:40:52.684 04/04/1996]',0.047,-0.052,70.867,1.024
'[10:40:52.686 04/04/1996]',0.047,-0.025,70.867,1.024
'[10:40:52.688 04/04/1996]',0.047,-0.025,70.716,1.024
'[10:40:52.690 04/04/1996]',0.047,-0.025,70.716,1.024
'[10:40:52.692 04/04/1996]',0.047,0.002,70.716,1.024
'[10:40:52.694 04/04/1996]',0.035,0.002,70.716,1.024
'[10:40:52.696 04/04/1996]',0.035,0.002,70.413,1.024
'[10:40:52.698 04/04/1996]',0.035,0.002,70.413,1.024
'[10:40:52.700 04/04/1996]',0.024,0.002,70.413,1.024
'[10:40:52.702 04/04/1996]',0.024,0.002,70.413,1.024
'[10:40:52.704 04/04/1996]',0.024,0.028,70.060,1.024
'[10:40:52.706 04/04/1996]',0.024,0.028,70.060,1.024
'[10:40:52.708 04/04/1996]',0.024,0.028,70.060,1.024
'[10:40:52.710 04/04/1996]',0.024,0.055,70.060,1.024
'[10:40:52.712 04/04/1996]',0.024,0.055,69.657,1.024
'[10:40:52.714 04/04/1996]',0.012,0.083,69.657,1.024
'[10:40:52.716 04/04/1996]',0.012,0.083,69.657,1.024
'[10:40:52.718 04/04/1996]',0.012,0.083,69.657,1.024
'[10:40:52.720 04/04/1996]',0.012,0.110,69.103,1.024
'[10:40:52.722 04/04/1996]',0.012,0.110,69.103,1.024
'[10:40:52.724 04/04/1996]',0.012,0.110,69.103,1.024
'[10:40:52.726 04/04/1996]',0.001,0.137,69.103,1.024
'[10:40:52.728 04/04/1996]',0.012,0.137,68.548,1.024
'[10:40:52.730 04/04/1996]',0.001,0.137,68.548,1.024
'[10:40:52.732 04/04/1996]',0.001,0.137,68.548,1.024
'[10:40:52.734 04/04/1996]',0.001,0.137,68.548,1.024
'[10:40:52.736 04/04/1996]',0.001,0.164,67.944,1.024
'[10:40:52.738 04/04/1996]',0.001,0.164,67.944,1.024
'[10:40:52.740 04/04/1996]',0.001,0.164,67.944,1.024
'[10:40:52.742 04/04/1996]',0.001,0.164,67.944,1.024
'[10:40:52.744 04/04/1996]',0.001,0.164,67.540,1.024
'[10:40:52.746 04/04/1996]',0.001,0.164,67.540,1.024
'[10:40:52.748 04/04/1996]',0.001,0.137,67.540,1.024
'[10:40:52.750 04/04/1996]',0.012,0.137,67.540,1.024
'[10:40:52.752 04/04/1996]',0.012,0.137,67.540,1.024
'[10:40:52.754 04/04/1996]',0.012,0.137,67.540,1.024
'[10:40:52.756 04/04/1996]',0.012,0.110,67.540,1.024
'[10:40:52.758 04/04/1996]',0.012,0.110,67.540,1.024
'[10:40:52.760 04/04/1996]',0.012,0.110,68.347,1.024
'[10:40:52.762 04/04/1996]',0.024,0.083,68.347,1.024
'[10:40:52.764 04/04/1996]',0.024,0.083,68.347,1.024
'[10:40:52.766 04/04/1996]',0.024,0.055,68.347,1.024
'[10:40:52.768 04/04/1996]',0.024,0.055,70.312,1.024
'[10:40:52.770 04/04/1996]',0.024,0.055,70.312,1.024
'[10:40:52.772 04/04/1996]',0.024,0.055,70.312,1.024
'[10:40:52.774 04/04/1996]',0.024,0.028,70.312,1.024
'[10:40:52.776 04/04/1996]',0.024,0.028,73.538,1.024
'[10:40:52.778 04/04/1996]',0.024,0.002,73.538,1.024
'[10:40:52.780 04/04/1996]',0.024,0.002,73.538,1.024
'[10:40:52.782 04/04/1996]',0.024,0.002,73.538,1.024
'[10:40:52.784 04/04/1996]',0.024,0.002,77.873,1.024
'[10:40:52.786 04/04/1996]',0.024,0.002,77.873,1.024
'[10:40:52.788 04/04/1996]',0.024,0.002,77.873,1.024
'[10:40:52.790 04/04/1996]',0.024,0.002,77.873,1.024
'[10:40:52.792 04/04/1996]',0.024,0.002,82.812,1.024
'[10:40:52.794 04/04/1996]',0.024,0.002,82.812,1.024
'[10:40:52.796 04/04/1996]',0.024,0.002,82.812,1.024
'[10:40:52.798 04/04/1996]',0.024,-0.025,82.812,1.024
'[10:40:52.800 04/04/1996]',0.024,-0.025,88.155,1.024
'[10:40:52.802 04/04/1996]',0.024,-0.025,88.155,1.024
'[10:40:52.804 04/04/1996]',0.024,-0.025,88.155,1.024
'[10:40:52.806 04/04/1996]',0.024,-0.025,88.155,1.024
'[10:40:52.808 04/04/1996]',0.024,-0.025,93.448,1.024
'[10:40:52.810 04/04/1996]',0.012,-0.052,93.448,1.024
'[10:40:52.812 04/04/1996]',0.012,-0.052,93.448,1.024
'[10:40:52.814 04/04/1996]',0.024,-0.052,93.448,1.024
'[10:40:52.816 04/04/1996]',0.024,-0.052,98.286,1.024
'[10:40:52.818 04/04/1996]',0.024,-0.052,98.286,1.024
'[10:40:52.820 04/04/1996]',0.012,-0.052,98.286,1.024
'[10:40:52.822 04/04/1996]',0.024,-0.052,98.286,1.024
'[10:40:52.824 04/04/1996]',0.012,-0.052,102.369,1.024
'[10:40:52.826 04/04/1996]',0.024,-0.079,102.369,1.024
'[10:40:52.828 04/04/1996]',0.012,-0.079,102.369,1.024
'[10:40:52.830 04/04/1996]',0.024,-0.079,102.369,1.024
'[10:40:52.832 04/04/1996]',0.012,-0.079,105.343,1.012
'[10:40:52.834 04/04/1996]',0.012,-0.079,105.343,1.012
'[10:40:52.836 04/04/1996]',0.024,-0.079,105.343,1.012
'[10:40:52.838 04/04/1996]',0.012,-0.079,105.343,1.012
'[10:40:52.840 04/04/1996]',0.024,-0.079,106.905,0.986
'[10:40:52.842 04/04/1996]',0.012,-0.079,106.905,0.986
'[10:40:52.844 04/04/1996]',0.012,-0.079,106.905,0.986
'[10:40:52.846 04/04/1996]',0.012,-0.079,106.905,0.986
'[10:40:52.848 04/04/1996]',0.012,-0.079,107.208,0.959
'[10:40:52.850 04/04/1996]',0.012,-0.079,107.208,0.959
'[10:40:52.852 04/04/1996]',0.012,-0.052,107.208,0.959
'[10:40:52.854 04/04/1996]',0.012,-0.052,107.208,0.959
'[10:40:52.856 04/04/1996]',0.012,-0.052,106.351,0.932
'[10:40:52.858 04/04/1996]',0.012,-0.052,106.351,0.932
'[10:40:52.860 04/04/1996]',0.012,-0.052,106.351,0.932
'[10:40:52.862 04/04/1996]',0.012,-0.052,106.351,0.932
'[10:40:52.864 04/04/1996]',0.012,-0.052,104.486,0.904
'[10:40:52.866 04/04/1996]',0.012,-0.052,104.486,0.904
'[10:40:52.868 04/04/1996]',0.012,-0.052,104.486,0.904
'[10:40:52.870 04/04/1996]',0.012,-0.052,104.486,0.904
'[10:40:52.872 04/04/1996]',0.012,-0.052,102.016,0.876
'[10:40:52.874 04/04/1996]',0.012,-0.052,102.016,0.876
'[10:40:52.876 04/04/1996]',0.012,-0.052,102.016,0.876
'[10:40:52.878 04/04/1996]',0.012,-0.052,102.016,0.876
'[10:40:52.880 04/04/1996]',0.012,-0.052,99.143,0.846
'[10:40:52.882 04/04/1996]',0.012,-0.052,99.143,0.846
'[10:40:52.884 04/04/1996]',0.024,-0.052,99.143,0.846
'[10:40:52.886 04/04/1996]',0.024,-0.052,99.143,0.846
'[10:40:52.888 04/04/1996]',0.024,-0.052,95.968,0.815
'[10:40:52.890 04/04/1996]',0.024,-0.079,95.968,0.815
'[10:40:52.892 04/04/1996]',0.012,-0.079,95.968,0.815
'[10:40:52.894 04/04/1996]',0.024,-0.079,95.968,0.815
'[10:40:52.896 04/04/1996]',0.024,-0.079,92.843,0.783
'[10:40:52.898 04/04/1996]',0.024,-0.079,92.843,0.783
'[10:40:52.900 04/04/1996]',0.024,-0.052,92.843,0.783
'[10:40:52.902 04/04/1996]',0.024,-0.052,92.843,0.783
'[10:40:52.904 04/04/1996]',0.024,-0.052,89.667,0.750
'[10:40:52.906 04/04/1996]',0.024,-0.052,89.667,0.750
'[10:40:52.908 04/04/1996]',0.024,-0.025,89.667,0.750
'[10:40:52.910 04/04/1996]',0.024,-0.025,89.667,0.750
'[10:40:52.912 04/04/1996]',0.024,-0.025,86.593,0.718
'[10:40:52.914 04/04/1996]',0.024,-0.025,86.593,0.718
'[10:40:52.916 04/04/1996]',0.012,-0.025,86.593,0.718
'[10:40:52.918 04/04/1996]',0.012,-0.025,86.593,0.718
'[10:40:52.920 04/04/1996]',0.012,0.002,83.518,0.685
'[10:40:52.922 04/04/1996]',0.012,0.002,83.518,0.685
'[10:40:52.924 04/04/1996]',0.001,0.002,83.518,0.685
'[10:40:52.926 04/04/1996]',0.001,0.002,83.518,0.685
'[10:40:52.928 04/04/1996]',0.001,0.002,80.444,0.653
'[10:40:52.930 04/04/1996]',0.001,0.002,80.444,0.653
'[10:40:52.932 04/04/1996]',0.001,0.002,80.444,0.653
'[10:40:52.934 04/04/1996]',0.001,0.002,80.444,0.653
'[10:40:52.936 04/04/1996]',0.001,0.002,77.571,0.621
'[10:40:52.938 04/04/1996]',0.001,0.002,77.571,0.621
'[10:40:52.940 04/04/1996]',-0.011,0.002,77.571,0.621
'[10:40:52.942 04/04/1996]',-0.011,0.002,77.571,0.621
'[10:40:52.944 04/04/1996]',-0.011,0.002,74.849,0.590
'[10:40:52.946 04/04/1996]',-0.011,0.002,74.849,0.590
'[10:40:52.948 04/04/1996]',-0.011,0.002,74.849,0.590
'[10:40:52.950 04/04/1996]',-0.011,0.002,74.849,0.590
'[10:40:52.952 04/04/1996]',-0.011,-0.025,72.429,0.560
'[10:40:52.954 04/04/1996]',0.001,-0.025,72.429,0.560
'[10:40:52.956 04/04/1996]',0.001,-0.052,72.429,0.560
'[10:40:52.958 04/04/1996]',0.001,-0.052,72.429,0.560
'[10:40:52.960 04/04/1996]',0.012,-0.079,70.363,0.530
'[10:40:52.962 04/04/1996]',0.012,-0.079,70.363,0.530
'[10:40:52.964 04/04/1996]',0.012,-0.079,70.363,0.530
'[10:40:52.966 04/04/1996]',0.024,-0.079,70.363,0.530
'[10:40:52.968 04/04/1996]',0.012,-0.106,68.599,0.502
'[10:40:52.970 04/04/1996]',0.024,-0.106,68.599,0.502
'[10:40:52.972 04/04/1996]',0.024,-0.106,68.599,0.502
'[10:40:52.974 04/04/1996]',0.024,-0.106,68.599,0.502
'[10:40:52.976 04/04/1996]',0.024,-0.106,67.238,0.475
'[10:40:52.978 04/04/1996]',0.024,-0.133,67.238,0.475
'[10:40:52.980 04/04/1996]',0.024,-0.133,67.238,0.475
'[10:40:52.982 04/04/1996]',0.024,-0.106,67.238,0.475
'[10:40:52.984 04/04/1996]',0.024,-0.133,66.079,0.449
'[10:40:52.986 04/04/1996]',0.024,-0.133,66.079,0.449
'[10:40:52.988 04/04/1996]',0.024,-0.133,66.079,0.449
'[10:40:52.990 04/04/1996]',0.035,-0.133,66.079,0.449
'[10:40:52.992 04/04/1996]',0.047,-0.160,65.323,0.424
'[10:40:52.994 04/04/1996]',0.058,-0.160,65.323,0.424
'[10:40:52.996 04/04/1996]',0.058,-0.187,65.323,0.424
'[10:40:52.998 04/04/1996]',0.070,-0.187,65.323,0.424
'[10:40:53.000 04/04/1996]',0.070,-0.160,64.869,0.400
'[10:40:53.002 04/04/1996]',0.058,-0.106,64.869,0.400
'[10:40:53.004 04/04/1996]',0.024,-0.025,64.869,0.400
'[10:40:53.006 04/04/1996]',-0.011,0.055,64.869,0.400
'[10:40:53.008 04/04/1996]',-0.057,0.218,64.667,0.377
'[10:40:53.010 04/04/1996]',-0.138,0.407,64.667,0.377
'[10:40:53.012 04/04/1996]',-0.230,0.624,64.667,0.377
'[10:40:53.014 04/04/1996]',-0.311,0.813,64.667,0.377
'[10:40:53.016 04/04/1996]',-0.391,0.975,64.869,0.353
'[10:40:53.018 04/04/1996]',-0.461,1.111,64.869,0.353
'[10:40:53.020 04/04/1996]',-0.506,1.191,64.869,0.353
'[10:40:53.022 04/04/1996]',-0.529,1.218,64.869,0.353
'[10:40:53.024 04/04/1996]',-0.541,1.218,65.272,0.331
'[10:40:53.026 04/04/1996]',-0.518,1.164,65.272,0.331
'[10:40:53.028 04/04/1996]',-0.461,1.002,65.272,0.331
'[10:40:53.030 04/04/1996]',-0.368,0.705,65.272,0.331
'[10:40:53.032 04/04/1996]',-0.253,0.381,65.877,0.308
'[10:40:53.034 04/04/1996]',-0.161,0.083,65.877,0.308
'[10:40:53.036 04/04/1996]',-0.068,-0.106,65.877,0.308
'[10:40:53.038 04/04/1996]',-0.022,-0.215,65.877,0.308
'[10:40:53.040 04/04/1996]',0.001,-0.269,66.482,0.288
'[10:40:53.042 04/04/1996]',0.012,-0.269,66.482,0.288
'[10:40:53.044 04/04/1996]',0.024,-0.269,66.482,0.288
'[10:40:53.046 04/04/1996]',0.024,-0.269,66.482,0.288
'[10:40:53.048 04/04/1996]',0.035,-0.242,66.986,0.269
'[10:40:53.050 04/04/1996]',0.047,-0.215,66.986,0.269
'[10:40:53.052 04/04/1996]',0.035,-0.187,66.986,0.269
'[10:40:53.054 04/04/1996]',0.047,-0.160,66.986,0.269
'[10:40:53.056 04/04/1996]',0.047,-0.160,67.540,0.250
'[10:40:53.058 04/04/1996]',0.047,-0.133,67.540,0.250
'[10:40:53.060 04/04/1996]',0.047,-0.133,67.540,0.250
