'Time and date','II','MCL1','V','ABP','PAP'
'[09:38:57.610 20/12/1995]',0.021,0.051,0.037,66.398,24.375
'[09:38:57.612 20/12/1995]',0.021,0.051,0.046,66.398,24.375
'[09:38:57.614 20/12/1995]',0.002,0.051,0.037,66.398,24.375
'[09:38:57.616 20/12/1995]',0.021,0.051,0.037,66.161,23.550
'[09:38:57.618 20/12/1995]',0.021,0.051,0.037,66.161,23.550
'[09:38:57.620 20/12/1995]',0.021,0.051,0.037,66.161,23.550
'[09:38:57.622 20/12/1995]',0.021,0.051,0.037,66.161,23.550
'[09:38:57.624 20/12/1995]',0.021,0.051,0.037,65.924,22.450
'[09:38:57.626 20/12/1995]',0.021,0.051,0.037,65.924,22.450
'[09:38:57.628 20/12/1995]',0.021,0.051,0.037,65.924,22.450
'[09:38:57.630 20/12/1995]',0.021,0.051,0.037,65.924,22.450
'[09:38:57.632 20/12/1995]',0.021,0.051,0.037,65.640,21.275
'[09:38:57.634 20/12/1995]',0.021,0.051,0.037,65.640,21.275
'[09:38:57.636 20/12/1995]',0.021,0.038,0.028,65.640,21.275
'[09:38:57.638 20/12/1995]',0.021,0.038,0.028,65.640,21.275
'[09:38:57.640 20/12/1995]',0.042,0.038,0.028,65.308,20.500
'[09:38:57.642 20/12/1995]',0.042,0.038,0.028,65.308,20.500
'[09:38:57.644 20/12/1995]',0.042,0.051,0.019,65.308,20.500
'[09:38:57.646 20/12/1995]',0.042,0.038,0.028,65.308,20.500
'[09:38:57.648 20/12/1995]',0.042,0.038,0.028,64.882,20.575
'[09:38:57.650 20/12/1995]',0.042,0.038,0.037,64.882,20.575
'[09:38:57.652 20/12/1995]',0.042,0.038,0.037,64.882,20.575
'[09:38:57.654 20/12/1995]',0.021,0.038,0.028,64.882,20.575
'[09:38:57.656 20/12/1995]',0.021,0.038,0.028,64.645,21.200
'[09:38:57.658 20/12/1995]',0.021,0.026,0.019,64.645,21.200
'[09:38:57.660 20/12/1995]',0.021,0.038,0.028,64.645,21.200
'[09:38:57.662 20/12/1995]',0.042,0.026,0.028,64.645,21.200
'[09:38:57.664 20/12/1995]',0.021,0.026,0.019,64.408,21.575
'[09:38:57.666 20/12/1995]',0.042,0.026,0.028,64.408,21.575
'[09:38:57.668 20/12/1995]',0.021,0.026,0.028,64.408,21.575
'[09:38:57.670 20/12/1995]',0.021,0.026,0.028,64.408,21.575
'[09:38:57.672 20/12/1995]',0.021,0.026,0.028,64.408,21.100
'[09:38:57.674 20/12/1995]',0.021,0.026,0.019,64.408,21.100
'[09:38:57.676 20/12/1995]',0.042,0.026,0.019,64.408,21.100
'[09:38:57.678 20/12/1995]',0.042,0.026,0.010,64.408,21.100
'[09:38:57.680 20/12/1995]',0.042,0.026,0.019,64.787,20.400
'[09:38:57.682 20/12/1995]',0.062,0.026,0.010,64.787,20.400
'[09:38:57.684 20/12/1995]',0.062,0.013,0.010,64.787,20.400
'[09:38:57.686 20/12/1995]',0.062,0.013,0.010,64.787,20.400
'[09:38:57.688 20/12/1995]',0.062,0.001,0.001,65.687,20.575
'[09:38:57.690 20/12/1995]',0.062,0.001,0.001,65.687,20.575
'[09:38:57.692 20/12/1995]',0.062,0.001,0.001,65.687,20.575
'[09:38:57.694 20/12/1995]',0.062,0.001,0.001,65.687,20.575
'[09:38:57.696 20/12/1995]',0.062,0.001,0.001,67.062,22.625
'[09:38:57.698 20/12/1995]',0.042,0.001,0.010,67.062,22.625
'[09:38:57.700 20/12/1995]',0.062,0.001,0.010,67.062,22.625
'[09:38:57.702 20/12/1995]',0.042,0.001,0.010,67.062,22.625
'[09:38:57.704 20/12/1995]',0.042,0.001,0.010,69.005,26.125
'[09:38:57.706 20/12/1995]',0.062,0.001,0.001,69.005,26.125
'[09:38:57.708 20/12/1995]',0.062,-0.011,0.001,69.005,26.125
'[09:38:57.710 20/12/1995]',0.062,-0.011,0.001,69.005,26.125
'[09:38:57.712 20/12/1995]',0.062,-0.011,0.001,71.422,29.875
'[09:38:57.714 20/12/1995]',0.062,0.001,0.001,71.422,29.875
'[09:38:57.716 20/12/1995]',0.062,0.001,0.001,71.422,29.875
'[09:38:57.718 20/12/1995]',0.083,0.001,0.001,71.422,29.875
'[09:38:57.720 20/12/1995]',0.062,-0.011,0.001,74.123,32.625
'[09:38:57.722 20/12/1995]',0.062,-0.024,0.001,74.123,32.625
'[09:38:57.724 20/12/1995]',0.062,-0.024,0.001,74.123,32.625
'[09:38:57.726 20/12/1995]',0.062,-0.024,0.001,74.123,32.625
'[09:38:57.728 20/12/1995]',0.083,-0.024,0.001,77.062,34.050
'[09:38:57.730 20/12/1995]',0.062,-0.024,0.001,77.062,34.050
'[09:38:57.732 20/12/1995]',0.083,-0.024,0.001,77.062,34.050
'[09:38:57.734 20/12/1995]',0.062,-0.024,0.001,77.062,34.050
'[09:38:57.736 20/12/1995]',0.083,-0.036,0.001,80.190,34.800
'[09:38:57.738 20/12/1995]',0.083,-0.049,-0.008,80.190,34.800
'[09:38:57.740 20/12/1995]',0.083,-0.049,-0.008,80.190,34.800
'[09:38:57.742 20/12/1995]',0.103,-0.049,-0.018,80.190,34.800
'[09:38:57.744 20/12/1995]',0.103,-0.061,-0.027,83.365,35.500
'[09:38:57.746 20/12/1995]',0.103,-0.061,-0.027,83.365,35.500
'[09:38:57.748 20/12/1995]',0.124,-0.061,-0.027,83.365,35.500
'[09:38:57.750 20/12/1995]',0.124,-0.074,-0.027,83.365,35.500
'[09:38:57.752 20/12/1995]',0.144,-0.074,-0.036,86.540,36.100
'[09:38:57.754 20/12/1995]',0.144,-0.086,-0.045,86.540,36.100
'[09:38:57.756 20/12/1995]',0.144,-0.099,-0.054,86.540,36.100
'[09:38:57.758 20/12/1995]',0.144,-0.099,-0.054,86.540,36.100
'[09:38:57.760 20/12/1995]',0.165,-0.099,-0.054,89.716,36.150
'[09:38:57.762 20/12/1995]',0.165,-0.111,-0.054,89.716,36.150
'[09:38:57.764 20/12/1995]',0.144,-0.111,-0.054,89.716,36.150
'[09:38:57.766 20/12/1995]',0.144,-0.099,-0.045,89.716,36.150
'[09:38:57.768 20/12/1995]',0.144,-0.111,-0.045,92.938,35.400
'[09:38:57.770 20/12/1995]',0.144,-0.124,-0.054,92.938,35.400
'[09:38:57.772 20/12/1995]',0.124,-0.136,-0.045,92.938,35.400
'[09:38:57.774 20/12/1995]',0.124,-0.136,-0.054,92.938,35.400
'[09:38:57.776 20/12/1995]',0.124,-0.149,-0.054,96.161,34.275
'[09:38:57.778 20/12/1995]',0.124,-0.161,-0.054,96.161,34.275
'[09:38:57.780 20/12/1995]',0.124,-0.161,-0.064,96.161,34.275
'[09:38:57.782 20/12/1995]',0.124,-0.161,-0.064,96.161,34.275
'[09:38:57.784 20/12/1995]',0.144,-0.174,-0.064,99.336,33.225
'[09:38:57.786 20/12/1995]',0.124,-0.186,-0.073,99.336,33.225
'[09:38:57.788 20/12/1995]',0.124,-0.186,-0.082,99.336,33.225
'[09:38:57.790 20/12/1995]',0.144,-0.186,-0.082,99.336,33.225
'[09:38:57.792 20/12/1995]',0.144,-0.186,-0.082,102.322,32.525
'[09:38:57.794 20/12/1995]',0.144,-0.198,-0.082,102.322,32.525
'[09:38:57.796 20/12/1995]',0.144,-0.211,-0.082,102.322,32.525
'[09:38:57.798 20/12/1995]',0.144,-0.211,-0.082,102.322,32.525
'[09:38:57.800 20/12/1995]',0.144,-0.223,-0.091,105.118,32.050
'[09:38:57.802 20/12/1995]',0.144,-0.223,-0.091,105.118,32.050
'[09:38:57.804 20/12/1995]',0.124,-0.223,-0.091,105.118,32.050
'[09:38:57.806 20/12/1995]',0.124,-0.236,-0.091,105.118,32.050
'[09:38:57.808 20/12/1995]',0.124,-0.236,-0.091,107.630,31.700
'[09:38:57.810 20/12/1995]',0.103,-0.236,-0.091,107.630,31.700
'[09:38:57.812 20/12/1995]',0.124,-0.236,-0.100,107.630,31.700
'[09:38:57.814 20/12/1995]',0.103,-0.236,-0.100,107.630,31.700
'[09:38:57.816 20/12/1995]',0.103,-0.248,-0.100,109.716,31.475
'[09:38:57.818 20/12/1995]',0.103,-0.248,-0.109,109.716,31.475
'[09:38:57.820 20/12/1995]',0.103,-0.248,-0.100,109.716,31.475
'[09:38:57.822 20/12/1995]',0.103,-0.236,-0.100,109.716,31.475
'[09:38:57.824 20/12/1995]',0.103,-0.236,-0.091,111.422,31.575
'[09:38:57.826 20/12/1995]',0.103,-0.236,-0.091,111.422,31.575
'[09:38:57.828 20/12/1995]',0.083,-0.211,-0.082,111.422,31.575
'[09:38:57.830 20/12/1995]',0.062,-0.211,-0.082,111.422,31.575
'[09:38:57.832 20/12/1995]',0.062,-0.198,-0.082,112.796,32.050
'[09:38:57.834 20/12/1995]',0.062,-0.186,-0.073,112.796,32.050
'[09:38:57.836 20/12/1995]',0.062,-0.186,-0.073,112.796,32.050
'[09:38:57.838 20/12/1995]',0.042,-0.174,-0.064,112.796,32.050
'[09:38:57.840 20/12/1995]',0.042,-0.161,-0.064,113.744,32.625
'[09:38:57.842 20/12/1995]',0.021,-0.161,-0.064,113.744,32.625
'[09:38:57.844 20/12/1995]',0.002,-0.149,-0.054,113.744,32.625
'[09:38:57.846 20/12/1995]',0.002,-0.136,-0.045,113.744,32.625
'[09:38:57.848 20/12/1995]',0.021,-0.124,-0.036,114.313,33.100
'[09:38:57.850 20/12/1995]',0.021,-0.111,-0.027,114.313,33.100
'[09:38:57.852 20/12/1995]',0.002,-0.099,-0.027,114.313,33.100
'[09:38:57.854 20/12/1995]',0.002,-0.099,-0.027,114.313,33.100
'[09:38:57.856 20/12/1995]',0.002,-0.086,-0.008,114.645,33.225
'[09:38:57.858 20/12/1995]',0.002,-0.074,-0.008,114.645,33.225
'[09:38:57.860 20/12/1995]',0.002,-0.049,0.001,114.645,33.225
'[09:38:57.862 20/12/1995]',0.002,-0.049,0.001,114.645,33.225
'[09:38:57.864 20/12/1995]',0.002,-0.036,0.001,114.787,32.925
'[09:38:57.866 20/12/1995]',0.002,-0.036,0.001,114.787,32.925
'[09:38:57.868 20/12/1995]',0.002,-0.024,0.001,114.787,32.925
'[09:38:57.870 20/12/1995]',-0.019,-0.024,0.001,114.787,32.925
'[09:38:57.872 20/12/1995]',-0.019,0.001,0.010,114.645,32.350
'[09:38:57.874 20/12/1995]',-0.019,-0.011,0.010,114.645,32.350
'[09:38:57.876 20/12/1995]',-0.019,0.001,0.010,114.645,32.350
'[09:38:57.878 20/12/1995]',-0.019,0.001,0.001,114.645,32.350
'[09:38:57.880 20/12/1995]',-0.039,0.001,0.010,114.313,31.575
'[09:38:57.882 20/12/1995]',-0.039,0.001,0.010,114.313,31.575
'[09:38:57.884 20/12/1995]',-0.039,0.013,0.010,114.313,31.575
'[09:38:57.886 20/12/1995]',-0.039,0.013,0.019,114.313,31.575
'[09:38:57.888 20/12/1995]',-0.019,0.026,0.028,113.839,30.650
'[09:38:57.890 20/12/1995]',-0.019,0.026,0.028,113.839,30.650
'[09:38:57.892 20/12/1995]',-0.039,0.026,0.028,113.839,30.650
'[09:38:57.894 20/12/1995]',-0.060,0.038,0.028,113.839,30.650
'[09:38:57.896 20/12/1995]',-0.039,0.051,0.037,113.175,29.650
'[09:38:57.898 20/12/1995]',-0.060,0.051,0.037,113.175,29.650
'[09:38:57.900 20/12/1995]',-0.060,0.051,0.037,113.175,29.650
'[09:38:57.902 20/12/1995]',-0.060,0.051,0.046,113.175,29.650
'[09:38:57.904 20/12/1995]',-0.060,0.051,0.046,112.370,28.475
'[09:38:57.906 20/12/1995]',-0.060,0.063,0.046,112.370,28.475
'[09:38:57.908 20/12/1995]',-0.060,0.063,0.046,112.370,28.475
'[09:38:57.910 20/12/1995]',-0.060,0.063,0.037,112.370,28.475
'[09:38:57.912 20/12/1995]',-0.060,0.051,0.046,111.327,27.300
'[09:38:57.914 20/12/1995]',-0.039,0.063,0.046,111.327,27.300
'[09:38:57.916 20/12/1995]',-0.039,0.063,0.046,111.327,27.300
'[09:38:57.918 20/12/1995]',-0.039,0.063,0.046,111.327,27.300
'[09:38:57.920 20/12/1995]',-0.019,0.063,0.046,110.095,26.250
'[09:38:57.922 20/12/1995]',-0.039,0.051,0.037,110.095,26.250
'[09:38:57.924 20/12/1995]',-0.019,0.063,0.037,110.095,26.250
'[09:38:57.926 20/12/1995]',-0.019,0.076,0.037,110.095,26.250
'[09:38:57.928 20/12/1995]',-0.039,0.076,0.046,108.673,25.325
'[09:38:57.930 20/12/1995]',-0.039,0.076,0.046,108.673,25.325
'[09:38:57.932 20/12/1995]',-0.039,0.076,0.046,108.673,25.325
'[09:38:57.934 20/12/1995]',-0.039,0.076,0.046,108.673,25.325
'[09:38:57.936 20/12/1995]',-0.039,0.076,0.046,107.014,24.550
'[09:38:57.938 20/12/1995]',-0.039,0.076,0.046,107.014,24.550
'[09:38:57.940 20/12/1995]',-0.019,0.076,0.046,107.014,24.550
'[09:38:57.942 20/12/1995]',-0.039,0.076,0.046,107.014,24.550
'[09:38:57.944 20/12/1995]',-0.019,0.076,0.056,105.166,23.900
'[09:38:57.946 20/12/1995]',-0.019,0.088,0.056,105.166,23.900
'[09:38:57.948 20/12/1995]',-0.039,0.088,0.056,105.166,23.900
'[09:38:57.950 20/12/1995]',-0.039,0.088,0.056,105.166,23.900
'[09:38:57.952 20/12/1995]',-0.039,0.076,0.065,103.175,23.550
'[09:38:57.954 20/12/1995]',-0.039,0.076,0.065,103.175,23.550
'[09:38:57.956 20/12/1995]',-0.060,0.076,0.065,103.175,23.550
'[09:38:57.958 20/12/1995]',-0.060,0.076,0.056,103.175,23.550
'[09:38:57.960 20/12/1995]',-0.039,0.088,0.056,101.185,23.450
'[09:38:57.962 20/12/1995]',-0.039,0.088,0.056,101.185,23.450
'[09:38:57.964 20/12/1995]',-0.039,0.076,0.056,101.185,23.450
'[09:38:57.966 20/12/1995]',-0.019,0.088,0.056,101.185,23.450
'[09:38:57.968 20/12/1995]',-0.019,0.076,0.056,99.242,22.850
'[09:38:57.970 20/12/1995]',-0.019,0.076,0.056,99.242,22.850
'[09:38:57.972 20/12/1995]',-0.019,0.076,0.056,99.242,22.850
'[09:38:57.974 20/12/1995]',-0.019,0.088,0.056,99.242,22.850
'[09:38:57.976 20/12/1995]',-0.019,0.088,0.056,97.393,21.575
'[09:38:57.978 20/12/1995]',-0.019,0.088,0.056,97.393,21.575
'[09:38:57.980 20/12/1995]',-0.019,0.101,0.056,97.393,21.575
'[09:38:57.982 20/12/1995]',-0.019,0.088,0.056,97.393,21.575
'[09:38:57.984 20/12/1995]',-0.019,0.088,0.056,95.735,19.925
'[09:38:57.986 20/12/1995]',-0.019,0.101,0.056,95.735,19.925
'[09:38:57.988 20/12/1995]',-0.039,0.088,0.056,95.735,19.925
'[09:38:57.990 20/12/1995]',-0.019,0.101,0.056,95.735,19.925
'[09:38:57.992 20/12/1995]',-0.039,0.088,0.056,94.360,18.875
'[09:38:57.994 20/12/1995]',-0.019,0.088,0.056,94.360,18.875
'[09:38:57.996 20/12/1995]',-0.019,0.101,0.046,94.360,18.875
'[09:38:57.998 20/12/1995]',-0.019,0.088,0.046,94.360,18.875
'[09:38:58.000 20/12/1995]',0.002,0.088,0.056,93.412,18.975
'[09:38:58.002 20/12/1995]',0.002,0.088,0.056,93.412,18.975
'[09:38:58.004 20/12/1995]',0.002,0.101,0.056,93.412,18.975
'[09:38:58.006 20/12/1995]',0.002,0.088,0.056,93.412,18.975
'[09:38:58.008 20/12/1995]',-0.019,0.088,0.065,92.844,19.975
'[09:38:58.010 20/12/1995]',-0.019,0.088,0.056,92.844,19.975
'[09:38:58.012 20/12/1995]',-0.019,0.088,0.065,92.844,19.975
'[09:38:58.014 20/12/1995]',-0.019,0.088,0.056,92.844,19.975
'[09:38:58.016 20/12/1995]',-0.019,0.088,0.056,92.654,20.975
'[09:38:58.018 20/12/1995]',-0.019,0.088,0.065,92.654,20.975
'[09:38:58.020 20/12/1995]',-0.019,0.088,0.056,92.654,20.975
'[09:38:58.022 20/12/1995]',-0.039,0.088,0.056,92.654,20.975
'[09:38:58.024 20/12/1995]',-0.039,0.088,0.065,92.891,21.500
'[09:38:58.026 20/12/1995]',-0.039,0.088,0.056,92.891,21.500
'[09:38:58.028 20/12/1995]',-0.039,0.088,0.056,92.891,21.500
'[09:38:58.030 20/12/1995]',-0.039,0.088,0.056,92.891,21.500
'[09:38:58.032 20/12/1995]',-0.019,0.088,0.056,93.507,21.575
'[09:38:58.034 20/12/1995]',-0.019,0.076,0.056,93.507,21.575
'[09:38:58.036 20/12/1995]',-0.019,0.076,0.056,93.507,21.575
'[09:38:58.038 20/12/1995]',-0.019,0.076,0.046,93.507,21.575
'[09:38:58.040 20/12/1995]',-0.019,0.076,0.056,94.360,21.575
'[09:38:58.042 20/12/1995]',-0.019,0.076,0.046,94.360,21.575
'[09:38:58.044 20/12/1995]',-0.019,0.076,0.046,94.360,21.575
'[09:38:58.046 20/12/1995]',-0.019,0.101,0.046,94.360,21.575
'[09:38:58.048 20/12/1995]',-0.019,0.088,0.046,95.403,21.800
'[09:38:58.050 20/12/1995]',0.002,0.088,0.056,95.403,21.800
'[09:38:58.052 20/12/1995]',0.002,0.088,0.056,95.403,21.800
'[09:38:58.054 20/12/1995]',0.002,0.076,0.056,95.403,21.800
'[09:38:58.056 20/12/1995]',0.002,0.076,0.056,96.635,22.200
'[09:38:58.058 20/12/1995]',-0.019,0.076,0.046,96.635,22.200
'[09:38:58.060 20/12/1995]',-0.019,0.076,0.056,96.635,22.200
'[09:38:58.062 20/12/1995]',-0.039,0.088,0.056,96.635,22.200
'[09:38:58.064 20/12/1995]',-0.039,0.076,0.056,97.820,22.625
'[09:38:58.066 20/12/1995]',-0.039,0.076,0.056,97.820,22.625
'[09:38:58.068 20/12/1995]',-0.039,0.076,0.065,97.820,22.625
'[09:38:58.070 20/12/1995]',-0.039,0.076,0.056,97.820,22.625
'[09:38:58.072 20/12/1995]',-0.039,0.088,0.065,99.147,22.725
'[09:38:58.074 20/12/1995]',-0.039,0.101,0.065,99.147,22.725
'[09:38:58.076 20/12/1995]',-0.039,0.076,0.056,99.147,22.725
'[09:38:58.078 20/12/1995]',-0.060,0.088,0.056,99.147,22.725
'[09:38:58.080 20/12/1995]',-0.060,0.088,0.056,100.521,22.550
'[09:38:58.082 20/12/1995]',-0.060,0.076,0.056,100.521,22.550
'[09:38:58.084 20/12/1995]',-0.039,0.076,0.056,100.521,22.550
'[09:38:58.086 20/12/1995]',-0.039,0.076,0.056,100.521,22.550
'[09:38:58.088 20/12/1995]',-0.039,0.076,0.065,101.896,22.150
'[09:38:58.090 20/12/1995]',-0.039,0.076,0.046,101.896,22.150
'[09:38:58.092 20/12/1995]',-0.019,0.076,0.056,101.896,22.150
'[09:38:58.094 20/12/1995]',-0.019,0.063,0.046,101.896,22.150
'[09:38:58.096 20/12/1995]',-0.019,0.076,0.046,103.270,21.750
'[09:38:58.098 20/12/1995]',-0.019,0.076,0.046,103.270,21.750
'[09:38:58.100 20/12/1995]',-0.019,0.076,0.056,103.270,21.750
'[09:38:58.102 20/12/1995]',-0.019,0.076,0.056,103.270,21.750
'[09:38:58.104 20/12/1995]',-0.019,0.076,0.056,104.550,21.200
'[09:38:58.106 20/12/1995]',-0.019,0.076,0.056,104.550,21.200
'[09:38:58.108 20/12/1995]',-0.019,0.076,0.056,104.550,21.200
'[09:38:58.110 20/12/1995]',-0.019,0.076,0.056,104.550,21.200
'[09:38:58.112 20/12/1995]',-0.019,0.076,0.056,105.782,20.625
'[09:38:58.114 20/12/1995]',-0.019,0.076,0.056,105.782,20.625
'[09:38:58.116 20/12/1995]',-0.019,0.076,0.056,105.782,20.625
'[09:38:58.118 20/12/1995]',-0.019,0.076,0.065,105.782,20.625
'[09:38:58.120 20/12/1995]',-0.019,0.076,0.056,106.872,20.050
'[09:38:58.122 20/12/1995]',-0.019,0.076,0.056,106.872,20.050
'[09:38:58.124 20/12/1995]',-0.019,0.076,0.056,106.872,20.050
'[09:38:58.126 20/12/1995]',0.002,0.076,0.056,106.872,20.050
'[09:38:58.128 20/12/1995]',0.002,0.076,0.056,107.962,19.575
'[09:38:58.130 20/12/1995]',-0.019,0.076,0.056,107.962,19.575
'[09:38:58.132 20/12/1995]',-0.019,0.076,0.056,107.962,19.575
'[09:38:58.134 20/12/1995]',-0.019,0.076,0.056,107.962,19.575
'[09:38:58.136 20/12/1995]',-0.019,0.063,0.056,108.910,19.150
'[09:38:58.138 20/12/1995]',-0.019,0.076,0.056,108.910,19.150
'[09:38:58.140 20/12/1995]',-0.019,0.076,0.056,108.910,19.150
'[09:38:58.142 20/12/1995]',-0.039,0.076,0.056,108.910,19.150
'[09:38:58.144 20/12/1995]',-0.019,0.076,0.056,109.716,18.925
'[09:38:58.146 20/12/1995]',-0.019,0.063,0.046,109.716,18.925
'[09:38:58.148 20/12/1995]',-0.019,0.063,0.056,109.716,18.925
'[09:38:58.150 20/12/1995]',-0.019,0.063,0.056,109.716,18.925
'[09:38:58.152 20/12/1995]',-0.019,0.076,0.056,110.379,18.875
'[09:38:58.154 20/12/1995]',-0.019,0.076,0.056,110.379,18.875
'[09:38:58.156 20/12/1995]',-0.019,0.063,0.056,110.379,18.875
'[09:38:58.158 20/12/1995]',-0.039,0.076,0.056,110.379,18.875
'[09:38:58.160 20/12/1995]',-0.019,0.063,0.046,110.853,18.875
'[09:38:58.162 20/12/1995]',-0.019,0.076,0.046,110.853,18.875
'[09:38:58.164 20/12/1995]',0.002,0.063,0.046,110.853,18.875
'[09:38:58.166 20/12/1995]',0.002,0.063,0.046,110.853,18.875
'[09:38:58.168 20/12/1995]',0.002,0.076,0.046,110.995,18.875
'[09:38:58.170 20/12/1995]',0.002,0.076,0.046,110.995,18.875
'[09:38:58.172 20/12/1995]',0.002,0.076,0.056,110.995,18.875
'[09:38:58.174 20/12/1995]',-0.019,0.076,0.056,110.995,18.875
'[09:38:58.176 20/12/1995]',-0.019,0.076,0.056,110.948,18.925
'[09:38:58.178 20/12/1995]',-0.019,0.076,0.056,110.948,18.925
'[09:38:58.180 20/12/1995]',-0.019,0.076,0.056,110.948,18.925
'[09:38:58.182 20/12/1995]',-0.019,0.076,0.056,110.948,18.925
'[09:38:58.184 20/12/1995]',-0.019,0.076,0.056,110.711,18.975
'[09:38:58.186 20/12/1995]',-0.019,0.076,0.056,110.711,18.975
'[09:38:58.188 20/12/1995]',-0.019,0.076,0.056,110.711,18.975
'[09:38:58.190 20/12/1995]',-0.039,0.076,0.056,110.711,18.975
'[09:38:58.192 20/12/1995]',-0.019,0.076,0.056,110.379,19.050
'[09:38:58.194 20/12/1995]',-0.019,0.076,0.056,110.379,19.050
'[09:38:58.196 20/12/1995]',-0.019,0.076,0.056,110.379,19.050
'[09:38:58.198 20/12/1995]',-0.019,0.076,0.046,110.379,19.050
'[09:38:58.200 20/12/1995]',0.002,0.063,0.046,109.905,19.100
'[09:38:58.202 20/12/1995]',0.002,0.063,0.046,109.905,19.100
'[09:38:58.204 20/12/1995]',-0.019,0.051,0.046,109.905,19.100
'[09:38:58.206 20/12/1995]',0.002,0.063,0.046,109.905,19.100
'[09:38:58.208 20/12/1995]',0.002,0.063,0.046,109.289,18.975
'[09:38:58.210 20/12/1995]',0.002,0.063,0.046,109.289,18.975
'[09:38:58.212 20/12/1995]',-0.019,0.051,0.046,109.289,18.975
'[09:38:58.214 20/12/1995]',-0.019,0.063,0.046,109.289,18.975
'[09:38:58.216 20/12/1995]',0.002,0.063,0.046,108.341,18.875
'[09:38:58.218 20/12/1995]',0.002,0.076,0.046,108.341,18.875
'[09:38:58.220 20/12/1995]',0.002,0.063,0.046,108.341,18.875
'[09:38:58.222 20/12/1995]',0.002,0.076,0.037,108.341,18.875
'[09:38:58.224 20/12/1995]',0.002,0.076,0.046,107.109,18.700
'[09:38:58.226 20/12/1995]',0.002,0.076,0.046,107.109,18.700
'[09:38:58.228 20/12/1995]',0.002,0.076,0.056,107.109,18.700
'[09:38:58.230 20/12/1995]',0.002,0.076,0.056,107.109,18.700
'[09:38:58.232 20/12/1995]',-0.019,0.076,0.046,105.545,18.525
'[09:38:58.234 20/12/1995]',0.002,0.063,0.046,105.545,18.525
'[09:38:58.236 20/12/1995]',0.002,0.063,0.037,105.545,18.525
'[09:38:58.238 20/12/1995]',0.002,0.063,0.037,105.545,18.525
'[09:38:58.240 20/12/1995]',0.002,0.063,0.037,103.934,18.400
'[09:38:58.242 20/12/1995]',0.002,0.063,0.037,103.934,18.400
'[09:38:58.244 20/12/1995]',0.002,0.063,0.037,103.934,18.400
'[09:38:58.246 20/12/1995]',0.002,0.063,0.037,103.934,18.400
'[09:38:58.248 20/12/1995]',0.002,0.063,0.037,102.227,18.175
'[09:38:58.250 20/12/1995]',0.002,0.051,0.037,102.227,18.175
'[09:38:58.252 20/12/1995]',0.002,0.063,0.037,102.227,18.175
'[09:38:58.254 20/12/1995]',0.002,0.051,0.037,102.227,18.175
'[09:38:58.256 20/12/1995]',0.002,0.051,0.037,100.427,17.925
'[09:38:58.258 20/12/1995]',0.002,0.063,0.037,100.427,17.925
'[09:38:58.260 20/12/1995]',0.002,0.051,0.037,100.427,17.925
'[09:38:58.262 20/12/1995]',0.002,0.051,0.028,100.427,17.925
'[09:38:58.264 20/12/1995]',0.002,0.051,0.028,98.673,17.625
'[09:38:58.266 20/12/1995]',0.002,0.038,0.028,98.673,17.625
'[09:38:58.268 20/12/1995]',0.002,0.038,0.028,98.673,17.625
'[09:38:58.270 20/12/1995]',0.002,0.038,0.028,98.673,17.625
'[09:38:58.272 20/12/1995]',0.002,0.038,0.028,96.825,17.275
'[09:38:58.274 20/12/1995]',0.002,0.026,0.019,96.825,17.275
'[09:38:58.276 20/12/1995]',0.002,0.026,0.019,96.825,17.275
'[09:38:58.278 20/12/1995]',0.002,0.013,0.010,96.825,17.275
'[09:38:58.280 20/12/1995]',0.002,0.026,0.010,95.024,17.000
'[09:38:58.282 20/12/1995]',0.002,0.013,0.010,95.024,17.000
'[09:38:58.284 20/12/1995]',0.002,0.026,0.019,95.024,17.000
'[09:38:58.286 20/12/1995]',0.002,0.026,0.019,95.024,17.000
'[09:38:58.288 20/12/1995]',0.002,0.026,0.019,93.270,16.875
'[09:38:58.290 20/12/1995]',-0.019,0.026,0.028,93.270,16.875
'[09:38:58.292 20/12/1995]',-0.019,0.026,0.028,93.270,16.875
'[09:38:58.294 20/12/1995]',-0.019,0.026,0.028,93.270,16.875
'[09:38:58.296 20/12/1995]',-0.019,0.013,0.019,91.564,16.825
'[09:38:58.298 20/12/1995]',-0.019,0.026,0.019,91.564,16.825
'[09:38:58.300 20/12/1995]',0.002,0.013,0.010,91.564,16.825
'[09:38:58.302 20/12/1995]',0.002,0.013,0.010,91.564,16.825
'[09:38:58.304 20/12/1995]',0.002,0.013,0.001,89.858,16.750
'[09:38:58.306 20/12/1995]',0.002,0.001,0.010,89.858,16.750
'[09:38:58.308 20/12/1995]',0.002,0.013,0.001,89.858,16.750
'[09:38:58.310 20/12/1995]',-0.019,0.026,0.010,89.858,16.750
'[09:38:58.312 20/12/1995]',-0.019,0.026,0.010,88.104,16.650
'[09:38:58.314 20/12/1995]',-0.039,0.026,0.019,88.104,16.650
'[09:38:58.316 20/12/1995]',-0.039,0.013,0.019,88.104,16.650
'[09:38:58.318 20/12/1995]',-0.039,0.013,0.019,88.104,16.650
'[09:38:58.320 20/12/1995]',-0.039,0.013,0.019,86.398,16.475
'[09:38:58.322 20/12/1995]',-0.019,0.013,0.010,86.398,16.475
'[09:38:58.324 20/12/1995]',-0.019,0.013,0.001,86.398,16.475
'[09:38:58.326 20/12/1995]',0.002,0.026,0.001,86.398,16.475
