'Time and date','MCL1','III','ABP','PLETH','RESP'
'[12:32:17.764 08/02/1996]',0.014,0.001,57.293,-0.431,0.241
'[12:32:17.766 08/02/1996]',0.014,0.001,57.293,-0.431,0.241
'[12:32:17.768 08/02/1996]',0.014,0.001,56.992,-0.436,0.183
'[12:32:17.770 08/02/1996]',0.014,0.001,56.992,-0.436,0.183
'[12:32:17.772 08/02/1996]',0.014,0.001,56.992,-0.436,0.183
'[12:32:17.774 08/02/1996]',0.014,0.001,56.992,-0.436,0.183
'[12:32:17.776 08/02/1996]',0.014,0.001,56.767,-0.443,0.118
'[12:32:17.778 08/02/1996]',0.014,0.001,56.767,-0.443,0.118
'[12:32:17.780 08/02/1996]',0.014,0.001,56.767,-0.443,0.118
'[12:32:17.782 08/02/1996]',0.014,0.001,56.767,-0.443,0.118
'[12:32:17.784 08/02/1996]',0.014,0.001,56.466,-0.448,0.052
'[12:32:17.786 08/02/1996]',0.014,0.001,56.466,-0.448,0.052
'[12:32:17.788 08/02/1996]',0.014,0.001,56.466,-0.448,0.052
'[12:32:17.790 08/02/1996]',0.014,0.001,56.466,-0.448,0.052
'[12:32:17.792 08/02/1996]',0.014,0.001,56.241,-0.454,-0.004
'[12:32:17.794 08/02/1996]',0.014,0.001,56.241,-0.454,-0.004
'[12:32:17.796 08/02/1996]',0.014,0.001,56.241,-0.454,-0.004
'[12:32:17.798 08/02/1996]',0.014,0.001,56.241,-0.454,-0.004
'[12:32:17.800 08/02/1996]',0.014,0.001,56.015,-0.460,-0.070
'[12:32:17.802 08/02/1996]',0.014,0.001,56.015,-0.460,-0.070
'[12:32:17.804 08/02/1996]',0.014,0.001,56.015,-0.460,-0.070
'[12:32:17.806 08/02/1996]',0.014,0.001,56.015,-0.460,-0.070
'[12:32:17.808 08/02/1996]',0.014,0.001,55.789,-0.466,-0.136
'[12:32:17.810 08/02/1996]',0.014,0.001,55.789,-0.466,-0.136
'[12:32:17.812 08/02/1996]',0.014,0.001,55.789,-0.466,-0.136
'[12:32:17.814 08/02/1996]',0.014,0.001,55.789,-0.466,-0.136
'[12:32:17.816 08/02/1996]',0.014,0.001,55.489,-0.471,-0.201
'[12:32:17.818 08/02/1996]',0.014,0.001,55.489,-0.471,-0.201
'[12:32:17.820 08/02/1996]',0.014,0.001,55.489,-0.471,-0.201
'[12:32:17.822 08/02/1996]',0.014,0.001,55.489,-0.471,-0.201
'[12:32:17.824 08/02/1996]',0.014,0.001,55.263,-0.476,-0.259
'[12:32:17.826 08/02/1996]',0.014,0.001,55.263,-0.476,-0.259
'[12:32:17.828 08/02/1996]',0.014,0.001,55.263,-0.476,-0.259
'[12:32:17.830 08/02/1996]',0.014,0.001,55.263,-0.476,-0.259
'[12:32:17.832 08/02/1996]',0.014,0.001,55.038,-0.479,-0.324
'[12:32:17.834 08/02/1996]',0.014,0.001,55.038,-0.479,-0.324
'[12:32:17.836 08/02/1996]',0.014,0.001,55.038,-0.479,-0.324
'[12:32:17.838 08/02/1996]',0.014,0.001,55.038,-0.479,-0.324
'[12:32:17.840 08/02/1996]',0.014,0.001,54.737,-0.483,-0.390
'[12:32:17.842 08/02/1996]',0.014,0.001,54.737,-0.483,-0.390
'[12:32:17.844 08/02/1996]',0.014,0.001,54.737,-0.483,-0.390
'[12:32:17.846 08/02/1996]',0.014,0.001,54.737,-0.483,-0.390
'[12:32:17.848 08/02/1996]',0.014,0.001,54.511,-0.486,-0.447
'[12:32:17.850 08/02/1996]',0.014,0.001,54.511,-0.486,-0.447
'[12:32:17.852 08/02/1996]',0.014,0.001,54.511,-0.486,-0.447
'[12:32:17.854 08/02/1996]',0.014,0.001,54.511,-0.486,-0.447
'[12:32:17.856 08/02/1996]',0.014,0.001,54.286,-0.489,-0.512
'[12:32:17.858 08/02/1996]',0.014,0.001,54.286,-0.489,-0.512
'[12:32:17.860 08/02/1996]',0.014,0.001,54.286,-0.489,-0.512
'[12:32:17.862 08/02/1996]',0.014,0.001,54.286,-0.489,-0.512
'[12:32:17.864 08/02/1996]',0.014,0.001,53.985,-0.492,-0.447
'[12:32:17.866 08/02/1996]',0.014,0.001,53.985,-0.492,-0.447
'[12:32:17.868 08/02/1996]',0.014,0.001,53.985,-0.492,-0.447
'[12:32:17.870 08/02/1996]',0.014,0.001,53.985,-0.492,-0.447
'[12:32:17.872 08/02/1996]',0.014,0.001,53.684,-0.494,-0.390
'[12:32:17.874 08/02/1996]',0.014,0.001,53.684,-0.494,-0.390
'[12:32:17.876 08/02/1996]',0.014,0.001,53.684,-0.494,-0.390
'[12:32:17.878 08/02/1996]',0.014,0.001,53.684,-0.494,-0.390
'[12:32:17.880 08/02/1996]',0.014,0.001,53.383,-0.496,-0.324
'[12:32:17.882 08/02/1996]',0.014,0.001,53.383,-0.496,-0.324
'[12:32:17.884 08/02/1996]',0.014,0.001,53.383,-0.496,-0.324
'[12:32:17.886 08/02/1996]',0.014,0.001,53.383,-0.496,-0.324
'[12:32:17.888 08/02/1996]',0.014,0.001,53.008,-0.498,-0.259
'[12:32:17.890 08/02/1996]',0.014,0.001,53.008,-0.498,-0.259
'[12:32:17.892 08/02/1996]',0.014,0.001,53.008,-0.498,-0.259
'[12:32:17.894 08/02/1996]',0.014,0.001,53.008,-0.498,-0.259
'[12:32:17.896 08/02/1996]',0.014,0.001,52.707,-0.499,-0.201
'[12:32:17.898 08/02/1996]',0.014,0.001,52.707,-0.499,-0.201
'[12:32:17.900 08/02/1996]',0.014,0.001,52.707,-0.499,-0.201
'[12:32:17.902 08/02/1996]',0.014,0.001,52.707,-0.499,-0.201
'[12:32:17.904 08/02/1996]',0.014,0.001,52.406,-0.501,-0.136
'[12:32:17.906 08/02/1996]',0.014,0.001,52.406,-0.501,-0.136
'[12:32:17.908 08/02/1996]',0.014,0.001,52.406,-0.501,-0.136
'[12:32:17.910 08/02/1996]',0.014,0.001,52.406,-0.501,-0.136
'[12:32:17.912 08/02/1996]',0.014,0.001,52.105,-0.502,-0.070
'[12:32:17.914 08/02/1996]',0.014,0.001,52.105,-0.502,-0.070
'[12:32:17.916 08/02/1996]',0.014,0.001,52.105,-0.502,-0.070
'[12:32:17.918 08/02/1996]',0.014,0.001,52.105,-0.502,-0.070
'[12:32:17.920 08/02/1996]',0.014,0.001,51.805,-0.503,-0.004
'[12:32:17.922 08/02/1996]',0.014,0.001,51.805,-0.503,-0.004
'[12:32:17.924 08/02/1996]',0.014,0.001,51.805,-0.503,-0.004
'[12:32:17.926 08/02/1996]',0.014,0.001,51.805,-0.503,-0.004
'[12:32:17.928 08/02/1996]',0.014,0.001,51.654,-0.503,0.052
'[12:32:17.930 08/02/1996]',0.014,0.001,51.654,-0.503,0.052
'[12:32:17.932 08/02/1996]',0.014,0.001,51.654,-0.503,0.052
'[12:32:17.934 08/02/1996]',0.014,0.001,51.654,-0.503,0.052
'[12:32:17.936 08/02/1996]',0.014,0.001,51.579,-0.503,0.118
'[12:32:17.938 08/02/1996]',0.014,0.001,51.579,-0.503,0.118
'[12:32:17.940 08/02/1996]',0.014,0.001,51.579,-0.503,0.118
'[12:32:17.942 08/02/1996]',0.014,0.001,51.579,-0.503,0.118
'[12:32:17.944 08/02/1996]',0.012,0.001,51.880,-0.503,0.183
'[12:32:17.946 08/02/1996]',0.010,0.001,51.880,-0.503,0.183
'[12:32:17.948 08/02/1996]',0.004,0.001,51.880,-0.503,0.183
'[12:32:17.950 08/02/1996]',-0.002,0.001,51.880,-0.503,0.183
'[12:32:17.952 08/02/1996]',-0.011,0.001,52.857,-0.504,0.241
'[12:32:17.954 08/02/1996]',-0.021,0.001,52.857,-0.504,0.241
'[12:32:17.956 08/02/1996]',-0.031,0.001,52.857,-0.504,0.241
'[12:32:17.958 08/02/1996]',-0.041,0.001,52.857,-0.504,0.241
'[12:32:17.960 08/02/1996]',-0.050,-0.034,54.737,-0.504,0.306
'[12:32:17.962 08/02/1996]',-0.059,-0.034,54.737,-0.504,0.306
'[12:32:17.964 08/02/1996]',-0.064,-0.034,54.737,-0.504,0.306
'[12:32:17.966 08/02/1996]',-0.069,-0.022,54.737,-0.504,0.306
'[12:32:17.968 08/02/1996]',-0.069,-0.022,57.744,-0.505,0.241
'[12:32:17.970 08/02/1996]',-0.070,0.001,57.744,-0.505,0.241
'[12:32:17.972 08/02/1996]',-0.069,0.001,57.744,-0.505,0.241
'[12:32:17.974 08/02/1996]',-0.069,-0.011,57.744,-0.505,0.241
'[12:32:17.976 08/02/1996]',-0.069,-0.011,61.805,-0.504,0.183
'[12:32:17.978 08/02/1996]',-0.070,-0.011,61.805,-0.504,0.183
'[12:32:17.980 08/02/1996]',-0.071,0.001,61.805,-0.504,0.183
'[12:32:17.982 08/02/1996]',-0.072,0.001,61.805,-0.504,0.183
'[12:32:17.984 08/02/1996]',-0.072,0.001,66.842,-0.504,0.118
'[12:32:17.986 08/02/1996]',-0.073,0.001,66.842,-0.504,0.118
'[12:32:17.988 08/02/1996]',-0.072,0.001,66.842,-0.504,0.118
'[12:32:17.990 08/02/1996]',-0.072,0.012,66.842,-0.504,0.118
'[12:32:17.992 08/02/1996]',-0.072,0.001,72.707,-0.502,0.052
'[12:32:17.994 08/02/1996]',-0.072,0.001,72.707,-0.502,0.052
'[12:32:17.996 08/02/1996]',-0.072,0.001,72.707,-0.502,0.052
'[12:32:17.998 08/02/1996]',-0.072,0.001,72.707,-0.502,0.052
'[12:32:18.000 08/02/1996]',-0.072,0.012,79.023,-0.501,-0.004
'[12:32:18.002 08/02/1996]',-0.072,0.024,79.023,-0.501,-0.004
'[12:32:18.004 08/02/1996]',-0.072,0.036,79.023,-0.501,-0.004
'[12:32:18.006 08/02/1996]',-0.072,0.036,79.023,-0.501,-0.004
'[12:32:18.008 08/02/1996]',-0.072,0.036,85.489,-0.496,-0.070
'[12:32:18.010 08/02/1996]',-0.073,0.048,85.489,-0.496,-0.070
'[12:32:18.012 08/02/1996]',-0.075,0.048,85.489,-0.496,-0.070
'[12:32:18.014 08/02/1996]',-0.077,0.059,85.489,-0.496,-0.070
'[12:32:18.016 08/02/1996]',-0.080,0.071,91.880,-0.488,-0.136
'[12:32:18.018 08/02/1996]',-0.084,0.083,91.880,-0.488,-0.136
'[12:32:18.020 08/02/1996]',-0.086,0.083,91.880,-0.488,-0.136
'[12:32:18.022 08/02/1996]',-0.089,0.083,91.880,-0.488,-0.136
'[12:32:18.024 08/02/1996]',-0.090,0.083,97.970,-0.477,-0.201
'[12:32:18.026 08/02/1996]',-0.092,0.095,97.970,-0.477,-0.201
'[12:32:18.028 08/02/1996]',-0.093,0.106,97.970,-0.477,-0.201
'[12:32:18.030 08/02/1996]',-0.094,0.106,97.970,-0.477,-0.201
'[12:32:18.032 08/02/1996]',-0.096,0.118,103.534,-0.462,-0.259
'[12:32:18.034 08/02/1996]',-0.098,0.130,103.534,-0.462,-0.259
'[12:32:18.036 08/02/1996]',-0.100,0.142,103.534,-0.462,-0.259
'[12:32:18.038 08/02/1996]',-0.102,0.165,103.534,-0.462,-0.259
'[12:32:18.040 08/02/1996]',-0.106,0.165,108.571,-0.441,-0.324
'[12:32:18.042 08/02/1996]',-0.109,0.165,108.571,-0.441,-0.324
'[12:32:18.044 08/02/1996]',-0.113,0.165,108.571,-0.441,-0.324
'[12:32:18.046 08/02/1996]',-0.116,0.188,108.571,-0.441,-0.324
'[12:32:18.048 08/02/1996]',-0.119,0.188,112.932,-0.412,-0.390
'[12:32:18.050 08/02/1996]',-0.122,0.200,112.932,-0.412,-0.390
'[12:32:18.052 08/02/1996]',-0.124,0.212,112.932,-0.412,-0.390
'[12:32:18.054 08/02/1996]',-0.126,0.224,112.932,-0.412,-0.390
'[12:32:18.056 08/02/1996]',-0.127,0.247,116.466,-0.378,-0.447
'[12:32:18.058 08/02/1996]',-0.128,0.247,116.466,-0.378,-0.447
'[12:32:18.060 08/02/1996]',-0.129,0.247,116.466,-0.378,-0.447
'[12:32:18.062 08/02/1996]',-0.130,0.247,116.466,-0.378,-0.447
'[12:32:18.064 08/02/1996]',-0.131,0.247,119.398,-0.335,-0.512
'[12:32:18.066 08/02/1996]',-0.133,0.259,119.398,-0.335,-0.512
'[12:32:18.068 08/02/1996]',-0.134,0.271,119.398,-0.335,-0.512
'[12:32:18.070 08/02/1996]',-0.135,0.283,119.398,-0.335,-0.512
'[12:32:18.072 08/02/1996]',-0.136,0.294,121.579,-0.286,-0.512
'[12:32:18.074 08/02/1996]',-0.137,0.294,121.579,-0.286,-0.512
'[12:32:18.076 08/02/1996]',-0.136,0.294,121.579,-0.286,-0.512
'[12:32:18.078 08/02/1996]',-0.136,0.294,121.579,-0.286,-0.512
'[12:32:18.080 08/02/1996]',-0.135,0.294,123.308,-0.231,-0.512
'[12:32:18.082 08/02/1996]',-0.134,0.294,123.308,-0.231,-0.512
'[12:32:18.084 08/02/1996]',-0.133,0.294,123.308,-0.231,-0.512
'[12:32:18.086 08/02/1996]',-0.132,0.294,123.308,-0.231,-0.512
'[12:32:18.088 08/02/1996]',-0.131,0.294,124.662,-0.172,-0.512
'[12:32:18.090 08/02/1996]',-0.130,0.294,124.662,-0.172,-0.512
'[12:32:18.092 08/02/1996]',-0.130,0.294,124.662,-0.172,-0.512
'[12:32:18.094 08/02/1996]',-0.130,0.294,124.662,-0.172,-0.512
'[12:32:18.096 08/02/1996]',-0.130,0.271,125.714,-0.107,-0.512
'[12:32:18.098 08/02/1996]',-0.130,0.259,125.714,-0.107,-0.512
'[12:32:18.100 08/02/1996]',-0.130,0.259,125.714,-0.107,-0.512
'[12:32:18.102 08/02/1996]',-0.130,0.259,125.714,-0.107,-0.512
'[12:32:18.104 08/02/1996]',-0.129,0.247,126.466,-0.043,-0.512
'[12:32:18.106 08/02/1996]',-0.129,0.247,126.466,-0.043,-0.512
'[12:32:18.108 08/02/1996]',-0.128,0.235,126.466,-0.043,-0.512
'[12:32:18.110 08/02/1996]',-0.127,0.200,126.466,-0.043,-0.512
'[12:32:18.112 08/02/1996]',-0.125,0.188,126.917,0.021,-0.512
'[12:32:18.114 08/02/1996]',-0.124,0.177,126.917,0.021,-0.512
'[12:32:18.116 08/02/1996]',-0.121,0.165,126.917,0.021,-0.512
'[12:32:18.118 08/02/1996]',-0.118,0.154,126.917,0.021,-0.512
'[12:32:18.120 08/02/1996]',-0.114,0.130,127.143,0.085,-0.512
'[12:32:18.122 08/02/1996]',-0.110,0.130,127.143,0.085,-0.512
'[12:32:18.124 08/02/1996]',-0.106,0.118,127.143,0.085,-0.512
'[12:32:18.126 08/02/1996]',-0.101,0.095,127.143,0.085,-0.512
'[12:32:18.128 08/02/1996]',-0.097,0.083,127.068,0.146,-0.512
'[12:32:18.130 08/02/1996]',-0.092,0.071,127.068,0.146,-0.512
'[12:32:18.132 08/02/1996]',-0.088,0.071,127.068,0.146,-0.512
'[12:32:18.134 08/02/1996]',-0.084,0.048,127.068,0.146,-0.512
'[12:32:18.136 08/02/1996]',-0.080,0.036,126.692,0.203,-0.512
'[12:32:18.138 08/02/1996]',-0.076,0.024,126.692,0.203,-0.512
'[12:32:18.140 08/02/1996]',-0.073,0.012,126.692,0.203,-0.512
'[12:32:18.142 08/02/1996]',-0.070,0.001,126.692,0.203,-0.512
'[12:32:18.144 08/02/1996]',-0.068,0.001,126.090,0.256,-0.512
'[12:32:18.146 08/02/1996]',-0.066,-0.011,126.090,0.256,-0.512
'[12:32:18.148 08/02/1996]',-0.065,-0.034,126.090,0.256,-0.512
'[12:32:18.150 08/02/1996]',-0.064,-0.034,126.090,0.256,-0.512
'[12:32:18.152 08/02/1996]',-0.062,-0.034,125.188,0.302,-0.512
'[12:32:18.154 08/02/1996]',-0.061,-0.046,125.188,0.302,-0.512
'[12:32:18.156 08/02/1996]',-0.059,-0.058,125.188,0.302,-0.512
'[12:32:18.158 08/02/1996]',-0.056,-0.081,125.188,0.302,-0.512
'[12:32:18.160 08/02/1996]',-0.053,-0.081,123.985,0.344,-0.512
'[12:32:18.162 08/02/1996]',-0.050,-0.093,123.985,0.344,-0.512
'[12:32:18.164 08/02/1996]',-0.048,-0.105,123.985,0.344,-0.512
'[12:32:18.166 08/02/1996]',-0.045,-0.117,123.985,0.344,-0.512
'[12:32:18.168 08/02/1996]',-0.044,-0.105,122.556,0.384,-0.512
'[12:32:18.170 08/02/1996]',-0.042,-0.105,122.556,0.384,-0.512
'[12:32:18.172 08/02/1996]',-0.041,-0.105,122.556,0.384,-0.512
'[12:32:18.174 08/02/1996]',-0.040,-0.117,122.556,0.384,-0.512
'[12:32:18.176 08/02/1996]',-0.039,-0.128,120.752,0.416,-0.512
'[12:32:18.178 08/02/1996]',-0.038,-0.140,120.752,0.416,-0.512
'[12:32:18.180 08/02/1996]',-0.037,-0.152,120.752,0.416,-0.512
'[12:32:18.182 08/02/1996]',-0.035,-0.152,120.752,0.416,-0.512
'[12:32:18.184 08/02/1996]',-0.034,-0.152,118.496,0.444,-0.512
'[12:32:18.186 08/02/1996]',-0.033,-0.152,118.496,0.444,-0.512
'[12:32:18.188 08/02/1996]',-0.032,-0.140,118.496,0.444,-0.512
'[12:32:18.190 08/02/1996]',-0.031,-0.140,118.496,0.444,-0.512
'[12:32:18.192 08/02/1996]',-0.031,-0.152,115.865,0.468,-0.512
'[12:32:18.194 08/02/1996]',-0.030,-0.164,115.865,0.468,-0.512
'[12:32:18.196 08/02/1996]',-0.029,-0.164,115.865,0.468,-0.512
'[12:32:18.198 08/02/1996]',-0.029,-0.164,115.865,0.468,-0.512
'[12:32:18.200 08/02/1996]',-0.029,-0.164,112.782,0.487,-0.512
'[12:32:18.202 08/02/1996]',-0.029,-0.164,112.782,0.487,-0.512
'[12:32:18.204 08/02/1996]',-0.028,-0.164,112.782,0.487,-0.512
'[12:32:18.206 08/02/1996]',-0.027,-0.152,112.782,0.487,-0.512
'[12:32:18.208 08/02/1996]',-0.026,-0.164,109.323,0.503,-0.512
'[12:32:18.210 08/02/1996]',-0.025,-0.164,109.323,0.503,-0.512
'[12:32:18.212 08/02/1996]',-0.025,-0.164,109.323,0.503,-0.512
'[12:32:18.214 08/02/1996]',-0.026,-0.164,109.323,0.503,-0.512
'[12:32:18.216 08/02/1996]',-0.026,-0.164,105.489,0.515,-0.512
'[12:32:18.218 08/02/1996]',-0.026,-0.164,105.489,0.515,-0.512
'[12:32:18.220 08/02/1996]',-0.026,-0.164,105.489,0.515,-0.512
'[12:32:18.222 08/02/1996]',-0.027,-0.164,105.489,0.515,-0.512
'[12:32:18.224 08/02/1996]',-0.028,-0.164,101.278,0.523,-0.512
'[12:32:18.226 08/02/1996]',-0.029,-0.164,101.278,0.523,-0.512
'[12:32:18.228 08/02/1996]',-0.029,-0.164,101.278,0.523,-0.512
'[12:32:18.230 08/02/1996]',-0.029,-0.164,101.278,0.523,-0.512
'[12:32:18.232 08/02/1996]',-0.028,-0.164,96.992,0.526,-0.512
'[12:32:18.234 08/02/1996]',-0.027,-0.164,96.992,0.526,-0.512
'[12:32:18.236 08/02/1996]',-0.026,-0.152,96.992,0.526,-0.512
'[12:32:18.238 08/02/1996]',-0.025,-0.152,96.992,0.526,-0.512
'[12:32:18.240 08/02/1996]',-0.026,-0.152,92.632,0.525,-0.512
'[12:32:18.242 08/02/1996]',-0.027,-0.152,92.632,0.525,-0.512
'[12:32:18.244 08/02/1996]',-0.027,-0.152,92.632,0.525,-0.512
'[12:32:18.246 08/02/1996]',-0.028,-0.152,92.632,0.525,-0.512
'[12:32:18.248 08/02/1996]',-0.027,-0.152,88.571,0.520,-0.512
'[12:32:18.250 08/02/1996]',-0.027,-0.140,88.571,0.520,-0.512
'[12:32:18.252 08/02/1996]',-0.025,-0.140,88.571,0.520,-0.512
'[12:32:18.254 08/02/1996]',-0.024,-0.117,88.571,0.520,-0.512
'[12:32:18.256 08/02/1996]',-0.023,-0.117,84.812,0.511,-0.512
'[12:32:18.258 08/02/1996]',-0.022,-0.093,84.812,0.511,-0.512
'[12:32:18.260 08/02/1996]',-0.020,-0.117,84.812,0.511,-0.512
'[12:32:18.262 08/02/1996]',-0.019,-0.117,84.812,0.511,-0.512
'[12:32:18.264 08/02/1996]',-0.018,-0.117,81.429,0.498,-0.512
'[12:32:18.266 08/02/1996]',-0.018,-0.117,81.429,0.498,-0.512
'[12:32:18.268 08/02/1996]',-0.019,-0.117,81.429,0.498,-0.512
'[12:32:18.270 08/02/1996]',-0.020,-0.105,81.429,0.498,-0.512
'[12:32:18.272 08/02/1996]',-0.021,-0.093,78.571,0.479,-0.512
'[12:32:18.274 08/02/1996]',-0.023,-0.093,78.571,0.479,-0.512
'[12:32:18.276 08/02/1996]',-0.024,-0.105,78.571,0.479,-0.512
'[12:32:18.278 08/02/1996]',-0.025,-0.105,78.571,0.479,-0.512
'[12:32:18.280 08/02/1996]',-0.026,-0.117,76.090,0.458,-0.512
'[12:32:18.282 08/02/1996]',-0.028,-0.105,76.090,0.458,-0.512
'[12:32:18.284 08/02/1996]',-0.028,-0.105,76.090,0.458,-0.512
'[12:32:18.286 08/02/1996]',-0.029,-0.105,76.090,0.458,-0.512
'[12:32:18.288 08/02/1996]',-0.029,-0.093,73.985,0.431,-0.512
'[12:32:18.290 08/02/1996]',-0.030,-0.093,73.985,0.431,-0.512
'[12:32:18.292 08/02/1996]',-0.030,-0.093,73.985,0.431,-0.512
'[12:32:18.294 08/02/1996]',-0.030,-0.105,73.985,0.431,-0.512
'[12:32:18.296 08/02/1996]',-0.030,-0.105,72.331,0.402,-0.512
'[12:32:18.298 08/02/1996]',-0.030,-0.105,72.331,0.402,-0.512
'[12:32:18.300 08/02/1996]',-0.030,-0.093,72.331,0.402,-0.512
'[12:32:18.302 08/02/1996]',-0.030,-0.081,72.331,0.402,-0.512
'[12:32:18.304 08/02/1996]',-0.030,-0.081,71.053,0.367,-0.512
'[12:32:18.306 08/02/1996]',-0.030,-0.093,71.053,0.367,-0.512
'[12:32:18.308 08/02/1996]',-0.030,-0.105,71.053,0.367,-0.512
'[12:32:18.310 08/02/1996]',-0.030,-0.105,71.053,0.367,-0.512
'[12:32:18.312 08/02/1996]',-0.030,-0.105,70.075,0.332,-0.512
'[12:32:18.314 08/02/1996]',-0.030,-0.117,70.075,0.332,-0.512
'[12:32:18.316 08/02/1996]',-0.030,-0.105,70.075,0.332,-0.512
'[12:32:18.318 08/02/1996]',-0.030,-0.105,70.075,0.332,-0.512
'[12:32:18.320 08/02/1996]',-0.030,-0.093,69.398,0.292,-0.512
'[12:32:18.322 08/02/1996]',-0.030,-0.081,69.398,0.292,-0.512
'[12:32:18.324 08/02/1996]',-0.029,-0.093,69.398,0.292,-0.512
'[12:32:18.326 08/02/1996]',-0.029,-0.105,69.398,0.292,-0.512
'[12:32:18.328 08/02/1996]',-0.028,-0.105,68.872,0.252,-0.512
'[12:32:18.330 08/02/1996]',-0.027,-0.105,68.872,0.252,-0.512
'[12:32:18.332 08/02/1996]',-0.025,-0.105,68.872,0.252,-0.512
'[12:32:18.334 08/02/1996]',-0.024,-0.093,68.872,0.252,-0.512
'[12:32:18.336 08/02/1996]',-0.023,-0.093,68.421,0.210,-0.512
'[12:32:18.338 08/02/1996]',-0.022,-0.081,68.421,0.210,-0.512
'[12:32:18.340 08/02/1996]',-0.020,-0.081,68.421,0.210,-0.512
'[12:32:18.342 08/02/1996]',-0.019,-0.093,68.421,0.210,-0.512
'[12:32:18.344 08/02/1996]',-0.019,-0.105,68.120,0.168,-0.512
'[12:32:18.346 08/02/1996]',-0.019,-0.105,68.120,0.168,-0.512
'[12:32:18.348 08/02/1996]',-0.020,-0.105,68.120,0.168,-0.512
'[12:32:18.350 08/02/1996]',-0.022,-0.093,68.120,0.168,-0.512
'[12:32:18.352 08/02/1996]',-0.023,-0.093,67.970,0.127,-0.512
'[12:32:18.354 08/02/1996]',-0.024,-0.093,67.970,0.127,-0.512
'[12:32:18.356 08/02/1996]',-0.025,-0.093,67.970,0.127,-0.512
'[12:32:18.358 08/02/1996]',-0.027,-0.105,67.970,0.127,-0.512
'[12:32:18.360 08/02/1996]',-0.028,-0.117,67.895,0.086,-0.512
'[12:32:18.362 08/02/1996]',-0.029,-0.117,67.895,0.086,-0.512
'[12:32:18.364 08/02/1996]',-0.029,-0.117,67.895,0.086,-0.512
'[12:32:18.366 08/02/1996]',-0.029,-0.117,67.895,0.086,-0.512
'[12:32:18.368 08/02/1996]',-0.028,-0.093,67.669,0.048,-0.512
'[12:32:18.370 08/02/1996]',-0.027,-0.093,67.669,0.048,-0.512
'[12:32:18.372 08/02/1996]',-0.025,-0.093,67.669,0.048,-0.512
'[12:32:18.374 08/02/1996]',-0.024,-0.105,67.669,0.048,-0.512
'[12:32:18.376 08/02/1996]',-0.023,-0.105,67.519,0.009,-0.512
'[12:32:18.378 08/02/1996]',-0.022,-0.105,67.519,0.009,-0.512
'[12:32:18.380 08/02/1996]',-0.020,-0.105,67.519,0.009,-0.512
'[12:32:18.382 08/02/1996]',-0.019,-0.105,67.519,0.009,-0.512
'[12:32:18.384 08/02/1996]',-0.018,-0.105,67.293,-0.028,-0.512
'[12:32:18.386 08/02/1996]',-0.018,-0.081,67.293,-0.028,-0.512
'[12:32:18.388 08/02/1996]',-0.018,-0.081,67.293,-0.028,-0.512
'[12:32:18.390 08/02/1996]',-0.019,-0.081,67.293,-0.028,-0.512
'[12:32:18.392 08/02/1996]',-0.019,-0.093,67.068,-0.061,-0.512
'[12:32:18.394 08/02/1996]',-0.020,-0.105,67.068,-0.061,-0.512
'[12:32:18.396 08/02/1996]',-0.021,-0.105,67.068,-0.061,-0.512
'[12:32:18.398 08/02/1996]',-0.022,-0.105,67.068,-0.061,-0.512
'[12:32:18.400 08/02/1996]',-0.022,-0.105,66.767,-0.092,-0.512
'[12:32:18.402 08/02/1996]',-0.023,-0.105,66.767,-0.092,-0.512
'[12:32:18.404 08/02/1996]',-0.024,-0.093,66.767,-0.092,-0.512
'[12:32:18.406 08/02/1996]',-0.025,-0.093,66.767,-0.092,-0.512
'[12:32:18.408 08/02/1996]',-0.026,-0.105,66.541,-0.121,-0.512
'[12:32:18.410 08/02/1996]',-0.027,-0.105,66.541,-0.121,-0.512
'[12:32:18.412 08/02/1996]',-0.026,-0.117,66.541,-0.121,-0.512
'[12:32:18.414 08/02/1996]',-0.026,-0.105,66.541,-0.121,-0.512
'[12:32:18.416 08/02/1996]',-0.026,-0.093,66.241,-0.148,-0.512
'[12:32:18.418 08/02/1996]',-0.026,-0.093,66.241,-0.148,-0.512
'[12:32:18.420 08/02/1996]',-0.025,-0.093,66.241,-0.148,-0.512
'[12:32:18.422 08/02/1996]',-0.025,-0.093,66.241,-0.148,-0.512
'[12:32:18.424 08/02/1996]',-0.024,-0.081,66.015,-0.174,-0.512
'[12:32:18.426 08/02/1996]',-0.023,-0.093,66.015,-0.174,-0.512
'[12:32:18.428 08/02/1996]',-0.022,-0.105,66.015,-0.174,-0.512
'[12:32:18.430 08/02/1996]',-0.022,-0.105,66.015,-0.174,-0.512
'[12:32:18.432 08/02/1996]',-0.022,-0.105,65.714,-0.198,-0.512
'[12:32:18.434 08/02/1996]',-0.022,-0.093,65.714,-0.198,-0.512
'[12:32:18.436 08/02/1996]',-0.022,-0.093,65.714,-0.198,-0.512
'[12:32:18.438 08/02/1996]',-0.022,-0.093,65.714,-0.198,-0.512
'[12:32:18.440 08/02/1996]',-0.022,-0.093,65.263,-0.217,-0.512
'[12:32:18.442 08/02/1996]',-0.022,-0.093,65.263,-0.217,-0.512
'[12:32:18.444 08/02/1996]',-0.022,-0.093,65.263,-0.217,-0.512
'[12:32:18.446 08/02/1996]',-0.023,-0.093,65.263,-0.217,-0.512
'[12:32:18.448 08/02/1996]',-0.024,-0.081,64.887,-0.237,-0.512
