'Time and date','III ','ABP ','PLETH ','RESP '
'[01:29:46.360 22/10/1994]',0.032,112.250,0.043,-0.442
'[01:29:46.362 22/10/1994]',0.027,112.250,0.043,-0.442
'[01:29:46.364 22/10/1994]',0.024,112.250,0.043,-0.442
'[01:29:46.366 22/10/1994]',0.020,112.250,0.043,-0.442
'[01:29:46.368 22/10/1994]',0.018,109.200,0.146,-0.446
'[01:29:46.370 22/10/1994]',0.016,109.200,0.146,-0.446
'[01:29:46.372 22/10/1994]',0.013,109.200,0.146,-0.446
'[01:29:46.374 22/10/1994]',0.011,109.200,0.146,-0.446
'[01:29:46.376 22/10/1994]',0.008,106.100,0.253,-0.450
'[01:29:46.378 22/10/1994]',0.005,106.100,0.253,-0.450
'[01:29:46.380 22/10/1994]',0.002,106.100,0.253,-0.450
'[01:29:46.382 22/10/1994]',-0.001,106.100,0.253,-0.450
'[01:29:46.384 22/10/1994]',-0.003,103.200,0.352,-0.454
'[01:29:46.386 22/10/1994]',-0.005,103.200,0.352,-0.454
'[01:29:46.388 22/10/1994]',-0.006,103.200,0.352,-0.454
'[01:29:46.390 22/10/1994]',-0.008,103.200,0.352,-0.454
'[01:29:46.392 22/10/1994]',-0.011,100.500,0.442,-0.458
'[01:29:46.394 22/10/1994]',-0.013,100.500,0.442,-0.458
'[01:29:46.396 22/10/1994]',-0.017,100.500,0.442,-0.458
'[01:29:46.398 22/10/1994]',-0.021,100.500,0.442,-0.458
'[01:29:46.400 22/10/1994]',-0.026,97.950,0.516,-0.462
'[01:29:46.402 22/10/1994]',-0.031,97.950,0.516,-0.462
'[01:29:46.404 22/10/1994]',-0.035,97.950,0.516,-0.462
'[01:29:46.406 22/10/1994]',-0.038,97.950,0.516,-0.462
'[01:29:46.408 22/10/1994]',-0.040,95.450,0.570,-0.467
'[01:29:46.410 22/10/1994]',-0.041,95.450,0.570,-0.467
'[01:29:46.412 22/10/1994]',-0.041,95.450,0.570,-0.467
'[01:29:46.414 22/10/1994]',-0.041,95.450,0.570,-0.467
'[01:29:46.416 22/10/1994]',-0.040,93.050,0.606,-0.471
'[01:29:46.418 22/10/1994]',-0.039,93.050,0.606,-0.471
'[01:29:46.420 22/10/1994]',-0.037,93.050,0.606,-0.471
'[01:29:46.422 22/10/1994]',-0.036,93.050,0.606,-0.471
'[01:29:46.424 22/10/1994]',-0.035,90.650,0.620,-0.476
'[01:29:46.426 22/10/1994]',-0.033,90.650,0.620,-0.476
'[01:29:46.428 22/10/1994]',-0.031,90.650,0.620,-0.476
'[01:29:46.430 22/10/1994]',-0.029,90.650,0.620,-0.476
'[01:29:46.432 22/10/1994]',-0.027,88.200,0.616,-0.481
'[01:29:46.434 22/10/1994]',-0.025,88.200,0.616,-0.481
'[01:29:46.436 22/10/1994]',-0.024,88.200,0.616,-0.481
'[01:29:46.438 22/10/1994]',-0.022,88.200,0.616,-0.481
'[01:29:46.440 22/10/1994]',-0.022,85.650,0.592,-0.487
'[01:29:46.442 22/10/1994]',-0.022,85.650,0.592,-0.487
'[01:29:46.444 22/10/1994]',-0.021,85.650,0.592,-0.487
'[01:29:46.446 22/10/1994]',-0.021,85.650,0.592,-0.487
'[01:29:46.448 22/10/1994]',-0.019,83.000,0.552,-0.493
'[01:29:46.450 22/10/1994]',-0.018,83.000,0.552,-0.493
'[01:29:46.452 22/10/1994]',-0.017,83.000,0.552,-0.493
'[01:29:46.454 22/10/1994]',-0.015,83.000,0.552,-0.493
'[01:29:46.456 22/10/1994]',-0.015,80.400,0.509,-0.499
'[01:29:46.458 22/10/1994]',-0.014,80.400,0.509,-0.499
'[01:29:46.460 22/10/1994]',-0.015,80.400,0.509,-0.499
'[01:29:46.462 22/10/1994]',-0.016,80.400,0.509,-0.499
'[01:29:46.464 22/10/1994]',-0.017,77.800,0.453,-0.506
'[01:29:46.466 22/10/1994]',-0.018,77.800,0.453,-0.506
'[01:29:46.468 22/10/1994]',-0.018,77.800,0.453,-0.506
'[01:29:46.470 22/10/1994]',-0.019,77.800,0.453,-0.506
'[01:29:46.472 22/10/1994]',-0.019,75.400,0.396,-0.512
'[01:29:46.474 22/10/1994]',-0.019,75.400,0.396,-0.512
'[01:29:46.476 22/10/1994]',-0.019,75.400,0.396,-0.512
'[01:29:46.478 22/10/1994]',-0.020,75.400,0.396,-0.512
'[01:29:46.480 22/10/1994]',-0.021,73.300,0.328,-0.517
'[01:29:46.482 22/10/1994]',-0.023,73.300,0.328,-0.517
'[01:29:46.484 22/10/1994]',-0.025,73.300,0.328,-0.517
'[01:29:46.486 22/10/1994]',-0.026,73.300,0.328,-0.517
'[01:29:46.488 22/10/1994]',-0.029,71.700,0.260,-0.522
'[01:29:46.490 22/10/1994]',-0.031,71.700,0.260,-0.522
'[01:29:46.492 22/10/1994]',-0.032,71.700,0.260,-0.522
'[01:29:46.494 22/10/1994]',-0.033,71.700,0.260,-0.522
'[01:29:46.496 22/10/1994]',-0.035,70.500,0.193,-0.527
'[01:29:46.498 22/10/1994]',-0.036,70.500,0.193,-0.527
'[01:29:46.500 22/10/1994]',-0.038,70.500,0.193,-0.527
'[01:29:46.502 22/10/1994]',-0.040,70.500,0.193,-0.527
'[01:29:46.504 22/10/1994]',-0.043,69.900,0.124,-0.531
'[01:29:46.506 22/10/1994]',-0.045,69.900,0.124,-0.531
'[01:29:46.508 22/10/1994]',-0.047,69.900,0.124,-0.531
'[01:29:46.510 22/10/1994]',-0.049,69.900,0.124,-0.531
'[01:29:46.512 22/10/1994]',-0.050,69.850,0.053,-0.534
'[01:29:46.514 22/10/1994]',-0.051,69.850,0.053,-0.534
'[01:29:46.516 22/10/1994]',-0.052,69.850,0.053,-0.534
'[01:29:46.518 22/10/1994]',-0.053,69.850,0.053,-0.534
'[01:29:46.520 22/10/1994]',-0.054,70.150,-0.018,-0.537
'[01:29:46.522 22/10/1994]',-0.055,70.150,-0.018,-0.537
'[01:29:46.524 22/10/1994]',-0.054,70.150,-0.018,-0.537
'[01:29:46.526 22/10/1994]',-0.053,70.150,-0.018,-0.537
'[01:29:46.528 22/10/1994]',-0.050,70.950,-0.082,-0.540
'[01:29:46.530 22/10/1994]',-0.047,70.950,-0.082,-0.540
'[01:29:46.532 22/10/1994]',-0.042,70.950,-0.082,-0.540
'[01:29:46.534 22/10/1994]',-0.036,70.950,-0.082,-0.540
'[01:29:46.536 22/10/1994]',-0.028,72.000,-0.146,-0.541
'[01:29:46.538 22/10/1994]',-0.020,72.000,-0.146,-0.541
'[01:29:46.540 22/10/1994]',-0.009,72.000,-0.146,-0.541
'[01:29:46.542 22/10/1994]',0.002,72.000,-0.146,-0.541
'[01:29:46.544 22/10/1994]',0.017,73.200,-0.210,-0.542
'[01:29:46.546 22/10/1994]',0.031,73.200,-0.210,-0.542
'[01:29:46.548 22/10/1994]',0.051,73.200,-0.210,-0.542
'[01:29:46.550 22/10/1994]',0.072,73.200,-0.210,-0.542
'[01:29:46.552 22/10/1994]',0.102,74.550,-0.260,-0.543
'[01:29:46.554 22/10/1994]',0.131,74.550,-0.260,-0.543
'[01:29:46.556 22/10/1994]',0.176,74.550,-0.260,-0.543
'[01:29:46.558 22/10/1994]',0.221,74.550,-0.260,-0.543
'[01:29:46.560 22/10/1994]',0.283,76.000,-0.306,-0.542
'[01:29:46.562 22/10/1994]',0.346,76.000,-0.306,-0.542
'[01:29:46.564 22/10/1994]',0.416,76.000,-0.306,-0.542
'[01:29:46.566 22/10/1994]',0.486,76.000,-0.306,-0.542
'[01:29:46.568 22/10/1994]',0.541,77.250,-0.345,-0.542
'[01:29:46.570 22/10/1994]',0.596,77.250,-0.345,-0.542
'[01:29:46.572 22/10/1994]',0.615,77.250,-0.345,-0.542
'[01:29:46.574 22/10/1994]',0.633,77.250,-0.345,-0.542
'[01:29:46.576 22/10/1994]',0.606,78.250,-0.374,-0.541
'[01:29:46.578 22/10/1994]',0.579,78.250,-0.374,-0.541
'[01:29:46.580 22/10/1994]',0.515,78.250,-0.374,-0.541
'[01:29:46.582 22/10/1994]',0.452,78.250,-0.374,-0.541
'[01:29:46.584 22/10/1994]',0.375,79.000,-0.399,-0.541
'[01:29:46.586 22/10/1994]',0.298,79.000,-0.399,-0.541
'[01:29:46.588 22/10/1994]',0.231,79.000,-0.399,-0.541
'[01:29:46.590 22/10/1994]',0.164,79.000,-0.399,-0.541
'[01:29:46.592 22/10/1994]',0.114,79.300,-0.410,-0.540
'[01:29:46.594 22/10/1994]',0.064,79.300,-0.410,-0.540
'[01:29:46.596 22/10/1994]',0.030,79.300,-0.410,-0.540
'[01:29:46.598 22/10/1994]',-0.003,79.300,-0.410,-0.540
'[01:29:46.600 22/10/1994]',-0.023,79.450,-0.406,-0.540
'[01:29:46.602 22/10/1994]',-0.043,79.450,-0.406,-0.540
'[01:29:46.604 22/10/1994]',-0.054,79.450,-0.406,-0.540
'[01:29:46.606 22/10/1994]',-0.066,79.450,-0.406,-0.540
'[01:29:46.608 22/10/1994]',-0.073,79.350,-0.403,-0.539
'[01:29:46.610 22/10/1994]',-0.080,79.350,-0.403,-0.539
'[01:29:46.612 22/10/1994]',-0.085,79.350,-0.403,-0.539
'[01:29:46.614 22/10/1994]',-0.090,79.350,-0.403,-0.539
'[01:29:46.616 22/10/1994]',-0.093,79.150,-0.382,-0.538
'[01:29:46.618 22/10/1994]',-0.096,79.150,-0.382,-0.538
'[01:29:46.620 22/10/1994]',-0.098,79.150,-0.382,-0.538
'[01:29:46.622 22/10/1994]',-0.100,79.150,-0.382,-0.538
'[01:29:46.624 22/10/1994]',-0.101,78.750,-0.360,-0.537
'[01:29:46.626 22/10/1994]',-0.102,78.750,-0.360,-0.537
'[01:29:46.628 22/10/1994]',-0.102,78.750,-0.360,-0.537
'[01:29:46.630 22/10/1994]',-0.102,78.750,-0.360,-0.537
'[01:29:46.632 22/10/1994]',-0.101,78.400,-0.328,-0.536
'[01:29:46.634 22/10/1994]',-0.099,78.400,-0.328,-0.536
'[01:29:46.636 22/10/1994]',-0.098,78.400,-0.328,-0.536
'[01:29:46.638 22/10/1994]',-0.096,78.400,-0.328,-0.536
'[01:29:46.640 22/10/1994]',-0.095,77.850,-0.299,-0.535
'[01:29:46.642 22/10/1994]',-0.094,77.850,-0.299,-0.535
'[01:29:46.644 22/10/1994]',-0.093,77.850,-0.299,-0.535
'[01:29:46.646 22/10/1994]',-0.092,77.850,-0.299,-0.535
'[01:29:46.648 22/10/1994]',-0.092,77.200,-0.264,-0.534
'[01:29:46.650 22/10/1994]',-0.092,77.200,-0.264,-0.534
'[01:29:46.652 22/10/1994]',-0.091,77.200,-0.264,-0.534
'[01:29:46.654 22/10/1994]',-0.091,77.200,-0.264,-0.534
'[01:29:46.656 22/10/1994]',-0.088,76.500,-0.232,-0.534
'[01:29:46.658 22/10/1994]',-0.086,76.500,-0.232,-0.534
'[01:29:46.660 22/10/1994]',-0.084,76.500,-0.232,-0.534
'[01:29:46.662 22/10/1994]',-0.081,76.500,-0.232,-0.534
'[01:29:46.664 22/10/1994]',-0.079,75.700,-0.203,-0.534
'[01:29:46.666 22/10/1994]',-0.077,75.700,-0.203,-0.534
'[01:29:46.668 22/10/1994]',-0.076,75.700,-0.203,-0.534
'[01:29:46.670 22/10/1994]',-0.076,75.700,-0.203,-0.534
'[01:29:46.672 22/10/1994]',-0.076,74.850,-0.178,-0.534
'[01:29:46.674 22/10/1994]',-0.076,74.850,-0.178,-0.534
'[01:29:46.676 22/10/1994]',-0.074,74.850,-0.178,-0.534
'[01:29:46.678 22/10/1994]',-0.073,74.850,-0.178,-0.534
'[01:29:46.680 22/10/1994]',-0.071,73.950,-0.161,-0.534
'[01:29:46.682 22/10/1994]',-0.069,73.950,-0.161,-0.534
'[01:29:46.684 22/10/1994]',-0.067,73.950,-0.161,-0.534
'[01:29:46.686 22/10/1994]',-0.065,73.950,-0.161,-0.534
'[01:29:46.688 22/10/1994]',-0.064,73.150,-0.146,-0.534
'[01:29:46.690 22/10/1994]',-0.062,73.150,-0.146,-0.534
'[01:29:46.692 22/10/1994]',-0.060,73.150,-0.146,-0.534
'[01:29:46.694 22/10/1994]',-0.059,73.150,-0.146,-0.534
'[01:29:46.696 22/10/1994]',-0.058,72.450,-0.139,-0.534
'[01:29:46.698 22/10/1994]',-0.057,72.450,-0.139,-0.534
'[01:29:46.700 22/10/1994]',-0.056,72.450,-0.139,-0.534
'[01:29:46.702 22/10/1994]',-0.055,72.450,-0.139,-0.534
'[01:29:46.704 22/10/1994]',-0.053,72.000,-0.142,-0.534
'[01:29:46.706 22/10/1994]',-0.051,72.000,-0.142,-0.534
'[01:29:46.708 22/10/1994]',-0.049,72.000,-0.142,-0.534
'[01:29:46.710 22/10/1994]',-0.047,72.000,-0.142,-0.534
'[01:29:46.712 22/10/1994]',-0.044,72.150,-0.146,-0.535
'[01:29:46.714 22/10/1994]',-0.042,72.150,-0.146,-0.535
'[01:29:46.716 22/10/1994]',-0.039,72.150,-0.146,-0.535
'[01:29:46.718 22/10/1994]',-0.036,72.150,-0.146,-0.535
'[01:29:46.720 22/10/1994]',-0.032,73.300,-0.157,-0.536
'[01:29:46.722 22/10/1994]',-0.027,73.300,-0.157,-0.536
'[01:29:46.724 22/10/1994]',-0.022,73.300,-0.157,-0.536
'[01:29:46.726 22/10/1994]',-0.017,73.300,-0.157,-0.536
'[01:29:46.728 22/10/1994]',-0.013,76.150,-0.174,-0.537
'[01:29:46.730 22/10/1994]',-0.009,76.150,-0.174,-0.537
'[01:29:46.732 22/10/1994]',-0.004,76.150,-0.174,-0.537
'[01:29:46.734 22/10/1994]',0.000,76.150,-0.174,-0.537
'[01:29:46.736 22/10/1994]',0.005,81.450,-0.193,-0.538
'[01:29:46.738 22/10/1994]',0.011,81.450,-0.193,-0.538
'[01:29:46.740 22/10/1994]',0.017,81.450,-0.193,-0.538
'[01:29:46.742 22/10/1994]',0.023,81.450,-0.193,-0.538
'[01:29:46.744 22/10/1994]',0.029,89.400,-0.210,-0.540
'[01:29:46.746 22/10/1994]',0.035,89.400,-0.210,-0.540
'[01:29:46.748 22/10/1994]',0.043,89.400,-0.210,-0.540
'[01:29:46.750 22/10/1994]',0.050,89.400,-0.210,-0.540
'[01:29:46.752 22/10/1994]',0.058,99.200,-0.225,-0.541
'[01:29:46.754 22/10/1994]',0.066,99.200,-0.225,-0.541
'[01:29:46.756 22/10/1994]',0.075,99.200,-0.225,-0.541
'[01:29:46.758 22/10/1994]',0.084,99.200,-0.225,-0.541
'[01:29:46.760 22/10/1994]',0.092,109.100,-0.254,-0.542
'[01:29:46.762 22/10/1994]',0.101,109.100,-0.254,-0.542
'[01:29:46.764 22/10/1994]',0.109,109.100,-0.254,-0.542
'[01:29:46.766 22/10/1994]',0.117,109.100,-0.254,-0.542
'[01:29:46.768 22/10/1994]',0.123,117.300,-0.261,-0.543
'[01:29:46.770 22/10/1994]',0.130,117.300,-0.261,-0.543
'[01:29:46.772 22/10/1994]',0.135,117.300,-0.261,-0.543
'[01:29:46.774 22/10/1994]',0.140,117.300,-0.261,-0.543
'[01:29:46.776 22/10/1994]',0.144,122.750,-0.254,-0.544
'[01:29:46.778 22/10/1994]',0.148,122.750,-0.254,-0.544
'[01:29:46.780 22/10/1994]',0.151,122.750,-0.254,-0.544
'[01:29:46.782 22/10/1994]',0.154,122.750,-0.254,-0.544
'[01:29:46.784 22/10/1994]',0.155,125.450,-0.227,-0.545
'[01:29:46.786 22/10/1994]',0.157,125.450,-0.227,-0.545
'[01:29:46.788 22/10/1994]',0.157,125.450,-0.227,-0.545
'[01:29:46.790 22/10/1994]',0.156,125.450,-0.227,-0.545
'[01:29:46.792 22/10/1994]',0.154,126.050,-0.189,-0.545
'[01:29:46.794 22/10/1994]',0.152,126.050,-0.189,-0.545
'[01:29:46.796 22/10/1994]',0.148,126.050,-0.189,-0.545
'[01:29:46.798 22/10/1994]',0.145,126.050,-0.189,-0.545
'[01:29:46.800 22/10/1994]',0.141,125.150,-0.131,-0.546
'[01:29:46.802 22/10/1994]',0.137,125.150,-0.131,-0.546
'[01:29:46.804 22/10/1994]',0.133,125.150,-0.131,-0.546
'[01:29:46.806 22/10/1994]',0.129,125.150,-0.131,-0.546
'[01:29:46.808 22/10/1994]',0.125,123.200,-0.051,-0.546
'[01:29:46.810 22/10/1994]',0.121,123.200,-0.051,-0.546
'[01:29:46.812 22/10/1994]',0.116,123.200,-0.051,-0.546
'[01:29:46.814 22/10/1994]',0.110,123.200,-0.051,-0.546
'[01:29:46.816 22/10/1994]',0.102,120.750,0.048,-0.546
'[01:29:46.818 22/10/1994]',0.095,120.750,0.048,-0.546
'[01:29:46.820 22/10/1994]',0.087,120.750,0.048,-0.546
'[01:29:46.822 22/10/1994]',0.079,120.750,0.048,-0.546
'[01:29:46.824 22/10/1994]',0.071,117.750,0.151,-0.546
'[01:29:46.826 22/10/1994]',0.063,117.750,0.151,-0.546
'[01:29:46.828 22/10/1994]',0.055,117.750,0.151,-0.546
'[01:29:46.830 22/10/1994]',0.047,117.750,0.151,-0.546
'[01:29:46.832 22/10/1994]',0.041,114.650,0.261,-0.546
'[01:29:46.834 22/10/1994]',0.034,114.650,0.261,-0.546
'[01:29:46.836 22/10/1994]',0.029,114.650,0.261,-0.546
'[01:29:46.838 22/10/1994]',0.024,114.650,0.261,-0.546
'[01:29:46.840 22/10/1994]',0.020,111.650,0.373,-0.546
'[01:29:46.842 22/10/1994]',0.016,111.650,0.373,-0.546
'[01:29:46.844 22/10/1994]',0.011,111.650,0.373,-0.546
'[01:29:46.846 22/10/1994]',0.007,111.650,0.373,-0.546
'[01:29:46.848 22/10/1994]',0.002,108.800,0.480,-0.547
'[01:29:46.850 22/10/1994]',-0.004,108.800,0.480,-0.547
'[01:29:46.852 22/10/1994]',-0.009,108.800,0.480,-0.547
'[01:29:46.854 22/10/1994]',-0.015,108.800,0.480,-0.547
'[01:29:46.856 22/10/1994]',-0.018,106.100,0.573,-0.547
'[01:29:46.858 22/10/1994]',-0.022,106.100,0.573,-0.547
'[01:29:46.860 22/10/1994]',-0.025,106.100,0.573,-0.547
'[01:29:46.862 22/10/1994]',-0.028,106.100,0.573,-0.547
'[01:29:46.864 22/10/1994]',-0.029,103.700,0.641,-0.548
'[01:29:46.866 22/10/1994]',-0.031,103.700,0.641,-0.548
'[01:29:46.868 22/10/1994]',-0.033,103.700,0.641,-0.548
'[01:29:46.870 22/10/1994]',-0.034,103.700,0.641,-0.548
'[01:29:46.872 22/10/1994]',-0.036,101.400,0.693,-0.549
'[01:29:46.874 22/10/1994]',-0.038,101.400,0.693,-0.549
'[01:29:46.876 22/10/1994]',-0.040,101.400,0.693,-0.549
'[01:29:46.878 22/10/1994]',-0.042,101.400,0.693,-0.549
'[01:29:46.880 22/10/1994]',-0.045,99.200,0.720,-0.550
'[01:29:46.882 22/10/1994]',-0.048,99.200,0.720,-0.550
'[01:29:46.884 22/10/1994]',-0.050,99.200,0.720,-0.550
'[01:29:46.886 22/10/1994]',-0.052,99.200,0.720,-0.550
'[01:29:46.888 22/10/1994]',-0.052,97.100,0.727,-0.551
'[01:29:46.890 22/10/1994]',-0.052,97.100,0.727,-0.551
'[01:29:46.892 22/10/1994]',-0.051,97.100,0.727,-0.551
'[01:29:46.894 22/10/1994]',-0.050,97.100,0.727,-0.551
'[01:29:46.896 22/10/1994]',-0.049,95.000,0.713,-0.552
'[01:29:46.898 22/10/1994]',-0.047,95.000,0.713,-0.552
'[01:29:46.900 22/10/1994]',-0.044,95.000,0.713,-0.552
'[01:29:46.902 22/10/1994]',-0.042,95.000,0.713,-0.552
'[01:29:46.904 22/10/1994]',-0.040,92.700,0.682,-0.553
'[01:29:46.906 22/10/1994]',-0.037,92.700,0.682,-0.553
'[01:29:46.908 22/10/1994]',-0.035,92.700,0.682,-0.553
'[01:29:46.910 22/10/1994]',-0.032,92.700,0.682,-0.553
'[01:29:46.912 22/10/1994]',-0.030,90.350,0.638,-0.554
'[01:29:46.914 22/10/1994]',-0.029,90.350,0.638,-0.554
'[01:29:46.916 22/10/1994]',-0.027,90.350,0.638,-0.554
'[01:29:46.918 22/10/1994]',-0.025,90.350,0.638,-0.554
'[01:29:46.920 22/10/1994]',-0.023,87.800,0.587,-0.555
'[01:29:46.922 22/10/1994]',-0.021,87.800,0.587,-0.555
'[01:29:46.924 22/10/1994]',-0.020,87.800,0.587,-0.555
'[01:29:46.926 22/10/1994]',-0.019,87.800,0.587,-0.555
'[01:29:46.928 22/10/1994]',-0.019,85.250,0.528,-0.556
'[01:29:46.930 22/10/1994]',-0.019,85.250,0.528,-0.556
'[01:29:46.932 22/10/1994]',-0.021,85.250,0.528,-0.556
'[01:29:46.934 22/10/1994]',-0.023,85.250,0.528,-0.556
'[01:29:46.936 22/10/1994]',-0.025,82.700,0.463,-0.558
'[01:29:46.938 22/10/1994]',-0.027,82.700,0.463,-0.558
'[01:29:46.940 22/10/1994]',-0.029,82.700,0.463,-0.558
'[01:29:46.942 22/10/1994]',-0.031,82.700,0.463,-0.558
'[01:29:46.944 22/10/1994]',-0.032,80.450,0.401,-0.559
'[01:29:46.946 22/10/1994]',-0.033,80.450,0.401,-0.559
'[01:29:46.948 22/10/1994]',-0.035,80.450,0.401,-0.559
'[01:29:46.950 22/10/1994]',-0.036,80.450,0.401,-0.559
'[01:29:46.952 22/10/1994]',-0.038,78.450,0.340,-0.561
'[01:29:46.954 22/10/1994]',-0.041,78.450,0.340,-0.561
'[01:29:46.956 22/10/1994]',-0.044,78.450,0.340,-0.561
'[01:29:46.958 22/10/1994]',-0.048,78.450,0.340,-0.561
'[01:29:46.960 22/10/1994]',-0.051,76.800,0.274,-0.561
'[01:29:46.962 22/10/1994]',-0.053,76.800,0.274,-0.561
'[01:29:46.964 22/10/1994]',-0.054,76.800,0.274,-0.561
'[01:29:46.966 22/10/1994]',-0.055,76.800,0.274,-0.561
'[01:29:46.968 22/10/1994]',-0.055,75.550,0.209,-0.561
'[01:29:46.970 22/10/1994]',-0.055,75.550,0.209,-0.561
'[01:29:46.972 22/10/1994]',-0.055,75.550,0.209,-0.561
'[01:29:46.974 22/10/1994]',-0.055,75.550,0.209,-0.561
'[01:29:46.976 22/10/1994]',-0.055,74.950,0.151,-0.559
'[01:29:46.978 22/10/1994]',-0.055,74.950,0.151,-0.559
'[01:29:46.980 22/10/1994]',-0.055,74.950,0.151,-0.559
'[01:29:46.982 22/10/1994]',-0.055,74.950,0.151,-0.559
'[01:29:46.984 22/10/1994]',-0.056,74.850,0.089,-0.557
'[01:29:46.986 22/10/1994]',-0.056,74.850,0.089,-0.557
'[01:29:46.988 22/10/1994]',-0.058,74.850,0.089,-0.557
'[01:29:46.990 22/10/1994]',-0.059,74.850,0.089,-0.557
'[01:29:46.992 22/10/1994]',-0.059,75.300,0.030,-0.555
'[01:29:46.994 22/10/1994]',-0.060,75.300,0.030,-0.555
'[01:29:46.996 22/10/1994]',-0.060,75.300,0.030,-0.555
'[01:29:46.998 22/10/1994]',-0.061,75.300,0.030,-0.555
'[01:29:47.000 22/10/1994]',-0.059,76.150,-0.028,-0.553
'[01:29:47.002 22/10/1994]',-0.058,76.150,-0.028,-0.553
'[01:29:47.004 22/10/1994]',-0.053,76.150,-0.028,-0.553
'[01:29:47.006 22/10/1994]',-0.048,76.150,-0.028,-0.553
'[01:29:47.008 22/10/1994]',-0.040,77.200,-0.079,-0.551
'[01:29:47.010 22/10/1994]',-0.032,77.200,-0.079,-0.551
'[01:29:47.012 22/10/1994]',-0.019,77.200,-0.079,-0.551
'[01:29:47.014 22/10/1994]',-0.007,77.200,-0.079,-0.551
'[01:29:47.016 22/10/1994]',0.012,78.450,-0.134,-0.549
'[01:29:47.018 22/10/1994]',0.031,78.450,-0.134,-0.549
'[01:29:47.020 22/10/1994]',0.055,78.450,-0.134,-0.549
'[01:29:47.022 22/10/1994]',0.079,78.450,-0.134,-0.549
'[01:29:47.024 22/10/1994]',0.113,79.750,-0.178,-0.546
'[01:29:47.026 22/10/1994]',0.146,79.750,-0.178,-0.546
'[01:29:47.028 22/10/1994]',0.193,79.750,-0.178,-0.546
'[01:29:47.030 22/10/1994]',0.239,79.750,-0.178,-0.546
'[01:29:47.032 22/10/1994]',0.300,81.000,-0.216,-0.542
'[01:29:47.034 22/10/1994]',0.361,81.000,-0.216,-0.542
'[01:29:47.036 22/10/1994]',0.428,81.000,-0.216,-0.542
'[01:29:47.038 22/10/1994]',0.496,81.000,-0.216,-0.542
'[01:29:47.040 22/10/1994]',0.550,82.100,-0.251,-0.538
'[01:29:47.042 22/10/1994]',0.604,82.100,-0.251,-0.538
'[01:29:47.044 22/10/1994]',0.623,82.100,-0.251,-0.538
'[01:29:47.046 22/10/1994]',0.642,82.100,-0.251,-0.538
'[01:29:47.048 22/10/1994]',0.615,83.000,-0.275,-0.534
'[01:29:47.050 22/10/1994]',0.588,83.000,-0.275,-0.534
'[01:29:47.052 22/10/1994]',0.522,83.000,-0.275,-0.534
'[01:29:47.054 22/10/1994]',0.457,83.000,-0.275,-0.534
'[01:29:47.056 22/10/1994]',0.377,83.550,-0.288,-0.529
'[01:29:47.058 22/10/1994]',0.296,83.550,-0.288,-0.529
'[01:29:47.060 22/10/1994]',0.222,83.550,-0.288,-0.529
'[01:29:47.062 22/10/1994]',0.148,83.550,-0.288,-0.529
'[01:29:47.064 22/10/1994]',0.095,83.750,-0.298,-0.524
'[01:29:47.066 22/10/1994]',0.042,83.750,-0.298,-0.524
'[01:29:47.068 22/10/1994]',0.009,83.750,-0.298,-0.524
'[01:29:47.070 22/10/1994]',-0.025,83.750,-0.298,-0.524
'[01:29:47.072 22/10/1994]',-0.044,83.700,-0.291,-0.519
'[01:29:47.074 22/10/1994]',-0.063,83.700,-0.291,-0.519
'[01:29:47.076 22/10/1994]',-0.073,83.700,-0.291,-0.519
'[01:29:47.078 22/10/1994]',-0.083,83.700,-0.291,-0.519
'[01:29:47.080 22/10/1994]',-0.090,83.450,-0.281,-0.514
'[01:29:47.082 22/10/1994]',-0.097,83.450,-0.281,-0.514
'[01:29:47.084 22/10/1994]',-0.102,83.450,-0.281,-0.514
'[01:29:47.086 22/10/1994]',-0.106,83.450,-0.281,-0.514
'[01:29:47.088 22/10/1994]',-0.108,83.000,-0.268,-0.510
'[01:29:47.090 22/10/1994]',-0.111,83.000,-0.268,-0.510
'[01:29:47.092 22/10/1994]',-0.113,83.000,-0.268,-0.510
'[01:29:47.094 22/10/1994]',-0.114,83.000,-0.268,-0.510
'[01:29:47.096 22/10/1994]',-0.114,82.500,-0.243,-0.506
'[01:29:47.098 22/10/1994]',-0.114,82.500,-0.243,-0.506
'[01:29:47.100 22/10/1994]',-0.114,82.500,-0.243,-0.506
'[01:29:47.102 22/10/1994]',-0.114,82.500,-0.243,-0.506
'[01:29:47.104 22/10/1994]',-0.115,81.800,-0.216,-0.502
'[01:29:47.106 22/10/1994]',-0.115,81.800,-0.216,-0.502
'[01:29:47.108 22/10/1994]',-0.116,81.800,-0.216,-0.502
'[01:29:47.110 22/10/1994]',-0.117,81.800,-0.216,-0.502
'[01:29:47.112 22/10/1994]',-0.117,81.150,-0.189,-0.498
'[01:29:47.114 22/10/1994]',-0.117,81.150,-0.189,-0.498
'[01:29:47.116 22/10/1994]',-0.115,81.150,-0.189,-0.498
'[01:29:47.118 22/10/1994]',-0.113,81.150,-0.189,-0.498
'[01:29:47.120 22/10/1994]',-0.111,80.400,-0.165,-0.495
'[01:29:47.122 22/10/1994]',-0.109,80.400,-0.165,-0.495
'[01:29:47.124 22/10/1994]',-0.107,80.400,-0.165,-0.495
'[01:29:47.126 22/10/1994]',-0.105,80.400,-0.165,-0.495
'[01:29:47.128 22/10/1994]',-0.104,79.750,-0.138,-0.492
