'Time and date','V ','ABP ','PAP ','ART ','ART1 '
'[12:13:21.406 02/02/1995]',0.155,50.000,9.600,49.000,39.400
'[12:13:21.408 02/02/1995]',0.155,49.300,9.775,52.900,38.450
'[12:13:21.410 02/02/1995]',0.155,49.300,9.775,52.900,38.450
'[12:13:21.412 02/02/1995]',0.155,49.300,9.775,52.900,38.450
'[12:13:21.414 02/02/1995]',0.155,49.300,9.775,52.900,38.450
'[12:13:21.416 02/02/1995]',0.155,48.450,10.250,53.250,37.600
'[12:13:21.418 02/02/1995]',0.111,48.450,10.250,53.250,37.600
'[12:13:21.420 02/02/1995]',0.089,48.450,10.250,53.250,37.600
'[12:13:21.422 02/02/1995]',0.111,48.450,10.250,53.250,37.600
'[12:13:21.424 02/02/1995]',0.111,47.300,10.887,50.550,36.750
'[12:13:21.426 02/02/1995]',0.089,47.300,10.887,50.550,36.750
'[12:13:21.428 02/02/1995]',0.155,47.300,10.887,50.550,36.750
'[12:13:21.430 02/02/1995]',0.177,47.300,10.887,50.550,36.750
'[12:13:21.432 02/02/1995]',0.155,45.950,11.537,46.750,36.000
'[12:13:21.434 02/02/1995]',0.111,45.950,11.537,46.750,36.000
'[12:13:21.436 02/02/1995]',0.067,45.950,11.537,46.750,36.000
'[12:13:21.438 02/02/1995]',0.045,45.950,11.537,46.750,36.000
'[12:13:21.440 02/02/1995]',0.045,44.400,12.412,43.500,35.350
'[12:13:21.442 02/02/1995]',0.045,44.400,12.412,43.500,35.350
'[12:13:21.444 02/02/1995]',0.089,44.400,12.412,43.500,35.350
'[12:13:21.446 02/02/1995]',0.089,44.400,12.412,43.500,35.350
'[12:13:21.448 02/02/1995]',0.089,43.050,13.475,41.750,34.800
'[12:13:21.450 02/02/1995]',0.089,43.050,13.475,41.750,34.800
'[12:13:21.452 02/02/1995]',0.089,43.050,13.475,41.750,34.800
'[12:13:21.454 02/02/1995]',0.089,43.050,13.475,41.750,34.800
'[12:13:21.456 02/02/1995]',0.089,41.850,14.287,41.950,34.500
'[12:13:21.458 02/02/1995]',0.111,41.850,14.287,41.950,34.500
'[12:13:21.460 02/02/1995]',0.155,41.850,14.287,41.950,34.500
'[12:13:21.462 02/02/1995]',0.177,41.850,14.287,41.950,34.500
'[12:13:21.464 02/02/1995]',0.155,40.700,14.762,44.250,34.450
'[12:13:21.466 02/02/1995]',0.177,40.700,14.762,44.250,34.450
'[12:13:21.468 02/02/1995]',0.111,40.700,14.762,44.250,34.450
'[12:13:21.470 02/02/1995]',0.089,40.700,14.762,44.250,34.450
'[12:13:21.472 02/02/1995]',0.089,39.350,14.938,48.750,34.700
'[12:13:21.474 02/02/1995]',0.067,39.350,14.938,48.750,34.700
'[12:13:21.476 02/02/1995]',0.067,39.350,14.938,48.750,34.700
'[12:13:21.478 02/02/1995]',0.089,39.350,14.938,48.750,34.700
'[12:13:21.480 02/02/1995]',0.155,38.600,14.812,54.400,35.600
'[12:13:21.482 02/02/1995]',0.177,38.600,14.812,54.400,35.600
'[12:13:21.484 02/02/1995]',0.177,38.600,14.812,54.400,35.600
'[12:13:21.486 02/02/1995]',0.155,38.600,14.812,54.400,35.600
'[12:13:21.488 02/02/1995]',0.067,38.800,14.463,59.700,37.050
'[12:13:21.490 02/02/1995]',0.045,38.800,14.463,59.700,37.050
'[12:13:21.492 02/02/1995]',0.067,38.800,14.463,59.700,37.050
'[12:13:21.494 02/02/1995]',0.089,38.800,14.463,59.700,37.050
'[12:13:21.496 02/02/1995]',0.067,40.300,13.875,63.150,39.150
'[12:13:21.498 02/02/1995]',0.067,40.300,13.875,63.150,39.150
'[12:13:21.500 02/02/1995]',0.089,40.300,13.875,63.150,39.150
'[12:13:21.502 02/02/1995]',0.177,40.300,13.875,63.150,39.150
'[12:13:21.504 02/02/1995]',0.177,43.000,13.300,64.300,41.950
'[12:13:21.506 02/02/1995]',0.177,43.000,13.300,64.300,41.950
'[12:13:21.508 02/02/1995]',0.155,43.000,13.300,64.300,41.950
'[12:13:21.510 02/02/1995]',0.111,43.000,13.300,64.300,41.950
'[12:13:21.512 02/02/1995]',0.111,46.800,12.588,63.800,44.900
'[12:13:21.514 02/02/1995]',0.155,46.800,12.588,63.800,44.900
'[12:13:21.516 02/02/1995]',0.155,46.800,12.588,63.800,44.900
'[12:13:21.518 02/02/1995]',0.155,46.800,12.588,63.800,44.900
'[12:13:21.520 02/02/1995]',0.111,51.550,11.950,62.600,47.800
'[12:13:21.522 02/02/1995]',0.089,51.550,11.950,62.600,47.800
'[12:13:21.524 02/02/1995]',0.089,51.550,11.950,62.600,47.800
'[12:13:21.526 02/02/1995]',0.089,51.550,11.950,62.600,47.800
'[12:13:21.528 02/02/1995]',0.111,56.600,11.300,61.600,50.300
'[12:13:21.530 02/02/1995]',0.111,56.600,11.300,61.600,50.300
'[12:13:21.532 02/02/1995]',0.111,56.600,11.300,61.600,50.300
'[12:13:21.534 02/02/1995]',0.089,56.600,11.300,61.600,50.300
'[12:13:21.536 02/02/1995]',0.089,61.050,10.838,61.250,52.250
'[12:13:21.538 02/02/1995]',0.089,61.050,10.838,61.250,52.250
'[12:13:21.540 02/02/1995]',0.111,61.050,10.838,61.250,52.250
'[12:13:21.542 02/02/1995]',0.111,61.050,10.838,61.250,52.250
'[12:13:21.544 02/02/1995]',0.111,64.300,10.363,61.650,53.700
'[12:13:21.546 02/02/1995]',0.045,64.300,10.363,61.650,53.700
'[12:13:21.548 02/02/1995]',-0.020,64.300,10.363,61.650,53.700
'[12:13:21.550 02/02/1995]',-0.020,64.300,10.363,61.650,53.700
'[12:13:21.552 02/02/1995]',0.045,66.150,9.950,62.500,54.750
'[12:13:21.554 02/02/1995]',0.111,66.150,9.950,62.500,54.750
'[12:13:21.556 02/02/1995]',0.155,66.150,9.950,62.500,54.750
'[12:13:21.558 02/02/1995]',0.155,66.150,9.950,62.500,54.750
'[12:13:21.560 02/02/1995]',0.111,66.750,9.662,63.450,55.450
'[12:13:21.562 02/02/1995]',0.111,66.750,9.662,63.450,55.450
'[12:13:21.564 02/02/1995]',0.111,66.750,9.662,63.450,55.450
'[12:13:21.566 02/02/1995]',0.111,66.750,9.662,63.450,55.450
'[12:13:21.568 02/02/1995]',0.111,66.550,9.375,64.200,55.950
'[12:13:21.570 02/02/1995]',0.155,66.550,9.375,64.200,55.950
'[12:13:21.572 02/02/1995]',0.111,66.550,9.375,64.200,55.950
'[12:13:21.574 02/02/1995]',0.111,66.550,9.375,64.200,55.950
'[12:13:21.576 02/02/1995]',0.111,65.800,9.137,64.650,56.250
'[12:13:21.578 02/02/1995]',0.089,65.800,9.137,64.650,56.250
'[12:13:21.580 02/02/1995]',0.089,65.800,9.137,64.650,56.250
'[12:13:21.582 02/02/1995]',0.089,65.800,9.137,64.650,56.250
'[12:13:21.584 02/02/1995]',0.089,64.800,8.900,64.850,56.300
'[12:13:21.586 02/02/1995]',0.067,64.800,8.900,64.850,56.300
'[12:13:21.588 02/02/1995]',0.045,64.800,8.900,64.850,56.300
'[12:13:21.590 02/02/1995]',0.023,64.800,8.900,64.850,56.300
'[12:13:21.592 02/02/1995]',0.023,63.800,8.725,64.800,56.250
'[12:13:21.594 02/02/1995]',0.045,63.800,8.725,64.800,56.250
'[12:13:21.596 02/02/1995]',0.045,63.800,8.725,64.800,56.250
'[12:13:21.598 02/02/1995]',0.089,63.800,8.725,64.800,56.250
'[12:13:21.600 02/02/1995]',0.111,63.000,8.550,64.550,56.000
'[12:13:21.602 02/02/1995]',0.155,63.000,8.550,64.550,56.000
'[12:13:21.604 02/02/1995]',0.111,63.000,8.550,64.550,56.000
'[12:13:21.606 02/02/1995]',0.111,63.000,8.550,64.550,56.000
'[12:13:21.608 02/02/1995]',0.155,62.600,8.488,64.200,55.650
'[12:13:21.610 02/02/1995]',0.111,62.600,8.488,64.200,55.650
'[12:13:21.612 02/02/1995]',0.089,62.600,8.488,64.200,55.650
'[12:13:21.614 02/02/1995]',0.045,62.600,8.488,64.200,55.650
'[12:13:21.616 02/02/1995]',0.023,62.550,8.438,63.800,55.250
'[12:13:21.618 02/02/1995]',0.045,62.550,8.438,63.800,55.250
'[12:13:21.620 02/02/1995]',0.045,62.550,8.438,63.800,55.250
'[12:13:21.622 02/02/1995]',0.023,62.550,8.438,63.800,55.250
'[12:13:21.624 02/02/1995]',0.002,62.850,8.438,63.300,54.750
'[12:13:21.626 02/02/1995]',0.023,62.850,8.438,63.300,54.750
'[12:13:21.628 02/02/1995]',0.111,62.850,8.438,63.300,54.750
'[12:13:21.630 02/02/1995]',0.155,62.850,8.438,63.300,54.750
'[12:13:21.632 02/02/1995]',0.177,63.350,8.438,62.750,54.350
'[12:13:21.634 02/02/1995]',0.155,63.350,8.438,62.750,54.350
'[12:13:21.636 02/02/1995]',0.089,63.350,8.438,62.750,54.350
'[12:13:21.638 02/02/1995]',0.089,63.350,8.438,62.750,54.350
'[12:13:21.640 02/02/1995]',0.067,64.000,8.438,62.050,53.900
'[12:13:21.642 02/02/1995]',0.111,64.000,8.438,62.050,53.900
'[12:13:21.644 02/02/1995]',0.089,64.000,8.438,62.050,53.900
'[12:13:21.646 02/02/1995]',0.045,64.000,8.438,62.050,53.900
'[12:13:21.648 02/02/1995]',0.023,64.650,8.438,61.250,53.300
'[12:13:21.650 02/02/1995]',0.089,64.650,8.438,61.250,53.300
'[12:13:21.652 02/02/1995]',0.111,64.650,8.438,61.250,53.300
'[12:13:21.654 02/02/1995]',0.177,64.650,8.438,61.250,53.300
'[12:13:21.656 02/02/1995]',0.177,65.200,8.438,60.350,52.700
'[12:13:21.658 02/02/1995]',0.177,65.200,8.438,60.350,52.700
'[12:13:21.660 02/02/1995]',0.177,65.200,8.438,60.350,52.700
'[12:13:21.662 02/02/1995]',0.177,65.200,8.438,60.350,52.700
'[12:13:21.664 02/02/1995]',0.177,65.500,8.312,59.250,52.000
'[12:13:21.666 02/02/1995]',0.155,65.500,8.312,59.250,52.000
'[12:13:21.668 02/02/1995]',0.155,65.500,8.312,59.250,52.000
'[12:13:21.670 02/02/1995]',0.111,65.500,8.312,59.250,52.000
'[12:13:21.672 02/02/1995]',0.089,65.400,7.963,58.050,51.250
'[12:13:21.674 02/02/1995]',0.067,65.400,7.963,58.050,51.250
'[12:13:21.676 02/02/1995]',0.067,65.400,7.963,58.050,51.250
'[12:13:21.678 02/02/1995]',0.089,65.400,7.963,58.050,51.250
'[12:13:21.680 02/02/1995]',0.067,64.950,7.375,56.750,50.500
'[12:13:21.682 02/02/1995]',0.045,64.950,7.375,56.750,50.500
'[12:13:21.684 02/02/1995]',0.002,64.950,7.375,56.750,50.500
'[12:13:21.686 02/02/1995]',-0.020,64.950,7.375,56.750,50.500
'[12:13:21.688 02/02/1995]',-0.020,64.150,6.737,55.300,49.650
'[12:13:21.690 02/02/1995]',-0.020,64.150,6.737,55.300,49.650
'[12:13:21.692 02/02/1995]',-0.020,64.150,6.737,55.300,49.650
'[12:13:21.694 02/02/1995]',0.023,64.150,6.737,55.300,49.650
'[12:13:21.696 02/02/1995]',0.002,63.000,6.088,53.900,48.950
'[12:13:21.698 02/02/1995]',0.023,63.000,6.088,53.900,48.950
'[12:13:21.700 02/02/1995]',0.023,63.000,6.088,53.900,48.950
'[12:13:21.702 02/02/1995]',0.002,63.000,6.088,53.900,48.950
'[12:13:21.704 02/02/1995]',0.023,61.750,5.562,52.600,48.300
'[12:13:21.706 02/02/1995]',0.002,61.750,5.562,52.600,48.300
'[12:13:21.708 02/02/1995]',-0.020,61.750,5.562,52.600,48.300
'[12:13:21.710 02/02/1995]',-0.064,61.750,5.562,52.600,48.300
'[12:13:21.712 02/02/1995]',-0.042,60.200,5.213,51.650,47.800
'[12:13:21.714 02/02/1995]',-0.020,60.200,5.213,51.650,47.800
'[12:13:21.716 02/02/1995]',0.002,60.200,5.213,51.650,47.800
'[12:13:21.718 02/02/1995]',0.002,60.200,5.213,51.650,47.800
'[12:13:21.720 02/02/1995]',-0.042,58.650,5.150,51.150,47.400
'[12:13:21.722 02/02/1995]',-0.064,58.650,5.150,51.150,47.400
'[12:13:21.724 02/02/1995]',-0.064,58.650,5.150,51.150,47.400
'[12:13:21.726 02/02/1995]',-0.064,58.650,5.150,51.150,47.400
'[12:13:21.728 02/02/1995]',-0.042,57.000,5.388,50.950,47.100
'[12:13:21.730 02/02/1995]',0.023,57.000,5.388,50.950,47.100
'[12:13:21.732 02/02/1995]',0.045,57.000,5.388,50.950,47.100
'[12:13:21.734 02/02/1995]',0.067,57.000,5.388,50.950,47.100
'[12:13:21.736 02/02/1995]',0.067,55.400,5.850,50.950,46.900
'[12:13:21.738 02/02/1995]',0.045,55.400,5.850,50.950,46.900
'[12:13:21.740 02/02/1995]',0.067,55.400,5.850,50.950,46.900
'[12:13:21.742 02/02/1995]',0.045,55.400,5.850,50.950,46.900
'[12:13:21.744 02/02/1995]',0.023,54.000,6.500,50.950,46.750
'[12:13:21.746 02/02/1995]',0.023,54.000,6.500,50.950,46.750
'[12:13:21.748 02/02/1995]',0.045,54.000,6.500,50.950,46.750
'[12:13:21.750 02/02/1995]',0.067,54.000,6.500,50.950,46.750
'[12:13:21.752 02/02/1995]',0.111,52.900,7.200,50.900,46.650
'[12:13:21.754 02/02/1995]',0.155,52.900,7.200,50.900,46.650
'[12:13:21.756 02/02/1995]',0.177,52.900,7.200,50.900,46.650
'[12:13:21.758 02/02/1995]',0.199,52.900,7.200,50.900,46.650
'[12:13:21.760 02/02/1995]',0.221,52.250,7.963,50.700,46.650
'[12:13:21.762 02/02/1995]',0.221,52.250,7.963,50.700,46.650
'[12:13:21.764 02/02/1995]',0.221,52.250,7.963,50.700,46.650
'[12:13:21.766 02/02/1995]',0.243,52.250,7.963,50.700,46.650
'[12:13:21.768 02/02/1995]',0.243,52.000,8.613,50.400,46.600
'[12:13:21.770 02/02/1995]',0.221,52.000,8.613,50.400,46.600
'[12:13:21.772 02/02/1995]',0.221,52.000,8.613,50.400,46.600
'[12:13:21.774 02/02/1995]',0.221,52.000,8.613,50.400,46.600
'[12:13:21.776 02/02/1995]',0.221,52.200,9.075,50.150,46.550
'[12:13:21.778 02/02/1995]',0.177,52.200,9.075,50.150,46.550
'[12:13:21.780 02/02/1995]',0.155,52.200,9.075,50.150,46.550
'[12:13:21.782 02/02/1995]',0.111,52.200,9.075,50.150,46.550
'[12:13:21.784 02/02/1995]',0.111,52.500,9.312,49.850,46.500
'[12:13:21.786 02/02/1995]',0.111,52.500,9.312,49.850,46.500
'[12:13:21.788 02/02/1995]',0.155,52.500,9.312,49.850,46.500
'[12:13:21.790 02/02/1995]',0.111,52.500,9.312,49.850,46.500
'[12:13:21.792 02/02/1995]',0.177,52.950,9.312,49.550,46.450
'[12:13:21.794 02/02/1995]',0.177,52.950,9.312,49.550,46.450
'[12:13:21.796 02/02/1995]',0.199,52.950,9.312,49.550,46.450
'[12:13:21.798 02/02/1995]',0.177,52.950,9.312,49.550,46.450
'[12:13:21.800 02/02/1995]',0.111,53.350,9.312,49.300,46.400
'[12:13:21.802 02/02/1995]',0.089,53.350,9.312,49.300,46.400
'[12:13:21.804 02/02/1995]',0.089,53.350,9.312,49.300,46.400
'[12:13:21.806 02/02/1995]',0.155,53.350,9.312,49.300,46.400
'[12:13:21.808 02/02/1995]',0.155,53.700,9.250,49.100,46.300
'[12:13:21.810 02/02/1995]',0.177,53.700,9.250,49.100,46.300
'[12:13:21.812 02/02/1995]',0.199,53.700,9.250,49.100,46.300
'[12:13:21.814 02/02/1995]',0.199,53.700,9.250,49.100,46.300
'[12:13:21.816 02/02/1995]',0.199,53.900,9.312,48.900,46.200
'[12:13:21.818 02/02/1995]',0.177,53.900,9.312,48.900,46.200
'[12:13:21.820 02/02/1995]',0.177,53.900,9.312,48.900,46.200
'[12:13:21.822 02/02/1995]',0.199,53.900,9.312,48.900,46.200
'[12:13:21.824 02/02/1995]',0.199,53.950,9.550,48.650,46.050
'[12:13:21.826 02/02/1995]',0.155,53.950,9.550,48.650,46.050
'[12:13:21.828 02/02/1995]',0.111,53.950,9.550,48.650,46.050
'[12:13:21.830 02/02/1995]',0.155,53.950,9.550,48.650,46.050
'[12:13:21.832 02/02/1995]',0.199,53.750,9.900,48.500,45.850
'[12:13:21.834 02/02/1995]',0.199,53.750,9.900,48.500,45.850
'[12:13:21.836 02/02/1995]',0.177,53.750,9.900,48.500,45.850
'[12:13:21.838 02/02/1995]',0.177,53.750,9.900,48.500,45.850
'[12:13:21.840 02/02/1995]',0.177,53.550,10.312,48.350,45.600
'[12:13:21.842 02/02/1995]',0.155,53.550,10.312,48.350,45.600
'[12:13:21.844 02/02/1995]',0.177,53.550,10.312,48.350,45.600
'[12:13:21.846 02/02/1995]',0.177,53.550,10.312,48.350,45.600
'[12:13:21.848 02/02/1995]',0.221,53.100,10.662,48.250,45.400
'[12:13:21.850 02/02/1995]',0.221,53.100,10.662,48.250,45.400
'[12:13:21.852 02/02/1995]',0.199,53.100,10.662,48.250,45.400
'[12:13:21.854 02/02/1995]',0.199,53.100,10.662,48.250,45.400
'[12:13:21.856 02/02/1995]',0.199,52.650,11.125,48.100,45.150
'[12:13:21.858 02/02/1995]',0.221,52.650,11.125,48.100,45.150
'[12:13:21.860 02/02/1995]',0.221,52.650,11.125,48.100,45.150
'[12:13:21.862 02/02/1995]',0.221,52.650,11.125,48.100,45.150
'[12:13:21.864 02/02/1995]',0.243,52.100,11.775,47.950,44.850
'[12:13:21.866 02/02/1995]',0.243,52.100,11.775,47.950,44.850
'[12:13:21.868 02/02/1995]',0.243,52.100,11.775,47.950,44.850
'[12:13:21.870 02/02/1995]',0.221,52.100,11.775,47.950,44.850
'[12:13:21.872 02/02/1995]',0.221,51.650,12.588,47.850,44.500
'[12:13:21.874 02/02/1995]',0.221,51.650,12.588,47.850,44.500
'[12:13:21.876 02/02/1995]',0.221,51.650,12.588,47.850,44.500
'[12:13:21.878 02/02/1995]',0.287,51.650,12.588,47.850,44.500
'[12:13:21.880 02/02/1995]',0.243,51.200,13.412,47.750,44.150
'[12:13:21.882 02/02/1995]',0.177,51.200,13.412,47.750,44.150
'[12:13:21.884 02/02/1995]',0.023,51.200,13.412,47.750,44.150
'[12:13:21.886 02/02/1995]',-0.152,51.200,13.412,47.750,44.150
'[12:13:21.888 02/02/1995]',-0.349,50.850,14.175,47.600,43.850
'[12:13:21.890 02/02/1995]',-0.503,50.850,14.175,47.600,43.850
'[12:13:21.892 02/02/1995]',-0.613,50.850,14.175,47.600,43.850
'[12:13:21.894 02/02/1995]',-0.656,50.850,14.175,47.600,43.850
'[12:13:21.896 02/02/1995]',-0.700,50.400,14.812,47.550,43.550
'[12:13:21.898 02/02/1995]',-0.744,50.400,14.812,47.550,43.550
'[12:13:21.900 02/02/1995]',-0.788,50.400,14.812,47.550,43.550
'[12:13:21.902 02/02/1995]',-0.854,50.400,14.812,47.550,43.550
'[12:13:21.904 02/02/1995]',-0.832,50.150,15.287,47.500,43.300
'[12:13:21.906 02/02/1995]',-0.700,50.150,15.287,47.500,43.300
'[12:13:21.908 02/02/1995]',-0.503,50.150,15.287,47.500,43.300
'[12:13:21.910 02/02/1995]',-0.327,50.150,15.287,47.500,43.300
'[12:13:21.912 02/02/1995]',-0.218,49.900,15.463,47.450,43.000
'[12:13:21.914 02/02/1995]',-0.196,49.900,15.463,47.450,43.000
'[12:13:21.916 02/02/1995]',-0.174,49.900,15.463,47.450,43.000
'[12:13:21.918 02/02/1995]',-0.086,49.900,15.463,47.450,43.000
'[12:13:21.920 02/02/1995]',-0.064,49.700,15.463,47.300,42.650
'[12:13:21.922 02/02/1995]',-0.042,49.700,15.463,47.300,42.650
'[12:13:21.924 02/02/1995]',-0.064,49.700,15.463,47.300,42.650
'[12:13:21.926 02/02/1995]',-0.064,49.700,15.463,47.300,42.650
'[12:13:21.928 02/02/1995]',-0.042,49.600,15.225,47.150,42.350
'[12:13:21.930 02/02/1995]',0.002,49.600,15.225,47.150,42.350
'[12:13:21.932 02/02/1995]',0.023,49.600,15.225,47.150,42.350
'[12:13:21.934 02/02/1995]',0.045,49.600,15.225,47.150,42.350
'[12:13:21.936 02/02/1995]',0.067,49.500,14.812,46.900,42.000
'[12:13:21.938 02/02/1995]',0.089,49.500,14.812,46.900,42.000
'[12:13:21.940 02/02/1995]',0.067,49.500,14.812,46.900,42.000
'[12:13:21.942 02/02/1995]',0.067,49.500,14.812,46.900,42.000
'[12:13:21.944 02/02/1995]',0.067,49.350,14.238,46.750,41.700
'[12:13:21.946 02/02/1995]',0.089,49.350,14.238,46.750,41.700
'[12:13:21.948 02/02/1995]',0.111,49.350,14.238,46.750,41.700
'[12:13:21.950 02/02/1995]',0.177,49.350,14.238,46.750,41.700
'[12:13:21.952 02/02/1995]',0.177,49.200,13.650,46.600,41.450
'[12:13:21.954 02/02/1995]',0.155,49.200,13.650,46.600,41.450
'[12:13:21.956 02/02/1995]',0.045,49.200,13.650,46.600,41.450
'[12:13:21.958 02/02/1995]',0.045,49.200,13.650,46.600,41.450
'[12:13:21.960 02/02/1995]',0.089,49.000,13.125,46.550,41.250
'[12:13:21.962 02/02/1995]',0.177,49.000,13.125,46.550,41.250
'[12:13:21.964 02/02/1995]',0.199,49.000,13.125,46.550,41.250
'[12:13:21.966 02/02/1995]',0.177,49.000,13.125,46.550,41.250
'[12:13:21.968 02/02/1995]',0.111,48.850,12.887,46.600,41.050
'[12:13:21.970 02/02/1995]',0.111,48.850,12.887,46.600,41.050
'[12:13:21.972 02/02/1995]',0.111,48.850,12.887,46.600,41.050
'[12:13:21.974 02/02/1995]',0.111,48.850,12.887,46.600,41.050
'[12:13:21.976 02/02/1995]',0.089,48.600,13.175,46.650,40.950
'[12:13:21.978 02/02/1995]',0.155,48.600,13.175,46.650,40.950
'[12:13:21.980 02/02/1995]',0.177,48.600,13.175,46.650,40.950
'[12:13:21.982 02/02/1995]',0.199,48.600,13.175,46.650,40.950
'[12:13:21.984 02/02/1995]',0.177,48.450,14.463,46.750,40.850
'[12:13:21.986 02/02/1995]',0.177,48.450,14.463,46.750,40.850
'[12:13:21.988 02/02/1995]',0.111,48.450,14.463,46.750,40.850
'[12:13:21.990 02/02/1995]',0.155,48.450,14.463,46.750,40.850
'[12:13:21.992 02/02/1995]',0.111,48.250,16.875,46.850,40.800
'[12:13:21.994 02/02/1995]',0.155,48.250,16.875,46.850,40.800
'[12:13:21.996 02/02/1995]',0.155,48.250,16.875,46.850,40.800
'[12:13:21.998 02/02/1995]',0.111,48.250,16.875,46.850,40.800
'[12:13:22.000 02/02/1995]',0.111,48.200,19.863,46.900,40.750
'[12:13:22.002 02/02/1995]',0.067,48.200,19.863,46.900,40.750
'[12:13:22.004 02/02/1995]',0.089,48.200,19.863,46.900,40.750
'[12:13:22.006 02/02/1995]',0.111,48.200,19.863,46.900,40.750
'[12:13:22.008 02/02/1995]',0.155,48.200,22.500,46.850,40.750
'[12:13:22.010 02/02/1995]',0.155,48.200,22.500,46.850,40.750
'[12:13:22.012 02/02/1995]',0.177,48.200,22.500,46.850,40.750
'[12:13:22.014 02/02/1995]',0.177,48.200,22.500,46.850,40.750
'[12:13:22.016 02/02/1995]',0.111,48.250,24.775,46.850,40.800
'[12:13:22.018 02/02/1995]',0.045,48.250,24.775,46.850,40.800
'[12:13:22.020 02/02/1995]',0.023,48.250,24.775,46.850,40.800
'[12:13:22.022 02/02/1995]',0.089,48.250,24.775,46.850,40.800
'[12:13:22.024 02/02/1995]',0.199,48.350,27.062,46.900,40.850
'[12:13:22.026 02/02/1995]',0.221,48.350,27.062,46.900,40.850
'[12:13:22.028 02/02/1995]',0.199,48.350,27.062,46.900,40.850
'[12:13:22.030 02/02/1995]',0.177,48.350,27.062,46.900,40.850
'[12:13:22.032 02/02/1995]',0.155,48.450,29.350,47.050,41.050
'[12:13:22.034 02/02/1995]',0.111,48.450,29.350,47.050,41.050
'[12:13:22.036 02/02/1995]',0.089,48.450,29.350,47.050,41.050
'[12:13:22.038 02/02/1995]',0.067,48.450,29.350,47.050,41.050
'[12:13:22.040 02/02/1995]',0.045,48.550,31.225,47.300,41.250
'[12:13:22.042 02/02/1995]',0.045,48.550,31.225,47.300,41.250
'[12:13:22.044 02/02/1995]',0.067,48.550,31.225,47.300,41.250
'[12:13:22.046 02/02/1995]',0.089,48.550,31.225,47.300,41.250
'[12:13:22.048 02/02/1995]',0.111,48.650,32.575,47.650,41.650
'[12:13:22.050 02/02/1995]',0.111,48.650,32.575,47.650,41.650
'[12:13:22.052 02/02/1995]',0.089,48.650,32.575,47.650,41.650
'[12:13:22.054 02/02/1995]',0.067,48.650,32.575,47.650,41.650
'[12:13:22.056 02/02/1995]',0.067,48.800,33.388,48.300,42.400
'[12:13:22.058 02/02/1995]',0.089,48.800,33.388,48.300,42.400
'[12:13:22.060 02/02/1995]',0.089,48.800,33.388,48.300,42.400
'[12:13:22.062 02/02/1995]',0.111,48.800,33.388,48.300,42.400
'[12:13:22.064 02/02/1995]',0.111,48.900,33.688,49.350,43.650
'[12:13:22.066 02/02/1995]',0.111,48.900,33.688,49.350,43.650
'[12:13:22.068 02/02/1995]',0.111,48.900,33.688,49.350,43.650
'[12:13:22.070 02/02/1995]',0.089,48.900,33.688,49.350,43.650
'[12:13:22.072 02/02/1995]',0.089,49.100,33.337,51.150,45.500
'[12:13:22.074 02/02/1995]',0.089,49.100,33.337,51.150,45.500
'[12:13:22.076 02/02/1995]',0.089,49.100,33.337,51.150,45.500
'[12:13:22.078 02/02/1995]',0.089,49.100,33.337,51.150,45.500
'[12:13:22.080 02/02/1995]',0.089,49.350,32.513,53.900,48.000
'[12:13:22.082 02/02/1995]',0.067,49.350,32.513,53.900,48.000
'[12:13:22.084 02/02/1995]',0.045,49.350,32.513,53.900,48.000
'[12:13:22.086 02/02/1995]',0.067,49.350,32.513,53.900,48.000
'[12:13:22.088 02/02/1995]',0.067,49.700,31.462,57.400,50.900
'[12:13:22.090 02/02/1995]',0.067,49.700,31.462,57.400,50.900
'[12:13:22.092 02/02/1995]',0.045,49.700,31.462,57.400,50.900
'[12:13:22.094 02/02/1995]',0.023,49.700,31.462,57.400,50.900
'[12:13:22.096 02/02/1995]',0.023,50.500,30.288,61.100,53.750
'[12:13:22.098 02/02/1995]',0.023,50.500,30.288,61.100,53.750
'[12:13:22.100 02/02/1995]',0.023,50.500,30.288,61.100,53.750
'[12:13:22.102 02/02/1995]',0.002,50.500,30.288,61.100,53.750
'[12:13:22.104 02/02/1995]',0.002,51.700,29.238,64.350,56.400
'[12:13:22.106 02/02/1995]',0.023,51.700,29.238,64.350,56.400
'[12:13:22.108 02/02/1995]',0.045,51.700,29.238,64.350,56.400
'[12:13:22.110 02/02/1995]',0.023,51.700,29.238,64.350,56.400
'[12:13:22.112 02/02/1995]',0.045,53.750,28.413,66.700,58.500
'[12:13:22.114 02/02/1995]',0.067,53.750,28.413,66.700,58.500
'[12:13:22.116 02/02/1995]',0.089,53.750,28.413,66.700,58.500
'[12:13:22.118 02/02/1995]',0.111,53.750,28.413,66.700,58.500
'[12:13:22.120 02/02/1995]',0.155,56.450,27.938,68.050,60.150
'[12:13:22.122 02/02/1995]',0.111,56.450,27.938,68.050,60.150
'[12:13:22.124 02/02/1995]',0.111,56.450,27.938,68.050,60.150
'[12:13:22.126 02/02/1995]',0.067,56.450,27.938,68.050,60.150
'[12:13:22.128 02/02/1995]',0.023,59.550,27.825,68.700,61.300
'[12:13:22.130 02/02/1995]',0.002,59.550,27.825,68.700,61.300
'[12:13:22.132 02/02/1995]',-0.020,59.550,27.825,68.700,61.300
'[12:13:22.134 02/02/1995]',0.002,59.550,27.825,68.700,61.300
'[12:13:22.136 02/02/1995]',0.045,62.750,27.938,69.050,62.150
