'Time and date','II','V','ABP','PAP','UAP','PLETH','RESP'
'[09:06:06.170 05/12/1995]',-0.020,-0.053,91.202,64.800,73.850,-0.265,0.405
'[09:06:06.172 05/12/1995]',-0.030,-0.047,91.202,64.800,73.850,-0.265,0.405
'[09:06:06.174 05/12/1995]',-0.040,-0.035,91.202,64.800,73.850,-0.265,0.405
'[09:06:06.176 05/12/1995]',-0.051,-0.035,94.427,64.625,74.000,-0.215,0.394
'[09:06:06.178 05/12/1995]',-0.040,-0.029,94.427,64.625,74.000,-0.215,0.394
'[09:06:06.180 05/12/1995]',-0.040,-0.035,94.427,64.625,74.000,-0.215,0.394
'[09:06:06.182 05/12/1995]',-0.020,-0.035,94.427,64.625,74.000,-0.215,0.394
'[09:06:06.184 05/12/1995]',-0.009,-0.047,96.827,63.500,74.150,-0.161,0.384
'[09:06:06.186 05/12/1995]',0.001,-0.047,96.827,63.500,74.150,-0.161,0.384
'[09:06:06.188 05/12/1995]',-0.009,-0.047,96.827,63.500,74.150,-0.161,0.384
'[09:06:06.190 05/12/1995]',-0.020,-0.035,96.827,63.500,74.150,-0.161,0.384
'[09:06:06.192 05/12/1995]',-0.040,-0.035,98.477,62.050,74.350,-0.102,0.374
'[09:06:06.194 05/12/1995]',-0.040,-0.035,98.477,62.050,74.350,-0.102,0.374
'[09:06:06.196 05/12/1995]',-0.040,-0.035,98.477,62.050,74.350,-0.102,0.374
'[09:06:06.198 05/12/1995]',-0.020,-0.047,98.477,62.050,74.350,-0.102,0.374
'[09:06:06.200 05/12/1995]',0.001,-0.047,99.377,60.525,74.500,-0.037,0.366
'[09:06:06.202 05/12/1995]',0.001,-0.053,99.377,60.525,74.500,-0.037,0.366
'[09:06:06.204 05/12/1995]',0.001,-0.047,99.377,60.525,74.500,-0.037,0.366
'[09:06:06.206 05/12/1995]',-0.020,-0.035,99.377,60.525,74.500,-0.037,0.366
'[09:06:06.208 05/12/1995]',-0.030,-0.023,99.827,59.175,74.700,0.029,0.358
'[09:06:06.210 05/12/1995]',-0.040,-0.023,99.827,59.175,74.700,0.029,0.358
'[09:06:06.212 05/12/1995]',-0.040,-0.023,99.827,59.175,74.700,0.029,0.358
'[09:06:06.214 05/12/1995]',-0.020,-0.023,99.827,59.175,74.700,0.029,0.358
'[09:06:06.216 05/12/1995]',0.001,-0.029,99.902,58.175,74.850,0.096,0.351
'[09:06:06.218 05/12/1995]',0.001,-0.035,99.902,58.175,74.850,0.096,0.351
'[09:06:06.220 05/12/1995]',-0.009,-0.029,99.902,58.175,74.850,0.096,0.351
'[09:06:06.222 05/12/1995]',-0.030,-0.023,99.902,58.175,74.850,0.096,0.351
'[09:06:06.224 05/12/1995]',-0.030,-0.023,99.827,57.300,75.050,0.164,0.345
'[09:06:06.226 05/12/1995]',-0.030,-0.023,99.827,57.300,75.050,0.164,0.345
'[09:06:06.228 05/12/1995]',-0.030,-0.023,99.827,57.300,75.050,0.164,0.345
'[09:06:06.230 05/12/1995]',-0.009,-0.023,99.827,57.300,75.050,0.164,0.345
'[09:06:06.232 05/12/1995]',0.001,-0.023,99.452,56.525,75.200,0.230,0.340
'[09:06:06.234 05/12/1995]',0.001,-0.029,99.452,56.525,75.200,0.230,0.340
'[09:06:06.236 05/12/1995]',0.001,-0.023,99.452,56.525,75.200,0.230,0.340
'[09:06:06.238 05/12/1995]',-0.009,-0.011,99.452,56.525,75.200,0.230,0.340
'[09:06:06.240 05/12/1995]',-0.020,-0.005,98.777,56.050,75.400,0.293,0.335
'[09:06:06.242 05/12/1995]',-0.030,-0.005,98.777,56.050,75.400,0.293,0.335
'[09:06:06.244 05/12/1995]',-0.030,-0.005,98.777,56.050,75.400,0.293,0.335
'[09:06:06.246 05/12/1995]',-0.030,-0.005,98.777,56.050,75.400,0.293,0.335
'[09:06:06.248 05/12/1995]',-0.009,-0.005,97.727,56.175,75.500,0.350,0.331
'[09:06:06.250 05/12/1995]',-0.009,-0.011,97.727,56.175,75.500,0.350,0.331
'[09:06:06.252 05/12/1995]',0.001,-0.011,97.727,56.175,75.500,0.350,0.331
'[09:06:06.254 05/12/1995]',0.001,-0.011,97.727,56.175,75.500,0.350,0.331
'[09:06:06.256 05/12/1995]',-0.020,-0.005,96.452,56.700,75.700,0.405,0.327
'[09:06:06.258 05/12/1995]',-0.040,0.001,96.452,56.700,75.700,0.405,0.327
'[09:06:06.260 05/12/1995]',-0.040,-0.005,96.452,56.700,75.700,0.405,0.327
'[09:06:06.262 05/12/1995]',-0.030,-0.005,96.452,56.700,75.700,0.405,0.327
'[09:06:06.264 05/12/1995]',-0.020,-0.011,94.952,57.125,75.850,0.450,0.324
'[09:06:06.266 05/12/1995]',0.001,-0.011,94.952,57.125,75.850,0.450,0.324
'[09:06:06.268 05/12/1995]',0.001,-0.011,94.952,57.125,75.850,0.450,0.324
'[09:06:06.270 05/12/1995]',0.001,-0.011,94.952,57.125,75.850,0.450,0.324
'[09:06:06.272 05/12/1995]',-0.009,0.001,93.152,56.775,76.100,0.490,0.321
'[09:06:06.274 05/12/1995]',-0.030,0.001,93.152,56.775,76.100,0.490,0.321
'[09:06:06.276 05/12/1995]',-0.040,0.001,93.152,56.775,76.100,0.490,0.321
'[09:06:06.278 05/12/1995]',-0.030,0.001,93.152,56.775,76.100,0.490,0.321
'[09:06:06.280 05/12/1995]',-0.009,-0.005,91.277,55.525,76.300,0.521,0.317
'[09:06:06.282 05/12/1995]',0.001,-0.011,91.277,55.525,76.300,0.521,0.317
'[09:06:06.284 05/12/1995]',0.001,-0.023,91.277,55.525,76.300,0.521,0.317
'[09:06:06.286 05/12/1995]',0.001,-0.011,91.277,55.525,76.300,0.521,0.317
'[09:06:06.288 05/12/1995]',-0.009,-0.011,89.027,53.775,76.550,0.546,0.312
'[09:06:06.290 05/12/1995]',-0.020,-0.005,89.027,53.775,76.550,0.546,0.312
'[09:06:06.292 05/12/1995]',-0.040,-0.005,89.027,53.775,76.550,0.546,0.312
'[09:06:06.294 05/12/1995]',-0.051,-0.005,89.027,53.775,76.550,0.546,0.312
'[09:06:06.296 05/12/1995]',-0.040,-0.005,86.627,52.125,76.650,0.562,0.307
'[09:06:06.298 05/12/1995]',-0.020,-0.011,86.627,52.125,76.650,0.562,0.307
'[09:06:06.300 05/12/1995]',0.001,-0.011,86.627,52.125,76.650,0.562,0.307
'[09:06:06.302 05/12/1995]',0.001,-0.011,86.627,52.125,76.650,0.562,0.307
'[09:06:06.304 05/12/1995]',-0.020,-0.011,84.077,50.675,76.750,0.572,0.301
'[09:06:06.306 05/12/1995]',-0.030,0.001,84.077,50.675,76.750,0.572,0.301
'[09:06:06.308 05/12/1995]',-0.040,0.001,84.077,50.675,76.750,0.572,0.301
'[09:06:06.310 05/12/1995]',-0.051,0.006,84.077,50.675,76.750,0.572,0.301
'[09:06:06.312 05/12/1995]',-0.040,0.001,81.227,49.100,76.800,0.574,0.294
'[09:06:06.314 05/12/1995]',-0.030,-0.005,81.227,49.100,76.800,0.574,0.294
'[09:06:06.316 05/12/1995]',-0.009,-0.011,81.227,49.100,76.800,0.574,0.294
'[09:06:06.318 05/12/1995]',-0.009,-0.005,81.227,49.100,76.800,0.574,0.294
'[09:06:06.320 05/12/1995]',-0.030,-0.005,78.452,47.400,76.900,0.572,0.286
'[09:06:06.322 05/12/1995]',-0.040,-0.005,78.452,47.400,76.900,0.572,0.286
'[09:06:06.324 05/12/1995]',-0.051,0.001,78.452,47.400,76.900,0.572,0.286
'[09:06:06.326 05/12/1995]',-0.061,-0.005,78.452,47.400,76.900,0.572,0.286
'[09:06:06.328 05/12/1995]',-0.051,0.001,75.527,45.975,77.050,0.564,0.277
'[09:06:06.330 05/12/1995]',-0.040,0.001,75.527,45.975,77.050,0.564,0.277
'[09:06:06.332 05/12/1995]',-0.020,-0.005,75.527,45.975,77.050,0.564,0.277
'[09:06:06.334 05/12/1995]',-0.020,-0.005,75.527,45.975,77.050,0.564,0.277
'[09:06:06.336 05/12/1995]',-0.009,-0.005,72.527,45.275,77.150,0.551,0.267
'[09:06:06.338 05/12/1995]',-0.030,0.001,72.527,45.275,77.150,0.551,0.267
'[09:06:06.340 05/12/1995]',-0.051,0.006,72.527,45.275,77.150,0.551,0.267
'[09:06:06.342 05/12/1995]',-0.061,0.006,72.527,45.275,77.150,0.551,0.267
'[09:06:06.344 05/12/1995]',-0.061,0.006,69.677,45.625,77.250,0.535,0.254
'[09:06:06.346 05/12/1995]',-0.051,0.001,69.677,45.625,77.250,0.535,0.254
'[09:06:06.348 05/12/1995]',-0.040,-0.005,69.677,45.625,77.250,0.535,0.254
'[09:06:06.350 05/12/1995]',-0.030,-0.005,69.677,45.625,77.250,0.535,0.254
'[09:06:06.352 05/12/1995]',-0.020,-0.011,66.977,47.325,77.450,0.514,0.238
'[09:06:06.354 05/12/1995]',-0.020,-0.011,66.977,47.325,77.450,0.514,0.238
'[09:06:06.356 05/12/1995]',-0.040,-0.005,66.977,47.325,77.450,0.514,0.238
'[09:06:06.358 05/12/1995]',-0.040,-0.011,66.977,47.325,77.450,0.514,0.238
'[09:06:06.360 05/12/1995]',-0.051,-0.005,64.502,50.625,77.550,0.491,0.222
'[09:06:06.362 05/12/1995]',-0.040,-0.011,64.502,50.625,77.550,0.491,0.222
'[09:06:06.364 05/12/1995]',-0.030,-0.011,64.502,50.625,77.550,0.491,0.222
'[09:06:06.366 05/12/1995]',-0.030,-0.011,64.502,50.625,77.550,0.491,0.222
'[09:06:06.368 05/12/1995]',-0.009,-0.011,62.402,55.000,77.650,0.465,0.204
'[09:06:06.370 05/12/1995]',-0.009,-0.011,62.402,55.000,77.650,0.465,0.204
'[09:06:06.372 05/12/1995]',-0.020,-0.005,62.402,55.000,77.650,0.465,0.204
'[09:06:06.374 05/12/1995]',-0.040,0.001,62.402,55.000,77.650,0.465,0.204
'[09:06:06.376 05/12/1995]',-0.040,0.001,60.527,59.050,77.850,0.438,0.187
'[09:06:06.378 05/12/1995]',-0.040,0.001,60.527,59.050,77.850,0.438,0.187
'[09:06:06.380 05/12/1995]',-0.030,-0.005,60.527,59.050,77.850,0.438,0.187
'[09:06:06.382 05/12/1995]',-0.009,-0.005,60.527,59.050,77.850,0.438,0.187
'[09:06:06.384 05/12/1995]',0.001,-0.011,58.801,61.100,77.950,0.408,0.169
'[09:06:06.386 05/12/1995]',0.001,-0.011,58.801,61.100,77.950,0.408,0.169
'[09:06:06.388 05/12/1995]',-0.020,-0.011,58.801,61.100,77.950,0.408,0.169
'[09:06:06.390 05/12/1995]',-0.040,-0.005,58.801,61.100,77.950,0.408,0.169
'[09:06:06.392 05/12/1995]',-0.040,0.001,57.226,60.000,78.100,0.377,0.151
'[09:06:06.394 05/12/1995]',-0.040,-0.005,57.226,60.000,78.100,0.377,0.151
'[09:06:06.396 05/12/1995]',-0.040,-0.005,57.226,60.000,78.100,0.377,0.151
'[09:06:06.398 05/12/1995]',-0.009,-0.011,57.226,60.000,78.100,0.377,0.151
'[09:06:06.400 05/12/1995]',-0.009,-0.011,55.801,55.700,78.250,0.345,0.133
'[09:06:06.402 05/12/1995]',-0.020,-0.011,55.801,55.700,78.250,0.345,0.133
'[09:06:06.404 05/12/1995]',-0.040,-0.005,55.801,55.700,78.250,0.345,0.133
'[09:06:06.406 05/12/1995]',-0.040,0.001,55.801,55.700,78.250,0.345,0.133
'[09:06:06.408 05/12/1995]',-0.040,0.006,54.601,49.150,78.350,0.313,0.113
'[09:06:06.410 05/12/1995]',-0.051,0.006,54.601,49.150,78.350,0.313,0.113
'[09:06:06.412 05/12/1995]',-0.040,0.006,54.601,49.150,78.350,0.313,0.113
'[09:06:06.414 05/12/1995]',-0.030,0.001,54.601,49.150,78.350,0.313,0.113
'[09:06:06.416 05/12/1995]',-0.009,-0.005,53.551,42.050,78.500,0.281,0.093
'[09:06:06.418 05/12/1995]',0.001,-0.005,53.551,42.050,78.500,0.281,0.093
'[09:06:06.420 05/12/1995]',0.001,-0.005,53.551,42.050,78.500,0.281,0.093
'[09:06:06.422 05/12/1995]',-0.020,-0.005,53.551,42.050,78.500,0.281,0.093
'[09:06:06.424 05/12/1995]',-0.040,0.001,52.726,36.025,78.600,0.248,0.072
'[09:06:06.426 05/12/1995]',-0.051,0.001,52.726,36.025,78.600,0.248,0.072
'[09:06:06.428 05/12/1995]',-0.040,0.001,52.726,36.025,78.600,0.248,0.072
'[09:06:06.430 05/12/1995]',-0.020,-0.005,52.726,36.025,78.600,0.248,0.072
'[09:06:06.432 05/12/1995]',0.001,-0.005,51.901,32.275,78.750,0.215,0.052
'[09:06:06.434 05/12/1995]',0.001,-0.011,51.901,32.275,78.750,0.215,0.052
'[09:06:06.436 05/12/1995]',0.001,-0.011,51.901,32.275,78.750,0.215,0.052
'[09:06:06.438 05/12/1995]',0.001,-0.005,51.901,32.275,78.750,0.215,0.052
'[09:06:06.440 05/12/1995]',-0.030,0.001,51.226,31.275,78.900,0.182,0.034
'[09:06:06.442 05/12/1995]',-0.040,0.001,51.226,31.275,78.900,0.182,0.034
'[09:06:06.444 05/12/1995]',-0.030,0.001,51.226,31.275,78.900,0.182,0.034
'[09:06:06.446 05/12/1995]',-0.020,-0.005,51.226,31.275,78.900,0.182,0.034
'[09:06:06.448 05/12/1995]',0.001,-0.005,50.626,32.675,79.000,0.151,0.018
'[09:06:06.450 05/12/1995]',0.001,-0.011,50.626,32.675,79.000,0.151,0.018
'[09:06:06.452 05/12/1995]',0.011,-0.023,50.626,32.675,79.000,0.151,0.018
'[09:06:06.454 05/12/1995]',0.001,-0.011,50.626,32.675,79.000,0.151,0.018
'[09:06:06.456 05/12/1995]',-0.020,-0.005,50.026,35.500,79.200,0.118,0.003
'[09:06:06.458 05/12/1995]',-0.040,-0.005,50.026,35.500,79.200,0.118,0.003
'[09:06:06.460 05/12/1995]',-0.040,0.001,50.026,35.500,79.200,0.118,0.003
'[09:06:06.462 05/12/1995]',-0.020,-0.005,50.026,35.500,79.200,0.118,0.003
'[09:06:06.464 05/12/1995]',0.001,-0.005,49.501,38.600,79.300,0.088,-0.011
'[09:06:06.466 05/12/1995]',0.001,-0.005,49.501,38.600,79.300,0.088,-0.011
'[09:06:06.468 05/12/1995]',0.001,-0.005,49.501,38.600,79.300,0.088,-0.011
'[09:06:06.470 05/12/1995]',0.001,-0.005,49.501,38.600,79.300,0.088,-0.011
'[09:06:06.472 05/12/1995]',-0.020,0.001,49.051,40.875,79.450,0.058,-0.022
'[09:06:06.474 05/12/1995]',-0.030,0.006,49.051,40.875,79.450,0.058,-0.022
'[09:06:06.476 05/12/1995]',-0.040,0.006,49.051,40.875,79.450,0.058,-0.022
'[09:06:06.478 05/12/1995]',-0.030,0.001,49.051,40.875,79.450,0.058,-0.022
'[09:06:06.480 05/12/1995]',-0.030,-0.005,48.601,41.700,79.550,0.029,-0.033
'[09:06:06.482 05/12/1995]',-0.009,-0.011,48.601,41.700,79.550,0.029,-0.033
'[09:06:06.484 05/12/1995]',0.001,-0.011,48.601,41.700,79.550,0.029,-0.033
'[09:06:06.486 05/12/1995]',0.001,-0.023,48.601,41.700,79.550,0.029,-0.033
'[09:06:06.488 05/12/1995]',-0.009,-0.005,48.151,41.050,79.700,0.001,-0.041
'[09:06:06.490 05/12/1995]',-0.030,-0.005,48.151,41.050,79.700,0.001,-0.041
'[09:06:06.492 05/12/1995]',-0.020,0.001,48.151,41.050,79.700,0.001,-0.041
'[09:06:06.494 05/12/1995]',-0.020,0.001,48.151,41.050,79.700,0.001,-0.041
'[09:06:06.496 05/12/1995]',0.001,0.001,47.776,39.375,79.950,-0.026,-0.049
'[09:06:06.498 05/12/1995]',0.011,-0.005,47.776,39.375,79.950,-0.026,-0.049
'[09:06:06.500 05/12/1995]',0.031,-0.005,47.776,39.375,79.950,-0.026,-0.049
'[09:06:06.502 05/12/1995]',0.031,-0.011,47.776,39.375,79.950,-0.026,-0.049
'[09:06:06.504 05/12/1995]',0.011,-0.005,47.476,37.375,80.200,-0.053,-0.056
'[09:06:06.506 05/12/1995]',0.001,0.001,47.476,37.375,80.200,-0.053,-0.056
'[09:06:06.508 05/12/1995]',0.001,0.006,47.476,37.375,80.200,-0.053,-0.056
'[09:06:06.510 05/12/1995]',0.001,0.001,47.476,37.375,80.200,-0.053,-0.056
'[09:06:06.512 05/12/1995]',0.001,-0.005,47.176,35.550,80.500,-0.079,-0.061
'[09:06:06.514 05/12/1995]',0.001,-0.011,47.176,35.550,80.500,-0.079,-0.061
'[09:06:06.516 05/12/1995]',0.021,-0.023,47.176,35.550,80.500,-0.079,-0.061
'[09:06:06.518 05/12/1995]',0.021,-0.011,47.176,35.550,80.500,-0.079,-0.061
'[09:06:06.520 05/12/1995]',0.031,-0.011,46.951,34.200,80.650,-0.104,-0.067
'[09:06:06.522 05/12/1995]',0.021,-0.005,46.951,34.200,80.650,-0.104,-0.067
'[09:06:06.524 05/12/1995]',0.011,0.001,46.951,34.200,80.650,-0.104,-0.067
'[09:06:06.526 05/12/1995]',0.011,0.001,46.951,34.200,80.650,-0.104,-0.067
'[09:06:06.528 05/12/1995]',0.031,-0.005,46.726,33.450,80.700,-0.127,-0.071
'[09:06:06.530 05/12/1995]',0.042,-0.005,46.726,33.450,80.700,-0.127,-0.071
'[09:06:06.532 05/12/1995]',0.063,-0.011,46.726,33.450,80.700,-0.127,-0.071
'[09:06:06.534 05/12/1995]',0.083,-0.023,46.726,33.450,80.700,-0.127,-0.071
'[09:06:06.536 05/12/1995]',0.083,-0.023,46.501,33.200,80.700,-0.151,-0.074
'[09:06:06.538 05/12/1995]',0.073,-0.011,46.501,33.200,80.700,-0.151,-0.074
'[09:06:06.540 05/12/1995]',0.042,-0.011,46.501,33.200,80.700,-0.151,-0.074
'[09:06:06.542 05/12/1995]',0.042,-0.005,46.501,33.200,80.700,-0.151,-0.074
'[09:06:06.544 05/12/1995]',0.042,-0.011,46.276,33.375,80.700,-0.173,-0.076
'[09:06:06.546 05/12/1995]',0.042,-0.011,46.276,33.375,80.700,-0.173,-0.076
'[09:06:06.548 05/12/1995]',0.052,-0.023,46.276,33.375,80.700,-0.173,-0.076
'[09:06:06.550 05/12/1995]',0.063,-0.023,46.276,33.375,80.700,-0.173,-0.076
'[09:06:06.552 05/12/1995]',0.052,-0.011,46.051,33.800,80.850,-0.195,-0.078
'[09:06:06.554 05/12/1995]',0.042,-0.011,46.051,33.800,80.850,-0.195,-0.078
'[09:06:06.556 05/12/1995]',0.031,-0.005,46.051,33.800,80.850,-0.195,-0.078
'[09:06:06.558 05/12/1995]',0.001,0.001,46.051,33.800,80.850,-0.195,-0.078
'[09:06:06.560 05/12/1995]',0.001,0.001,45.751,34.325,80.950,-0.213,-0.078
'[09:06:06.562 05/12/1995]',0.011,-0.005,45.751,34.325,80.950,-0.213,-0.078
'[09:06:06.564 05/12/1995]',0.021,-0.011,45.751,34.325,80.950,-0.213,-0.078
'[09:06:06.566 05/12/1995]',0.031,-0.011,45.751,34.325,80.950,-0.213,-0.078
'[09:06:06.568 05/12/1995]',0.031,-0.023,45.676,34.850,81.050,-0.232,-0.076
'[09:06:06.570 05/12/1995]',0.011,-0.011,45.676,34.850,81.050,-0.232,-0.076
'[09:06:06.572 05/12/1995]',0.001,-0.005,45.676,34.850,81.050,-0.232,-0.076
'[09:06:06.574 05/12/1995]',-0.020,0.001,45.676,34.850,81.050,-0.232,-0.076
'[09:06:06.576 05/12/1995]',-0.030,0.006,45.526,35.425,81.250,-0.251,-0.073
'[09:06:06.578 05/12/1995]',-0.040,0.012,45.526,35.425,81.250,-0.251,-0.073
'[09:06:06.580 05/12/1995]',-0.030,0.001,45.526,35.425,81.250,-0.251,-0.073
'[09:06:06.582 05/12/1995]',-0.009,-0.005,45.526,35.425,81.250,-0.251,-0.073
'[09:06:06.584 05/12/1995]',-0.009,0.001,45.301,36.025,81.400,-0.267,-0.070
'[09:06:06.586 05/12/1995]',-0.020,0.001,45.301,36.025,81.400,-0.267,-0.070
'[09:06:06.588 05/12/1995]',-0.040,0.006,45.301,36.025,81.400,-0.267,-0.070
'[09:06:06.590 05/12/1995]',-0.051,0.006,45.301,36.025,81.400,-0.267,-0.070
'[09:06:06.592 05/12/1995]',-0.051,0.012,45.151,36.775,81.600,-0.283,-0.065
'[09:06:06.594 05/12/1995]',-0.061,0.012,45.151,36.775,81.600,-0.283,-0.065
'[09:06:06.596 05/12/1995]',-0.040,0.006,45.151,36.775,81.600,-0.283,-0.065
'[09:06:06.598 05/12/1995]',-0.030,0.001,45.151,36.775,81.600,-0.283,-0.065
'[09:06:06.600 05/12/1995]',-0.009,0.001,45.001,37.425,81.700,-0.299,-0.060
'[09:06:06.602 05/12/1995]',-0.009,0.001,45.001,37.425,81.700,-0.299,-0.060
'[09:06:06.604 05/12/1995]',-0.030,0.001,45.001,37.425,81.700,-0.299,-0.060
'[09:06:06.606 05/12/1995]',-0.040,0.006,45.001,37.425,81.700,-0.299,-0.060
'[09:06:06.608 05/12/1995]',-0.040,0.006,44.851,37.675,81.900,-0.315,-0.056
'[09:06:06.610 05/12/1995]',-0.040,0.006,44.851,37.675,81.900,-0.315,-0.056
'[09:06:06.612 05/12/1995]',-0.040,0.006,44.851,37.675,81.900,-0.315,-0.056
'[09:06:06.614 05/12/1995]',-0.030,0.001,44.851,37.675,81.900,-0.315,-0.056
'[09:06:06.616 05/12/1995]',-0.009,0.001,44.701,37.075,82.000,-0.330,-0.051
'[09:06:06.618 05/12/1995]',-0.020,-0.005,44.701,37.075,82.000,-0.330,-0.051
'[09:06:06.620 05/12/1995]',-0.020,0.001,44.701,37.075,82.000,-0.330,-0.051
'[09:06:06.622 05/12/1995]',-0.030,0.001,44.701,37.075,82.000,-0.330,-0.051
'[09:06:06.624 05/12/1995]',-0.040,0.006,44.476,35.675,82.200,-0.359,-0.048
'[09:06:06.626 05/12/1995]',-0.051,0.006,44.476,35.675,82.200,-0.359,-0.048
'[09:06:06.628 05/12/1995]',-0.040,0.006,44.476,35.675,82.200,-0.359,-0.048
'[09:06:06.630 05/12/1995]',-0.040,0.001,44.476,35.675,82.200,-0.359,-0.048
'[09:06:06.632 05/12/1995]',-0.020,-0.011,44.326,33.550,82.350,-0.373,-0.046
'[09:06:06.634 05/12/1995]',-0.020,-0.005,44.326,33.550,82.350,-0.373,-0.046
'[09:06:06.636 05/12/1995]',-0.030,-0.005,44.326,33.550,82.350,-0.373,-0.046
'[09:06:06.638 05/12/1995]',-0.040,0.001,44.326,33.550,82.350,-0.373,-0.046
'[09:06:06.640 05/12/1995]',-0.051,0.001,44.176,31.225,82.550,-0.385,-0.046
'[09:06:06.642 05/12/1995]',-0.051,0.001,44.176,31.225,82.550,-0.385,-0.046
'[09:06:06.644 05/12/1995]',-0.051,0.006,44.176,31.225,82.550,-0.385,-0.046
'[09:06:06.646 05/12/1995]',-0.040,0.001,44.176,31.225,82.550,-0.385,-0.046
'[09:06:06.648 05/12/1995]',-0.030,-0.005,43.951,29.100,82.750,-0.397,-0.048
'[09:06:06.650 05/12/1995]',-0.009,-0.005,43.951,29.100,82.750,-0.397,-0.048
'[09:06:06.652 05/12/1995]',-0.009,-0.011,43.951,29.100,82.750,-0.397,-0.048
'[09:06:06.654 05/12/1995]',-0.009,-0.011,43.951,29.100,82.750,-0.397,-0.048
'[09:06:06.656 05/12/1995]',-0.040,-0.005,43.801,27.700,82.950,-0.407,-0.051
'[09:06:06.658 05/12/1995]',-0.040,0.001,43.801,27.700,82.950,-0.407,-0.051
'[09:06:06.660 05/12/1995]',-0.061,0.006,43.801,27.700,82.950,-0.407,-0.051
'[09:06:06.662 05/12/1995]',-0.040,0.001,43.801,27.700,82.950,-0.407,-0.051
'[09:06:06.664 05/12/1995]',-0.030,-0.005,43.651,27.300,83.100,-0.418,-0.058
'[09:06:06.666 05/12/1995]',-0.020,-0.005,43.651,27.300,83.100,-0.418,-0.058
'[09:06:06.668 05/12/1995]',-0.009,-0.011,43.651,27.300,83.100,-0.418,-0.058
'[09:06:06.670 05/12/1995]',-0.009,-0.005,43.651,27.300,83.100,-0.418,-0.058
'[09:06:06.672 05/12/1995]',-0.030,0.001,43.426,27.825,83.300,-0.428,-0.066
'[09:06:06.674 05/12/1995]',-0.040,0.006,43.426,27.825,83.300,-0.428,-0.066
'[09:06:06.676 05/12/1995]',-0.051,0.012,43.426,27.825,83.300,-0.428,-0.066
'[09:06:06.678 05/12/1995]',-0.051,0.006,43.426,27.825,83.300,-0.428,-0.066
'[09:06:06.680 05/12/1995]',-0.040,0.006,43.351,29.225,83.550,-0.438,-0.076
'[09:06:06.682 05/12/1995]',-0.009,-0.005,43.351,29.225,83.550,-0.438,-0.076
'[09:06:06.684 05/12/1995]',-0.009,-0.005,43.351,29.225,83.550,-0.438,-0.076
'[09:06:06.686 05/12/1995]',-0.009,-0.005,43.351,29.225,83.550,-0.438,-0.076
'[09:06:06.688 05/12/1995]',-0.020,0.001,43.126,31.275,83.800,-0.447,-0.088
'[09:06:06.690 05/12/1995]',-0.040,0.001,43.126,31.275,83.800,-0.447,-0.088
'[09:06:06.692 05/12/1995]',-0.040,0.006,43.126,31.275,83.800,-0.447,-0.088
'[09:06:06.694 05/12/1995]',-0.040,0.006,43.126,31.275,83.800,-0.447,-0.088
'[09:06:06.696 05/12/1995]',-0.009,0.006,42.976,33.275,84.100,-0.455,-0.101
'[09:06:06.698 05/12/1995]',0.011,0.012,42.976,33.275,84.100,-0.455,-0.101
'[09:06:06.700 05/12/1995]',0.042,0.024,42.976,33.275,84.100,-0.455,-0.101
'[09:06:06.702 05/12/1995]',0.073,0.036,42.976,33.275,84.100,-0.455,-0.101
'[09:06:06.704 05/12/1995]',0.083,0.065,42.826,34.625,84.400,-0.462,-0.115
'[09:06:06.706 05/12/1995]',0.083,0.094,42.826,34.625,84.400,-0.462,-0.115
'[09:06:06.708 05/12/1995]',0.094,0.118,42.826,34.625,84.400,-0.462,-0.115
'[09:06:06.710 05/12/1995]',0.135,0.153,42.826,34.625,84.400,-0.462,-0.115
'[09:06:06.712 05/12/1995]',0.176,0.159,42.676,34.975,84.600,-0.468,-0.129
'[09:06:06.714 05/12/1995]',0.238,0.165,42.676,34.975,84.600,-0.468,-0.129
'[09:06:06.716 05/12/1995]',0.290,0.177,42.676,34.975,84.600,-0.468,-0.129
'[09:06:06.718 05/12/1995]',0.351,0.183,42.676,34.975,84.600,-0.468,-0.129
'[09:06:06.720 05/12/1995]',0.382,0.183,42.526,34.275,84.650,-0.475,-0.143
'[09:06:06.722 05/12/1995]',0.393,0.195,42.526,34.275,84.650,-0.475,-0.143
'[09:06:06.724 05/12/1995]',0.403,0.200,42.526,34.275,84.650,-0.475,-0.143
'[09:06:06.726 05/12/1995]',0.424,0.200,42.526,34.275,84.650,-0.475,-0.143
'[09:06:06.728 05/12/1995]',0.444,0.195,42.301,33.025,84.700,-0.481,-0.158
'[09:06:06.730 05/12/1995]',0.454,0.177,42.301,33.025,84.700,-0.481,-0.158
'[09:06:06.732 05/12/1995]',0.485,0.153,42.301,33.025,84.700,-0.481,-0.158
'[09:06:06.734 05/12/1995]',0.485,0.136,42.301,33.025,84.700,-0.481,-0.158
'[09:06:06.736 05/12/1995]',0.485,0.118,42.151,31.925,84.700,-0.486,-0.173
'[09:06:06.738 05/12/1995]',0.465,0.112,42.151,31.925,84.700,-0.486,-0.173
'[09:06:06.740 05/12/1995]',0.444,0.100,42.151,31.925,84.700,-0.486,-0.173
'[09:06:06.742 05/12/1995]',0.393,0.089,42.151,31.925,84.700,-0.486,-0.173
'[09:06:06.744 05/12/1995]',0.372,0.065,42.001,31.450,84.800,-0.490,-0.188
'[09:06:06.746 05/12/1995]',0.362,0.036,42.001,31.450,84.800,-0.490,-0.188
