'Time and date','II','aVF','V','ABP','PAP','CVP','PLETH'
'[14:49:04.746 29/04/1996]',0.001,0.002,-0.015,141.750,28.775,11.062,0.532
'[14:49:04.748 29/04/1996]',0.008,0.002,-0.015,141.750,28.775,11.062,0.532
'[14:49:04.750 29/04/1996]',0.008,0.002,0.001,141.750,28.775,11.062,0.532
'[14:49:04.752 29/04/1996]',0.008,0.002,-0.015,137.850,26.900,11.238,0.543
'[14:49:04.754 29/04/1996]',0.008,0.002,0.001,137.850,26.900,11.238,0.543
'[14:49:04.756 29/04/1996]',0.008,0.002,-0.015,137.850,26.900,11.238,0.543
'[14:49:04.758 29/04/1996]',0.008,0.002,-0.015,137.850,26.900,11.238,0.543
'[14:49:04.760 29/04/1996]',0.001,0.002,-0.015,133.650,25.250,11.525,0.553
'[14:49:04.762 29/04/1996]',0.001,0.002,-0.015,133.650,25.250,11.525,0.553
'[14:49:04.764 29/04/1996]',0.001,0.002,-0.015,133.650,25.250,11.525,0.553
'[14:49:04.766 29/04/1996]',0.001,0.002,-0.015,133.650,25.250,11.525,0.553
'[14:49:04.768 29/04/1996]',0.001,0.002,-0.015,129.150,23.900,11.938,0.532
'[14:49:04.770 29/04/1996]',0.008,0.002,-0.015,129.150,23.900,11.938,0.532
'[14:49:04.772 29/04/1996]',0.001,0.002,-0.015,129.150,23.900,11.938,0.532
'[14:49:04.774 29/04/1996]',0.001,0.002,-0.015,129.150,23.900,11.938,0.532
'[14:49:04.776 29/04/1996]',0.008,0.002,0.001,124.550,22.900,12.412,0.511
'[14:49:04.778 29/04/1996]',0.001,0.002,-0.015,124.550,22.900,12.412,0.511
'[14:49:04.780 29/04/1996]',0.001,0.002,-0.015,124.550,22.900,12.412,0.511
'[14:49:04.782 29/04/1996]',0.008,0.002,-0.015,124.550,22.900,12.412,0.511
'[14:49:04.784 29/04/1996]',0.016,0.002,0.001,119.750,22.200,12.988,0.470
'[14:49:04.786 29/04/1996]',0.016,0.002,0.001,119.750,22.200,12.988,0.470
'[14:49:04.788 29/04/1996]',0.024,0.018,0.001,119.750,22.200,12.988,0.470
'[14:49:04.790 29/04/1996]',0.024,0.018,0.001,119.750,22.200,12.988,0.470
'[14:49:04.792 29/04/1996]',0.024,0.018,0.001,114.900,21.900,13.637,0.428
'[14:49:04.794 29/04/1996]',0.024,0.035,0.017,114.900,21.900,13.637,0.428
'[14:49:04.796 29/04/1996]',0.024,0.035,0.001,114.900,21.900,13.637,0.428
'[14:49:04.798 29/04/1996]',0.039,0.035,0.017,114.900,21.900,13.637,0.428
'[14:49:04.800 29/04/1996]',0.054,0.035,0.017,110.350,21.975,14.338,0.387
'[14:49:04.802 29/04/1996]',0.054,0.052,0.017,110.350,21.975,14.338,0.387
'[14:49:04.804 29/04/1996]',0.039,0.052,0.001,110.350,21.975,14.338,0.387
'[14:49:04.806 29/04/1996]',0.039,0.052,0.001,110.350,21.975,14.338,0.387
'[14:49:04.808 29/04/1996]',0.062,0.069,0.017,106.750,22.325,14.988,0.334
'[14:49:04.810 29/04/1996]',0.054,0.052,0.001,106.750,22.325,14.988,0.334
'[14:49:04.812 29/04/1996]',0.062,0.052,0.017,106.750,22.325,14.988,0.334
'[14:49:04.814 29/04/1996]',0.062,0.052,0.017,106.750,22.325,14.988,0.334
'[14:49:04.816 29/04/1996]',0.062,0.069,0.017,104.200,23.150,15.625,0.292
'[14:49:04.818 29/04/1996]',0.070,0.069,0.017,104.200,23.150,15.625,0.292
'[14:49:04.820 29/04/1996]',0.070,0.069,0.033,104.200,23.150,15.625,0.292
'[14:49:04.822 29/04/1996]',0.078,0.085,0.033,104.200,23.150,15.625,0.292
'[14:49:04.824 29/04/1996]',0.078,0.085,0.033,102.850,24.325,16.212,0.251
'[14:49:04.826 29/04/1996]',0.078,0.069,0.033,102.850,24.325,16.212,0.251
'[14:49:04.828 29/04/1996]',0.085,0.085,0.033,102.850,24.325,16.212,0.251
'[14:49:04.830 29/04/1996]',0.085,0.085,0.033,102.850,24.325,16.212,0.251
'[14:49:04.832 29/04/1996]',0.085,0.085,0.033,102.150,25.725,16.738,0.209
'[14:49:04.834 29/04/1996]',0.101,0.085,0.033,102.150,25.725,16.738,0.209
'[14:49:04.836 29/04/1996]',0.108,0.085,0.033,102.150,25.725,16.738,0.209
'[14:49:04.838 29/04/1996]',0.108,0.085,0.033,102.150,25.725,16.738,0.209
'[14:49:04.840 29/04/1996]',0.108,0.085,0.033,101.700,27.250,17.150,0.167
'[14:49:04.842 29/04/1996]',0.108,0.085,0.033,101.700,27.250,17.150,0.167
'[14:49:04.844 29/04/1996]',0.108,0.102,0.049,101.700,27.250,17.150,0.167
'[14:49:04.846 29/04/1996]',0.116,0.085,0.049,101.700,27.250,17.150,0.167
'[14:49:04.848 29/04/1996]',0.131,0.102,0.065,101.150,28.525,17.450,0.126
'[14:49:04.850 29/04/1996]',0.131,0.102,0.065,101.150,28.525,17.450,0.126
'[14:49:04.852 29/04/1996]',0.131,0.119,0.049,101.150,28.525,17.450,0.126
'[14:49:04.854 29/04/1996]',0.131,0.119,0.049,101.150,28.525,17.450,0.126
'[14:49:04.856 29/04/1996]',0.124,0.102,0.049,100.450,29.400,17.675,0.094
'[14:49:04.858 29/04/1996]',0.108,0.102,0.033,100.450,29.400,17.675,0.094
'[14:49:04.860 29/04/1996]',0.078,0.069,0.033,100.450,29.400,17.675,0.094
'[14:49:04.862 29/04/1996]',0.054,0.052,0.017,100.450,29.400,17.675,0.094
'[14:49:04.864 29/04/1996]',0.031,0.035,0.001,99.750,29.650,17.738,0.062
'[14:49:04.866 29/04/1996]',0.016,0.018,0.001,99.750,29.650,17.738,0.062
'[14:49:04.868 29/04/1996]',0.001,0.002,-0.015,99.750,29.650,17.738,0.062
'[14:49:04.870 29/04/1996]',-0.015,0.002,-0.015,99.750,29.650,17.738,0.062
'[14:49:04.872 29/04/1996]',-0.022,0.002,-0.015,99.050,29.175,17.675,0.021
'[14:49:04.874 29/04/1996]',-0.038,-0.015,-0.031,99.050,29.175,17.675,0.021
'[14:49:04.876 29/04/1996]',-0.030,-0.015,-0.015,99.050,29.175,17.675,0.021
'[14:49:04.878 29/04/1996]',-0.038,-0.032,-0.031,99.050,29.175,17.675,0.021
'[14:49:04.880 29/04/1996]',-0.053,-0.032,-0.031,98.350,28.300,17.562,0.042
'[14:49:04.882 29/04/1996]',-0.061,-0.032,-0.031,98.350,28.300,17.562,0.042
'[14:49:04.884 29/04/1996]',-0.061,-0.032,-0.031,98.350,28.300,17.562,0.042
'[14:49:04.886 29/04/1996]',-0.069,-0.049,-0.031,98.350,28.300,17.562,0.042
'[14:49:04.888 29/04/1996]',-0.061,-0.032,-0.031,97.600,27.125,17.387,0.000
'[14:49:04.890 29/04/1996]',-0.061,-0.032,-0.031,97.600,27.125,17.387,0.000
'[14:49:04.892 29/04/1996]',-0.061,-0.032,-0.031,97.600,27.125,17.387,0.000
'[14:49:04.894 29/04/1996]',-0.061,-0.032,-0.031,97.600,27.125,17.387,0.000
'[14:49:04.896 29/04/1996]',-0.061,-0.032,-0.047,96.700,25.950,17.212,-0.042
'[14:49:04.898 29/04/1996]',-0.069,-0.049,-0.047,96.700,25.950,17.212,-0.042
'[14:49:04.900 29/04/1996]',-0.069,-0.049,-0.047,96.700,25.950,17.212,-0.042
'[14:49:04.902 29/04/1996]',-0.069,-0.049,-0.047,96.700,25.950,17.212,-0.042
'[14:49:04.904 29/04/1996]',-0.061,-0.032,-0.047,95.800,24.900,16.975,-0.084
'[14:49:04.906 29/04/1996]',-0.069,-0.049,-0.047,95.800,24.900,16.975,-0.084
'[14:49:04.908 29/04/1996]',-0.061,-0.032,-0.031,95.800,24.900,16.975,-0.084
'[14:49:04.910 29/04/1996]',-0.069,-0.032,-0.047,95.800,24.900,16.975,-0.084
'[14:49:04.912 29/04/1996]',-0.069,-0.049,-0.047,94.900,23.900,16.688,-0.115
'[14:49:04.914 29/04/1996]',-0.069,-0.049,-0.047,94.900,23.900,16.688,-0.115
'[14:49:04.916 29/04/1996]',-0.069,-0.049,-0.047,94.900,23.900,16.688,-0.115
'[14:49:04.918 29/04/1996]',-0.069,-0.049,-0.031,94.900,23.900,16.688,-0.115
'[14:49:04.920 29/04/1996]',-0.069,-0.049,-0.031,94.100,22.975,16.387,-0.167
'[14:49:04.922 29/04/1996]',-0.069,-0.049,-0.031,94.100,22.975,16.387,-0.167
'[14:49:04.924 29/04/1996]',-0.069,-0.049,-0.031,94.100,22.975,16.387,-0.167
'[14:49:04.926 29/04/1996]',-0.069,-0.032,-0.031,94.100,22.975,16.387,-0.167
'[14:49:04.928 29/04/1996]',-0.061,-0.032,-0.031,93.500,22.200,16.038,-0.199
'[14:49:04.930 29/04/1996]',-0.061,-0.032,-0.031,93.500,22.200,16.038,-0.199
'[14:49:04.932 29/04/1996]',-0.061,-0.049,-0.047,93.500,22.200,16.038,-0.199
'[14:49:04.934 29/04/1996]',-0.069,-0.049,-0.047,93.500,22.200,16.038,-0.199
'[14:49:04.936 29/04/1996]',-0.061,-0.032,-0.047,93.150,21.675,15.750,-0.240
'[14:49:04.938 29/04/1996]',-0.061,-0.049,-0.047,93.150,21.675,15.750,-0.240
'[14:49:04.940 29/04/1996]',-0.061,-0.032,-0.047,93.150,21.675,15.750,-0.240
'[14:49:04.942 29/04/1996]',-0.061,-0.032,-0.047,93.150,21.675,15.750,-0.240
'[14:49:04.944 29/04/1996]',-0.069,-0.032,-0.047,92.900,21.375,15.450,-0.282
'[14:49:04.946 29/04/1996]',-0.069,-0.049,-0.047,92.900,21.375,15.450,-0.282
'[14:49:04.948 29/04/1996]',-0.061,-0.049,-0.047,92.900,21.375,15.450,-0.282
'[14:49:04.950 29/04/1996]',-0.061,-0.049,-0.047,92.900,21.375,15.450,-0.282
'[14:49:04.952 29/04/1996]',-0.069,-0.049,-0.047,92.750,21.375,15.162,-0.314
'[14:49:04.954 29/04/1996]',-0.069,-0.049,-0.047,92.750,21.375,15.162,-0.314
'[14:49:04.956 29/04/1996]',-0.061,-0.049,-0.047,92.750,21.375,15.162,-0.314
'[14:49:04.958 29/04/1996]',-0.061,-0.049,-0.047,92.750,21.375,15.162,-0.314
'[14:49:04.960 29/04/1996]',-0.061,-0.049,-0.047,92.250,21.550,14.988,-0.344
'[14:49:04.962 29/04/1996]',-0.061,-0.049,-0.047,92.250,21.550,14.988,-0.344
'[14:49:04.964 29/04/1996]',-0.076,-0.066,-0.063,92.250,21.550,14.988,-0.344
'[14:49:04.966 29/04/1996]',-0.100,-0.100,-0.079,92.250,21.550,14.988,-0.344
'[14:49:04.968 29/04/1996]',-0.115,-0.117,-0.079,91.500,21.850,14.925,-0.376
'[14:49:04.970 29/04/1996]',-0.122,-0.134,-0.079,91.500,21.850,14.925,-0.376
'[14:49:04.972 29/04/1996]',-0.115,-0.117,-0.063,91.500,21.850,14.925,-0.376
'[14:49:04.974 29/04/1996]',-0.100,-0.117,-0.047,91.500,21.850,14.925,-0.376
'[14:49:04.976 29/04/1996]',-0.069,-0.100,-0.031,90.500,22.250,14.925,-0.397
'[14:49:04.978 29/04/1996]',-0.030,-0.066,0.001,90.500,22.250,14.925,-0.397
'[14:49:04.980 29/04/1996]',0.016,-0.049,0.033,90.500,22.250,14.925,-0.397
'[14:49:04.982 29/04/1996]',0.070,0.002,0.065,90.500,22.250,14.925,-0.397
'[14:49:04.984 29/04/1996]',0.124,0.035,0.113,89.450,22.725,15.050,-0.417
'[14:49:04.986 29/04/1996]',0.178,0.069,0.177,89.450,22.725,15.050,-0.417
'[14:49:04.988 29/04/1996]',0.224,0.085,0.193,89.450,22.725,15.050,-0.417
'[14:49:04.990 29/04/1996]',0.247,0.085,0.209,89.450,22.725,15.050,-0.417
'[14:49:04.992 29/04/1996]',0.254,0.102,0.209,88.450,23.250,15.225,-0.439
'[14:49:04.994 29/04/1996]',0.270,0.119,0.225,88.450,23.250,15.225,-0.439
'[14:49:04.996 29/04/1996]',0.293,0.136,0.240,88.450,23.250,15.225,-0.439
'[14:49:04.998 29/04/1996]',0.301,0.153,0.225,88.450,23.250,15.225,-0.439
'[14:49:05.000 29/04/1996]',0.324,0.187,0.240,87.500,23.850,15.450,-0.460
'[14:49:05.002 29/04/1996]',0.331,0.221,0.256,87.500,23.850,15.450,-0.460
'[14:49:05.004 29/04/1996]',0.316,0.221,0.240,87.500,23.850,15.450,-0.460
'[14:49:05.006 29/04/1996]',0.308,0.238,0.225,87.500,23.850,15.450,-0.460
'[14:49:05.008 29/04/1996]',0.301,0.271,0.225,86.700,24.425,15.688,-0.460
'[14:49:05.010 29/04/1996]',0.308,0.288,0.209,86.700,24.425,15.688,-0.460
'[14:49:05.012 29/04/1996]',0.301,0.288,0.193,86.700,24.425,15.688,-0.460
'[14:49:05.014 29/04/1996]',0.308,0.288,0.193,86.700,24.425,15.688,-0.460
'[14:49:05.016 29/04/1996]',0.316,0.305,0.209,85.850,24.900,15.925,-0.470
'[14:49:05.018 29/04/1996]',0.331,0.322,0.209,85.850,24.900,15.925,-0.470
'[14:49:05.020 29/04/1996]',0.331,0.322,0.209,85.850,24.900,15.925,-0.470
'[14:49:05.022 29/04/1996]',0.331,0.305,0.209,85.850,24.900,15.925,-0.470
'[14:49:05.024 29/04/1996]',0.308,0.271,0.193,85.050,25.200,16.100,-0.480
'[14:49:05.026 29/04/1996]',0.270,0.238,0.161,85.050,25.200,16.100,-0.480
'[14:49:05.028 29/04/1996]',0.224,0.187,0.129,85.050,25.200,16.100,-0.480
'[14:49:05.030 29/04/1996]',0.162,0.119,0.081,85.050,25.200,16.100,-0.480
'[14:49:05.032 29/04/1996]',0.116,0.069,0.065,84.300,25.375,16.275,-0.490
'[14:49:05.034 29/04/1996]',0.070,0.035,0.033,84.300,25.375,16.275,-0.490
'[14:49:05.036 29/04/1996]',0.039,0.018,0.017,84.300,25.375,16.275,-0.490
'[14:49:05.038 29/04/1996]',0.031,0.002,0.017,84.300,25.375,16.275,-0.490
'[14:49:05.040 29/04/1996]',0.016,0.002,0.017,83.600,25.600,16.337,-0.501
'[14:49:05.042 29/04/1996]',0.008,0.002,0.001,83.600,25.600,16.337,-0.501
'[14:49:05.044 29/04/1996]',-0.007,-0.015,0.001,83.600,25.600,16.337,-0.501
'[14:49:05.046 29/04/1996]',-0.015,-0.032,0.001,83.600,25.600,16.337,-0.501
'[14:49:05.048 29/04/1996]',-0.022,-0.049,0.001,82.900,26.000,16.387,-0.501
'[14:49:05.050 29/04/1996]',-0.030,-0.049,-0.015,82.900,26.000,16.387,-0.501
'[14:49:05.052 29/04/1996]',-0.038,-0.049,-0.015,82.900,26.000,16.387,-0.501
'[14:49:05.054 29/04/1996]',-0.038,-0.049,-0.015,82.900,26.000,16.387,-0.501
'[14:49:05.056 29/04/1996]',-0.053,-0.066,-0.015,82.250,26.775,16.387,-0.511
'[14:49:05.058 29/04/1996]',-0.053,-0.066,-0.031,82.250,26.775,16.387,-0.511
'[14:49:05.060 29/04/1996]',-0.061,-0.066,-0.031,82.250,26.775,16.387,-0.511
'[14:49:05.062 29/04/1996]',-0.069,-0.083,-0.047,82.250,26.775,16.387,-0.511
'[14:49:05.064 29/04/1996]',-0.069,-0.083,-0.047,81.650,27.650,16.337,-0.532
'[14:49:05.066 29/04/1996]',-0.076,-0.083,-0.047,81.650,27.650,16.337,-0.532
'[14:49:05.068 29/04/1996]',-0.076,-0.083,-0.063,81.650,27.650,16.337,-0.532
'[14:49:05.070 29/04/1996]',-0.069,-0.083,-0.063,81.650,27.650,16.337,-0.532
'[14:49:05.072 29/04/1996]',-0.076,-0.083,-0.063,81.050,28.525,16.275,-0.543
'[14:49:05.074 29/04/1996]',-0.076,-0.083,-0.063,81.050,28.525,16.275,-0.543
'[14:49:05.076 29/04/1996]',-0.076,-0.083,-0.063,81.050,28.525,16.275,-0.543
'[14:49:05.078 29/04/1996]',-0.084,-0.100,-0.063,81.050,28.525,16.275,-0.543
'[14:49:05.080 29/04/1996]',-0.084,-0.100,-0.063,80.500,29.175,16.163,-0.543
'[14:49:05.082 29/04/1996]',-0.084,-0.100,-0.063,80.500,29.175,16.163,-0.543
'[14:49:05.084 29/04/1996]',-0.100,-0.100,-0.063,80.500,29.175,16.163,-0.543
'[14:49:05.086 29/04/1996]',-0.084,-0.100,-0.063,80.500,29.175,16.163,-0.543
'[14:49:05.088 29/04/1996]',-0.100,-0.100,-0.063,79.950,29.300,16.038,-0.553
'[14:49:05.090 29/04/1996]',-0.100,-0.100,-0.063,79.950,29.300,16.038,-0.553
'[14:49:05.092 29/04/1996]',-0.100,-0.100,-0.079,79.950,29.300,16.038,-0.553
'[14:49:05.094 29/04/1996]',-0.100,-0.100,-0.079,79.950,29.300,16.038,-0.553
'[14:49:05.096 29/04/1996]',-0.084,-0.100,-0.063,79.500,28.950,15.925,-0.553
'[14:49:05.098 29/04/1996]',-0.100,-0.100,-0.063,79.500,28.950,15.925,-0.553
'[14:49:05.100 29/04/1996]',-0.084,-0.100,-0.063,79.500,28.950,15.925,-0.553
'[14:49:05.102 29/04/1996]',-0.100,-0.100,-0.063,79.500,28.950,15.925,-0.553
'[14:49:05.104 29/04/1996]',-0.084,-0.100,-0.063,79.200,28.250,15.750,-0.564
'[14:49:05.106 29/04/1996]',-0.084,-0.100,-0.063,79.200,28.250,15.750,-0.564
'[14:49:05.108 29/04/1996]',-0.084,-0.100,-0.063,79.200,28.250,15.750,-0.564
'[14:49:05.110 29/04/1996]',-0.084,-0.100,-0.063,79.200,28.250,15.750,-0.564
'[14:49:05.112 29/04/1996]',-0.100,-0.100,-0.063,79.300,27.525,15.512,-0.564
'[14:49:05.114 29/04/1996]',-0.100,-0.117,-0.063,79.300,27.525,15.512,-0.564
'[14:49:05.116 29/04/1996]',-0.107,-0.117,-0.063,79.300,27.525,15.512,-0.564
'[14:49:05.118 29/04/1996]',-0.100,-0.117,-0.063,79.300,27.525,15.512,-0.564
'[14:49:05.120 29/04/1996]',-0.100,-0.100,-0.063,80.200,27.475,15.225,-0.574
'[14:49:05.122 29/04/1996]',-0.084,-0.100,-0.063,80.200,27.475,15.225,-0.574
'[14:49:05.124 29/04/1996]',-0.084,-0.100,-0.063,80.200,27.475,15.225,-0.574
'[14:49:05.126 29/04/1996]',-0.084,-0.100,-0.063,80.200,27.475,15.225,-0.574
'[14:49:05.128 29/04/1996]',-0.076,-0.100,-0.063,82.750,28.525,14.812,-0.585
'[14:49:05.130 29/04/1996]',-0.084,-0.100,-0.063,82.750,28.525,14.812,-0.585
'[14:49:05.132 29/04/1996]',-0.076,-0.100,-0.063,82.750,28.525,14.812,-0.585
'[14:49:05.134 29/04/1996]',-0.076,-0.100,-0.047,82.750,28.525,14.812,-0.585
'[14:49:05.136 29/04/1996]',-0.084,-0.083,-0.047,88.350,30.650,14.338,-0.574
'[14:49:05.138 29/04/1996]',-0.084,-0.100,-0.047,88.350,30.650,14.338,-0.574
'[14:49:05.140 29/04/1996]',-0.084,-0.083,-0.047,88.350,30.650,14.338,-0.574
'[14:49:05.142 29/04/1996]',-0.076,-0.083,-0.047,88.350,30.650,14.338,-0.574
'[14:49:05.144 29/04/1996]',-0.076,-0.083,-0.047,97.600,33.400,13.812,-0.574
'[14:49:05.146 29/04/1996]',-0.069,-0.083,-0.047,97.600,33.400,13.812,-0.574
'[14:49:05.148 29/04/1996]',-0.069,-0.083,-0.047,97.600,33.400,13.812,-0.574
'[14:49:05.150 29/04/1996]',-0.069,-0.083,-0.047,97.600,33.400,13.812,-0.574
'[14:49:05.152 29/04/1996]',-0.069,-0.083,-0.047,109.800,36.375,13.287,-0.564
'[14:49:05.154 29/04/1996]',-0.069,-0.083,-0.047,109.800,36.375,13.287,-0.564
'[14:49:05.156 29/04/1996]',-0.076,-0.083,-0.047,109.800,36.375,13.287,-0.564
'[14:49:05.158 29/04/1996]',-0.076,-0.083,-0.047,109.800,36.375,13.287,-0.564
'[14:49:05.160 29/04/1996]',-0.069,-0.083,-0.047,122.550,39.075,12.700,-0.532
'[14:49:05.162 29/04/1996]',-0.076,-0.083,-0.047,122.550,39.075,12.700,-0.532
'[14:49:05.164 29/04/1996]',-0.069,-0.083,-0.047,122.550,39.075,12.700,-0.532
'[14:49:05.166 29/04/1996]',-0.069,-0.066,-0.047,122.550,39.075,12.700,-0.532
'[14:49:05.168 29/04/1996]',-0.061,-0.066,-0.047,133.200,41.375,12.113,-0.480
'[14:49:05.170 29/04/1996]',-0.061,-0.066,-0.047,133.200,41.375,12.113,-0.480
'[14:49:05.172 29/04/1996]',-0.061,-0.066,-0.047,133.200,41.375,12.113,-0.480
'[14:49:05.174 29/04/1996]',-0.061,-0.049,-0.047,133.200,41.375,12.113,-0.480
'[14:49:05.176 29/04/1996]',-0.061,-0.066,-0.047,140.700,43.125,11.588,-0.428
'[14:49:05.178 29/04/1996]',-0.069,-0.066,-0.047,140.700,43.125,11.588,-0.428
'[14:49:05.180 29/04/1996]',-0.069,-0.083,-0.047,140.700,43.125,11.588,-0.428
'[14:49:05.182 29/04/1996]',-0.069,-0.066,-0.047,140.700,43.125,11.588,-0.428
'[14:49:05.184 29/04/1996]',-0.061,-0.066,-0.047,145.700,44.225,11.113,-0.365
'[14:49:05.186 29/04/1996]',-0.061,-0.066,-0.047,145.700,44.225,11.113,-0.365
'[14:49:05.188 29/04/1996]',-0.061,-0.066,-0.047,145.700,44.225,11.113,-0.365
'[14:49:05.190 29/04/1996]',-0.061,-0.066,-0.047,145.700,44.225,11.113,-0.365
'[14:49:05.192 29/04/1996]',-0.053,-0.049,-0.031,149.500,44.525,10.713,-0.261
'[14:49:05.194 29/04/1996]',-0.061,-0.049,-0.047,149.500,44.525,10.713,-0.261
'[14:49:05.196 29/04/1996]',-0.053,-0.049,-0.031,149.500,44.525,10.713,-0.261
'[14:49:05.198 29/04/1996]',-0.053,-0.049,-0.031,149.500,44.525,10.713,-0.261
'[14:49:05.200 29/04/1996]',-0.038,-0.032,-0.031,152.950,43.950,10.412,-0.146
'[14:49:05.202 29/04/1996]',-0.038,-0.032,-0.031,152.950,43.950,10.412,-0.146
'[14:49:05.204 29/04/1996]',-0.030,-0.032,-0.031,152.950,43.950,10.412,-0.146
'[14:49:05.206 29/04/1996]',-0.022,-0.015,-0.015,152.950,43.950,10.412,-0.146
'[14:49:05.208 29/04/1996]',-0.022,-0.015,-0.015,155.800,42.700,10.175,-0.032
'[14:49:05.210 29/04/1996]',-0.015,-0.015,-0.015,155.800,42.700,10.175,-0.032
'[14:49:05.212 29/04/1996]',-0.015,-0.015,-0.015,155.800,42.700,10.175,-0.032
'[14:49:05.214 29/04/1996]',-0.015,-0.015,-0.015,155.800,42.700,10.175,-0.032
'[14:49:05.216 29/04/1996]',-0.015,-0.015,-0.015,157.300,41.000,10.062,0.094
'[14:49:05.218 29/04/1996]',-0.015,-0.015,-0.015,157.300,41.000,10.062,0.094
'[14:49:05.220 29/04/1996]',-0.015,-0.015,-0.031,157.300,41.000,10.062,0.094
'[14:49:05.222 29/04/1996]',-0.022,-0.015,-0.031,157.300,41.000,10.062,0.094
'[14:49:05.224 29/04/1996]',-0.015,0.002,-0.015,157.250,39.125,10.000,0.198
'[14:49:05.226 29/04/1996]',-0.015,-0.015,-0.015,157.250,39.125,10.000,0.198
'[14:49:05.228 29/04/1996]',-0.015,0.002,-0.015,157.250,39.125,10.000,0.198
'[14:49:05.230 29/04/1996]',-0.007,0.002,-0.015,157.250,39.125,10.000,0.198
'[14:49:05.232 29/04/1996]',-0.007,0.002,-0.015,155.800,37.250,10.000,0.334
'[14:49:05.234 29/04/1996]',-0.007,0.002,-0.015,155.800,37.250,10.000,0.334
'[14:49:05.236 29/04/1996]',-0.007,0.002,-0.015,155.800,37.250,10.000,0.334
'[14:49:05.238 29/04/1996]',-0.007,0.002,-0.015,155.800,37.250,10.000,0.334
'[14:49:05.240 29/04/1996]',0.001,0.002,0.001,153.300,35.325,10.125,0.428
'[14:49:05.242 29/04/1996]',-0.007,0.002,-0.015,153.300,35.325,10.125,0.428
'[14:49:05.244 29/04/1996]',0.001,0.002,0.001,153.300,35.325,10.125,0.428
'[14:49:05.246 29/04/1996]',0.001,0.002,0.001,153.300,35.325,10.125,0.428
'[14:49:05.248 29/04/1996]',0.001,0.002,0.001,150.450,33.450,10.238,0.532
'[14:49:05.250 29/04/1996]',0.001,0.002,0.001,150.450,33.450,10.238,0.532
'[14:49:05.252 29/04/1996]',0.001,0.002,0.001,150.450,33.450,10.238,0.532
'[14:49:05.254 29/04/1996]',0.001,0.002,0.001,150.450,33.450,10.238,0.532
'[14:49:05.256 29/04/1996]',0.008,0.002,0.001,147.150,31.575,10.363,0.605
'[14:49:05.258 29/04/1996]',0.008,0.018,0.001,147.150,31.575,10.363,0.605
'[14:49:05.260 29/04/1996]',0.008,0.018,0.001,147.150,31.575,10.363,0.605
'[14:49:05.262 29/04/1996]',0.008,0.002,0.001,147.150,31.575,10.363,0.605
'[14:49:05.264 29/04/1996]',0.008,0.002,0.001,143.600,29.650,10.475,0.668
'[14:49:05.266 29/04/1996]',0.008,0.002,0.001,143.600,29.650,10.475,0.668
'[14:49:05.268 29/04/1996]',0.008,0.018,0.001,143.600,29.650,10.475,0.668
'[14:49:05.270 29/04/1996]',0.008,0.018,0.001,143.600,29.650,10.475,0.668
'[14:49:05.272 29/04/1996]',0.016,0.018,0.001,139.700,27.775,10.650,0.710
'[14:49:05.274 29/04/1996]',0.008,0.018,0.001,139.700,27.775,10.650,0.710
'[14:49:05.276 29/04/1996]',0.008,0.018,0.001,139.700,27.775,10.650,0.710
'[14:49:05.278 29/04/1996]',0.008,0.018,0.001,139.700,27.775,10.650,0.710
'[14:49:05.280 29/04/1996]',0.008,0.018,0.001,135.700,26.125,10.938,0.731
'[14:49:05.282 29/04/1996]',0.008,0.018,0.001,135.700,26.125,10.938,0.731
'[14:49:05.284 29/04/1996]',0.008,0.002,-0.015,135.700,26.125,10.938,0.731
'[14:49:05.286 29/04/1996]',0.008,0.018,-0.015,135.700,26.125,10.938,0.731
'[14:49:05.288 29/04/1996]',0.008,0.018,0.001,131.450,24.725,11.350,0.741
'[14:49:05.290 29/04/1996]',0.001,0.002,-0.015,131.450,24.725,11.350,0.741
'[14:49:05.292 29/04/1996]',0.008,0.018,-0.015,131.450,24.725,11.350,0.741
'[14:49:05.294 29/04/1996]',0.008,0.018,0.001,131.450,24.725,11.350,0.741
'[14:49:05.296 29/04/1996]',0.001,0.002,-0.015,127.200,23.550,11.825,0.720
'[14:49:05.298 29/04/1996]',0.001,0.002,0.001,127.200,23.550,11.825,0.720
'[14:49:05.300 29/04/1996]',0.001,0.002,-0.015,127.200,23.550,11.825,0.720
'[14:49:05.302 29/04/1996]',0.008,0.018,-0.015,127.200,23.550,11.825,0.720
'[14:49:05.304 29/04/1996]',0.001,0.018,-0.015,122.750,22.675,12.463,0.699
'[14:49:05.306 29/04/1996]',0.001,0.018,-0.015,122.750,22.675,12.463,0.699
'[14:49:05.308 29/04/1996]',0.008,0.018,-0.015,122.750,22.675,12.463,0.699
'[14:49:05.310 29/04/1996]',0.001,0.018,-0.015,122.750,22.675,12.463,0.699
'[14:49:05.312 29/04/1996]',0.008,0.018,0.001,118.050,22.200,13.175,0.636
'[14:49:05.314 29/04/1996]',0.016,0.018,0.001,118.050,22.200,13.175,0.636
'[14:49:05.316 29/04/1996]',0.024,0.018,0.001,118.050,22.200,13.175,0.636
'[14:49:05.318 29/04/1996]',0.031,0.035,0.001,118.050,22.200,13.175,0.636
'[14:49:05.320 29/04/1996]',0.031,0.052,0.001,113.300,22.075,13.875,0.585
'[14:49:05.322 29/04/1996]',0.031,0.052,0.001,113.300,22.075,13.875,0.585
