'Time and date','III','II','V','ABP','PLETH','RESP'
'[14:49:37.826 01/03/1996]',0.017,-0.017,0.038,120.376,0.307,-0.308
'[14:49:37.828 01/03/1996]',0.018,0.002,0.038,120.376,0.307,-0.308
'[14:49:37.830 01/03/1996]',0.020,0.002,0.038,120.376,0.307,-0.308
'[14:49:37.832 01/03/1996]',0.022,0.002,0.038,116.090,0.271,-0.309
'[14:49:37.834 01/03/1996]',0.025,0.019,0.038,116.090,0.271,-0.309
'[14:49:37.836 01/03/1996]',0.028,0.019,0.038,116.090,0.271,-0.309
'[14:49:37.838 01/03/1996]',0.032,0.019,0.075,116.090,0.271,-0.309
'[14:49:37.840 01/03/1996]',0.036,0.019,0.038,112.256,0.230,-0.310
'[14:49:37.842 01/03/1996]',0.040,0.019,0.038,112.256,0.230,-0.310
'[14:49:37.844 01/03/1996]',0.044,0.019,0.038,112.256,0.230,-0.310
'[14:49:37.846 01/03/1996]',0.048,0.037,0.038,112.256,0.230,-0.310
'[14:49:37.848 01/03/1996]',0.052,0.037,0.038,109.023,0.187,-0.311
'[14:49:37.850 01/03/1996]',0.057,0.056,0.003,109.023,0.187,-0.311
'[14:49:37.852 01/03/1996]',0.058,0.056,0.003,109.023,0.187,-0.311
'[14:49:37.854 01/03/1996]',0.058,0.056,0.003,109.023,0.187,-0.311
'[14:49:37.856 01/03/1996]',0.057,0.056,0.003,106.241,0.141,-0.312
'[14:49:37.858 01/03/1996]',0.055,0.056,0.003,106.241,0.141,-0.312
'[14:49:37.860 01/03/1996]',0.054,0.056,0.003,106.241,0.141,-0.312
'[14:49:37.862 01/03/1996]',0.053,0.074,0.003,106.241,0.141,-0.312
'[14:49:37.864 01/03/1996]',0.053,0.074,0.003,103.985,0.097,-0.313
'[14:49:37.866 01/03/1996]',0.053,0.074,0.003,103.985,0.097,-0.313
'[14:49:37.868 01/03/1996]',0.053,0.074,-0.033,103.985,0.097,-0.313
'[14:49:37.870 01/03/1996]',0.053,0.056,-0.033,103.985,0.097,-0.313
'[14:49:37.872 01/03/1996]',0.051,0.056,-0.033,102.030,0.049,-0.314
'[14:49:37.874 01/03/1996]',0.048,0.056,-0.033,102.030,0.049,-0.314
'[14:49:37.876 01/03/1996]',0.045,0.056,0.003,102.030,0.049,-0.314
'[14:49:37.878 01/03/1996]',0.042,0.056,0.003,102.030,0.049,-0.314
'[14:49:37.880 01/03/1996]',0.038,0.056,0.003,100.451,0.002,-0.315
'[14:49:37.882 01/03/1996]',0.035,0.037,0.003,100.451,0.002,-0.315
'[14:49:37.884 01/03/1996]',0.033,0.019,0.003,100.451,0.002,-0.315
'[14:49:37.886 01/03/1996]',0.030,0.019,0.003,100.451,0.002,-0.315
'[14:49:37.888 01/03/1996]',0.028,0.002,0.003,99.023,-0.045,-0.316
'[14:49:37.890 01/03/1996]',0.027,0.002,0.003,99.023,-0.045,-0.316
'[14:49:37.892 01/03/1996]',0.025,-0.017,0.003,99.023,-0.045,-0.316
'[14:49:37.894 01/03/1996]',0.023,-0.017,0.003,99.023,-0.045,-0.316
'[14:49:37.896 01/03/1996]',0.021,-0.017,0.003,97.820,-0.089,-0.317
'[14:49:37.898 01/03/1996]',0.018,0.002,0.003,97.820,-0.089,-0.317
'[14:49:37.900 01/03/1996]',0.018,0.002,0.003,97.820,-0.089,-0.317
'[14:49:37.902 01/03/1996]',0.017,0.002,0.003,97.820,-0.089,-0.317
'[14:49:37.904 01/03/1996]',0.018,-0.017,0.003,96.692,-0.131,-0.317
'[14:49:37.906 01/03/1996]',0.018,-0.035,0.003,96.692,-0.131,-0.317
'[14:49:37.908 01/03/1996]',0.018,-0.035,0.003,96.692,-0.131,-0.317
'[14:49:37.910 01/03/1996]',0.018,-0.035,0.003,96.692,-0.131,-0.317
'[14:49:37.912 01/03/1996]',0.018,-0.017,0.003,95.714,-0.171,-0.318
'[14:49:37.914 01/03/1996]',0.018,-0.017,0.003,95.714,-0.171,-0.318
'[14:49:37.916 01/03/1996]',0.018,0.002,0.003,95.714,-0.171,-0.318
'[14:49:37.918 01/03/1996]',0.017,-0.017,0.003,95.714,-0.171,-0.318
'[14:49:37.920 01/03/1996]',0.016,-0.017,0.003,94.737,-0.205,-0.318
'[14:49:37.922 01/03/1996]',0.015,-0.035,0.003,94.737,-0.205,-0.318
'[14:49:37.924 01/03/1996]',0.015,-0.035,0.003,94.737,-0.205,-0.318
'[14:49:37.926 01/03/1996]',0.015,-0.035,0.003,94.737,-0.205,-0.318
'[14:49:37.928 01/03/1996]',0.014,-0.035,0.003,93.910,-0.238,-0.318
'[14:49:37.930 01/03/1996]',0.013,-0.035,-0.033,93.910,-0.238,-0.318
'[14:49:37.932 01/03/1996]',0.013,-0.017,-0.033,93.910,-0.238,-0.318
'[14:49:37.934 01/03/1996]',0.012,-0.017,-0.033,93.910,-0.238,-0.318
'[14:49:37.936 01/03/1996]',0.016,-0.017,-0.033,93.083,-0.266,-0.318
'[14:49:37.938 01/03/1996]',0.020,-0.035,0.003,93.083,-0.266,-0.318
'[14:49:37.940 01/03/1996]',0.029,-0.035,0.003,93.083,-0.266,-0.318
'[14:49:37.942 01/03/1996]',0.038,-0.035,0.003,93.083,-0.266,-0.318
'[14:49:37.944 01/03/1996]',0.058,-0.017,0.038,92.331,-0.290,-0.318
'[14:49:37.946 01/03/1996]',0.077,0.002,0.003,92.331,-0.290,-0.318
'[14:49:37.948 01/03/1996]',0.108,0.019,-0.033,92.331,-0.290,-0.318
'[14:49:37.950 01/03/1996]',0.140,0.074,-0.217,92.331,-0.290,-0.318
'[14:49:37.952 01/03/1996]',0.182,0.111,-0.437,91.654,-0.310,-0.318
'[14:49:37.954 01/03/1996]',0.225,0.129,-0.692,91.654,-0.310,-0.318
'[14:49:37.956 01/03/1996]',0.273,0.184,-0.948,91.654,-0.310,-0.318
'[14:49:37.958 01/03/1996]',0.322,0.221,-1.203,91.654,-0.310,-0.318
'[14:49:37.960 01/03/1996]',0.372,0.258,-1.460,90.977,-0.329,-0.318
'[14:49:37.962 01/03/1996]',0.422,0.330,-1.642,90.977,-0.329,-0.318
'[14:49:37.964 01/03/1996]',0.468,0.385,-1.898,90.977,-0.329,-0.318
'[14:49:37.966 01/03/1996]',0.513,0.440,-2.117,90.977,-0.329,-0.318
'[14:49:37.968 01/03/1996]',0.553,0.495,-2.337,90.376,-0.345,-0.318
'[14:49:37.970 01/03/1996]',0.593,0.531,-2.557,90.376,-0.345,-0.318
'[14:49:37.972 01/03/1996]',0.627,0.568,-2.702,90.376,-0.345,-0.318
'[14:49:37.974 01/03/1996]',0.660,0.623,-2.848,90.376,-0.345,-0.318
'[14:49:37.976 01/03/1996]',0.686,0.659,-2.885,89.699,-0.358,-0.318
'[14:49:37.978 01/03/1996]',0.712,0.696,-2.922,89.699,-0.358,-0.318
'[14:49:37.980 01/03/1996]',0.730,0.733,-2.958,89.699,-0.358,-0.318
'[14:49:37.982 01/03/1996]',0.748,0.787,-2.922,89.699,-0.358,-0.318
'[14:49:37.984 01/03/1996]',0.757,0.823,-2.885,89.023,-0.371,-0.318
'[14:49:37.986 01/03/1996]',0.767,0.823,-2.848,89.023,-0.371,-0.318
'[14:49:37.988 01/03/1996]',0.769,0.842,-2.775,89.023,-0.371,-0.318
'[14:49:37.990 01/03/1996]',0.772,0.842,-2.702,89.023,-0.371,-0.318
'[14:49:37.992 01/03/1996]',0.769,0.842,-2.593,88.271,-0.383,-0.318
'[14:49:37.994 01/03/1996]',0.767,0.842,-2.520,88.271,-0.383,-0.318
'[14:49:37.996 01/03/1996]',0.759,0.842,-2.410,88.271,-0.383,-0.318
'[14:49:37.998 01/03/1996]',0.752,0.860,-2.263,88.271,-0.383,-0.318
'[14:49:38.000 01/03/1996]',0.741,0.860,-2.190,87.519,-0.393,-0.319
'[14:49:38.002 01/03/1996]',0.730,0.860,-2.080,87.519,-0.393,-0.319
'[14:49:38.004 01/03/1996]',0.714,0.842,-2.008,87.519,-0.393,-0.319
'[14:49:38.006 01/03/1996]',0.698,0.823,-1.898,87.519,-0.393,-0.319
'[14:49:38.008 01/03/1996]',0.676,0.805,-1.788,86.767,-0.403,-0.319
'[14:49:38.010 01/03/1996]',0.653,0.769,-1.678,86.767,-0.403,-0.319
'[14:49:38.012 01/03/1996]',0.627,0.751,-1.568,86.767,-0.403,-0.319
'[14:49:38.014 01/03/1996]',0.602,0.733,-1.460,86.767,-0.403,-0.319
'[14:49:38.016 01/03/1996]',0.570,0.714,-1.350,86.015,-0.411,-0.320
'[14:49:38.018 01/03/1996]',0.538,0.696,-1.203,86.015,-0.411,-0.320
'[14:49:38.020 01/03/1996]',0.501,0.677,-1.093,86.015,-0.411,-0.320
'[14:49:38.022 01/03/1996]',0.463,0.641,-0.985,86.015,-0.411,-0.320
'[14:49:38.024 01/03/1996]',0.422,0.586,-0.875,85.263,-0.419,-0.321
'[14:49:38.026 01/03/1996]',0.382,0.568,-0.765,85.263,-0.419,-0.321
'[14:49:38.028 01/03/1996]',0.336,0.531,-0.655,85.263,-0.419,-0.321
'[14:49:38.030 01/03/1996]',0.290,0.477,-0.545,85.263,-0.419,-0.321
'[14:49:38.032 01/03/1996]',0.241,0.422,-0.437,84.511,-0.426,-0.322
'[14:49:38.034 01/03/1996]',0.192,0.385,-0.327,84.511,-0.426,-0.322
'[14:49:38.036 01/03/1996]',0.144,0.312,-0.217,84.511,-0.426,-0.322
'[14:49:38.038 01/03/1996]',0.097,0.239,-0.107,84.511,-0.426,-0.322
'[14:49:38.040 01/03/1996]',0.055,0.184,0.003,83.684,-0.434,-0.323
'[14:49:38.042 01/03/1996]',0.013,0.092,0.038,83.684,-0.434,-0.323
'[14:49:38.044 01/03/1996]',-0.018,0.037,0.148,83.684,-0.434,-0.323
'[14:49:38.046 01/03/1996]',-0.050,0.002,0.222,83.684,-0.434,-0.323
'[14:49:38.048 01/03/1996]',-0.071,-0.035,0.258,82.932,-0.443,-0.324
'[14:49:38.050 01/03/1996]',-0.092,-0.072,0.332,82.932,-0.443,-0.324
'[14:49:38.052 01/03/1996]',-0.105,-0.108,0.405,82.932,-0.443,-0.324
'[14:49:38.054 01/03/1996]',-0.118,-0.145,0.442,82.932,-0.443,-0.324
'[14:49:38.056 01/03/1996]',-0.128,-0.163,0.478,82.105,-0.449,-0.325
'[14:49:38.058 01/03/1996]',-0.137,-0.182,0.515,82.105,-0.449,-0.325
'[14:49:38.060 01/03/1996]',-0.143,-0.200,0.550,82.105,-0.449,-0.325
'[14:49:38.062 01/03/1996]',-0.150,-0.218,0.550,82.105,-0.449,-0.325
'[14:49:38.064 01/03/1996]',-0.152,-0.200,0.587,81.429,-0.456,-0.326
'[14:49:38.066 01/03/1996]',-0.155,-0.200,0.587,81.429,-0.456,-0.326
'[14:49:38.068 01/03/1996]',-0.158,-0.200,0.587,81.429,-0.456,-0.326
'[14:49:38.070 01/03/1996]',-0.160,-0.218,0.587,81.429,-0.456,-0.326
'[14:49:38.072 01/03/1996]',-0.163,-0.218,0.587,80.677,-0.463,-0.327
'[14:49:38.074 01/03/1996]',-0.165,-0.237,0.623,80.677,-0.463,-0.327
'[14:49:38.076 01/03/1996]',-0.165,-0.237,0.623,80.677,-0.463,-0.327
'[14:49:38.078 01/03/1996]',-0.165,-0.237,0.587,80.677,-0.463,-0.327
'[14:49:38.080 01/03/1996]',-0.165,-0.218,0.623,79.925,-0.468,-0.329
'[14:49:38.082 01/03/1996]',-0.165,-0.218,0.623,79.925,-0.468,-0.329
'[14:49:38.084 01/03/1996]',-0.165,-0.218,0.623,79.925,-0.468,-0.329
'[14:49:38.086 01/03/1996]',-0.165,-0.218,0.623,79.925,-0.468,-0.329
'[14:49:38.088 01/03/1996]',-0.165,-0.218,0.623,79.173,-0.474,-0.331
'[14:49:38.090 01/03/1996]',-0.165,-0.237,0.623,79.173,-0.474,-0.331
'[14:49:38.092 01/03/1996]',-0.166,-0.237,0.623,79.173,-0.474,-0.331
'[14:49:38.094 01/03/1996]',-0.167,-0.237,0.623,79.173,-0.474,-0.331
'[14:49:38.096 01/03/1996]',-0.168,-0.218,0.623,78.346,-0.480,-0.334
'[14:49:38.098 01/03/1996]',-0.170,-0.218,0.623,78.346,-0.480,-0.334
'[14:49:38.100 01/03/1996]',-0.172,-0.200,0.623,78.346,-0.480,-0.334
'[14:49:38.102 01/03/1996]',-0.173,-0.200,0.660,78.346,-0.480,-0.334
'[14:49:38.104 01/03/1996]',-0.175,-0.218,0.660,77.669,-0.486,-0.337
'[14:49:38.106 01/03/1996]',-0.177,-0.237,0.660,77.669,-0.486,-0.337
'[14:49:38.108 01/03/1996]',-0.177,-0.237,0.660,77.669,-0.486,-0.337
'[14:49:38.110 01/03/1996]',-0.178,-0.255,0.660,77.669,-0.486,-0.337
'[14:49:38.112 01/03/1996]',-0.180,-0.237,0.697,76.992,-0.492,-0.341
'[14:49:38.114 01/03/1996]',-0.182,-0.218,0.697,76.992,-0.492,-0.341
'[14:49:38.116 01/03/1996]',-0.183,-0.218,0.697,76.992,-0.492,-0.341
'[14:49:38.118 01/03/1996]',-0.185,-0.237,0.697,76.992,-0.492,-0.341
'[14:49:38.120 01/03/1996]',-0.185,-0.237,0.697,76.391,-0.496,-0.344
'[14:49:38.122 01/03/1996]',-0.185,-0.237,0.697,76.391,-0.496,-0.344
'[14:49:38.124 01/03/1996]',-0.188,-0.255,0.733,76.391,-0.496,-0.344
'[14:49:38.126 01/03/1996]',-0.192,-0.255,0.733,76.391,-0.496,-0.344
'[14:49:38.128 01/03/1996]',-0.197,-0.255,0.770,76.015,-0.500,-0.347
'[14:49:38.130 01/03/1996]',-0.202,-0.237,0.770,76.015,-0.500,-0.347
'[14:49:38.132 01/03/1996]',-0.207,-0.237,0.770,76.015,-0.500,-0.347
'[14:49:38.134 01/03/1996]',-0.212,-0.237,0.807,76.015,-0.500,-0.347
'[14:49:38.136 01/03/1996]',-0.216,-0.255,0.843,76.241,-0.505,-0.351
'[14:49:38.138 01/03/1996]',-0.220,-0.273,0.843,76.241,-0.505,-0.351
'[14:49:38.140 01/03/1996]',-0.225,-0.255,0.880,76.241,-0.505,-0.351
'[14:49:38.142 01/03/1996]',-0.230,-0.273,0.880,76.241,-0.505,-0.351
'[14:49:38.144 01/03/1996]',-0.235,-0.273,0.917,77.519,-0.509,-0.354
'[14:49:38.146 01/03/1996]',-0.240,-0.273,0.953,77.519,-0.509,-0.354
'[14:49:38.148 01/03/1996]',-0.247,-0.273,0.953,77.519,-0.509,-0.354
'[14:49:38.150 01/03/1996]',-0.253,-0.273,0.990,77.519,-0.509,-0.354
'[14:49:38.152 01/03/1996]',-0.260,-0.273,1.027,80.376,-0.513,-0.356
'[14:49:38.154 01/03/1996]',-0.267,-0.309,1.062,80.376,-0.513,-0.356
'[14:49:38.156 01/03/1996]',-0.274,-0.328,1.062,80.376,-0.513,-0.356
'[14:49:38.158 01/03/1996]',-0.282,-0.328,1.098,80.376,-0.513,-0.356
'[14:49:38.160 01/03/1996]',-0.289,-0.346,1.135,84.812,-0.515,-0.359
'[14:49:38.162 01/03/1996]',-0.297,-0.346,1.135,84.812,-0.515,-0.359
'[14:49:38.164 01/03/1996]',-0.303,-0.346,1.172,84.812,-0.515,-0.359
'[14:49:38.166 01/03/1996]',-0.310,-0.346,1.208,84.812,-0.515,-0.359
'[14:49:38.168 01/03/1996]',-0.317,-0.346,1.208,90.677,-0.516,-0.361
'[14:49:38.170 01/03/1996]',-0.323,-0.364,1.245,90.677,-0.516,-0.361
'[14:49:38.172 01/03/1996]',-0.328,-0.383,1.245,90.677,-0.516,-0.361
'[14:49:38.174 01/03/1996]',-0.333,-0.383,1.282,90.677,-0.516,-0.361
'[14:49:38.176 01/03/1996]',-0.338,-0.383,1.318,97.444,-0.515,-0.362
'[14:49:38.178 01/03/1996]',-0.343,-0.401,1.318,97.444,-0.515,-0.362
'[14:49:38.180 01/03/1996]',-0.346,-0.401,1.318,97.444,-0.515,-0.362
'[14:49:38.182 01/03/1996]',-0.348,-0.383,1.318,97.444,-0.515,-0.362
'[14:49:38.184 01/03/1996]',-0.347,-0.383,1.318,104.812,-0.507,-0.363
'[14:49:38.186 01/03/1996]',-0.347,-0.383,1.318,104.812,-0.507,-0.363
'[14:49:38.188 01/03/1996]',-0.343,-0.383,1.318,104.812,-0.507,-0.363
'[14:49:38.190 01/03/1996]',-0.338,-0.383,1.282,104.812,-0.507,-0.363
'[14:49:38.192 01/03/1996]',-0.330,-0.383,1.282,112.406,-0.490,-0.364
'[14:49:38.194 01/03/1996]',-0.322,-0.383,1.245,112.406,-0.490,-0.364
'[14:49:38.196 01/03/1996]',-0.313,-0.346,1.208,112.406,-0.490,-0.364
'[14:49:38.198 01/03/1996]',-0.305,-0.346,1.208,112.406,-0.490,-0.364
'[14:49:38.200 01/03/1996]',-0.293,-0.328,1.172,119.925,-0.464,-0.365
'[14:49:38.202 01/03/1996]',-0.282,-0.346,1.135,119.925,-0.464,-0.365
'[14:49:38.204 01/03/1996]',-0.269,-0.328,1.062,119.925,-0.464,-0.365
'[14:49:38.206 01/03/1996]',-0.257,-0.309,1.027,119.925,-0.464,-0.365
'[14:49:38.208 01/03/1996]',-0.240,-0.309,0.990,127.143,-0.425,-0.366
'[14:49:38.210 01/03/1996]',-0.223,-0.273,0.917,127.143,-0.425,-0.366
'[14:49:38.212 01/03/1996]',-0.206,-0.255,0.880,127.143,-0.425,-0.366
'[14:49:38.214 01/03/1996]',-0.188,-0.218,0.843,127.143,-0.425,-0.366
'[14:49:38.216 01/03/1996]',-0.170,-0.182,0.770,133.910,-0.372,-0.367
'[14:49:38.218 01/03/1996]',-0.152,-0.163,0.733,133.910,-0.372,-0.367
'[14:49:38.220 01/03/1996]',-0.133,-0.163,0.660,133.910,-0.372,-0.367
'[14:49:38.222 01/03/1996]',-0.115,-0.145,0.623,133.910,-0.372,-0.367
'[14:49:38.224 01/03/1996]',-0.100,-0.127,0.550,140.075,-0.307,-0.369
'[14:49:38.226 01/03/1996]',-0.085,-0.108,0.515,140.075,-0.307,-0.369
'[14:49:38.228 01/03/1996]',-0.071,-0.108,0.442,140.075,-0.307,-0.369
'[14:49:38.230 01/03/1996]',-0.057,-0.072,0.405,140.075,-0.307,-0.369
'[14:49:38.232 01/03/1996]',-0.045,-0.053,0.368,145.714,-0.231,-0.370
'[14:49:38.234 01/03/1996]',-0.033,-0.035,0.332,145.714,-0.231,-0.370
'[14:49:38.236 01/03/1996]',-0.023,-0.017,0.295,145.714,-0.231,-0.370
'[14:49:38.238 01/03/1996]',-0.013,-0.035,0.258,145.714,-0.231,-0.370
'[14:49:38.240 01/03/1996]',-0.006,-0.035,0.222,150.752,-0.147,-0.371
'[14:49:38.242 01/03/1996]',0.002,-0.035,0.185,150.752,-0.147,-0.371
'[14:49:38.244 01/03/1996]',0.007,-0.017,0.148,150.752,-0.147,-0.371
'[14:49:38.246 01/03/1996]',0.013,0.002,0.148,150.752,-0.147,-0.371
'[14:49:38.248 01/03/1996]',0.016,0.002,0.112,155.113,-0.057,-0.372
'[14:49:38.250 01/03/1996]',0.018,0.002,0.075,155.113,-0.057,-0.372
'[14:49:38.252 01/03/1996]',0.019,0.002,0.075,155.113,-0.057,-0.372
'[14:49:38.254 01/03/1996]',0.020,0.002,0.038,155.113,-0.057,-0.372
'[14:49:38.256 01/03/1996]',0.021,0.002,0.038,158.722,0.032,-0.373
'[14:49:38.258 01/03/1996]',0.022,-0.017,0.038,158.722,0.032,-0.373
'[14:49:38.260 01/03/1996]',0.022,0.002,0.003,158.722,0.032,-0.373
'[14:49:38.262 01/03/1996]',0.022,0.002,0.003,158.722,0.032,-0.373
'[14:49:38.264 01/03/1996]',0.021,0.002,0.003,161.579,0.116,-0.374
'[14:49:38.266 01/03/1996]',0.020,0.002,0.003,161.579,0.116,-0.374
'[14:49:38.268 01/03/1996]',0.019,0.002,0.003,161.579,0.116,-0.374
'[14:49:38.270 01/03/1996]',0.018,0.002,0.003,161.579,0.116,-0.374
'[14:49:38.272 01/03/1996]',0.018,-0.017,0.003,163.609,0.194,-0.376
'[14:49:38.274 01/03/1996]',0.018,-0.017,0.003,163.609,0.194,-0.376
'[14:49:38.276 01/03/1996]',0.018,-0.017,0.003,163.609,0.194,-0.376
'[14:49:38.278 01/03/1996]',0.018,-0.017,0.003,163.609,0.194,-0.376
'[14:49:38.280 01/03/1996]',0.018,-0.017,0.003,164.812,0.262,-0.378
'[14:49:38.282 01/03/1996]',0.018,0.002,0.003,164.812,0.262,-0.378
'[14:49:38.284 01/03/1996]',0.018,-0.017,0.003,164.812,0.262,-0.378
'[14:49:38.286 01/03/1996]',0.018,-0.017,0.003,164.812,0.262,-0.378
'[14:49:38.288 01/03/1996]',0.018,0.002,0.003,165.188,0.317,-0.379
'[14:49:38.290 01/03/1996]',0.018,-0.017,0.003,165.188,0.317,-0.379
'[14:49:38.292 01/03/1996]',0.018,-0.035,0.003,165.188,0.317,-0.379
'[14:49:38.294 01/03/1996]',0.018,-0.035,0.003,165.188,0.317,-0.379
'[14:49:38.296 01/03/1996]',0.018,-0.017,0.003,164.737,0.373,-0.381
'[14:49:38.298 01/03/1996]',0.018,-0.017,0.003,164.737,0.373,-0.381
'[14:49:38.300 01/03/1996]',0.018,-0.017,0.003,164.737,0.373,-0.381
'[14:49:38.302 01/03/1996]',0.018,-0.035,0.003,164.737,0.373,-0.381
'[14:49:38.304 01/03/1996]',0.018,-0.035,0.003,163.534,0.406,-0.383
'[14:49:38.306 01/03/1996]',0.018,-0.035,0.003,163.534,0.406,-0.383
'[14:49:38.308 01/03/1996]',0.018,-0.035,0.003,163.534,0.406,-0.383
'[14:49:38.310 01/03/1996]',0.018,-0.035,0.003,163.534,0.406,-0.383
'[14:49:38.312 01/03/1996]',0.018,-0.035,0.003,161.579,0.430,-0.385
'[14:49:38.314 01/03/1996]',0.018,-0.017,0.003,161.579,0.430,-0.385
'[14:49:38.316 01/03/1996]',0.018,-0.017,0.003,161.579,0.430,-0.385
'[14:49:38.318 01/03/1996]',0.017,0.002,0.003,161.579,0.430,-0.385
'[14:49:38.320 01/03/1996]',0.015,-0.017,0.003,158.872,0.444,-0.387
'[14:49:38.322 01/03/1996]',0.013,-0.017,0.003,158.872,0.444,-0.387
'[14:49:38.324 01/03/1996]',0.012,-0.017,0.003,158.872,0.444,-0.387
'[14:49:38.326 01/03/1996]',0.010,-0.035,0.003,158.872,0.444,-0.387
'[14:49:38.328 01/03/1996]',0.011,-0.035,0.003,155.639,0.452,-0.390
'[14:49:38.330 01/03/1996]',0.012,-0.017,0.003,155.639,0.452,-0.390
'[14:49:38.332 01/03/1996]',0.012,-0.017,0.003,155.639,0.452,-0.390
'[14:49:38.334 01/03/1996]',0.012,-0.017,0.003,155.639,0.452,-0.390
'[14:49:38.336 01/03/1996]',0.012,-0.017,0.003,151.880,0.452,-0.393
'[14:49:38.338 01/03/1996]',0.012,-0.017,0.003,151.880,0.452,-0.393
'[14:49:38.340 01/03/1996]',0.012,-0.035,0.003,151.880,0.452,-0.393
'[14:49:38.342 01/03/1996]',0.012,-0.035,0.003,151.880,0.452,-0.393
'[14:49:38.344 01/03/1996]',0.012,-0.035,0.003,147.669,0.445,-0.396
'[14:49:38.346 01/03/1996]',0.012,-0.035,0.003,147.669,0.445,-0.396
'[14:49:38.348 01/03/1996]',0.012,-0.035,0.003,147.669,0.445,-0.396
'[14:49:38.350 01/03/1996]',0.012,-0.017,0.003,147.669,0.445,-0.396
'[14:49:38.352 01/03/1996]',0.012,0.002,0.003,143.083,0.433,-0.399
'[14:49:38.354 01/03/1996]',0.012,-0.017,0.003,143.083,0.433,-0.399
'[14:49:38.356 01/03/1996]',0.012,-0.035,0.003,143.083,0.433,-0.399
'[14:49:38.358 01/03/1996]',0.012,-0.035,0.003,143.083,0.433,-0.399
'[14:49:38.360 01/03/1996]',0.012,-0.035,0.003,138.346,0.415,-0.403
'[14:49:38.362 01/03/1996]',0.012,-0.035,0.003,138.346,0.415,-0.403
'[14:49:38.364 01/03/1996]',0.012,-0.017,0.003,138.346,0.415,-0.403
'[14:49:38.366 01/03/1996]',0.012,-0.017,0.003,138.346,0.415,-0.403
'[14:49:38.368 01/03/1996]',0.011,-0.017,0.003,133.383,0.392,-0.406
'[14:49:38.370 01/03/1996]',0.010,-0.017,0.003,133.383,0.392,-0.406
'[14:49:38.372 01/03/1996]',0.010,-0.017,0.003,133.383,0.392,-0.406
'[14:49:38.374 01/03/1996]',0.010,-0.035,0.003,133.383,0.392,-0.406
'[14:49:38.376 01/03/1996]',0.013,-0.035,0.003,128.571,0.365,-0.409
'[14:49:38.378 01/03/1996]',0.015,-0.035,0.003,128.571,0.365,-0.409
'[14:49:38.380 01/03/1996]',0.018,-0.017,0.003,128.571,0.365,-0.409
'[14:49:38.382 01/03/1996]',0.020,0.002,0.003,128.571,0.365,-0.409
'[14:49:38.384 01/03/1996]',0.022,0.002,0.003,123.835,0.334,-0.413
'[14:49:38.386 01/03/1996]',0.023,0.002,0.003,123.835,0.334,-0.413
'[14:49:38.388 01/03/1996]',0.024,0.002,0.038,123.835,0.334,-0.413
'[14:49:38.390 01/03/1996]',0.025,0.002,0.038,123.835,0.334,-0.413
'[14:49:38.392 01/03/1996]',0.024,0.002,0.038,119.398,0.299,-0.416
'[14:49:38.394 01/03/1996]',0.023,0.019,0.038,119.398,0.299,-0.416
'[14:49:38.396 01/03/1996]',0.024,0.019,0.038,119.398,0.299,-0.416
'[14:49:38.398 01/03/1996]',0.025,0.019,0.038,119.398,0.299,-0.416
'[14:49:38.400 01/03/1996]',0.028,0.037,0.038,115.489,0.260,-0.420
'[14:49:38.402 01/03/1996]',0.032,0.037,0.038,115.489,0.260,-0.420
'[14:49:38.404 01/03/1996]',0.037,0.037,0.038,115.489,0.260,-0.420
'[14:49:38.406 01/03/1996]',0.043,0.037,0.038,115.489,0.260,-0.420
'[14:49:38.408 01/03/1996]',0.048,0.037,0.038,112.105,0.219,-0.423
'[14:49:38.410 01/03/1996]',0.052,0.037,0.038,112.105,0.219,-0.423
'[14:49:38.412 01/03/1996]',0.056,0.056,0.038,112.105,0.219,-0.423
'[14:49:38.414 01/03/1996]',0.060,0.056,0.003,112.105,0.219,-0.423
'[14:49:38.416 01/03/1996]',0.064,0.074,0.003,109.248,0.176,-0.427
'[14:49:38.418 01/03/1996]',0.068,0.092,0.003,109.248,0.176,-0.427
'[14:49:38.420 01/03/1996]',0.071,0.092,0.003,109.248,0.176,-0.427
'[14:49:38.422 01/03/1996]',0.073,0.074,0.003,109.248,0.176,-0.427
'[14:49:38.424 01/03/1996]',0.072,0.056,0.003,106.767,0.131,-0.430
'[14:49:38.426 01/03/1996]',0.072,0.056,0.003,106.767,0.131,-0.430
'[14:49:38.428 01/03/1996]',0.070,0.074,0.003,106.767,0.131,-0.430
'[14:49:38.430 01/03/1996]',0.068,0.092,0.003,106.767,0.131,-0.430
'[14:49:38.432 01/03/1996]',0.066,0.092,0.003,104.737,0.083,-0.434
'[14:49:38.434 01/03/1996]',0.063,0.092,0.003,104.737,0.083,-0.434
'[14:49:38.436 01/03/1996]',0.059,0.092,0.003,104.737,0.083,-0.434
'[14:49:38.438 01/03/1996]',0.055,0.074,-0.033,104.737,0.083,-0.434
'[14:49:38.440 01/03/1996]',0.053,0.056,0.003,103.008,0.036,-0.438
'[14:49:38.442 01/03/1996]',0.052,0.056,0.003,103.008,0.036,-0.438
'[14:49:38.444 01/03/1996]',0.049,0.056,0.003,103.008,0.036,-0.438
'[14:49:38.446 01/03/1996]',0.047,0.074,-0.033,103.008,0.036,-0.438
'[14:49:38.448 01/03/1996]',0.044,0.074,0.003,101.429,-0.011,-0.442
