'Time and date','V','ABP','PLETH','RESP'
'[08:26:13.780 17/05/1995]',0.065,101.546,0.000,0.484
'[08:26:13.782 17/05/1995]',0.064,101.546,0.000,0.484
'[08:26:13.784 17/05/1995]',0.062,97.113,0.000,0.495
'[08:26:13.786 17/05/1995]',0.061,97.113,0.000,0.495
'[08:26:13.788 17/05/1995]',0.060,97.113,0.000,0.495
'[08:26:13.790 17/05/1995]',0.059,97.113,0.000,0.495
'[08:26:13.792 17/05/1995]',0.059,93.093,0.000,0.505
'[08:26:13.794 17/05/1995]',0.059,93.093,0.000,0.505
'[08:26:13.796 17/05/1995]',0.059,93.093,0.000,0.505
'[08:26:13.798 17/05/1995]',0.059,93.093,0.000,0.505
'[08:26:13.800 17/05/1995]',0.057,89.794,0.000,0.516
'[08:26:13.802 17/05/1995]',0.055,89.794,0.000,0.516
'[08:26:13.804 17/05/1995]',0.054,89.794,0.000,0.516
'[08:26:13.806 17/05/1995]',0.053,89.794,0.000,0.516
'[08:26:13.808 17/05/1995]',0.052,86.804,0.000,0.527
'[08:26:13.810 17/05/1995]',0.051,86.804,0.000,0.527
'[08:26:13.812 17/05/1995]',0.050,86.804,0.000,0.527
'[08:26:13.814 17/05/1995]',0.048,86.804,0.000,0.527
'[08:26:13.816 17/05/1995]',0.047,84.330,0.000,0.539
'[08:26:13.818 17/05/1995]',0.046,84.330,0.000,0.539
'[08:26:13.820 17/05/1995]',0.046,84.330,0.000,0.539
'[08:26:13.822 17/05/1995]',0.046,84.330,0.000,0.539
'[08:26:13.824 17/05/1995]',0.046,82.268,0.000,0.550
'[08:26:13.826 17/05/1995]',0.046,82.268,0.000,0.550
'[08:26:13.828 17/05/1995]',0.045,82.268,0.000,0.550
'[08:26:13.830 17/05/1995]',0.044,82.268,0.000,0.550
'[08:26:13.832 17/05/1995]',0.041,80.619,0.000,0.561
'[08:26:13.834 17/05/1995]',0.039,80.619,0.000,0.561
'[08:26:13.836 17/05/1995]',0.037,80.619,0.000,0.561
'[08:26:13.838 17/05/1995]',0.035,80.619,0.000,0.561
'[08:26:13.840 17/05/1995]',0.032,79.175,0.000,0.572
'[08:26:13.842 17/05/1995]',0.029,79.175,0.000,0.572
'[08:26:13.844 17/05/1995]',0.028,79.175,0.000,0.572
'[08:26:13.846 17/05/1995]',0.028,79.175,0.000,0.572
'[08:26:13.848 17/05/1995]',0.027,77.938,0.000,0.582
'[08:26:13.850 17/05/1995]',0.026,77.938,0.000,0.582
'[08:26:13.852 17/05/1995]',0.025,77.938,0.000,0.582
'[08:26:13.854 17/05/1995]',0.024,77.938,0.000,0.582
'[08:26:13.856 17/05/1995]',0.020,77.010,0.000,0.592
'[08:26:13.858 17/05/1995]',0.017,77.010,0.000,0.592
'[08:26:13.860 17/05/1995]',0.010,77.010,0.000,0.592
'[08:26:13.862 17/05/1995]',0.004,77.010,0.000,0.592
'[08:26:13.864 17/05/1995]',-0.004,76.186,0.000,0.603
'[08:26:13.866 17/05/1995]',-0.011,76.186,0.000,0.603
'[08:26:13.868 17/05/1995]',-0.017,76.186,0.000,0.603
'[08:26:13.870 17/05/1995]',-0.022,76.186,0.000,0.603
'[08:26:13.872 17/05/1995]',-0.026,75.464,0.000,0.613
'[08:26:13.874 17/05/1995]',-0.029,75.464,0.000,0.613
'[08:26:13.876 17/05/1995]',-0.031,75.464,0.000,0.613
'[08:26:13.878 17/05/1995]',-0.033,75.464,0.000,0.613
'[08:26:13.880 17/05/1995]',-0.034,74.845,0.000,0.624
'[08:26:13.882 17/05/1995]',-0.035,74.845,0.000,0.624
'[08:26:13.884 17/05/1995]',-0.035,74.845,0.000,0.624
'[08:26:13.886 17/05/1995]',-0.035,74.845,0.000,0.624
'[08:26:13.888 17/05/1995]',-0.034,74.433,0.000,0.635
'[08:26:13.890 17/05/1995]',-0.033,74.433,0.000,0.635
'[08:26:13.892 17/05/1995]',-0.029,74.433,0.000,0.635
'[08:26:13.894 17/05/1995]',-0.026,74.433,0.000,0.635
'[08:26:13.896 17/05/1995]',-0.018,73.918,0.000,0.645
'[08:26:13.898 17/05/1995]',-0.011,73.918,0.000,0.645
'[08:26:13.900 17/05/1995]',-0.005,73.918,0.000,0.645
'[08:26:13.902 17/05/1995]',0.002,73.918,0.000,0.645
'[08:26:13.904 17/05/1995]',0.009,73.608,0.000,0.655
'[08:26:13.906 17/05/1995]',0.017,73.608,0.000,0.655
'[08:26:13.908 17/05/1995]',0.023,73.608,0.000,0.655
'[08:26:13.910 17/05/1995]',0.029,73.608,0.000,0.655
'[08:26:13.912 17/05/1995]',0.035,73.299,0.000,0.665
'[08:26:13.914 17/05/1995]',0.040,73.299,0.000,0.665
'[08:26:13.916 17/05/1995]',0.046,73.299,0.000,0.665
'[08:26:13.918 17/05/1995]',0.051,73.299,0.000,0.665
'[08:26:13.920 17/05/1995]',0.055,72.887,0.000,0.675
'[08:26:13.922 17/05/1995]',0.059,72.887,0.000,0.675
'[08:26:13.924 17/05/1995]',0.061,72.887,0.000,0.675
'[08:26:13.926 17/05/1995]',0.062,72.887,0.000,0.675
'[08:26:13.928 17/05/1995]',0.064,72.474,0.000,0.686
'[08:26:13.930 17/05/1995]',0.066,72.474,0.000,0.686
'[08:26:13.932 17/05/1995]',0.067,72.474,0.000,0.686
'[08:26:13.934 17/05/1995]',0.068,72.474,0.000,0.686
'[08:26:13.936 17/05/1995]',0.071,71.959,0.000,0.699
'[08:26:13.938 17/05/1995]',0.073,71.959,0.000,0.699
'[08:26:13.940 17/05/1995]',0.074,71.959,0.000,0.699
'[08:26:13.942 17/05/1995]',0.075,71.959,0.000,0.699
'[08:26:13.944 17/05/1995]',0.077,71.340,0.000,0.711
'[08:26:13.946 17/05/1995]',0.079,71.340,0.000,0.711
'[08:26:13.948 17/05/1995]',0.080,71.340,0.000,0.711
'[08:26:13.950 17/05/1995]',0.081,71.340,0.000,0.711
'[08:26:13.952 17/05/1995]',0.081,70.825,0.000,0.725
'[08:26:13.954 17/05/1995]',0.081,70.825,0.000,0.725
'[08:26:13.956 17/05/1995]',0.081,70.825,0.000,0.725
'[08:26:13.958 17/05/1995]',0.081,70.825,0.000,0.725
'[08:26:13.960 17/05/1995]',0.082,70.206,0.000,0.740
'[08:26:13.962 17/05/1995]',0.083,70.206,0.000,0.740
'[08:26:13.964 17/05/1995]',0.085,70.206,0.000,0.740
'[08:26:13.966 17/05/1995]',0.088,70.206,0.000,0.740
'[08:26:13.968 17/05/1995]',0.092,69.794,0.000,0.755
'[08:26:13.970 17/05/1995]',0.096,69.794,0.000,0.755
'[08:26:13.972 17/05/1995]',0.104,69.794,0.000,0.755
'[08:26:13.974 17/05/1995]',0.112,69.794,0.000,0.755
'[08:26:13.976 17/05/1995]',0.119,69.175,0.000,0.772
'[08:26:13.978 17/05/1995]',0.127,69.175,0.000,0.772
'[08:26:13.980 17/05/1995]',0.123,69.175,0.000,0.772
'[08:26:13.982 17/05/1995]',0.119,69.175,0.000,0.772
'[08:26:13.984 17/05/1995]',0.096,68.763,0.000,0.789
'[08:26:13.986 17/05/1995]',0.072,68.763,0.000,0.789
'[08:26:13.988 17/05/1995]',0.016,68.763,0.000,0.789
'[08:26:13.990 17/05/1995]',-0.040,68.763,0.000,0.789
'[08:26:13.992 17/05/1995]',-0.132,68.247,0.000,0.808
'[08:26:13.994 17/05/1995]',-0.224,68.247,0.000,0.808
'[08:26:13.996 17/05/1995]',-0.348,68.247,0.000,0.808
'[08:26:13.998 17/05/1995]',-0.472,68.247,0.000,0.808
'[08:26:14.000 17/05/1995]',-0.612,67.835,0.000,0.829
'[08:26:14.002 17/05/1995]',-0.753,67.835,0.000,0.829
'[08:26:14.004 17/05/1995]',-0.883,67.835,0.000,0.829
'[08:26:14.006 17/05/1995]',-1.014,67.835,0.000,0.829
'[08:26:14.008 17/05/1995]',-1.101,67.423,0.000,0.850
'[08:26:14.010 17/05/1995]',-1.188,67.423,0.000,0.850
'[08:26:14.012 17/05/1995]',-1.207,67.423,0.000,0.850
'[08:26:14.014 17/05/1995]',-1.225,67.423,0.000,0.850
'[08:26:14.016 17/05/1995]',-1.172,67.010,0.000,0.871
'[08:26:14.018 17/05/1995]',-1.118,67.010,0.000,0.871
'[08:26:14.020 17/05/1995]',-1.014,67.010,0.000,0.871
'[08:26:14.022 17/05/1995]',-0.909,67.010,0.000,0.871
'[08:26:14.024 17/05/1995]',-0.785,66.598,0.000,0.890
'[08:26:14.026 17/05/1995]',-0.661,66.598,0.000,0.890
'[08:26:14.028 17/05/1995]',-0.544,66.598,0.000,0.890
'[08:26:14.030 17/05/1995]',-0.426,66.598,0.000,0.890
'[08:26:14.032 17/05/1995]',-0.328,66.186,0.000,0.908
'[08:26:14.034 17/05/1995]',-0.230,66.186,0.000,0.908
'[08:26:14.036 17/05/1995]',-0.157,66.186,0.000,0.908
'[08:26:14.038 17/05/1995]',-0.084,66.186,0.000,0.908
'[08:26:14.040 17/05/1995]',-0.032,65.773,0.000,0.926
'[08:26:14.042 17/05/1995]',0.020,65.773,0.000,0.926
'[08:26:14.044 17/05/1995]',0.057,65.773,0.000,0.926
'[08:26:14.046 17/05/1995]',0.094,65.773,0.000,0.926
'[08:26:14.048 17/05/1995]',0.118,65.258,0.000,0.944
'[08:26:14.050 17/05/1995]',0.143,65.258,0.000,0.944
'[08:26:14.052 17/05/1995]',0.159,65.258,0.000,0.944
'[08:26:14.054 17/05/1995]',0.174,65.258,0.000,0.944
'[08:26:14.056 17/05/1995]',0.182,64.845,0.000,0.959
'[08:26:14.058 17/05/1995]',0.189,64.845,0.000,0.959
'[08:26:14.060 17/05/1995]',0.193,64.845,0.000,0.959
'[08:26:14.062 17/05/1995]',0.197,64.845,0.000,0.959
'[08:26:14.064 17/05/1995]',0.199,64.433,0.000,0.974
'[08:26:14.066 17/05/1995]',0.202,64.433,0.000,0.974
'[08:26:14.068 17/05/1995]',0.205,64.433,0.000,0.974
'[08:26:14.070 17/05/1995]',0.208,64.433,0.000,0.974
'[08:26:14.072 17/05/1995]',0.208,63.814,0.000,0.987
'[08:26:14.074 17/05/1995]',0.209,63.814,0.000,0.987
'[08:26:14.076 17/05/1995]',0.208,63.814,0.000,0.987
'[08:26:14.078 17/05/1995]',0.208,63.814,0.000,0.987
'[08:26:14.080 17/05/1995]',0.208,63.402,0.000,0.998
'[08:26:14.082 17/05/1995]',0.208,63.402,0.000,0.998
'[08:26:14.084 17/05/1995]',0.208,63.402,0.000,0.998
'[08:26:14.086 17/05/1995]',0.208,63.402,0.000,0.998
'[08:26:14.088 17/05/1995]',0.208,62.887,0.000,1.004
'[08:26:14.090 17/05/1995]',0.208,62.887,0.000,1.004
'[08:26:14.092 17/05/1995]',0.207,62.887,0.000,1.004
'[08:26:14.094 17/05/1995]',0.206,62.887,0.000,1.004
'[08:26:14.096 17/05/1995]',0.204,62.371,0.000,1.008
'[08:26:14.098 17/05/1995]',0.202,62.371,0.000,1.008
'[08:26:14.100 17/05/1995]',0.200,62.371,0.000,1.008
'[08:26:14.102 17/05/1995]',0.198,62.371,0.000,1.008
'[08:26:14.104 17/05/1995]',0.196,61.753,0.000,1.007
'[08:26:14.106 17/05/1995]',0.193,61.753,0.000,1.007
'[08:26:14.108 17/05/1995]',0.191,61.753,0.000,1.007
'[08:26:14.110 17/05/1995]',0.189,61.753,0.000,1.007
'[08:26:14.112 17/05/1995]',0.187,61.134,0.000,1.004
'[08:26:14.114 17/05/1995]',0.185,61.134,0.000,1.004
'[08:26:14.116 17/05/1995]',0.186,61.134,0.000,1.004
'[08:26:14.118 17/05/1995]',0.187,61.134,0.000,1.004
'[08:26:14.120 17/05/1995]',0.187,60.619,0.000,0.998
'[08:26:14.122 17/05/1995]',0.187,60.619,0.000,0.998
'[08:26:14.124 17/05/1995]',0.186,60.619,0.000,0.998
'[08:26:14.126 17/05/1995]',0.185,60.619,0.000,0.998
'[08:26:14.128 17/05/1995]',0.184,60.103,0.000,0.990
'[08:26:14.130 17/05/1995]',0.182,60.103,0.000,0.990
'[08:26:14.132 17/05/1995]',0.180,60.103,0.000,0.990
'[08:26:14.134 17/05/1995]',0.178,60.103,0.000,0.990
'[08:26:14.136 17/05/1995]',0.176,59.691,0.000,0.980
'[08:26:14.138 17/05/1995]',0.174,59.691,0.000,0.980
'[08:26:14.140 17/05/1995]',0.173,59.691,0.000,0.980
'[08:26:14.142 17/05/1995]',0.171,59.691,0.000,0.980
'[08:26:14.144 17/05/1995]',0.170,59.794,0.000,0.968
'[08:26:14.146 17/05/1995]',0.169,59.794,0.000,0.968
'[08:26:14.148 17/05/1995]',0.168,59.794,0.000,0.968
'[08:26:14.150 17/05/1995]',0.167,59.794,0.000,0.968
'[08:26:14.152 17/05/1995]',0.167,60.825,0.000,0.954
'[08:26:14.154 17/05/1995]',0.167,60.825,0.000,0.954
'[08:26:14.156 17/05/1995]',0.167,60.825,0.000,0.954
'[08:26:14.158 17/05/1995]',0.167,60.825,0.000,0.954
'[08:26:14.160 17/05/1995]',0.167,63.505,0.000,0.939
'[08:26:14.162 17/05/1995]',0.167,63.505,0.000,0.939
'[08:26:14.164 17/05/1995]',0.167,63.505,0.000,0.939
'[08:26:14.166 17/05/1995]',0.167,63.505,0.000,0.939
'[08:26:14.168 17/05/1995]',0.166,68.144,0.000,0.921
'[08:26:14.170 17/05/1995]',0.165,68.144,0.000,0.921
'[08:26:14.172 17/05/1995]',0.163,68.144,0.000,0.921
'[08:26:14.174 17/05/1995]',0.160,68.144,0.000,0.921
'[08:26:14.176 17/05/1995]',0.157,75.052,0.000,0.903
'[08:26:14.178 17/05/1995]',0.154,75.052,0.000,0.903
'[08:26:14.180 17/05/1995]',0.152,75.052,0.000,0.903
'[08:26:14.182 17/05/1995]',0.151,75.052,0.000,0.903
'[08:26:14.184 17/05/1995]',0.149,83.608,0.000,0.883
'[08:26:14.186 17/05/1995]',0.147,83.608,0.000,0.883
'[08:26:14.188 17/05/1995]',0.143,83.608,0.000,0.883
'[08:26:14.190 17/05/1995]',0.140,83.608,0.000,0.883
'[08:26:14.192 17/05/1995]',0.136,93.093,0.000,0.863
'[08:26:14.194 17/05/1995]',0.132,93.093,0.000,0.863
'[08:26:14.196 17/05/1995]',0.129,93.093,0.000,0.863
'[08:26:14.198 17/05/1995]',0.125,93.093,0.000,0.863
'[08:26:14.200 17/05/1995]',0.122,102.784,0.000,0.841
'[08:26:14.202 17/05/1995]',0.119,102.784,0.000,0.841
'[08:26:14.204 17/05/1995]',0.116,102.784,0.000,0.841
'[08:26:14.206 17/05/1995]',0.112,102.784,0.000,0.841
'[08:26:14.208 17/05/1995]',0.108,111.959,0.000,0.819
'[08:26:14.210 17/05/1995]',0.105,111.959,0.000,0.819
'[08:26:14.212 17/05/1995]',0.102,111.959,0.000,0.819
'[08:26:14.214 17/05/1995]',0.099,111.959,0.000,0.819
'[08:26:14.216 17/05/1995]',0.096,120.309,0.000,0.797
'[08:26:14.218 17/05/1995]',0.092,120.309,0.000,0.797
'[08:26:14.220 17/05/1995]',0.088,120.309,0.000,0.797
'[08:26:14.222 17/05/1995]',0.084,120.309,0.000,0.797
'[08:26:14.224 17/05/1995]',0.082,127.526,0.000,0.776
'[08:26:14.226 17/05/1995]',0.079,127.526,0.000,0.776
'[08:26:14.228 17/05/1995]',0.076,127.526,0.000,0.776
'[08:26:14.230 17/05/1995]',0.073,127.526,0.000,0.776
'[08:26:14.232 17/05/1995]',0.072,133.814,0.000,0.756
'[08:26:14.234 17/05/1995]',0.070,133.814,0.000,0.756
'[08:26:14.236 17/05/1995]',0.069,133.814,0.000,0.756
'[08:26:14.238 17/05/1995]',0.068,133.814,0.000,0.756
'[08:26:14.240 17/05/1995]',0.067,139.072,0.000,0.736
'[08:26:14.242 17/05/1995]',0.066,139.072,0.000,0.736
'[08:26:14.244 17/05/1995]',0.065,139.072,0.000,0.736
'[08:26:14.246 17/05/1995]',0.064,139.072,0.000,0.736
'[08:26:14.248 17/05/1995]',0.062,143.299,0.000,0.715
'[08:26:14.250 17/05/1995]',0.061,143.299,0.000,0.715
'[08:26:14.252 17/05/1995]',0.059,143.299,0.000,0.715
'[08:26:14.254 17/05/1995]',0.057,143.299,0.000,0.715
'[08:26:14.256 17/05/1995]',0.055,146.701,0.000,0.694
'[08:26:14.258 17/05/1995]',0.053,146.701,0.000,0.694
'[08:26:14.260 17/05/1995]',0.053,146.701,0.000,0.694
'[08:26:14.262 17/05/1995]',0.053,146.701,0.000,0.694
'[08:26:14.264 17/05/1995]',0.053,149.072,0.000,0.673
'[08:26:14.266 17/05/1995]',0.053,149.072,0.000,0.673
'[08:26:14.268 17/05/1995]',0.052,149.072,0.000,0.673
'[08:26:14.270 17/05/1995]',0.051,149.072,0.000,0.673
'[08:26:14.272 17/05/1995]',0.050,150.722,0.000,0.652
'[08:26:14.274 17/05/1995]',0.048,150.722,0.000,0.652
'[08:26:14.276 17/05/1995]',0.047,150.722,0.000,0.652
'[08:26:14.278 17/05/1995]',0.046,150.722,0.000,0.652
'[08:26:14.280 17/05/1995]',0.046,151.649,0.000,0.633
'[08:26:14.282 17/05/1995]',0.046,151.649,0.000,0.633
'[08:26:14.284 17/05/1995]',0.046,151.649,0.000,0.633
'[08:26:14.286 17/05/1995]',0.046,151.649,0.000,0.633
'[08:26:14.288 17/05/1995]',0.046,151.753,0.000,0.615
'[08:26:14.290 17/05/1995]',0.046,151.753,0.000,0.615
'[08:26:14.292 17/05/1995]',0.046,151.753,0.000,0.615
'[08:26:14.294 17/05/1995]',0.046,151.753,0.000,0.615
'[08:26:14.296 17/05/1995]',0.046,151.340,0.000,0.597
'[08:26:14.298 17/05/1995]',0.046,151.340,0.000,0.597
'[08:26:14.300 17/05/1995]',0.046,151.340,0.000,0.597
'[08:26:14.302 17/05/1995]',0.046,151.340,0.000,0.597
'[08:26:14.304 17/05/1995]',0.045,150.309,0.000,0.581
'[08:26:14.306 17/05/1995]',0.044,150.309,0.000,0.581
'[08:26:14.308 17/05/1995]',0.042,150.309,0.000,0.581
'[08:26:14.310 17/05/1995]',0.040,150.309,0.000,0.581
'[08:26:14.312 17/05/1995]',0.039,148.866,0.000,0.565
'[08:26:14.314 17/05/1995]',0.039,148.866,0.000,0.565
'[08:26:14.316 17/05/1995]',0.037,148.866,0.000,0.565
'[08:26:14.318 17/05/1995]',0.035,148.866,0.000,0.565
'[08:26:14.320 17/05/1995]',0.032,146.804,0.000,0.550
'[08:26:14.322 17/05/1995]',0.029,146.804,0.000,0.550
'[08:26:14.324 17/05/1995]',0.028,146.804,0.000,0.550
'[08:26:14.326 17/05/1995]',0.028,146.804,0.000,0.550
'[08:26:14.328 17/05/1995]',0.027,144.227,0.000,0.537
'[08:26:14.330 17/05/1995]',0.026,144.227,0.000,0.537
'[08:26:14.332 17/05/1995]',0.027,144.227,0.000,0.537
'[08:26:14.334 17/05/1995]',0.028,144.227,0.000,0.537
'[08:26:14.336 17/05/1995]',0.029,141.237,0.000,0.524
'[08:26:14.338 17/05/1995]',0.031,141.237,0.000,0.524
'[08:26:14.340 17/05/1995]',0.034,141.237,0.000,0.524
'[08:26:14.342 17/05/1995]',0.037,141.237,0.000,0.524
'[08:26:14.344 17/05/1995]',0.039,137.835,0.000,0.511
'[08:26:14.346 17/05/1995]',0.040,137.835,0.000,0.511
'[08:26:14.348 17/05/1995]',0.043,137.835,0.000,0.511
'[08:26:14.350 17/05/1995]',0.046,137.835,0.000,0.511
'[08:26:14.352 17/05/1995]',0.047,134.021,0.000,0.498
'[08:26:14.354 17/05/1995]',0.048,134.021,0.000,0.498
'[08:26:14.356 17/05/1995]',0.047,134.021,0.000,0.498
'[08:26:14.358 17/05/1995]',0.046,134.021,0.000,0.498
'[08:26:14.360 17/05/1995]',0.046,129.897,0.000,0.485
'[08:26:14.362 17/05/1995]',0.046,129.897,0.000,0.485
'[08:26:14.364 17/05/1995]',0.046,129.897,0.000,0.485
'[08:26:14.366 17/05/1995]',0.046,129.897,0.000,0.485
'[08:26:14.368 17/05/1995]',0.046,125.258,0.000,0.473
'[08:26:14.370 17/05/1995]',0.046,125.258,0.000,0.473
'[08:26:14.372 17/05/1995]',0.047,125.258,0.000,0.473
'[08:26:14.374 17/05/1995]',0.048,125.258,0.000,0.473
'[08:26:14.376 17/05/1995]',0.051,120.206,0.000,0.462
'[08:26:14.378 17/05/1995]',0.053,120.206,0.000,0.462
'[08:26:14.380 17/05/1995]',0.056,120.206,0.000,0.462
'[08:26:14.382 17/05/1995]',0.059,120.206,0.000,0.462
'[08:26:14.384 17/05/1995]',0.061,114.948,0.000,0.451
'[08:26:14.386 17/05/1995]',0.062,114.948,0.000,0.451
'[08:26:14.388 17/05/1995]',0.064,114.948,0.000,0.451
'[08:26:14.390 17/05/1995]',0.066,114.948,0.000,0.451
'[08:26:14.392 17/05/1995]',0.066,109.588,0.000,0.440
'[08:26:14.394 17/05/1995]',0.066,109.588,0.000,0.440
'[08:26:14.396 17/05/1995]',0.066,109.588,0.000,0.440
'[08:26:14.398 17/05/1995]',0.066,109.588,0.000,0.440
'[08:26:14.400 17/05/1995]',0.066,104.536,0.000,0.430
'[08:26:14.402 17/05/1995]',0.066,104.536,0.000,0.430
'[08:26:14.404 17/05/1995]',0.065,104.536,0.000,0.430
'[08:26:14.406 17/05/1995]',0.064,104.536,0.000,0.430
'[08:26:14.408 17/05/1995]',0.062,99.794,0.000,0.420
'[08:26:14.410 17/05/1995]',0.061,99.794,0.000,0.420
'[08:26:14.412 17/05/1995]',0.060,99.794,0.000,0.420
'[08:26:14.414 17/05/1995]',0.059,99.794,0.000,0.420
'[08:26:14.416 17/05/1995]',0.059,95.567,0.000,0.411
'[08:26:14.418 17/05/1995]',0.059,95.567,0.000,0.411
'[08:26:14.420 17/05/1995]',0.060,95.567,0.000,0.411
'[08:26:14.422 17/05/1995]',0.061,95.567,0.000,0.411
'[08:26:14.424 17/05/1995]',0.060,91.856,0.000,0.403
'[08:26:14.426 17/05/1995]',0.059,91.856,0.000,0.403
'[08:26:14.428 17/05/1995]',0.056,91.856,0.000,0.403
'[08:26:14.430 17/05/1995]',0.053,91.856,0.000,0.403
'[08:26:14.432 17/05/1995]',0.052,88.557,0.000,0.394
'[08:26:14.434 17/05/1995]',0.051,88.557,0.000,0.394
'[08:26:14.436 17/05/1995]',0.050,88.557,0.000,0.394
'[08:26:14.438 17/05/1995]',0.048,88.557,0.000,0.394
'[08:26:14.440 17/05/1995]',0.047,85.876,0.000,0.386
'[08:26:14.442 17/05/1995]',0.046,85.876,0.000,0.386
'[08:26:14.444 17/05/1995]',0.046,85.876,0.000,0.386
'[08:26:14.446 17/05/1995]',0.046,85.876,0.000,0.386
'[08:26:14.448 17/05/1995]',0.045,83.608,0.000,0.378
'[08:26:14.450 17/05/1995]',0.044,83.608,0.000,0.378
'[08:26:14.452 17/05/1995]',0.043,83.608,0.000,0.378
'[08:26:14.454 17/05/1995]',0.042,83.608,0.000,0.378
'[08:26:14.456 17/05/1995]',0.044,81.753,0.000,0.369
'[08:26:14.458 17/05/1995]',0.046,81.753,0.000,0.369
'[08:26:14.460 17/05/1995]',0.046,81.753,0.000,0.369
'[08:26:14.462 17/05/1995]',0.046,81.753,0.000,0.369
'[08:26:14.464 17/05/1995]',0.043,80.206,0.000,0.362
'[08:26:14.466 17/05/1995]',0.040,80.206,0.000,0.362
'[08:26:14.468 17/05/1995]',0.039,80.206,0.000,0.362
'[08:26:14.470 17/05/1995]',0.037,80.206,0.000,0.362
'[08:26:14.472 17/05/1995]',0.035,78.866,0.000,0.356
'[08:26:14.474 17/05/1995]',0.033,78.866,0.000,0.356
'[08:26:14.476 17/05/1995]',0.032,78.866,0.000,0.356
'[08:26:14.478 17/05/1995]',0.031,78.866,0.000,0.356
'[08:26:14.480 17/05/1995]',0.029,77.732,0.000,0.351
'[08:26:14.482 17/05/1995]',0.028,77.732,0.000,0.351
'[08:26:14.484 17/05/1995]',0.027,77.732,0.000,0.351
'[08:26:14.486 17/05/1995]',0.026,77.732,0.000,0.351
'[08:26:14.488 17/05/1995]',0.025,76.804,0.000,0.348
'[08:26:14.490 17/05/1995]',0.024,76.804,0.000,0.348
'[08:26:14.492 17/05/1995]',0.021,76.804,0.000,0.348
'[08:26:14.494 17/05/1995]',0.018,76.804,0.000,0.348
'[08:26:14.496 17/05/1995]',0.014,76.082,0.000,0.344
'[08:26:14.498 17/05/1995]',0.009,76.082,0.000,0.344
'[08:26:14.500 17/05/1995]',0.002,76.082,0.000,0.344
'[08:26:14.502 17/05/1995]',-0.006,76.082,0.000,0.344
'[08:26:14.504 17/05/1995]',-0.014,75.464,0.000,0.341
'[08:26:14.506 17/05/1995]',-0.022,75.464,0.000,0.341
'[08:26:14.508 17/05/1995]',-0.029,75.464,0.000,0.341
'[08:26:14.510 17/05/1995]',-0.037,75.464,0.000,0.341
'[08:26:14.512 17/05/1995]',-0.040,74.845,0.000,0.337
'[08:26:14.514 17/05/1995]',-0.044,74.845,0.000,0.337
'[08:26:14.516 17/05/1995]',-0.046,74.845,0.000,0.337
'[08:26:14.518 17/05/1995]',-0.048,74.845,0.000,0.337
'[08:26:14.520 17/05/1995]',-0.047,74.330,0.000,0.332
'[08:26:14.522 17/05/1995]',-0.046,74.330,0.000,0.332
'[08:26:14.524 17/05/1995]',-0.043,74.330,0.000,0.332
'[08:26:14.526 17/05/1995]',-0.040,74.330,0.000,0.332
'[08:26:14.528 17/05/1995]',-0.037,73.918,0.000,0.328
'[08:26:14.530 17/05/1995]',-0.033,73.918,0.000,0.328
'[08:26:14.532 17/05/1995]',-0.028,73.918,0.000,0.328
'[08:26:14.534 17/05/1995]',-0.022,73.918,0.000,0.328
'[08:26:14.536 17/05/1995]',-0.014,73.299,0.000,0.324
'[08:26:14.538 17/05/1995]',-0.006,73.299,0.000,0.324
'[08:26:14.540 17/05/1995]',0.003,73.299,0.000,0.324
'[08:26:14.542 17/05/1995]',0.011,73.299,0.000,0.324
'[08:26:14.544 17/05/1995]',0.017,72.887,0.000,0.320
'[08:26:14.546 17/05/1995]',0.022,72.887,0.000,0.320
'[08:26:14.548 17/05/1995]',0.028,72.887,0.000,0.320
'[08:26:14.550 17/05/1995]',0.033,72.887,0.000,0.320
'[08:26:14.552 17/05/1995]',0.038,72.371,0.000,0.316
'[08:26:14.554 17/05/1995]',0.042,72.371,0.000,0.316
'[08:26:14.556 17/05/1995]',0.045,72.371,0.000,0.316
'[08:26:14.558 17/05/1995]',0.048,72.371,0.000,0.316
'[08:26:14.560 17/05/1995]',0.051,71.856,0.000,0.312
'[08:26:14.562 17/05/1995]',0.055,71.856,0.000,0.312
'[08:26:14.564 17/05/1995]',0.058,71.856,0.000,0.312
'[08:26:14.566 17/05/1995]',0.061,71.856,0.000,0.312
'[08:26:14.568 17/05/1995]',0.063,71.340,0.000,0.309
'[08:26:14.570 17/05/1995]',0.066,71.340,0.000,0.309
'[08:26:14.572 17/05/1995]',0.067,71.340,0.000,0.309
'[08:26:14.574 17/05/1995]',0.068,71.340,0.000,0.309
'[08:26:14.576 17/05/1995]',0.071,70.825,0.000,0.306
'[08:26:14.578 17/05/1995]',0.073,70.825,0.000,0.306
'[08:26:14.580 17/05/1995]',0.073,70.825,0.000,0.306
'[08:26:14.582 17/05/1995]',0.073,70.825,0.000,0.306
'[08:26:14.584 17/05/1995]',0.073,70.309,0.000,0.303
'[08:26:14.586 17/05/1995]',0.073,70.309,0.000,0.303
'[08:26:14.588 17/05/1995]',0.073,70.309,0.000,0.303
'[08:26:14.590 17/05/1995]',0.073,70.309,0.000,0.303
'[08:26:14.592 17/05/1995]',0.073,69.794,0.000,0.301
'[08:26:14.594 17/05/1995]',0.072,69.794,0.000,0.301
'[08:26:14.596 17/05/1995]',0.071,69.794,0.000,0.301
