'Time and date','III','MCL1'
'[09:32:47.366 04/12/1995]',-0.009,0.437
'[09:32:47.368 04/12/1995]',-0.007,0.437
'[09:32:47.370 04/12/1995]',-0.004,0.437
'[09:32:47.372 04/12/1995]',-0.003,0.437
'[09:32:47.374 04/12/1995]',-0.001,0.437
'[09:32:47.376 04/12/1995]',-0.001,0.437
'[09:32:47.378 04/12/1995]',-0.001,0.437
'[09:32:47.380 04/12/1995]',-0.002,0.437
'[09:32:47.382 04/12/1995]',-0.002,0.403
'[09:32:47.384 04/12/1995]',-0.004,0.403
'[09:32:47.386 04/12/1995]',-0.005,0.403
'[09:32:47.388 04/12/1995]',-0.006,0.403
'[09:32:47.390 04/12/1995]',-0.007,0.403
'[09:32:47.392 04/12/1995]',-0.007,0.403
'[09:32:47.394 04/12/1995]',-0.008,0.370
'[09:32:47.396 04/12/1995]',-0.006,0.370
'[09:32:47.398 04/12/1995]',-0.005,0.370
'[09:32:47.400 04/12/1995]',-0.004,0.370
'[09:32:47.402 04/12/1995]',-0.003,0.336
'[09:32:47.404 04/12/1995]',-0.002,0.336
'[09:32:47.406 04/12/1995]',-0.001,0.336
'[09:32:47.408 04/12/1995]',-0.001,0.336
'[09:32:47.410 04/12/1995]',-0.001,0.336
'[09:32:47.412 04/12/1995]',-0.001,0.303
'[09:32:47.414 04/12/1995]',-0.002,0.303
'[09:32:47.416 04/12/1995]',-0.004,0.269
'[09:32:47.418 04/12/1995]',-0.005,0.269
'[09:32:47.420 04/12/1995]',-0.007,0.269
'[09:32:47.422 04/12/1995]',-0.009,0.236
'[09:32:47.424 04/12/1995]',-0.011,0.236
'[09:32:47.426 04/12/1995]',-0.013,0.236
'[09:32:47.428 04/12/1995]',-0.015,0.202
'[09:32:47.430 04/12/1995]',-0.017,0.202
'[09:32:47.432 04/12/1995]',-0.018,0.169
'[09:32:47.434 04/12/1995]',-0.019,0.169
'[09:32:47.436 04/12/1995]',-0.019,0.169
'[09:32:47.438 04/12/1995]',-0.019,0.169
'[09:32:47.440 04/12/1995]',-0.019,0.169
'[09:32:47.442 04/12/1995]',-0.018,0.135
'[09:32:47.444 04/12/1995]',-0.019,0.135
'[09:32:47.446 04/12/1995]',-0.020,0.102
'[09:32:47.448 04/12/1995]',-0.023,0.102
'[09:32:47.450 04/12/1995]',-0.025,0.102
'[09:32:47.452 04/12/1995]',-0.028,0.102
'[09:32:47.454 04/12/1995]',-0.031,0.102
'[09:32:47.456 04/12/1995]',-0.033,0.068
'[09:32:47.458 04/12/1995]',-0.035,0.068
'[09:32:47.460 04/12/1995]',-0.035,0.068
'[09:32:47.462 04/12/1995]',-0.035,0.035
'[09:32:47.464 04/12/1995]',-0.035,0.035
'[09:32:47.466 04/12/1995]',-0.035,0.035
'[09:32:47.468 04/12/1995]',-0.035,0.035
'[09:32:47.470 04/12/1995]',-0.034,0.035
'[09:32:47.472 04/12/1995]',-0.035,0.035
'[09:32:47.474 04/12/1995]',-0.035,0.035
'[09:32:47.476 04/12/1995]',-0.036,0.035
'[09:32:47.478 04/12/1995]',-0.037,0.035
'[09:32:47.480 04/12/1995]',-0.037,0.003
'[09:32:47.482 04/12/1995]',-0.038,0.003
'[09:32:47.484 04/12/1995]',-0.039,0.035
'[09:32:47.486 04/12/1995]',-0.040,0.035
'[09:32:47.488 04/12/1995]',-0.042,0.003
'[09:32:47.490 04/12/1995]',-0.043,0.003
'[09:32:47.492 04/12/1995]',-0.045,0.003
'[09:32:47.494 04/12/1995]',-0.047,0.003
'[09:32:47.496 04/12/1995]',-0.048,0.003
'[09:32:47.498 04/12/1995]',-0.050,0.003
'[09:32:47.500 04/12/1995]',-0.052,0.003
'[09:32:47.502 04/12/1995]',-0.053,0.003
'[09:32:47.504 04/12/1995]',-0.054,0.003
'[09:32:47.506 04/12/1995]',-0.055,0.003
'[09:32:47.508 04/12/1995]',-0.056,0.003
'[09:32:47.510 04/12/1995]',-0.057,0.003
'[09:32:47.512 04/12/1995]',-0.058,0.003
'[09:32:47.514 04/12/1995]',-0.059,0.003
'[09:32:47.516 04/12/1995]',-0.060,0.003
'[09:32:47.518 04/12/1995]',-0.061,0.003
'[09:32:47.520 04/12/1995]',-0.064,0.003
'[09:32:47.522 04/12/1995]',-0.066,0.003
'[09:32:47.524 04/12/1995]',-0.068,0.003
'[09:32:47.526 04/12/1995]',-0.070,0.003
'[09:32:47.528 04/12/1995]',-0.071,0.003
'[09:32:47.530 04/12/1995]',-0.071,0.003
'[09:32:47.532 04/12/1995]',-0.071,0.003
'[09:32:47.534 04/12/1995]',-0.070,0.003
'[09:32:47.536 04/12/1995]',-0.069,0.003
'[09:32:47.538 04/12/1995]',-0.067,0.035
'[09:32:47.540 04/12/1995]',-0.067,0.035
'[09:32:47.542 04/12/1995]',-0.067,0.035
'[09:32:47.544 04/12/1995]',-0.069,0.035
'[09:32:47.546 04/12/1995]',-0.070,0.035
'[09:32:47.548 04/12/1995]',-0.071,0.035
'[09:32:47.550 04/12/1995]',-0.071,0.035
'[09:32:47.552 04/12/1995]',-0.071,0.035
'[09:32:47.554 04/12/1995]',-0.071,0.035
'[09:32:47.556 04/12/1995]',-0.069,0.035
'[09:32:47.558 04/12/1995]',-0.067,0.035
'[09:32:47.560 04/12/1995]',-0.064,0.035
'[09:32:47.562 04/12/1995]',-0.062,0.035
'[09:32:47.564 04/12/1995]',-0.061,0.035
'[09:32:47.566 04/12/1995]',-0.060,0.035
'[09:32:47.568 04/12/1995]',-0.060,0.035
'[09:32:47.570 04/12/1995]',-0.060,0.035
'[09:32:47.572 04/12/1995]',-0.061,0.035
'[09:32:47.574 04/12/1995]',-0.061,0.035
'[09:32:47.576 04/12/1995]',-0.061,0.035
'[09:32:47.578 04/12/1995]',-0.061,0.035
'[09:32:47.580 04/12/1995]',-0.061,0.035
'[09:32:47.582 04/12/1995]',-0.060,0.035
'[09:32:47.584 04/12/1995]',-0.060,0.035
'[09:32:47.586 04/12/1995]',-0.059,0.035
'[09:32:47.588 04/12/1995]',-0.059,0.035
'[09:32:47.590 04/12/1995]',-0.058,0.035
'[09:32:47.592 04/12/1995]',-0.058,0.035
'[09:32:47.594 04/12/1995]',-0.058,0.035
'[09:32:47.596 04/12/1995]',-0.058,0.035
'[09:32:47.598 04/12/1995]',-0.057,0.035
'[09:32:47.600 04/12/1995]',-0.058,0.035
'[09:32:47.602 04/12/1995]',-0.058,0.035
'[09:32:47.604 04/12/1995]',-0.059,0.035
'[09:32:47.606 04/12/1995]',-0.060,0.035
'[09:32:47.608 04/12/1995]',-0.061,0.035
'[09:32:47.610 04/12/1995]',-0.061,0.003
'[09:32:47.612 04/12/1995]',-0.061,0.003
'[09:32:47.614 04/12/1995]',-0.061,0.003
'[09:32:47.616 04/12/1995]',-0.061,0.003
'[09:32:47.618 04/12/1995]',-0.060,0.003
'[09:32:47.620 04/12/1995]',-0.059,0.003
'[09:32:47.622 04/12/1995]',-0.058,0.003
'[09:32:47.624 04/12/1995]',-0.058,0.003
'[09:32:47.626 04/12/1995]',-0.057,0.003
'[09:32:47.628 04/12/1995]',-0.058,0.003
'[09:32:47.630 04/12/1995]',-0.058,0.003
'[09:32:47.632 04/12/1995]',-0.058,0.003
'[09:32:47.634 04/12/1995]',-0.059,0.003
'[09:32:47.636 04/12/1995]',-0.060,0.003
'[09:32:47.638 04/12/1995]',-0.061,0.003
'[09:32:47.640 04/12/1995]',-0.062,0.003
'[09:32:47.642 04/12/1995]',-0.063,0.003
'[09:32:47.644 04/12/1995]',-0.063,0.003
'[09:32:47.646 04/12/1995]',-0.063,0.003
'[09:32:47.648 04/12/1995]',-0.063,0.003
'[09:32:47.650 04/12/1995]',-0.063,0.003
'[09:32:47.652 04/12/1995]',-0.062,0.003
'[09:32:47.654 04/12/1995]',-0.062,0.003
'[09:32:47.656 04/12/1995]',-0.061,0.003
'[09:32:47.658 04/12/1995]',-0.060,0.003
'[09:32:47.660 04/12/1995]',-0.059,0.003
'[09:32:47.662 04/12/1995]',-0.058,0.003
'[09:32:47.664 04/12/1995]',-0.058,0.003
'[09:32:47.666 04/12/1995]',-0.058,0.003
'[09:32:47.668 04/12/1995]',-0.059,0.003
'[09:32:47.670 04/12/1995]',-0.059,0.003
'[09:32:47.672 04/12/1995]',-0.060,0.003
'[09:32:47.674 04/12/1995]',-0.061,0.003
'[09:32:47.676 04/12/1995]',-0.062,0.003
'[09:32:47.678 04/12/1995]',-0.063,0.003
'[09:32:47.680 04/12/1995]',-0.063,0.003
'[09:32:47.682 04/12/1995]',-0.063,0.003
'[09:32:47.684 04/12/1995]',-0.061,0.003
'[09:32:47.686 04/12/1995]',-0.060,0.003
'[09:32:47.688 04/12/1995]',-0.058,0.003
'[09:32:47.690 04/12/1995]',-0.056,0.003
'[09:32:47.692 04/12/1995]',-0.053,0.003
'[09:32:47.694 04/12/1995]',-0.051,0.003
'[09:32:47.696 04/12/1995]',-0.048,0.003
'[09:32:47.698 04/12/1995]',-0.046,0.003
'[09:32:47.700 04/12/1995]',-0.043,0.003
'[09:32:47.702 04/12/1995]',-0.041,0.003
'[09:32:47.704 04/12/1995]',-0.038,0.003
'[09:32:47.706 04/12/1995]',-0.036,0.035
'[09:32:47.708 04/12/1995]',-0.033,0.035
'[09:32:47.710 04/12/1995]',-0.031,0.035
'[09:32:47.712 04/12/1995]',-0.027,0.035
'[09:32:47.714 04/12/1995]',-0.024,0.035
'[09:32:47.716 04/12/1995]',-0.021,0.035
'[09:32:47.718 04/12/1995]',-0.017,0.035
'[09:32:47.720 04/12/1995]',-0.015,0.035
'[09:32:47.722 04/12/1995]',-0.013,0.035
'[09:32:47.724 04/12/1995]',-0.013,0.035
'[09:32:47.726 04/12/1995]',-0.013,0.035
'[09:32:47.728 04/12/1995]',-0.014,0.003
'[09:32:47.730 04/12/1995]',-0.016,0.003
'[09:32:47.732 04/12/1995]',-0.018,0.003
'[09:32:47.734 04/12/1995]',-0.020,0.003
'[09:32:47.736 04/12/1995]',-0.021,0.003
'[09:32:47.738 04/12/1995]',-0.022,0.003
'[09:32:47.740 04/12/1995]',-0.022,0.003
'[09:32:47.742 04/12/1995]',-0.022,0.003
'[09:32:47.744 04/12/1995]',-0.022,0.003
'[09:32:47.746 04/12/1995]',-0.021,0.003
'[09:32:47.748 04/12/1995]',-0.020,0.003
'[09:32:47.750 04/12/1995]',-0.019,0.003
'[09:32:47.752 04/12/1995]',-0.019,0.003
'[09:32:47.754 04/12/1995]',-0.018,0.003
'[09:32:47.756 04/12/1995]',-0.019,0.003
'[09:32:47.758 04/12/1995]',-0.019,0.003
'[09:32:47.760 04/12/1995]',-0.020,0.003
'[09:32:47.762 04/12/1995]',-0.022,0.003
'[09:32:47.764 04/12/1995]',-0.024,0.003
'[09:32:47.766 04/12/1995]',-0.026,0.003
'[09:32:47.768 04/12/1995]',-0.029,0.003
'[09:32:47.770 04/12/1995]',-0.031,0.003
'[09:32:47.772 04/12/1995]',-0.033,0.003
'[09:32:47.774 04/12/1995]',-0.035,0.003
'[09:32:47.776 04/12/1995]',-0.037,0.003
'[09:32:47.778 04/12/1995]',-0.038,0.003
'[09:32:47.780 04/12/1995]',-0.040,0.003
'[09:32:47.782 04/12/1995]',-0.041,0.003
'[09:32:47.784 04/12/1995]',-0.041,0.003
'[09:32:47.786 04/12/1995]',-0.042,0.003
'[09:32:47.788 04/12/1995]',-0.043,0.003
'[09:32:47.790 04/12/1995]',-0.044,0.003
'[09:32:47.792 04/12/1995]',-0.045,0.003
'[09:32:47.794 04/12/1995]',-0.046,0.003
'[09:32:47.796 04/12/1995]',-0.047,0.003
'[09:32:47.798 04/12/1995]',-0.048,0.003
'[09:32:47.800 04/12/1995]',-0.049,0.003
'[09:32:47.802 04/12/1995]',-0.050,0.003
'[09:32:47.804 04/12/1995]',-0.051,0.003
'[09:32:47.806 04/12/1995]',-0.053,0.003
'[09:32:47.808 04/12/1995]',-0.054,0.003
'[09:32:47.810 04/12/1995]',-0.055,0.003
'[09:32:47.812 04/12/1995]',-0.056,0.003
'[09:32:47.814 04/12/1995]',-0.056,0.003
'[09:32:47.816 04/12/1995]',-0.056,0.003
'[09:32:47.818 04/12/1995]',-0.057,0.003
'[09:32:47.820 04/12/1995]',-0.056,0.003
'[09:32:47.822 04/12/1995]',-0.056,0.003
'[09:32:47.824 04/12/1995]',-0.056,0.003
'[09:32:47.826 04/12/1995]',-0.055,0.003
'[09:32:47.828 04/12/1995]',-0.056,0.003
'[09:32:47.830 04/12/1995]',-0.056,0.003
'[09:32:47.832 04/12/1995]',-0.057,0.003
'[09:32:47.834 04/12/1995]',-0.058,0.003
'[09:32:47.836 04/12/1995]',-0.059,0.003
'[09:32:47.838 04/12/1995]',-0.060,0.003
'[09:32:47.840 04/12/1995]',-0.061,0.003
'[09:32:47.842 04/12/1995]',-0.061,0.003
'[09:32:47.844 04/12/1995]',-0.061,0.003
'[09:32:47.846 04/12/1995]',-0.060,0.003
'[09:32:47.848 04/12/1995]',-0.059,0.003
'[09:32:47.850 04/12/1995]',-0.058,0.003
'[09:32:47.852 04/12/1995]',-0.057,0.003
'[09:32:47.854 04/12/1995]',-0.056,0.003
'[09:32:47.856 04/12/1995]',-0.052,0.003
'[09:32:47.858 04/12/1995]',-0.049,0.003
'[09:32:47.860 04/12/1995]',-0.042,-0.030
'[09:32:47.862 04/12/1995]',-0.035,-0.030
'[09:32:47.864 04/12/1995]',-0.024,-0.030
'[09:32:47.866 04/12/1995]',-0.013,-0.030
'[09:32:47.868 04/12/1995]',0.003,-0.030
'[09:32:47.870 04/12/1995]',0.019,-0.030
'[09:32:47.872 04/12/1995]',0.040,-0.064
'[09:32:47.874 04/12/1995]',0.061,-0.064
'[09:32:47.876 04/12/1995]',0.084,-0.097
'[09:32:47.878 04/12/1995]',0.108,-0.164
'[09:32:47.880 04/12/1995]',0.130,-0.198
'[09:32:47.882 04/12/1995]',0.152,-0.265
'[09:32:47.884 04/12/1995]',0.170,-0.332
'[09:32:47.886 04/12/1995]',0.187,-0.399
'[09:32:47.888 04/12/1995]',0.194,-0.498
'[09:32:47.890 04/12/1995]',0.202,-0.632
'[09:32:47.892 04/12/1995]',0.198,-0.799
'[09:32:47.894 04/12/1995]',0.194,-0.965
'[09:32:47.896 04/12/1995]',0.180,-1.132
'[09:32:47.898 04/12/1995]',0.165,-1.266
'[09:32:47.900 04/12/1995]',0.146,-1.400
'[09:32:47.902 04/12/1995]',0.127,-1.499
'[09:32:47.904 04/12/1995]',0.108,-1.600
'[09:32:47.906 04/12/1995]',0.090,-1.633
'[09:32:47.908 04/12/1995]',0.075,-1.667
'[09:32:47.910 04/12/1995]',0.061,-1.667
'[09:32:47.912 04/12/1995]',0.054,-1.633
'[09:32:47.914 04/12/1995]',0.047,-1.600
'[09:32:47.916 04/12/1995]',0.050,-1.566
'[09:32:47.918 04/12/1995]',0.053,-1.499
'[09:32:47.920 04/12/1995]',0.066,-1.432
'[09:32:47.922 04/12/1995]',0.079,-1.400
'[09:32:47.924 04/12/1995]',0.103,-1.300
'[09:32:47.926 04/12/1995]',0.128,-1.233
'[09:32:47.928 04/12/1995]',0.158,-1.132
'[09:32:47.930 04/12/1995]',0.188,-0.998
'[09:32:47.932 04/12/1995]',0.216,-0.900
'[09:32:47.934 04/12/1995]',0.243,-0.766
'[09:32:47.936 04/12/1995]',0.256,-0.632
'[09:32:47.938 04/12/1995]',0.269,-0.498
'[09:32:47.940 04/12/1995]',0.262,-0.399
'[09:32:47.942 04/12/1995]',0.255,-0.332
'[09:32:47.944 04/12/1995]',0.231,-0.265
'[09:32:47.946 04/12/1995]',0.206,-0.198
'[09:32:47.948 04/12/1995]',0.173,-0.131
'[09:32:47.950 04/12/1995]',0.139,-0.064
'[09:32:47.952 04/12/1995]',0.107,0.003
'[09:32:47.954 04/12/1995]',0.075,0.035
'[09:32:47.956 04/12/1995]',0.049,0.068
'[09:32:47.958 04/12/1995]',0.023,0.102
'[09:32:47.960 04/12/1995]',0.004,0.102
'[09:32:47.962 04/12/1995]',-0.015,0.135
'[09:32:47.964 04/12/1995]',-0.027,0.169
'[09:32:47.966 04/12/1995]',-0.040,0.202
'[09:32:47.968 04/12/1995]',-0.050,0.236
'[09:32:47.970 04/12/1995]',-0.059,0.236
'[09:32:47.972 04/12/1995]',-0.066,0.269
'[09:32:47.974 04/12/1995]',-0.074,0.269
'[09:32:47.976 04/12/1995]',-0.079,0.269
'[09:32:47.978 04/12/1995]',-0.084,0.269
'[09:32:47.980 04/12/1995]',-0.087,0.303
'[09:32:47.982 04/12/1995]',-0.089,0.303
'[09:32:47.984 04/12/1995]',-0.089,0.303
'[09:32:47.986 04/12/1995]',-0.089,0.336
'[09:32:47.988 04/12/1995]',-0.086,0.336
'[09:32:47.990 04/12/1995]',-0.084,0.336
'[09:32:47.992 04/12/1995]',-0.081,0.336
'[09:32:47.994 04/12/1995]',-0.079,0.336
'[09:32:47.996 04/12/1995]',-0.076,0.303
'[09:32:47.998 04/12/1995]',-0.074,0.303
'[09:32:48.000 04/12/1995]',-0.072,0.336
'[09:32:48.002 04/12/1995]',-0.070,0.336
'[09:32:48.004 04/12/1995]',-0.068,0.336
'[09:32:48.006 04/12/1995]',-0.067,0.336
'[09:32:48.008 04/12/1995]',-0.066,0.336
'[09:32:48.010 04/12/1995]',-0.065,0.303
'[09:32:48.012 04/12/1995]',-0.064,0.336
'[09:32:48.014 04/12/1995]',-0.064,0.336
'[09:32:48.016 04/12/1995]',-0.064,0.336
'[09:32:48.018 04/12/1995]',-0.064,0.336
'[09:32:48.020 04/12/1995]',-0.064,0.336
'[09:32:48.022 04/12/1995]',-0.064,0.336
'[09:32:48.024 04/12/1995]',-0.064,0.336
'[09:32:48.026 04/12/1995]',-0.064,0.336
'[09:32:48.028 04/12/1995]',-0.063,0.336
'[09:32:48.030 04/12/1995]',-0.062,0.336
'[09:32:48.032 04/12/1995]',-0.060,0.336
'[09:32:48.034 04/12/1995]',-0.058,0.336
'[09:32:48.036 04/12/1995]',-0.055,0.336
'[09:32:48.038 04/12/1995]',-0.053,0.370
'[09:32:48.040 04/12/1995]',-0.050,0.370
'[09:32:48.042 04/12/1995]',-0.047,0.370
'[09:32:48.044 04/12/1995]',-0.044,0.370
'[09:32:48.046 04/12/1995]',-0.041,0.370
'[09:32:48.048 04/12/1995]',-0.039,0.370
'[09:32:48.050 04/12/1995]',-0.038,0.370
'[09:32:48.052 04/12/1995]',-0.036,0.370
'[09:32:48.054 04/12/1995]',-0.034,0.403
'[09:32:48.056 04/12/1995]',-0.032,0.403
'[09:32:48.058 04/12/1995]',-0.030,0.403
'[09:32:48.060 04/12/1995]',-0.027,0.403
'[09:32:48.062 04/12/1995]',-0.025,0.403
'[09:32:48.064 04/12/1995]',-0.024,0.403
'[09:32:48.066 04/12/1995]',-0.022,0.403
'[09:32:48.068 04/12/1995]',-0.021,0.437
'[09:32:48.070 04/12/1995]',-0.019,0.437
'[09:32:48.072 04/12/1995]',-0.017,0.437
'[09:32:48.074 04/12/1995]',-0.015,0.437
'[09:32:48.076 04/12/1995]',-0.012,0.437
'[09:32:48.078 04/12/1995]',-0.010,0.437
'[09:32:48.080 04/12/1995]',-0.008,0.437
'[09:32:48.082 04/12/1995]',-0.006,0.437
'[09:32:48.084 04/12/1995]',-0.004,0.437
'[09:32:48.086 04/12/1995]',-0.002,0.437
'[09:32:48.088 04/12/1995]',-0.000,0.437
'[09:32:48.090 04/12/1995]',0.002,0.437
'[09:32:48.092 04/12/1995]',0.004,0.437
'[09:32:48.094 04/12/1995]',0.005,0.437
'[09:32:48.096 04/12/1995]',0.006,0.437
'[09:32:48.098 04/12/1995]',0.006,0.437
'[09:32:48.100 04/12/1995]',0.007,0.403
'[09:32:48.102 04/12/1995]',0.007,0.403
'[09:32:48.104 04/12/1995]',0.008,0.403
'[09:32:48.106 04/12/1995]',0.009,0.403
'[09:32:48.108 04/12/1995]',0.010,0.403
'[09:32:48.110 04/12/1995]',0.011,0.370
'[09:32:48.112 04/12/1995]',0.012,0.370
'[09:32:48.114 04/12/1995]',0.013,0.370
'[09:32:48.116 04/12/1995]',0.013,0.370
'[09:32:48.118 04/12/1995]',0.014,0.370
'[09:32:48.120 04/12/1995]',0.014,0.370
'[09:32:48.122 04/12/1995]',0.014,0.336
'[09:32:48.124 04/12/1995]',0.014,0.336
'[09:32:48.126 04/12/1995]',0.013,0.303
'[09:32:48.128 04/12/1995]',0.011,0.303
'[09:32:48.130 04/12/1995]',0.009,0.303
'[09:32:48.132 04/12/1995]',0.006,0.269
'[09:32:48.134 04/12/1995]',0.003,0.269
'[09:32:48.136 04/12/1995]',-0.001,0.269
'[09:32:48.138 04/12/1995]',-0.004,0.236
'[09:32:48.140 04/12/1995]',-0.008,0.236
'[09:32:48.142 04/12/1995]',-0.012,0.202
'[09:32:48.144 04/12/1995]',-0.014,0.202
'[09:32:48.146 04/12/1995]',-0.017,0.169
'[09:32:48.148 04/12/1995]',-0.019,0.169
'[09:32:48.150 04/12/1995]',-0.021,0.169
'[09:32:48.152 04/12/1995]',-0.023,0.169
'[09:32:48.154 04/12/1995]',-0.025,0.135
'[09:32:48.156 04/12/1995]',-0.027,0.135
'[09:32:48.158 04/12/1995]',-0.030,0.102
'[09:32:48.160 04/12/1995]',-0.032,0.102
'[09:32:48.162 04/12/1995]',-0.034,0.102
'[09:32:48.164 04/12/1995]',-0.037,0.068
'[09:32:48.166 04/12/1995]',-0.040,0.068
'[09:32:48.168 04/12/1995]',-0.042,0.068
'[09:32:48.170 04/12/1995]',-0.044,0.068
'[09:32:48.172 04/12/1995]',-0.045,0.068
'[09:32:48.174 04/12/1995]',-0.047,0.035
'[09:32:48.176 04/12/1995]',-0.049,0.035
'[09:32:48.178 04/12/1995]',-0.050,0.035
'[09:32:48.180 04/12/1995]',-0.052,0.035
'[09:32:48.182 04/12/1995]',-0.053,0.035
'[09:32:48.184 04/12/1995]',-0.055,0.035
'[09:32:48.186 04/12/1995]',-0.057,0.035
'[09:32:48.188 04/12/1995]',-0.059,0.035
'[09:32:48.190 04/12/1995]',-0.061,0.003
'[09:32:48.192 04/12/1995]',-0.064,0.003
'[09:32:48.194 04/12/1995]',-0.066,0.003
'[09:32:48.196 04/12/1995]',-0.066,0.003
'[09:32:48.198 04/12/1995]',-0.067,0.003
'[09:32:48.200 04/12/1995]',-0.066,0.003
'[09:32:48.202 04/12/1995]',-0.065,0.003
'[09:32:48.204 04/12/1995]',-0.063,0.003
'[09:32:48.206 04/12/1995]',-0.061,0.003
'[09:32:48.208 04/12/1995]',-0.060,0.003
'[09:32:48.210 04/12/1995]',-0.059,0.003
'[09:32:48.212 04/12/1995]',-0.059,0.003
'[09:32:48.214 04/12/1995]',-0.059,0.003
'[09:32:48.216 04/12/1995]',-0.061,0.003
'[09:32:48.218 04/12/1995]',-0.064,0.003
'[09:32:48.220 04/12/1995]',-0.067,0.003
'[09:32:48.222 04/12/1995]',-0.070,0.003
'[09:32:48.224 04/12/1995]',-0.073,0.003
'[09:32:48.226 04/12/1995]',-0.076,0.003
'[09:32:48.228 04/12/1995]',-0.077,0.003
'[09:32:48.230 04/12/1995]',-0.077,0.003
'[09:32:48.232 04/12/1995]',-0.077,0.003
'[09:32:48.234 04/12/1995]',-0.077,0.003
'[09:32:48.236 04/12/1995]',-0.077,0.003
'[09:32:48.238 04/12/1995]',-0.077,0.003
'[09:32:48.240 04/12/1995]',-0.077,0.003
'[09:32:48.242 04/12/1995]',-0.078,0.003
'[09:32:48.244 04/12/1995]',-0.079,0.003
'[09:32:48.246 04/12/1995]',-0.080,0.003
'[09:32:48.248 04/12/1995]',-0.082,0.003
'[09:32:48.250 04/12/1995]',-0.083,0.003
'[09:32:48.252 04/12/1995]',-0.084,0.003
'[09:32:48.254 04/12/1995]',-0.084,0.003
'[09:32:48.256 04/12/1995]',-0.084,0.003
'[09:32:48.258 04/12/1995]',-0.084,0.003
'[09:32:48.260 04/12/1995]',-0.084,0.003
'[09:32:48.262 04/12/1995]',-0.084,0.003
'[09:32:48.264 04/12/1995]',-0.084,0.003
'[09:32:48.266 04/12/1995]',-0.084,0.003
'[09:32:48.268 04/12/1995]',-0.083,0.003
'[09:32:48.270 04/12/1995]',-0.082,0.003
'[09:32:48.272 04/12/1995]',-0.081,0.003
'[09:32:48.274 04/12/1995]',-0.080,0.003
'[09:32:48.276 04/12/1995]',-0.080,0.003
'[09:32:48.278 04/12/1995]',-0.080,0.003
'[09:32:48.280 04/12/1995]',-0.080,0.003
'[09:32:48.282 04/12/1995]',-0.080,0.003
'[09:32:48.284 04/12/1995]',-0.080,0.003
'[09:32:48.286 04/12/1995]',-0.080,0.003
'[09:32:48.288 04/12/1995]',-0.080,0.035
'[09:32:48.290 04/12/1995]',-0.080,0.003
'[09:32:48.292 04/12/1995]',-0.080,0.003
'[09:32:48.294 04/12/1995]',-0.080,0.003
'[09:32:48.296 04/12/1995]',-0.081,0.003
'[09:32:48.298 04/12/1995]',-0.081,0.003
'[09:32:48.300 04/12/1995]',-0.081,0.003
'[09:32:48.302 04/12/1995]',-0.080,0.003
'[09:32:48.304 04/12/1995]',-0.080,0.003
'[09:32:48.306 04/12/1995]',-0.080,0.003
'[09:32:48.308 04/12/1995]',-0.079,0.003
'[09:32:48.310 04/12/1995]',-0.079,0.003
'[09:32:48.312 04/12/1995]',-0.079,0.003
'[09:32:48.314 04/12/1995]',-0.079,0.003
'[09:32:48.316 04/12/1995]',-0.079,0.003
'[09:32:48.318 04/12/1995]',-0.079,0.003
'[09:32:48.320 04/12/1995]',-0.079,0.003
'[09:32:48.322 04/12/1995]',-0.080,0.003
'[09:32:48.324 04/12/1995]',-0.080,0.003
'[09:32:48.326 04/12/1995]',-0.080,0.003
'[09:32:48.328 04/12/1995]',-0.079,0.003
'[09:32:48.330 04/12/1995]',-0.077,0.003
'[09:32:48.332 04/12/1995]',-0.075,0.003
'[09:32:48.334 04/12/1995]',-0.073,0.003
'[09:32:48.336 04/12/1995]',-0.070,0.003
'[09:32:48.338 04/12/1995]',-0.067,0.003
'[09:32:48.340 04/12/1995]',-0.065,0.003
'[09:32:48.342 04/12/1995]',-0.063,0.003
'[09:32:48.344 04/12/1995]',-0.062,0.003
'[09:32:48.346 04/12/1995]',-0.060,0.003
'[09:32:48.348 04/12/1995]',-0.059,0.003
'[09:32:48.350 04/12/1995]',-0.058,0.003
'[09:32:48.352 04/12/1995]',-0.058,0.003
'[09:32:48.354 04/12/1995]',-0.058,0.003
'[09:32:48.356 04/12/1995]',-0.058,0.003
'[09:32:48.358 04/12/1995]',-0.057,0.003
'[09:32:48.360 04/12/1995]',-0.056,0.003
'[09:32:48.362 04/12/1995]',-0.054,0.003
'[09:32:48.364 04/12/1995]',-0.051,0.003
'[09:32:48.366 04/12/1995]',-0.049,0.003
'[09:32:48.368 04/12/1995]',-0.048,0.003
'[09:32:48.370 04/12/1995]',-0.046,0.003
'[09:32:48.372 04/12/1995]',-0.047,0.003
'[09:32:48.374 04/12/1995]',-0.047,0.003
'[09:32:48.376 04/12/1995]',-0.049,0.003
'[09:32:48.378 04/12/1995]',-0.051,0.003
'[09:32:48.380 04/12/1995]',-0.053,0.003
'[09:32:48.382 04/12/1995]',-0.054,0.003
'[09:32:48.384 04/12/1995]',-0.056,0.003
'[09:32:48.386 04/12/1995]',-0.057,0.003
'[09:32:48.388 04/12/1995]',-0.056,0.003
'[09:32:48.390 04/12/1995]',-0.056,0.003
'[09:32:48.392 04/12/1995]',-0.055,0.003
'[09:32:48.394 04/12/1995]',-0.053,0.003
'[09:32:48.396 04/12/1995]',-0.051,0.003
'[09:32:48.398 04/12/1995]',-0.048,0.003
'[09:32:48.400 04/12/1995]',-0.046,0.003
