'Time and date','MCL1','III','V','ABP','PAP','CVP','PLETH'
'[13:30:05.246 11/01/1996]',0.067,0.022,0.067,75.600,41.450,20.700,-0.829
'[13:30:05.248 11/01/1996]',0.077,0.022,0.077,81.300,42.725,20.988,-0.746
'[13:30:05.250 11/01/1996]',0.088,0.022,0.100,81.300,42.725,20.988,-0.746
'[13:30:05.252 11/01/1996]',0.100,0.022,0.100,81.300,42.725,20.988,-0.746
'[13:30:05.254 11/01/1996]',0.100,0.034,0.111,81.300,42.725,20.988,-0.746
'[13:30:05.256 11/01/1996]',0.100,0.034,0.111,86.775,43.725,21.337,-0.630
'[13:30:05.258 11/01/1996]',0.100,0.034,0.111,86.775,43.725,21.337,-0.630
'[13:30:05.260 11/01/1996]',0.111,0.034,0.121,86.775,43.725,21.337,-0.630
'[13:30:05.262 11/01/1996]',0.133,0.034,0.133,86.775,43.725,21.337,-0.630
'[13:30:05.264 11/01/1996]',0.154,0.034,0.165,92.475,44.600,21.750,-0.493
'[13:30:05.266 11/01/1996]',0.176,0.022,0.165,92.475,44.600,21.750,-0.493
'[13:30:05.268 11/01/1996]',0.209,0.011,0.220,92.475,44.600,21.750,-0.493
'[13:30:05.270 11/01/1996]',0.253,0.011,0.264,92.475,44.600,21.750,-0.493
'[13:30:05.272 11/01/1996]',0.275,0.011,0.297,98.475,45.425,22.100,-0.329
'[13:30:05.274 11/01/1996]',0.286,0.011,0.297,98.475,45.425,22.100,-0.329
'[13:30:05.276 11/01/1996]',0.286,0.022,0.275,98.475,45.425,22.100,-0.329
'[13:30:05.278 11/01/1996]',0.286,0.022,0.264,98.475,45.425,22.100,-0.329
'[13:30:05.280 11/01/1996]',0.286,0.034,0.253,104.175,46.200,22.337,-0.144
'[13:30:05.282 11/01/1996]',0.286,0.044,0.253,104.175,46.200,22.337,-0.144
'[13:30:05.284 11/01/1996]',0.286,0.044,0.242,104.175,46.200,22.337,-0.144
'[13:30:05.286 11/01/1996]',0.275,0.056,0.242,104.175,46.200,22.337,-0.144
'[13:30:05.288 11/01/1996]',0.275,0.067,0.231,108.900,46.775,22.512,0.058
'[13:30:05.290 11/01/1996]',0.275,0.077,0.231,108.900,46.775,22.512,0.058
'[13:30:05.292 11/01/1996]',0.264,0.077,0.209,108.900,46.775,22.512,0.058
'[13:30:05.294 11/01/1996]',0.253,0.077,0.198,108.900,46.775,22.512,0.058
'[13:30:05.296 11/01/1996]',0.231,0.100,0.176,112.575,46.650,22.637,0.260
'[13:30:05.298 11/01/1996]',0.220,0.100,0.154,112.575,46.650,22.637,0.260
'[13:30:05.300 11/01/1996]',0.209,0.121,0.143,112.575,46.650,22.637,0.260
'[13:30:05.302 11/01/1996]',0.198,0.121,0.143,112.575,46.650,22.637,0.260
'[13:30:05.304 11/01/1996]',0.176,0.121,0.121,115.350,45.600,22.688,0.459
'[13:30:05.306 11/01/1996]',0.165,0.133,0.111,115.350,45.600,22.688,0.459
'[13:30:05.308 11/01/1996]',0.154,0.143,0.077,115.350,45.600,22.688,0.459
'[13:30:05.310 11/01/1996]',0.143,0.143,0.100,115.350,45.600,22.688,0.459
'[13:30:05.312 11/01/1996]',0.143,0.143,0.100,117.000,43.675,22.688,0.646
'[13:30:05.314 11/01/1996]',0.143,0.133,0.111,117.000,43.675,22.688,0.646
'[13:30:05.316 11/01/1996]',0.154,0.143,0.111,117.000,43.675,22.688,0.646
'[13:30:05.318 11/01/1996]',0.133,0.133,0.100,117.000,43.675,22.688,0.646
'[13:30:05.320 11/01/1996]',0.121,0.133,0.077,117.675,41.275,22.637,0.814
'[13:30:05.322 11/01/1996]',0.111,0.133,0.067,117.675,41.275,22.637,0.814
'[13:30:05.324 11/01/1996]',0.100,0.121,0.044,117.675,41.275,22.637,0.814
'[13:30:05.326 11/01/1996]',0.088,0.121,0.044,117.675,41.275,22.637,0.814
'[13:30:05.328 11/01/1996]',0.077,0.121,0.044,117.600,38.700,22.575,0.958
'[13:30:05.330 11/01/1996]',0.077,0.111,0.044,117.600,38.700,22.575,0.958
'[13:30:05.332 11/01/1996]',0.088,0.111,0.056,117.600,38.700,22.575,0.958
'[13:30:05.334 11/01/1996]',0.088,0.100,0.067,117.600,38.700,22.575,0.958
'[13:30:05.336 11/01/1996]',0.088,0.088,0.056,116.850,36.125,22.462,1.010
'[13:30:05.338 11/01/1996]',0.077,0.088,0.056,116.850,36.125,22.462,1.010
'[13:30:05.340 11/01/1996]',0.067,0.077,0.044,116.850,36.125,22.462,1.010
'[13:30:05.342 11/01/1996]',0.056,0.077,0.044,116.850,36.125,22.462,1.010
'[13:30:05.344 11/01/1996]',0.056,0.067,0.044,115.425,33.775,22.337,1.024
'[13:30:05.346 11/01/1996]',0.044,0.056,0.044,115.425,33.775,22.337,1.024
'[13:30:05.348 11/01/1996]',0.056,0.056,0.044,115.425,33.775,22.337,1.024
'[13:30:05.350 11/01/1996]',0.044,0.044,0.044,115.425,33.775,22.337,1.024
'[13:30:05.352 11/01/1996]',0.044,0.044,0.044,113.400,31.950,22.225,1.024
'[13:30:05.354 11/01/1996]',0.044,0.044,0.044,113.400,31.950,22.225,1.024
'[13:30:05.356 11/01/1996]',0.034,0.022,0.034,113.400,31.950,22.225,1.024
'[13:30:05.358 11/01/1996]',0.022,0.022,0.022,113.400,31.950,22.225,1.024
'[13:30:05.360 11/01/1996]',0.022,0.022,0.034,110.625,30.950,22.225,1.024
'[13:30:05.362 11/01/1996]',0.022,0.011,0.022,110.625,30.950,22.225,1.024
'[13:30:05.364 11/01/1996]',0.022,0.022,0.034,110.625,30.950,22.225,1.024
'[13:30:05.366 11/01/1996]',0.022,0.022,0.034,110.625,30.950,22.225,1.024
'[13:30:05.368 11/01/1996]',0.022,0.011,0.034,107.475,31.025,22.225,1.024
'[13:30:05.370 11/01/1996]',0.022,0.001,0.034,107.475,31.025,22.225,1.024
'[13:30:05.372 11/01/1996]',0.011,0.001,0.034,107.475,31.025,22.225,1.024
'[13:30:05.374 11/01/1996]',0.011,-0.010,0.034,107.475,31.025,22.225,1.024
'[13:30:05.376 11/01/1996]',0.011,-0.010,0.034,103.800,32.125,22.225,1.024
'[13:30:05.378 11/01/1996]',0.011,-0.010,0.034,103.800,32.125,22.225,1.024
'[13:30:05.380 11/01/1996]',0.022,-0.021,0.044,103.800,32.125,22.225,1.024
'[13:30:05.382 11/01/1996]',0.034,-0.032,0.056,103.800,32.125,22.225,1.024
'[13:30:05.384 11/01/1996]',0.034,-0.032,0.056,99.825,33.650,22.225,1.024
'[13:30:05.386 11/01/1996]',0.034,-0.032,0.056,99.825,33.650,22.225,1.024
'[13:30:05.388 11/01/1996]',0.022,-0.043,0.044,99.825,33.650,22.225,1.024
'[13:30:05.390 11/01/1996]',0.034,-0.054,0.056,99.825,33.650,22.225,1.024
'[13:30:05.392 11/01/1996]',0.044,-0.043,0.067,95.925,34.775,22.100,1.024
'[13:30:05.394 11/01/1996]',0.044,-0.065,0.056,95.925,34.775,22.100,1.024
'[13:30:05.396 11/01/1996]',0.044,-0.054,0.056,95.925,34.775,22.100,1.024
'[13:30:05.398 11/01/1996]',0.034,-0.054,0.044,95.925,34.775,22.100,1.024
'[13:30:05.400 11/01/1996]',0.011,-0.032,0.022,92.025,35.225,21.988,1.024
'[13:30:05.402 11/01/1996]',0.001,-0.021,0.001,92.025,35.225,21.988,1.024
'[13:30:05.404 11/01/1996]',-0.010,-0.021,-0.032,92.025,35.225,21.988,1.024
'[13:30:05.406 11/01/1996]',-0.032,-0.021,-0.043,92.025,35.225,21.988,1.024
'[13:30:05.408 11/01/1996]',-0.054,-0.021,-0.054,88.275,35.350,21.875,0.979
'[13:30:05.410 11/01/1996]',-0.065,-0.021,-0.065,88.275,35.350,21.875,0.979
'[13:30:05.412 11/01/1996]',-0.065,-0.021,-0.065,88.275,35.350,21.875,0.979
'[13:30:05.414 11/01/1996]',-0.065,-0.032,-0.054,88.275,35.350,21.875,0.979
'[13:30:05.416 11/01/1996]',-0.076,-0.021,-0.054,84.825,35.175,21.700,0.893
'[13:30:05.418 11/01/1996]',-0.065,-0.032,-0.043,84.825,35.175,21.700,0.893
'[13:30:05.420 11/01/1996]',-0.076,-0.043,-0.054,84.825,35.175,21.700,0.893
'[13:30:05.422 11/01/1996]',-0.076,-0.043,-0.054,84.825,35.175,21.700,0.893
'[13:30:05.424 11/01/1996]',-0.076,-0.032,-0.043,81.675,34.875,21.462,0.787
'[13:30:05.426 11/01/1996]',-0.076,-0.043,-0.054,81.675,34.875,21.462,0.787
'[13:30:05.428 11/01/1996]',-0.076,-0.043,-0.043,81.675,34.875,21.462,0.787
'[13:30:05.430 11/01/1996]',-0.076,-0.043,-0.043,81.675,34.875,21.462,0.787
'[13:30:05.432 11/01/1996]',-0.076,-0.043,-0.032,78.675,34.475,21.225,0.674
'[13:30:05.434 11/01/1996]',-0.065,-0.054,-0.032,78.675,34.475,21.225,0.674
'[13:30:05.436 11/01/1996]',-0.065,-0.054,-0.032,78.675,34.475,21.225,0.674
'[13:30:05.438 11/01/1996]',-0.076,-0.054,-0.032,78.675,34.475,21.225,0.674
'[13:30:05.440 11/01/1996]',-0.076,-0.054,-0.043,75.975,34.000,20.938,0.561
'[13:30:05.442 11/01/1996]',-0.087,-0.054,-0.054,75.975,34.000,20.938,0.561
'[13:30:05.444 11/01/1996]',-0.087,-0.054,-0.054,75.975,34.000,20.938,0.561
'[13:30:05.446 11/01/1996]',-0.087,-0.065,-0.054,75.975,34.000,20.938,0.561
'[13:30:05.448 11/01/1996]',-0.087,-0.054,-0.043,73.575,33.425,20.637,0.442
'[13:30:05.450 11/01/1996]',-0.087,-0.054,-0.043,73.575,33.425,20.637,0.442
'[13:30:05.452 11/01/1996]',-0.098,-0.065,-0.043,73.575,33.425,20.637,0.442
'[13:30:05.454 11/01/1996]',-0.098,-0.065,-0.054,73.575,33.425,20.637,0.442
'[13:30:05.456 11/01/1996]',-0.098,-0.065,-0.054,71.400,32.725,20.400,0.322
'[13:30:05.458 11/01/1996]',-0.098,-0.065,-0.065,71.400,32.725,20.400,0.322
'[13:30:05.460 11/01/1996]',-0.098,-0.054,-0.054,71.400,32.725,20.400,0.322
'[13:30:05.462 11/01/1996]',-0.098,-0.065,-0.065,71.400,32.725,20.400,0.322
'[13:30:05.464 11/01/1996]',-0.098,-0.065,-0.054,69.525,31.900,20.113,0.202
'[13:30:05.466 11/01/1996]',-0.098,-0.065,-0.043,69.525,31.900,20.113,0.202
'[13:30:05.468 11/01/1996]',-0.098,-0.065,-0.043,69.525,31.900,20.113,0.202
'[13:30:05.470 11/01/1996]',-0.087,-0.065,-0.043,69.525,31.900,20.113,0.202
'[13:30:05.472 11/01/1996]',-0.098,-0.065,-0.054,67.950,31.200,19.875,0.089
'[13:30:05.474 11/01/1996]',-0.098,-0.065,-0.065,67.950,31.200,19.875,0.089
'[13:30:05.476 11/01/1996]',-0.098,-0.065,-0.065,67.950,31.200,19.875,0.089
'[13:30:05.478 11/01/1996]',-0.098,-0.076,-0.065,67.950,31.200,19.875,0.089
'[13:30:05.480 11/01/1996]',0.001,0.001,0.001,66.600,30.775,19.650,-0.017
'[13:30:05.482 11/01/1996]',0.001,0.001,0.001,66.600,30.775,19.650,-0.017
'[13:30:05.484 11/01/1996]',0.001,0.001,0.001,66.600,30.775,19.650,-0.017
'[13:30:05.486 11/01/1996]',0.001,0.001,0.001,66.600,30.775,19.650,-0.017
'[13:30:05.488 11/01/1996]',0.001,0.001,0.001,65.475,30.600,19.462,-0.123
'[13:30:05.490 11/01/1996]',0.001,0.001,0.001,65.475,30.600,19.462,-0.123
'[13:30:05.492 11/01/1996]',0.001,0.001,0.001,65.475,30.600,19.462,-0.123
'[13:30:05.494 11/01/1996]',0.001,0.001,0.001,65.475,30.600,19.462,-0.123
'[13:30:05.496 11/01/1996]',0.001,0.001,0.001,64.575,30.725,19.350,-0.219
'[13:30:05.498 11/01/1996]',0.001,0.001,0.001,64.575,30.725,19.350,-0.219
'[13:30:05.500 11/01/1996]',0.001,0.001,0.001,64.575,30.725,19.350,-0.219
'[13:30:05.502 11/01/1996]',0.001,0.001,0.001,64.575,30.725,19.350,-0.219
'[13:30:05.504 11/01/1996]',0.001,0.001,0.001,63.675,30.850,19.238,-0.308
'[13:30:05.506 11/01/1996]',0.001,0.001,0.001,63.675,30.850,19.238,-0.308
'[13:30:05.508 11/01/1996]',0.001,0.001,0.001,63.675,30.850,19.238,-0.308
'[13:30:05.510 11/01/1996]',0.001,0.001,0.001,63.675,30.850,19.238,-0.308
'[13:30:05.512 11/01/1996]',0.001,0.001,0.001,63.000,30.950,19.175,-0.387
'[13:30:05.514 11/01/1996]',0.001,0.001,0.001,63.000,30.950,19.175,-0.387
'[13:30:05.516 11/01/1996]',0.001,0.001,0.001,63.000,30.950,19.175,-0.387
'[13:30:05.518 11/01/1996]',0.001,0.001,0.001,63.000,30.950,19.175,-0.387
'[13:30:05.520 11/01/1996]',0.001,0.001,0.001,62.475,30.950,19.175,-0.462
'[13:30:05.522 11/01/1996]',0.001,0.001,0.001,62.475,30.950,19.175,-0.462
'[13:30:05.524 11/01/1996]',0.001,0.001,0.001,62.475,30.950,19.175,-0.462
'[13:30:05.526 11/01/1996]',0.001,0.001,0.001,62.475,30.950,19.175,-0.462
'[13:30:05.528 11/01/1996]',0.001,0.001,0.001,62.100,30.775,19.113,-0.530
'[13:30:05.530 11/01/1996]',0.001,0.001,0.001,62.100,30.775,19.113,-0.530
'[13:30:05.532 11/01/1996]',0.001,0.001,0.001,62.100,30.775,19.113,-0.530
'[13:30:05.534 11/01/1996]',0.001,0.001,0.001,62.100,30.775,19.113,-0.530
'[13:30:05.536 11/01/1996]',0.001,0.001,0.001,61.875,30.550,19.113,-0.592
'[13:30:05.538 11/01/1996]',0.001,0.001,0.001,61.875,30.550,19.113,-0.592
'[13:30:05.540 11/01/1996]',0.001,0.001,0.001,61.875,30.550,19.113,-0.592
'[13:30:05.542 11/01/1996]',0.001,0.001,0.001,61.875,30.550,19.113,-0.592
'[13:30:05.544 11/01/1996]',0.001,0.001,0.001,61.725,30.250,19.175,-0.647
'[13:30:05.546 11/01/1996]',0.001,0.001,0.001,61.725,30.250,19.175,-0.647
'[13:30:05.548 11/01/1996]',0.001,0.001,0.001,61.725,30.250,19.175,-0.647
'[13:30:05.550 11/01/1996]',0.001,0.001,0.001,61.725,30.250,19.175,-0.647
'[13:30:05.552 11/01/1996]',0.001,0.001,0.001,61.650,29.975,19.288,-0.688
'[13:30:05.554 11/01/1996]',0.001,0.001,0.001,61.650,29.975,19.288,-0.688
'[13:30:05.556 11/01/1996]',0.001,0.001,0.001,61.650,29.975,19.288,-0.688
'[13:30:05.558 11/01/1996]',0.001,0.001,0.001,61.650,29.975,19.288,-0.688
'[13:30:05.560 11/01/1996]',0.001,0.001,0.001,61.650,29.725,19.413,-0.733
'[13:30:05.562 11/01/1996]',0.001,0.001,0.001,61.650,29.725,19.413,-0.733
'[13:30:05.564 11/01/1996]',0.001,0.001,0.001,61.650,29.725,19.413,-0.733
'[13:30:05.566 11/01/1996]',0.001,0.001,0.001,61.650,29.725,19.413,-0.733
'[13:30:05.568 11/01/1996]',0.001,0.001,0.001,61.725,29.550,19.700,-0.759
'[13:30:05.570 11/01/1996]',0.001,0.001,0.001,61.725,29.550,19.700,-0.759
'[13:30:05.572 11/01/1996]',0.001,0.001,0.001,61.725,29.550,19.700,-0.759
'[13:30:05.574 11/01/1996]',0.001,0.001,0.001,61.725,29.550,19.700,-0.759
'[13:30:05.576 11/01/1996]',0.001,0.001,0.001,61.875,29.550,20.175,-0.787
'[13:30:05.578 11/01/1996]',0.001,0.001,0.001,61.875,29.550,20.175,-0.787
'[13:30:05.580 11/01/1996]',0.001,0.001,0.001,61.875,29.550,20.175,-0.787
'[13:30:05.582 11/01/1996]',0.001,0.001,0.001,61.875,29.550,20.175,-0.787
'[13:30:05.584 11/01/1996]',0.001,0.001,0.001,62.025,29.675,20.762,-0.807
'[13:30:05.586 11/01/1996]',0.001,0.001,0.001,62.025,29.675,20.762,-0.807
'[13:30:05.588 11/01/1996]',0.001,0.001,0.001,62.025,29.675,20.762,-0.807
'[13:30:05.590 11/01/1996]',0.001,0.001,0.001,62.025,29.675,20.762,-0.807
'[13:30:05.592 11/01/1996]',0.001,0.001,0.001,62.175,29.975,21.337,-0.825
'[13:30:05.594 11/01/1996]',0.001,0.001,0.001,62.175,29.975,21.337,-0.825
'[13:30:05.596 11/01/1996]',0.001,0.001,0.001,62.175,29.975,21.337,-0.825
'[13:30:05.598 11/01/1996]',0.001,0.001,0.001,62.175,29.975,21.337,-0.825
'[13:30:05.600 11/01/1996]',0.001,0.001,0.001,62.325,30.375,21.875,-0.835
'[13:30:05.602 11/01/1996]',0.001,0.001,0.001,62.325,30.375,21.875,-0.835
'[13:30:05.604 11/01/1996]',0.001,0.001,0.001,62.325,30.375,21.875,-0.835
'[13:30:05.606 11/01/1996]',0.001,0.001,0.001,62.325,30.375,21.875,-0.835
'[13:30:05.608 11/01/1996]',0.001,0.001,0.001,62.475,30.775,22.400,-0.849
'[13:30:05.610 11/01/1996]',0.001,0.001,0.001,62.475,30.775,22.400,-0.849
'[13:30:05.612 11/01/1996]',0.001,0.001,0.001,62.475,30.775,22.400,-0.849
'[13:30:05.614 11/01/1996]',0.001,0.001,0.001,62.475,30.775,22.400,-0.849
'[13:30:05.616 11/01/1996]',0.001,0.001,0.001,62.625,31.075,22.750,-0.859
'[13:30:05.618 11/01/1996]',0.001,0.001,0.001,62.625,31.075,22.750,-0.859
'[13:30:05.620 11/01/1996]',0.001,0.001,0.001,62.625,31.075,22.750,-0.859
'[13:30:05.622 11/01/1996]',0.001,0.001,0.001,62.625,31.075,22.750,-0.859
'[13:30:05.624 11/01/1996]',0.001,0.001,0.001,62.850,31.075,23.038,-0.863
'[13:30:05.626 11/01/1996]',0.001,0.001,0.001,62.850,31.075,23.038,-0.863
'[13:30:05.628 11/01/1996]',0.001,0.001,0.001,62.850,31.075,23.038,-0.863
'[13:30:05.630 11/01/1996]',0.001,0.001,0.001,62.850,31.075,23.038,-0.863
'[13:30:05.632 11/01/1996]',0.001,0.001,0.001,62.925,30.950,23.275,-0.869
'[13:30:05.634 11/01/1996]',0.001,0.001,0.001,62.925,30.950,23.275,-0.869
'[13:30:05.636 11/01/1996]',0.001,0.001,0.001,62.925,30.950,23.275,-0.869
'[13:30:05.638 11/01/1996]',0.001,0.001,0.001,62.925,30.950,23.275,-0.869
'[13:30:05.640 11/01/1996]',0.001,0.001,0.001,63.075,30.775,23.400,-0.869
'[13:30:05.642 11/01/1996]',0.001,0.001,0.001,63.075,30.775,23.400,-0.869
'[13:30:05.644 11/01/1996]',0.001,0.001,0.001,63.075,30.775,23.400,-0.869
'[13:30:05.646 11/01/1996]',0.001,0.001,0.001,63.075,30.775,23.400,-0.869
'[13:30:05.648 11/01/1996]',0.001,0.001,0.001,63.150,30.725,23.512,-0.876
'[13:30:05.650 11/01/1996]',0.001,0.001,0.001,63.150,30.725,23.512,-0.876
'[13:30:05.652 11/01/1996]',0.001,0.001,0.001,63.150,30.725,23.512,-0.876
'[13:30:05.654 11/01/1996]',0.001,0.001,0.001,63.150,30.725,23.512,-0.876
'[13:30:05.656 11/01/1996]',0.001,0.001,0.001,63.150,30.725,23.625,-0.876
'[13:30:05.658 11/01/1996]',0.001,0.001,0.001,63.150,30.725,23.625,-0.876
'[13:30:05.660 11/01/1996]',0.001,0.001,0.001,63.150,30.725,23.625,-0.876
'[13:30:05.662 11/01/1996]',0.001,0.001,0.001,63.150,30.725,23.625,-0.876
'[13:30:05.664 11/01/1996]',0.001,0.001,0.001,63.225,30.725,23.688,-0.879
'[13:30:05.666 11/01/1996]',0.001,0.001,0.001,63.225,30.725,23.688,-0.879
'[13:30:05.668 11/01/1996]',0.001,0.001,0.001,63.225,30.725,23.688,-0.879
'[13:30:05.670 11/01/1996]',0.001,0.001,0.001,63.225,30.725,23.688,-0.879
'[13:30:05.672 11/01/1996]',0.001,0.001,0.001,63.225,30.550,23.625,-0.879
'[13:30:05.674 11/01/1996]',0.001,0.001,0.001,63.225,30.550,23.625,-0.879
'[13:30:05.676 11/01/1996]',0.001,0.001,0.001,63.225,30.550,23.625,-0.879
'[13:30:05.678 11/01/1996]',0.001,0.001,0.001,63.225,30.550,23.625,-0.879
'[13:30:05.680 11/01/1996]',0.001,0.001,0.001,63.225,30.075,23.575,-0.876
'[13:30:05.682 11/01/1996]',0.001,0.001,0.001,63.225,30.075,23.575,-0.876
'[13:30:05.684 11/01/1996]',0.001,0.001,0.001,63.225,30.075,23.575,-0.876
'[13:30:05.686 11/01/1996]',0.001,0.001,0.001,63.225,30.075,23.575,-0.876
'[13:30:05.688 11/01/1996]',0.001,0.001,0.001,63.150,29.325,23.400,-0.879
'[13:30:05.690 11/01/1996]',0.001,0.001,0.001,63.150,29.325,23.400,-0.879
'[13:30:05.692 11/01/1996]',0.001,0.001,0.001,63.150,29.325,23.400,-0.879
'[13:30:05.694 11/01/1996]',0.001,0.001,0.001,63.150,29.325,23.400,-0.879
'[13:30:05.696 11/01/1996]',0.001,0.001,0.001,63.150,28.500,23.163,-0.879
'[13:30:05.698 11/01/1996]',0.001,0.001,0.001,63.150,28.500,23.163,-0.879
'[13:30:05.700 11/01/1996]',0.001,0.001,0.001,63.150,28.500,23.163,-0.879
'[13:30:05.702 11/01/1996]',0.001,0.001,0.001,63.150,28.500,23.163,-0.879
'[13:30:05.704 11/01/1996]',0.001,0.001,0.001,63.150,27.900,22.925,-0.876
'[13:30:05.706 11/01/1996]',0.001,0.001,0.001,63.150,27.900,22.925,-0.876
'[13:30:05.708 11/01/1996]',0.001,0.001,0.001,63.150,27.900,22.925,-0.876
'[13:30:05.710 11/01/1996]',0.001,0.001,0.001,63.150,27.900,22.925,-0.876
'[13:30:05.712 11/01/1996]',0.001,0.001,0.001,63.225,27.725,22.688,-0.879
'[13:30:05.714 11/01/1996]',0.001,0.001,0.001,63.225,27.725,22.688,-0.879
'[13:30:05.716 11/01/1996]',0.001,0.001,0.001,63.225,27.725,22.688,-0.879
'[13:30:05.718 11/01/1996]',0.001,0.001,0.001,63.225,27.725,22.688,-0.879
'[13:30:05.720 11/01/1996]',0.001,0.001,0.001,63.300,28.025,22.512,-0.876
'[13:30:05.722 11/01/1996]',0.001,0.001,0.001,63.300,28.025,22.512,-0.876
'[13:30:05.724 11/01/1996]',0.001,0.001,0.001,63.300,28.025,22.512,-0.876
'[13:30:05.726 11/01/1996]',0.001,0.001,0.001,63.300,28.025,22.512,-0.876
'[13:30:05.728 11/01/1996]',0.001,0.001,0.001,63.375,28.625,22.462,-0.876
'[13:30:05.730 11/01/1996]',0.001,0.001,0.001,63.375,28.625,22.462,-0.876
'[13:30:05.732 11/01/1996]',0.001,0.001,0.001,63.375,28.625,22.462,-0.876
'[13:30:05.734 11/01/1996]',0.001,0.001,0.001,63.375,28.625,22.462,-0.876
'[13:30:05.736 11/01/1996]',0.001,0.001,0.001,63.525,29.150,22.512,-0.873
'[13:30:05.738 11/01/1996]',0.001,0.001,0.001,63.525,29.150,22.512,-0.873
'[13:30:05.740 11/01/1996]',0.001,0.001,0.001,63.525,29.150,22.512,-0.873
'[13:30:05.742 11/01/1996]',0.001,0.001,0.001,63.525,29.150,22.512,-0.873
'[13:30:05.744 11/01/1996]',0.001,0.001,0.001,63.375,29.600,22.575,-0.866
'[13:30:05.746 11/01/1996]',0.001,0.001,0.001,63.375,29.600,22.575,-0.866
'[13:30:05.748 11/01/1996]',0.001,0.001,0.001,63.375,29.600,22.575,-0.866
'[13:30:05.750 11/01/1996]',0.001,0.001,0.001,63.375,29.600,22.575,-0.866
'[13:30:05.752 11/01/1996]',0.001,0.001,0.001,63.225,29.975,22.688,-0.866
'[13:30:05.754 11/01/1996]',0.001,0.001,0.001,63.225,29.975,22.688,-0.866
'[13:30:05.756 11/01/1996]',0.001,0.001,0.001,63.225,29.975,22.688,-0.866
'[13:30:05.758 11/01/1996]',0.001,0.001,0.001,63.225,29.975,22.688,-0.866
'[13:30:05.760 11/01/1996]',0.001,0.001,0.001,63.075,30.200,22.812,-0.863
'[13:30:05.762 11/01/1996]',0.001,0.001,0.001,63.075,30.200,22.812,-0.863
'[13:30:05.764 11/01/1996]',0.001,0.001,0.001,63.075,30.200,22.812,-0.863
'[13:30:05.766 11/01/1996]',0.001,0.001,0.001,63.075,30.200,22.812,-0.863
'[13:30:05.768 11/01/1996]',0.001,0.001,0.001,62.775,30.325,22.988,-0.859
'[13:30:05.770 11/01/1996]',0.001,0.001,0.001,62.775,30.325,22.988,-0.859
'[13:30:05.772 11/01/1996]',0.001,0.001,0.001,62.775,30.325,22.988,-0.859
'[13:30:05.774 11/01/1996]',0.001,0.001,0.001,62.775,30.325,22.988,-0.859
'[13:30:05.776 11/01/1996]',0.001,0.001,0.001,62.475,30.200,23.100,-0.859
'[13:30:05.778 11/01/1996]',0.001,0.001,0.001,62.475,30.200,23.100,-0.859
'[13:30:05.780 11/01/1996]',0.001,0.001,0.001,62.475,30.200,23.100,-0.859
'[13:30:05.782 11/01/1996]',0.001,0.001,0.001,62.475,30.200,23.100,-0.859
'[13:30:05.784 11/01/1996]',0.001,0.001,0.001,62.175,29.975,23.212,-0.863
'[13:30:05.786 11/01/1996]',0.001,0.001,0.001,62.175,29.975,23.212,-0.863
'[13:30:05.788 11/01/1996]',0.001,0.001,0.001,62.175,29.975,23.212,-0.863
'[13:30:05.790 11/01/1996]',0.001,0.001,0.001,62.175,29.975,23.212,-0.863
'[13:30:05.792 11/01/1996]',0.001,0.001,0.001,60.825,29.075,22.925,-0.859
'[13:30:05.794 11/01/1996]',0.001,0.001,0.001,60.825,29.075,22.925,-0.859
'[13:30:05.796 11/01/1996]',0.001,0.001,0.001,60.825,29.075,22.925,-0.859
'[13:30:05.798 11/01/1996]',0.001,0.001,0.001,60.825,29.075,22.925,-0.859
'[13:30:05.800 11/01/1996]',0.001,0.001,0.001,54.825,25.975,20.762,-0.859
'[13:30:05.802 11/01/1996]',0.001,0.001,0.001,54.825,25.975,20.762,-0.859
'[13:30:05.804 11/01/1996]',0.001,0.001,0.001,54.825,25.975,20.762,-0.859
'[13:30:05.806 11/01/1996]',0.001,0.001,0.001,54.825,25.975,20.762,-0.859
'[13:30:05.808 11/01/1996]',0.001,0.001,0.001,40.425,19.000,15.312,-0.863
'[13:30:05.810 11/01/1996]',0.001,0.001,0.001,40.425,19.000,15.312,-0.863
'[13:30:05.812 11/01/1996]',0.001,0.001,0.001,40.425,19.000,15.312,-0.863
'[13:30:05.814 11/01/1996]',0.001,0.001,0.001,40.425,19.000,15.312,-0.863
'[13:30:05.816 11/01/1996]',0.001,0.001,0.001,21.225,9.925,7.987,-0.866
'[13:30:05.818 11/01/1996]',0.001,0.001,0.001,21.225,9.925,7.987,-0.866
'[13:30:05.820 11/01/1996]',0.001,0.001,0.001,21.225,9.925,7.987,-0.866
'[13:30:05.822 11/01/1996]',0.001,0.001,0.001,21.225,9.925,7.987,-0.866
'[13:30:05.824 11/01/1996]',0.001,0.001,0.001,6.825,3.125,2.538,-0.869
'[13:30:05.826 11/01/1996]',0.001,0.001,0.001,6.825,3.125,2.538,-0.869
'[13:30:05.828 11/01/1996]',0.001,0.001,0.001,6.825,3.125,2.538,-0.869
'[13:30:05.830 11/01/1996]',0.001,0.001,0.001,6.825,3.125,2.538,-0.869
'[13:30:05.832 11/01/1996]',0.001,0.001,0.001,0.975,0.425,0.362,-0.879
'[13:30:05.834 11/01/1996]',0.001,0.001,0.001,0.975,0.425,0.362,-0.879
'[13:30:05.836 11/01/1996]',0.001,0.001,0.001,0.975,0.425,0.362,-0.879
