'Time and date','II','aVR','V','ABP','PAP','CVP','PLETH'
'[15:26:36.358 06/04/1996]',0.101,0.037,-0.020,72.300,26.150,12.238,0.000
'[15:26:36.360 06/04/1996]',0.101,0.037,-0.020,71.850,26.275,12.238,0.000
'[15:26:36.362 06/04/1996]',0.101,0.056,-0.020,71.850,26.275,12.238,0.000
'[15:26:36.364 06/04/1996]',0.101,0.056,-0.020,71.850,26.275,12.238,0.000
'[15:26:36.366 06/04/1996]',0.110,0.037,-0.020,71.850,26.275,12.238,0.000
'[15:26:36.368 06/04/1996]',0.110,0.037,-0.020,71.325,26.400,12.238,0.000
'[15:26:36.370 06/04/1996]',0.110,0.037,-0.020,71.325,26.400,12.238,0.000
'[15:26:36.372 06/04/1996]',0.101,0.037,-0.020,71.325,26.400,12.238,0.000
'[15:26:36.374 06/04/1996]',0.110,0.037,-0.020,71.325,26.400,12.238,0.000
'[15:26:36.376 06/04/1996]',0.110,0.037,-0.020,70.800,26.400,12.175,0.000
'[15:26:36.378 06/04/1996]',0.110,0.037,-0.042,70.800,26.400,12.175,0.000
'[15:26:36.380 06/04/1996]',0.110,0.056,-0.020,70.800,26.400,12.175,0.000
'[15:26:36.382 06/04/1996]',0.101,0.056,-0.020,70.800,26.400,12.175,0.000
'[15:26:36.384 06/04/1996]',0.110,0.056,-0.020,70.275,26.525,12.125,0.000
'[15:26:36.386 06/04/1996]',0.110,0.056,-0.020,70.275,26.525,12.125,0.000
'[15:26:36.388 06/04/1996]',0.110,0.056,-0.020,70.275,26.525,12.125,0.000
'[15:26:36.390 06/04/1996]',0.110,0.056,-0.020,70.275,26.525,12.125,0.000
'[15:26:36.392 06/04/1996]',0.101,0.056,-0.042,69.900,26.750,12.125,0.000
'[15:26:36.394 06/04/1996]',0.110,0.056,-0.042,69.900,26.750,12.125,0.000
'[15:26:36.396 06/04/1996]',0.110,0.056,-0.042,69.900,26.750,12.125,0.000
'[15:26:36.398 06/04/1996]',0.120,0.056,-0.042,69.900,26.750,12.125,0.000
'[15:26:36.400 06/04/1996]',0.110,0.056,-0.042,69.675,27.050,12.125,0.000
'[15:26:36.402 06/04/1996]',0.120,0.056,-0.042,69.675,27.050,12.125,0.000
'[15:26:36.404 06/04/1996]',0.110,0.037,-0.042,69.675,27.050,12.125,0.000
'[15:26:36.406 06/04/1996]',0.110,0.037,-0.042,69.675,27.050,12.125,0.000
'[15:26:36.408 06/04/1996]',0.110,0.056,-0.042,69.450,27.275,12.175,0.000
'[15:26:36.410 06/04/1996]',0.110,0.056,-0.042,69.450,27.275,12.175,0.000
'[15:26:36.412 06/04/1996]',0.110,0.056,-0.042,69.450,27.275,12.175,0.000
'[15:26:36.414 06/04/1996]',0.110,0.056,-0.042,69.450,27.275,12.175,0.000
'[15:26:36.416 06/04/1996]',0.120,0.056,-0.042,69.300,27.275,12.300,0.000
'[15:26:36.418 06/04/1996]',0.120,0.074,-0.042,69.300,27.275,12.300,0.000
'[15:26:36.420 06/04/1996]',0.120,0.074,-0.042,69.300,27.275,12.300,0.000
'[15:26:36.422 06/04/1996]',0.120,0.056,-0.042,69.300,27.275,12.300,0.000
'[15:26:36.424 06/04/1996]',0.120,0.056,-0.042,69.300,27.100,12.412,0.000
'[15:26:36.426 06/04/1996]',0.129,0.056,-0.042,69.300,27.100,12.412,0.000
'[15:26:36.428 06/04/1996]',0.129,0.074,-0.042,69.300,27.100,12.412,0.000
'[15:26:36.430 06/04/1996]',0.129,0.074,-0.042,69.300,27.100,12.412,0.000
'[15:26:36.432 06/04/1996]',0.129,0.074,-0.042,69.825,26.800,12.588,0.000
'[15:26:36.434 06/04/1996]',0.129,0.074,-0.042,69.825,26.800,12.588,0.000
'[15:26:36.436 06/04/1996]',0.129,0.056,-0.042,69.825,26.800,12.588,0.000
'[15:26:36.438 06/04/1996]',0.138,0.056,-0.042,69.825,26.800,12.588,0.000
'[15:26:36.440 06/04/1996]',0.138,0.056,-0.042,71.175,26.525,12.650,0.000
'[15:26:36.442 06/04/1996]',0.138,0.056,-0.042,71.175,26.525,12.650,0.000
'[15:26:36.444 06/04/1996]',0.156,0.056,-0.042,71.175,26.525,12.650,0.000
'[15:26:36.446 06/04/1996]',0.147,0.056,-0.042,71.175,26.525,12.650,0.000
'[15:26:36.448 06/04/1996]',0.156,0.056,-0.042,73.725,26.325,12.713,0.000
'[15:26:36.450 06/04/1996]',0.156,0.056,-0.042,73.725,26.325,12.713,0.000
'[15:26:36.452 06/04/1996]',0.156,0.056,-0.042,73.725,26.325,12.713,0.000
'[15:26:36.454 06/04/1996]',0.147,0.056,-0.042,73.725,26.325,12.713,0.000
'[15:26:36.456 06/04/1996]',0.147,0.056,-0.042,77.550,26.400,12.713,0.000
'[15:26:36.458 06/04/1996]',0.147,0.056,-0.042,77.550,26.400,12.713,0.000
'[15:26:36.460 06/04/1996]',0.147,0.056,-0.042,77.550,26.400,12.713,0.000
'[15:26:36.462 06/04/1996]',0.147,0.056,-0.042,77.550,26.400,12.713,0.000
'[15:26:36.464 06/04/1996]',0.147,0.056,-0.042,82.425,26.925,12.650,0.000
'[15:26:36.466 06/04/1996]',0.147,0.074,-0.042,82.425,26.925,12.650,0.000
'[15:26:36.468 06/04/1996]',0.138,0.056,-0.042,82.425,26.925,12.650,0.000
'[15:26:36.470 06/04/1996]',0.147,0.037,-0.042,82.425,26.925,12.650,0.000
'[15:26:36.472 06/04/1996]',0.147,0.056,-0.020,87.750,27.975,12.537,0.000
'[15:26:36.474 06/04/1996]',0.138,0.056,-0.042,87.750,27.975,12.537,0.000
'[15:26:36.476 06/04/1996]',0.156,0.056,-0.020,87.750,27.975,12.537,0.000
'[15:26:36.478 06/04/1996]',0.147,0.056,-0.020,87.750,27.975,12.537,0.000
'[15:26:36.480 06/04/1996]',0.147,0.056,-0.020,92.850,29.450,12.350,0.000
'[15:26:36.482 06/04/1996]',0.138,0.056,0.002,92.850,29.450,12.350,0.000
'[15:26:36.484 06/04/1996]',0.129,0.056,0.002,92.850,29.450,12.350,0.000
'[15:26:36.486 06/04/1996]',0.129,0.056,0.002,92.850,29.450,12.350,0.000
'[15:26:36.488 06/04/1996]',0.129,0.056,0.002,97.050,31.325,12.175,0.000
'[15:26:36.490 06/04/1996]',0.120,0.056,0.002,97.050,31.325,12.175,0.000
'[15:26:36.492 06/04/1996]',0.120,0.056,0.002,97.050,31.325,12.175,0.000
'[15:26:36.494 06/04/1996]',0.129,0.037,0.002,97.050,31.325,12.175,0.000
'[15:26:36.496 06/04/1996]',0.138,0.037,0.002,100.200,33.425,12.000,0.000
'[15:26:36.498 06/04/1996]',0.138,0.037,0.023,100.200,33.425,12.000,0.000
'[15:26:36.500 06/04/1996]',0.129,0.037,0.002,100.200,33.425,12.000,0.000
'[15:26:36.502 06/04/1996]',0.129,0.037,0.023,100.200,33.425,12.000,0.000
'[15:26:36.504 06/04/1996]',0.129,0.037,0.023,102.825,35.650,11.887,0.000
'[15:26:36.506 06/04/1996]',0.120,0.019,0.023,102.825,35.650,11.887,0.000
'[15:26:36.508 06/04/1996]',0.129,0.037,0.023,102.825,35.650,11.887,0.000
'[15:26:36.510 06/04/1996]',0.120,0.037,0.023,102.825,35.650,11.887,0.000
'[15:26:36.512 06/04/1996]',0.120,0.037,0.045,105.450,37.775,11.825,0.000
'[15:26:36.514 06/04/1996]',0.120,0.037,0.045,105.450,37.775,11.825,0.000
'[15:26:36.516 06/04/1996]',0.120,0.037,0.045,105.450,37.775,11.825,0.000
'[15:26:36.518 06/04/1996]',0.120,0.037,0.045,105.450,37.775,11.825,0.000
'[15:26:36.520 06/04/1996]',0.120,0.037,0.045,107.925,39.700,11.775,0.000
'[15:26:36.522 06/04/1996]',0.120,0.037,0.045,107.925,39.700,11.775,0.000
'[15:26:36.524 06/04/1996]',0.120,0.037,0.045,107.925,39.700,11.775,0.000
'[15:26:36.526 06/04/1996]',0.110,0.037,0.045,107.925,39.700,11.775,0.000
'[15:26:36.528 06/04/1996]',0.110,0.037,0.045,110.100,41.275,11.713,0.000
'[15:26:36.530 06/04/1996]',0.110,0.037,0.045,110.100,41.275,11.713,0.000
'[15:26:36.532 06/04/1996]',0.110,0.019,0.045,110.100,41.275,11.713,0.000
'[15:26:36.534 06/04/1996]',0.101,0.019,0.045,110.100,41.275,11.713,0.000
'[15:26:36.536 06/04/1996]',0.101,0.037,0.067,111.600,42.500,11.713,0.000
'[15:26:36.538 06/04/1996]',0.092,0.019,0.045,111.600,42.500,11.713,0.000
'[15:26:36.540 06/04/1996]',0.092,0.037,0.045,111.600,42.500,11.713,0.000
'[15:26:36.542 06/04/1996]',0.092,0.037,0.045,111.600,42.500,11.713,0.000
'[15:26:36.544 06/04/1996]',0.092,0.037,0.045,112.500,43.400,11.713,0.000
'[15:26:36.546 06/04/1996]',0.092,0.037,0.045,112.500,43.400,11.713,0.000
'[15:26:36.548 06/04/1996]',0.101,0.037,0.045,112.500,43.400,11.713,0.000
'[15:26:36.550 06/04/1996]',0.110,0.037,0.045,112.500,43.400,11.713,0.000
'[15:26:36.552 06/04/1996]',0.110,0.037,0.045,113.175,43.800,11.713,0.000
'[15:26:36.554 06/04/1996]',0.110,0.019,0.045,113.175,43.800,11.713,0.000
'[15:26:36.556 06/04/1996]',0.110,0.037,0.045,113.175,43.800,11.713,0.000
'[15:26:36.558 06/04/1996]',0.101,0.019,0.045,113.175,43.800,11.713,0.000
'[15:26:36.560 06/04/1996]',0.092,0.037,0.067,113.700,43.750,11.713,0.000
'[15:26:36.562 06/04/1996]',0.092,0.037,0.045,113.700,43.750,11.713,0.000
'[15:26:36.564 06/04/1996]',0.083,0.037,0.045,113.700,43.750,11.713,0.000
'[15:26:36.566 06/04/1996]',0.083,0.037,0.045,113.700,43.750,11.713,0.000
'[15:26:36.568 06/04/1996]',0.083,0.037,0.045,114.150,43.325,11.600,0.000
'[15:26:36.570 06/04/1996]',0.083,0.037,0.045,114.150,43.325,11.600,0.000
'[15:26:36.572 06/04/1996]',0.101,0.037,0.045,114.150,43.325,11.600,0.000
'[15:26:36.574 06/04/1996]',0.101,0.037,0.045,114.150,43.325,11.600,0.000
'[15:26:36.576 06/04/1996]',0.101,0.037,0.045,114.150,42.450,11.475,0.000
'[15:26:36.578 06/04/1996]',0.110,0.037,0.045,114.150,42.450,11.475,0.000
'[15:26:36.580 06/04/1996]',0.101,0.037,0.045,114.150,42.450,11.475,0.000
'[15:26:36.582 06/04/1996]',0.110,0.037,0.045,114.150,42.450,11.475,0.000
'[15:26:36.584 06/04/1996]',0.120,0.037,0.045,113.475,41.275,11.238,0.000
'[15:26:36.586 06/04/1996]',0.110,0.037,0.045,113.475,41.275,11.238,0.000
'[15:26:36.588 06/04/1996]',0.101,0.037,0.045,113.475,41.275,11.238,0.000
'[15:26:36.590 06/04/1996]',0.101,0.037,0.045,113.475,41.275,11.238,0.000
'[15:26:36.592 06/04/1996]',0.110,0.037,0.045,112.500,39.825,10.887,0.000
'[15:26:36.594 06/04/1996]',0.120,0.037,0.045,112.500,39.825,10.887,0.000
'[15:26:36.596 06/04/1996]',0.101,0.037,0.045,112.500,39.825,10.887,0.000
'[15:26:36.598 06/04/1996]',0.110,0.037,0.045,112.500,39.825,10.887,0.000
'[15:26:36.600 06/04/1996]',0.120,0.037,0.045,111.375,38.050,10.363,0.000
'[15:26:36.602 06/04/1996]',0.110,0.037,0.045,111.375,38.050,10.363,0.000
'[15:26:36.604 06/04/1996]',0.110,0.037,0.045,111.375,38.050,10.363,0.000
'[15:26:36.606 06/04/1996]',0.101,0.037,0.045,111.375,38.050,10.363,0.000
'[15:26:36.608 06/04/1996]',0.101,0.037,0.045,109.950,35.950,9.725,0.000
'[15:26:36.610 06/04/1996]',0.101,0.037,0.045,109.950,35.950,9.725,0.000
'[15:26:36.612 06/04/1996]',0.110,0.037,0.045,109.950,35.950,9.725,0.000
'[15:26:36.614 06/04/1996]',0.110,0.037,0.045,109.950,35.950,9.725,0.000
'[15:26:36.616 06/04/1996]',0.110,0.037,0.045,108.075,33.475,9.012,0.000
'[15:26:36.618 06/04/1996]',0.110,0.037,0.045,108.075,33.475,9.012,0.000
'[15:26:36.620 06/04/1996]',0.101,0.037,0.045,108.075,33.475,9.012,0.000
'[15:26:36.622 06/04/1996]',0.092,0.037,0.045,108.075,33.475,9.012,0.000
'[15:26:36.624 06/04/1996]',0.092,0.037,0.045,105.600,30.675,8.250,0.000
'[15:26:36.626 06/04/1996]',0.110,0.037,0.045,105.600,30.675,8.250,0.000
'[15:26:36.628 06/04/1996]',0.110,0.019,0.023,105.600,30.675,8.250,0.000
'[15:26:36.630 06/04/1996]',0.110,0.019,0.023,105.600,30.675,8.250,0.000
'[15:26:36.632 06/04/1996]',0.120,0.037,0.045,102.525,27.850,7.438,0.000
'[15:26:36.634 06/04/1996]',0.129,0.019,0.023,102.525,27.850,7.438,0.000
'[15:26:36.636 06/04/1996]',0.129,0.019,0.045,102.525,27.850,7.438,0.000
'[15:26:36.638 06/04/1996]',0.129,0.019,0.045,102.525,27.850,7.438,0.000
'[15:26:36.640 06/04/1996]',0.129,0.019,0.045,99.000,25.100,6.550,0.000
'[15:26:36.642 06/04/1996]',0.120,0.037,0.045,99.000,25.100,6.550,0.000
'[15:26:36.644 06/04/1996]',0.120,0.037,0.045,99.000,25.100,6.550,0.000
'[15:26:36.646 06/04/1996]',0.110,0.037,0.023,99.000,25.100,6.550,0.000
'[15:26:36.648 06/04/1996]',0.120,0.037,0.045,95.400,22.525,5.675,0.000
'[15:26:36.650 06/04/1996]',0.120,0.037,0.045,95.400,22.525,5.675,0.000
'[15:26:36.652 06/04/1996]',0.138,0.037,0.045,95.400,22.525,5.675,0.000
'[15:26:36.654 06/04/1996]',0.138,0.019,0.045,95.400,22.525,5.675,0.000
'[15:26:36.656 06/04/1996]',0.138,0.002,0.045,92.100,20.250,4.800,0.000
'[15:26:36.658 06/04/1996]',0.147,0.002,0.045,92.100,20.250,4.800,0.000
'[15:26:36.660 06/04/1996]',0.147,0.002,0.023,92.100,20.250,4.800,0.000
'[15:26:36.662 06/04/1996]',0.138,0.002,0.023,92.100,20.250,4.800,0.000
'[15:26:36.664 06/04/1996]',0.147,0.019,0.045,89.775,18.300,3.975,0.000
'[15:26:36.666 06/04/1996]',0.147,0.002,0.023,89.775,18.300,3.975,0.000
'[15:26:36.668 06/04/1996]',0.147,0.019,0.045,89.775,18.300,3.975,0.000
'[15:26:36.670 06/04/1996]',0.138,0.019,0.045,89.775,18.300,3.975,0.000
'[15:26:36.672 06/04/1996]',0.138,0.019,0.045,88.350,16.775,3.275,0.000
'[15:26:36.674 06/04/1996]',0.138,0.002,0.045,88.350,16.775,3.275,0.000
'[15:26:36.676 06/04/1996]',0.147,0.002,0.045,88.350,16.775,3.275,0.000
'[15:26:36.678 06/04/1996]',0.147,0.002,0.045,88.350,16.775,3.275,0.000
'[15:26:36.680 06/04/1996]',0.147,0.002,0.045,87.600,15.725,2.688,0.000
'[15:26:36.682 06/04/1996]',0.147,0.002,0.045,87.600,15.725,2.688,0.000
'[15:26:36.684 06/04/1996]',0.138,0.002,0.045,87.600,15.725,2.688,0.000
'[15:26:36.686 06/04/1996]',0.138,0.019,0.045,87.600,15.725,2.688,0.000
'[15:26:36.688 06/04/1996]',0.138,0.019,0.045,86.925,15.025,2.100,0.000
'[15:26:36.690 06/04/1996]',0.138,0.002,0.045,86.925,15.025,2.100,0.000
'[15:26:36.692 06/04/1996]',0.138,0.002,0.045,86.925,15.025,2.100,0.000
'[15:26:36.694 06/04/1996]',0.138,0.002,0.023,86.925,15.025,2.100,0.000
'[15:26:36.696 06/04/1996]',0.147,0.019,0.045,86.025,14.550,1.512,0.000
'[15:26:36.698 06/04/1996]',0.138,0.002,0.045,86.025,14.550,1.512,0.000
'[15:26:36.700 06/04/1996]',0.138,0.019,0.045,86.025,14.550,1.512,0.000
'[15:26:36.702 06/04/1996]',0.138,0.019,0.045,86.025,14.550,1.512,0.000
'[15:26:36.704 06/04/1996]',0.138,0.019,0.045,84.975,14.450,1.050,0.000
'[15:26:36.706 06/04/1996]',0.129,0.019,0.023,84.975,14.450,1.050,0.000
'[15:26:36.708 06/04/1996]',0.129,0.019,0.023,84.975,14.450,1.050,0.000
'[15:26:36.710 06/04/1996]',0.120,0.037,0.023,84.975,14.450,1.050,0.000
'[15:26:36.712 06/04/1996]',0.110,0.037,0.045,84.000,14.450,0.700,0.000
'[15:26:36.714 06/04/1996]',0.110,0.037,0.023,84.000,14.450,0.700,0.000
'[15:26:36.716 06/04/1996]',0.110,0.037,0.045,84.000,14.450,0.700,0.000
'[15:26:36.718 06/04/1996]',0.101,0.037,0.045,84.000,14.450,0.700,0.000
'[15:26:36.720 06/04/1996]',0.101,0.037,0.045,82.950,14.550,0.463,0.000
'[15:26:36.722 06/04/1996]',0.101,0.037,0.045,82.950,14.550,0.463,0.000
'[15:26:36.724 06/04/1996]',0.092,0.037,0.023,82.950,14.550,0.463,0.000
'[15:26:36.726 06/04/1996]',0.092,0.019,0.045,82.950,14.550,0.463,0.000
'[15:26:36.728 06/04/1996]',0.101,0.037,0.045,81.825,14.800,0.237,0.000
'[15:26:36.730 06/04/1996]',0.101,0.037,0.045,81.825,14.800,0.237,0.000
'[15:26:36.732 06/04/1996]',0.101,0.037,0.045,81.825,14.800,0.237,0.000
'[15:26:36.734 06/04/1996]',0.092,0.037,0.045,81.825,14.800,0.237,0.000
'[15:26:36.736 06/04/1996]',0.092,0.037,0.045,80.775,15.025,0.000,0.000
'[15:26:36.738 06/04/1996]',0.083,0.037,0.045,80.775,15.025,0.000,0.000
'[15:26:36.740 06/04/1996]',0.083,0.037,0.045,80.775,15.025,0.000,0.000
'[15:26:36.742 06/04/1996]',0.083,0.037,0.045,80.775,15.025,0.000,0.000
'[15:26:36.744 06/04/1996]',0.092,0.037,0.045,79.575,15.275,-0.350,0.000
'[15:26:36.746 06/04/1996]',0.092,0.056,0.045,79.575,15.275,-0.350,0.000
'[15:26:36.748 06/04/1996]',0.092,0.037,0.045,79.575,15.275,-0.350,0.000
'[15:26:36.750 06/04/1996]',0.083,0.056,0.045,79.575,15.275,-0.350,0.000
'[15:26:36.752 06/04/1996]',0.074,0.056,0.045,78.525,15.450,-0.637,0.000
'[15:26:36.754 06/04/1996]',0.065,0.056,0.045,78.525,15.450,-0.637,0.000
'[15:26:36.756 06/04/1996]',0.065,0.056,0.045,78.525,15.450,-0.637,0.000
'[15:26:36.758 06/04/1996]',0.055,0.056,0.045,78.525,15.450,-0.637,0.000
'[15:26:36.760 06/04/1996]',0.055,0.074,0.045,77.550,15.550,-0.938,0.000
'[15:26:36.762 06/04/1996]',0.065,0.056,0.045,77.550,15.550,-0.938,0.000
'[15:26:36.764 06/04/1996]',0.065,0.074,0.045,77.550,15.550,-0.938,0.000
'[15:26:36.766 06/04/1996]',0.074,0.056,0.045,77.550,15.550,-0.938,0.000
'[15:26:36.768 06/04/1996]',0.074,0.056,0.045,76.725,15.500,-1.113,0.000
'[15:26:36.770 06/04/1996]',0.074,0.056,0.045,76.725,15.500,-1.113,0.000
'[15:26:36.772 06/04/1996]',0.074,0.056,0.045,76.725,15.500,-1.113,0.000
'[15:26:36.774 06/04/1996]',0.065,0.056,0.045,76.725,15.500,-1.113,0.000
'[15:26:36.776 06/04/1996]',0.065,0.074,0.045,75.825,15.275,-1.288,0.000
'[15:26:36.778 06/04/1996]',0.065,0.074,0.045,75.825,15.275,-1.288,0.000
'[15:26:36.780 06/04/1996]',0.065,0.074,0.045,75.825,15.275,-1.288,0.000
'[15:26:36.782 06/04/1996]',0.065,0.074,0.045,75.825,15.275,-1.288,0.000
'[15:26:36.784 06/04/1996]',0.065,0.074,0.067,75.075,14.975,-1.462,0.000
'[15:26:36.786 06/04/1996]',0.074,0.074,0.045,75.075,14.975,-1.462,0.000
'[15:26:36.788 06/04/1996]',0.065,0.056,0.045,75.075,14.975,-1.462,0.000
'[15:26:36.790 06/04/1996]',0.055,0.056,0.045,75.075,14.975,-1.462,0.000
'[15:26:36.792 06/04/1996]',0.065,0.074,0.045,74.325,14.450,-1.637,0.000
'[15:26:36.794 06/04/1996]',0.074,0.056,0.045,74.325,14.450,-1.637,0.000
'[15:26:36.796 06/04/1996]',0.074,0.074,0.045,74.325,14.450,-1.637,0.000
'[15:26:36.798 06/04/1996]',0.083,0.074,0.045,74.325,14.450,-1.637,0.000
'[15:26:36.800 06/04/1996]',0.083,0.074,0.045,73.800,13.800,-1.875,0.000
'[15:26:36.802 06/04/1996]',0.083,0.074,0.045,73.800,13.800,-1.875,0.000
'[15:26:36.804 06/04/1996]',0.074,0.074,0.045,73.800,13.800,-1.875,0.000
'[15:26:36.806 06/04/1996]',0.055,0.074,0.045,73.800,13.800,-1.875,0.000
'[15:26:36.808 06/04/1996]',0.065,0.074,0.045,73.275,13.025,-1.988,0.000
'[15:26:36.810 06/04/1996]',0.065,0.074,0.045,73.275,13.025,-1.988,0.000
'[15:26:36.812 06/04/1996]',0.055,0.074,0.045,73.275,13.025,-1.988,0.000
'[15:26:36.814 06/04/1996]',0.065,0.074,0.067,73.275,13.025,-1.988,0.000
'[15:26:36.816 06/04/1996]',0.074,0.074,0.045,72.825,12.275,-2.050,0.000
'[15:26:36.818 06/04/1996]',0.074,0.074,0.045,72.825,12.275,-2.050,0.000
'[15:26:36.820 06/04/1996]',0.065,0.074,0.045,72.825,12.275,-2.050,0.000
'[15:26:36.822 06/04/1996]',0.065,0.074,0.045,72.825,12.275,-2.050,0.000
'[15:26:36.824 06/04/1996]',0.074,0.074,0.067,72.375,11.575,-1.988,0.000
'[15:26:36.826 06/04/1996]',0.065,0.056,0.067,72.375,11.575,-1.988,0.000
'[15:26:36.828 06/04/1996]',0.065,0.074,0.067,72.375,11.575,-1.988,0.000
'[15:26:36.830 06/04/1996]',0.065,0.074,0.067,72.375,11.575,-1.988,0.000
'[15:26:36.832 06/04/1996]',0.065,0.074,0.067,71.850,10.800,-1.925,0.000
'[15:26:36.834 06/04/1996]',0.065,0.074,0.067,71.850,10.800,-1.925,0.000
'[15:26:36.836 06/04/1996]',0.074,0.074,0.067,71.850,10.800,-1.925,0.000
'[15:26:36.838 06/04/1996]',0.074,0.074,0.045,71.850,10.800,-1.925,0.000
'[15:26:36.840 06/04/1996]',0.083,0.074,0.045,71.400,10.050,-1.812,0.000
'[15:26:36.842 06/04/1996]',0.092,0.074,0.045,71.400,10.050,-1.812,0.000
'[15:26:36.844 06/04/1996]',0.101,0.074,0.045,71.400,10.050,-1.812,0.000
'[15:26:36.846 06/04/1996]',0.110,0.074,0.045,71.400,10.050,-1.812,0.000
'[15:26:36.848 06/04/1996]',0.110,0.074,0.023,70.875,9.175,-1.700,0.000
'[15:26:36.850 06/04/1996]',0.120,0.074,0.002,70.875,9.175,-1.700,0.000
'[15:26:36.852 06/04/1996]',0.120,0.074,0.002,70.875,9.175,-1.700,0.000
'[15:26:36.854 06/04/1996]',0.120,0.074,0.002,70.875,9.175,-1.700,0.000
'[15:26:36.856 06/04/1996]',0.138,0.056,0.002,70.200,8.350,-1.525,0.000
'[15:26:36.858 06/04/1996]',0.138,0.037,0.023,70.200,8.350,-1.525,0.000
'[15:26:36.860 06/04/1996]',0.147,0.019,0.045,70.200,8.350,-1.525,0.000
'[15:26:36.862 06/04/1996]',0.165,0.002,0.067,70.200,8.350,-1.525,0.000
'[15:26:36.864 06/04/1996]',0.183,0.002,0.089,69.600,7.700,-1.337,0.000
'[15:26:36.866 06/04/1996]',0.193,-0.035,0.111,69.600,7.700,-1.337,0.000
'[15:26:36.868 06/04/1996]',0.211,-0.053,0.133,69.600,7.700,-1.337,0.000
'[15:26:36.870 06/04/1996]',0.229,-0.108,0.177,69.600,7.700,-1.337,0.000
'[15:26:36.872 06/04/1996]',0.229,-0.145,0.221,69.000,7.225,-1.163,0.000
'[15:26:36.874 06/04/1996]',0.229,-0.182,0.265,69.000,7.225,-1.163,0.000
'[15:26:36.876 06/04/1996]',0.220,-0.200,0.309,69.000,7.225,-1.163,0.000
'[15:26:36.878 06/04/1996]',0.202,-0.218,0.352,69.000,7.225,-1.163,0.000
'[15:26:36.880 06/04/1996]',0.165,-0.237,0.396,68.475,7.000,-1.050,0.000
'[15:26:36.882 06/04/1996]',0.110,-0.218,0.418,68.475,7.000,-1.050,0.000
'[15:26:36.884 06/04/1996]',0.055,-0.218,0.440,68.475,7.000,-1.050,0.000
'[15:26:36.886 06/04/1996]',0.001,-0.182,0.440,68.475,7.000,-1.050,0.000
'[15:26:36.888 06/04/1996]',-0.018,-0.163,0.440,68.025,7.000,-1.050,0.000
'[15:26:36.890 06/04/1996]',-0.054,-0.145,0.418,68.025,7.000,-1.050,0.000
'[15:26:36.892 06/04/1996]',-0.072,-0.108,0.418,68.025,7.000,-1.050,0.000
'[15:26:36.894 06/04/1996]',-0.109,-0.072,0.396,68.025,7.000,-1.050,0.000
'[15:26:36.896 06/04/1996]',-0.118,-0.035,0.374,67.650,7.175,-1.225,0.000
'[15:26:36.898 06/04/1996]',-0.118,0.002,0.330,67.650,7.175,-1.225,0.000
'[15:26:36.900 06/04/1996]',-0.109,0.002,0.309,67.650,7.175,-1.225,0.000
'[15:26:36.902 06/04/1996]',-0.109,0.019,0.265,67.650,7.175,-1.225,0.000
'[15:26:36.904 06/04/1996]',-0.100,0.037,0.221,67.200,7.400,-1.575,0.000
'[15:26:36.906 06/04/1996]',-0.082,0.037,0.199,67.200,7.400,-1.575,0.000
'[15:26:36.908 06/04/1996]',-0.072,0.056,0.177,67.200,7.400,-1.575,0.000
'[15:26:36.910 06/04/1996]',-0.054,0.074,0.155,67.200,7.400,-1.575,0.000
'[15:26:36.912 06/04/1996]',-0.036,0.074,0.133,66.825,7.575,-2.050,0.000
'[15:26:36.914 06/04/1996]',-0.018,0.092,0.089,66.825,7.575,-2.050,0.000
'[15:26:36.916 06/04/1996]',0.001,0.092,0.067,66.825,7.575,-2.050,0.000
'[15:26:36.918 06/04/1996]',0.001,0.092,0.045,66.825,7.575,-2.050,0.000
'[15:26:36.920 06/04/1996]',0.019,0.111,0.045,66.300,7.700,-2.513,0.000
'[15:26:36.922 06/04/1996]',0.019,0.092,0.045,66.300,7.700,-2.513,0.000
'[15:26:36.924 06/04/1996]',0.028,0.111,0.045,66.300,7.700,-2.513,0.000
'[15:26:36.926 06/04/1996]',0.028,0.111,0.045,66.300,7.700,-2.513,0.000
'[15:26:36.928 06/04/1996]',0.028,0.111,0.045,65.775,7.700,-3.100,0.000
'[15:26:36.930 06/04/1996]',0.028,0.111,0.023,65.775,7.700,-3.100,0.000
'[15:26:36.932 06/04/1996]',0.028,0.111,0.023,65.775,7.700,-3.100,0.000
'[15:26:36.934 06/04/1996]',0.028,0.111,0.023,65.775,7.700,-3.100,0.000
'[15:26:36.936 06/04/1996]',0.037,0.111,0.023,65.250,7.650,-3.688,0.000
'[15:26:36.938 06/04/1996]',0.037,0.129,0.023,65.250,7.650,-3.688,0.000
'[15:26:36.940 06/04/1996]',0.019,0.129,0.023,65.250,7.650,-3.688,0.000
'[15:26:36.942 06/04/1996]',0.019,0.129,0.002,65.250,7.650,-3.688,0.000
'[15:26:36.944 06/04/1996]',0.028,0.129,0.002,64.800,7.525,-4.338,0.000
'[15:26:36.946 06/04/1996]',0.028,0.129,0.002,64.800,7.525,-4.338,0.000
'[15:26:36.948 06/04/1996]',0.028,0.129,0.002,64.800,7.525,-4.338,0.000
'[15:26:36.950 06/04/1996]',0.028,0.129,0.002,64.800,7.525,-4.338,0.000
'[15:26:36.952 06/04/1996]',0.037,0.147,0.002,64.275,7.400,-4.650,0.000
'[15:26:36.954 06/04/1996]',0.028,0.129,0.002,64.275,7.400,-4.650,0.000
