'Time and date','II','aVF','ABP','PAP','CVP','LAP','PLETH','CO2'
'[22:43:48.180 23/02/1996]',-0.044,-0.038,88.700,17.978,8.838,8.963,0.058,58.483
'[22:43:48.182 23/02/1996]',-0.049,-0.043,88.700,17.978,8.838,8.963,0.058,58.483
'[22:43:48.184 23/02/1996]',-0.053,-0.048,88.800,18.912,8.713,9.787,0.043,58.217
'[22:43:48.186 23/02/1996]',-0.058,-0.052,88.800,18.912,8.713,9.787,0.043,58.217
'[22:43:48.188 23/02/1996]',-0.060,-0.054,88.800,18.912,8.713,9.787,0.043,58.217
'[22:43:48.190 23/02/1996]',-0.063,-0.057,88.800,18.912,8.713,9.787,0.043,58.217
'[22:43:48.192 23/02/1996]',-0.065,-0.058,88.650,19.261,8.662,10.550,0.019,57.950
'[22:43:48.194 23/02/1996]',-0.066,-0.059,88.650,19.261,8.662,10.550,0.019,57.950
'[22:43:48.196 23/02/1996]',-0.067,-0.059,88.650,19.261,8.662,10.550,0.019,57.950
'[22:43:48.198 23/02/1996]',-0.067,-0.059,88.650,19.261,8.662,10.550,0.019,57.950
'[22:43:48.200 23/02/1996]',-0.067,-0.059,88.300,19.086,8.713,11.137,0.004,57.967
'[22:43:48.202 23/02/1996]',-0.066,-0.059,88.300,19.086,8.713,11.137,0.004,57.967
'[22:43:48.204 23/02/1996]',-0.067,-0.059,88.300,19.086,8.713,11.137,0.004,57.967
'[22:43:48.206 23/02/1996]',-0.067,-0.059,88.300,19.086,8.713,11.137,0.004,57.967
'[22:43:48.208 23/02/1996]',-0.068,-0.059,87.750,18.376,8.887,11.550,-0.015,58.000
'[22:43:48.210 23/02/1996]',-0.069,-0.060,87.750,18.376,8.887,11.550,-0.015,58.000
'[22:43:48.212 23/02/1996]',-0.070,-0.061,87.750,18.376,8.887,11.550,-0.015,58.000
'[22:43:48.214 23/02/1996]',-0.070,-0.062,87.750,18.376,8.887,11.550,-0.015,58.000
'[22:43:48.216 23/02/1996]',-0.070,-0.062,87.150,16.919,9.188,11.725,-0.024,58.033
'[22:43:48.218 23/02/1996]',-0.070,-0.063,87.150,16.919,9.188,11.725,-0.024,58.033
'[22:43:48.220 23/02/1996]',-0.070,-0.063,87.150,16.919,9.188,11.725,-0.024,58.033
'[22:43:48.222 23/02/1996]',-0.070,-0.063,87.150,16.919,9.188,11.725,-0.024,58.033
'[22:43:48.224 23/02/1996]',-0.070,-0.063,86.350,14.763,9.600,11.838,-0.038,58.067
'[22:43:48.226 23/02/1996]',-0.070,-0.063,86.350,14.763,9.600,11.838,-0.038,58.067
'[22:43:48.228 23/02/1996]',-0.070,-0.063,86.350,14.763,9.600,11.838,-0.038,58.067
'[22:43:48.230 23/02/1996]',-0.070,-0.063,86.350,14.763,9.600,11.838,-0.038,58.067
'[22:43:48.232 23/02/1996]',-0.070,-0.063,85.400,12.197,10.062,11.775,-0.048,58.017
'[22:43:48.234 23/02/1996]',-0.070,-0.063,85.400,12.197,10.062,11.775,-0.048,58.017
'[22:43:48.236 23/02/1996]',-0.070,-0.064,85.400,12.197,10.062,11.775,-0.048,58.017
'[22:43:48.238 23/02/1996]',-0.071,-0.064,85.400,12.197,10.062,11.775,-0.048,58.017
'[22:43:48.240 23/02/1996]',-0.073,-0.066,84.400,9.967,10.588,11.662,-0.062,58.000
'[22:43:48.242 23/02/1996]',-0.076,-0.068,84.400,9.967,10.588,11.662,-0.062,58.000
'[22:43:48.244 23/02/1996]',-0.083,-0.073,84.400,9.967,10.588,11.662,-0.062,58.000
'[22:43:48.246 23/02/1996]',-0.089,-0.078,84.400,9.967,10.588,11.662,-0.062,58.000
'[22:43:48.248 23/02/1996]',-0.102,-0.090,83.500,9.095,11.062,11.425,-0.077,57.983
'[22:43:48.250 23/02/1996]',-0.114,-0.102,83.500,9.095,11.062,11.425,-0.077,57.983
'[22:43:48.252 23/02/1996]',-0.133,-0.122,83.500,9.095,11.062,11.425,-0.077,57.983
'[22:43:48.254 23/02/1996]',-0.151,-0.143,83.500,9.095,11.062,11.425,-0.077,57.983
'[22:43:48.256 23/02/1996]',-0.175,-0.170,82.600,10.091,11.525,11.200,-0.101,57.967
'[22:43:48.258 23/02/1996]',-0.199,-0.196,82.600,10.091,11.525,11.200,-0.101,57.967
'[22:43:48.260 23/02/1996]',-0.224,-0.229,82.600,10.091,11.525,11.200,-0.101,57.967
'[22:43:48.262 23/02/1996]',-0.249,-0.261,82.600,10.091,11.525,11.200,-0.101,57.967
'[22:43:48.264 23/02/1996]',-0.269,-0.295,81.700,12.483,11.875,11.012,-0.115,58.000
'[22:43:48.266 23/02/1996]',-0.289,-0.330,81.700,12.483,11.875,11.012,-0.115,58.000
'[22:43:48.268 23/02/1996]',-0.298,-0.363,81.700,12.483,11.875,11.012,-0.115,58.000
'[22:43:48.270 23/02/1996]',-0.307,-0.397,81.700,12.483,11.875,11.012,-0.115,58.000
'[22:43:48.272 23/02/1996]',-0.302,-0.424,80.800,15.000,12.113,10.838,-0.135,58.050
'[22:43:48.274 23/02/1996]',-0.298,-0.452,80.800,15.000,12.113,10.838,-0.135,58.050
'[22:43:48.276 23/02/1996]',-0.279,-0.466,80.800,15.000,12.113,10.838,-0.135,58.050
'[22:43:48.278 23/02/1996]',-0.259,-0.480,80.800,15.000,12.113,10.838,-0.135,58.050
'[22:43:48.280 23/02/1996]',-0.225,-0.472,79.850,16.507,12.225,10.613,-0.153,58.100
'[22:43:48.282 23/02/1996]',-0.190,-0.464,79.850,16.507,12.225,10.613,-0.153,58.100
'[22:43:48.284 23/02/1996]',-0.144,-0.427,79.850,16.507,12.225,10.613,-0.153,58.100
'[22:43:48.286 23/02/1996]',-0.098,-0.391,79.850,16.507,12.225,10.613,-0.153,58.100
'[22:43:48.288 23/02/1996]',-0.048,-0.329,78.950,16.570,12.287,10.375,-0.173,58.150
'[22:43:48.290 23/02/1996]',0.002,-0.266,78.950,16.570,12.287,10.375,-0.173,58.150
'[22:43:48.292 23/02/1996]',0.047,-0.191,78.950,16.570,12.287,10.375,-0.173,58.150
'[22:43:48.294 23/02/1996]',0.092,-0.115,78.950,16.570,12.287,10.375,-0.173,58.150
'[22:43:48.296 23/02/1996]',0.122,-0.046,78.100,15.399,12.175,10.075,-0.192,57.983
'[22:43:48.298 23/02/1996]',0.152,0.022,78.100,15.399,12.175,10.075,-0.192,57.983
'[22:43:48.300 23/02/1996]',0.160,0.066,78.100,15.399,12.175,10.075,-0.192,57.983
'[22:43:48.302 23/02/1996]',0.168,0.109,78.100,15.399,12.175,10.075,-0.192,57.983
'[22:43:48.304 23/02/1996]',0.155,0.122,77.200,13.704,12.050,9.787,-0.206,57.867
'[22:43:48.306 23/02/1996]',0.143,0.135,77.200,13.704,12.050,9.787,-0.206,57.867
'[22:43:48.308 23/02/1996]',0.117,0.125,77.200,13.704,12.050,9.787,-0.206,57.867
'[22:43:48.310 23/02/1996]',0.092,0.115,77.200,13.704,12.050,9.787,-0.206,57.867
'[22:43:48.312 23/02/1996]',0.061,0.094,76.250,12.309,11.825,9.500,-0.216,57.750
'[22:43:48.314 23/02/1996]',0.031,0.073,76.250,12.309,11.825,9.500,-0.216,57.750
'[22:43:48.316 23/02/1996]',0.003,0.051,76.250,12.309,11.825,9.500,-0.216,57.750
'[22:43:48.318 23/02/1996]',-0.025,0.030,76.250,12.309,11.825,9.500,-0.216,57.750
'[22:43:48.320 23/02/1996]',-0.045,0.016,75.350,11.786,11.525,9.200,-0.231,57.633
'[22:43:48.322 23/02/1996]',-0.065,0.002,75.350,11.786,11.525,9.200,-0.231,57.633
'[22:43:48.324 23/02/1996]',-0.073,-0.004,75.350,11.786,11.525,9.200,-0.231,57.633
'[22:43:48.326 23/02/1996]',-0.081,-0.009,75.350,11.786,11.525,9.200,-0.231,57.633
'[22:43:48.328 23/02/1996]',-0.079,-0.007,74.450,12.247,11.238,8.963,-0.244,57.617
'[22:43:48.330 23/02/1996]',-0.076,-0.005,74.450,12.247,11.238,8.963,-0.244,57.617
'[22:43:48.332 23/02/1996]',-0.066,0.002,74.450,12.247,11.238,8.963,-0.244,57.617
'[22:43:48.334 23/02/1996]',-0.056,0.008,74.450,12.247,11.238,8.963,-0.244,57.617
'[22:43:48.336 23/02/1996]',-0.043,0.016,73.650,13.355,10.938,8.738,-0.259,57.617
'[22:43:48.338 23/02/1996]',-0.030,0.024,73.650,13.355,10.938,8.738,-0.259,57.617
'[22:43:48.340 23/02/1996]',-0.018,0.033,73.650,13.355,10.938,8.738,-0.259,57.617
'[22:43:48.342 23/02/1996]',-0.005,0.041,73.650,13.355,10.938,8.738,-0.259,57.617
'[22:43:48.344 23/02/1996]',0.004,0.048,72.850,14.527,10.650,8.500,-0.269,57.617
'[22:43:48.346 23/02/1996]',0.013,0.055,72.850,14.527,10.650,8.500,-0.269,57.617
'[22:43:48.348 23/02/1996]',0.018,0.059,72.850,14.527,10.650,8.500,-0.269,57.617
'[22:43:48.350 23/02/1996]',0.024,0.064,72.850,14.527,10.650,8.500,-0.269,57.617
'[22:43:48.352 23/02/1996]',0.028,0.069,72.050,15.224,10.412,8.200,-0.283,57.617
'[22:43:48.354 23/02/1996]',0.032,0.074,72.050,15.224,10.412,8.200,-0.283,57.617
'[22:43:48.356 23/02/1996]',0.036,0.078,72.050,15.224,10.412,8.200,-0.283,57.617
'[22:43:48.358 23/02/1996]',0.040,0.082,72.050,15.224,10.412,8.200,-0.283,57.617
'[22:43:48.360 23/02/1996]',0.043,0.084,71.300,15.748,10.175,7.975,-0.292,57.600
'[22:43:48.362 23/02/1996]',0.046,0.085,71.300,15.748,10.175,7.975,-0.292,57.600
'[22:43:48.364 23/02/1996]',0.049,0.086,71.300,15.748,10.175,7.975,-0.292,57.600
'[22:43:48.366 23/02/1996]',0.052,0.088,71.300,15.748,10.175,7.975,-0.292,57.600
'[22:43:48.368 23/02/1996]',0.054,0.089,70.600,16.869,10.062,7.800,-0.307,57.600
'[22:43:48.370 23/02/1996]',0.056,0.091,70.600,16.869,10.062,7.800,-0.307,57.600
'[22:43:48.372 23/02/1996]',0.058,0.092,70.600,16.869,10.062,7.800,-0.307,57.600
'[22:43:48.374 23/02/1996]',0.059,0.093,70.600,16.869,10.062,7.800,-0.307,57.600
'[22:43:48.376 23/02/1996]',0.061,0.094,70.000,18.738,10.000,7.562,-0.317,57.600
'[22:43:48.378 23/02/1996]',0.064,0.095,70.000,18.738,10.000,7.562,-0.317,57.600
'[22:43:48.380 23/02/1996]',0.067,0.097,70.000,18.738,10.000,7.562,-0.317,57.600
'[22:43:48.382 23/02/1996]',0.069,0.099,70.000,18.738,10.000,7.562,-0.317,57.600
'[22:43:48.384 23/02/1996]',0.072,0.101,69.650,20.781,10.062,7.388,-0.331,57.600
'[22:43:48.386 23/02/1996]',0.075,0.103,69.650,20.781,10.062,7.388,-0.331,57.600
'[22:43:48.388 23/02/1996]',0.077,0.105,69.650,20.781,10.062,7.388,-0.331,57.600
'[22:43:48.390 23/02/1996]',0.080,0.107,69.650,20.781,10.062,7.388,-0.331,57.600
'[22:43:48.392 23/02/1996]',0.083,0.108,69.500,22.114,10.175,7.213,-0.336,57.633
'[22:43:48.394 23/02/1996]',0.085,0.110,69.500,22.114,10.175,7.213,-0.336,57.633
'[22:43:48.396 23/02/1996]',0.087,0.112,69.500,22.114,10.175,7.213,-0.336,57.633
'[22:43:48.398 23/02/1996]',0.089,0.113,69.500,22.114,10.175,7.213,-0.336,57.633
'[22:43:48.400 23/02/1996]',0.090,0.115,69.500,22.525,10.300,7.037,-0.350,57.717
'[22:43:48.402 23/02/1996]',0.092,0.116,69.500,22.525,10.300,7.037,-0.350,57.717
'[22:43:48.404 23/02/1996]',0.093,0.117,69.500,22.525,10.300,7.037,-0.350,57.717
'[22:43:48.406 23/02/1996]',0.095,0.119,69.500,22.525,10.300,7.037,-0.350,57.717
'[22:43:48.408 23/02/1996]',0.097,0.121,69.950,22.475,10.412,6.975,-0.364,57.800
'[22:43:48.410 23/02/1996]',0.099,0.123,69.950,22.475,10.412,6.975,-0.364,57.800
'[22:43:48.412 23/02/1996]',0.101,0.126,69.950,22.475,10.412,6.975,-0.364,57.800
'[22:43:48.414 23/02/1996]',0.103,0.128,69.950,22.475,10.412,6.975,-0.364,57.800
'[22:43:48.416 23/02/1996]',0.105,0.131,71.250,22.288,10.475,6.912,-0.374,57.883
'[22:43:48.418 23/02/1996]',0.108,0.133,71.250,22.288,10.475,6.912,-0.374,57.883
'[22:43:48.420 23/02/1996]',0.111,0.136,71.250,22.288,10.475,6.912,-0.374,57.883
'[22:43:48.422 23/02/1996]',0.113,0.139,71.250,22.288,10.475,6.912,-0.374,57.883
'[22:43:48.424 23/02/1996]',0.115,0.141,74.300,22.176,10.412,6.862,-0.394,57.767
'[22:43:48.426 23/02/1996]',0.117,0.142,74.300,22.176,10.412,6.862,-0.394,57.767
'[22:43:48.428 23/02/1996]',0.117,0.142,74.300,22.176,10.412,6.862,-0.394,57.767
'[22:43:48.430 23/02/1996]',0.118,0.143,74.300,22.176,10.412,6.862,-0.394,57.767
'[22:43:48.432 23/02/1996]',0.119,0.142,79.850,22.002,10.238,6.912,-0.398,57.667
'[22:43:48.434 23/02/1996]',0.120,0.142,79.850,22.002,10.238,6.912,-0.398,57.667
'[22:43:48.436 23/02/1996]',0.121,0.142,79.850,22.002,10.238,6.912,-0.398,57.667
'[22:43:48.438 23/02/1996]',0.122,0.142,79.850,22.002,10.238,6.912,-0.398,57.667
'[22:43:48.440 23/02/1996]',0.123,0.142,87.850,21.715,10.000,6.975,-0.394,57.567
'[22:43:48.442 23/02/1996]',0.124,0.143,87.850,21.715,10.000,6.975,-0.394,57.567
'[22:43:48.444 23/02/1996]',0.124,0.144,87.850,21.715,10.000,6.975,-0.394,57.567
'[22:43:48.446 23/02/1996]',0.125,0.145,87.850,21.715,10.000,6.975,-0.394,57.567
'[22:43:48.448 23/02/1996]',0.126,0.145,97.450,21.354,9.775,7.150,-0.384,57.467
'[22:43:48.450 23/02/1996]',0.127,0.146,97.450,21.354,9.775,7.150,-0.384,57.467
'[22:43:48.452 23/02/1996]',0.127,0.143,97.450,21.354,9.775,7.150,-0.384,57.467
'[22:43:48.454 23/02/1996]',0.127,0.141,97.450,21.354,9.775,7.150,-0.384,57.467
'[22:43:48.456 23/02/1996]',0.126,0.138,107.400,21.067,9.600,7.325,-0.350,57.500
'[22:43:48.458 23/02/1996]',0.124,0.134,107.400,21.067,9.600,7.325,-0.350,57.500
'[22:43:48.460 23/02/1996]',0.122,0.130,107.400,21.067,9.600,7.325,-0.350,57.500
'[22:43:48.462 23/02/1996]',0.120,0.126,107.400,21.067,9.600,7.325,-0.350,57.500
'[22:43:48.464 23/02/1996]',0.117,0.122,116.700,20.893,9.537,7.625,-0.307,57.533
'[22:43:48.466 23/02/1996]',0.115,0.118,116.700,20.893,9.537,7.625,-0.307,57.533
'[22:43:48.468 23/02/1996]',0.112,0.113,116.700,20.893,9.537,7.625,-0.307,57.533
'[22:43:48.470 23/02/1996]',0.108,0.107,116.700,20.893,9.537,7.625,-0.307,57.533
'[22:43:48.472 23/02/1996]',0.104,0.102,124.800,20.831,9.600,7.975,-0.240,57.567
'[22:43:48.474 23/02/1996]',0.100,0.098,124.800,20.831,9.600,7.975,-0.240,57.567
'[22:43:48.476 23/02/1996]',0.097,0.095,124.800,20.831,9.600,7.975,-0.240,57.567
'[22:43:48.478 23/02/1996]',0.094,0.091,124.800,20.831,9.600,7.975,-0.240,57.567
'[22:43:48.480 23/02/1996]',0.091,0.087,131.050,20.656,9.775,8.325,-0.163,57.600
'[22:43:48.482 23/02/1996]',0.089,0.083,131.050,20.656,9.775,8.325,-0.163,57.600
'[22:43:48.484 23/02/1996]',0.086,0.079,131.050,20.656,9.775,8.325,-0.163,57.600
'[22:43:48.486 23/02/1996]',0.084,0.074,131.050,20.656,9.775,8.325,-0.163,57.600
'[22:43:48.488 23/02/1996]',0.081,0.069,135.100,20.419,10.125,8.738,-0.072,57.700
'[22:43:48.490 23/02/1996]',0.078,0.063,135.100,20.419,10.125,8.738,-0.072,57.700
'[22:43:48.492 23/02/1996]',0.075,0.058,135.100,20.419,10.125,8.738,-0.072,57.700
'[22:43:48.494 23/02/1996]',0.072,0.053,135.100,20.419,10.125,8.738,-0.072,57.700
'[22:43:48.496 23/02/1996]',0.068,0.049,136.850,20.307,10.475,9.200,0.029,57.817
'[22:43:48.498 23/02/1996]',0.064,0.044,136.850,20.307,10.475,9.200,0.029,57.817
'[22:43:48.500 23/02/1996]',0.061,0.040,136.850,20.307,10.475,9.200,0.029,57.817
'[22:43:48.502 23/02/1996]',0.058,0.035,136.850,20.307,10.475,9.200,0.029,57.817
'[22:43:48.504 23/02/1996]',0.056,0.031,136.600,20.718,10.938,9.613,0.130,57.933
'[22:43:48.506 23/02/1996]',0.054,0.027,136.600,20.718,10.938,9.613,0.130,57.933
'[22:43:48.508 23/02/1996]',0.052,0.024,136.600,20.718,10.938,9.613,0.130,57.933
'[22:43:48.510 23/02/1996]',0.050,0.021,136.600,20.718,10.938,9.613,0.130,57.933
'[22:43:48.512 23/02/1996]',0.048,0.019,134.700,21.541,11.412,9.963,0.226,58.050
'[22:43:48.514 23/02/1996]',0.046,0.017,134.700,21.541,11.412,9.963,0.226,58.050
'[22:43:48.516 23/02/1996]',0.045,0.015,134.700,21.541,11.412,9.963,0.226,58.050
'[22:43:48.518 23/02/1996]',0.044,0.014,134.700,21.541,11.412,9.963,0.226,58.050
'[22:43:48.520 23/02/1996]',0.043,0.014,131.700,22.525,11.825,10.137,0.317,58.083
'[22:43:48.522 23/02/1996]',0.042,0.014,131.700,22.525,11.825,10.137,0.317,58.083
'[22:43:48.524 23/02/1996]',0.041,0.014,131.700,22.525,11.825,10.137,0.317,58.083
'[22:43:48.526 23/02/1996]',0.040,0.014,131.700,22.525,11.825,10.137,0.317,58.083
'[22:43:48.528 23/02/1996]',0.037,0.014,128.000,23.048,12.175,10.200,0.389,58.167
'[22:43:48.530 23/02/1996]',0.035,0.014,128.000,23.048,12.175,10.200,0.389,58.167
'[22:43:48.532 23/02/1996]',0.034,0.014,128.000,23.048,12.175,10.200,0.389,58.167
'[22:43:48.534 23/02/1996]',0.032,0.014,128.000,23.048,12.175,10.200,0.389,58.167
'[22:43:48.536 23/02/1996]',0.030,0.014,124.100,22.699,12.412,10.137,0.446,58.250
'[22:43:48.538 23/02/1996]',0.029,0.014,124.100,22.699,12.412,10.137,0.446,58.250
'[22:43:48.540 23/02/1996]',0.029,0.014,124.100,22.699,12.412,10.137,0.446,58.250
'[22:43:48.542 23/02/1996]',0.028,0.014,124.100,22.699,12.412,10.137,0.446,58.250
'[22:43:48.544 23/02/1996]',0.028,0.014,120.200,21.541,12.588,10.075,0.489,58.333
'[22:43:48.546 23/02/1996]',0.027,0.014,120.200,21.541,12.588,10.075,0.489,58.333
'[22:43:48.548 23/02/1996]',0.027,0.014,120.200,21.541,12.588,10.075,0.489,58.333
'[22:43:48.550 23/02/1996]',0.027,0.014,120.200,21.541,12.588,10.075,0.489,58.333
'[22:43:48.552 23/02/1996]',0.026,0.014,116.550,19.846,12.637,10.025,0.518,58.367
'[22:43:48.554 23/02/1996]',0.026,0.014,116.550,19.846,12.637,10.025,0.518,58.367
'[22:43:48.556 23/02/1996]',0.025,0.014,116.550,19.846,12.637,10.025,0.518,58.367
'[22:43:48.558 23/02/1996]',0.024,0.014,116.550,19.846,12.637,10.025,0.518,58.367
'[22:43:48.560 23/02/1996]',0.022,0.014,113.150,17.853,12.588,9.963,0.537,58.400
'[22:43:48.562 23/02/1996]',0.021,0.014,113.150,17.853,12.588,9.963,0.537,58.400
'[22:43:48.564 23/02/1996]',0.019,0.014,113.150,17.853,12.588,9.963,0.537,58.400
'[22:43:48.566 23/02/1996]',0.018,0.014,113.150,17.853,12.588,9.963,0.537,58.400
'[22:43:48.568 23/02/1996]',0.016,0.014,109.900,15.872,12.463,9.900,0.542,58.433
'[22:43:48.570 23/02/1996]',0.014,0.014,109.900,15.872,12.463,9.900,0.542,58.433
'[22:43:48.572 23/02/1996]',0.013,0.014,109.900,15.872,12.463,9.900,0.542,58.433
'[22:43:48.574 23/02/1996]',0.013,0.014,109.900,15.872,12.463,9.900,0.542,58.433
'[22:43:48.576 23/02/1996]',0.012,0.014,106.700,14.003,12.287,9.900,0.532,58.467
'[22:43:48.578 23/02/1996]',0.011,0.014,106.700,14.003,12.287,9.900,0.532,58.467
'[22:43:48.580 23/02/1996]',0.010,0.014,106.700,14.003,12.287,9.900,0.532,58.467
'[22:43:48.582 23/02/1996]',0.009,0.014,106.700,14.003,12.287,9.900,0.532,58.467
'[22:43:48.584 23/02/1996]',0.008,0.014,103.300,12.596,12.113,9.850,0.527,58.417
'[22:43:48.586 23/02/1996]',0.007,0.014,103.300,12.596,12.113,9.850,0.527,58.417
'[22:43:48.588 23/02/1996]',0.005,0.013,103.300,12.596,12.113,9.850,0.527,58.417
'[22:43:48.590 23/02/1996]',0.003,0.013,103.300,12.596,12.113,9.850,0.527,58.417
'[22:43:48.592 23/02/1996]',0.003,0.012,99.650,11.960,11.938,9.787,0.503,58.417
'[22:43:48.594 23/02/1996]',0.002,0.011,99.650,11.960,11.938,9.787,0.503,58.417
'[22:43:48.596 23/02/1996]',0.001,0.009,99.650,11.960,11.938,9.787,0.503,58.417
'[22:43:48.598 23/02/1996]',-0.001,0.008,99.650,11.960,11.938,9.787,0.503,58.417
'[22:43:48.600 23/02/1996]',-0.003,0.005,95.950,13.007,11.762,9.675,0.479,58.417
'[22:43:48.602 23/02/1996]',-0.005,0.003,95.950,13.007,11.762,9.675,0.479,58.417
'[22:43:48.604 23/02/1996]',-0.006,0.001,95.950,13.007,11.762,9.675,0.479,58.417
'[22:43:48.606 23/02/1996]',-0.007,-0.001,95.950,13.007,11.762,9.675,0.479,58.417
'[22:43:48.608 23/02/1996]',-0.007,-0.003,92.700,16.333,11.588,9.375,0.456,58.417
'[22:43:48.610 23/02/1996]',-0.008,-0.005,92.700,16.333,11.588,9.375,0.456,58.417
'[22:43:48.612 23/02/1996]',-0.009,-0.006,92.700,16.333,11.588,9.375,0.456,58.417
'[22:43:48.614 23/02/1996]',-0.009,-0.007,92.700,16.333,11.588,9.375,0.456,58.417
'[22:43:48.616 23/02/1996]',-0.009,-0.007,90.000,21.354,11.412,8.963,0.417,58.267
'[22:43:48.618 23/02/1996]',-0.009,-0.007,90.000,21.354,11.412,8.963,0.417,58.267
'[22:43:48.620 23/02/1996]',-0.008,-0.005,90.000,21.354,11.412,8.963,0.417,58.267
'[22:43:48.622 23/02/1996]',-0.007,-0.004,90.000,21.354,11.412,8.963,0.417,58.267
'[22:43:48.624 23/02/1996]',-0.004,-0.002,87.950,26.213,11.175,8.438,0.374,58.150
'[22:43:48.626 23/02/1996]',-0.001,0.001,87.950,26.213,11.175,8.438,0.374,58.150
'[22:43:48.628 23/02/1996]',0.004,0.004,87.950,26.213,11.175,8.438,0.374,58.150
'[22:43:48.630 23/02/1996]',0.008,0.008,87.950,26.213,11.175,8.438,0.374,58.150
'[22:43:48.632 23/02/1996]',0.014,0.010,86.550,28.368,10.938,7.975,0.331,58.033
'[22:43:48.634 23/02/1996]',0.020,0.012,86.550,28.368,10.938,7.975,0.331,58.033
'[22:43:48.636 23/02/1996]',0.025,0.014,86.550,28.368,10.938,7.975,0.331,58.033
'[22:43:48.638 23/02/1996]',0.031,0.016,86.550,28.368,10.938,7.975,0.331,58.033
'[22:43:48.640 23/02/1996]',0.035,0.019,85.650,26.736,10.713,7.500,0.278,57.917
'[22:43:48.642 23/02/1996]',0.040,0.023,85.650,26.736,10.713,7.500,0.278,57.917
'[22:43:48.644 23/02/1996]',0.044,0.028,85.650,26.736,10.713,7.500,0.278,57.917
'[22:43:48.646 23/02/1996]',0.049,0.033,85.650,26.736,10.713,7.500,0.278,57.917
'[22:43:48.648 23/02/1996]',0.056,0.039,85.300,22.002,10.475,7.088,0.230,57.867
'[22:43:48.650 23/02/1996]',0.062,0.045,85.300,22.002,10.475,7.088,0.230,57.867
'[22:43:48.652 23/02/1996]',0.069,0.051,85.300,22.002,10.475,7.088,0.230,57.867
'[22:43:48.654 23/02/1996]',0.076,0.056,85.300,22.002,10.475,7.088,0.230,57.867
'[22:43:48.656 23/02/1996]',0.083,0.059,85.350,16.570,10.175,6.800,0.177,57.817
'[22:43:48.658 23/02/1996]',0.089,0.063,85.350,16.570,10.175,6.800,0.177,57.817
'[22:43:48.660 23/02/1996]',0.093,0.065,85.350,16.570,10.175,6.800,0.177,57.817
'[22:43:48.662 23/02/1996]',0.097,0.066,85.350,16.570,10.175,6.800,0.177,57.817
'[22:43:48.664 23/02/1996]',0.098,0.066,85.600,12.658,9.887,6.562,0.124,57.767
'[22:43:48.666 23/02/1996]',0.099,0.065,85.600,12.658,9.887,6.562,0.124,57.767
'[22:43:48.668 23/02/1996]',0.097,0.062,85.600,12.658,9.887,6.562,0.124,57.767
'[22:43:48.670 23/02/1996]',0.095,0.059,85.600,12.658,9.887,6.562,0.124,57.767
'[22:43:48.672 23/02/1996]',0.089,0.053,86.050,11.262,9.537,6.562,0.076,57.717
'[22:43:48.674 23/02/1996]',0.084,0.048,86.050,11.262,9.537,6.562,0.076,57.717
'[22:43:48.676 23/02/1996]',0.074,0.041,86.050,11.262,9.537,6.562,0.076,57.717
'[22:43:48.678 23/02/1996]',0.065,0.033,86.050,11.262,9.537,6.562,0.076,57.717
'[22:43:48.680 23/02/1996]',0.053,0.025,86.600,12.135,9.238,6.800,0.053,57.750
'[22:43:48.682 23/02/1996]',0.042,0.018,86.600,12.135,9.238,6.800,0.053,57.750
'[22:43:48.684 23/02/1996]',0.030,0.009,86.600,12.135,9.238,6.800,0.053,57.750
'[22:43:48.686 23/02/1996]',0.018,0.001,86.600,12.135,9.238,6.800,0.053,57.750
'[22:43:48.688 23/02/1996]',0.008,-0.004,87.050,14.178,8.950,7.263,0.009,57.833
'[22:43:48.690 23/02/1996]',-0.002,-0.010,87.050,14.178,8.950,7.263,0.009,57.833
'[22:43:48.692 23/02/1996]',-0.009,-0.013,87.050,14.178,8.950,7.263,0.009,57.833
'[22:43:48.694 23/02/1996]',-0.017,-0.017,87.050,14.178,8.950,7.263,0.009,57.833
'[22:43:48.696 23/02/1996]',-0.023,-0.021,87.450,16.333,8.713,7.975,-0.029,57.917
'[22:43:48.698 23/02/1996]',-0.029,-0.025,87.450,16.333,8.713,7.975,-0.029,57.917
'[22:43:48.700 23/02/1996]',-0.034,-0.029,87.450,16.333,8.713,7.975,-0.029,57.917
'[22:43:48.702 23/02/1996]',-0.039,-0.034,87.450,16.333,8.713,7.975,-0.029,57.917
'[22:43:48.704 23/02/1996]',-0.044,-0.038,87.750,18.027,8.537,8.850,-0.062,58.000
'[22:43:48.706 23/02/1996]',-0.049,-0.043,87.750,18.027,8.537,8.850,-0.062,58.000
'[22:43:48.708 23/02/1996]',-0.053,-0.048,87.750,18.027,8.537,8.850,-0.062,58.000
'[22:43:48.710 23/02/1996]',-0.058,-0.053,87.750,18.027,8.537,8.850,-0.062,58.000
'[22:43:48.712 23/02/1996]',-0.061,-0.057,87.950,19.086,8.425,9.787,-0.096,57.917
'[22:43:48.714 23/02/1996]',-0.064,-0.060,87.950,19.086,8.425,9.787,-0.096,57.917
'[22:43:48.716 23/02/1996]',-0.067,-0.061,87.950,19.086,8.425,9.787,-0.096,57.917
'[22:43:48.718 23/02/1996]',-0.070,-0.063,87.950,19.086,8.425,9.787,-0.096,57.917
'[22:43:48.720 23/02/1996]',-0.072,-0.063,87.850,19.610,8.425,10.662,-0.119,57.883
'[22:43:48.722 23/02/1996]',-0.074,-0.063,87.850,19.610,8.425,10.662,-0.119,57.883
