'Time and date','II ','MCL1 ','V ','ABP ','PLETH ','RESP '
'[13:14:14.896 19/05/1995]',0.015,0.001,0.010,80.985,-0.102,0.125
'[13:14:14.898 19/05/1995]',0.015,0.001,0.001,80.985,-0.102,0.125
'[13:14:14.900 19/05/1995]',0.015,0.001,0.001,80.985,-0.102,0.125
'[13:14:14.902 19/05/1995]',0.043,-0.008,0.001,80.985,-0.102,0.125
'[13:14:14.904 19/05/1995]',0.043,-0.008,0.001,79.532,-0.051,0.134
'[13:14:14.906 19/05/1995]',0.043,-0.008,0.001,79.532,-0.051,0.134
'[13:14:14.908 19/05/1995]',0.015,0.001,0.001,79.532,-0.051,0.134
'[13:14:14.910 19/05/1995]',0.001,0.001,0.001,79.532,-0.051,0.134
'[13:14:14.912 19/05/1995]',0.001,0.001,0.001,77.729,0.000,0.142
'[13:14:14.914 19/05/1995]',0.001,0.001,0.001,77.729,0.000,0.142
'[13:14:14.916 19/05/1995]',0.001,0.009,0.001,77.729,0.000,0.142
'[13:14:14.918 19/05/1995]',0.001,0.009,0.001,77.729,0.000,0.142
'[13:14:14.920 19/05/1995]',0.001,0.018,0.001,75.726,0.047,0.149
'[13:14:14.922 19/05/1995]',0.001,0.018,0.010,75.726,0.047,0.149
'[13:14:14.924 19/05/1995]',0.001,0.026,0.010,75.726,0.047,0.149
'[13:14:14.926 19/05/1995]',0.001,0.026,0.001,75.726,0.047,0.149
'[13:14:14.928 19/05/1995]',0.001,0.018,0.001,73.673,0.084,0.157
'[13:14:14.930 19/05/1995]',0.015,0.018,0.001,73.673,0.084,0.157
'[13:14:14.932 19/05/1995]',0.001,0.018,0.001,73.673,0.084,0.157
'[13:14:14.934 19/05/1995]',0.001,0.018,-0.009,73.673,0.084,0.157
'[13:14:14.936 19/05/1995]',0.001,0.009,-0.009,71.619,0.105,0.163
'[13:14:14.938 19/05/1995]',0.001,0.018,0.001,71.619,0.105,0.163
'[13:14:14.940 19/05/1995]',0.001,0.018,0.001,71.619,0.105,0.163
'[13:14:14.942 19/05/1995]',0.001,0.018,0.001,71.619,0.105,0.163
'[13:14:14.944 19/05/1995]',0.001,0.026,0.001,69.816,0.112,0.169
'[13:14:14.946 19/05/1995]',0.001,0.026,0.010,69.816,0.112,0.169
'[13:14:14.948 19/05/1995]',0.001,0.035,0.020,69.816,0.112,0.169
'[13:14:14.950 19/05/1995]',0.001,0.061,0.020,69.816,0.112,0.169
'[13:14:14.952 19/05/1995]',-0.013,0.078,0.020,68.163,0.099,0.174
'[13:14:14.954 19/05/1995]',-0.013,0.095,0.020,68.163,0.099,0.174
'[13:14:14.956 19/05/1995]',0.001,0.104,0.030,68.163,0.099,0.174
'[13:14:14.958 19/05/1995]',0.001,0.095,0.030,68.163,0.099,0.174
'[13:14:14.960 19/05/1995]',0.001,0.069,0.020,66.761,0.069,0.178
'[13:14:14.962 19/05/1995]',0.001,0.035,0.001,66.761,0.069,0.178
'[13:14:14.964 19/05/1995]',0.001,0.001,0.001,66.761,0.069,0.178
'[13:14:14.966 19/05/1995]',0.001,0.001,0.001,66.761,0.069,0.178
'[13:14:14.968 19/05/1995]',0.001,-0.008,0.001,65.459,0.021,0.182
'[13:14:14.970 19/05/1995]',0.015,-0.008,0.001,65.459,0.021,0.182
'[13:14:14.972 19/05/1995]',0.015,-0.008,0.001,65.459,0.021,0.182
'[13:14:14.974 19/05/1995]',0.015,-0.016,0.001,65.459,0.021,0.182
'[13:14:14.976 19/05/1995]',0.001,-0.025,-0.019,64.307,-0.043,0.186
'[13:14:14.978 19/05/1995]',0.001,-0.034,-0.029,64.307,-0.043,0.186
'[13:14:14.980 19/05/1995]',0.001,-0.016,-0.029,64.307,-0.043,0.186
'[13:14:14.982 19/05/1995]',0.001,-0.008,-0.019,64.307,-0.043,0.186
'[13:14:14.984 19/05/1995]',0.015,-0.008,-0.009,63.205,-0.120,0.189
'[13:14:14.986 19/05/1995]',0.015,-0.008,-0.009,63.205,-0.120,0.189
'[13:14:14.988 19/05/1995]',0.015,-0.016,-0.019,63.205,-0.120,0.189
'[13:14:14.990 19/05/1995]',0.029,-0.008,0.001,63.205,-0.120,0.189
'[13:14:14.992 19/05/1995]',0.015,-0.008,0.001,62.354,-0.199,0.192
'[13:14:14.994 19/05/1995]',0.015,0.001,0.001,62.354,-0.199,0.192
'[13:14:14.996 19/05/1995]',0.015,0.001,0.001,62.354,-0.199,0.192
'[13:14:14.998 19/05/1995]',0.043,0.001,0.001,62.354,-0.199,0.192
'[13:14:15.000 19/05/1995]',0.072,0.001,0.001,61.703,-0.281,0.195
'[13:14:15.002 19/05/1995]',0.057,0.001,0.001,61.703,-0.281,0.195
'[13:14:15.004 19/05/1995]',0.029,0.001,0.001,61.703,-0.281,0.195
'[13:14:15.006 19/05/1995]',0.015,0.001,0.001,61.703,-0.281,0.195
'[13:14:15.008 19/05/1995]',0.015,0.001,0.001,61.302,-0.353,0.197
'[13:14:15.010 19/05/1995]',0.029,0.009,0.001,61.302,-0.353,0.197
'[13:14:15.012 19/05/1995]',0.043,0.001,0.001,61.302,-0.353,0.197
'[13:14:15.014 19/05/1995]',0.043,0.009,0.001,61.302,-0.353,0.197
'[13:14:15.016 19/05/1995]',0.043,0.009,0.001,61.002,-0.415,0.197
'[13:14:15.018 19/05/1995]',0.057,0.009,0.001,61.002,-0.415,0.197
'[13:14:15.020 19/05/1995]',0.072,0.009,0.001,61.002,-0.415,0.197
'[13:14:15.022 19/05/1995]',0.072,0.009,0.001,61.002,-0.415,0.197
'[13:14:15.024 19/05/1995]',0.072,0.009,0.001,60.751,-0.467,0.197
'[13:14:15.026 19/05/1995]',0.072,0.001,0.001,60.751,-0.467,0.197
'[13:14:15.028 19/05/1995]',0.072,0.001,0.001,60.751,-0.467,0.197
'[13:14:15.030 19/05/1995]',0.057,0.001,0.001,60.751,-0.467,0.197
'[13:14:15.032 19/05/1995]',0.072,0.001,0.001,60.651,-0.492,0.196
'[13:14:15.034 19/05/1995]',0.072,0.001,0.001,60.651,-0.492,0.196
'[13:14:15.036 19/05/1995]',0.072,0.001,-0.009,60.651,-0.492,0.196
'[13:14:15.038 19/05/1995]',0.072,0.001,0.001,60.651,-0.492,0.196
'[13:14:15.040 19/05/1995]',0.057,0.001,0.001,60.551,-0.501,0.193
'[13:14:15.042 19/05/1995]',0.043,0.001,0.001,60.551,-0.501,0.193
'[13:14:15.044 19/05/1995]',0.043,0.001,0.001,60.551,-0.501,0.193
'[13:14:15.046 19/05/1995]',0.043,0.001,0.001,60.551,-0.501,0.193
'[13:14:15.048 19/05/1995]',0.043,-0.016,-0.009,60.401,-0.490,0.189
'[13:14:15.050 19/05/1995]',0.029,-0.016,-0.019,60.401,-0.490,0.189
'[13:14:15.052 19/05/1995]',0.015,-0.025,-0.029,60.401,-0.490,0.189
'[13:14:15.054 19/05/1995]',0.015,-0.034,-0.029,60.401,-0.490,0.189
'[13:14:15.056 19/05/1995]',0.015,-0.034,-0.029,60.350,-0.467,0.183
'[13:14:15.058 19/05/1995]',0.001,-0.042,-0.029,60.350,-0.467,0.183
'[13:14:15.060 19/05/1995]',0.001,-0.042,-0.019,60.350,-0.467,0.183
'[13:14:15.062 19/05/1995]',0.001,-0.034,-0.019,60.350,-0.467,0.183
'[13:14:15.064 19/05/1995]',0.001,-0.016,-0.009,60.300,-0.424,0.176
'[13:14:15.066 19/05/1995]',-0.013,-0.016,-0.009,60.300,-0.424,0.176
'[13:14:15.068 19/05/1995]',-0.027,-0.016,-0.019,60.300,-0.424,0.176
'[13:14:15.070 19/05/1995]',-0.041,-0.025,-0.009,60.300,-0.424,0.176
'[13:14:15.072 19/05/1995]',-0.041,-0.025,-0.009,60.300,-0.374,0.169
'[13:14:15.074 19/05/1995]',-0.041,-0.034,-0.009,60.300,-0.374,0.169
'[13:14:15.076 19/05/1995]',-0.041,-0.034,0.001,60.300,-0.374,0.169
'[13:14:15.078 19/05/1995]',-0.041,-0.034,0.001,60.300,-0.374,0.169
'[13:14:15.080 19/05/1995]',-0.041,-0.034,0.001,60.300,-0.319,0.160
'[13:14:15.082 19/05/1995]',-0.041,-0.034,-0.009,60.300,-0.319,0.160
'[13:14:15.084 19/05/1995]',-0.041,-0.025,-0.009,60.300,-0.319,0.160
'[13:14:15.086 19/05/1995]',-0.041,-0.025,-0.009,60.300,-0.319,0.160
'[13:14:15.088 19/05/1995]',-0.041,-0.025,0.001,60.350,-0.257,0.150
'[13:14:15.090 19/05/1995]',-0.041,-0.016,0.001,60.350,-0.257,0.150
'[13:14:15.092 19/05/1995]',-0.041,-0.008,0.001,60.350,-0.257,0.150
'[13:14:15.094 19/05/1995]',-0.041,-0.008,0.001,60.350,-0.257,0.150
'[13:14:15.096 19/05/1995]',-0.041,-0.008,0.001,60.401,-0.197,0.140
'[13:14:15.098 19/05/1995]',-0.041,0.001,0.001,60.401,-0.197,0.140
'[13:14:15.100 19/05/1995]',-0.041,0.001,0.001,60.401,-0.197,0.140
'[13:14:15.102 19/05/1995]',-0.041,0.009,0.010,60.401,-0.197,0.140
'[13:14:15.104 19/05/1995]',-0.027,0.001,0.001,60.551,-0.139,0.129
'[13:14:15.106 19/05/1995]',-0.041,0.001,0.001,60.551,-0.139,0.129
'[13:14:15.108 19/05/1995]',-0.027,0.001,0.001,60.551,-0.139,0.129
'[13:14:15.110 19/05/1995]',-0.013,0.001,0.001,60.551,-0.139,0.129
'[13:14:15.112 19/05/1995]',-0.027,0.001,0.001,60.601,-0.082,0.117
'[13:14:15.114 19/05/1995]',-0.041,0.001,0.001,60.601,-0.082,0.117
'[13:14:15.116 19/05/1995]',-0.041,0.001,0.001,60.601,-0.082,0.117
'[13:14:15.118 19/05/1995]',-0.055,-0.008,0.001,60.601,-0.082,0.117
'[13:14:15.120 19/05/1995]',-0.055,-0.008,0.001,60.651,-0.030,0.106
'[13:14:15.122 19/05/1995]',-0.055,0.001,0.001,60.651,-0.030,0.106
'[13:14:15.124 19/05/1995]',-0.070,-0.008,0.001,60.651,-0.030,0.106
'[13:14:15.126 19/05/1995]',-0.041,-0.016,0.001,60.651,-0.030,0.106
'[13:14:15.128 19/05/1995]',-0.041,-0.016,0.001,60.751,0.019,0.094
'[13:14:15.130 19/05/1995]',-0.027,-0.016,0.001,60.751,0.019,0.094
'[13:14:15.132 19/05/1995]',-0.013,-0.025,0.001,60.751,0.019,0.094
'[13:14:15.134 19/05/1995]',0.001,-0.025,0.001,60.751,0.019,0.094
'[13:14:15.136 19/05/1995]',-0.013,-0.034,0.001,60.751,0.062,0.082
'[13:14:15.138 19/05/1995]',-0.027,-0.034,0.001,60.751,0.062,0.082
'[13:14:15.140 19/05/1995]',-0.027,-0.051,-0.009,60.751,0.062,0.082
'[13:14:15.142 19/05/1995]',-0.041,-0.059,-0.019,60.751,0.062,0.082
'[13:14:15.144 19/05/1995]',-0.041,-0.059,-0.019,60.801,0.101,0.070
'[13:14:15.146 19/05/1995]',-0.027,-0.059,-0.029,60.801,0.101,0.070
'[13:14:15.148 19/05/1995]',-0.013,-0.051,-0.019,60.801,0.101,0.070
'[13:14:15.150 19/05/1995]',-0.013,-0.042,-0.019,60.801,0.101,0.070
'[13:14:15.152 19/05/1995]',-0.041,-0.016,-0.009,60.801,0.133,0.057
'[13:14:15.154 19/05/1995]',-0.041,-0.016,0.001,60.801,0.133,0.057
'[13:14:15.156 19/05/1995]',-0.041,0.001,0.001,60.801,0.133,0.057
'[13:14:15.158 19/05/1995]',-0.027,0.001,0.010,60.801,0.133,0.057
'[13:14:15.160 19/05/1995]',-0.027,0.001,0.010,60.801,0.159,0.043
'[13:14:15.162 19/05/1995]',-0.041,0.001,0.010,60.801,0.159,0.043
'[13:14:15.164 19/05/1995]',-0.041,0.001,0.001,60.801,0.159,0.043
'[13:14:15.166 19/05/1995]',-0.041,-0.008,0.001,60.801,0.159,0.043
'[13:14:15.168 19/05/1995]',-0.041,-0.008,0.001,60.801,0.180,0.031
'[13:14:15.170 19/05/1995]',-0.041,-0.008,0.001,60.801,0.180,0.031
'[13:14:15.172 19/05/1995]',-0.041,-0.008,0.001,60.801,0.180,0.031
'[13:14:15.174 19/05/1995]',-0.041,-0.008,0.001,60.801,0.180,0.031
'[13:14:15.176 19/05/1995]',-0.027,-0.008,0.001,60.751,0.195,0.019
'[13:14:15.178 19/05/1995]',-0.027,0.001,0.010,60.751,0.195,0.019
'[13:14:15.180 19/05/1995]',-0.041,-0.008,0.001,60.751,0.195,0.019
'[13:14:15.182 19/05/1995]',-0.041,-0.016,0.001,60.751,0.195,0.019
'[13:14:15.184 19/05/1995]',-0.041,-0.016,0.001,60.701,0.207,0.009
'[13:14:15.186 19/05/1995]',-0.041,-0.016,0.001,60.701,0.207,0.009
'[13:14:15.188 19/05/1995]',-0.027,-0.008,0.001,60.701,0.207,0.009
'[13:14:15.190 19/05/1995]',-0.027,-0.016,0.001,60.701,0.207,0.009
'[13:14:15.192 19/05/1995]',-0.041,-0.016,0.001,60.651,0.212,-0.002
'[13:14:15.194 19/05/1995]',-0.041,-0.025,0.001,60.651,0.212,-0.002
'[13:14:15.196 19/05/1995]',-0.041,-0.025,0.001,60.651,0.212,-0.002
'[13:14:15.198 19/05/1995]',-0.041,-0.034,0.001,60.651,0.212,-0.002
'[13:14:15.200 19/05/1995]',-0.041,-0.025,0.001,60.651,0.214,-0.011
'[13:14:15.202 19/05/1995]',-0.041,-0.034,0.001,60.651,0.214,-0.011
'[13:14:15.204 19/05/1995]',-0.070,-0.042,0.001,60.651,0.214,-0.011
'[13:14:15.206 19/05/1995]',-0.055,-0.034,0.001,60.651,0.214,-0.011
'[13:14:15.208 19/05/1995]',-0.070,-0.042,0.001,60.601,0.214,-0.021
'[13:14:15.210 19/05/1995]',-0.070,-0.034,0.001,60.601,0.214,-0.021
'[13:14:15.212 19/05/1995]',-0.070,-0.042,0.001,60.601,0.214,-0.021
'[13:14:15.214 19/05/1995]',-0.070,-0.051,0.001,60.601,0.214,-0.021
'[13:14:15.216 19/05/1995]',-0.070,-0.068,0.001,60.451,0.212,-0.030
'[13:14:15.218 19/05/1995]',-0.084,-0.094,-0.009,60.451,0.212,-0.030
'[13:14:15.220 19/05/1995]',-0.141,-0.128,-0.039,60.451,0.212,-0.030
'[13:14:15.222 19/05/1995]',-0.155,-0.154,-0.069,60.451,0.212,-0.030
'[13:14:15.224 19/05/1995]',-0.169,-0.188,-0.089,60.300,0.205,-0.040
'[13:14:15.226 19/05/1995]',-0.183,-0.248,-0.129,60.300,0.205,-0.040
'[13:14:15.228 19/05/1995]',-0.211,-0.282,-0.149,60.300,0.205,-0.040
'[13:14:15.230 19/05/1995]',-0.225,-0.308,-0.169,60.300,0.205,-0.040
'[13:14:15.232 19/05/1995]',-0.253,-0.325,-0.179,60.050,0.205,-0.049
'[13:14:15.234 19/05/1995]',-0.296,-0.351,-0.199,60.050,0.205,-0.049
'[13:14:15.236 19/05/1995]',-0.338,-0.360,-0.209,60.050,0.205,-0.049
'[13:14:15.238 19/05/1995]',-0.367,-0.360,-0.209,60.050,0.205,-0.049
'[13:14:15.240 19/05/1995]',-0.395,-0.385,-0.219,59.800,0.203,-0.057
'[13:14:15.242 19/05/1995]',-0.423,-0.402,-0.239,59.800,0.203,-0.057
'[13:14:15.244 19/05/1995]',-0.466,-0.454,-0.259,59.800,0.203,-0.057
'[13:14:15.246 19/05/1995]',-0.494,-0.496,-0.288,59.800,0.203,-0.057
'[13:14:15.248 19/05/1995]',-0.508,-0.548,-0.338,59.699,0.202,-0.064
'[13:14:15.250 19/05/1995]',-0.536,-0.599,-0.369,59.699,0.202,-0.064
'[13:14:15.252 19/05/1995]',-0.536,-0.642,-0.399,59.699,0.202,-0.064
'[13:14:15.254 19/05/1995]',-0.551,-0.668,-0.428,59.699,0.202,-0.064
'[13:14:15.256 19/05/1995]',-0.565,-0.702,-0.428,59.549,0.203,-0.070
'[13:14:15.258 19/05/1995]',-0.565,-0.728,-0.448,59.549,0.203,-0.070
'[13:14:15.260 19/05/1995]',-0.551,-0.728,-0.438,59.549,0.203,-0.070
'[13:14:15.262 19/05/1995]',-0.551,-0.719,-0.428,59.549,0.203,-0.070
'[13:14:15.264 19/05/1995]',-0.551,-0.711,-0.419,59.399,0.205,-0.076
'[13:14:15.266 19/05/1995]',-0.536,-0.676,-0.389,59.399,0.205,-0.076
'[13:14:15.268 19/05/1995]',-0.536,-0.659,-0.379,59.399,0.205,-0.076
'[13:14:15.270 19/05/1995]',-0.536,-0.633,-0.348,59.399,0.205,-0.076
'[13:14:15.272 19/05/1995]',-0.522,-0.599,-0.328,59.299,0.210,-0.082
'[13:14:15.274 19/05/1995]',-0.508,-0.574,-0.308,59.299,0.210,-0.082
'[13:14:15.276 19/05/1995]',-0.494,-0.548,-0.288,59.299,0.210,-0.082
'[13:14:15.278 19/05/1995]',-0.494,-0.531,-0.269,59.299,0.210,-0.082
'[13:14:15.280 19/05/1995]',-0.494,-0.513,-0.259,59.199,0.218,-0.086
'[13:14:15.282 19/05/1995]',-0.508,-0.505,-0.249,59.199,0.218,-0.086
'[13:14:15.284 19/05/1995]',-0.508,-0.479,-0.229,59.199,0.218,-0.086
'[13:14:15.286 19/05/1995]',-0.508,-0.462,-0.209,59.199,0.218,-0.086
'[13:14:15.288 19/05/1995]',-0.508,-0.436,-0.189,59.048,0.227,-0.091
'[13:14:15.290 19/05/1995]',-0.508,-0.411,-0.169,59.048,0.227,-0.091
'[13:14:15.292 19/05/1995]',-0.522,-0.385,-0.149,59.048,0.227,-0.091
'[13:14:15.294 19/05/1995]',-0.508,-0.360,-0.129,59.048,0.227,-0.091
'[13:14:15.296 19/05/1995]',-0.494,-0.325,-0.109,58.998,0.235,-0.096
'[13:14:15.298 19/05/1995]',-0.480,-0.299,-0.099,58.998,0.235,-0.096
'[13:14:15.300 19/05/1995]',-0.466,-0.265,-0.079,58.998,0.235,-0.096
'[13:14:15.302 19/05/1995]',-0.437,-0.240,-0.079,58.998,0.235,-0.096
'[13:14:15.304 19/05/1995]',-0.423,-0.214,-0.069,58.898,0.246,-0.101
'[13:14:15.306 19/05/1995]',-0.395,-0.197,-0.059,58.898,0.246,-0.101
'[13:14:15.308 19/05/1995]',-0.367,-0.162,-0.039,58.898,0.246,-0.101
'[13:14:15.310 19/05/1995]',-0.338,-0.145,-0.039,58.898,0.246,-0.101
'[13:14:15.312 19/05/1995]',-0.296,-0.128,-0.019,58.698,0.257,-0.105
'[13:14:15.314 19/05/1995]',-0.282,-0.094,-0.009,58.698,0.257,-0.105
'[13:14:15.316 19/05/1995]',-0.253,-0.068,0.001,58.698,0.257,-0.105
'[13:14:15.318 19/05/1995]',-0.197,-0.016,0.030,58.698,0.257,-0.105
'[13:14:15.320 19/05/1995]',-0.155,0.001,0.051,58.447,0.268,-0.110
'[13:14:15.322 19/05/1995]',-0.155,0.018,0.040,58.447,0.268,-0.110
'[13:14:15.324 19/05/1995]',-0.155,0.035,0.040,58.447,0.268,-0.110
'[13:14:15.326 19/05/1995]',-0.155,0.052,0.051,58.447,0.268,-0.110
'[13:14:15.328 19/05/1995]',-0.141,0.052,0.051,58.247,0.281,-0.115
'[13:14:15.330 19/05/1995]',-0.112,0.069,0.051,58.247,0.281,-0.115
'[13:14:15.332 19/05/1995]',-0.112,0.061,0.051,58.247,0.281,-0.115
'[13:14:15.334 19/05/1995]',-0.084,0.052,0.051,58.247,0.281,-0.115
'[13:14:15.336 19/05/1995]',-0.070,0.061,0.051,58.047,0.293,-0.119
'[13:14:15.338 19/05/1995]',-0.055,0.061,0.051,58.047,0.293,-0.119
'[13:14:15.340 19/05/1995]',-0.041,0.061,0.071,58.047,0.293,-0.119
'[13:14:15.342 19/05/1995]',-0.013,0.078,0.081,58.047,0.293,-0.119
'[13:14:15.344 19/05/1995]',-0.013,0.095,0.081,57.997,0.310,-0.124
'[13:14:15.346 19/05/1995]',0.001,0.121,0.091,57.997,0.310,-0.124
'[13:14:15.348 19/05/1995]',0.015,0.129,0.091,57.997,0.310,-0.124
'[13:14:15.350 19/05/1995]',0.029,0.146,0.081,57.997,0.310,-0.124
'[13:14:15.352 19/05/1995]',0.043,0.163,0.091,57.997,0.326,-0.129
'[13:14:15.354 19/05/1995]',0.072,0.172,0.111,57.997,0.326,-0.129
'[13:14:15.356 19/05/1995]',0.086,0.198,0.121,57.997,0.326,-0.129
'[13:14:15.358 19/05/1995]',0.100,0.206,0.121,57.997,0.326,-0.129
'[13:14:15.360 19/05/1995]',0.114,0.206,0.121,57.997,0.341,-0.134
'[13:14:15.362 19/05/1995]',0.114,0.215,0.121,57.997,0.341,-0.134
'[13:14:15.364 19/05/1995]',0.142,0.232,0.131,57.997,0.341,-0.134
'[13:14:15.366 19/05/1995]',0.142,0.224,0.121,57.997,0.341,-0.134
'[13:14:15.368 19/05/1995]',0.157,0.224,0.121,58.097,0.359,-0.139
'[13:14:15.370 19/05/1995]',0.157,0.232,0.131,58.097,0.359,-0.139
'[13:14:15.372 19/05/1995]',0.171,0.224,0.131,58.097,0.359,-0.139
'[13:14:15.374 19/05/1995]',0.157,0.232,0.121,58.097,0.359,-0.139
'[13:14:15.376 19/05/1995]',0.157,0.224,0.121,58.247,0.381,-0.144
'[13:14:15.378 19/05/1995]',0.157,0.232,0.121,58.247,0.381,-0.144
'[13:14:15.380 19/05/1995]',0.157,0.232,0.131,58.247,0.381,-0.144
'[13:14:15.382 19/05/1995]',0.142,0.232,0.131,58.247,0.381,-0.144
'[13:14:15.384 19/05/1995]',0.157,0.241,0.121,58.397,0.407,-0.150
'[13:14:15.386 19/05/1995]',0.157,0.241,0.131,58.397,0.407,-0.150
'[13:14:15.388 19/05/1995]',0.157,0.249,0.131,58.397,0.407,-0.150
'[13:14:15.390 19/05/1995]',0.171,0.249,0.131,58.397,0.407,-0.150
'[13:14:15.392 19/05/1995]',0.185,0.258,0.150,58.648,0.620,-0.155
'[13:14:15.394 19/05/1995]',0.185,0.241,0.131,58.648,0.620,-0.155
'[13:14:15.396 19/05/1995]',0.185,0.224,0.131,58.648,0.620,-0.155
'[13:14:15.398 19/05/1995]',0.185,0.224,0.111,58.648,0.620,-0.155
'[13:14:15.400 19/05/1995]',0.185,0.215,0.111,58.948,0.656,-0.161
'[13:14:15.402 19/05/1995]',0.185,0.224,0.111,58.948,0.656,-0.161
'[13:14:15.404 19/05/1995]',0.185,0.232,0.121,58.948,0.656,-0.161
'[13:14:15.406 19/05/1995]',0.199,0.232,0.131,58.948,0.656,-0.161
'[13:14:15.408 19/05/1995]',0.213,0.241,0.131,59.299,0.695,-0.165
'[13:14:15.410 19/05/1995]',0.227,0.241,0.141,59.299,0.695,-0.165
'[13:14:15.412 19/05/1995]',0.213,0.258,0.141,59.299,0.695,-0.165
'[13:14:15.414 19/05/1995]',0.213,0.249,0.131,59.299,0.695,-0.165
'[13:14:15.416 19/05/1995]',0.213,0.249,0.131,59.900,0.740,-0.170
'[13:14:15.418 19/05/1995]',0.213,0.232,0.121,59.900,0.740,-0.170
'[13:14:15.420 19/05/1995]',0.213,0.249,0.131,59.900,0.740,-0.170
'[13:14:15.422 19/05/1995]',0.199,0.258,0.131,59.900,0.740,-0.170
'[13:14:15.424 19/05/1995]',0.213,0.258,0.141,60.701,0.793,-0.174
'[13:14:15.426 19/05/1995]',0.213,0.266,0.141,60.701,0.793,-0.174
'[13:14:15.428 19/05/1995]',0.213,0.258,0.141,60.701,0.793,-0.174
'[13:14:15.430 19/05/1995]',0.213,0.266,0.150,60.701,0.793,-0.174
'[13:14:15.432 19/05/1995]',0.213,0.275,0.141,62.103,0.854,-0.178
'[13:14:15.434 19/05/1995]',0.199,0.266,0.150,62.103,0.854,-0.178
'[13:14:15.436 19/05/1995]',0.199,0.266,0.141,62.103,0.854,-0.178
'[13:14:15.438 19/05/1995]',0.213,0.275,0.141,62.103,0.854,-0.178
'[13:14:15.440 19/05/1995]',0.213,0.258,0.131,64.357,0.917,-0.183
'[13:14:15.442 19/05/1995]',0.199,0.258,0.141,64.357,0.917,-0.183
'[13:14:15.444 19/05/1995]',0.199,0.258,0.141,64.357,0.917,-0.183
'[13:14:15.446 19/05/1995]',0.199,0.258,0.141,64.357,0.917,-0.183
'[13:14:15.448 19/05/1995]',0.213,0.258,0.141,67.562,0.991,-0.188
'[13:14:15.450 19/05/1995]',0.199,0.258,0.131,67.562,0.991,-0.188
'[13:14:15.452 19/05/1995]',0.213,0.258,0.131,67.562,0.991,-0.188
'[13:14:15.454 19/05/1995]',0.213,0.249,0.121,67.562,0.991,-0.188
'[13:14:15.456 19/05/1995]',0.227,0.241,0.131,71.920,1.024,-0.192
'[13:14:15.458 19/05/1995]',0.241,0.232,0.131,71.920,1.024,-0.192
'[13:14:15.460 19/05/1995]',0.227,0.215,0.121,71.920,1.024,-0.192
'[13:14:15.462 19/05/1995]',0.227,0.215,0.121,71.920,1.024,-0.192
'[13:14:15.464 19/05/1995]',0.227,0.206,0.121,77.128,1.024,-0.196
'[13:14:15.466 19/05/1995]',0.213,0.206,0.121,77.128,1.024,-0.196
'[13:14:15.468 19/05/1995]',0.199,0.215,0.121,77.128,1.024,-0.196
'[13:14:15.470 19/05/1995]',0.213,0.224,0.131,77.128,1.024,-0.196
'[13:14:15.472 19/05/1995]',0.213,0.241,0.131,82.938,1.024,-0.200
'[13:14:15.474 19/05/1995]',0.199,0.241,0.131,82.938,1.024,-0.200
'[13:14:15.476 19/05/1995]',0.213,0.224,0.131,82.938,1.024,-0.200
'[13:14:15.478 19/05/1995]',0.213,0.224,0.121,82.938,1.024,-0.200
'[13:14:15.480 19/05/1995]',0.213,0.224,0.131,89.048,1.024,-0.204
'[13:14:15.482 19/05/1995]',0.213,0.206,0.121,89.048,1.024,-0.204
'[13:14:15.484 19/05/1995]',0.213,0.189,0.101,89.048,1.024,-0.204
'[13:14:15.486 19/05/1995]',0.213,0.172,0.101,89.048,1.024,-0.204
'[13:14:15.488 19/05/1995]',0.227,0.172,0.111,95.158,1.024,-0.207
'[13:14:15.490 19/05/1995]',0.227,0.172,0.111,95.158,1.024,-0.207
'[13:14:15.492 19/05/1995]',0.199,0.172,0.111,95.158,1.024,-0.207
'[13:14:15.494 19/05/1995]',0.185,0.163,0.101,95.158,1.024,-0.207
'[13:14:15.496 19/05/1995]',0.171,0.163,0.101,101.018,1.024,-0.211
'[13:14:15.498 19/05/1995]',0.185,0.172,0.111,101.018,1.024,-0.211
'[13:14:15.500 19/05/1995]',0.171,0.172,0.111,101.018,1.024,-0.211
'[13:14:15.502 19/05/1995]',0.171,0.155,0.101,101.018,1.024,-0.211
'[13:14:15.504 19/05/1995]',0.157,0.146,0.091,106.477,1.024,-0.214
'[13:14:15.506 19/05/1995]',0.157,0.146,0.091,106.477,1.024,-0.214
'[13:14:15.508 19/05/1995]',0.157,0.146,0.081,106.477,1.024,-0.214
'[13:14:15.510 19/05/1995]',0.142,0.146,0.081,106.477,1.024,-0.214
'[13:14:15.512 19/05/1995]',0.142,0.146,0.091,111.235,1.024,-0.218
'[13:14:15.514 19/05/1995]',0.142,0.146,0.091,111.235,1.024,-0.218
'[13:14:15.516 19/05/1995]',0.142,0.129,0.071,111.235,1.024,-0.218
'[13:14:15.518 19/05/1995]',0.142,0.121,0.061,111.235,1.024,-0.218
'[13:14:15.520 19/05/1995]',0.142,0.129,0.061,115.042,1.024,-0.222
'[13:14:15.522 19/05/1995]',0.142,0.129,0.071,115.042,1.024,-0.222
'[13:14:15.524 19/05/1995]',0.157,0.129,0.081,115.042,1.024,-0.222
'[13:14:15.526 19/05/1995]',0.142,0.129,0.081,115.042,1.024,-0.222
'[13:14:15.528 19/05/1995]',0.142,0.121,0.081,117.796,1.024,-0.225
