'Time and date','II','MCL1','ABP','PAP','ART','PLETH','RESP'
'[14:11:49.450 07/05/1995]',0.082,-0.082,53.050,30.625,58.590,-0.331,-0.337
'[14:11:49.452 07/05/1995]',0.082,-0.075,53.050,30.625,58.590,-0.331,-0.337
'[14:11:49.454 07/05/1995]',0.099,-0.075,53.050,30.625,58.590,-0.331,-0.337
'[14:11:49.456 07/05/1995]',0.099,-0.075,56.300,32.075,57.014,-0.342,-0.341
'[14:11:49.458 07/05/1995]',0.099,-0.075,56.300,32.075,57.014,-0.342,-0.341
'[14:11:49.460 07/05/1995]',0.099,-0.075,56.300,32.075,57.014,-0.342,-0.341
'[14:11:49.462 07/05/1995]',0.099,-0.075,56.300,32.075,57.014,-0.342,-0.341
'[14:11:49.464 07/05/1995]',0.099,-0.075,59.500,35.775,55.514,-0.354,-0.345
'[14:11:49.466 07/05/1995]',0.099,-0.075,59.500,35.775,55.514,-0.354,-0.345
'[14:11:49.468 07/05/1995]',0.099,-0.082,59.500,35.775,55.514,-0.354,-0.345
'[14:11:49.470 07/05/1995]',0.099,-0.082,59.500,35.775,55.514,-0.354,-0.345
'[14:11:49.472 07/05/1995]',0.099,-0.082,62.650,41.150,54.389,-0.365,-0.349
'[14:11:49.474 07/05/1995]',0.099,-0.082,62.650,41.150,54.389,-0.365,-0.349
'[14:11:49.476 07/05/1995]',0.099,-0.082,62.650,41.150,54.389,-0.365,-0.349
'[14:11:49.478 07/05/1995]',0.099,-0.082,62.650,41.150,54.389,-0.365,-0.349
'[14:11:49.480 07/05/1995]',0.099,-0.082,66.800,46.725,53.788,-0.382,-0.353
'[14:11:49.482 07/05/1995]',0.099,-0.082,66.800,46.725,53.788,-0.382,-0.353
'[14:11:49.484 07/05/1995]',0.099,-0.082,66.800,46.725,53.788,-0.382,-0.353
'[14:11:49.486 07/05/1995]',0.099,-0.082,66.800,46.725,53.788,-0.382,-0.353
'[14:11:49.488 07/05/1995]',0.099,-0.082,72.500,51.125,53.863,-0.397,-0.358
'[14:11:49.490 07/05/1995]',0.099,-0.082,72.500,51.125,53.863,-0.397,-0.358
'[14:11:49.492 07/05/1995]',0.115,-0.082,72.500,51.125,53.863,-0.397,-0.358
'[14:11:49.494 07/05/1995]',0.099,-0.082,72.500,51.125,53.863,-0.397,-0.358
'[14:11:49.496 07/05/1995]',0.099,-0.082,78.950,53.825,54.839,-0.417,-0.363
'[14:11:49.498 07/05/1995]',0.099,-0.082,78.950,53.825,54.839,-0.417,-0.363
'[14:11:49.500 07/05/1995]',0.115,-0.082,78.950,53.825,54.839,-0.417,-0.363
'[14:11:49.502 07/05/1995]',0.115,-0.082,78.950,53.825,54.839,-0.417,-0.363
'[14:11:49.504 07/05/1995]',0.115,-0.082,84.500,55.350,56.564,-0.434,-0.368
'[14:11:49.506 07/05/1995]',0.115,-0.082,84.500,55.350,56.564,-0.434,-0.368
'[14:11:49.508 07/05/1995]',0.099,-0.082,84.500,55.350,56.564,-0.434,-0.368
'[14:11:49.510 07/05/1995]',0.099,-0.075,84.500,55.350,56.564,-0.434,-0.368
'[14:11:49.512 07/05/1995]',0.099,-0.082,87.500,56.225,58.665,-0.458,-0.373
'[14:11:49.514 07/05/1995]',0.115,-0.075,87.500,56.225,58.665,-0.458,-0.373
'[14:11:49.516 07/05/1995]',0.099,-0.075,87.500,56.225,58.665,-0.458,-0.373
'[14:11:49.518 07/05/1995]',0.099,-0.075,87.500,56.225,58.665,-0.458,-0.373
'[14:11:49.520 07/05/1995]',0.099,-0.075,87.350,56.800,61.065,-0.479,-0.378
'[14:11:49.522 07/05/1995]',0.099,-0.075,87.350,56.800,61.065,-0.479,-0.378
'[14:11:49.524 07/05/1995]',0.099,-0.061,87.350,56.800,61.065,-0.479,-0.378
'[14:11:49.526 07/05/1995]',0.099,-0.075,87.350,56.800,61.065,-0.479,-0.378
'[14:11:49.528 07/05/1995]',0.099,-0.061,84.900,57.450,63.541,-0.498,-0.383
'[14:11:49.530 07/05/1995]',0.099,-0.061,84.900,57.450,63.541,-0.498,-0.383
'[14:11:49.532 07/05/1995]',0.099,-0.061,84.900,57.450,63.541,-0.498,-0.383
'[14:11:49.534 07/05/1995]',0.082,-0.061,84.900,57.450,63.541,-0.498,-0.383
'[14:11:49.536 07/05/1995]',0.082,-0.061,81.650,58.100,66.092,-0.519,-0.388
'[14:11:49.538 07/05/1995]',0.082,-0.061,81.650,58.100,66.092,-0.519,-0.388
'[14:11:49.540 07/05/1995]',0.082,-0.041,81.650,58.100,66.092,-0.519,-0.388
'[14:11:49.542 07/05/1995]',0.082,-0.034,81.650,58.100,66.092,-0.519,-0.388
'[14:11:49.544 07/05/1995]',0.082,-0.034,78.650,58.575,68.792,-0.583,-0.393
'[14:11:49.546 07/05/1995]',0.082,-0.034,78.650,58.575,68.792,-0.583,-0.393
'[14:11:49.548 07/05/1995]',0.066,-0.034,78.650,58.575,68.792,-0.583,-0.393
'[14:11:49.550 07/05/1995]',0.066,-0.034,78.650,58.575,68.792,-0.583,-0.393
'[14:11:49.552 07/05/1995]',0.050,-0.027,76.400,58.750,71.568,-0.595,-0.398
'[14:11:49.554 07/05/1995]',0.050,-0.034,76.400,58.750,71.568,-0.595,-0.398
'[14:11:49.556 07/05/1995]',0.050,-0.027,76.400,58.750,71.568,-0.595,-0.398
'[14:11:49.558 07/05/1995]',0.050,-0.027,76.400,58.750,71.568,-0.595,-0.398
'[14:11:49.560 07/05/1995]',0.050,-0.013,75.000,58.575,74.494,-0.604,-0.404
'[14:11:49.562 07/05/1995]',0.033,-0.013,75.000,58.575,74.494,-0.604,-0.404
'[14:11:49.564 07/05/1995]',0.033,-0.027,75.000,58.575,74.494,-0.604,-0.404
'[14:11:49.566 07/05/1995]',0.033,-0.013,75.000,58.575,74.494,-0.604,-0.404
'[14:11:49.568 07/05/1995]',0.033,-0.013,74.200,58.325,77.344,-0.606,-0.409
'[14:11:49.570 07/05/1995]',0.033,-0.013,74.200,58.325,77.344,-0.606,-0.409
'[14:11:49.572 07/05/1995]',0.033,-0.006,74.200,58.325,77.344,-0.606,-0.409
'[14:11:49.574 07/05/1995]',0.017,-0.006,74.200,58.325,77.344,-0.606,-0.409
'[14:11:49.576 07/05/1995]',0.017,-0.006,73.950,58.400,80.045,-0.597,-0.415
'[14:11:49.578 07/05/1995]',0.017,-0.006,73.950,58.400,80.045,-0.597,-0.415
'[14:11:49.580 07/05/1995]',0.017,0.001,73.950,58.400,80.045,-0.597,-0.415
'[14:11:49.582 07/05/1995]',0.017,0.001,73.950,58.400,80.045,-0.597,-0.415
'[14:11:49.584 07/05/1995]',0.001,0.001,74.300,58.625,82.296,-0.583,-0.421
'[14:11:49.586 07/05/1995]',0.001,0.001,74.300,58.625,82.296,-0.583,-0.421
'[14:11:49.588 07/05/1995]',0.001,0.001,74.300,58.625,82.296,-0.583,-0.421
'[14:11:49.590 07/05/1995]',0.001,0.007,74.300,58.625,82.296,-0.583,-0.421
'[14:11:49.592 07/05/1995]',0.001,0.007,75.000,58.925,84.171,-0.561,-0.427
'[14:11:49.594 07/05/1995]',0.001,0.007,75.000,58.925,84.171,-0.561,-0.427
'[14:11:49.596 07/05/1995]',0.001,0.007,75.000,58.925,84.171,-0.561,-0.427
'[14:11:49.598 07/05/1995]',0.001,0.014,75.000,58.925,84.171,-0.561,-0.427
'[14:11:49.600 07/05/1995]',-0.015,0.014,75.650,59.150,85.671,-0.533,-0.432
'[14:11:49.602 07/05/1995]',-0.015,0.014,75.650,59.150,85.671,-0.533,-0.432
'[14:11:49.604 07/05/1995]',-0.015,0.014,75.650,59.150,85.671,-0.533,-0.432
'[14:11:49.606 07/05/1995]',-0.015,0.014,75.650,59.150,85.671,-0.533,-0.432
'[14:11:49.608 07/05/1995]',-0.015,0.028,75.900,59.025,86.797,-0.497,-0.438
'[14:11:49.610 07/05/1995]',-0.015,0.028,75.900,59.025,86.797,-0.497,-0.438
'[14:11:49.612 07/05/1995]',-0.015,0.014,75.900,59.025,86.797,-0.497,-0.438
'[14:11:49.614 07/05/1995]',-0.015,0.028,75.900,59.025,86.797,-0.497,-0.438
'[14:11:49.616 07/05/1995]',-0.015,0.028,75.300,58.575,87.622,-0.458,-0.443
'[14:11:49.618 07/05/1995]',-0.015,0.028,75.300,58.575,87.622,-0.458,-0.443
'[14:11:49.620 07/05/1995]',-0.015,0.028,75.300,58.575,87.622,-0.458,-0.443
'[14:11:49.622 07/05/1995]',-0.031,0.028,75.300,58.575,87.622,-0.458,-0.443
'[14:11:49.624 07/05/1995]',-0.015,0.028,74.000,57.675,87.997,-0.420,-0.448
'[14:11:49.626 07/05/1995]',-0.031,0.014,74.000,57.675,87.997,-0.420,-0.448
'[14:11:49.628 07/05/1995]',-0.031,0.014,74.000,57.675,87.997,-0.420,-0.448
'[14:11:49.630 07/05/1995]',-0.031,0.014,74.000,57.675,87.997,-0.420,-0.448
'[14:11:49.632 07/05/1995]',-0.031,0.014,72.200,56.275,88.072,-0.380,-0.453
'[14:11:49.634 07/05/1995]',-0.031,0.014,72.200,56.275,88.072,-0.380,-0.453
'[14:11:49.636 07/05/1995]',-0.031,0.014,72.200,56.275,88.072,-0.380,-0.453
'[14:11:49.638 07/05/1995]',-0.031,0.014,72.200,56.275,88.072,-0.380,-0.453
'[14:11:49.640 07/05/1995]',-0.031,0.007,70.100,54.450,87.697,-0.340,-0.457
'[14:11:49.642 07/05/1995]',-0.031,0.007,70.100,54.450,87.697,-0.340,-0.457
'[14:11:49.644 07/05/1995]',-0.031,0.007,70.100,54.450,87.697,-0.340,-0.457
'[14:11:49.646 07/05/1995]',-0.031,0.007,70.100,54.450,87.697,-0.340,-0.457
'[14:11:49.648 07/05/1995]',-0.031,0.007,68.100,52.350,86.947,-0.302,-0.462
'[14:11:49.650 07/05/1995]',-0.031,0.007,68.100,52.350,86.947,-0.302,-0.462
'[14:11:49.652 07/05/1995]',-0.031,0.007,68.100,52.350,86.947,-0.302,-0.462
'[14:11:49.654 07/05/1995]',-0.031,0.001,68.100,52.350,86.947,-0.302,-0.462
'[14:11:49.656 07/05/1995]',-0.031,0.007,66.550,50.075,85.821,-0.264,-0.466
'[14:11:49.658 07/05/1995]',-0.031,0.001,66.550,50.075,85.821,-0.264,-0.466
'[14:11:49.660 07/05/1995]',-0.031,0.001,66.550,50.075,85.821,-0.264,-0.466
'[14:11:49.662 07/05/1995]',-0.031,0.007,66.550,50.075,85.821,-0.264,-0.466
'[14:11:49.664 07/05/1995]',-0.015,0.001,65.850,47.675,84.396,-0.234,-0.469
'[14:11:49.666 07/05/1995]',-0.031,0.001,65.850,47.675,84.396,-0.234,-0.469
'[14:11:49.668 07/05/1995]',-0.031,0.001,65.850,47.675,84.396,-0.234,-0.469
'[14:11:49.670 07/05/1995]',-0.015,0.007,65.850,47.675,84.396,-0.234,-0.469
'[14:11:49.672 07/05/1995]',-0.015,0.001,66.100,45.275,82.671,-0.205,-0.473
'[14:11:49.674 07/05/1995]',-0.031,0.001,66.100,45.275,82.671,-0.205,-0.473
'[14:11:49.676 07/05/1995]',-0.031,0.001,66.100,45.275,82.671,-0.205,-0.473
'[14:11:49.678 07/05/1995]',-0.015,0.001,66.100,45.275,82.671,-0.205,-0.473
'[14:11:49.680 07/05/1995]',-0.015,0.001,66.750,42.750,80.645,-0.181,-0.477
'[14:11:49.682 07/05/1995]',-0.015,-0.006,66.750,42.750,80.645,-0.181,-0.477
'[14:11:49.684 07/05/1995]',-0.015,0.001,66.750,42.750,80.645,-0.181,-0.477
'[14:11:49.686 07/05/1995]',-0.015,-0.006,66.750,42.750,80.645,-0.181,-0.477
'[14:11:49.688 07/05/1995]',-0.015,0.001,67.450,40.350,78.395,-0.165,-0.481
'[14:11:49.690 07/05/1995]',-0.015,0.001,67.450,40.350,78.395,-0.165,-0.481
'[14:11:49.692 07/05/1995]',-0.015,-0.006,67.450,40.350,78.395,-0.165,-0.481
'[14:11:49.694 07/05/1995]',-0.015,-0.006,67.450,40.350,78.395,-0.165,-0.481
'[14:11:49.696 07/05/1995]',-0.015,-0.006,68.000,38.525,76.219,-0.148,-0.485
'[14:11:49.698 07/05/1995]',-0.015,-0.006,68.000,38.525,76.219,-0.148,-0.485
'[14:11:49.700 07/05/1995]',-0.015,-0.006,68.000,38.525,76.219,-0.148,-0.485
'[14:11:49.702 07/05/1995]',0.001,-0.006,68.000,38.525,76.219,-0.148,-0.485
'[14:11:49.704 07/05/1995]',0.001,-0.006,68.850,38.125,74.119,-0.141,-0.489
'[14:11:49.706 07/05/1995]',-0.015,-0.006,68.850,38.125,74.119,-0.141,-0.489
'[14:11:49.708 07/05/1995]',0.001,0.001,68.850,38.125,74.119,-0.141,-0.489
'[14:11:49.710 07/05/1995]',0.001,0.001,68.850,38.125,74.119,-0.141,-0.489
'[14:11:49.712 07/05/1995]',0.001,0.001,70.450,39.225,72.318,-0.137,-0.493
'[14:11:49.714 07/05/1995]',0.001,0.001,70.450,39.225,72.318,-0.137,-0.493
'[14:11:49.716 07/05/1995]',0.001,0.001,70.450,39.225,72.318,-0.137,-0.493
'[14:11:49.718 07/05/1995]',0.001,0.001,70.450,39.225,72.318,-0.137,-0.493
'[14:11:49.720 07/05/1995]',0.001,0.001,72.950,40.975,70.743,-0.137,-0.497
'[14:11:49.722 07/05/1995]',0.001,0.001,72.950,40.975,70.743,-0.137,-0.497
'[14:11:49.724 07/05/1995]',0.001,-0.006,72.950,40.975,70.743,-0.137,-0.497
'[14:11:49.726 07/05/1995]',0.001,0.001,72.950,40.975,70.743,-0.137,-0.497
'[14:11:49.728 07/05/1995]',0.001,0.001,76.250,41.975,69.542,-0.139,-0.501
'[14:11:49.730 07/05/1995]',0.001,0.001,76.250,41.975,69.542,-0.139,-0.501
'[14:11:49.732 07/05/1995]',0.001,0.001,76.250,41.975,69.542,-0.139,-0.501
'[14:11:49.734 07/05/1995]',0.001,0.001,76.250,41.975,69.542,-0.139,-0.501
'[14:11:49.736 07/05/1995]',0.001,0.001,80.300,41.450,68.867,-0.151,-0.504
'[14:11:49.738 07/05/1995]',0.001,0.001,80.300,41.450,68.867,-0.151,-0.504
'[14:11:49.740 07/05/1995]',0.001,0.001,80.300,41.450,68.867,-0.151,-0.504
'[14:11:49.742 07/05/1995]',0.001,0.001,80.300,41.450,68.867,-0.151,-0.504
'[14:11:49.744 07/05/1995]',0.001,0.001,85.100,39.650,68.717,-0.163,-0.507
'[14:11:49.746 07/05/1995]',0.001,0.001,85.100,39.650,68.717,-0.163,-0.507
'[14:11:49.748 07/05/1995]',0.001,0.001,85.100,39.650,68.717,-0.163,-0.507
'[14:11:49.750 07/05/1995]',0.001,0.001,85.100,39.650,68.717,-0.163,-0.507
'[14:11:49.752 07/05/1995]',0.001,0.001,90.500,37.525,69.392,-0.176,-0.508
'[14:11:49.754 07/05/1995]',0.001,0.001,90.500,37.525,69.392,-0.176,-0.508
'[14:11:49.756 07/05/1995]',0.001,0.001,90.500,37.525,69.392,-0.176,-0.508
'[14:11:49.758 07/05/1995]',0.001,0.001,90.500,37.525,69.392,-0.176,-0.508
'[14:11:49.760 07/05/1995]',0.001,0.007,96.000,36.075,70.743,-0.196,-0.509
'[14:11:49.762 07/05/1995]',0.001,0.001,96.000,36.075,70.743,-0.196,-0.509
'[14:11:49.764 07/05/1995]',0.001,0.001,96.000,36.075,70.743,-0.196,-0.509
'[14:11:49.766 07/05/1995]',0.001,0.001,96.000,36.075,70.743,-0.196,-0.509
'[14:11:49.768 07/05/1995]',0.001,0.001,101.100,35.525,72.993,-0.214,-0.509
'[14:11:49.770 07/05/1995]',0.001,0.001,101.100,35.525,72.993,-0.214,-0.509
'[14:11:49.772 07/05/1995]',0.001,0.001,101.100,35.525,72.993,-0.214,-0.509
'[14:11:49.774 07/05/1995]',0.001,0.001,101.100,35.525,72.993,-0.214,-0.509
'[14:11:49.776 07/05/1995]',0.001,0.001,105.250,35.825,75.919,-0.234,-0.509
'[14:11:49.778 07/05/1995]',0.001,0.001,105.250,35.825,75.919,-0.234,-0.509
'[14:11:49.780 07/05/1995]',0.001,0.001,105.250,35.825,75.919,-0.234,-0.509
'[14:11:49.782 07/05/1995]',0.001,0.001,105.250,35.825,75.919,-0.234,-0.509
'[14:11:49.784 07/05/1995]',0.001,0.001,108.250,36.425,79.595,-0.257,-0.507
'[14:11:49.786 07/05/1995]',0.001,0.001,108.250,36.425,79.595,-0.257,-0.507
'[14:11:49.788 07/05/1995]',-0.015,0.001,108.250,36.425,79.595,-0.257,-0.507
'[14:11:49.790 07/05/1995]',-0.015,0.001,108.250,36.425,79.595,-0.257,-0.507
'[14:11:49.792 07/05/1995]',-0.015,0.001,110.050,36.825,83.796,-0.274,-0.505
'[14:11:49.794 07/05/1995]',-0.015,0.001,110.050,36.825,83.796,-0.274,-0.505
'[14:11:49.796 07/05/1995]',-0.015,0.001,110.050,36.825,83.796,-0.274,-0.505
'[14:11:49.798 07/05/1995]',-0.015,0.001,110.050,36.825,83.796,-0.274,-0.505
'[14:11:49.800 07/05/1995]',-0.015,0.001,111.150,36.875,88.672,-0.290,-0.503
'[14:11:49.802 07/05/1995]',0.001,0.001,111.150,36.875,88.672,-0.290,-0.503
'[14:11:49.804 07/05/1995]',0.001,0.001,111.150,36.875,88.672,-0.290,-0.503
'[14:11:49.806 07/05/1995]',-0.015,0.001,111.150,36.875,88.672,-0.290,-0.503
'[14:11:49.808 07/05/1995]',-0.015,0.001,112.350,36.650,93.773,-0.299,-0.500
'[14:11:49.810 07/05/1995]',-0.015,0.001,112.350,36.650,93.773,-0.299,-0.500
'[14:11:49.812 07/05/1995]',-0.015,0.001,112.350,36.650,93.773,-0.299,-0.500
'[14:11:49.814 07/05/1995]',-0.015,0.001,112.350,36.650,93.773,-0.299,-0.500
'[14:11:49.816 07/05/1995]',-0.015,0.001,114.100,36.175,99.175,-0.304,-0.497
'[14:11:49.818 07/05/1995]',-0.015,0.001,114.100,36.175,99.175,-0.304,-0.497
'[14:11:49.820 07/05/1995]',-0.015,0.001,114.100,36.175,99.175,-0.304,-0.497
'[14:11:49.822 07/05/1995]',-0.015,0.001,114.100,36.175,99.175,-0.304,-0.497
'[14:11:49.824 07/05/1995]',-0.015,0.001,115.800,35.600,104.651,-0.297,-0.493
'[14:11:49.826 07/05/1995]',-0.015,0.001,115.800,35.600,104.651,-0.297,-0.493
'[14:11:49.828 07/05/1995]',-0.015,0.001,115.800,35.600,104.651,-0.297,-0.493
'[14:11:49.830 07/05/1995]',-0.015,0.007,115.800,35.600,104.651,-0.297,-0.493
'[14:11:49.832 07/05/1995]',-0.015,0.001,116.400,34.825,109.827,-0.281,-0.490
'[14:11:49.834 07/05/1995]',-0.015,0.007,116.400,34.825,109.827,-0.281,-0.490
'[14:11:49.836 07/05/1995]',-0.015,0.001,116.400,34.825,109.827,-0.281,-0.490
'[14:11:49.838 07/05/1995]',-0.015,0.001,116.400,34.825,109.827,-0.281,-0.490
'[14:11:49.840 07/05/1995]',-0.015,0.001,115.250,33.900,114.704,-0.255,-0.486
'[14:11:49.842 07/05/1995]',-0.015,0.001,115.250,33.900,114.704,-0.255,-0.486
'[14:11:49.844 07/05/1995]',-0.015,0.007,115.250,33.900,114.704,-0.255,-0.486
'[14:11:49.846 07/05/1995]',-0.015,0.001,115.250,33.900,114.704,-0.255,-0.486
'[14:11:49.848 07/05/1995]',0.001,0.007,112.400,32.950,118.905,-0.222,-0.483
'[14:11:49.850 07/05/1995]',0.001,0.007,112.400,32.950,118.905,-0.222,-0.483
'[14:11:49.852 07/05/1995]',0.001,0.001,112.400,32.950,118.905,-0.222,-0.483
'[14:11:49.854 07/05/1995]',0.001,0.007,112.400,32.950,118.905,-0.222,-0.483
'[14:11:49.856 07/05/1995]',0.001,0.007,108.100,32.075,122.206,-0.176,-0.479
'[14:11:49.858 07/05/1995]',0.001,0.007,108.100,32.075,122.206,-0.176,-0.479
'[14:11:49.860 07/05/1995]',0.001,0.007,108.100,32.075,122.206,-0.176,-0.479
'[14:11:49.862 07/05/1995]',0.017,0.007,108.100,32.075,122.206,-0.176,-0.479
'[14:11:49.864 07/05/1995]',0.017,0.001,103.700,31.375,124.531,-0.120,-0.475
'[14:11:49.866 07/05/1995]',0.017,0.001,103.700,31.375,124.531,-0.120,-0.475
'[14:11:49.868 07/05/1995]',0.033,0.001,103.700,31.375,124.531,-0.120,-0.475
'[14:11:49.870 07/05/1995]',0.033,0.007,103.700,31.375,124.531,-0.120,-0.475
'[14:11:49.872 07/05/1995]',0.033,0.007,100.750,30.800,125.956,-0.057,-0.472
'[14:11:49.874 07/05/1995]',0.050,0.001,100.750,30.800,125.956,-0.057,-0.472
'[14:11:49.876 07/05/1995]',0.050,0.001,100.750,30.800,125.956,-0.057,-0.472
'[14:11:49.878 07/05/1995]',0.050,0.001,100.750,30.800,125.956,-0.057,-0.472
'[14:11:49.880 07/05/1995]',0.050,-0.006,99.750,30.550,126.557,0.012,-0.469
'[14:11:49.882 07/05/1995]',0.050,-0.006,99.750,30.550,126.557,0.012,-0.469
'[14:11:49.884 07/05/1995]',0.050,-0.006,99.750,30.550,126.557,0.012,-0.469
'[14:11:49.886 07/05/1995]',0.050,-0.006,99.750,30.550,126.557,0.012,-0.469
'[14:11:49.888 07/05/1995]',0.033,-0.006,100.100,30.725,126.257,0.083,-0.466
'[14:11:49.890 07/05/1995]',0.033,-0.006,100.100,30.725,126.257,0.083,-0.466
'[14:11:49.892 07/05/1995]',0.033,-0.006,100.100,30.725,126.257,0.083,-0.466
'[14:11:49.894 07/05/1995]',0.017,-0.013,100.100,30.725,126.257,0.083,-0.466
'[14:11:49.896 07/05/1995]',0.033,-0.013,100.800,31.325,125.056,0.156,-0.463
'[14:11:49.898 07/05/1995]',0.033,-0.013,100.800,31.325,125.056,0.156,-0.463
'[14:11:49.900 07/05/1995]',0.033,-0.013,100.800,31.325,125.056,0.156,-0.463
'[14:11:49.902 07/05/1995]',0.033,-0.027,100.800,31.325,125.056,0.156,-0.463
'[14:11:49.904 07/05/1995]',0.017,-0.027,100.450,31.950,122.731,0.227,-0.461
'[14:11:49.906 07/05/1995]',0.017,-0.034,100.450,31.950,122.731,0.227,-0.461
'[14:11:49.908 07/05/1995]',0.001,-0.041,100.450,31.950,122.731,0.227,-0.461
'[14:11:49.910 07/05/1995]',0.001,-0.034,100.450,31.950,122.731,0.227,-0.461
'[14:11:49.912 07/05/1995]',0.001,-0.034,97.900,32.200,119.505,0.293,-0.459
'[14:11:49.914 07/05/1995]',0.001,-0.034,97.900,32.200,119.505,0.293,-0.459
'[14:11:49.916 07/05/1995]',0.001,-0.034,97.900,32.200,119.505,0.293,-0.459
'[14:11:49.918 07/05/1995]',0.017,-0.034,97.900,32.200,119.505,0.293,-0.459
'[14:11:49.920 07/05/1995]',0.017,-0.034,93.000,31.725,115.679,0.352,-0.457
'[14:11:49.922 07/05/1995]',0.001,-0.034,93.000,31.725,115.679,0.352,-0.457
'[14:11:49.924 07/05/1995]',0.017,-0.034,93.000,31.725,115.679,0.352,-0.457
'[14:11:49.926 07/05/1995]',0.017,-0.034,93.000,31.725,115.679,0.352,-0.457
'[14:11:49.928 07/05/1995]',0.017,-0.034,86.600,30.550,111.478,0.404,-0.456
'[14:11:49.930 07/05/1995]',0.017,-0.034,86.600,30.550,111.478,0.404,-0.456
'[14:11:49.932 07/05/1995]',0.001,-0.034,86.600,30.550,111.478,0.404,-0.456
'[14:11:49.934 07/05/1995]',0.017,-0.027,86.600,30.550,111.478,0.404,-0.456
'[14:11:49.936 07/05/1995]',0.001,-0.013,80.350,29.200,107.352,0.446,-0.454
'[14:11:49.938 07/05/1995]',0.001,-0.013,80.350,29.200,107.352,0.446,-0.454
'[14:11:49.940 07/05/1995]',0.017,-0.006,80.350,29.200,107.352,0.446,-0.454
'[14:11:49.942 07/05/1995]',0.001,0.001,80.350,29.200,107.352,0.446,-0.454
'[14:11:49.944 07/05/1995]',0.001,0.001,75.500,28.100,103.151,0.474,-0.453
'[14:11:49.946 07/05/1995]',0.001,0.007,75.500,28.100,103.151,0.474,-0.453
'[14:11:49.948 07/05/1995]',-0.015,0.007,75.500,28.100,103.151,0.474,-0.453
'[14:11:49.950 07/05/1995]',-0.015,0.007,75.500,28.100,103.151,0.474,-0.453
'[14:11:49.952 07/05/1995]',-0.031,0.014,72.650,27.500,99.100,0.498,-0.452
'[14:11:49.954 07/05/1995]',-0.031,0.014,72.650,27.500,99.100,0.498,-0.452
'[14:11:49.956 07/05/1995]',-0.031,0.028,72.650,27.500,99.100,0.498,-0.452
'[14:11:49.958 07/05/1995]',-0.031,0.014,72.650,27.500,99.100,0.498,-0.452
'[14:11:49.960 07/05/1995]',-0.047,0.028,71.900,27.450,95.124,0.505,-0.451
'[14:11:49.962 07/05/1995]',-0.031,0.035,71.900,27.450,95.124,0.505,-0.451
'[14:11:49.964 07/05/1995]',-0.047,0.028,71.900,27.450,95.124,0.505,-0.451
'[14:11:49.966 07/05/1995]',-0.047,0.014,71.900,27.450,95.124,0.505,-0.451
'[14:11:49.968 07/05/1995]',-0.047,0.014,72.700,27.750,91.373,0.507,-0.451
'[14:11:49.970 07/05/1995]',-0.047,0.014,72.700,27.750,91.373,0.507,-0.451
'[14:11:49.972 07/05/1995]',-0.047,0.014,72.700,27.750,91.373,0.507,-0.451
'[14:11:49.974 07/05/1995]',-0.047,0.014,72.700,27.750,91.373,0.507,-0.451
'[14:11:49.976 07/05/1995]',-0.047,0.014,74.400,28.275,87.922,0.500,-0.450
'[14:11:49.978 07/05/1995]',-0.047,0.014,74.400,28.275,87.922,0.500,-0.450
'[14:11:49.980 07/05/1995]',-0.047,0.014,74.400,28.275,87.922,0.500,-0.450
'[14:11:49.982 07/05/1995]',-0.047,0.014,74.400,28.275,87.922,0.500,-0.450
'[14:11:49.984 07/05/1995]',-0.031,0.014,76.400,28.750,84.696,0.481,-0.450
'[14:11:49.986 07/05/1995]',-0.031,0.014,76.400,28.750,84.696,0.481,-0.450
'[14:11:49.988 07/05/1995]',-0.031,0.014,76.400,28.750,84.696,0.481,-0.450
'[14:11:49.990 07/05/1995]',-0.031,0.014,76.400,28.750,84.696,0.481,-0.450
'[14:11:49.992 07/05/1995]',-0.031,0.014,78.100,28.850,81.845,0.453,-0.449
'[14:11:49.994 07/05/1995]',-0.031,0.014,78.100,28.850,81.845,0.453,-0.449
'[14:11:49.996 07/05/1995]',-0.031,0.014,78.100,28.850,81.845,0.453,-0.449
'[14:11:49.998 07/05/1995]',-0.031,0.028,78.100,28.850,81.845,0.453,-0.449
'[14:11:50.000 07/05/1995]',-0.031,0.014,79.150,28.675,79.295,0.422,-0.449
'[14:11:50.002 07/05/1995]',-0.031,0.007,79.150,28.675,79.295,0.422,-0.449
'[14:11:50.004 07/05/1995]',-0.031,0.014,79.150,28.675,79.295,0.422,-0.449
'[14:11:50.006 07/05/1995]',-0.031,0.007,79.150,28.675,79.295,0.422,-0.449
'[14:11:50.008 07/05/1995]',-0.031,0.014,79.400,28.325,77.119,0.385,-0.449
'[14:11:50.010 07/05/1995]',-0.031,0.014,79.400,28.325,77.119,0.385,-0.449
'[14:11:50.012 07/05/1995]',-0.031,0.014,79.400,28.325,77.119,0.385,-0.449
'[14:11:50.014 07/05/1995]',-0.015,0.014,79.400,28.325,77.119,0.385,-0.449
'[14:11:50.016 07/05/1995]',-0.015,0.014,78.800,28.025,75.169,0.349,-0.449
'[14:11:50.018 07/05/1995]',-0.031,0.007,78.800,28.025,75.169,0.349,-0.449
'[14:11:50.020 07/05/1995]',-0.031,0.007,78.800,28.025,75.169,0.349,-0.449
'[14:11:50.022 07/05/1995]',-0.031,0.014,78.800,28.025,75.169,0.349,-0.449
