'Time and date','MCL1','II','ABP','PAP','CVP','PLETH'
'[10:38:32.252 09/02/1996]',0.103,-0.022,71.307,26.372,10.300,0.297
'[10:38:32.254 09/02/1996]',0.133,0.010,71.307,26.372,10.300,0.297
'[10:38:32.256 09/02/1996]',0.178,0.063,72.211,26.247,10.012,0.245
'[10:38:32.258 09/02/1996]',0.224,0.116,72.211,26.247,10.012,0.245
'[10:38:32.260 09/02/1996]',0.282,0.186,72.211,26.247,10.012,0.245
'[10:38:32.262 09/02/1996]',0.340,0.256,72.211,26.247,10.012,0.245
'[10:38:32.264 09/02/1996]',0.399,0.338,72.965,26.247,9.775,0.190
'[10:38:32.266 09/02/1996]',0.458,0.419,72.965,26.247,9.775,0.190
'[10:38:32.268 09/02/1996]',0.499,0.497,72.965,26.247,9.775,0.190
'[10:38:32.270 09/02/1996]',0.541,0.576,72.965,26.247,9.775,0.190
'[10:38:32.272 09/02/1996]',0.550,0.635,73.518,26.247,9.600,0.137
'[10:38:32.274 09/02/1996]',0.559,0.694,73.518,26.247,9.600,0.137
'[10:38:32.276 09/02/1996]',0.530,0.722,73.518,26.247,9.600,0.137
'[10:38:32.278 09/02/1996]',0.502,0.749,73.518,26.247,9.600,0.137
'[10:38:32.280 09/02/1996]',0.444,0.742,73.618,26.147,9.475,0.083
'[10:38:32.282 09/02/1996]',0.386,0.734,73.618,26.147,9.475,0.083
'[10:38:32.284 09/02/1996]',0.316,0.698,73.618,26.147,9.475,0.083
'[10:38:32.286 09/02/1996]',0.245,0.661,73.618,26.147,9.475,0.083
'[10:38:32.288 09/02/1996]',0.181,0.607,73.518,25.847,9.425,0.029
'[10:38:32.290 09/02/1996]',0.117,0.552,73.518,25.847,9.425,0.029
'[10:38:32.292 09/02/1996]',0.068,0.488,73.518,25.847,9.425,0.029
'[10:38:32.294 09/02/1996]',0.019,0.425,73.518,25.847,9.425,0.029
'[10:38:32.296 09/02/1996]',-0.014,0.359,73.266,25.371,9.475,-0.018
'[10:38:32.298 09/02/1996]',-0.047,0.294,73.266,25.371,9.475,-0.018
'[10:38:32.300 09/02/1996]',-0.064,0.234,73.266,25.371,9.475,-0.018
'[10:38:32.302 09/02/1996]',-0.080,0.173,73.266,25.371,9.475,-0.018
'[10:38:32.304 09/02/1996]',-0.084,0.123,72.714,24.796,9.662,-0.065
'[10:38:32.306 09/02/1996]',-0.088,0.073,72.714,24.796,9.662,-0.065
'[10:38:32.308 09/02/1996]',-0.084,0.032,72.714,24.796,9.662,-0.065
'[10:38:32.310 09/02/1996]',-0.080,-0.009,72.714,24.796,9.662,-0.065
'[10:38:32.312 09/02/1996]',-0.073,-0.042,71.960,24.145,9.775,-0.111
'[10:38:32.314 09/02/1996]',-0.066,-0.074,71.960,24.145,9.775,-0.111
'[10:38:32.316 09/02/1996]',-0.060,-0.099,71.960,24.145,9.775,-0.111
'[10:38:32.318 09/02/1996]',-0.055,-0.123,71.960,24.145,9.775,-0.111
'[10:38:32.320 09/02/1996]',-0.051,-0.141,71.256,23.445,9.950,-0.149
'[10:38:32.322 09/02/1996]',-0.048,-0.159,71.256,23.445,9.950,-0.149
'[10:38:32.324 09/02/1996]',-0.046,-0.169,71.256,23.445,9.950,-0.149
'[10:38:32.326 09/02/1996]',-0.044,-0.179,71.256,23.445,9.950,-0.149
'[10:38:32.328 09/02/1996]',-0.042,-0.182,70.603,22.744,10.062,-0.188
'[10:38:32.330 09/02/1996]',-0.040,-0.185,70.603,22.744,10.062,-0.188
'[10:38:32.332 09/02/1996]',-0.040,-0.184,70.603,22.744,10.062,-0.188
'[10:38:32.334 09/02/1996]',-0.040,-0.184,70.603,22.744,10.062,-0.188
'[10:38:32.336 09/02/1996]',-0.041,-0.183,70.050,21.868,10.062,-0.219
'[10:38:32.338 09/02/1996]',-0.041,-0.182,70.050,21.868,10.062,-0.219
'[10:38:32.340 09/02/1996]',-0.042,-0.180,70.050,21.868,10.062,-0.219
'[10:38:32.342 09/02/1996]',-0.043,-0.179,70.050,21.868,10.062,-0.219
'[10:38:32.344 09/02/1996]',-0.043,-0.176,69.497,20.992,10.062,-0.251
'[10:38:32.346 09/02/1996]',-0.043,-0.174,69.497,20.992,10.062,-0.251
'[10:38:32.348 09/02/1996]',-0.041,-0.170,69.497,20.992,10.062,-0.251
'[10:38:32.350 09/02/1996]',-0.039,-0.166,69.497,20.992,10.062,-0.251
'[10:38:32.352 09/02/1996]',-0.035,-0.162,69.045,19.992,10.062,-0.280
'[10:38:32.354 09/02/1996]',-0.031,-0.157,69.045,19.992,10.062,-0.280
'[10:38:32.356 09/02/1996]',-0.026,-0.152,69.045,19.992,10.062,-0.280
'[10:38:32.358 09/02/1996]',-0.021,-0.148,69.045,19.992,10.062,-0.280
'[10:38:32.360 09/02/1996]',-0.017,-0.144,68.442,19.116,10.125,-0.306
'[10:38:32.362 09/02/1996]',-0.013,-0.140,68.442,19.116,10.125,-0.306
'[10:38:32.364 09/02/1996]',-0.011,-0.136,68.442,19.116,10.125,-0.306
'[10:38:32.366 09/02/1996]',-0.008,-0.132,68.442,19.116,10.125,-0.306
'[10:38:32.368 09/02/1996]',-0.007,-0.130,67.889,18.390,10.188,-0.326
'[10:38:32.370 09/02/1996]',-0.007,-0.128,67.889,18.390,10.188,-0.326
'[10:38:32.372 09/02/1996]',-0.008,-0.129,67.889,18.390,10.188,-0.326
'[10:38:32.374 09/02/1996]',-0.009,-0.129,67.889,18.390,10.188,-0.326
'[10:38:32.376 09/02/1996]',-0.012,-0.130,67.538,17.940,10.300,-0.348
'[10:38:32.378 09/02/1996]',-0.015,-0.130,67.538,17.940,10.300,-0.348
'[10:38:32.380 09/02/1996]',-0.018,-0.129,67.538,17.940,10.300,-0.348
'[10:38:32.382 09/02/1996]',-0.020,-0.127,67.538,17.940,10.300,-0.348
'[10:38:32.384 09/02/1996]',-0.021,-0.123,67.085,18.040,10.475,-0.368
'[10:38:32.386 09/02/1996]',-0.023,-0.119,67.085,18.040,10.475,-0.368
'[10:38:32.388 09/02/1996]',-0.022,-0.113,67.085,18.040,10.475,-0.368
'[10:38:32.390 09/02/1996]',-0.021,-0.107,67.085,18.040,10.475,-0.368
'[10:38:32.392 09/02/1996]',-0.019,-0.102,66.382,18.691,10.713,-0.389
'[10:38:32.394 09/02/1996]',-0.017,-0.096,66.382,18.691,10.713,-0.389
'[10:38:32.396 09/02/1996]',-0.013,-0.094,66.382,18.691,10.713,-0.389
'[10:38:32.398 09/02/1996]',-0.010,-0.092,66.382,18.691,10.713,-0.389
'[10:38:32.400 09/02/1996]',-0.006,-0.094,65.628,19.816,11.238,-0.407
'[10:38:32.402 09/02/1996]',-0.003,-0.096,65.628,19.816,11.238,-0.407
'[10:38:32.404 09/02/1996]',-0.002,-0.101,65.628,19.816,11.238,-0.407
'[10:38:32.406 09/02/1996]',0.000,-0.106,65.628,19.816,11.238,-0.407
'[10:38:32.408 09/02/1996]',0.000,-0.113,64.925,20.867,11.938,-0.425
'[10:38:32.410 09/02/1996]',0.000,-0.119,64.925,20.867,11.938,-0.425
'[10:38:32.412 09/02/1996]',-0.001,-0.124,64.925,20.867,11.938,-0.425
'[10:38:32.414 09/02/1996]',-0.001,-0.130,64.925,20.867,11.938,-0.425
'[10:38:32.416 09/02/1996]',-0.003,-0.134,64.372,21.343,12.825,-0.441
'[10:38:32.418 09/02/1996]',-0.004,-0.137,64.372,21.343,12.825,-0.441
'[10:38:32.420 09/02/1996]',-0.006,-0.139,64.372,21.343,12.825,-0.441
'[10:38:32.422 09/02/1996]',-0.008,-0.141,64.372,21.343,12.825,-0.441
'[10:38:32.424 09/02/1996]',-0.010,-0.142,64.020,21.093,13.525,-0.457
'[10:38:32.426 09/02/1996]',-0.012,-0.143,64.020,21.093,13.525,-0.457
'[10:38:32.428 09/02/1996]',-0.015,-0.143,64.020,21.093,13.525,-0.457
'[10:38:32.430 09/02/1996]',-0.017,-0.144,64.020,21.093,13.525,-0.457
'[10:38:32.432 09/02/1996]',-0.020,-0.146,63.769,20.817,13.938,-0.500
'[10:38:32.434 09/02/1996]',-0.023,-0.148,63.769,20.817,13.938,-0.500
'[10:38:32.436 09/02/1996]',-0.027,-0.153,63.769,20.817,13.938,-0.500
'[10:38:32.438 09/02/1996]',-0.031,-0.158,63.769,20.817,13.938,-0.500
'[10:38:32.440 09/02/1996]',-0.035,-0.166,64.020,21.093,13.938,-0.513
'[10:38:32.442 09/02/1996]',-0.039,-0.173,64.020,21.093,13.938,-0.513
'[10:38:32.444 09/02/1996]',-0.043,-0.181,64.020,21.093,13.938,-0.513
'[10:38:32.446 09/02/1996]',-0.046,-0.189,64.020,21.093,13.938,-0.513
'[10:38:32.448 09/02/1996]',-0.049,-0.196,65.025,22.269,13.588,-0.527
'[10:38:32.450 09/02/1996]',-0.052,-0.203,65.025,22.269,13.588,-0.527
'[10:38:32.452 09/02/1996]',-0.055,-0.210,65.025,22.269,13.588,-0.527
'[10:38:32.454 09/02/1996]',-0.058,-0.217,65.025,22.269,13.588,-0.527
'[10:38:32.456 09/02/1996]',-0.060,-0.224,67.387,23.845,13.000,-0.535
'[10:38:32.458 09/02/1996]',-0.063,-0.230,67.387,23.845,13.000,-0.535
'[10:38:32.460 09/02/1996]',-0.066,-0.234,67.387,23.845,13.000,-0.535
'[10:38:32.462 09/02/1996]',-0.068,-0.238,67.387,23.845,13.000,-0.535
'[10:38:32.464 09/02/1996]',-0.071,-0.239,71.658,25.321,12.412,-0.542
'[10:38:32.466 09/02/1996]',-0.075,-0.241,71.658,25.321,12.412,-0.542
'[10:38:32.468 09/02/1996]',-0.079,-0.241,71.658,25.321,12.412,-0.542
'[10:38:32.470 09/02/1996]',-0.083,-0.241,71.658,25.321,12.412,-0.542
'[10:38:32.472 09/02/1996]',-0.087,-0.239,77.940,26.197,12.000,-0.544
'[10:38:32.474 09/02/1996]',-0.091,-0.238,77.940,26.197,12.000,-0.544
'[10:38:32.476 09/02/1996]',-0.092,-0.235,77.940,26.197,12.000,-0.544
'[10:38:32.478 09/02/1996]',-0.094,-0.233,77.940,26.197,12.000,-0.544
'[10:38:32.480 09/02/1996]',-0.095,-0.232,85.729,26.722,11.762,-0.542
'[10:38:32.482 09/02/1996]',-0.096,-0.231,85.729,26.722,11.762,-0.542
'[10:38:32.484 09/02/1996]',-0.098,-0.232,85.729,26.722,11.762,-0.542
'[10:38:32.486 09/02/1996]',-0.100,-0.232,85.729,26.722,11.762,-0.542
'[10:38:32.488 09/02/1996]',-0.101,-0.235,94.221,27.198,11.825,-0.538
'[10:38:32.490 09/02/1996]',-0.102,-0.238,94.221,27.198,11.825,-0.538
'[10:38:32.492 09/02/1996]',-0.103,-0.240,94.221,27.198,11.825,-0.538
'[10:38:32.494 09/02/1996]',-0.104,-0.243,94.221,27.198,11.825,-0.538
'[10:38:32.496 09/02/1996]',-0.105,-0.244,102.412,27.848,12.000,-0.521
'[10:38:32.498 09/02/1996]',-0.106,-0.246,102.412,27.848,12.000,-0.521
'[10:38:32.500 09/02/1996]',-0.106,-0.247,102.412,27.848,12.000,-0.521
'[10:38:32.502 09/02/1996]',-0.106,-0.249,102.412,27.848,12.000,-0.521
'[10:38:32.504 09/02/1996]',-0.105,-0.248,109.296,28.549,12.287,-0.500
'[10:38:32.506 09/02/1996]',-0.105,-0.248,109.296,28.549,12.287,-0.500
'[10:38:32.508 09/02/1996]',-0.104,-0.245,109.296,28.549,12.287,-0.500
'[10:38:32.510 09/02/1996]',-0.103,-0.242,109.296,28.549,12.287,-0.500
'[10:38:32.512 09/02/1996]',-0.102,-0.239,114.271,29.024,12.650,-0.465
'[10:38:32.514 09/02/1996]',-0.100,-0.237,114.271,29.024,12.650,-0.465
'[10:38:32.516 09/02/1996]',-0.098,-0.236,114.271,29.024,12.650,-0.465
'[10:38:32.518 09/02/1996]',-0.095,-0.235,114.271,29.024,12.650,-0.465
'[10:38:32.520 09/02/1996]',-0.089,-0.232,117.085,29.199,13.000,-0.426
'[10:38:32.522 09/02/1996]',-0.084,-0.229,117.085,29.199,13.000,-0.426
'[10:38:32.524 09/02/1996]',-0.079,-0.223,117.085,29.199,13.000,-0.426
'[10:38:32.526 09/02/1996]',-0.073,-0.217,117.085,29.199,13.000,-0.426
'[10:38:32.528 09/02/1996]',-0.068,-0.210,118.040,29.024,13.350,-0.374
'[10:38:32.530 09/02/1996]',-0.063,-0.203,118.040,29.024,13.350,-0.374
'[10:38:32.532 09/02/1996]',-0.059,-0.197,118.040,29.024,13.350,-0.374
'[10:38:32.534 09/02/1996]',-0.054,-0.190,118.040,29.024,13.350,-0.374
'[10:38:32.536 09/02/1996]',-0.050,-0.183,117.387,28.724,13.588,-0.312
'[10:38:32.538 09/02/1996]',-0.046,-0.177,117.387,28.724,13.588,-0.312
'[10:38:32.540 09/02/1996]',-0.043,-0.170,117.387,28.724,13.588,-0.312
'[10:38:32.542 09/02/1996]',-0.040,-0.162,117.387,28.724,13.588,-0.312
'[10:38:32.544 09/02/1996]',-0.037,-0.154,115.779,28.424,13.762,-0.244
'[10:38:32.546 09/02/1996]',-0.035,-0.147,115.779,28.424,13.762,-0.244
'[10:38:32.548 09/02/1996]',-0.032,-0.140,115.779,28.424,13.762,-0.244
'[10:38:32.550 09/02/1996]',-0.029,-0.133,115.779,28.424,13.762,-0.244
'[10:38:32.552 09/02/1996]',-0.026,-0.128,113.668,28.023,13.875,-0.174
'[10:38:32.554 09/02/1996]',-0.024,-0.123,113.668,28.023,13.875,-0.174
'[10:38:32.556 09/02/1996]',-0.021,-0.119,113.668,28.023,13.875,-0.174
'[10:38:32.558 09/02/1996]',-0.018,-0.115,113.668,28.023,13.875,-0.174
'[10:38:32.560 09/02/1996]',-0.015,-0.112,111.307,27.498,13.875,-0.101
'[10:38:32.562 09/02/1996]',-0.013,-0.108,111.307,27.498,13.875,-0.101
'[10:38:32.564 09/02/1996]',-0.012,-0.104,111.307,27.498,13.875,-0.101
'[10:38:32.566 09/02/1996]',-0.011,-0.100,111.307,27.498,13.875,-0.101
'[10:38:32.568 09/02/1996]',-0.011,-0.095,108.894,26.797,13.875,-0.029
'[10:38:32.570 09/02/1996]',-0.011,-0.090,108.894,26.797,13.875,-0.029
'[10:38:32.572 09/02/1996]',-0.011,-0.085,108.894,26.797,13.875,-0.029
'[10:38:32.574 09/02/1996]',-0.010,-0.080,108.894,26.797,13.875,-0.029
'[10:38:32.576 09/02/1996]',-0.008,-0.078,106.281,25.972,13.875,0.037
'[10:38:32.578 09/02/1996]',-0.006,-0.076,106.281,25.972,13.875,0.037
'[10:38:32.580 09/02/1996]',-0.003,-0.076,106.281,25.972,13.875,0.037
'[10:38:32.582 09/02/1996]',0.001,-0.077,106.281,25.972,13.875,0.037
'[10:38:32.584 09/02/1996]',0.005,-0.079,103.467,25.146,13.812,0.097
'[10:38:32.586 09/02/1996]',0.009,-0.081,103.467,25.146,13.812,0.097
'[10:38:32.588 09/02/1996]',0.011,-0.084,103.467,25.146,13.812,0.097
'[10:38:32.590 09/02/1996]',0.014,-0.086,103.467,25.146,13.812,0.097
'[10:38:32.592 09/02/1996]',0.015,-0.088,100.302,24.445,13.762,0.151
'[10:38:32.594 09/02/1996]',0.016,-0.091,100.302,24.445,13.762,0.151
'[10:38:32.596 09/02/1996]',0.017,-0.092,100.302,24.445,13.762,0.151
'[10:38:32.598 09/02/1996]',0.017,-0.094,100.302,24.445,13.762,0.151
'[10:38:32.600 09/02/1996]',0.018,-0.094,96.633,23.795,13.637,0.192
'[10:38:32.602 09/02/1996]',0.019,-0.094,96.633,23.795,13.637,0.192
'[10:38:32.604 09/02/1996]',0.018,-0.093,96.633,23.795,13.637,0.192
'[10:38:32.606 09/02/1996]',0.018,-0.092,96.633,23.795,13.637,0.192
'[10:38:32.608 09/02/1996]',0.018,-0.090,92.513,23.219,13.412,0.227
'[10:38:32.610 09/02/1996]',0.019,-0.088,92.513,23.219,13.412,0.227
'[10:38:32.612 09/02/1996]',0.020,-0.087,92.513,23.219,13.412,0.227
'[10:38:32.614 09/02/1996]',0.021,-0.086,92.513,23.219,13.412,0.227
'[10:38:32.616 09/02/1996]',0.021,-0.088,87.889,22.619,13.225,0.246
'[10:38:32.618 09/02/1996]',0.022,-0.091,87.889,22.619,13.225,0.246
'[10:38:32.620 09/02/1996]',0.021,-0.095,87.889,22.619,13.225,0.246
'[10:38:32.622 09/02/1996]',0.021,-0.098,87.889,22.619,13.225,0.246
'[10:38:32.624 09/02/1996]',0.020,-0.100,82.764,22.143,13.050,0.260
'[10:38:32.626 09/02/1996]',0.019,-0.102,82.764,22.143,13.050,0.260
'[10:38:32.628 09/02/1996]',0.018,-0.102,82.764,22.143,13.050,0.260
'[10:38:32.630 09/02/1996]',0.016,-0.103,82.764,22.143,13.050,0.260
'[10:38:32.632 09/02/1996]',0.015,-0.102,77.487,21.868,12.825,0.262
'[10:38:32.634 09/02/1996]',0.015,-0.101,77.487,21.868,12.825,0.262
'[10:38:32.636 09/02/1996]',0.015,-0.099,77.487,21.868,12.825,0.262
'[10:38:32.638 09/02/1996]',0.014,-0.096,77.487,21.868,12.825,0.262
'[10:38:32.640 09/02/1996]',0.015,-0.093,72.663,21.868,12.475,0.254
'[10:38:32.642 09/02/1996]',0.015,-0.091,72.663,21.868,12.475,0.254
'[10:38:32.644 09/02/1996]',0.017,-0.089,72.663,21.868,12.475,0.254
'[10:38:32.646 09/02/1996]',0.018,-0.088,72.663,21.868,12.475,0.254
'[10:38:32.648 09/02/1996]',0.021,-0.088,68.844,22.043,12.000,0.238
'[10:38:32.650 09/02/1996]',0.023,-0.088,68.844,22.043,12.000,0.238
'[10:38:32.652 09/02/1996]',0.024,-0.088,68.844,22.043,12.000,0.238
'[10:38:32.654 09/02/1996]',0.025,-0.088,68.844,22.043,12.000,0.238
'[10:38:32.656 09/02/1996]',0.026,-0.088,66.281,22.319,11.588,0.213
'[10:38:32.658 09/02/1996]',0.027,-0.088,66.281,22.319,11.588,0.213
'[10:38:32.660 09/02/1996]',0.026,-0.088,66.281,22.319,11.588,0.213
'[10:38:32.662 09/02/1996]',0.026,-0.088,66.281,22.319,11.588,0.213
'[10:38:32.664 09/02/1996]',0.024,-0.088,65.025,22.619,11.238,0.182
'[10:38:32.666 09/02/1996]',0.022,-0.088,65.025,22.619,11.238,0.182
'[10:38:32.668 09/02/1996]',0.019,-0.087,65.025,22.619,11.238,0.182
'[10:38:32.670 09/02/1996]',0.017,-0.087,65.025,22.619,11.238,0.182
'[10:38:32.672 09/02/1996]',0.015,-0.086,64.975,22.794,10.775,0.147
'[10:38:32.674 09/02/1996]',0.013,-0.084,64.975,22.794,10.775,0.147
'[10:38:32.676 09/02/1996]',0.012,-0.082,64.975,22.794,10.775,0.147
'[10:38:32.678 09/02/1996]',0.011,-0.080,64.975,22.794,10.775,0.147
'[10:38:32.680 09/02/1996]',0.010,-0.079,65.678,22.869,10.363,0.106
'[10:38:32.682 09/02/1996]',0.009,-0.077,65.678,22.869,10.363,0.106
'[10:38:32.684 09/02/1996]',0.009,-0.076,65.678,22.869,10.363,0.106
'[10:38:32.686 09/02/1996]',0.008,-0.076,65.678,22.869,10.363,0.106
'[10:38:32.688 09/02/1996]',0.007,-0.077,66.683,22.869,9.950,0.066
'[10:38:32.690 09/02/1996]',0.006,-0.078,66.683,22.869,9.950,0.066
'[10:38:32.692 09/02/1996]',0.006,-0.081,66.683,22.869,9.950,0.066
'[10:38:32.694 09/02/1996]',0.006,-0.083,66.683,22.869,9.950,0.066
'[10:38:32.696 09/02/1996]',0.004,-0.087,67.487,22.869,9.713,0.018
'[10:38:32.698 09/02/1996]',0.002,-0.092,67.487,22.869,9.713,0.018
'[10:38:32.700 09/02/1996]',-0.002,-0.097,67.487,22.869,9.713,0.018
'[10:38:32.702 09/02/1996]',-0.005,-0.101,67.487,22.869,9.713,0.018
'[10:38:32.704 09/02/1996]',-0.007,-0.102,68.040,22.919,9.475,-0.029
'[10:38:32.706 09/02/1996]',-0.010,-0.102,68.040,22.919,9.475,-0.029
'[10:38:32.708 09/02/1996]',-0.005,-0.093,68.040,22.919,9.475,-0.029
'[10:38:32.710 09/02/1996]',0.000,-0.085,68.040,22.919,9.475,-0.029
'[10:38:32.712 09/02/1996]',0.018,-0.063,68.191,22.919,9.300,-0.077
'[10:38:32.714 09/02/1996]',0.037,-0.041,68.191,22.919,9.300,-0.077
'[10:38:32.716 09/02/1996]',0.073,-0.003,68.191,22.919,9.300,-0.077
'[10:38:32.718 09/02/1996]',0.110,0.035,68.191,22.919,9.300,-0.077
'[10:38:32.720 09/02/1996]',0.165,0.091,68.090,22.919,9.188,-0.126
'[10:38:32.722 09/02/1996]',0.220,0.147,68.090,22.919,9.188,-0.126
'[10:38:32.724 09/02/1996]',0.286,0.221,68.090,22.919,9.188,-0.126
'[10:38:32.726 09/02/1996]',0.352,0.294,68.090,22.919,9.188,-0.126
'[10:38:32.728 09/02/1996]',0.413,0.379,67.789,22.744,9.125,-0.174
'[10:38:32.730 09/02/1996]',0.475,0.463,67.789,22.744,9.125,-0.174
'[10:38:32.732 09/02/1996]',0.514,0.544,67.789,22.744,9.125,-0.174
'[10:38:32.734 09/02/1996]',0.553,0.626,67.789,22.744,9.125,-0.174
'[10:38:32.736 09/02/1996]',0.556,0.690,67.437,22.569,9.188,-0.223
'[10:38:32.738 09/02/1996]',0.559,0.753,67.437,22.569,9.188,-0.223
'[10:38:32.740 09/02/1996]',0.525,0.787,67.437,22.569,9.188,-0.223
'[10:38:32.742 09/02/1996]',0.492,0.822,67.437,22.569,9.188,-0.223
'[10:38:32.744 09/02/1996]',0.432,0.824,66.985,22.444,9.363,-0.264
'[10:38:32.746 09/02/1996]',0.372,0.826,66.985,22.444,9.363,-0.264
'[10:38:32.748 09/02/1996]',0.302,0.799,66.985,22.444,9.363,-0.264
'[10:38:32.750 09/02/1996]',0.233,0.773,66.985,22.444,9.363,-0.264
'[10:38:32.752 09/02/1996]',0.172,0.724,66.533,22.394,9.537,-0.304
'[10:38:32.754 09/02/1996]',0.110,0.674,66.533,22.394,9.537,-0.304
'[10:38:32.756 09/02/1996]',0.066,0.609,66.533,22.394,9.537,-0.304
'[10:38:32.758 09/02/1996]',0.021,0.543,66.533,22.394,9.537,-0.304
'[10:38:32.760 09/02/1996]',-0.006,0.472,66.131,22.444,9.887,-0.341
'[10:38:32.762 09/02/1996]',-0.033,0.401,66.131,22.444,9.887,-0.341
'[10:38:32.764 09/02/1996]',-0.043,0.338,66.131,22.444,9.887,-0.341
'[10:38:32.766 09/02/1996]',-0.054,0.274,66.131,22.444,9.887,-0.341
'[10:38:32.768 09/02/1996]',-0.050,0.225,65.678,22.569,10.300,-0.376
'[10:38:32.770 09/02/1996]',-0.046,0.175,65.678,22.569,10.300,-0.376
'[10:38:32.772 09/02/1996]',-0.036,0.141,65.678,22.569,10.300,-0.376
'[10:38:32.774 09/02/1996]',-0.027,0.106,65.678,22.569,10.300,-0.376
'[10:38:32.776 09/02/1996]',-0.018,0.083,65.276,22.694,10.775,-0.407
'[10:38:32.778 09/02/1996]',-0.009,0.059,65.276,22.694,10.775,-0.407
'[10:38:32.780 09/02/1996]',-0.004,0.043,65.276,22.694,10.775,-0.407
'[10:38:32.782 09/02/1996]',0.001,0.026,65.276,22.694,10.775,-0.407
'[10:38:32.784 09/02/1996]',0.003,0.014,64.824,22.869,11.238,-0.432
'[10:38:32.786 09/02/1996]',0.004,0.002,64.824,22.869,11.238,-0.432
'[10:38:32.788 09/02/1996]',0.003,-0.007,64.824,22.869,11.238,-0.432
'[10:38:32.790 09/02/1996]',0.001,-0.016,64.824,22.869,11.238,-0.432
'[10:38:32.792 09/02/1996]',-0.002,-0.025,64.422,22.969,11.713,-0.454
'[10:38:32.794 09/02/1996]',-0.004,-0.033,64.422,22.969,11.713,-0.454
'[10:38:32.796 09/02/1996]',-0.006,-0.040,64.422,22.969,11.713,-0.454
'[10:38:32.798 09/02/1996]',-0.009,-0.047,64.422,22.969,11.713,-0.454
'[10:38:32.800 09/02/1996]',-0.010,-0.052,63.970,23.044,12.287,-0.473
'[10:38:32.802 09/02/1996]',-0.011,-0.058,63.970,23.044,12.287,-0.473
'[10:38:32.804 09/02/1996]',-0.011,-0.063,63.970,23.044,12.287,-0.473
'[10:38:32.806 09/02/1996]',-0.011,-0.068,63.970,23.044,12.287,-0.473
'[10:38:32.808 09/02/1996]',-0.011,-0.071,63.467,23.044,12.938,-0.488
'[10:38:32.810 09/02/1996]',-0.010,-0.075,63.467,23.044,12.938,-0.488
'[10:38:32.812 09/02/1996]',-0.009,-0.076,63.467,23.044,12.938,-0.488
'[10:38:32.814 09/02/1996]',-0.009,-0.078,63.467,23.044,12.938,-0.488
'[10:38:32.816 09/02/1996]',-0.010,-0.081,63.065,23.219,13.637,-0.502
'[10:38:32.818 09/02/1996]',-0.011,-0.083,63.065,23.219,13.637,-0.502
'[10:38:32.820 09/02/1996]',-0.013,-0.085,63.065,23.219,13.637,-0.502
'[10:38:32.822 09/02/1996]',-0.015,-0.087,63.065,23.219,13.637,-0.502
'[10:38:32.824 09/02/1996]',-0.018,-0.088,62.563,23.670,14.350,-0.511
'[10:38:32.826 09/02/1996]',-0.020,-0.090,62.563,23.670,14.350,-0.511
'[10:38:32.828 09/02/1996]',-0.021,-0.091,62.563,23.670,14.350,-0.511
'[10:38:32.830 09/02/1996]',-0.023,-0.092,62.563,23.670,14.350,-0.511
'[10:38:32.832 09/02/1996]',-0.022,-0.092,62.010,24.620,15.050,-0.523
'[10:38:32.834 09/02/1996]',-0.022,-0.093,62.010,24.620,15.050,-0.523
'[10:38:32.836 09/02/1996]',-0.021,-0.094,62.010,24.620,15.050,-0.523
'[10:38:32.838 09/02/1996]',-0.021,-0.095,62.010,24.620,15.050,-0.523
'[10:38:32.840 09/02/1996]',-0.019,-0.096,61.508,25.847,15.688,-0.533
'[10:38:32.842 09/02/1996]',-0.018,-0.096,61.508,25.847,15.688,-0.533
'[10:38:32.844 09/02/1996]',-0.017,-0.096,61.508,25.847,15.688,-0.533
'[10:38:32.846 09/02/1996]',-0.015,-0.096,61.508,25.847,15.688,-0.533
'[10:38:32.848 09/02/1996]',-0.015,-0.096,61.005,26.847,16.163,-0.538
'[10:38:32.850 09/02/1996]',-0.015,-0.095,61.005,26.847,16.163,-0.538
'[10:38:32.852 09/02/1996]',-0.017,-0.096,61.005,26.847,16.163,-0.538
'[10:38:32.854 09/02/1996]',-0.019,-0.096,61.005,26.847,16.163,-0.538
'[10:38:32.856 09/02/1996]',-0.021,-0.098,60.553,27.323,16.450,-0.548
'[10:38:32.858 09/02/1996]',-0.023,-0.100,60.553,27.323,16.450,-0.548
'[10:38:32.860 09/02/1996]',-0.025,-0.101,60.553,27.323,16.450,-0.548
'[10:38:32.862 09/02/1996]',-0.027,-0.102,60.553,27.323,16.450,-0.548
'[10:38:32.864 09/02/1996]',-0.029,-0.103,60.050,27.498,16.400,-0.556
'[10:38:32.866 09/02/1996]',-0.030,-0.104,60.050,27.498,16.400,-0.556
'[10:38:32.868 09/02/1996]',-0.030,-0.105,60.050,27.498,16.400,-0.556
'[10:38:32.870 09/02/1996]',-0.031,-0.106,60.050,27.498,16.400,-0.556
'[10:38:32.872 09/02/1996]',-0.032,-0.106,59.548,28.023,15.988,-0.560
'[10:38:32.874 09/02/1996]',-0.033,-0.106,59.548,28.023,15.988,-0.560
'[10:38:32.876 09/02/1996]',-0.034,-0.105,59.548,28.023,15.988,-0.560
'[10:38:32.878 09/02/1996]',-0.034,-0.105,59.548,28.023,15.988,-0.560
'[10:38:32.880 09/02/1996]',-0.034,-0.104,59.196,29.424,15.287,-0.568
'[10:38:32.882 09/02/1996]',-0.034,-0.103,59.196,29.424,15.287,-0.568
