'Time and date','II','aVF','V','ABP','PLETH','RESP'
'[13:39:27.960 02/12/1995]',0.022,0.044,-0.019,55.292,-0.622,-0.514
'[13:39:27.962 02/12/1995]',0.022,0.022,-0.019,55.292,-0.622,-0.514
'[13:39:27.964 02/12/1995]',0.001,0.001,0.001,55.292,-0.622,-0.514
'[13:39:27.966 02/12/1995]',0.001,0.001,0.001,55.292,-0.622,-0.514
'[13:39:27.968 02/12/1995]',0.001,0.001,0.001,55.142,-0.607,-0.514
'[13:39:27.970 02/12/1995]',0.001,0.011,0.001,55.142,-0.607,-0.514
'[13:39:27.972 02/12/1995]',0.022,0.034,-0.009,55.142,-0.607,-0.514
'[13:39:27.974 02/12/1995]',0.022,0.044,-0.009,55.142,-0.607,-0.514
'[13:39:27.976 02/12/1995]',0.033,0.044,-0.019,54.941,-0.622,-0.515
'[13:39:27.978 02/12/1995]',0.022,0.034,-0.009,54.941,-0.622,-0.515
'[13:39:27.980 02/12/1995]',0.022,0.011,0.001,54.941,-0.622,-0.515
'[13:39:27.982 02/12/1995]',0.001,0.001,0.001,54.941,-0.622,-0.515
'[13:39:27.984 02/12/1995]',0.001,0.001,0.001,54.791,-0.622,-0.516
'[13:39:27.986 02/12/1995]',0.001,0.001,0.001,54.791,-0.622,-0.516
'[13:39:27.988 02/12/1995]',0.022,0.022,-0.009,54.791,-0.622,-0.516
'[13:39:27.990 02/12/1995]',0.033,0.044,-0.009,54.791,-0.622,-0.516
'[13:39:27.992 02/12/1995]',0.044,0.056,-0.009,54.591,-0.607,-0.517
'[13:39:27.994 02/12/1995]',0.033,0.034,-0.009,54.591,-0.607,-0.517
'[13:39:27.996 02/12/1995]',0.022,0.022,0.001,54.591,-0.607,-0.517
'[13:39:27.998 02/12/1995]',0.022,0.011,0.001,54.591,-0.607,-0.517
'[13:39:28.000 02/12/1995]',0.011,0.001,0.001,54.491,-0.637,-0.519
'[13:39:28.002 02/12/1995]',0.011,0.001,0.001,54.491,-0.637,-0.519
'[13:39:28.004 02/12/1995]',0.022,0.022,0.001,54.491,-0.637,-0.519
'[13:39:28.006 02/12/1995]',0.044,0.056,0.001,54.491,-0.637,-0.519
'[13:39:28.008 02/12/1995]',0.044,0.056,-0.009,54.391,-0.622,-0.522
'[13:39:28.010 02/12/1995]',0.044,0.056,0.001,54.391,-0.622,-0.522
'[13:39:28.012 02/12/1995]',0.033,0.034,0.001,54.391,-0.622,-0.522
'[13:39:28.014 02/12/1995]',0.022,0.011,0.001,54.391,-0.622,-0.522
'[13:39:28.016 02/12/1995]',0.022,0.001,0.001,54.290,-0.637,-0.525
'[13:39:28.018 02/12/1995]',0.022,0.011,0.001,54.290,-0.637,-0.525
'[13:39:28.020 02/12/1995]',0.022,0.022,0.001,54.290,-0.637,-0.525
'[13:39:28.022 02/12/1995]',0.044,0.044,0.001,54.290,-0.637,-0.525
'[13:39:28.024 02/12/1995]',0.066,0.067,0.001,54.290,-0.622,-0.529
'[13:39:28.026 02/12/1995]',0.066,0.067,0.001,54.290,-0.622,-0.529
'[13:39:28.028 02/12/1995]',0.055,0.044,0.001,54.290,-0.622,-0.529
'[13:39:28.030 02/12/1995]',0.044,0.034,0.001,54.290,-0.622,-0.529
'[13:39:28.032 02/12/1995]',0.033,0.011,0.010,54.491,-0.637,-0.533
'[13:39:28.034 02/12/1995]',0.033,0.011,0.010,54.491,-0.637,-0.533
'[13:39:28.036 02/12/1995]',0.033,0.022,0.010,54.491,-0.637,-0.533
'[13:39:28.038 02/12/1995]',0.055,0.056,0.001,54.491,-0.637,-0.533
'[13:39:28.040 02/12/1995]',0.066,0.067,0.001,54.691,-0.622,-0.536
'[13:39:28.042 02/12/1995]',0.066,0.077,0.001,54.691,-0.622,-0.536
'[13:39:28.044 02/12/1995]',0.066,0.067,0.001,54.691,-0.622,-0.536
'[13:39:28.046 02/12/1995]',0.066,0.044,0.010,54.691,-0.622,-0.536
'[13:39:28.048 02/12/1995]',0.055,0.022,0.020,54.941,-0.622,-0.539
'[13:39:28.050 02/12/1995]',0.044,0.022,0.030,54.941,-0.622,-0.539
'[13:39:28.052 02/12/1995]',0.044,0.034,0.010,54.941,-0.622,-0.539
'[13:39:28.054 02/12/1995]',0.066,0.056,0.010,54.941,-0.622,-0.539
'[13:39:28.056 02/12/1995]',0.077,0.077,0.010,55.442,-0.607,-0.542
'[13:39:28.058 02/12/1995]',0.088,0.088,0.001,55.442,-0.607,-0.542
'[13:39:28.060 02/12/1995]',0.088,0.077,0.010,55.442,-0.607,-0.542
'[13:39:28.062 02/12/1995]',0.088,0.067,0.020,55.442,-0.607,-0.542
'[13:39:28.064 02/12/1995]',0.066,0.044,0.030,56.394,-0.607,-0.545
'[13:39:28.066 02/12/1995]',0.066,0.044,0.040,56.394,-0.607,-0.545
'[13:39:28.068 02/12/1995]',0.066,0.044,0.040,56.394,-0.607,-0.545
'[13:39:28.070 02/12/1995]',0.077,0.056,0.030,56.394,-0.607,-0.545
'[13:39:28.072 02/12/1995]',0.088,0.088,0.030,58.047,-0.622,-0.547
'[13:39:28.074 02/12/1995]',0.121,0.100,0.030,58.047,-0.622,-0.547
'[13:39:28.076 02/12/1995]',0.110,0.100,0.020,58.047,-0.622,-0.547
'[13:39:28.078 02/12/1995]',0.110,0.088,0.030,58.047,-0.622,-0.547
'[13:39:28.080 02/12/1995]',0.088,0.067,0.040,60.701,-0.593,-0.549
'[13:39:28.082 02/12/1995]',0.088,0.067,0.049,60.701,-0.593,-0.549
'[13:39:28.084 02/12/1995]',0.088,0.056,0.049,60.701,-0.593,-0.549
'[13:39:28.086 02/12/1995]',0.099,0.067,0.040,60.701,-0.593,-0.549
'[13:39:28.088 02/12/1995]',0.121,0.088,0.040,64.407,-0.607,-0.550
'[13:39:28.090 02/12/1995]',0.132,0.111,0.030,64.407,-0.607,-0.550
'[13:39:28.092 02/12/1995]',0.143,0.121,0.040,64.407,-0.607,-0.550
'[13:39:28.094 02/12/1995]',0.143,0.111,0.040,64.407,-0.607,-0.550
'[13:39:28.096 02/12/1995]',0.132,0.088,0.059,68.965,-0.578,-0.551
'[13:39:28.098 02/12/1995]',0.121,0.077,0.059,68.965,-0.578,-0.551
'[13:39:28.100 02/12/1995]',0.121,0.067,0.059,68.965,-0.578,-0.551
'[13:39:28.102 02/12/1995]',0.121,0.088,0.059,68.965,-0.578,-0.551
'[13:39:28.104 02/12/1995]',0.143,0.100,0.059,73.923,-0.563,-0.552
'[13:39:28.106 02/12/1995]',0.143,0.121,0.049,73.923,-0.563,-0.552
'[13:39:28.108 02/12/1995]',0.164,0.143,0.049,73.923,-0.563,-0.552
'[13:39:28.110 02/12/1995]',0.164,0.133,0.059,73.923,-0.563,-0.552
'[13:39:28.112 02/12/1995]',0.164,0.133,0.069,78.631,-0.548,-0.553
'[13:39:28.114 02/12/1995]',0.154,0.100,0.079,78.631,-0.548,-0.553
'[13:39:28.116 02/12/1995]',0.143,0.088,0.079,78.631,-0.548,-0.553
'[13:39:28.118 02/12/1995]',0.143,0.088,0.079,78.631,-0.548,-0.553
'[13:39:28.120 02/12/1995]',0.164,0.111,0.079,82.788,-0.518,-0.553
'[13:39:28.122 02/12/1995]',0.175,0.143,0.069,82.788,-0.518,-0.553
'[13:39:28.124 02/12/1995]',0.197,0.154,0.069,82.788,-0.518,-0.553
'[13:39:28.126 02/12/1995]',0.197,0.154,0.079,82.788,-0.518,-0.553
'[13:39:28.128 02/12/1995]',0.197,0.154,0.079,86.043,-0.503,-0.554
'[13:39:28.130 02/12/1995]',0.186,0.133,0.089,86.043,-0.503,-0.554
'[13:39:28.132 02/12/1995]',0.186,0.121,0.089,86.043,-0.503,-0.554
'[13:39:28.134 02/12/1995]',0.175,0.111,0.099,86.043,-0.503,-0.554
'[13:39:28.136 02/12/1995]',0.186,0.121,0.099,88.598,-0.445,-0.554
'[13:39:28.138 02/12/1995]',0.208,0.154,0.089,88.598,-0.445,-0.554
'[13:39:28.140 02/12/1995]',0.219,0.165,0.089,88.598,-0.445,-0.554
'[13:39:28.142 02/12/1995]',0.230,0.176,0.089,88.598,-0.445,-0.554
'[13:39:28.144 02/12/1995]',0.230,0.165,0.089,90.601,-0.400,-0.554
'[13:39:28.146 02/12/1995]',0.219,0.154,0.099,90.601,-0.400,-0.554
'[13:39:28.148 02/12/1995]',0.208,0.143,0.108,90.601,-0.400,-0.554
'[13:39:28.150 02/12/1995]',0.197,0.143,0.108,90.601,-0.400,-0.554
'[13:39:28.152 02/12/1995]',0.208,0.154,0.118,92.254,-0.341,-0.554
'[13:39:28.154 02/12/1995]',0.219,0.165,0.099,92.254,-0.341,-0.554
'[13:39:28.156 02/12/1995]',0.241,0.176,0.099,92.254,-0.341,-0.554
'[13:39:28.158 02/12/1995]',0.251,0.198,0.089,92.254,-0.341,-0.554
'[13:39:28.160 02/12/1995]',0.251,0.198,0.099,93.706,-0.267,-0.554
'[13:39:28.162 02/12/1995]',0.241,0.176,0.108,93.706,-0.267,-0.554
'[13:39:28.164 02/12/1995]',0.219,0.165,0.118,93.706,-0.267,-0.554
'[13:39:28.166 02/12/1995]',0.208,0.143,0.118,93.706,-0.267,-0.554
'[13:39:28.168 02/12/1995]',0.208,0.154,0.128,95.108,-0.177,-0.554
'[13:39:28.170 02/12/1995]',0.230,0.165,0.108,95.108,-0.177,-0.554
'[13:39:28.172 02/12/1995]',0.241,0.187,0.108,95.108,-0.177,-0.554
'[13:39:28.174 02/12/1995]',0.251,0.198,0.089,95.108,-0.177,-0.554
'[13:39:28.176 02/12/1995]',0.251,0.187,0.099,96.210,-0.089,-0.555
'[13:39:28.178 02/12/1995]',0.241,0.176,0.099,96.210,-0.089,-0.555
'[13:39:28.180 02/12/1995]',0.219,0.165,0.108,96.210,-0.089,-0.555
'[13:39:28.182 02/12/1995]',0.208,0.143,0.108,96.210,-0.089,-0.555
'[13:39:28.184 02/12/1995]',0.208,0.143,0.108,97.062,0.015,-0.555
'[13:39:28.186 02/12/1995]',0.197,0.154,0.099,97.062,0.015,-0.555
'[13:39:28.188 02/12/1995]',0.219,0.176,0.089,97.062,0.015,-0.555
'[13:39:28.190 02/12/1995]',0.230,0.187,0.089,97.062,0.015,-0.555
'[13:39:28.192 02/12/1995]',0.219,0.187,0.089,97.613,0.118,-0.556
'[13:39:28.194 02/12/1995]',0.208,0.165,0.089,97.613,0.118,-0.556
'[13:39:28.196 02/12/1995]',0.197,0.165,0.089,97.613,0.118,-0.556
'[13:39:28.198 02/12/1995]',0.175,0.143,0.089,97.613,0.118,-0.556
'[13:39:28.200 02/12/1995]',0.164,0.121,0.089,97.913,0.193,-0.556
'[13:39:28.202 02/12/1995]',0.164,0.121,0.079,97.913,0.193,-0.556
'[13:39:28.204 02/12/1995]',0.164,0.143,0.079,97.913,0.193,-0.556
'[13:39:28.206 02/12/1995]',0.164,0.154,0.059,97.913,0.193,-0.556
'[13:39:28.208 02/12/1995]',0.175,0.165,0.049,97.863,0.281,-0.556
'[13:39:28.210 02/12/1995]',0.164,0.154,0.049,97.863,0.281,-0.556
'[13:39:28.212 02/12/1995]',0.143,0.133,0.049,97.863,0.281,-0.556
'[13:39:28.214 02/12/1995]',0.121,0.100,0.049,97.863,0.281,-0.556
'[13:39:28.216 02/12/1995]',0.121,0.088,0.049,97.613,0.370,-0.556
'[13:39:28.218 02/12/1995]',0.099,0.088,0.040,97.613,0.370,-0.556
'[13:39:28.220 02/12/1995]',0.099,0.088,0.030,97.613,0.370,-0.556
'[13:39:28.222 02/12/1995]',0.121,0.111,0.020,97.613,0.370,-0.556
'[13:39:28.224 02/12/1995]',0.121,0.121,0.010,97.262,0.429,-0.556
'[13:39:28.226 02/12/1995]',0.121,0.121,0.010,97.262,0.429,-0.556
'[13:39:28.228 02/12/1995]',0.099,0.100,0.010,97.262,0.429,-0.556
'[13:39:28.230 02/12/1995]',0.088,0.077,0.020,97.262,0.429,-0.556
'[13:39:28.232 02/12/1995]',0.066,0.056,0.010,96.861,0.503,-0.556
'[13:39:28.234 02/12/1995]',0.044,0.044,0.010,96.861,0.503,-0.556
'[13:39:28.236 02/12/1995]',0.044,0.056,0.001,96.861,0.503,-0.556
'[13:39:28.238 02/12/1995]',0.066,0.077,0.001,96.861,0.503,-0.556
'[13:39:28.240 02/12/1995]',0.066,0.088,0.001,96.411,0.563,-0.555
'[13:39:28.242 02/12/1995]',0.066,0.088,-0.009,96.411,0.563,-0.555
'[13:39:28.244 02/12/1995]',0.055,0.067,-0.009,96.411,0.563,-0.555
'[13:39:28.246 02/12/1995]',0.044,0.044,0.001,96.411,0.563,-0.555
'[13:39:28.248 02/12/1995]',0.022,0.034,0.001,95.810,0.608,-0.554
'[13:39:28.250 02/12/1995]',0.011,0.011,0.001,95.810,0.608,-0.554
'[13:39:28.252 02/12/1995]',0.011,0.022,0.001,95.810,0.608,-0.554
'[13:39:28.254 02/12/1995]',0.022,0.044,-0.009,95.810,0.608,-0.554
'[13:39:28.256 02/12/1995]',0.044,0.067,-0.019,95.008,0.637,-0.553
'[13:39:28.258 02/12/1995]',0.044,0.067,-0.019,95.008,0.637,-0.553
'[13:39:28.260 02/12/1995]',0.033,0.056,-0.029,95.008,0.637,-0.553
'[13:39:28.262 02/12/1995]',0.022,0.034,-0.019,95.008,0.637,-0.553
'[13:39:28.264 02/12/1995]',0.011,0.022,-0.009,93.956,0.652,-0.552
'[13:39:28.266 02/12/1995]',0.001,0.001,-0.009,93.956,0.652,-0.552
'[13:39:28.268 02/12/1995]',0.001,0.001,-0.009,93.956,0.652,-0.552
'[13:39:28.270 02/12/1995]',0.001,0.022,-0.019,93.956,0.652,-0.552
'[13:39:28.272 02/12/1995]',0.011,0.044,-0.029,92.654,0.681,-0.551
'[13:39:28.274 02/12/1995]',0.022,0.056,-0.038,92.654,0.681,-0.551
'[13:39:28.276 02/12/1995]',0.022,0.056,-0.038,92.654,0.681,-0.551
'[13:39:28.278 02/12/1995]',0.011,0.034,-0.038,92.654,0.681,-0.551
'[13:39:28.280 02/12/1995]',0.001,0.011,-0.019,91.052,0.681,-0.550
'[13:39:28.282 02/12/1995]',-0.010,0.001,-0.019,91.052,0.681,-0.550
'[13:39:28.284 02/12/1995]',-0.021,0.001,-0.019,91.052,0.681,-0.550
'[13:39:28.286 02/12/1995]',-0.010,0.001,-0.019,91.052,0.681,-0.550
'[13:39:28.288 02/12/1995]',0.001,0.022,-0.038,89.098,0.697,-0.549
'[13:39:28.290 02/12/1995]',0.001,0.034,-0.038,89.098,0.697,-0.549
'[13:39:28.292 02/12/1995]',0.011,0.044,-0.038,89.098,0.697,-0.549
'[13:39:28.294 02/12/1995]',0.001,0.034,-0.038,89.098,0.697,-0.549
'[13:39:28.296 02/12/1995]',0.001,0.011,-0.029,86.895,0.697,-0.548
'[13:39:28.298 02/12/1995]',-0.010,0.001,-0.029,86.895,0.697,-0.548
'[13:39:28.300 02/12/1995]',-0.021,0.001,-0.019,86.895,0.697,-0.548
'[13:39:28.302 02/12/1995]',-0.021,0.001,-0.029,86.895,0.697,-0.548
'[13:39:28.304 02/12/1995]',-0.010,0.001,-0.038,84.340,0.697,-0.547
'[13:39:28.306 02/12/1995]',0.001,0.022,-0.048,84.340,0.697,-0.547
'[13:39:28.308 02/12/1995]',0.001,0.034,-0.048,84.340,0.697,-0.547
'[13:39:28.310 02/12/1995]',0.001,0.022,-0.048,84.340,0.697,-0.547
'[13:39:28.312 02/12/1995]',0.001,0.001,-0.038,81.486,0.666,-0.547
'[13:39:28.314 02/12/1995]',-0.021,0.001,-0.029,81.486,0.666,-0.547
'[13:39:28.316 02/12/1995]',-0.032,-0.010,-0.019,81.486,0.666,-0.547
'[13:39:28.318 02/12/1995]',-0.021,0.001,-0.029,81.486,0.666,-0.547
'[13:39:28.320 02/12/1995]',-0.021,0.001,-0.029,78.481,0.637,-0.546
'[13:39:28.322 02/12/1995]',-0.010,0.011,-0.038,78.481,0.637,-0.546
'[13:39:28.324 02/12/1995]',0.001,0.022,-0.048,78.481,0.637,-0.546
'[13:39:28.326 02/12/1995]',0.001,0.011,-0.048,78.481,0.637,-0.546
'[13:39:28.328 02/12/1995]',0.001,0.001,-0.038,75.576,0.622,-0.546
'[13:39:28.330 02/12/1995]',-0.021,0.001,-0.029,75.576,0.622,-0.546
'[13:39:28.332 02/12/1995]',-0.021,-0.010,-0.019,75.576,0.622,-0.546
'[13:39:28.334 02/12/1995]',-0.032,-0.010,-0.029,75.576,0.622,-0.546
'[13:39:28.336 02/12/1995]',-0.032,-0.010,-0.038,72.921,0.593,-0.545
'[13:39:28.338 02/12/1995]',-0.021,0.001,-0.038,72.921,0.593,-0.545
'[13:39:28.340 02/12/1995]',0.001,0.011,-0.048,72.921,0.593,-0.545
'[13:39:28.342 02/12/1995]',0.001,0.011,-0.058,72.921,0.593,-0.545
'[13:39:28.344 02/12/1995]',0.001,0.001,-0.048,71.118,0.548,-0.545
'[13:39:28.346 02/12/1995]',-0.021,0.001,-0.038,71.118,0.548,-0.545
'[13:39:28.348 02/12/1995]',-0.032,-0.010,-0.029,71.118,0.548,-0.545
'[13:39:28.350 02/12/1995]',-0.043,-0.032,-0.029,71.118,0.548,-0.545
'[13:39:28.352 02/12/1995]',-0.043,-0.021,-0.029,70.267,0.503,-0.544
'[13:39:28.354 02/12/1995]',-0.021,0.001,-0.038,70.267,0.503,-0.544
'[13:39:28.356 02/12/1995]',-0.010,0.001,-0.038,70.267,0.503,-0.544
'[13:39:28.358 02/12/1995]',0.001,0.001,-0.048,70.267,0.503,-0.544
'[13:39:28.360 02/12/1995]',0.001,0.001,-0.048,70.567,0.460,-0.544
'[13:39:28.362 02/12/1995]',-0.010,0.001,-0.038,70.567,0.460,-0.544
'[13:39:28.364 02/12/1995]',-0.032,-0.010,-0.029,70.567,0.460,-0.544
'[13:39:28.366 02/12/1995]',-0.043,-0.032,-0.029,70.567,0.460,-0.544
'[13:39:28.368 02/12/1995]',-0.043,-0.021,-0.029,71.820,0.385,-0.543
'[13:39:28.370 02/12/1995]',-0.032,0.001,-0.038,71.820,0.385,-0.543
'[13:39:28.372 02/12/1995]',-0.021,0.001,-0.048,71.820,0.385,-0.543
'[13:39:28.374 02/12/1995]',-0.010,0.001,-0.048,71.820,0.385,-0.543
'[13:39:28.376 02/12/1995]',-0.010,0.001,-0.048,73.322,0.326,-0.543
'[13:39:28.378 02/12/1995]',-0.010,0.001,-0.038,73.322,0.326,-0.543
'[13:39:28.380 02/12/1995]',-0.021,0.001,-0.038,73.322,0.326,-0.543
'[13:39:28.382 02/12/1995]',-0.043,-0.021,-0.029,73.322,0.326,-0.543
'[13:39:28.384 02/12/1995]',-0.043,-0.032,-0.029,74.674,0.281,-0.542
'[13:39:28.386 02/12/1995]',-0.043,-0.010,-0.029,74.674,0.281,-0.542
'[13:39:28.388 02/12/1995]',-0.021,0.001,-0.038,74.674,0.281,-0.542
'[13:39:28.390 02/12/1995]',-0.010,0.001,-0.048,74.674,0.281,-0.542
'[13:39:28.392 02/12/1995]',-0.010,0.001,-0.048,75.576,0.223,-0.540
'[13:39:28.394 02/12/1995]',-0.021,0.001,-0.038,75.576,0.223,-0.540
'[13:39:28.396 02/12/1995]',-0.021,-0.010,-0.029,75.576,0.223,-0.540
'[13:39:28.398 02/12/1995]',-0.043,-0.021,-0.029,75.576,0.223,-0.540
'[13:39:28.400 02/12/1995]',-0.043,-0.043,-0.019,75.776,0.163,-0.539
'[13:39:28.402 02/12/1995]',-0.043,-0.021,-0.019,75.776,0.163,-0.539
'[13:39:28.404 02/12/1995]',-0.032,0.001,-0.038,75.776,0.163,-0.539
'[13:39:28.406 02/12/1995]',-0.021,0.001,-0.038,75.776,0.163,-0.539
'[13:39:28.408 02/12/1995]',0.001,0.001,-0.048,75.626,0.104,-0.537
'[13:39:28.410 02/12/1995]',-0.010,0.001,-0.038,75.626,0.104,-0.537
'[13:39:28.412 02/12/1995]',-0.021,0.001,-0.029,75.626,0.104,-0.537
'[13:39:28.414 02/12/1995]',-0.043,-0.010,-0.029,75.626,0.104,-0.537
'[13:39:28.416 02/12/1995]',-0.043,-0.032,-0.019,75.175,0.059,-0.534
'[13:39:28.418 02/12/1995]',-0.043,-0.021,-0.019,75.175,0.059,-0.534
'[13:39:28.420 02/12/1995]',-0.043,-0.010,-0.029,75.175,0.059,-0.534
'[13:39:28.422 02/12/1995]',-0.021,0.001,-0.038,75.175,0.059,-0.534
'[13:39:28.424 02/12/1995]',-0.010,0.011,-0.038,74.674,0.000,-0.532
'[13:39:28.426 02/12/1995]',0.001,0.001,-0.038,74.674,0.000,-0.532
'[13:39:28.428 02/12/1995]',-0.021,0.001,-0.029,74.674,0.000,-0.532
'[13:39:28.430 02/12/1995]',-0.032,-0.010,-0.029,74.674,0.000,-0.532
'[13:39:28.432 02/12/1995]',-0.043,-0.021,-0.019,74.173,-0.015,-0.529
'[13:39:28.434 02/12/1995]',-0.043,-0.021,-0.019,74.173,-0.015,-0.529
'[13:39:28.436 02/12/1995]',-0.043,-0.010,-0.029,74.173,-0.015,-0.529
'[13:39:28.438 02/12/1995]',-0.021,0.001,-0.029,74.173,-0.015,-0.529
'[13:39:28.440 02/12/1995]',-0.010,0.011,-0.038,73.673,-0.044,-0.525
'[13:39:28.442 02/12/1995]',0.001,0.001,-0.038,73.673,-0.044,-0.525
'[13:39:28.444 02/12/1995]',-0.010,0.001,-0.029,73.673,-0.044,-0.525
'[13:39:28.446 02/12/1995]',-0.021,0.001,-0.019,73.673,-0.044,-0.525
'[13:39:28.448 02/12/1995]',-0.032,-0.010,-0.019,73.272,-0.059,-0.521
'[13:39:28.450 02/12/1995]',-0.043,-0.021,-0.009,73.272,-0.059,-0.521
'[13:39:28.452 02/12/1995]',-0.043,-0.021,-0.019,73.272,-0.059,-0.521
'[13:39:28.454 02/12/1995]',-0.021,0.001,-0.029,73.272,-0.059,-0.521
'[13:39:28.456 02/12/1995]',-0.010,0.011,-0.029,72.821,-0.074,-0.517
'[13:39:28.458 02/12/1995]',-0.010,0.011,-0.029,72.821,-0.074,-0.517
'[13:39:28.460 02/12/1995]',-0.010,0.001,-0.029,72.821,-0.074,-0.517
'[13:39:28.462 02/12/1995]',-0.021,0.001,-0.019,72.821,-0.074,-0.517
'[13:39:28.464 02/12/1995]',-0.032,-0.010,-0.019,72.320,-0.059,-0.513
'[13:39:28.466 02/12/1995]',-0.043,-0.021,-0.009,72.320,-0.059,-0.513
'[13:39:28.468 02/12/1995]',-0.043,-0.021,-0.019,72.320,-0.059,-0.513
'[13:39:28.470 02/12/1995]',-0.043,-0.010,-0.019,72.320,-0.059,-0.513
'[13:39:28.472 02/12/1995]',-0.021,0.001,-0.029,71.870,-0.089,-0.508
'[13:39:28.474 02/12/1995]',-0.010,0.011,-0.038,71.870,-0.089,-0.508
'[13:39:28.476 02/12/1995]',-0.010,0.001,-0.029,71.870,-0.089,-0.508
'[13:39:28.478 02/12/1995]',-0.021,0.001,-0.029,71.870,-0.089,-0.508
'[13:39:28.480 02/12/1995]',-0.021,0.001,-0.009,71.469,-0.074,-0.504
'[13:39:28.482 02/12/1995]',-0.043,-0.021,-0.009,71.469,-0.074,-0.504
'[13:39:28.484 02/12/1995]',-0.043,-0.021,-0.009,71.469,-0.074,-0.504
'[13:39:28.486 02/12/1995]',-0.043,-0.010,-0.009,71.469,-0.074,-0.504
'[13:39:28.488 02/12/1995]',-0.021,0.001,-0.019,70.968,-0.074,-0.499
'[13:39:28.490 02/12/1995]',-0.010,0.001,-0.029,70.968,-0.074,-0.499
'[13:39:28.492 02/12/1995]',-0.010,0.011,-0.029,70.968,-0.074,-0.499
'[13:39:28.494 02/12/1995]',-0.010,0.001,-0.019,70.968,-0.074,-0.499
'[13:39:28.496 02/12/1995]',-0.021,0.001,-0.009,70.517,-0.089,-0.495
'[13:39:28.498 02/12/1995]',-0.043,-0.021,-0.009,70.517,-0.089,-0.495
'[13:39:28.500 02/12/1995]',-0.043,-0.021,0.001,70.517,-0.089,-0.495
'[13:39:28.502 02/12/1995]',-0.032,-0.010,-0.009,70.517,-0.089,-0.495
'[13:39:28.504 02/12/1995]',-0.032,0.001,-0.009,70.117,-0.103,-0.490
'[13:39:28.506 02/12/1995]',-0.021,0.001,-0.029,70.117,-0.103,-0.490
'[13:39:28.508 02/12/1995]',-0.010,0.011,-0.029,70.117,-0.103,-0.490
'[13:39:28.510 02/12/1995]',-0.010,0.001,-0.019,70.117,-0.103,-0.490
'[13:39:28.512 02/12/1995]',-0.021,0.001,-0.009,69.616,-0.133,-0.486
'[13:39:28.514 02/12/1995]',-0.043,-0.021,-0.009,69.616,-0.133,-0.486
'[13:39:28.516 02/12/1995]',-0.043,-0.021,0.001,69.616,-0.133,-0.486
'[13:39:28.518 02/12/1995]',-0.043,-0.021,0.001,69.616,-0.133,-0.486
'[13:39:28.520 02/12/1995]',-0.032,0.001,-0.009,69.115,-0.148,-0.482
'[13:39:28.522 02/12/1995]',-0.021,0.001,-0.019,69.115,-0.148,-0.482
'[13:39:28.524 02/12/1995]',-0.010,0.001,-0.019,69.115,-0.148,-0.482
'[13:39:28.526 02/12/1995]',-0.010,0.001,-0.019,69.115,-0.148,-0.482
'[13:39:28.528 02/12/1995]',-0.021,0.001,-0.009,68.614,-0.193,-0.478
'[13:39:28.530 02/12/1995]',-0.032,-0.010,0.001,68.614,-0.193,-0.478
'[13:39:28.532 02/12/1995]',-0.043,-0.032,0.001,68.614,-0.193,-0.478
'[13:39:28.534 02/12/1995]',-0.043,-0.021,0.001,68.614,-0.193,-0.478
'[13:39:28.536 02/12/1995]',-0.043,-0.010,-0.009,68.113,-0.222,-0.474
'[13:39:28.538 02/12/1995]',-0.021,0.001,-0.009,68.113,-0.222,-0.474
'[13:39:28.540 02/12/1995]',-0.021,0.001,-0.019,68.113,-0.222,-0.474
'[13:39:28.542 02/12/1995]',-0.021,0.001,-0.019,68.113,-0.222,-0.474
'[13:39:28.544 02/12/1995]',-0.021,0.001,-0.009,67.562,-0.237,-0.470
'[13:39:28.546 02/12/1995]',-0.032,0.001,0.001,67.562,-0.237,-0.470
'[13:39:28.548 02/12/1995]',-0.043,-0.021,0.001,67.562,-0.237,-0.470
'[13:39:28.550 02/12/1995]',-0.043,-0.032,0.001,67.562,-0.237,-0.470
'[13:39:28.552 02/12/1995]',-0.043,-0.021,0.001,67.112,-0.281,-0.466
'[13:39:28.554 02/12/1995]',-0.032,0.001,-0.009,67.112,-0.281,-0.466
'[13:39:28.556 02/12/1995]',-0.021,0.001,-0.009,67.112,-0.281,-0.466
'[13:39:28.558 02/12/1995]',-0.010,0.011,-0.009,67.112,-0.281,-0.466
'[13:39:28.560 02/12/1995]',-0.021,0.001,-0.009,66.661,-0.281,-0.462
'[13:39:28.562 02/12/1995]',-0.021,0.001,0.001,66.661,-0.281,-0.462
'[13:39:28.564 02/12/1995]',-0.032,-0.021,0.001,66.661,-0.281,-0.462
'[13:39:28.566 02/12/1995]',-0.065,-0.032,0.001,66.661,-0.281,-0.462
'[13:39:28.568 02/12/1995]',-0.043,-0.021,0.001,66.160,-0.311,-0.457
'[13:39:28.570 02/12/1995]',-0.043,-0.010,0.001,66.160,-0.311,-0.457
'[13:39:28.572 02/12/1995]',-0.021,0.001,-0.009,66.160,-0.311,-0.457
'[13:39:28.574 02/12/1995]',-0.010,0.001,-0.009,66.160,-0.311,-0.457
'[13:39:28.576 02/12/1995]',-0.010,0.001,-0.009,65.759,-0.326,-0.452
'[13:39:28.578 02/12/1995]',-0.021,0.001,0.001,65.759,-0.326,-0.452
'[13:39:28.580 02/12/1995]',-0.032,-0.010,0.001,65.759,-0.326,-0.452
'[13:39:28.582 02/12/1995]',-0.043,-0.021,0.001,65.759,-0.326,-0.452
